7982_110054_000001_000000	CHAPTER IV.	CHAPTER four.
7982_110054_000013_000000	All ladies cannot use indiscriminately the privilege which marriage confers upon them in this respect, and the toilet of those whose fortune is moderate should not pass the bounds of an elegant simplicity. Considerations of a more elevated nature, as of good domestic order, the dignity of a wife, and the duties of a mother, come in support of this law of propriety, for it concerns morality in all its branches.	All ladies cannot use indiscriminately the privilege which marriage confers upon them in this respect, and the toilet of those whose fortune is moderate should not pass the bounds of an elegant simplicity. Considerations of a more elevated nature, as of good domestic order, the dignity of a wife, and the duties of a mother, come in support of this law of propriety, for it concerns morality in all its branches.
7982_110054_000014_000000	We must beware of a shoal in this case; frequently a young lady of small fortune, desiring to appear decently in any splendid assembly, makes sacrifices in order to embellish her modest attire.	We must beware of a shoal in this case; frequently a young lady of small fortune, desiring to appear decently in any splendid assembly, makes sacrifices in order to embellish her modest attire.
7982_110054_000014_000002	The toilet then wants harmony, which is the soul of elegance as well as of beauty.	The toilet then wants harmony, which is the soul of elegance as well as of beauty.
7982_110054_000014_000003	Moreover, whatever be the opulence which you enjoy, luxury encroaches so much upon it, that no riches are able to satisfy its demands; but fortunately propriety, always in accordance with reason, encourages by this maxim social and sensible women.	Moreover, whatever be the opulence which you enjoy, luxury encroaches so much upon it, that no riches are able to satisfy its demands; but fortunately propriety, always in accordance with reason, encourages by this maxim social and sensible women.
7982_110054_000014_000004	Neither too high, nor too low; it is equally ridiculous either to pretend to be the most showy, or to display the meanest attire in an assembly.	Neither too high, nor too low; it is equally ridiculous either to pretend to be the most showy, or to display the meanest attire in an assembly.
7982_110054_000016_000000	The rigorous simplicity of the dress of men establishes but very little difference between that of young and old.	The rigorous simplicity of the dress of men establishes but very little difference between that of young and old.
7982_110054_000017_000001	Men till lately were almost free from this obligation; they used to be constantly clothed in broadcloth in all seasons: but now, although this may form the basis of their toilet, they must select stuffs for winter or summer, as may be suitable.	Men till lately were almost free from this obligation; they used to be constantly clothed in broadcloth in all seasons: but now, although this may form the basis of their toilet, they must select stuffs for winter or summer, as may be suitable.
7982_110054_000017_000003	It only belongs to septuagenarians and ecclesiastics to wear doublets or wadded outer coats.	It only belongs to septuagenarians and ecclesiastics to wear doublets or wadded outer coats.
7982_110054_000018_000000	To finish our instructions relative to the toilet, it only remains for us to make a few observations.	To finish our instructions relative to the toilet, it only remains for us to make a few observations.
7982_110054_000019_000000	It is superlatively ridiculous for a lady to go on foot, when dressed in her hair, or attired for the drawing-room or a ball.	It is superlatively ridiculous for a lady to go on foot, when dressed in her hair, or attired for the drawing room or a ball.
7982_110054_000019_000001	If one dwells in a provincial town where it is not customary to use carriages, they should go in a chair.	If one dwells in a provincial town where it is not customary to use carriages, they should go in a chair.
7982_110054_000019_000002	Who does not perceive how laughable it is to see a lady who is clothed in satin lace, or velvet, laboriously travelling in the dust or mud.	Who does not perceive how laughable it is to see a lady who is clothed in satin lace, or velvet, laboriously travelling in the dust or mud.
7982_110054_000020_000000	Vary your toilet as much as possible, for fear that idlers and malignant wits, who are always a majority in the world, should amuse themselves by making your dress the description of your person.	Vary your toilet as much as possible, for fear that idlers and malignant wits, who are always a majority in the world, should amuse themselves by making your dress the description of your person.
7982_110054_000021_000000	Certain fashionables seek to gain a kind of reputation by the odd choice of their attire, and by their eagerness to seize upon the first caprices of the fashions.	Certain fashionables seek to gain a kind of reputation by the odd choice of their attire, and by their eagerness to seize upon the first caprices of the fashions.
7982_110054_000021_000001	Propriety with difficulty tolerates these fancies of a spoiled child: but it applauds a woman of sense and taste, who is not in a hurry to follow the fashions and asks how long they will probably last before adopting them; finally, who selects and modifies them with success according to her size and figure.	Propriety with difficulty tolerates these fancies of a spoiled child: but it applauds a woman of sense and taste, who is not in a hurry to follow the fashions and asks how long they will probably last before adopting them; finally, who selects and modifies them with success according to her size and figure.
7982_110054_000022_000000	It would be extremely clownish to carry dirt into a decent house, especially if one makes a ceremonious visit; and, when there is much mud, or when we cannot walk with skill, it is proper to go in a carriage, or at least to put in requisition the services of a shoe-black at a short distance from the house.	It would be extremely clownish to carry dirt into a decent house, especially if one makes a ceremonious visit; and, when there is much mud, or when we cannot walk with skill, it is proper to go in a carriage, or at least to put in requisition the services of a shoe black at a short distance from the house.
7982_110054_000024_000000	SECTION II.	SECTION two.
7982_110054_000026_000000	Among the cares which propriety obliges us to take of our person, to please is but an accessary circumstance; the principal end is to indicate by cleanliness, and the suitableness of apparel, that good order, a sense of what is right, and politeness in all things, direct our thoughts and actions.	Among the cares which propriety obliges us to take of our person, to please is but an accessary circumstance; the principal end is to indicate by cleanliness, and the suitableness of apparel, that good order, a sense of what is right, and politeness in all things, direct our thoughts and actions.
7982_110054_000026_000001	In this point of view, we see that a regard to reputation is the necessary consequence of the duties of propriety toward one's self.	In this point of view, we see that a regard to reputation is the necessary consequence of the duties of propriety toward one's self.
7982_110054_000027_000000	To inspire esteem and consideration, is then the grand object of propriety of conduct; for without this treasure, the relations of society would be a humiliation and punishment.	To inspire esteem and consideration, is then the grand object of propriety of conduct; for without this treasure, the relations of society would be a humiliation and punishment.
7982_110054_000027_000001	They are obtained by the accomplishment of our obligations of family and of our profession; by our probity and good manners; by our fortune and situation in society.	They are obtained by the accomplishment of our obligations of family and of our profession; by our probity and good manners; by our fortune and situation in society.
7982_110054_000028_000000	Consideration is not acquired by words; an article so precious demands a real value; it demands also the assistance of discretion.	Consideration is not acquired by words; an article so precious demands a real value; it demands also the assistance of discretion.
7982_110054_000028_000001	So that we must begin by fulfilling exactly our duties towards relations; but we must beware of making public those petty quarrels, and little differences of interest, of ill humor or opinion, which sometimes trouble families most closely united.	So that we must begin by fulfilling exactly our duties towards relations; but we must beware of making public those petty quarrels, and little differences of interest, of ill humor or opinion, which sometimes trouble families most closely united.
7982_110054_000029_000000	Probity, that powerful means of obtaining consideration, by its elevated and religious nature, is not within our investigation of the principles of politeness.	Probity, that powerful means of obtaining consideration, by its elevated and religious nature, is not within our investigation of the principles of politeness.
7982_110054_000030_000000	This is not the case with that consideration which is attached to purity of morals.	This is not the case with that consideration which is attached to purity of morals.
7982_110054_000030_000002	Ladies, to whom the advice contained in this paragraph is particularly addressed, know how the shadow of suspicion withers and torments them.	Ladies, to whom the advice contained in this paragraph is particularly addressed, know how the shadow of suspicion withers and torments them.
7982_110054_000030_000003	This shadow, it is necessary to avoid at all hazards, and on that account to submit to all the requirements of propriety.	This shadow, it is necessary to avoid at all hazards, and on that account to submit to all the requirements of propriety.
7982_110054_000031_000000	Young married ladies are at liberty to visit by themselves their acquaintances, but they cannot present themselves in public without their husband, or an aged lady.	Young married ladies are at liberty to visit by themselves their acquaintances, but they cannot present themselves in public without their husband, or an aged lady.
7982_110054_000031_000001	They are at liberty however to walk with young married ladies or unmarried ones, while the latter should never walk alone with their companions.	They are at liberty however to walk with young married ladies or unmarried ones, while the latter should never walk alone with their companions.
7982_110054_000031_000002	Neither should they show themselves except with a gentleman of their family, and then he should be a near relation or of respectable age.	Neither should they show themselves except with a gentleman of their family, and then he should be a near relation or of respectable age.
7982_110054_000032_000001	Young widows have equal liberty with married ladies.	Young widows have equal liberty with married ladies.
7982_110054_000033_000000	A lady ought not to present herself alone in a library, or a museum, unless she goes there to study or work as an artist.	A lady ought not to present herself alone in a library, or a museum, unless she goes there to study or work as an artist.
7982_110054_000034_000000	A lady ought to have a modest and measured gait; too great hurry injures the grace which ought to characterize her.	A lady ought to have a modest and measured gait; too great hurry injures the grace which ought to characterize her.
7982_110054_000034_000001	She should not turn her head on one side and the other, especially in large towns, where this bad habit seems to be an invitation to the impertinent.	She should not turn her head on one side and the other, especially in large towns, where this bad habit seems to be an invitation to the impertinent.
7982_110054_000034_000002	If such persons address her in any flattering or insignificant terms, she should take good care not to answer them a word.	If such persons address her in any flattering or insignificant terms, she should take good care not to answer them a word.
7982_110054_000034_000003	If they persist, she should tell them in a brief and firm, though polite tone, that she desires to be left to herself.	If they persist, she should tell them in a brief and firm, though polite tone, that she desires to be left to herself.
7982_110054_000034_000004	If a man follow her in silence, she should pretend not to perceive him, and at the same time hasten a little her step.	If a man follow her in silence, she should pretend not to perceive him, and at the same time hasten a little her step.
7982_110054_000035_000000	Towards the close of the day, a young lady would conduct herself in an unbecoming manner, if she should go alone; and if she passes the evening with any one, she ought to see that a domestic comes to accompany her, if not, to request the person whom she is visiting, to allow some one to do so.	Towards the close of the day, a young lady would conduct herself in an unbecoming manner, if she should go alone; and if she passes the evening with any one, she ought to see that a domestic comes to accompany her, if not, to request the person whom she is visiting, to allow some one to do so.
7982_110054_000035_000001	But however much this may be considered proper, and consequently an obligation, a married lady well educated will disregard it if circumstances prevent her being able, without trouble, to find a conductor.	But however much this may be considered proper, and consequently an obligation, a married lady well educated will disregard it if circumstances prevent her being able, without trouble, to find a conductor.
7982_110054_000036_000000	If the master of the house wishes to accompany you himself, you must excuse yourself politely from giving him so much trouble, but finish however by accepting.	If the master of the house wishes to accompany you himself, you must excuse yourself politely from giving him so much trouble, but finish however by accepting.
7982_110054_000036_000001	On arriving at your house, you should offer him your thanks.	On arriving at your house, you should offer him your thanks.
7982_110054_000036_000003	The seeds of such an imputation, once sown, quickly come to maturity.	The seeds of such an imputation, once sown, quickly come to maturity.
7982_110054_000037_000000	The care of the reputation of ladies further demands that they should have a modest deportment; should abstain from forward manners, and free speeches.	The care of the reputation of ladies further demands that they should have a modest deportment; should abstain from forward manners, and free speeches.
