3967_292604_000001_000000	TELLS OF AN EXTRAORDINARY INCIDENT IN CULLEN MAYLE'S BEDROOM	TELLS OF AN EXTRAORDINARY INCIDENT IN CULLEN MAYLE'S BEDROOM
3967_292604_000009_000002	She was of a slight figure as I knew from the ease with which I carried her, but tall.	She was of a slight figure as I knew from the ease with which I carried her, but tall.
3967_292604_000009_000003	I could not doubt who it was, for one thing the white dress she wore was of some fine soft fabric, and even in that light it was easy to see that she was beautiful.	I could not doubt who it was, for one thing the white dress she wore was of some fine soft fabric, and even in that light it was easy to see that she was beautiful.
3967_292604_000010_000000	I held her thus with the cold salt air blowing upon her face, and in a little, she began to recover.	I held her thus with the cold salt air blowing upon her face, and in a little, she began to recover.
3967_292604_000010_000001	She moved her hands upon her lap, and finally lifted one and held her throat with it.	She moved her hands upon her lap, and finally lifted one and held her throat with it.
3967_292604_000011_000000	"Very likely there will be some water in the room," said I. "If you are safe, if you will not fall, I will look for it."	"Very likely there will be some water in the room," said i "If you are safe, if you will not fall, I will look for it."
3967_292604_000012_000000	"Thank you," she murmured.	"Thank you," she murmured.
3967_292604_000013_000001	I took my arm from her waist and groped about the room for the water-jug.	I took my arm from her waist and groped about the room for the water jug.
3967_292604_000013_000002	I found it at last and a glass beside it.	I found it at last and a glass beside it.
3967_292604_000013_000003	These I carried back to the window.	These I carried back to the window.
3967_292604_000014_000000	The girl was still seated on the chair, but she had changed her attitude.	The girl was still seated on the chair, but she had changed her attitude.
3967_292604_000014_000001	She had leaned her arms upon the sill and her head upon her arms.	She had leaned her arms upon the sill and her head upon her arms.
3967_292604_000014_000002	I poured out the water from the jug into the tumbler.	I poured out the water from the jug into the tumbler.
3967_292604_000014_000004	I spoke to her.	I spoke to her.
3967_292604_000014_000005	She did not answer me.	She did not answer me.
3967_292604_000014_000006	A horrible fear turned me cold.	A horrible fear turned me cold.
3967_292604_000014_000007	I knelt down by her side, and setting down the water gently lifted her head.	I knelt down by her side, and setting down the water gently lifted her head.
3967_292604_000014_000009	Her eyes were closed, but she was breathing.	Her eyes were closed, but she was breathing.
3967_292604_000014_000010	I could feel her breath upon my cheek and it came steadily and regular.	I could feel her breath upon my cheek and it came steadily and regular.
3967_292604_000014_000011	I cannot describe my astonishment; she was in a deep sleep.	I cannot describe my astonishment; she was in a deep sleep.
3967_292604_000015_000000	I pondered for a moment what I should do!	I pondered for a moment what I should do!
3967_292604_000015_000001	Should I wake the household? Should I explain what had happened and my presence in the house?	Should I wake the household? Should I explain what had happened and my presence in the house?
3967_292604_000016_000000	I propped her securely in the chair, then crossed the room, opened the door and listened.	I propped her securely in the chair, then crossed the room, opened the door and listened.
3967_292604_000016_000001	The house was very still; so far no one had been disturbed.	The house was very still; so far no one had been disturbed.
3967_292604_000016_000002	A long narrow passage stretched in front of me, with doors upon either side.	A long narrow passage stretched in front of me, with doors upon either side.
3967_292604_000016_000003	Remembering what Dick Parmiter had told me, I mean that every sound reverberated through the house, I crept down the landing on tiptoe.	Remembering what Dick Parmiter had told me, I mean that every sound reverberated through the house, I crept down the landing on tiptoe.
3967_292604_000016_000004	I had only my stockings upon my feet and I crept forward so carefully that I could not hear my own footfalls.	I had only my stockings upon my feet and I crept forward so carefully that I could not hear my own footfalls.
3967_292604_000017_000000	I had taken some twenty paces when the passage opened out to my right. I put out my hand and touched a balustrade.	I had taken some twenty paces when the passage opened out to my right. I put out my hand and touched a balustrade.
3967_292604_000018_000000	I crept forward, and at last at the far end of the house and on the left hand of the passage I came to that for which I searched, and which I barely hoped to find--an open door.	I crept forward, and at last at the far end of the house and on the left hand of the passage I came to that for which I searched, and which I barely hoped to find-an open door.
3967_292604_000018_000001	I held my breath and listened in the doorway, but there was no sound of any one breathing, so I stepped into the room.	I held my breath and listened in the doorway, but there was no sound of any one breathing, so I stepped into the room.
3967_292604_000019_000001	I looked round the room.	I looked round the room.
3967_292604_000019_000002	It was a large bedroom, and the bed had not been slept in.	It was a large bedroom, and the bed had not been slept in.
3967_292604_000019_000004	It had two big windows looking out towards the sea, and as I stood in the dim grey light, I wondered whether it was from one of those windows that Adam Mayle had looked years before, and seen the brigantine breaking up upon the Golden Ball Reef.	It had two big windows looking out towards the sea, and as I stood in the dim grey light, I wondered whether it was from one of those windows that Adam Mayle had looked years before, and seen the brigantine breaking up upon the Golden Ball Reef.
3967_292604_000019_000005	But the light was broadening with the passage of every minute.	But the light was broadening with the passage of every minute.
3967_292604_000019_000007	Helen Mayle was still asleep, and she had not moved from her posture.	Helen Mayle was still asleep, and she had not moved from her posture.
3967_292604_000019_000008	I raised her in my arms, and still she did not wake.	I raised her in my arms, and still she did not wake.
3967_292604_000019_000009	I carried her down the passage, through the open door and laid her on the bed.	I carried her down the passage, through the open door and laid her on the bed.
3967_292604_000019_000011	She nestled down beneath it and her lips smiled very prettily, and she uttered a little purring murmur of content; but this she did in her sleep.	She nestled down beneath it and her lips smiled very prettily, and she uttered a little purring murmur of content; but this she did in her sleep.
3967_292604_000019_000012	She slept with the untroubled sleep of a child.	She slept with the untroubled sleep of a child.
3967_292604_000019_000013	Her face was pale, but that I took to be its natural complexion.	Her face was pale, but that I took to be its natural complexion.
3967_292604_000019_000014	Her long black eyelashes rested upon her cheeks.	Her long black eyelashes rested upon her cheeks.
3967_292604_000019_000015	There was no hint of any trouble in her expression, no trace of any passionate despair.	There was no hint of any trouble in her expression, no trace of any passionate despair.
3967_292604_000020_000000	Yet there was no doubt possible.	Yet there was no doubt possible.
