4356_6506_000002_000000	CHAPTER XXII	CHAPTER twenty two
4356_6506_000008_000002	The next she was at the windows and the slats were closed with a rattle like a volley of firearms.	The next she was at the windows and the slats were closed with a rattle like a volley of firearms.
4356_6506_000008_000003	Then she jumped into bed.	Then she jumped into bed.
4356_6506_000008_000004	She wondered if the windows were locked.	She wondered if the windows were locked.
4356_6506_000009_000000	"Now, I reckon I'm safe," she murmured a moment later, again getting into bed.	"Now, I reckon I'm safe," she murmured a moment later, again getting into bed.
4356_6506_000009_000001	"I love to go to sleep with the rain pattering outside like that.	"I love to go to sleep with the rain pattering outside like that.
4356_6506_000009_000002	Oh, dear, I'm so sorry he has to walk all night In this rain. Poor fellow!	Oh, dear, I'm so sorry he has to walk all night In this rain. Poor fellow!
4356_6506_000009_000004	Goodness, it's raining cats and dogs!"	Goodness, it's raining cats and dogs!"
4356_6506_000010_000000	But in spite of the rain she could not go to sleep.	But in spite of the rain she could not go to sleep.
4356_6506_000010_000001	Vague fears began to take possession of her.	Vague fears began to take possession of her.
4356_6506_000010_000002	Something dreadful told her that Count Marlanx was on the balcony and at her window, notwithstanding the rain pour.	Something dreadful told her that Count Marlanx was on the balcony and at her window, notwithstanding the rain pour.
4356_6506_000010_000003	The fear became oppressive, maddening.	The fear became oppressive, maddening.
4356_6506_000010_000005	He was there, she knew it.	He was there, she knew it.
4356_6506_000011_000001	Consumed by the fear that the window might open slowly at any moment, she reached forth and clutched the weapon.	Consumed by the fear that the window might open slowly at any moment, she reached forth and clutched the weapon.
4356_6506_000011_000002	Then she shrank back in the bed, her eyes fixed upon the black space across the room.	Then she shrank back in the bed, her eyes fixed upon the black space across the room.
4356_6506_000011_000003	For hours she shivered and waited for the window to open, dozing away time and again only to come back to wakefulness with a start.	For hours she shivered and waited for the window to open, dozing away time and again only to come back to wakefulness with a start.
4356_6506_000012_000000	The next morning she confessed to herself that her fears had been silly.	The next morning she confessed to herself that her fears had been silly.
4356_6506_000012_000001	Her first act after breakfasting alone in her room was to seek out Colonel Quinnox, commander of the castle guard.	Her first act after breakfasting alone in her room was to seek out Colonel Quinnox, commander of the castle guard.
4356_6506_000012_000002	In her mind she was greatly troubled over the fate of the bold visitor of the night before.	In her mind she was greatly troubled over the fate of the bold visitor of the night before.
4356_6506_000012_000004	Vagabond though he was, he had conquered where princes had failed.	Vagabond though he was, he had conquered where princes had failed.
4356_6506_000012_000005	Her better judgment told her that she could be nothing to this debonair knight of the road, yet her heart stubbornly resisted all the arguments that her reason put forth.	Her better judgment told her that she could be nothing to this debonair knight of the road, yet her heart stubbornly resisted all the arguments that her reason put forth.
4356_6506_000013_000000	Colonel Quinnox was pleasant, but he could give Beverly no promise of leniency in regard to Baldos.	Colonel Quinnox was pleasant, but he could give Beverly no promise of leniency in regard to Baldos.
4356_6506_000013_000001	Instructions had come to him from General Marlanx, and he could not set them aside at will.	Instructions had come to him from General Marlanx, and he could not set them aside at will.
4356_6506_000013_000002	Her plea that he might once more be assigned to old-time duties found the colonel regretfully obdurate.	Her plea that he might once more be assigned to old time duties found the colonel regretfully obdurate.
4356_6506_000013_000003	Baldos could not ride with her again until Marlanx withdrew the order which now obtained, Beverly swallowed her pride and resentment diplomatically, smiled her sweetest upon the distressed colonel, and marched defiantly back to the castle.	Baldos could not ride with her again until Marlanx withdrew the order which now obtained, Beverly swallowed her pride and resentment diplomatically, smiled her sweetest upon the distressed colonel, and marched defiantly back to the castle.
4356_6506_000013_000004	Down in her rebellious, insulted heart she was concocting all sorts of plans for revenge.	Down in her rebellious, insulted heart she was concocting all sorts of plans for revenge.
4356_6506_000013_000005	Chief among them was the terrible overthrow of the Iron Count.	Chief among them was the terrible overthrow of the Iron Count.
4356_6506_000013_000006	Her wide scope of vengeance even contemplated the destruction of Graustark if her end could be obtained in no other way.	Her wide scope of vengeance even contemplated the destruction of Graustark if her end could be obtained in no other way.
4356_6506_000014_000000	Full of these bitter-sweet thoughts she came to the castle doors before she saw who was waiting for her upon the great verandah.	Full of these bitter sweet thoughts she came to the castle doors before she saw who was waiting for her upon the great verandah.
4356_6506_000014_000002	The early hour was responsible for the bright solitude which marked the place.	The early hour was responsible for the bright solitude which marked the place.
4356_6506_000015_000000	She stopped with a sharp exclamation of surprise.	She stopped with a sharp exclamation of surprise.
4356_6506_000015_000001	Then scorn and indignation rushed in to fill the place of astonishment.	Then scorn and indignation rushed in to fill the place of astonishment.
4356_6506_000016_000000	"Good morning," he said, extending his hand, which she did not see.	"Good morning," he said, extending his hand, which she did not see.
4356_6506_000016_000001	She was wondering how much he had seen and heard at midnight.	She was wondering how much he had seen and heard at midnight.
4356_6506_000017_000000	"I thought the troops were massing this morning," she said coldly.	"I thought the troops were massing this morning," she said coldly.
4356_6506_000017_000001	"Don't you mass, too?"	"Don't you mass, too?"
4356_6506_000018_000000	"There is time enough for that, my dear.	"There is time enough for that, my dear.
4356_6506_000018_000001	I came to have a talk with you--in private," he said meaningly.	I came to have a talk with you-in private," he said meaningly.
4356_6506_000019_000000	"It is sufficiently private here, Count Marlanx.	"It is sufficiently private here, Count Marlanx.
4356_6506_000019_000001	What have you to say to me?"	What have you to say to me?"
4356_6506_000022_000000	"An involuntary observer, believe me--and a jealous one.	"An involuntary observer, believe me-and a jealous one.
4356_6506_000022_000002	What I saw last night shocked me beyond expression."	What I saw last night shocked me beyond expression."
4356_6506_000023_000000	"Well, you shouldn't have looked," she retorted, tossing her chin; and the red feather in her hat bobbed angrily.	"Well, you shouldn't have looked," she retorted, tossing her chin; and the red feather in her hat bobbed angrily.
4356_6506_000025_000000	"What do you mean?"	"What do you mean?"
4356_6506_000026_000000	"I mean that I saw everything that occurred."	"I mean that I saw everything that occurred."
4356_6506_000027_000001	"Good-bye, Count Marlanx."	"Good bye, Count Marlanx."
4356_6506_000028_000000	"One moment, please.	"One moment, please.
4356_6506_000028_000001	I cannot let you off so easily.	I cannot let you off so easily.
4356_6506_000028_000002	What right had you to take that man into your room, a place sacred in the palace of Graustark?	What right had you to take that man into your room, a place sacred in the palace of Graustark?
4356_6506_000028_000003	Answer me, Miss Calhoun."	Answer me, Miss Calhoun."
4356_6506_000029_000000	Beverly drew back in horror and bewilderment.	Beverly drew back in horror and bewilderment.
4356_6506_000030_000000	"Into my room?" she gasped.	"Into my room?" she gasped.
4356_6506_000031_000001	I saw him come from your window, and I saw all that passed between you in the balcony.	I saw him come from your window, and I saw all that passed between you in the balcony.
4356_6506_000031_000002	Love's eyes are keen.	Love's eyes are keen.
4356_6506_000031_000003	What occurred in your chamber I can only--"	What occurred in your chamber I can only-"
4356_6506_000032_000000	"Stop!	"Stop!
4356_6506_000032_000001	How dare you say such a thing to me?" she fiercely cried.	How dare you say such a thing to me?" she fiercely cried.
4356_6506_000032_000002	"You miserable coward!	"You miserable coward!
4356_6506_000032_000004	Take it back--take back every word of that lie!"	Take it back-take back every word of that lie!"
4356_6506_000032_000005	She was white with passion, cold with terror.	She was white with passion, cold with terror.
4356_6506_000033_000000	"Bah!	"Bah!
4356_6506_000033_000001	This is childish.	This is childish.
4356_6506_000033_000004	It's useless to deny it.	It's useless to deny it.
4356_6506_000033_000005	And to think that I have spared him from death to have it come to this!	And to think that I have spared him from death to have it come to this!
4356_6506_000033_000006	You need not look so horrified.	You need not look so horrified.
4356_6506_000033_000007	Your secret is safe with me.	Your secret is safe with me.
4356_6506_000033_000008	I come to make terms with you.	I come to make terms with you.
4356_6506_000033_000010	It's worth it to you.	It's worth it to you.
4356_6506_000033_000011	One word from me, you are disgraced and Baldos dies.	One word from me, you are disgraced and Baldos dies.
4356_6506_000033_000012	Come, my fair lady, give me your promise, it's a good bargain for both."	Come, my fair lady, give me your promise, it's a good bargain for both."
4356_6506_000034_000000	Beverly was trembling like a leaf.	Beverly was trembling like a leaf.
4356_6506_000034_000001	This phase of his villainy had not occurred to her.	This phase of his villainy had not occurred to her.
4356_6506_000034_000002	She was like a bird trying to avoid the charmed eye of the serpent.	She was like a bird trying to avoid the charmed eye of the serpent.
4356_6506_000035_000000	"Oh, you--you miserable wretch!" she cried, hoarse with anger and despair.	"Oh, you-you miserable wretch!" she cried, hoarse with anger and despair.
4356_6506_000035_000001	"What a cur you are!	"What a cur you are!
4356_6506_000035_000003	I have never wronged you--"	I have never wronged you-"
4356_6506_000035_000004	She was almost in tears, impotent with shame and fear.	She was almost in tears, impotent with shame and fear.
4356_6506_000036_000000	"It has been a pretty game of love for you and the excellent Baldos.	"It has been a pretty game of love for you and the excellent Baldos.
4356_6506_000036_000001	You have deceived those who love you best and trust you most.	You have deceived those who love you best and trust you most.
4356_6506_000036_000002	What will the princess say when she hears of last night's merry escapade?	What will the princess say when she hears of last night's merry escapade?
4356_6506_000036_000003	What will she say when she learns who was hostess to a common guardsman at the midnight hour?	What will she say when she learns who was hostess to a common guardsman at the midnight hour?
4356_6506_000036_000004	It is no wonder that you look terrified.	It is no wonder that you look terrified.
4356_6506_000036_000005	It is for you to say whether she is to know or not.	It is for you to say whether she is to know or not.
4356_6506_000036_000006	You can bind me to silence.	You can bind me to silence.
4356_6506_000036_000007	You have lost Baldos.	You have lost Baldos.
4356_6506_000036_000008	Take me and all that I can give you in his stead, and the world never shall know the truth.	Take me and all that I can give you in his stead, and the world never shall know the truth.
4356_6506_000036_000009	You love him, I know, and there is but one way to save him.	You love him, I know, and there is but one way to save him.
4356_6506_000036_000010	Say the word and he goes free to the hills; decline and his life is not worth a breath of air."	Say the word and he goes free to the hills; decline and his life is not worth a breath of air."
4356_6506_000037_000000	"And pretending to believe this of me, you still ask me to be your wife.	"And pretending to believe this of me, you still ask me to be your wife.
4356_6506_000038_000000	"My wife?" he said harshly.	"My wife?" he said harshly.
4356_6506_000038_000001	"Oh, no.	"Oh, no
4356_6506_000038_000002	You are not the wife of Baldos," he added significantly.	You are not the wife of Baldos," he added significantly.
4356_6506_000039_000000	"Good God!" gasped Beverly, crushed by the brutality of it all.	"Good God!" gasped Beverly, crushed by the brutality of it all.
4356_6506_000039_000001	"I would sooner die.	"I would sooner die.
4356_6506_000039_000002	Would to heaven my father were here, he would shoot you as he would a dog!	Would to heaven my father were here, he would shoot you as he would a dog!
4356_6506_000039_000004	Don't you try to stop me!	Don't you try to stop me!
4356_6506_000039_000005	I shall go to the princess myself.	I shall go to the princess myself.
4356_6506_000039_000006	She shall know what manner of beast you are."	She shall know what manner of beast you are."
4356_6506_000040_000000	She was racing up the steps, flaming with anger and shame.	She was racing up the steps, flaming with anger and shame.
4356_6506_000041_000000	"Remember, I can prove what I have said.	"Remember, I can prove what I have said.
4356_6506_000041_000001	Beware what you do.	Beware what you do.
4356_6506_000041_000003	Think well over it.	Think well over it.
4356_6506_000041_000004	Your honor and his life!	Your honor and his life!
4356_6506_000041_000005	It rests with you," he cried eagerly, following her to the door.	It rests with you," he cried eagerly, following her to the door.
4356_6506_000042_000000	"You disgusting old fool," she hissed, turning upon him as she pulled the big brass knocker on the door.	"You disgusting old fool," she hissed, turning upon him as she pulled the big brass knocker on the door.
4356_6506_000043_000000	"I must have my answer to-night, or you know what will happen," he snarled, but he felt in his heart that he had lost through his eagerness.	"I must have my answer to night, or you know what will happen," he snarled, but he felt in his heart that he had lost through his eagerness.
4356_6506_000044_000001	Between sobs and feminine maledictions she poured the whole story, in all its ugliness, into the ears of the princess.	Between sobs and feminine maledictions she poured the whole story, in all its ugliness, into the ears of the princess.
4356_6506_000046_000000	"I cannot prevent General Marlanx from preferring serious charges against Baldos, dear.	"I cannot prevent General Marlanx from preferring serious charges against Baldos, dear.
4356_6506_000046_000003	"You may depend upon me to protect you from Marlanx.	"You may depend upon me to protect you from Marlanx.
4356_6506_000046_000004	He can make it very unpleasant for Baldos, but he shall pay dearly for this insult to you.	He can make it very unpleasant for Baldos, but he shall pay dearly for this insult to you.
4356_6506_000046_000005	He has gone too far."	He has gone too far."
4356_6506_000047_000000	"I don't think he has any proof against Baldos," said Beverly, thinking only of the guardsman.	"I don't think he has any proof against Baldos," said Beverly, thinking only of the guardsman.
4356_6506_000049_000000	"He seems to think he can get wives as easily as he gets rid of them, I observe.	"He seems to think he can get wives as easily as he gets rid of them, I observe.
4356_6506_000049_000001	I was going back to Washington soon, Yetive, but I'll stay on now and see this thing to the end.	I was going back to Washington soon, Yetive, but I'll stay on now and see this thing to the end.
4356_6506_000049_000003	I'll telegraph for my brother Dan to come over here and punch his head to pieces."	I'll telegraph for my brother Dan to come over here and punch his head to pieces."
4356_6506_000050_000000	"Now, now,--don't be so high and mighty, dear.	"Now, now,--don't be so high and mighty, dear.
4356_6506_000050_000002	Whereupon the hot-headed girl from Dixie suspended hostilities and became a very demure young woman.	Whereupon the hot headed girl from Dixie suspended hostilities and became a very demure young woman.
4356_6506_000050_000003	Before long she was confessing timidly, then boldly, that she loved Baldos better than anything in all the world.	Before long she was confessing timidly, then boldly, that she loved Baldos better than anything in all the world.
4356_6506_000051_000001	I know I oughtn't to, but what is there to do when one can't help it?	I know I oughtn't to, but what is there to do when one can't help it?
4356_6506_000051_000002	There would be an awful row at home if I married him.	There would be an awful row at home if I married him.
4356_6506_000051_000004	Maybe he won't.	Maybe he won't.
4356_6506_000051_000005	In fact, I'm sure he won't.	In fact, I'm sure he won't.
4356_6506_000051_000006	I shan't give him a chance.	I shan't give him a chance.
4356_6506_000051_000007	But if he does ask me I'll just keep putting him off.	But if he does ask me I'll just keep putting him off.
4356_6506_000051_000008	I've done it before, you know.	I've done it before, you know.
4356_6506_000051_000009	You see, for a long, long time, I fancied he might be a prince, but he isn't at all.	You see, for a long, long time, I fancied he might be a prince, but he isn't at all.
4356_6506_000051_000010	I've had his word for it.	I've had his word for it.
4356_6506_000051_000011	He's just an ordinary person--like--like--well, like I am.	He's just an ordinary person-like-like-well, like I am.
4356_6506_000051_000012	Only he doesn't look so ordinary.	Only he doesn't look so ordinary.
4356_6506_000051_000013	Isn't he handsome, Yetive?	Isn't he handsome, Yetive?
4356_6506_000051_000016	Wouldn't that have surprised old Marlanx?" Beverly gave a merry laugh.	Wouldn't that have surprised old Marlanx?" Beverly gave a merry laugh.
4356_6506_000051_000017	The troubles of the morning seemed to fade away under the warmth of her humor.	The troubles of the morning seemed to fade away under the warmth of her humor.
4356_6506_000051_000018	Yetive sat back and marvelled at the manner in which this blithe young American cast out the "blue devils."	Yetive sat back and marvelled at the manner in which this blithe young American cast out the "blue devils."
4356_6506_000052_000000	"You must not do anything foolish, Beverly," she cautioned, "Your parents would never forgive me if I allowed you to marry or even to fall in love with any Tom, Dick or Harry over here.	"You must not do anything foolish, Beverly," she cautioned, "Your parents would never forgive me if I allowed you to marry or even to fall in love with any Tom, Dick or Harry over here.
4356_6506_000052_000003	I wish now that I had not humored you in your plan to bring him to the castle.	I wish now that I had not humored you in your plan to bring him to the castle.
4356_6506_000052_000004	I'm afraid I have done wrong.	I'm afraid I have done wrong.
4356_6506_000052_000006	Beverly kissed her rapturously.	Beverly kissed her rapturously.
4356_6506_000053_000000	"Don't worry about me, Yetive.	"Don't worry about me, Yetive.
4356_6506_000053_000001	I know how to take care of myself.	I know how to take care of myself.
4356_6506_000053_000003	"Now let's talk about the war.	"Now let's talk about the war.
4356_6506_000053_000004	Marlanx won't do anything until he hears from me.	Marlanx won't do anything until he hears from me.
4356_6506_000053_000005	What's the use worrying?"	What's the use worrying?"
4356_6506_000054_000000	Nightfall brought General Marlanx in from the camps outside the gates.	Nightfall brought General Marlanx in from the camps outside the gates.
4356_6506_000054_000002	She promptly answered that she did not want to see him and would not.	She promptly answered that she did not want to see him and would not.
4356_6506_000054_000003	Without a moment's hesitation he appealed for an audience with the princess, and it was granted.	Without a moment's hesitation he appealed for an audience with the princess, and it was granted.
4356_6506_000055_000000	He proceeded, with irate coolness, to ask how far she believed herself bound to protect the person of Baldos, the guard.	He proceeded, with irate coolness, to ask how far she believed herself bound to protect the person of Baldos, the guard.
4356_6506_000055_000001	He understood that she was under certain obligations to Miss Calhoun and he wanted to be perfectly sure of his position before taking a step which now seemed imperative.	He understood that she was under certain obligations to Miss Calhoun and he wanted to be perfectly sure of his position before taking a step which now seemed imperative.
4356_6506_000055_000002	Baldos was a spy in the employ of Dawsbergen.	Baldos was a spy in the employ of Dawsbergen.
4356_6506_000055_000003	He had sufficient proof to warrant his arrest and execution; there were documents, and there was positive knowledge that he had conferred with strangers from time to time, even within the walls of the castle grounds.	He had sufficient proof to warrant his arrest and execution; there were documents, and there was positive knowledge that he had conferred with strangers from time to time, even within the walls of the castle grounds.
4356_6506_000055_000004	Marlanx cited instances in which Baldos had been seen talking to a strange old man inside the grounds, and professed to have proof that he had gone so far as to steal away by night to meet men beyond the city walls.	Marlanx cited instances in which Baldos had been seen talking to a strange old man inside the grounds, and professed to have proof that he had gone so far as to steal away by night to meet men beyond the city walls.
4356_6506_000055_000005	He was now ready to seize the guard, but would not do so until he had conferred with his sovereign.	He was now ready to seize the guard, but would not do so until he had conferred with his sovereign.
4356_6506_000056_000000	"Miss Calhoun tells me that you have made certain proposals to her, Count Marlanx," said Yetive coldly, her eyes upon his hawkish face.	"Miss Calhoun tells me that you have made certain proposals to her, Count Marlanx," said Yetive coldly, her eyes upon his hawkish face.
4356_6506_000057_000000	"I have asked her to be my wife, your highness."	"I have asked her to be my wife, your highness."
4356_6506_000058_000000	"You have threatened her, Count Marlanx."	"You have threatened her, Count Marlanx."
4356_6506_000059_000000	"She has exposed herself to you?	"She has exposed herself to you?
4356_6506_000059_000001	I would not have told what I saw last night."	I would not have told what I saw last night."
4356_6506_000060_000000	"Would it interest you to know that I saw everything that passed on the balcony last night?	"Would it interest you to know that I saw everything that passed on the balcony last night?
4356_6506_000060_000001	You will allow me to say, general, that you have behaved in a most outrageous manner in approaching my guest with such foul proposals.	You will allow me to say, general, that you have behaved in a most outrageous manner in approaching my guest with such foul proposals.
4356_6506_000060_000002	Stop, sir!	Stop, sir!
4356_6506_000060_000003	She has told me everything and I believe her.	She has told me everything and I believe her.
4356_6506_000060_000004	I believe my own eyes.	I believe my own eyes.
4356_6506_000060_000005	There is no need to discuss the matter further.	There is no need to discuss the matter further.
4356_6506_000060_000006	You have lost the right to be called a man.	You have lost the right to be called a man.
4356_6506_000060_000007	For the present I have only to say that you shall be relieved of the command of my army.	For the present I have only to say that you shall be relieved of the command of my army.
4356_6506_000060_000008	The man who makes war on women is not fit to serve one.	The man who makes war on women is not fit to serve one.
4356_6506_000060_000009	As for Baldos, you are at liberty to prefer the charges.	As for Baldos, you are at liberty to prefer the charges.
4356_6506_000060_000010	He shall have a fair trial, rest assured."	He shall have a fair trial, rest assured."
4356_6506_000061_000000	"Your highness, hear me," implored Marlanx, white to the roots of his hair.	"Your highness, hear me," implored Marlanx, white to the roots of his hair.
4356_6506_000063_000000	"I can but stand condemned, then, your highness, without a hearing.	"I can but stand condemned, then, your highness, without a hearing.
4356_6506_000063_000001	My vindication will come, however.	My vindication will come, however.
4356_6506_000063_000003	You may depose me, but you cannot ask me to neglect my duty to Graustark.	You may depose me, but you cannot ask me to neglect my duty to Graustark.
4356_6506_000063_000004	I have tried to save him for Miss Calhoun's sake--" But her hand was pointing to the door.	I have tried to save him for Miss Calhoun's sake-" But her hand was pointing to the door.
4356_6506_000064_000000	Ten minutes later Beverly was hearing everything from the lips of the princess, and Marlanx was cursing his way toward the barracks, vengeance in his heart.	Ten minutes later Beverly was hearing everything from the lips of the princess, and Marlanx was cursing his way toward the barracks, vengeance in his heart.
4356_6506_000064_000001	But a swift messenger from the castle reached the guard-room ahead of him.	But a swift messenger from the castle reached the guard room ahead of him.
4356_6506_000064_000002	Colonel Quinnox was reading an official note from the princess when Marlanx strode angrily into the room.	Colonel Quinnox was reading an official note from the princess when Marlanx strode angrily into the room.
4356_6506_000065_000000	"Bring this fellow Baldos to me, Colonel Quinnox," he said, without greeting.	"Bring this fellow Baldos to me, Colonel Quinnox," he said, without greeting.
4356_6506_000066_000000	"I regret to say that I have but this instant received a message from her highness, commanding me to send him to the castle," said Quinnox, with a smile.	"I regret to say that I have but this instant received a message from her highness, commanding me to send him to the castle," said Quinnox, with a smile.
4356_6506_000067_000000	"The devil!	"The devil!
4356_6506_000068_000000	"Have a care, sir," said Quinnox stiffly.	"Have a care, sir," said Quinnox stiffly.
4356_6506_000068_000001	"It is of the princess you speak."	"It is of the princess you speak."
4356_6506_000069_000000	"Bah!	"Bah!
4356_6506_000069_000002	It is more important than--"	It is more important than-"
4356_6506_000070_000000	"Nevertheless, sir, he goes to the castle first.	"Nevertheless, sir, he goes to the castle first.
4356_6506_000070_000001	This note says that I am to disregard any command you may give until further notice."	This note says that I am to disregard any command you may give until further notice."
4356_6506_000071_000000	Marlanx fell back amazed and stunned.	Marlanx fell back amazed and stunned.
4356_6506_000071_000001	At this juncture Baldos entered the room.	At this juncture Baldos entered the room.
4356_6506_000071_000002	Quinnox handed him an envelope, telling him that it was from the princess and that he was to repair at once to the castle, Baldos glanced at the handwriting, and his face lit up proudly.	Quinnox handed him an envelope, telling him that it was from the princess and that he was to repair at once to the castle, Baldos glanced at the handwriting, and his face lit up proudly.
