6924_291609_000000_000000	VIII	eight	true	8.175	8.82	23.765045
6924_291609_000004_000005	Begin with "ah" (ae), as this is the most open and strongest; then try "oh" (o with macron), which is not easily confused with ae.	Begin with "ah" (ae), as this is the most open and strongest; then try "oh" (o with macron), which is not easily confused with ae.	false	163.67	171.99	23.015379
6924_291609_000004_000006	Then ee (e with macron).	Then ee (e with macron).	false	171.99	173.22	24.69226
6924_291609_000004_000007	If, after a time, a distance and a degree of loudness are found that enable him to recognize these sounds with unfailing accuracy, or at least 90 per cent. of the time, then other sounds can be added, such as aw (a with diaresis below), (a with breve) (as in hat), (i with macron) (as in ice), oo (as in cool), ow (as in owl).	If, after a time, a distance and a degree of loudness are found that enable him to recognize these sounds with unfailing accuracy, or at least ninety per cent. of the time, then other sounds can be added, such as aw (a with diaresis below), (a with breve) (as in hat), (i with macron) (as in ice), oo (as in cool), ow (as in owl).	false	173.22	193.57	21.229061
6924_291609_000004_000008	Using these sounds at different pitches, and with different intensities and distances, a sufficiently accurate estimate can be formed of the degree of his hearing power so far as his present needs are concerned.	Using these sounds at different pitches, and with different intensities and distances, a sufficiently accurate estimate can be formed of the degree of his hearing power so far as his present needs are concerned.	true	193.79	205.53	20
6924_291609_000005_000000	IX	IX	false	205.53	207.69	20.040882
6924_291609_000006_000000	THE DEVELOPMENT OF RESIDUAL HEARING	THE DEVELOPMENT OF RESIDUAL HEARING	true	207.69	210.22	24
6924_291609_000007_000000	If any ability to perceive sounds is found, every effort should be made to lead the child to use it, and as the most essential use of hearing is in the comprehension of spoken language, the principal effort should be made along that line.	If any ability to perceive sounds is found, every effort should be made to lead the child to use it, and as the most essential use of hearing is in the comprehension of spoken language, the principal effort should be made along that line.	true	210.26	223.84	20.6204
6924_291609_000008_000000	Take three objects, the names of which are short, with the principal vowels quite easily distinguished.	Take three objects, the names of which are short, with the principal vowels quite easily distinguished.	false	224.03	230.29	24.466454
6924_291609_000008_000001	A little toy street car, a cap, and a toy sheep, would do nicely to begin with, as the three words, "car," "cap," and "sheep," are not easily confused.	A little toy street car, a cap, and a toy sheep, would do nicely to begin with, as the three words, "car," "cap," and "sheep," are not easily confused.	true	230.63	241.93	24.464703
6924_291609_000008_000002	Place two of the objects before him, the car and the sheep, and speak the name of one of them, "car," we will say, loudly and distinctly close to his ear, but in such a way that he cannot see your mouth.	Place two of the objects before him, the car and the sheep, and speak the name of one of them, "car," we will say, loudly and distinctly close to his ear, but in such a way that he cannot see your mouth.	true	242.3	256.21	22.985556
6924_291609_000008_000003	Then show him the car.	Then show him the car.	true	256.22	257.89	22.503332
6924_291609_000008_000004	Repeat it with "sheep" and show him the sheep.	Repeat it with "sheep" and show him the sheep.	true	258.53	261.88	25.466082
6924_291609_000008_000005	Repeat "car," and take his little hand, put it on the car.	Repeat "car," and take his little hand, put it on the car.	true	261.89	266.56	25.716953
6924_291609_000008_000006	Then "sheep," and make him put his hand on the sheep.	Then "sheep," and make him put his hand on the sheep.	true	266.84	270.43	21.378582
6924_291609_000008_000007	Continue this process until he will indicate to you the object you name.	Continue this process until he will indicate to you the object you name.	true	270.53	274.57	22.607681
6924_291609_000008_000008	When he makes only occasional mistakes with two objects, add the cap.	When he makes only occasional mistakes with two objects, add the cap.	true	274.76	279.435	23.630169
6924_291609_000008_000009	When he can get the right one about 90 per cent. of the time, then take three new words, returning occasionally to the first three. Very soon his own name and those of others, with photographs to enable him to indicate which, will prove of interest to him.	When he can get the right one about ninety per cent. of the time, then take three new words, returning occasionally to the first three. Very soon his own name and those of others, with photographs to enable him to indicate which, will prove of interest to him.	true	279.435	294.67	21.349422
6924_291609_000008_000010	When he has successfully learned to distinguish a few single words, a beginning can be made on short sentences.	When he has successfully learned to distinguish a few single words, a beginning can be made on short sentences.	true	295.01	301.45	21.47466
6924_291609_000008_000011	Commands that he can execute are convenient. "Shut your eyes," "Open your mouth," "Clap your hands," can follow drill on the three words, "eyes," "mouth," "hands." "Open the window," "Shut the window," "Open the book," "Shut the book," "Open the door," etc. "Stand up," "Sit down." When this beginning has been made, the road is open to the gradual increase in a hearing vocabulary, but do not attempt so much at once as to confuse and discourage the child.	Commands that he can execute are convenient. "Shut your eyes," "Open your mouth," "Clap your hands," can follow drill on the three words, "eyes," "mouth," "hands." "Open the window," "Shut the window," "Open the book," "Shut the book," "Open the door," etc "Stand up," "Sit down." When this beginning has been made, the road is open to the gradual increase in a hearing vocabulary, but do not attempt so much at once as to confuse and discourage the child.	false	301.61	335.02	22.937151
6924_291609_000009_000000	The suggestions already made should be studiously followed throughout his whole childhood.	The suggestions already made should be studiously followed throughout his whole childhood.	true	335.09	340.53	23.432827
6924_291609_000009_000001	If his hearing is not too seriously impaired, he will begin to attempt to imitate spoken sounds by the time he is twenty-four to thirty months old.	If his hearing is not too seriously impaired, he will begin to attempt to imitate spoken sounds by the time he is twenty four to thirty months old.	true	340.53	348.88	21.921978
6924_291609_000009_000002	But his ability to imitate sounds is not an accurate measure of his ability to hear.	But his ability to imitate sounds is not an accurate measure of his ability to hear.	true	349.25	354.13	20.361269
6924_291609_000009_000003	He may perceive the sounds much better than he is able to reproduce them.	He may perceive the sounds much better than he is able to reproduce them.	true	354.53	358.39	24.394196
6924_291609_000009_000004	Distinct utterance comes slowly to the child with normal hearing, and still more slowly and imperfectly to the child whose hearing is not good.	Distinct utterance comes slowly to the child with normal hearing, and still more slowly and imperfectly to the child whose hearing is not good.	true	358.79	366.94	23.021631
6924_291609_000009_000005	But the continued effort to make him hear _words and sentences_ is a very valuable exercise for him and should be faithfully continued till he is old enough to respond to the tests of hearing as outlined and it has been definitely proved that he cannot possibly tell whether ae, or (o with macron) or (e with macron) is said, no matter how loud or how near the ear the sound is uttered.	But the continued effort to make him hear underscore words and sentences underscore is a very valuable exercise for him and should be faithfully continued till he is old enough to respond to the tests of hearing as outlined and it has been definitely proved that he cannot possibly tell whether ae, or (o with macron) or (e with macron) is said, no matter how loud or how near the ear the sound is uttered.	false	367.31	388.84	23
6924_291609_000010_000000	The question will naturally arise as to whether the child's hearing of speech can be aided by an electric or mechanical device.	The question will naturally arise as to whether the child's hearing of speech can be aided by an electric or mechanical device.	true	389.33	396.4	21
6924_291609_000010_000001	When it is possible to make the child perceive the sound of the vowels with the unaided voice uttered very near the ear, I believe it to be better, at first, not to interpose any artificial device.	When it is possible to make the child perceive the sound of the vowels with the unaided voice uttered very near the ear, I believe it to be better, at first, not to interpose any artificial device.	false	396.89	407.98	21
6924_291609_000010_000002	But I have found that sometimes, in cases where the sound perception was not at first sufficient to enable the child to distinguish even the most dissimilar vowel sounds, although uttered loudly close to the ear, I could awaken the attention of the child to sound, and stimulate the dormant power by the use of an Acousticon.	But I have found that sometimes, in cases where the sound perception was not at first sufficient to enable the child to distinguish even the most dissimilar vowel sounds, although uttered loudly close to the ear, I could awaken the attention of the child to sound, and stimulate the dormant power by the use of an Acousticon.	true	408.11	425.95	22.378643
6924_291609_000010_000003	After a few months I have been able to dispense with the instrument and use only the unaided voice at close range.	After a few months I have been able to dispense with the instrument and use only the unaided voice at close range.	false	425.96	433.42	21.078613
6924_291609_000010_000004	Later, when some vocabulary has been acquired through these auricular exercises, it is often desirable to return to the Acousticon and teach the child to use it, in _order to extend the distance at which sounds can be heard_.	Later, when some vocabulary has been acquired through these auricular exercises, it is often desirable to return to the Acousticon and teach the child to use it, in underscore order to extend the distance at which sounds can be heard underscore.	false	433.46	447.75	23.9795
6924_291609_000010_000005	By the use of the Acousticon, it then becomes possible to communicate by means of the ear without speaking at such short range.	By the use of the Acousticon, it then becomes possible to communicate by means of the ear without speaking at such short range.	true	447.75	455.5	21.763628
6924_291609_000010_000006	It is not easy, however, to induce a child to use an Acousticon at all times, whereas an adult will take the time and trouble necessary to become accustomed to the instrument, and will put up with the slight inconveniences inseparable from its use.	It is not easy, however, to induce a child to use an Acousticon at all times, whereas an adult will take the time and trouble necessary to become accustomed to the instrument, and will put up with the slight inconveniences inseparable from its use.	false	455.57	469.83	22.424068
6924_291609_000011_000000	X	X	false	469.83	470.85	24.275639
6924_291609_000012_000000	DEVELOPING THE POWER OF LIP READING	DEVELOPING THE POWER OF LIP READING	true	470.85	473.07	26.45721
6924_291609_000013_000000	In this effort to develop the hearing, however, the necessity must not be forgotten of also training the brain to associate ideas with what the eye sees on the lips when words are spoken.	In this effort to develop the hearing, however, the necessity must not be forgotten of also training the brain to associate ideas with what the eye sees on the lips when words are spoken.	true	473.07	484.27	22
6924_291609_000013_000001	In the case of the very slightly deaf child, this visual training is not quite so important as the auricular training, but when there is much deafness it is the more important of the two.	In the case of the very slightly deaf child, this visual training is not quite so important as the auricular training, but when there is much deafness it is the more important of the two.	false	484.31	495.63	22.520124
6924_291609_000013_000002	The comprehension of much language can be given to the little deaf child by constantly talking just as any mother does to her hearing baby, only being always careful to take a position facing the main source of light, which should come _from behind the child_.	The comprehension of much language can be given to the little deaf child by constantly talking just as any mother does to her hearing baby, only being always careful to take a position facing the main source of light, which should come underscore from behind the child underscore.	false	495.63	509.61	22.396194
6924_291609_000014_000000	The hearing child arrives at the association of meaning with the sounds of words only after very many repetitions.	The hearing child arrives at the association of meaning with the sounds of words only after very many repetitions.	true	509.61	516.04	16
6924_291609_000014_000001	How often must the child hear "Mamma," "Look at mamma," "See, here is mamma," "Mamma is coming," "Mamma is here," "Where is mamma?" "Do you love mamma?" "Mamma loves baby," etc., etc., from morning to night, day after day, week after week.	How often must the child hear "Mamma," "Look at mamma," "See, here is mamma," "Mamma is coming," "Mamma is here," "Where is mamma?" "Do you love mamma?" "Mamma loves baby," etc, etc, from morning to night, day after day, week after week.	false	516.17	533.92	20.849173
6924_291609_000014_000002	The mother does it for pleasure; to play with and pet the dear baby.	The mother does it for pleasure; to play with and pet the dear baby.	false	533.99	537.88	21.86536
6924_291609_000014_000003	She does not think of it as a teaching exercise, but it is a very important one.	She does not think of it as a teaching exercise, but it is a very important one.	true	537.92	542.59	25.641048
6924_291609_000014_000004	The deaf baby will learn gradually to associate a meaning with the various sequences of movement of the lips, if a little care is taken to watch his eyes and to speak when they are directed toward the speaker, and to stand in such relation to the light that it falls upon the speaker's face.	The deaf baby will learn gradually to associate a meaning with the various sequences of movement of the lips, if a little care is taken to watch his eyes and to speak when they are directed toward the speaker, and to stand in such relation to the light that it falls upon the speaker's face.	false	542.6	557.38	22.930975
6924_291609_000014_000005	The speech should be the same as to the hearing child, but it takes a little more care and watchfulness to have the deaf child _see_ the same word or phrase as _many times_ as the hearing child hears it.	The speech should be the same as to the hearing child, but it takes a little more care and watchfulness to have the deaf child underscore see underscore the same word or phrase as underscore many times underscore as the hearing child hears it.	false	557.39	567.58	20
6924_291609_000014_000006	If it is spoken when the baby is not looking, it does not help.	If it is spoken when the baby is not looking, it does not help.	true	568.01	571.69	26.615297
6924_291609_000015_000000	When the little one is learning to walk, the mother says, "Come to mamma," "Go to daddy," and gradually he learns "come" and "go." She has him play hide and seek with another child, and she says, "Where is Tom?" "Where is the baby's mouth?" "Where is the baby's nose?" etc., and by and by he knows "where" and "mouth" and "nose," and the names of his playmates or brothers and sisters.	When the little one is learning to walk, the mother says, "Come to mamma," "Go to daddy," and gradually he learns "come" and "go." She has him play hide and seek with another child, and she says, "Where is Tom?" "Where is the baby's mouth?" "Where is the baby's nose?" etc, and by and by he knows "where" and "mouth" and "nose," and the names of his playmates or brothers and sisters.	false	571.88	597.82	22.76012
6924_291609_000015_000001	When he is sitting on the floor she picks him up, saying "up." When she puts him from her lap to the floor she says "down." If he is naughty she says "naughty," and perhaps spats his little hands, and so on through the day.	When he is sitting on the floor she picks him up, saying "up." When she puts him from her lap to the floor she says "down." If he is naughty she says "naughty," and perhaps spats his little hands, and so on through the day.	true	598.46	613.84	23.116648
6924_291609_000015_000002	A little care on her part, a little added thought and watchfulness, perhaps a few more repetitions, and little by little she will find her deaf baby learning to look at her always, and to understand much that is said to him.	A little care on her part, a little added thought and watchfulness, perhaps a few more repetitions, and little by little she will find her deaf baby learning to look at her always, and to understand much that is said to him.	false	614.33	627.28	24.126125
6924_291609_000015_000003	She must all this time remember, also, that the shades of feeling, pleasure, disappointment, approval, disapproval, doubt, certainty, love, anger, joy, which are largely conveyed to the hearing child by intonation of voice, must be conveyed to the deaf baby by facial expression and manner.	She must all this time remember, also, that the shades of feeling, pleasure, disappointment, approval, disapproval, doubt, certainty, love, anger, joy, which are largely conveyed to the hearing child by intonation of voice, must be conveyed to the deaf baby by facial expression and manner.	true	627.29	646.84	23.915724
6924_291609_000015_000004	They become very keen at interpreting moods by the look.	They become very keen at interpreting moods by the look.	true	647	650.4	24.666967
6924_291609_000015_000005	Let the face be sunny and kind and INTERESTED, if possible.	Let the face be sunny and kind and INTERESTED, if possible.	false	650.4	655.06	20.534138
6924_291609_000015_000006	The first indication of impatience, of being bored and weary, will destroy much of one's influence with the deaf child.	The first indication of impatience, of being bored and weary, will destroy much of one's influence with the deaf child.	true	655.52	662.74	24.199228
6924_291609_000016_000000	Sometimes it is harder to disguise one's feelings in the face than in the voice.	Sometimes it is harder to disguise one's feelings in the face than in the voice.	false	663.26	667.6	20.831594
6924_291609_000016_000001	Do not be caught unawares.	Do not be caught unawares.	true	667.91	669.67	24.614708
6924_291609_000016_000002	Interest, cheerfulness, and patience are tremendous forces to help the little deaf child.	Interest, cheerfulness, and patience are tremendous forces to help the little deaf child.	true	669.77	674.86	21.583248
6924_291609_000017_000000	Some one has said:	Some one has said:	false	675.17	678.03	21.982931
6924_291609_000018_000000	"When you consent, consent cordially; When you refuse, refuse finally; When you punish, punish good-naturedly."	"When you consent, consent cordially; When you refuse, refuse finally; When you punish, punish good naturedly."	false	678.03	695.94	17.71534
