1027_125140_000006_000000	Chapter 10	Chapter ten
1027_125140_000027_000001	She paused at the door a moment, hesitating whether to remain or retire; perplexed by finding that she was not observed.	She paused at the door a moment, hesitating whether to remain or retire; perplexed by finding that she was not observed.
1027_125140_000028_000000	'Now, don't mind an old lady's talk,' said Mrs Boffin, 'but tell me.	'Now, don't mind an old lady's talk,' said Mrs Boffin, 'but tell me.
1027_125140_000029_000001	Why do you ask me?'	Why do you ask me?'
1027_125140_000030_000000	'Why, for this reason.	'Why, for this reason.
1027_125140_000030_000001	Sometimes you have a kind of kept-down manner with you, which is not like your age.	Sometimes you have a kind of kept down manner with you, which is not like your age.
1027_125140_000030_000002	You can't be thirty?'	You can't be thirty?'
1027_125140_000031_000000	'I am not yet thirty.'	'I am not yet thirty.'
1027_125140_000032_000000	Deeming it high time to make her presence known, Bella coughed here to attract attention, begged pardon, and said she would go, fearing that she interrupted some matter of business.	Deeming it high time to make her presence known, Bella coughed here to attract attention, begged pardon, and said she would go, fearing that she interrupted some matter of business.
1027_125140_000033_000000	'No, don't go,' rejoined Mrs Boffin, 'because we are coming to business, instead of having begun it, and you belong to it as much now, my dear Bella, as I do.	'No, don't go,' rejoined Mrs Boffin, 'because we are coming to business, instead of having begun it, and you belong to it as much now, my dear Bella, as I do.
1027_125140_000034_000000	Rokesmith departed on that errand, and presently returned accompanied by Mr Boffin at his jog-trot.	Rokesmith departed on that errand, and presently returned accompanied by Mr Boffin at his jog trot.
1027_125140_000034_000001	Bella felt a little vague trepidation as to the subject-matter of this same consultation, until Mrs Boffin announced it.	Bella felt a little vague trepidation as to the subject matter of this same consultation, until Mrs Boffin announced it.
1027_125140_000035_000001	Now, you see, what I want to talk about, is this.	Now, you see, what I want to talk about, is this.
1027_125140_000035_000002	Mr and Mrs Milvey have sent me the kindest note possible (which Mr Rokesmith just now read to me out aloud, for I ain't good at handwritings), offering to find me another little child to name and educate and bring up.	Mr and Mrs Milvey have sent me the kindest note possible (which Mr Rokesmith just now read to me out aloud, for I ain't good at handwritings), offering to find me another little child to name and educate and bring up.
1027_125140_000035_000003	Well.	Well.
1027_125140_000035_000004	This has set me thinking.'	This has set me thinking.'
1027_125140_000037_000000	'--This has set me thinking, I say,' repeated Mrs Boffin, cordially beaming under the influence of her husband's compliment, 'and I have thought two things.	'--This has set me thinking, I say,' repeated Mrs Boffin, cordially beaming under the influence of her husband's compliment, 'and I have thought two things.
1027_125140_000037_000002	It's an unfortunate name, and I fancy I should reproach myself if I gave it to another dear child, and it proved again unlucky.'	It's an unfortunate name, and I fancy I should reproach myself if I gave it to another dear child, and it proved again unlucky.'
1027_125140_000038_000000	'Now, whether,' said Mr Boffin, gravely propounding a case for his Secretary's opinion; 'whether one might call that a superstition?'	'Now, whether,' said Mr Boffin, gravely propounding a case for his Secretary's opinion; 'whether one might call that a superstition?'
1027_125140_000039_000001	It has now this new unfortunate association connected with it.	It has now this new unfortunate association connected with it.
1027_125140_000039_000002	The name has died out.	The name has died out.
1027_125140_000039_000003	Why revive it? Might I ask Miss Wilfer what she thinks?'	Why revive it? Might I ask Miss Wilfer what she thinks?'
1027_125140_000040_000000	'It has not been a fortunate name for me,' said Bella, colouring--'or at least it was not, until it led to my being here--but that is not the point in my thoughts.	'It has not been a fortunate name for me,' said Bella, colouring-'or at least it was not, until it led to my being here-but that is not the point in my thoughts.
1027_125140_000040_000001	As we had given the name to the poor child, and as the poor child took so lovingly to me, I think I should feel jealous of calling another child by it.	As we had given the name to the poor child, and as the poor child took so lovingly to me, I think I should feel jealous of calling another child by it.
1027_125140_000041_000000	'And that's your opinion?' remarked Mr Boffin, observant of the Secretary's face and again addressing him.	'And that's your opinion?' remarked Mr Boffin, observant of the Secretary's face and again addressing him.
1027_125140_000042_000000	'I say again, it is a matter of feeling,' returned the Secretary.	'I say again, it is a matter of feeling,' returned the Secretary.
1027_125140_000043_000000	'Now, give us your opinion, Noddy,' said Mrs Boffin.	'Now, give us your opinion, Noddy,' said Mrs Boffin.
1027_125140_000044_000000	'My opinion, old lady,' returned the Golden Dustman, 'is your opinion.'	'My opinion, old lady,' returned the Golden Dustman, 'is your opinion.'
1027_125140_000045_000000	'Then,' said Mrs Boffin, 'we agree not to revive John Harmon's name, but to let it rest in the grave.	'Then,' said Mrs Boffin, 'we agree not to revive john Harmon's name, but to let it rest in the grave.
1027_125140_000045_000001	It is, as Mr Rokesmith says, a matter of feeling, but Lor how many matters ARE matters of feeling!	It is, as Mr Rokesmith says, a matter of feeling, but Lor how many matters ARE matters of feeling!
1027_125140_000045_000002	Well; and so I come to the second thing I have thought of.	Well; and so I come to the second thing I have thought of.
1027_125140_000046_000000	'Hear, hear!' cried Mr Boffin.	'Hear, hear!' cried Mr Boffin.
1027_125140_000047_000001	I meant that, I am sure, as much as I still mean it.	I meant that, I am sure, as much as I still mean it.
1027_125140_000047_000002	But this little death has made me ask myself the question, seriously, whether I wasn't too bent upon pleasing myself. Else why did I seek out so much for a pretty child, and a child quite to my liking?	But this little death has made me ask myself the question, seriously, whether I wasn't too bent upon pleasing myself. Else why did I seek out so much for a pretty child, and a child quite to my liking?
1027_125140_000047_000003	Wanting to do good, why not do it for its own sake, and put my tastes and likings by?'	Wanting to do good, why not do it for its own sake, and put my tastes and likings by?'
1027_125140_000048_000000	'Perhaps,' said Bella; and perhaps she said it with some little sensitiveness arising out of those old curious relations of hers towards the murdered man; 'perhaps, in reviving the name, you would not have liked to give it to a less interesting child than the original.	'Perhaps,' said Bella; and perhaps she said it with some little sensitiveness arising out of those old curious relations of hers towards the murdered man; 'perhaps, in reviving the name, you would not have liked to give it to a less interesting child than the original.
1027_125140_000048_000001	He interested you very much.'	He interested you very much.'
1027_125140_000049_000000	'Well, my dear,' returned Mrs Boffin, giving her a squeeze, 'it's kind of you to find that reason out, and I hope it may have been so, and indeed to a certain extent I believe it was so, but I am afraid not to the whole extent.	'Well, my dear,' returned Mrs Boffin, giving her a squeeze, 'it's kind of you to find that reason out, and I hope it may have been so, and indeed to a certain extent I believe it was so, but I am afraid not to the whole extent.
1027_125140_000049_000001	However, that don't come in question now, because we have done with the name.'	However, that don't come in question now, because we have done with the name.'
1027_125140_000050_000000	'Laid it up as a remembrance,' suggested Bella, musingly.	'Laid it up as a remembrance,' suggested Bella, musingly.
1027_125140_000051_000000	'Much better said, my dear; laid it up as a remembrance.	'Much better said, my dear; laid it up as a remembrance.
1027_125140_000052_000000	'Not pretty then?' said Bella.	'Not pretty then?' said Bella.
1027_125140_000053_000000	'No,' returned Mrs Boffin, stoutly.	'No,' returned Mrs Boffin, stoutly.
1027_125140_000054_000000	'Nor prepossessing then?' said Bella.	'Nor prepossessing then?' said Bella.
1027_125140_000055_000000	'No,' returned Mrs Boffin.	'No,' returned Mrs Boffin.
1027_125140_000055_000002	That's as it may happen. A well-disposed boy comes in my way who may be even a little wanting in such advantages for getting on in life, but is honest and industrious and requires a helping hand and deserves it.	That's as it may happen. A well disposed boy comes in my way who may be even a little wanting in such advantages for getting on in life, but is honest and industrious and requires a helping hand and deserves it.
1027_125140_000055_000003	If I am very much in earnest and quite determined to be unselfish, let me take care of HIM.'	If I am very much in earnest and quite determined to be unselfish, let me take care of HIM.'
1027_125140_000056_000000	Here the footman whose feelings had been hurt on the former occasion, appeared, and crossing to Rokesmith apologetically announced the objectionable Sloppy.	Here the footman whose feelings had been hurt on the former occasion, appeared, and crossing to Rokesmith apologetically announced the objectionable Sloppy.
1027_125140_000057_000000	The four members of Council looked at one another, and paused.	The four members of Council looked at one another, and paused.
1027_125140_000057_000001	'Shall he be brought here, ma'am?' asked Rokesmith.	'Shall he be brought here, ma'am?' asked Rokesmith.
1027_125140_000058_000000	'Yes,' said Mrs Boffin.	'Yes,' said Mrs Boffin.
1027_125140_000058_000001	Whereupon the footman disappeared, reappeared presenting Sloppy, and retired much disgusted.	Whereupon the footman disappeared, reappeared presenting Sloppy, and retired much disgusted.
1027_125140_000059_000000	The consideration of Mrs Boffin had clothed Mr Sloppy in a suit of black, on which the tailor had received personal directions from Rokesmith to expend the utmost cunning of his art, with a view to the concealment of the cohering and sustaining buttons.	The consideration of Mrs Boffin had clothed Mr Sloppy in a suit of black, on which the tailor had received personal directions from Rokesmith to expend the utmost cunning of his art, with a view to the concealment of the cohering and sustaining buttons.
1027_125140_000059_000001	But, so much more powerful were the frailties of Sloppy's form than the strongest resources of tailoring science, that he now stood before the Council, a perfect Argus in the way of buttons: shining and winking and gleaming and twinkling out of a hundred of those eyes of bright metal, at the dazzled spectators.	But, so much more powerful were the frailties of Sloppy's form than the strongest resources of tailoring science, that he now stood before the Council, a perfect Argus in the way of buttons: shining and winking and gleaming and twinkling out of a hundred of those eyes of bright metal, at the dazzled spectators.
1027_125140_000059_000002	The artistic taste of some unknown hatter had furnished him with a hatband of wholesale capacity which was fluted behind, from the crown of his hat to the brim, and terminated in a black bunch, from which the imagination shrunk discomfited and the reason revolted.	The artistic taste of some unknown hatter had furnished him with a hatband of wholesale capacity which was fluted behind, from the crown of his hat to the brim, and terminated in a black bunch, from which the imagination shrunk discomfited and the reason revolted.
1027_125140_000062_000000	'Have you just come, Sloppy?'	'Have you just come, Sloppy?'
1027_125140_000063_000000	'Yes, mum.'	'Yes, mum.'
1027_125140_000065_000000	'No, mum.	'No, mum.
1027_125140_000065_000001	But I mean to it.	But I mean to it.
1027_125140_000066_000000	'How are the two poor little Minders?' asked Mrs Boffin.	'How are the two poor little Minders?' asked Mrs Boffin.
1027_125140_000067_000000	'Striking right out, mum, and coming round beautiful.'	'Striking right out, mum, and coming round beautiful.'
1027_125140_000069_000000	'Sloppy.'	'Sloppy.'
1027_125140_000070_000000	'Yes, mum.'	'Yes, mum.'
1027_125140_000071_000000	'Come forward, Sloppy.	'Come forward, Sloppy.
1027_125140_000071_000001	Should you like to dine here every day?'	Should you like to dine here every day?'
1027_125140_000073_000000	'Yes.	'Yes.
1027_125140_000074_000000	'Oh, mum!--But there's Mrs Higden,' said Sloppy, checking himself in his raptures, drawing back, and shaking his head with very serious meaning. 'There's Mrs Higden.	'Oh, mum!--But there's Mrs Higden,' said Sloppy, checking himself in his raptures, drawing back, and shaking his head with very serious meaning. 'There's Mrs Higden.
1027_125140_000074_000001	Mrs Higden goes before all.	Mrs Higden goes before all.
1027_125140_000074_000003	And she must be turned for, must Mrs Higden.	And she must be turned for, must Mrs Higden.
1027_125140_000074_000004	Where would Mrs Higden be if she warn't turned for!' At the mere thought of Mrs Higden in this inconceivable affliction, Mr Sloppy's countenance became pale, and manifested the most distressful emotions.	Where would Mrs Higden be if she warn't turned for!' At the mere thought of Mrs Higden in this inconceivable affliction, Mr Sloppy's countenance became pale, and manifested the most distressful emotions.
1027_125140_000075_000001	It shall be seen to.	It shall be seen to.
1027_125140_000075_000002	If Betty Higden can be turned for all the same, you shall come here and be taken care of for life, and be made able to keep her in other ways than the turning.'	If Betty Higden can be turned for all the same, you shall come here and be taken care of for life, and be made able to keep her in other ways than the turning.'
1027_125140_000076_000000	'Even as to that, mum,' answered the ecstatic Sloppy, 'the turning might be done in the night, don't you see?	'Even as to that, mum,' answered the ecstatic Sloppy, 'the turning might be done in the night, don't you see?
1027_125140_000076_000001	I could be here in the day, and turn in the night.	I could be here in the day, and turn in the night.
1027_125140_000076_000002	I don't want no sleep, I don't.	I don't want no sleep, I don't.
1027_125140_000076_000003	Or even if I any ways should want a wink or two,' added Sloppy, after a moment's apologetic reflection, 'I could take 'em turning.	Or even if I any ways should want a wink or two,' added Sloppy, after a moment's apologetic reflection, 'I could take 'em turning.
1027_125140_000076_000004	I've took 'em turning many a time, and enjoyed 'em wonderful!'	I've took 'em turning many a time, and enjoyed 'em wonderful!'
1027_125140_000077_000000	On the grateful impulse of the moment, Mr Sloppy kissed Mrs Boffin's hand, and then detaching himself from that good creature that he might have room enough for his feelings, threw back his head, opened his mouth wide, and uttered a dismal howl.	On the grateful impulse of the moment, Mr Sloppy kissed Mrs Boffin's hand, and then detaching himself from that good creature that he might have room enough for his feelings, threw back his head, opened his mouth wide, and uttered a dismal howl.
