6378_61777_000000_000000	CHAPTER SEVENTY THREE.	CHAPTER SEVENTY THREE.	false	0.48	15.66	24.71494
6378_61777_000012_000003	To have done so would have been to ignore the evidence of two hundred pairs of eyes, all belonging to men willing to make affidavit of the fact--for it could not be pronounced a fancy.	To have done so would have been to ignore the evidence of two hundred pairs of eyes, all belonging to men willing to make affidavit of the fact-for it could not be pronounced a fancy.	true	179.21	188.53	21.742653
6378_61777_000012_000004	No one denied that it had been seen.	No one denied that it had been seen.	true	189.35	191.29	28.510994
6378_61777_000012_000005	The only question was, how to account for a spectacle so peculiar, as to give the lie to all the known laws of creation.	The only question was, how to account for a spectacle so peculiar, as to give the lie to all the known laws of creation.	true	191.36	197.98	20
6378_61777_000013_000000	At least half a score of theories were started--more or less feasible-- more or less absurd.	At least half a score of theories were started-more or less feasible- more or less absurd.	true	198.92	204.31	21.167728
6378_61777_000013_000001	Some called it an "Indian dodge;" others believed it a "lay figure;" others that it was not that, but a real rider, only so disguised as to have his head under the serape that shrouded his shoulders, with perhaps a pair of eye-holes through which he could see to guide his horse; while not a few pertinaciously adhered to the conjecture, started at a very early period, that the Headless Horseman was Lucifer himself!	Some called it an "Indian dodge;" others believed it a "lay figure;" others that it was not that, but a real rider, only so disguised as to have his head under the serape that shrouded his shoulders, with perhaps a pair of eye holes through which he could see to guide his horse; while not a few pertinaciously adhered to the conjecture, started at a very early period, that the Headless Horseman was Lucifer himself!	false	204.59	227.11	21.474236
6378_61777_000014_000000	In addition to the direct attempts at interpreting the abnormal phenomenon, there was a crowd of indirect conjectures relating to it. Some fancied that they could see the head, or the shape of it, down upon the breast, and under the blanket; others affirmed to having actually seen it carried in the rider's hand; while others went still further, and alleged: that upon the head thus seen there was a hat--a black-glaze sombrero of the Mexican sort, with a band of gold bullion above the brim!	In addition to the direct attempts at interpreting the abnormal phenomenon, there was a crowd of indirect conjectures relating to it. Some fancied that they could see the head, or the shape of it, down upon the breast, and under the blanket; others affirmed to having actually seen it carried in the rider's hand; while others went still further, and alleged: that upon the head thus seen there was a hat-a black glaze sombrero of the Mexican sort, with a band of gold bullion above the brim!	false	227.66	254.14	21.780647
6378_61777_000015_000000	There were still further speculations, that related less to the apparition itself than to its connection with the other grand topic of the time--the murder of young Poindexter.	There were still further speculations, that related less to the apparition itself than to its connection with the other grand topic of the time-the murder of young Poindexter.	true	254.9	263.95	21.253029
6378_61777_000016_000000	Most people believed there was some connection between the two mysteries; though no one could explain it.	Most people believed there was some connection between the two mysteries; though no one could explain it.	true	264.5	269.71	22.906408
6378_61777_000016_000001	He, whom everybody believed, could have thrown some light upon the subject, was still ridden by the night-mare of delirium.	He, whom everybody believed, could have thrown some light upon the subject, was still ridden by the night mare of delirium.	true	270.11	275.86	21.465618
6378_61777_000017_000000	And for a whole week the guessing continued; during which the spectral rider was repeatedly seen; now going at a quick gallop, now moving in slow, tranquil pace, across the treeless prairie: his horse at one time halted and vaguely gazing around him; at another with teeth to the ground, industriously cropping the sweet _gramma_ grass, that makes the pasturage of South-Western Texas (in my opinion) the finest in the world.	And for a whole week the guessing continued; during which the spectral rider was repeatedly seen; now going at a quick gallop, now moving in slow, tranquil pace, across the treeless prairie: his horse at one time halted and vaguely gazing around him; at another with teeth to the ground, industriously cropping the sweet underscore gramma underscore grass, that makes the pasturage of south-western Texas (in my opinion) the finest in the world.	false	276.41	301.06	22.651897
6378_61777_000018_000000	Rejecting many tales told of the Headless Horseman--most of them too grotesque to be recorded--one truthful episode must needs be given-- since it forms an essential chapter of this strange history.	Rejecting many tales told of the Headless Horseman-most of them too grotesque to be recorded-one truthful episode must needs be given- since it forms an essential chapter of this strange history.	true	301.79	312.45	22
6378_61777_000019_000000	------------------------------------------------------------------------	dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash	false	312.45	313.815	12
6378_61777_000020_000000	In the midst of the open, prairie there is a "motte"--a coppice, or clump of trees--of perhaps three or four acres in superficial extent.	In the midst of the open, prairie there is a "motte"--a coppice, or clump of trees-of perhaps three or four acres in superficial extent.	true	313.815	321.01	21
6378_61777_000020_000001	A prairie-man would call it an "island," and with your eyes upon the vast verdant sea that surrounds it, you could not help being struck with the resemblance.	A prairie man would call it an "island," and with your eyes upon the vast verdant sea that surrounds it, you could not help being struck with the resemblance.	true	321.17	328.93	22.167885
6378_61777_000021_000000	The aboriginal of America might not perceive it.	The aboriginal of America might not perceive it.	true	329.36	332.04	22
6378_61777_000021_000001	It is a thought of the colonist transmitted to his descendants; who, although they may never have looked upon the great ocean, are nevertheless _au fait_ to its phraseology.	It is a thought of the colonist transmitted to his descendants; who, although they may never have looked upon the great ocean, are nevertheless underscore au fait underscore to its phraseology.	false	332.04	340.72	22
6378_61777_000022_000000	By the timber island in question--about two hundred yards from its edge--a horse is quietly pasturing.	By the timber island in question-about two hundred yards from its edge-a horse is quietly pasturing.	true	341.3	347.02	20.69698
6378_61777_000022_000001	He is the same that carries the headless rider; and this weird equestrian is still bestriding him, with but little appearance of change, either in apparel or attitude, since first seen by the searchers.	He is the same that carries the headless rider; and this weird equestrian is still bestriding him, with but little appearance of change, either in apparel or attitude, since first seen by the searchers.	true	347.42	358.03	22
6378_61777_000022_000002	The striped blanket still hangs over his shoulders, cloaking the upper half of his person; while the _armas-de-agua_, strapped over his limbs, cover them from thigh to spur, concealing all but their outlines.	The striped blanket still hangs over his shoulders, cloaking the upper half of his person; while the underscore armas de agua underscore, strapped over his limbs, cover them from thigh to spur, concealing all but their outlines.	false	358.61	369.58	21
6378_61777_000023_000000	His body is bent a little forward, as if to ease the horse in getting his snout to the sward; which the long bridle-rein, surrendered to its full length, enables him to do, though still retained in hand, or resting over the "horn" of the saddle.	His body is bent a little forward, as if to ease the horse in getting his snout to the sward; which the long bridle rein, surrendered to its full length, enables him to do, though still retained in hand, or resting over the "horn" of the saddle.	false	370.16	382.27	19
6378_61777_000024_000000	Those who asserted that they saw a head, only told the truth.	Those who asserted that they saw a head, only told the truth.	true	382.91	386.265	21
6378_61777_000024_000001	There is a head; and, as also stated, with a hat upon it--a black sombrero, with bullion band as described.	There is a head; and, as also stated, with a hat upon it-a black sombrero, with bullion band as described.	true	386.265	393.13	22.099447
6378_61777_000025_000000	The head rests against the left thigh, the chin being nearly down on a level with the rider's knee.	The head rests against the left thigh, the chin being nearly down on a level with the rider's knee.	true	393.32	398.41	17
6378_61777_000025_000001	Being on the near side it _can_ only be seen, when the spectator is on the same; and not always then, as it is at times concealed by a corner of the serape.	Being on the near side it underscore can underscore only be seen, when the spectator is on the same; and not always then, as it is at times concealed by a corner of the serape.	false	398.69	406.87	17
6378_61777_000026_000000	At times too can a glimpse be obtained of the face.	At times too can a glimpse be obtained of the face.	true	407.42	410.38	22
6378_61777_000026_000001	Its features are well formed, but wearing a sad expression; the lips of livid colour, slightly parted, showing a double row of white teeth, set in a grim ghastly smile.	Its features are well formed, but wearing a sad expression; the lips of livid colour, slightly parted, showing a double row of white teeth, set in a grim ghastly smile.	true	410.66	420.49	22
6378_61777_000027_000000	Though there is no perceptible change in the _personnel_ of the Headless Horseman there is something new to be noted.	Though there is no perceptible change in the underscore personnel underscore of the Headless Horseman there is something new to be noted.	false	421.31	426.67	21.05386
6378_61777_000027_000001	Hitherto he has been seen going alone.	Hitherto he has been seen going alone.	true	426.98	429.25	20.41582
6378_61777_000027_000002	Now he is in company.	Now he is in company.	true	429.38	430.99	19.7469
6378_61777_000028_000000	It cannot be called agreeable;--consisting as it does of wolves--half a score of them squatting closely upon the plain, and at intervals loping around him.	It cannot be called agreeable;--consisting as it does of wolves-half a score of them squatting closely upon the plain, and at intervals loping around him.	true	431.51	439.69	21.970127
6378_61777_000029_000000	By the horse they are certainly not liked; as is proved by the snorting and stamping of his hoof, when one of them ventures upon a too close proximity to his heels.	By the horse they are certainly not liked; as is proved by the snorting and stamping of his hoof, when one of them ventures upon a too close proximity to his heels.	true	440.09	448.3	20
6378_61777_000030_000000	The rider seems more indifferent to a score of birds--large dark birds-- that swoop in shadowy circles around his shoulders.	The rider seems more indifferent to a score of birds-large dark birds- that swoop in shadowy circles around his shoulders.	true	448.64	455.29	18
6378_61777_000030_000001	Even when one bolder than the rest has the audacity to alight upon him, he has made no attempt to disturb it, raising neither hand nor arm to drive it away!	Even when one bolder than the rest has the audacity to alight upon him, he has made no attempt to disturb it, raising neither hand nor arm to drive it away!	true	455.75	463.99	19
6378_61777_000031_000000	Three times one of the birds has alighted thus--first upon the right shoulder, then upon the left, and then midway between--upon the spot where the head should be!	Three times one of the birds has alighted thus-first upon the right shoulder, then upon the left, and then midway between-upon the spot where the head should be!	true	464.78	473.98	21.344225
6378_61777_000032_000000	The bird does not stay upon its singular perch, or only for an instant. If the rider does not feel the indignity the steed does; and resists it by rearing upward, with a fierce neighing, that frights the vultures off--to return again only after a short interval of shyness.	The bird does not stay upon its singular perch, or only for an instant. If the rider does not feel the indignity the steed does; and resists it by rearing upward, with a fierce neighing, that frights the vultures off-to return again only after a short interval of shyness.	false	474.89	509.88	22.718357
