3922_715_000002_000000	Chapter VIII.	Chapter eight.
3922_715_000021_000006	Did you really mean to shoot yourself to-morrow, you stupid?	Did you really mean to shoot yourself to morrow, you stupid?
3922_715_000021_000007	No, wait a little.	No, wait a little.
3922_715_000021_000008	To-morrow I may have something to say to you....	To morrow I may have something to say to you....
3922_715_000021_000009	I won't say it to-day, but to-morrow.	I won't say it to day, but to morrow.
3922_715_000021_000010	You'd like it to be to-day? No, I don't want to to-day.	You'd like it to be to day? No, I don't want to to day.
3922_715_000022_000000	Once, however, she called him, as it were, puzzled and uneasy.	Once, however, she called him, as it were, puzzled and uneasy.
3922_715_000023_000001	I see you're sad....	I see you're sad....
3922_715_000023_000002	Yes, I see it," she added, looking intently into his eyes.	Yes, I see it," she added, looking intently into his eyes.
3922_715_000023_000003	"Though you keep kissing the peasants and shouting, I see something.	"Though you keep kissing the peasants and shouting, I see something.
3922_715_000023_000004	No, be merry.	No, be merry.
3922_715_000023_000005	I'm merry; you be merry, too.... I love somebody here.	I'm merry; you be merry, too.... I love somebody here.
3922_715_000024_000001	He was, in fact, drunk, and had dropped asleep for a moment, sitting on the sofa.	He was, in fact, drunk, and had dropped asleep for a moment, sitting on the sofa.
3922_715_000024_000003	And the dances were as bad.	And the dances were as bad.
3922_715_000024_000004	Two girls dressed up as bears, and a lively girl, called Stepanida, with a stick in her hand, acted the part of keeper, and began to "show them."	Two girls dressed up as bears, and a lively girl, called Stepanida, with a stick in her hand, acted the part of keeper, and began to "show them."
3922_715_000025_000000	"Look alive, Marya, or you'll get the stick!"	"Look alive, Marya, or you'll get the stick!"
3922_715_000026_000000	The bears rolled on the ground at last in the most unseemly fashion, amid roars of laughter from the closely-packed crowd of men and women.	The bears rolled on the ground at last in the most unseemly fashion, amid roars of laughter from the closely packed crowd of men and women.
3922_715_000027_000000	"Well, let them!	"Well, let them!
3922_715_000027_000001	Let them!" said Grushenka sententiously, with an ecstatic expression on her face.	Let them!" said Grushenka sententiously, with an ecstatic expression on her face.
3922_715_000027_000002	"When they do get a day to enjoy themselves, why shouldn't folks be happy?"	"When they do get a day to enjoy themselves, why shouldn't folks be happy?"
3922_715_000029_000000	"It's swinish, all this peasant foolery," he murmured, moving away; "it's the game they play when it's light all night in summer."	"It's swinish, all this peasant foolery," he murmured, moving away; "it's the game they play when it's light all night in summer."
3922_715_000030_000000	He particularly disliked one "new" song to a jaunty dance-tune.	He particularly disliked one "new" song to a jaunty dance tune.
3922_715_000030_000001	It described how a gentleman came and tried his luck with the girls, to see whether they would love him:	It described how a gentleman came and tried his luck with the girls, to see whether they would love him:
3922_715_000031_000000	The master came to try the girls: Would they love him, would they not?	The master came to try the girls: Would they love him, would they not?
3922_715_000032_000000	But the girls could not love the master:	But the girls could not love the master:
3922_715_000033_000000	He would beat me cruelly And such love won't do for me.	He would beat me cruelly And such love won't do for me.
3922_715_000034_000000	Then a gypsy comes along and he, too, tries:	Then a gypsy comes along and he, too, tries:
3922_715_000035_000000	The gypsy came to try the girls: Would they love him, would they not?	The gypsy came to try the girls: Would they love him, would they not?
3922_715_000036_000000	But they couldn't love the gypsy either:	But they couldn't love the gypsy either:
3922_715_000037_000000	He would be a thief, I fear, And would cause me many a tear.	He would be a thief, I fear, And would cause me many a tear.
3922_715_000039_000000	The soldier came to try the girls: Would they love him, would they not?	The soldier came to try the girls: Would they love him, would they not?
3922_715_000040_000000	But the soldier is rejected with contempt, in two indecent lines, sung with absolute frankness and producing a furore in the audience.	But the soldier is rejected with contempt, in two indecent lines, sung with absolute frankness and producing a furore in the audience.
3922_715_000041_000000	The merchant came to try the girls: Would they love him, would they not?	The merchant came to try the girls: Would they love him, would they not?
3922_715_000042_000000	And it appears that he wins their love because:	And it appears that he wins their love because:
3922_715_000043_000000	The merchant will make gold for me And his queen I'll gladly be.	The merchant will make gold for me And his queen I'll gladly be.
3922_715_000045_000000	"That's just a song of yesterday," he said aloud.	"That's just a song of yesterday," he said aloud.
3922_715_000045_000001	"Who writes such things for them?	"Who writes such things for them?
3922_715_000046_000000	And, almost as though it were a personal affront, he declared, on the spot, that he was bored, sat down on the sofa and immediately fell asleep. His pretty little face looked rather pale, as it fell back on the sofa cushion.	And, almost as though it were a personal affront, he declared, on the spot, that he was bored, sat down on the sofa and immediately fell asleep. His pretty little face looked rather pale, as it fell back on the sofa cushion.
3922_715_000047_000000	"Look how pretty he is," said Grushenka, taking Mitya up to him.	"Look how pretty he is," said Grushenka, taking Mitya up to him.
3922_715_000047_000001	"I was combing his hair just now; his hair's like flax, and so thick...."	"I was combing his hair just now; his hair's like flax, and so thick...."
3922_715_000048_000000	And, bending over him tenderly, she kissed his forehead.	And, bending over him tenderly, she kissed his forehead.
3922_715_000049_000001	"Stay with me a minute. Mitya, run and find his Maximov."	"Stay with me a minute. Mitya, run and find his Maximov."
3922_715_000050_000000	Maximov, it appeared, could not tear himself away from the girls, only running away from time to time to pour himself out a glass of liqueur.	Maximov, it appeared, could not tear himself away from the girls, only running away from time to time to pour himself out a glass of liqueur.
3922_715_000050_000001	He had drunk two cups of chocolate.	He had drunk two cups of chocolate.
3922_715_000050_000002	His face was red, and his nose was crimson; his eyes were moist and mawkishly sweet.	His face was red, and his nose was crimson; his eyes were moist and mawkishly sweet.
3922_715_000051_000000	"They taught me all those well-bred, aristocratic dances when I was little...."	"They taught me all those well bred, aristocratic dances when I was little...."
3922_715_000052_000000	"Go, go with him, Mitya, and I'll watch from here how he dances," said Grushenka.	"Go, go with him, Mitya, and I'll watch from here how he dances," said Grushenka.
3922_715_000053_000000	"No, no, I'm coming to look on, too," exclaimed Kalganov, brushing aside in the most naive way Grushenka's offer to sit with him.	"No, no, I'm coming to look on, too," exclaimed Kalganov, brushing aside in the most naive way Grushenka's offer to sit with him.
3922_715_000053_000001	They all went to look on.	They all went to look on.
3922_715_000053_000002	Maximov danced his dance.	Maximov danced his dance.
3922_715_000053_000005	Kalganov did not like it at all, but Mitya kissed the dancer.	Kalganov did not like it at all, but Mitya kissed the dancer.
3922_715_000054_000000	"Thanks.	"Thanks.
3922_715_000054_000001	You're tired perhaps?	You're tired perhaps?
3922_715_000054_000002	What are you looking for here?	What are you looking for here?
3922_715_000054_000003	Would you like some sweets?	Would you like some sweets?
3922_715_000054_000004	A cigar, perhaps?"	A cigar, perhaps?"
3922_715_000055_000000	"A cigarette."	"A cigarette."
3922_715_000057_000000	"I'll just have a liqueur....	"I'll just have a liqueur....
3922_715_000057_000001	Have you any chocolates?"	Have you any chocolates?"
3922_715_000058_000000	"Yes, there's a heap of them on the table there.	"Yes, there's a heap of them on the table there.
3922_715_000059_000000	"I like one with vanilla ... for old people.	"I like one with vanilla ... for old people.
3922_715_000060_000000	"No, brother, we've none of that special sort."	"No, brother, we've none of that special sort."
3922_715_000061_000000	"I say," the old man bent down to whisper in Mitya's ear.	"I say," the old man bent down to whisper in Mitya's ear.
3922_715_000061_000002	How would it be if you were to help me make friends with her?"	How would it be if you were to help me make friends with her?"
3922_715_000062_000000	"So that's what you're after!	"So that's what you're after!
3922_715_000062_000001	No, brother, that won't do!"	No, brother, that won't do!"
3922_715_000064_000000	"Oh, all right, all right.	"Oh, all right, all right.
3922_715_000064_000001	They only come here to dance and sing, you know, brother.	They only come here to dance and sing, you know, brother.
3922_715_000064_000004	Don't you want money?"	Don't you want money?"
3922_715_000066_000000	"All right, all right...."	"All right, all right...."
3922_715_000067_000000	Mitya's head was burning.	Mitya's head was burning.
3922_715_000067_000001	He went outside to the wooden balcony which ran round the whole building on the inner side, overlooking the courtyard.	He went outside to the wooden balcony which ran round the whole building on the inner side, overlooking the courtyard.
3922_715_000067_000002	The fresh air revived him.	The fresh air revived him.
3922_715_000067_000003	He stood alone in a dark corner, and suddenly clutched his head in both hands.	He stood alone in a dark corner, and suddenly clutched his head in both hands.
3922_715_000067_000004	His scattered thoughts came together; his sensations blended into a whole and threw a sudden light into his mind.	His scattered thoughts came together; his sensations blended into a whole and threw a sudden light into his mind.
3922_715_000067_000005	A fearful and terrible light!	A fearful and terrible light!
3922_715_000067_000006	"If I'm to shoot myself, why not now?" passed through his mind.	"If I'm to shoot myself, why not now?" passed through his mind.
3922_715_000067_000007	"Why not go for the pistols, bring them here, and here, in this dark dirty corner, make an end?" Almost a minute he stood, undecided.	"Why not go for the pistols, bring them here, and here, in this dark dirty corner, make an end?" Almost a minute he stood, undecided.
3922_715_000067_000009	But yet it was easier for him then.	But yet it was easier for him then.
3922_715_000068_000000	But now?	But now?
3922_715_000068_000001	Was it the same as then?	Was it the same as then?
3922_715_000068_000002	Now one phantom, one terror at least was at an end: that first, rightful lover, that fateful figure had vanished, leaving no trace.	Now one phantom, one terror at least was at an end: that first, rightful lover, that fateful figure had vanished, leaving no trace.
3922_715_000068_000004	It would never return.	It would never return.
3922_715_000068_000005	She was ashamed, and from her eyes he could see now whom she loved.	She was ashamed, and from her eyes he could see now whom she loved.
3922_715_000068_000006	Now he had everything to make life happy ... but he could not go on living, he could not; oh, damnation!	Now he had everything to make life happy ... but he could not go on living, he could not; oh, damnation!
3922_715_000068_000007	"O God! restore to life the man I knocked down at the fence!	"O God! restore to life the man I knocked down at the fence!
3922_715_000068_000008	Let this fearful cup pass from me!	Let this fearful cup pass from me!
3922_715_000068_000009	Lord, thou hast wrought miracles for such sinners as me!	Lord, thou hast wrought miracles for such sinners as me!
3922_715_000068_000010	But what, what if the old man's alive?	But what, what if the old man's alive?
3922_715_000069_000000	Yet there was a ray of light and hope in his darkness.	Yet there was a ray of light and hope in his darkness.
3922_715_000069_000001	He jumped up and ran back to the room--to her, to her, his queen for ever!	He jumped up and ran back to the room-to her, to her, his queen for ever!
3922_715_000069_000002	Was not one moment of her love worth all the rest of life, even in the agonies of disgrace?	Was not one moment of her love worth all the rest of life, even in the agonies of disgrace?
3922_715_000069_000003	This wild question clutched at his heart.	This wild question clutched at his heart.
3922_715_000069_000005	He thought he looked gloomy and worried, and fancied he had come to find him.	He thought he looked gloomy and worried, and fancied he had come to find him.
3922_715_000070_000000	"What is it, Trifon Borissovitch? are you looking for me?"	"What is it, Trifon Borissovitch? are you looking for me?"
3922_715_000071_000000	"No, sir." The landlord seemed disconcerted.	"No, sir." The landlord seemed disconcerted.
3922_715_000071_000001	"Why should I be looking for you?	"Why should I be looking for you?
3922_715_000071_000002	Where have you been?"	Where have you been?"
3922_715_000072_000000	"Why do you look so glum?	"Why do you look so glum?
3922_715_000072_000001	You're not angry, are you?	You're not angry, are you?
3922_715_000072_000002	Wait a bit, you shall soon get to bed....	Wait a bit, you shall soon get to bed....
3922_715_000072_000003	What's the time?"	What's the time?"
3922_715_000073_000000	"It'll be three o'clock.	"It'll be three o'clock.
3922_715_000073_000001	Past three, it must be."	Past three, it must be."
3922_715_000074_000000	"We'll leave off soon.	"We'll leave off soon.
3922_715_000074_000001	We'll leave off."	We'll leave off."
3922_715_000075_000000	"Don't mention it; it doesn't matter.	"Don't mention it; it doesn't matter.
3922_715_000075_000001	Keep it up as long as you like...."	Keep it up as long as you like...."
3922_715_000076_000000	"What's the matter with him?" Mitya wondered for an instant, and he ran back to the room where the girls were dancing.	"What's the matter with him?" Mitya wondered for an instant, and he ran back to the room where the girls were dancing.
3922_715_000076_000002	She was not in the blue room either; there was no one but Kalganov asleep on the sofa.	She was not in the blue room either; there was no one but Kalganov asleep on the sofa.
3922_715_000076_000003	Mitya peeped behind the curtain--she was there.	Mitya peeped behind the curtain-she was there.
3922_715_000076_000004	She was sitting in the corner, on a trunk.	She was sitting in the corner, on a trunk.
3922_715_000076_000005	Bent forward, with her head and arms on the bed close by, she was crying bitterly, doing her utmost to stifle her sobs that she might not be heard.	Bent forward, with her head and arms on the bed close by, she was crying bitterly, doing her utmost to stifle her sobs that she might not be heard.
3922_715_000076_000006	Seeing Mitya, she beckoned him to her, and when he ran to her, she grasped his hand tightly.	Seeing Mitya, she beckoned him to her, and when he ran to her, she grasped his hand tightly.
3922_715_000077_000000	"Mitya, Mitya, I loved him, you know.	"Mitya, Mitya, I loved him, you know.
3922_715_000077_000001	How I have loved him these five years, all that time!	How I have loved him these five years, all that time!
3922_715_000077_000003	No, him, him! It's a lie that it was my anger I loved and not him.	No, him, him! It's a lie that it was my anger I loved and not him.
3922_715_000077_000005	And now, O Lord, it's not the same man.	And now, O Lord, it's not the same man.
3922_715_000077_000006	Even his face is not the same; he's different altogether.	Even his face is not the same; he's different altogether.
3922_715_000077_000008	I drove here with Timofey, and all the way I was thinking how I should meet him, what I should say to him, how we should look at one another.	I drove here with Timofey, and all the way I was thinking how I should meet him, what I should say to him, how we should look at one another.
3922_715_000077_000009	My soul was faint, and all of a sudden it was just as though he had emptied a pail of dirty water over me.	My soul was faint, and all of a sudden it was just as though he had emptied a pail of dirty water over me.
3922_715_000077_000010	He talked to me like a schoolmaster, all so grave and learned; he met me so solemnly that I was struck dumb.	He talked to me like a schoolmaster, all so grave and learned; he met me so solemnly that I was struck dumb.
3922_715_000077_000011	I couldn't get a word in.	I couldn't get a word in.
3922_715_000077_000012	At first I thought he was ashamed to talk before his great big Pole.	At first I thought he was ashamed to talk before his great big Pole.
3922_715_000077_000014	It must have been his wife that ruined him; you know he threw me up to get married.	It must have been his wife that ruined him; you know he threw me up to get married.
3922_715_000077_000015	She must have changed him like that.	She must have changed him like that.
3922_715_000077_000016	Mitya, how shameful it is!	Mitya, how shameful it is!
3922_715_000077_000017	Oh, Mitya, I'm ashamed, I'm ashamed for all my life.	Oh, Mitya, I'm ashamed, I'm ashamed for all my life.
3922_715_000077_000018	Curse it, curse it, curse those five years!"	Curse it, curse it, curse those five years!"
3922_715_000078_000000	And again she burst into tears, but clung tight to Mitya's hand and did not let it go.	And again she burst into tears, but clung tight to Mitya's hand and did not let it go.
3922_715_000079_000000	"Mitya, darling, stay, don't go away.	"Mitya, darling, stay, don't go away.
3922_715_000079_000002	"Listen, tell me who it is I love?	"Listen, tell me who it is I love?
3922_715_000079_000003	I love one man here.	I love one man here.
3922_715_000079_000004	Who is that man?	Who is that man?
3922_715_000079_000005	That's what you must tell me."	That's what you must tell me."
3922_715_000080_000000	A smile lighted up her face that was swollen with weeping, and her eyes shone in the half darkness.	A smile lighted up her face that was swollen with weeping, and her eyes shone in the half darkness.
3922_715_000081_000001	'Fool! that's the man you love!' That was what my heart whispered to me at once.	'Fool! that's the man you love!' That was what my heart whispered to me at once.
3922_715_000081_000002	You came in and all grew bright.	You came in and all grew bright.
3922_715_000081_000005	For you were frightened; you couldn't speak.	For you were frightened; you couldn't speak.
3922_715_000081_000006	It's not them he's afraid of--could you be frightened of any one?	It's not them he's afraid of-could you be frightened of any one?
3922_715_000081_000007	It's me he's afraid of, I thought, only me.	It's me he's afraid of, I thought, only me.
3922_715_000081_000009	Do you forgive me, Mitya?	Do you forgive me, Mitya?
3922_715_000081_000010	Do you forgive me or not?	Do you forgive me or not?
3922_715_000081_000012	Do you love me?" She jumped up and held him with both hands on his shoulders.	Do you love me?" She jumped up and held him with both hands on his shoulders.
3922_715_000082_000000	"You will forgive me for having tormented you?	"You will forgive me for having tormented you?
3922_715_000082_000001	It was through spite I tormented you all.	It was through spite I tormented you all.
3922_715_000082_000002	It was for spite I drove the old man out of his mind....	It was for spite I drove the old man out of his mind....
3922_715_000082_000005	He kissed me once, and now he draws back and looks and listens.	He kissed me once, and now he draws back and looks and listens.
3922_715_000082_000006	Why listen to me?	Why listen to me?
3922_715_000082_000007	Kiss me, kiss me hard, that's right.	Kiss me, kiss me hard, that's right.
3922_715_000082_000009	I'll be your slave now, your slave for the rest of my life.	I'll be your slave now, your slave for the rest of my life.
3922_715_000082_000010	It's sweet to be a slave. Kiss me!	It's sweet to be a slave. Kiss me!
3922_715_000082_000011	Beat me, ill-treat me, do what you will with me....	Beat me, ill treat me, do what you will with me....
3922_715_000082_000012	And I do deserve to suffer.	And I do deserve to suffer.
3922_715_000082_000013	Stay, wait, afterwards, I won't have that...." she suddenly thrust him away.	Stay, wait, afterwards, I won't have that...." she suddenly thrust him away.
3922_715_000082_000015	Mitya followed like a drunken man.	Mitya followed like a drunken man.
3922_715_000083_000000	"Yes, come what may--whatever may happen now, for one minute I'd give the whole world," he thought.	"Yes, come what may-whatever may happen now, for one minute I'd give the whole world," he thought.
3922_715_000083_000001	Grushenka did, in fact, toss off a whole glass of champagne at one gulp, and became at once very tipsy.	Grushenka did, in fact, toss off a whole glass of champagne at one gulp, and became at once very tipsy.
3922_715_000083_000002	She sat down in the same chair as before, with a blissful smile on her face.	She sat down in the same chair as before, with a blissful smile on her face.
3922_715_000083_000004	Even Kalganov felt a stir at the heart and went up to her.	Even Kalganov felt a stir at the heart and went up to her.
3922_715_000084_000000	"Did you feel how I kissed you when you were asleep just now?" she said thickly.	"Did you feel how I kissed you when you were asleep just now?" she said thickly.
3922_715_000084_000001	"I'm drunk now, that's what it is....	"I'm drunk now, that's what it is....
3922_715_000084_000002	And aren't you drunk?	And aren't you drunk?
3922_715_000084_000003	And why isn't Mitya drinking?	And why isn't Mitya drinking?
3922_715_000084_000004	Why don't you drink, Mitya?	Why don't you drink, Mitya?
3922_715_000084_000005	I'm drunk, and you don't drink...."	I'm drunk, and you don't drink...."
3922_715_000085_000000	"I am drunk!	"I am drunk!
3922_715_000086_000000	He drank off another glass, and--he thought it strange himself--that glass made him completely drunk.	He drank off another glass, and-he thought it strange himself-that glass made him completely drunk.
3922_715_000086_000001	He was suddenly drunk, although till that moment he had been quite sober, he remembered that.	He was suddenly drunk, although till that moment he had been quite sober, he remembered that.
3922_715_000086_000002	From that moment everything whirled about him, as though he were delirious.	From that moment everything whirled about him, as though he were delirious.
3922_715_000086_000003	He walked, laughed, talked to everybody, without knowing what he was doing.	He walked, laughed, talked to everybody, without knowing what he was doing.
3922_715_000086_000004	Only one persistent burning sensation made itself felt continually, "like a red-hot coal in his heart," he said afterwards.	Only one persistent burning sensation made itself felt continually, "like a red hot coal in his heart," he said afterwards.
3922_715_000086_000005	He went up to her, sat beside her, gazed at her, listened to her....	He went up to her, sat beside her, gazed at her, listened to her....
3922_715_000086_000007	When the girl came up, she either kissed her, or made the sign of the cross over her.	When the girl came up, she either kissed her, or made the sign of the cross over her.
3922_715_000086_000009	She was greatly amused by the "little old man," as she called Maximov.	She was greatly amused by the "little old man," as she called Maximov.
3922_715_000086_000010	He ran up every minute to kiss her hands, "each little finger," and finally he danced another dance to an old song, which he sang himself.	He ran up every minute to kiss her hands, "each little finger," and finally he danced another dance to an old song, which he sang himself.
3922_715_000086_000011	He danced with special vigor to the refrain:	He danced with special vigor to the refrain:
3922_715_000088_000000	"Give him something, Mitya," said Grushenka.	"Give him something, Mitya," said Grushenka.
3922_715_000088_000001	"Give him a present, he's poor, you know.	"Give him a present, he's poor, you know.
3922_715_000088_000002	Ah, the poor, the insulted!...	Ah, the poor, the insulted!...
3922_715_000088_000003	Do you know, Mitya, I shall go into a nunnery.	Do you know, Mitya, I shall go into a nunnery.
3922_715_000088_000006	But to-day let us dance.	But to day let us dance.
3922_715_000088_000007	To-morrow to the nunnery, but to-day we'll dance.	To morrow to the nunnery, but to day we'll dance.
3922_715_000088_000008	I want to play to-day, good people, and what of it?	I want to play to day, good people, and what of it?
3922_715_000088_000009	God will forgive us.	God will forgive us.
3922_715_000088_000012	I gave a little onion.	I gave a little onion.
3922_715_000088_000013	Wicked as I've been, I want to pray.	Wicked as I've been, I want to pray.
3922_715_000088_000014	Mitya, let them dance, don't stop them.	Mitya, let them dance, don't stop them.
3922_715_000088_000015	Every one in the world is good.	Every one in the world is good.
3922_715_000088_000016	Every one--even the worst of them.	Every one-even the worst of them.
3922_715_000088_000017	The world's a nice place.	The world's a nice place.
3922_715_000088_000020	You know I am good.	You know I am good.
3922_715_000088_000021	I'm very good....	I'm very good....
3922_715_000088_000022	Come, why am I so good?"	Come, why am I so good?"
3922_715_000089_000000	So Grushenka babbled on, getting more and more drunk.	So Grushenka babbled on, getting more and more drunk.
3922_715_000089_000002	She got up from her chair, staggering.	She got up from her chair, staggering.
3922_715_000089_000003	"Mitya, don't give me any more wine--if I ask you, don't give it to me.	"Mitya, don't give me any more wine-if I ask you, don't give it to me.
3922_715_000089_000004	Wine doesn't give peace.	Wine doesn't give peace.
3922_715_000089_000006	I want to dance.	I want to dance.
3922_715_000089_000007	Let every one see how I dance ... let them see how beautifully I dance...."	Let every one see how I dance ... let them see how beautifully I dance...."
3922_715_000090_000000	She really meant it.	She really meant it.
3922_715_000090_000001	She pulled a white cambric handkerchief out of her pocket, and took it by one corner in her right hand, to wave it in the dance.	She pulled a white cambric handkerchief out of her pocket, and took it by one corner in her right hand, to wave it in the dance.
3922_715_000090_000002	Mitya ran to and fro, the girls were quiet, and got ready to break into a dancing song at the first signal.	Mitya ran to and fro, the girls were quiet, and got ready to break into a dancing song at the first signal.
