1401_174511_000000_000000	CHAPTER V	CHAPTER five	false	0.72	8.385	22.764568
1401_174511_000007_000000	She reflected upon this seemingly unnecessary secrecy as she ate her breakfast.	She reflected upon this seemingly unnecessary secrecy as she ate her breakfast.	true	60.29	64.66	22
1401_174511_000007_000001	After a time she asked:	After a time she asked:	false	64.91	66.4	20.050758
1401_174511_000008_000000	"What are you and Aunt Polly going to do, Uncle?"	"What are you and Aunt Polly going to do, Uncle?"	true	66.53	68.76	21.53475
1401_174511_000009_000000	"Fus' thing," replied the old negro, "Polly gwine git yo' traps all pack up an' I gwine take 'em ovah to Missy Stearne's place in de wheel-barrer.	"Fus' thing," replied the old negro, "Polly gwine git yo' traps all pack up an' I gwine take 'em ovah to Missy Stearne's place in de wheel barrer.	false	68.76	77.52	22.63513
1401_174511_000009_000001	Den I gwine red up de house an' take de keys to Mass' Gimble, de agent.	Den I gwine red up de house an' take de keys to Mass' Gimble, de agent.	false	77.52	82.51	24.51235
1401_174511_000009_000002	Den Polly an' me we go back to our own li'l' house in de lane yondeh.	Den Polly an' me we go back to our own li'l' house in de lane yondeh.	true	82.7	86.71	18.702484
1401_174511_000009_000003	De Kun'l done 'range ev'thing propeh, an' we gwine do jus' like he say."	De Kun'l done 'range ev'thing propeh, an' we gwine do jus' like he say."	false	86.81	91.03	21.433073
1401_174511_000010_000000	Mary Louise felt lonely and uncomfortable in the big house, now that her mother and grandfather had gone away.	Mary Louise felt lonely and uncomfortable in the big house, now that her mother and grandfather had gone away.	true	92.18	97.69	19.572495
1401_174511_000010_000001	Since the move was inevitable, she would be glad to go to Miss Stearne as soon as possible.	Since the move was inevitable, she would be glad to go to Miss Stearne as soon as possible.	true	97.97	102.43	21.216362
1401_174511_000010_000002	She helped Aunt Polly pack her trunk and suit case, afterwards gathering into a bundle the things she had forgotten or overlooked, all of which personal belongings Uncle Eben wheeled over to the school.	She helped Aunt Polly pack her trunk and suit case, afterwards gathering into a bundle the things she had forgotten or overlooked, all of which personal belongings Uncle Eben wheeled over to the school.	true	102.8	113.32	23.911966
1401_174511_000010_000003	Then she bade the faithful servitors good-bye, promising to call upon them at their humble home, and walked slowly over the well-known path to Miss Stearne's establishment, where she presented herself to the principal.	Then she bade the faithful servitors good bye, promising to call upon them at their humble home, and walked slowly over the well-known path to Miss Stearne's establishment, where she presented herself to the principal.	true	113.75	124.9	21.432644
1401_174511_000011_000000	It being Saturday, Miss Stearne was seated at a desk in her own private room, where she received Mary Louise and bade her sit down.	It being Saturday, Miss Stearne was seated at a desk in her own private room, where she received Mary Louise and bade her sit down.	true	125.75	132.52	20.472502
1401_174511_000012_000000	Miss Stearne was a woman fifty years of age, tall and lean, with a deeply lined face and a tendency to nervousness that was increasing with her years.	Miss Stearne was a woman fifty years of age, tall and lean, with a deeply lined face and a tendency to nervousness that was increasing with her years.	true	133.73	142.15	20.45136
1401_174511_000012_000001	She was a very clever teacher and a very incompetent business woman, so that her small school, of excellent standing and repute, proved difficult to finance.	She was a very clever teacher and a very incompetent business woman, so that her small school, of excellent standing and repute, proved difficult to finance.	true	142.58	151.51	22.665453
1401_174511_000012_000002	In character Miss Stearne was temperamental enough to have been a genius.	In character Miss Stearne was temperamental enough to have been a genius.	true	151.82	155.35	25.490196
1401_174511_000012_000003	She was kindly natured, fond of young girls and cared for her pupils with motherly instincts seldom possessed by those in similar positions.	She was kindly natured, fond of young girls and cared for her pupils with motherly instincts seldom possessed by those in similar positions.	true	155.57	163.36	20.777824
1401_174511_000012_000004	She was lax in many respects, severely strict in others.	She was lax in many respects, severely strict in others.	false	163.85	167.56	22.825129
1401_174511_000012_000005	Not always were her rules and regulations dictated by good judgment.	Not always were her rules and regulations dictated by good judgment.	true	168.17	172	22.310936
1401_174511_000012_000006	Therefore her girls usually found as much fault as other boarding school girls are prone to do, and with somewhat more reason.	Therefore her girls usually found as much fault as other boarding school girls are prone to do, and with somewhat more reason.	true	172.01	178.84	22.2127
1401_174511_000012_000007	On the other hand, no one could question the principal's erudition or her skill in imparting her knowledge to others.	On the other hand, no one could question the principal's erudition or her skill in imparting her knowledge to others.	true	179.18	185.14	22.784792
1401_174511_000013_000000	"Sit down, Mary Louise," she said to the girl.	"Sit down, Mary Louise," she said to the girl.	true	185.93	188.29	22.950329
1401_174511_000013_000001	"This is an astonishing change in your life, is it not?	"This is an astonishing change in your life, is it not?	true	188.36	191.2	20.56324
1401_174511_000013_000002	Colonel Weatherby came to me last evening and said he had been suddenly called away on important matters that would brook no delay, and that your mother was to accompany him on the journey.	Colonel Weatherby came to me last evening and said he had been suddenly called away on important matters that would brook no delay, and that your mother was to accompany him on the journey.	true	191.42	200.14	22.15168
1401_174511_000013_000003	He begged me to take you in as a regular boarder and of course I consented.	He begged me to take you in as a regular boarder and of course I consented.	true	200.45	204.64	22.907064
1401_174511_000013_000004	You have been one of my most tractable and conscientious pupils and I have been proud of your progress.	You have been one of my most tractable and conscientious pupils and I have been proud of your progress.	true	204.89	209.89	21.211792
1401_174511_000013_000005	But the school is quite full, as you know; so at first I was uncertain that I could accommodate you here; but Miss Dandler, my assistant, has given up her room to you and I shall put a bed for her in my own sleeping chamber, so that difficulty is now happily arranged.	But the school is quite full, as you know; so at first I was uncertain that I could accommodate you here; but Miss Dandler, my assistant, has given up her room to you and I shall put a bed for her in my own sleeping chamber, so that difficulty is now happily arranged.	true	210.14	224.17	22.393625
1401_174511_000013_000006	I suppose your family left Beverly this morning, by the early train?"	I suppose your family left Beverly this morning, by the early train?"	true	224.33	227.71	21.745697
1401_174511_000014_000000	"They have gone," replied Mary Louise, non-committally.	"They have gone," replied Mary Louise, non committally.	true	228.53	231.4	22.100542
1401_174511_000015_000000	"You will be lonely for a time, of course, but presently you will feel quite at home in the school because you know all of my girls so well. It is not like a strange girl coming into a new school.	"You will be lonely for a time, of course, but presently you will feel quite at home in the school because you know all of my girls so well. It is not like a strange girl coming into a new school.	true	232.04	241.33	23.42814
1401_174511_000015_000001	And remember, Mary Louise, that you are to come to me for any advice and assistance you need, for I promised your grandfather that I would fill your mother's place as far as I am able to do so."	And remember, Mary Louise, that you are to come to me for any advice and assistance you need, for I promised your grandfather that I would fill your mother's place as far as I am able to do so."	true	241.7	251.14	20.425964
1401_174511_000016_000000	Mary Louise reflected, with a little shock of pain, that her mother had never been very near to her and that Miss Stearne might well perform such perfunctory duties as the girl had been accustomed to expect.	Mary Louise reflected, with a little shock of pain, that her mother had never been very near to her and that Miss Stearne might well perform such perfunctory duties as the girl had been accustomed to expect.	true	252.38	262.84	22.325611
1401_174511_000016_000001	But no one could ever take the place of Gran'pa Jim.	But no one could ever take the place of Gran'pa Jim.	true	263.12	265.78	22.437635
1401_174511_000017_000000	"Thank you, Miss Stearne," she said.	"Thank you, Miss Stearne," she said.	true	266.66	268.45	25.19144
1401_174511_000017_000001	"I am sure I shall be quite contented here.	"I am sure I shall be quite contented here.	true	268.7	270.76	20.34121
1401_174511_000017_000002	Is my room ready?"	Is my room ready?"	true	270.95	272.14	25.777191
1401_174511_000018_000000	"Yes; and your trunk has already been placed in it.	"Yes; and your trunk has already been placed in it.	true	272.99	275.59	23.22543
1401_174511_000018_000001	Let me know, my dear, if there is anything you need."	Let me know, my dear, if there is anything you need."	true	275.9	278.26	23.459587
1401_174511_000019_000000	Mary Louise went to her room and was promptly pounced upon by Dorothy Knerr and Sue Finley, who roomed just across the hall from her and were delighted to find she was to become a regular boarder.	Mary Louise went to her room and was promptly pounced upon by Dorothy Knerr and Sue Finley, who roomed just across the hall from her and were delighted to find she was to become a regular boarder.	true	279.14	288.67	21.22457
1401_174511_000019_000001	They asked numerous questions as they helped her to unpack and settle her room, but accepted her conservative answers without comment.	They asked numerous questions as they helped her to unpack and settle her room, but accepted her conservative answers without comment.	true	289.19	295.9	23.012753
1401_174511_000020_000000	At the noon luncheon Mary Louise was accorded a warm reception by the assembled boarders and this cordial welcome by her school-mates did much to restore the girl to her normal condition of cheerfulness.	At the noon luncheon Mary Louise was accorded a warm reception by the assembled boarders and this cordial welcome by her school mates did much to restore the girl to her normal condition of cheerfulness.	true	296.6	306.37	23.049297
1401_174511_000020_000001	She even joined a group in a game of tennis after luncheon and it was while she was playing that little Miss Dandler came with, a message that Mary Louise was wanted in Miss Stearne's room at once.	She even joined a group in a game of tennis after luncheon and it was while she was playing that little Miss Dandler came with, a message that Mary Louise was wanted in Miss Stearne's room at once.	true	306.98	317.23	22.114979
1401_174511_000021_000000	"Take my racquet," she said to Jennie Allen; "I'll be back in a minute."	"Take my racquet," she said to Jennie Allen; "I'll be back in a minute."	true	317.9	321.79	22.88676
1401_174511_000022_000000	When she entered Miss Stearne's room she was surprised to find herself confronted by the same man whom she and her grandfather had encountered in front of Cooper's Hotel the previous afternoon--the man whom she secretly held responsible for this abrupt change in her life.	When she entered Miss Stearne's room she was surprised to find herself confronted by the same man whom she and her grandfather had encountered in front of Cooper's Hotel the previous afternoon-the man whom she secretly held responsible for this abrupt change in her life.	true	322.28	335.77	20.961708
1401_174511_000022_000001	The principal sat crouched over her desk as if overawed by her visitor, who stopped his nervous pacing up and down the room as the girl appeared.	The principal sat crouched over her desk as if overawed by her visitor, who stopped his nervous pacing up and down the room as the girl appeared.	true	336.23	343.42	23.063457
1401_174511_000023_000000	"This is Mary Louise Burrows," said Miss Stearne, in a weak voice.	"This is Mary Louise Burrows," said Miss Stearne, in a weak voice.	true	344.06	347.5	21.00595
1401_174511_000024_000000	"Huh!" He glared at her with a scowl for a moment and then demanded: "Where's Hathaway?"	"Huh!" He glared at her with a scowl for a moment and then demanded: "Where's Hathaway?"	false	347.84	352.63	21.599157
1401_174511_000025_000000	Mary Louise reddened.	Mary Louise reddened.	true	353.18	354.49	18.390371
1401_174511_000026_000000	"I do not know to whom you refer," she answered quietly.	"I do not know to whom you refer," she answered quietly.	true	354.74	357.52	23.779238
1401_174511_000027_000000	"Aren't you his granddaughter?"	"Aren't you his granddaughter?"	true	357.77	359.14	24.917486
1401_174511_000028_000000	"I am the granddaughter of Colonel James Weatherby, sir."	"I am the granddaughter of Colonel james Weatherby, sir."	true	359.48	362.08	22.044744
1401_174511_000029_000000	"It's all the same; Hathaway or Weatherby, the scoundrel can't disguise his personality.	"It's all the same; Hathaway or Weatherby, the scoundrel can't disguise his personality.	true	362.42	366.85	21.48777
1401_174511_000029_000001	Where is he?"	Where is he?"	true	366.98	367.81	21.156855
1401_174511_000030_000000	She did not reply.	She did not reply.	true	368.33	369.64	25.904692
1401_174511_000030_000001	Her eyes had narrowed a little, as the Colonel's were sometimes prone to do, and her lips were pressed firmly together.	Her eyes had narrowed a little, as the Colonel's were sometimes prone to do, and her lips were pressed firmly together.	true	369.92	375.67	19.906033
1401_174511_000031_000000	"Answer me!" he shouted, waving his arms threateningly.	"Answer me!" he shouted, waving his arms threateningly.	true	375.98	379.09	19.919607
1401_174511_000032_000000	"Miss Stearne," Mary Louise said, turning to the principal, "unless you request your guest to be more respectful I shall leave the room."	"Miss Stearne," Mary Louise said, turning to the principal, "unless you request your guest to be more respectful I shall leave the room."	true	379.46	385.9	22.042255
1401_174511_000033_000000	"Not yet you won't," said the man in a less boisterous tone.	"Not yet you won't," said the man in a less boisterous tone.	true	386.24	389.41	21.818169
1401_174511_000033_000001	"Don't annoy me with your airs, for I'm in a hurry.	"Don't annoy me with your airs, for I'm in a hurry.	true	389.63	392.08	21.589008
1401_174511_000033_000002	Where is Hathaway--or Weatherby--or whatever he calls himself?"	Where is Hathaway-or Weatherby-or whatever he calls himself?"	true	392.12	395.38	22.717106
1401_174511_000034_000000	"I do not know."	"I do not know."	true	395.6	396.76	23.8706
1401_174511_000035_000000	"You don't, eh?	"You don't, eh?	true	396.95	397.92	25.284758
1401_174511_000035_000001	Didn't he leave an address?"	Didn't he leave an address?"	true	397.92	399.04	19.954525
1401_174511_000036_000000	"No."	"no"	true	399.62	400.33	23.1561
1401_174511_000037_000000	"I don't believe you.	"I don't believe you.	true	400.52	401.61	20.86294
1401_174511_000037_000001	Where did he go?"	Where did he go?"	true	401.61	402.67	24.516499
1401_174511_000038_000000	"If I knew," said Mary Louise with dignity, "I would not inform you."	"If I knew," said Mary Louise with dignity, "I would not inform you."	true	403.04	407.02	19.841234
1401_174511_000039_000000	He uttered a growl and then threw back his coat, displaying a badge attached to his vest.	He uttered a growl and then threw back his coat, displaying a badge attached to his vest.	true	408.11	412.72	23.193285
1401_174511_000040_000000	"I'm a federal officer," he asserted with egotistic pride, "a member of the Government's Secret Service Department.	"I'm a federal officer," he asserted with egotistic pride, "a member of the Government's Secret Service Department.	true	413.36	419.44	23.786884
1401_174511_000040_000001	I've been searching for James J. Hathaway for nine years, and so has every man in the service. Last night I stumbled upon him by accident, and on inquiring found he has been living quietly in this little jumping-off place.	I've been searching for james j Hathaway for nine years, and so has every man in the service. Last night I stumbled upon him by accident, and on inquiring found he has been living quietly in this little jumping off place.	true	419.48	431.38	20.9205
1401_174511_000040_000002	I wired the Department for instructions and an hour ago received orders to arrest him, but found my bird had flown.	I wired the Department for instructions and an hour ago received orders to arrest him, but found my bird had flown.	true	431.75	438.04	22.290106
1401_174511_000040_000003	He left you behind, though, and I'm wise to the fact that you're a clew that will lead me straight to him. You're going to do that very thing, and the sooner you make up your mind to it the better for all of us.	He left you behind, though, and I'm wise to the fact that you're a clew that will lead me straight to him. You're going to do that very thing, and the sooner you make up your mind to it the better for all of us.	false	438.23	447.7	22.779062
1401_174511_000040_000004	No nonsense, girl!	No nonsense, girl!	true	447.86	449.17	21.410723
1401_174511_000040_000005	The Federal Government's not to be trifled with.	The Federal Government's not to be trifled with.	true	449.18	451.48	22.520916
1401_174511_000040_000006	Tell me where to find your grandfather."	Tell me where to find your grandfather."	true	451.52	453.4	25.422493
1401_174511_000041_000000	"If you have finished your insolent remarks," she answered with spirit, "I will go away.	"If you have finished your insolent remarks," she answered with spirit, "I will go away.	true	453.86	458.31	20.927092
1401_174511_000041_000001	You have interrupted my game of tennis."	You have interrupted my game of tennis."	true	458.31	460.3	20.891071
1401_174511_000042_000000	He gave a bark of anger that made her smile, but as she turned away he sprang forward and seized her arm, swinging her around so that she again faced him.	He gave a bark of anger that made her smile, but as she turned away he sprang forward and seized her arm, swinging her around so that she again faced him.	true	461.06	468.73	20.925135
1401_174511_000043_000000	"Great Caesar, girl!	"Great Caesar, girl!	true	468.98	470.235	24.06454
1401_174511_000043_000001	Don't you realize what you're up against?" he demanded.	Don't you realize what you're up against?" he demanded.	true	470.235	472.96	22.076422
1401_174511_000044_000000	"I do," said she.	"I do," said she.	true	473.09	474.465	19.173328
1401_174511_000044_000001	"I seem to be in the power of a brute.	"I seem to be in the power of a brute.	true	474.465	476.41	27.365063
1401_174511_000044_000002	If a law exists that permits you to insult a girl, there must also be a law to punish you.	If a law exists that permits you to insult a girl, there must also be a law to punish you.	true	476.48	481.12	20.99828
1401_174511_000044_000003	I shall see a lawyer and try to have you properly punished for this absolute insolence."	I shall see a lawyer and try to have you properly punished for this absolute insolence."	true	481.31	485.59	20.844952
1401_174511_000045_000000	He regarded her keenly, still frowning, but when he spoke again he had moderated both his tone and words.	He regarded her keenly, still frowning, but when he spoke again he had moderated both his tone and words.	true	486.26	491.95	22.821129
1401_174511_000046_000000	"I do not intend to be insolent, Miss Burrows, but I have been greatly aggravated by your grandfather's unfortunate escape and in this emergency every moment is precious if I am to capture him before he gets out of America, as he has done once or twice before.	"I do not intend to be insolent, Miss Burrows, but I have been greatly aggravated by your grandfather's unfortunate escape and in this emergency every moment is precious if I am to capture him before he gets out of America, as he has done once or twice before.	true	492.38	505.96	21.717325
1401_174511_000046_000001	Also, having wired the Department that I have found Hathaway, I shall be discredited if I let him slip through my fingers, so I am in a desperate fix.	Also, having wired the Department that I have found Hathaway, I shall be discredited if I let him slip through my fingers, so I am in a desperate fix.	false	506.36	514.3	22.963858
1401_174511_000046_000002	If I have seemed a bit gruff and nervous, forgive me.	If I have seemed a bit gruff and nervous, forgive me.	false	514.58	517.42	22.96467
1401_174511_000046_000003	It is your duty, as a loyal subject of the United States, to assist an officer of the law by every means in your power, especially when he is engaged in running down a criminal.	It is your duty, as a loyal subject of the United States, to assist an officer of the law by every means in your power, especially when he is engaged in running down a criminal.	true	517.79	527.05	22.642662
1401_174511_000046_000004	Therefore, whether you dislike to or not, you must tell me where to find your grandfather."	Therefore, whether you dislike to or not, you must tell me where to find your grandfather."	true	527.48	531.88	24.802837
1401_174511_000047_000000	"My grandfather is not a criminal, sir."	"My grandfather is not a criminal, sir."	true	532.49	534.76	22.043861
1401_174511_000048_000000	"The jury will decide that when his case comes to trial.	"The jury will decide that when his case comes to trial.	true	535.31	538.06	20.086716
1401_174511_000048_000001	At present he is accused of crime and a warrant is out for his arrest.	At present he is accused of crime and a warrant is out for his arrest.	false	538.13	541.785	21.994186
1401_174511_000048_000002	Where is he?"	Where is he?"	true	541.785	542.56	22.018763
1401_174511_000049_000000	"I do not know," she persisted.	"I do not know," she persisted.	true	542.93	544.9	25.78444
1401_174511_000050_000000	"He--he left by the morning train, which goes west," stammered Miss Stearne, anxious to placate the officer and fearful of the girl's stubborn resistance.	"He-he left by the morning train, which goes west," stammered Miss Stearne, anxious to placate the officer and fearful of the girl's stubborn resistance.	true	545.24	553.66	22.747278
1401_174511_000051_000000	"So the nigger servant told me," sneered the man; "but he didn't.	"So the nigger servant told me," sneered the man; "but he didn't.	false	554.15	557.8	22.155394
1401_174511_000051_000001	I was at the station myself--two miles from this forsaken place--to make sure that Hathaway didn't skip while I was waiting for orders.	I was at the station myself-two miles from this forsaken place-to make sure that Hathaway didn't skip while I was waiting for orders.	true	557.87	564.61	22.179853
1401_174511_000051_000002	Therefore, he is either hidden somewhere in Beverly or he has sneaked away to an adjoining town.	Therefore, he is either hidden somewhere in Beverly or he has sneaked away to an adjoining town.	true	564.83	569.56	21.447268
1401_174511_000051_000003	The old serpent is slippery as an eel; but I'm going to catch him, this time, as sure as fate, and this girl must give me all the information she can."	The old serpent is slippery as an eel; but I'm going to catch him, this time, as sure as fate, and this girl must give me all the information she can."	true	569.93	577.89	22.325247
1401_174511_000052_000000	"Oh, that will be quite easy," retorted Mary Louise, somewhat triumphantly, "for I have no information to divulge."	"Oh, that will be quite easy," retorted Mary Louise, somewhat triumphantly, "for I have no information to divulge."	false	577.89	584.2	20.864994
1401_174511_000053_000000	He began to pace the room again, casting at her shrewd and uncertain glances.	He began to pace the room again, casting at her shrewd and uncertain glances.	true	584.81	588.85	20.749252
1401_174511_000054_000000	"He didn't say where he was going?"	"He didn't say where he was going?"	true	589.1	590.43	21.148556
1401_174511_000055_000000	"No."	"no"	false	590.43	591.66	20.869862
1401_174511_000056_000000	"Or leave any address?"	"Or leave any address?"	true	591.66	592.86	18
1401_174511_000057_000000	"No."	"no"	false	592.86	594.03	22.177713
1401_174511_000058_000000	"What DID he say?"	"What DID he say?"	true	594.03	595.06	20.736923
1401_174511_000059_000000	"That he was going away and would arrange with Miss Stearne for me to board at the school."	"That he was going away and would arrange with Miss Stearne for me to board at the school."	true	595.49	599.44	21.345758
1401_174511_000060_000000	"Huh!	"Huh!	true	599.75	600.225	24.924671
1401_174511_000060_000001	I see.	I see.	true	600.225	600.94	28.271027
1401_174511_000060_000002	Foxy old guy.	Foxy old guy.	true	601.04	602.23	23.455067
1401_174511_000060_000003	Knew I would question you and wouldn't take chances.	Knew I would question you and wouldn't take chances.	true	602.33	604.84	24.830982
1401_174511_000060_000004	If he writes you, or you learn what has become of him, will you tell me?"	If he writes you, or you learn what has become of him, will you tell me?"	false	604.91	608.16	18
1401_174511_000061_000000	"No."	"no"	false	608.16	609.69	24.449385
1401_174511_000062_000000	"I thought not." He turned toward the principal.	"I thought not." He turned toward the principal.	true	609.69	612.67	20.32492
1401_174511_000062_000001	"How about this girl's board money?" he asked.	"How about this girl's board money?" he asked.	true	612.8	615.195	23.22092
1401_174511_000062_000002	"When did he say he'd send it?"	"When did he say he'd send it?"	true	615.195	616.69	22.196827
1401_174511_000063_000000	"He paid me in advance, to the end of the present term," answered the agitated Miss Stearne.	"He paid me in advance, to the end of the present term," answered the agitated Miss Stearne.	true	617.15	622.06	19.792294
1401_174511_000064_000000	"Foxy old boy!	"Foxy old boy!	true	622.55	623.805	26.393347
1401_174511_000064_000001	Seemed to think of everything.	Seemed to think of everything.	true	623.805	625.18	21.187847
1401_174511_000064_000002	I'm going, now; but take this warning--both of you.	I'm going, now; but take this warning-both of you.	true	625.37	627.91	19.558502
1401_174511_000064_000003	Don't gabble about what I've said.	Don't gabble about what I've said.	true	628.01	629.835	19.045986
1401_174511_000064_000004	Keep the secret.	Keep the secret.	true	629.835	630.94	26.071152
1401_174511_000064_000005	If nothing gets out, Hathaway may think the coast is clear and it's safe for him to come back.	If nothing gets out, Hathaway may think the coast is clear and it's safe for him to come back.	true	631.01	635.56	25.731247
1401_174511_000064_000006	In that case I--or someone appointed by the Department--will get a chance to nab him.	In that case I-or someone appointed by the Department-will get a chance to nab him.	true	635.63	640.27	24.327654
1401_174511_000064_000007	That's all.	That's all.	true	640.46	641.13	27.47964
1401_174511_000064_000008	Good day."	Good day."	false	641.13	643.11	22.002943
1401_174511_000065_000000	He made his exit from the room without ceremony, leaving Mary Louise and Miss Stearne staring fearfully at one another.	He made his exit from the room without ceremony, leaving Mary Louise and Miss Stearne staring fearfully at one another.	true	643.11	648.64	17
1401_174511_000066_000000	"It--it's--dreadful!" stammered the teacher, shrinking back with a moan.	"It-it's-dreadful!" stammered the teacher, shrinking back with a moan.	true	648.74	653.38	22.870565
1401_174511_000067_000000	"It would be, if it were true," said the girl.	"It would be, if it were true," said the girl.	true	653.78	656.23	22.719807
1401_174511_000067_000001	"But Gran'pa Jim is no criminal, we all know.	"But Gran'pa Jim is no criminal, we all know.	true	656.39	658.96	21.18365
1401_174511_000067_000002	He's the best man that ever lived, and the whole trouble is that this foolish officer has mistaken him for someone else. I heard him, with my own ears, tell the man he was mistaken."	He's the best man that ever lived, and the whole trouble is that this foolish officer has mistaken him for someone else. I heard him, with my own ears, tell the man he was mistaken."	true	659.09	668.8	21.959976
1401_174511_000068_000000	Miss Stearne reflected.	Miss Stearne reflected.	true	669.56	670.99	25.252275
1401_174511_000069_000000	"Then why did your grandfather run away?" she asked.	"Then why did your grandfather run away?" she asked.	true	671.24	674.05	20.510027
1401_174511_000070_000000	It was now Mary Louise's turn to reflect, seeking an answer.	It was now Mary Louise's turn to reflect, seeking an answer.	true	674.45	677.74	19.782396
1401_174511_000070_000001	Presently she realized that a logical explanation of her grandfather's action was impossible with her present knowledge.	Presently she realized that a logical explanation of her grandfather's action was impossible with her present knowledge.	true	678.02	683.92	20
1401_174511_000071_000000	"I cannot answer that question, Miss Stearne," she admitted, candidly, "but Gran'pa Jim must have had some good reason."	"I cannot answer that question, Miss Stearne," she admitted, candidly, "but Gran'pa Jim must have had some good reason."	true	684.5	690.49	21.636307
1401_174511_000072_000000	There was unbelief in the woman's eyes--unbelief and a horror of the whole disgraceful affair that somehow included Mary Louise in its scope.	There was unbelief in the woman's eyes-unbelief and a horror of the whole disgraceful affair that somehow included Mary Louise in its scope.	true	691.4	699.19	21.345026
1401_174511_000072_000001	The girl read this look and it confused her.	The girl read this look and it confused her.	true	699.38	701.59	20.618193
1401_174511_000072_000002	She mumbled an excuse and fled to her room to indulge in a good cry.	She mumbled an excuse and fled to her room to indulge in a good cry.	true	701.72	705.57	22.914488
1401_174511_000073_000000	CHAPTER VI	CHAPTER six	false	705.57	705.81	6
1401_174511_000074_000000	UNDER A CLOUD	UNDER A CLOUD	false	705.81	706.2	5
1401_174511_000075_000000	The officer's injunction not to talk of the case of Colonel Weatherby was of little avail in insuring secrecy.	The officer's injunction not to talk of the case of Colonel Weatherby was of little avail in insuring secrecy.	false	706.2	708	21.269337
1401_174511_000075_000001	Oscar Dowd, who owned and edited the one weekly newspaper in town, which appeared under the title of "The Beverly Beacon," was a very ferret for news.	Oscar Dowd, who owned and edited the one weekly newspaper in town, which appeared under the title of "The Beverly Beacon," was a very ferret for news.	false	708	710.19	22.302605
1401_174511_000075_000002	He had to be; otherwise there never would have been enough happenings in the vicinity to fill the scant columns of his little paper, which was printed in big type to make the items and editorials fill as much space as possible.	He had to be; otherwise there never would have been enough happenings in the vicinity to fill the scant columns of his little paper, which was printed in big type to make the items and editorials fill as much space as possible.	false	710.19	714.42	21.50499
