2113_132485_000002_000000	CHAPTER IV	CHAPTER four
2113_132485_000149_000000	"Were you friends with Lizaveta?"	"Were you friends with Lizaveta?"
2113_132485_000150_000002	We used to read together and... talk.	We used to read together and... talk.
2113_132485_000150_000003	She will see God."	She will see God."
2113_132485_000154_000000	Sonia still hesitated.	Sonia still hesitated.
2113_132485_000154_000001	Her heart was throbbing.	Her heart was throbbing.
2113_132485_000157_000000	Sonia opened the book and found the place.	Sonia opened the book and found the place.
2113_132485_000157_000001	Her hands were shaking, her voice failed her.	Her hands were shaking, her voice failed her.
2113_132485_000158_000001	There was a catch in her breath.	There was a catch in her breath.
2113_132485_000169_000000	"She saith unto Him,"	"She saith unto Him,"
2113_132485_000179_000002	He had expected it.	He had expected it.
2113_132485_000179_000004	Her voice rang out like a bell; triumph and joy gave it power.	Her voice rang out like a bell; triumph and joy gave it power.
2113_132485_000180_000001	It was a cave, and a stone lay upon it.	It was a cave, and a stone lay upon it.
2113_132485_000185_000000	"And I knew that Thou hearest Me always; but because of the people which stand by I said it, that they may believe that Thou hast sent Me.	"And I knew that Thou hearest Me always; but because of the people which stand by I said it, that they may believe that Thou hast sent Me.
2113_132485_000189_000001	Jesus saith unto them, Loose him and let him go.	Jesus saith unto them, Loose him and let him go.
2113_132485_000191_000000	She could read no more, closed the book and got up from her chair quickly.	She could read no more, closed the book and got up from her chair quickly.
2113_132485_000196_000001	"Let us go together....	"Let us go together....
2113_132485_000196_000002	I've come to you, we are both accursed, let us go our way together!"	I've come to you, we are both accursed, let us go our way together!"
2113_132485_000199_000000	"How do I know?	"How do I know?
2113_132485_000203_000001	Haven't you done the same?	Haven't you done the same?
2113_132485_000204_000000	"What for?	"What for?
2113_132485_000205_000003	What will happen, if you should really be taken to the hospital to-morrow?	What will happen, if you should really be taken to the hospital to morrow?
2113_132485_000205_000006	Haven't you seen children here at the street corners sent out by their mothers to beg?	Haven't you seen children here at the street corners sent out by their mothers to beg?
2113_132485_000205_000009	At seven the child is vicious and a thief.	At seven the child is vicious and a thief.
2113_132485_000207_000000	"What's to be done?	"What's to be done?
2113_132485_000207_000003	You'll understand later....	You'll understand later....
2113_132485_000207_000004	Freedom and power, and above all, power!	Freedom and power, and above all, power!
2113_132485_000207_000006	That's the goal, remember that!	That's the goal, remember that!
2113_132485_000207_000009	If I don't come to-morrow, you'll hear of it all, and then remember these words.	If I don't come to morrow, you'll hear of it all, and then remember these words.
2113_132485_000211_000000	He went out.	He went out.
2113_132485_000212_000002	It's awful!"	It's awful!"
2113_132485_000212_000004	"Oh, he must be terribly unhappy!...	"Oh, he must be terribly unhappy!...
2113_132485_000212_000006	What for?	What for?
2113_132485_000212_000007	What has happened?	What has happened?
2113_132485_000212_000009	What did he say to her?	What did he say to her?
2113_132485_000212_000010	He had kissed her foot and said... said (yes, he had said it clearly) that he could not live without her....	He had kissed her foot and said... said (yes, he had said it clearly) that he could not live without her....
