3728_105398_000001_000000	CHAPTER XIX THE SCARLET PIMPERNEL	CHAPTER nineteen THE SCARLET PIMPERNEL
3728_105398_000024_000003	Had he already laid his plans for catching the daring plotter, red-handed, in France, and sending him to the guillotine without compunction or delay?	Had he already laid his plans for catching the daring plotter, red handed, in France, and sending him to the guillotine without compunction or delay?
3728_105398_000025_000000	Marguerite turned sick with horror, and her hand convulsively clutched the ring in her dress.	Marguerite turned sick with horror, and her hand convulsively clutched the ring in her dress.
3728_105398_000026_000000	"You are not listening, CHERIE," said Suzanne, reproachfully, as she paused in her long, highly interesting narrative.	"You are not listening, CHERIE," said Suzanne, reproachfully, as she paused in her long, highly interesting narrative.
3728_105398_000027_000000	"Yes, yes, darling--indeed I am," said Marguerite with an effort, forcing herself to smile.	"Yes, yes, darling-indeed I am," said Marguerite with an effort, forcing herself to smile.
3728_105398_000027_000001	"I love to hear you talking . . . and your happiness makes me so very glad. . . .	"I love to hear you talking . . . and your happiness makes me so very glad. . . .
3728_105398_000027_000003	Sir Andrew Ffoulkes is a noble English gentleman; he has money and position, the Comtesse will not refuse her consent. . . . But . . . now, little one . . . tell me . . . what is the latest news about your father?"	Sir Andrew Ffoulkes is a noble English gentleman; he has money and position, the Comtesse will not refuse her consent. . . . But . . . now, little one . . . tell me . . . what is the latest news about your father?"
3728_105398_000028_000000	"Oh!" said Suzanne with mad glee, "the best we could possibly hear.	"Oh!" said Suzanne with mad glee, "the best we could possibly hear.
3728_105398_000028_000001	My Lord Hastings came to see maman early this morning.	My Lord Hastings came to see maman early this morning.
3728_105398_000028_000002	He said that all is now well with dear papa, and we may safely expect him here in England in less than four days."	He said that all is now well with dear papa, and we may safely expect him here in England in less than four days."
3728_105398_000029_000000	"Yes," said Marguerite, whose glowing eyes were fastened on Suzanne's lips, as she continued merrily:	"Yes," said Marguerite, whose glowing eyes were fastened on Suzanne's lips, as she continued merrily:
3728_105398_000030_000000	"Oh, we have no fear now!	"Oh, we have no fear now!
3728_105398_000030_000001	You don't know, CHERIE, that that great and noble Scarlet Pimpernel himself has gone to save papa.	You don't know, CHERIE, that that great and noble Scarlet Pimpernel himself has gone to save papa.
3728_105398_000030_000002	He has gone, CHERIE . . . actually gone . . ." added Suzanne excitedly, "he was in London this morning; he will be in Calais, perhaps, to-morrow . . . where he will meet papa . . . and then . . . and then . . ."	He has gone, CHERIE . . . actually gone . . ." added Suzanne excitedly, "he was in London this morning; he will be in Calais, perhaps, to morrow . . . where he will meet papa . . . and then . . . and then . . ."
3728_105398_000031_000000	The blow had fallen.	The blow had fallen.
3728_105398_000031_000002	He had gone to Calais, had been in London this morning . . . he . . . the Scarlet Pimpernel . . .	He had gone to Calais, had been in London this morning . . . he . . . the Scarlet Pimpernel . . .
3728_105398_000031_000003	Percy Blakeney . . . her husband . . . whom she had betrayed last night to Chauvelin.	Percy Blakeney . . . her husband . . . whom she had betrayed last night to Chauvelin.
3728_105398_000032_000000	Percy . . .	Percy . . .
3728_105398_000032_000001	Percy . . . her husband . . . the Scarlet Pimpernel . . .	Percy . . . her husband . . . the Scarlet Pimpernel . . .
3728_105398_000032_000002	Oh! how could she have been so blind?	Oh! how could she have been so blind?
3728_105398_000033_000000	And all for the sheer sport and devilry of course!--saving men, women and children from death, as other men destroy and kill animals for the excitement, the love of the thing.	And all for the sheer sport and devilry of course!--saving men, women and children from death, as other men destroy and kill animals for the excitement, the love of the thing.
3728_105398_000035_000001	No wonder that Chauvelin's spies had failed to detect, in the apparently brainless nincompoop, the man whose reckless daring and resourceful ingenuity had baffled the keenest French spies, both in France and in England.	No wonder that Chauvelin's spies had failed to detect, in the apparently brainless nincompoop, the man whose reckless daring and resourceful ingenuity had baffled the keenest French spies, both in France and in England.
3728_105398_000036_000000	Had his astute mind guessed the secret, then?	Had his astute mind guessed the secret, then?
3728_105398_000036_000001	Here lay the whole awful, horrible, amazing puzzle.	Here lay the whole awful, horrible, amazing puzzle.
3728_105398_000036_000002	In betraying a nameless stranger to his fate in order to save her brother, had Marguerite Blakeney sent her husband to his death?	In betraying a nameless stranger to his fate in order to save her brother, had Marguerite Blakeney sent her husband to his death?
3728_105398_000038_000000	"But what is it, CHERIE?" said little Suzanne, now genuinely alarmed, for Marguerite's colour had become dull and ashen.	"But what is it, CHERIE?" said little Suzanne, now genuinely alarmed, for Marguerite's colour had become dull and ashen.
3728_105398_000038_000001	"Are you ill, Marguerite?	"Are you ill, Marguerite?
3728_105398_000038_000002	What is it?"	What is it?"
3728_105398_000039_000000	"Nothing, nothing, child," she murmured, as in a dream.	"Nothing, nothing, child," she murmured, as in a dream.
3728_105398_000039_000002	You said . . . the Scarlet Pimpernel had gone today . . . ?"	You said . . . the Scarlet Pimpernel had gone today . . . ?"
3728_105398_000040_000001	You frighten me. . . ."	You frighten me. . . ."
3728_105398_000041_000001	I must be alone a minute--and--dear one . . .	I must be alone a minute-and-dear one . . .
3728_105398_000041_000003	I may have to go away--you'll understand?"	I may have to go away-you'll understand?"
3728_105398_000042_000000	"I understand that something has happened, CHERIE, and that you want to be alone.	"I understand that something has happened, CHERIE, and that you want to be alone.
3728_105398_000042_000002	Don't think of me.	Don't think of me.
3728_105398_000042_000003	My maid, Lucile, has not yet gone . . . we will go back together . . . don't think of me."	My maid, Lucile, has not yet gone . . . we will go back together . . . don't think of me."
3728_105398_000043_000001	Child as she was, she felt the poignancy of her friend's grief, and with the infinite tact of her girlish tenderness, she did not try to pry into it, but was ready to efface herself.	Child as she was, she felt the poignancy of her friend's grief, and with the infinite tact of her girlish tenderness, she did not try to pry into it, but was ready to efface herself.
3728_105398_000044_000001	Marguerite did not move, she remained there, thinking . . . wondering what was to be done.	Marguerite did not move, she remained there, thinking . . . wondering what was to be done.
3728_105398_000045_000000	Just as little Suzanne was about to mount the terrace steps, a groom came running round the house towards his mistress.	Just as little Suzanne was about to mount the terrace steps, a groom came running round the house towards his mistress.
3728_105398_000045_000001	He carried a sealed letter in his hand.	He carried a sealed letter in his hand.
3728_105398_000045_000002	Suzanne instinctively turned back; her heart told her that here perhaps was further ill news for her friend, and she felt that poor Margot was not in a fit state to bear any more.	Suzanne instinctively turned back; her heart told her that here perhaps was further ill news for her friend, and she felt that poor Margot was not in a fit state to bear any more.
3728_105398_000046_000000	The groom stood respectfully beside his mistress, then he handed her the sealed letter.	The groom stood respectfully beside his mistress, then he handed her the sealed letter.
3728_105398_000047_000000	"What is that?" asked Marguerite.	"What is that?" asked Marguerite.
3728_105398_000048_000000	"Just come by runner, my lady."	"Just come by runner, my lady."
3728_105398_000049_000000	Marguerite took the letter mechanically, and turned it over in her trembling fingers.	Marguerite took the letter mechanically, and turned it over in her trembling fingers.
3728_105398_000050_000000	"Who sent it?" she said.	"Who sent it?" she said.
3728_105398_000051_000000	"The runner said, my lady," replied the groom, "that his orders were to deliver this, and that your ladyship would understand from whom it came."	"The runner said, my lady," replied the groom, "that his orders were to deliver this, and that your ladyship would understand from whom it came."
3728_105398_000052_000000	Marguerite tore open the envelope.	Marguerite tore open the envelope.
3728_105398_000052_000001	Already her instinct told her what it contained, and her eyes only glanced at it mechanically.	Already her instinct told her what it contained, and her eyes only glanced at it mechanically.
3728_105398_000055_000000	Marguerite's senses reeled, her very soul seemed to be leaving her body; she tottered, and would have fallen but for Suzanne's arm round her waist.	Marguerite's senses reeled, her very soul seemed to be leaving her body; she tottered, and would have fallen but for Suzanne's arm round her waist.
3728_105398_000055_000001	With superhuman effort she regained control over herself--there was yet much to be done.	With superhuman effort she regained control over herself-there was yet much to be done.
3728_105398_000056_000000	"Bring that runner here to me," she said to the servant, with much calm. "He has not gone?"	"Bring that runner here to me," she said to the servant, with much calm. "He has not gone?"
3728_105398_000057_000000	"No, my lady."	"No, my lady."
3728_105398_000058_000000	The groom went, and Marguerite turned to Suzanne.	The groom went, and Marguerite turned to Suzanne.
3728_105398_000059_000000	"And you, child, run within.	"And you, child, run within.
3728_105398_000059_000001	Tell Lucile to get ready.	Tell Lucile to get ready.
3728_105398_000059_000002	I fear that I must send you home, child.	I fear that I must send you home, child.
3728_105398_000060_000000	Suzanne made no reply.	Suzanne made no reply.
3728_105398_000060_000001	She kissed Marguerite tenderly and obeyed without a word; the child was overawed by the terrible, nameless misery in her friend's face.	She kissed Marguerite tenderly and obeyed without a word; the child was overawed by the terrible, nameless misery in her friend's face.
3728_105398_000061_000000	A minute later the groom returned, followed by the runner who had brought the letter.	A minute later the groom returned, followed by the runner who had brought the letter.
3728_105398_000062_000000	"Who gave you this packet?" asked Marguerite.	"Who gave you this packet?" asked Marguerite.
3728_105398_000063_000000	"A gentleman, my lady," replied the man, "at 'The Rose and Thistle' inn opposite Charing Cross.	"A gentleman, my lady," replied the man, "at 'The Rose and Thistle' inn opposite Charing Cross.
3728_105398_000063_000001	He said you would understand."	He said you would understand."
3728_105398_000064_000000	"At 'The Rose and Thistle'?	"At 'The Rose and Thistle'?
3728_105398_000065_000000	"He was waiting for the coach, your ladyship, which he had ordered."	"He was waiting for the coach, your ladyship, which he had ordered."
3728_105398_000066_000000	"The coach?"	"The coach?"
3728_105398_000067_000000	"Yes, my lady.	"Yes, my lady.
3728_105398_000067_000001	A special coach he had ordered.	A special coach he had ordered.
3728_105398_000067_000002	I understood from his man that he was posting straight to Dover."	I understood from his man that he was posting straight to Dover."
3728_105398_000068_000000	"That's enough.	"That's enough.
3728_105398_000068_000001	You may go." Then she turned to the groom: "My coach and the four swiftest horses in the stables, to be ready at once."	You may go." Then she turned to the groom: "My coach and the four swiftest horses in the stables, to be ready at once."
3728_105398_000069_000001	Marguerite remained standing for a moment on the lawn quite alone.	Marguerite remained standing for a moment on the lawn quite alone.
3728_105398_000069_000002	Her graceful figure was as rigid as a statue, her eyes were fixed, her hands were tightly clasped across her breast; her lips moved as they murmured with pathetic heart-breaking persistence,--	Her graceful figure was as rigid as a statue, her eyes were fixed, her hands were tightly clasped across her breast; her lips moved as they murmured with pathetic heart breaking persistence,--
3728_105398_000070_000000	"What's to be done?	"What's to be done?
3728_105398_000070_000001	What's to be done?	What's to be done?
3728_105398_000070_000002	Where to find him?--Oh, God! grant me light."	Where to find him?--Oh, God! grant me light."
3728_105398_000071_000000	But this was not the moment for remorse and despair.	But this was not the moment for remorse and despair.
3728_105398_000071_000001	She had done--unwittingly--an awful and terrible thing--the very worst crime, in her eyes, that woman ever committed--she saw it in all its horror.	She had done-unwittingly-an awful and terrible thing-the very worst crime, in her eyes, that woman ever committed-she saw it in all its horror.
3728_105398_000071_000003	She ought to have known! she ought to have known!	She ought to have known! she ought to have known!
3728_105398_000072_000000	How could she imagine that a man who could love with so much intensity as Percy Blakeney had loved her from the first--how could such a man be the brainless idiot he chose to appear?	How could she imagine that a man who could love with so much intensity as Percy Blakeney had loved her from the first-how could such a man be the brainless idiot he chose to appear?
3728_105398_000072_000001	She, at least, ought to have known that he was wearing a mask, and having found that out, she should have torn it from his face, whenever they were alone together.	She, at least, ought to have known that he was wearing a mask, and having found that out, she should have torn it from his face, whenever they were alone together.
3728_105398_000074_000000	But there was no time now to go over the past.	But there was no time now to go over the past.
3728_105398_000074_000001	By her own blindness she had sinned; now she must repay, not by empty remorse, but by prompt and useful action.	By her own blindness she had sinned; now she must repay, not by empty remorse, but by prompt and useful action.
3728_105398_000075_000000	Percy had started for Calais, utterly unconscious of the fact that his most relentless enemy was on his heels.	Percy had started for Calais, utterly unconscious of the fact that his most relentless enemy was on his heels.
3728_105398_000075_000001	He had set sail early that morning from London Bridge.	He had set sail early that morning from London Bridge.
3728_105398_000075_000002	Provided he had a favourable wind, he would no doubt be in France within twenty-four hours; no doubt he had reckoned on the wind and chosen this route.	Provided he had a favourable wind, he would no doubt be in France within twenty four hours; no doubt he had reckoned on the wind and chosen this route.
3728_105398_000076_000000	Chauvelin, on the other hand, would post to Dover, charter a vessel there, and undoubtedly reach Calais much about the same time.	Chauvelin, on the other hand, would post to Dover, charter a vessel there, and undoubtedly reach Calais much about the same time.
3728_105398_000076_000001	Once in Calais, Percy would meet all those who were eagerly waiting for the noble and brave Scarlet Pimpernel, who had come to rescue them from horrible and unmerited death.	Once in Calais, Percy would meet all those who were eagerly waiting for the noble and brave Scarlet Pimpernel, who had come to rescue them from horrible and unmerited death.
3728_105398_000076_000002	With Chauvelin's eyes now fixed upon his every movement, Percy would thus not only be endangering his own life, but that of Suzanne's father, the old Comte de Tournay, and of those other fugitives who were waiting for him and trusting in him.	With Chauvelin's eyes now fixed upon his every movement, Percy would thus not only be endangering his own life, but that of Suzanne's father, the old Comte de Tournay, and of those other fugitives who were waiting for him and trusting in him.
3728_105398_000078_000000	Unfortunately, she could not do all this quite alone.	Unfortunately, she could not do all this quite alone.
3728_105398_000078_000001	Once in Calais she would not know where to find her husband, whilst Chauvelin, in stealing the papers at Dover, had obtained the whole itinerary.	Once in Calais she would not know where to find her husband, whilst Chauvelin, in stealing the papers at Dover, had obtained the whole itinerary.
3728_105398_000078_000002	Above every thing, she wished to warn Percy.	Above every thing, she wished to warn Percy.
3728_105398_000079_000000	She knew enough about him by now to understand that he would never abandon those who trusted in him, that he would not turn his back from danger, and leave the Comte de Tournay to fall into the bloodthirsty hands that knew of no mercy.	She knew enough about him by now to understand that he would never abandon those who trusted in him, that he would not turn his back from danger, and leave the Comte de Tournay to fall into the bloodthirsty hands that knew of no mercy.
3728_105398_000079_000001	But if he were warned, he might form new plans, be more wary, more prudent.	But if he were warned, he might form new plans, be more wary, more prudent.
3728_105398_000079_000002	Unconsciously, he might fall into a cunning trap, but--once warned--he might yet succeed.	Unconsciously, he might fall into a cunning trap, but-once warned-he might yet succeed.
3728_105398_000081_000000	Her whole body stiffened as with a great and firm resolution.	Her whole body stiffened as with a great and firm resolution.
3728_105398_000081_000001	This she meant to do, if God gave her wits and strength.	This she meant to do, if God gave her wits and strength.
3728_105398_000081_000002	Her eyes lost their fixed look; they glowed with inward fire at the thought of meeting him again so soon, in the very midst of most deadly perils; they sparkled with the joy of sharing these dangers with him--of helping him perhaps--of being with him at the last--if she failed.	Her eyes lost their fixed look; they glowed with inward fire at the thought of meeting him again so soon, in the very midst of most deadly perils; they sparkled with the joy of sharing these dangers with him-of helping him perhaps-of being with him at the last-if she failed.
3728_105398_000082_000000	The childlike sweet face had become hard and set, the curved mouth was closed tightly over her clenched teeth.	The childlike sweet face had become hard and set, the curved mouth was closed tightly over her clenched teeth.
3728_105398_000082_000001	She meant to do or die, with him and for his sake.	She meant to do or die, with him and for his sake.
3728_105398_000082_000002	A frown, which spoke of an iron will and unbending resolution, appeared between the two straight brows; already her plans were formed.	A frown, which spoke of an iron will and unbending resolution, appeared between the two straight brows; already her plans were formed.
3728_105398_000082_000003	She would go and find Sir Andrew Ffoulkes first; he was Percy's best friend, and Marguerite remembered, with a thrill, with what blind enthusiasm the young man always spoke of his mysterious leader.	She would go and find Sir Andrew Ffoulkes first; he was Percy's best friend, and Marguerite remembered, with a thrill, with what blind enthusiasm the young man always spoke of his mysterious leader.
3728_105398_000083_000000	He would help her where she needed help; her coach was ready.	He would help her where she needed help; her coach was ready.
3728_105398_000083_000001	A change of raiment, and a farewell to little Suzanne, and she could be on her way.	A change of raiment, and a farewell to little Suzanne, and she could be on her way.
