8006_112592_000001_000000	CHAPTER VI.	CHAPTER six.
8006_112592_000010_000003	But most of even the poorest did their best to pay something; and in this respect it is interesting to compare the usages of those long past times with some features of the college life of our own days.	But most of even the poorest did their best to pay something; and in this respect it is interesting to compare the usages of those long past times with some features of the college life of our own days.
8006_112592_000010_000004	In some of the present American universities there is an excellent custom which enables very poor students to support themselves and pay their college fees.	In some of the present American universities there is an excellent custom which enables very poor students to support themselves and pay their college fees.
8006_112592_000010_000005	They wait on their richer comrades, bring up the dishes, etc., from the kitchen for meals, and lay the tables: and when the meal is over, they remove everything, wash up dishes and plates, and put them all by in their proper places.	They wait on their richer comrades, bring up the dishes, etc, from the kitchen for meals, and lay the tables: and when the meal is over, they remove everything, wash up dishes and plates, and put them all by in their proper places.
8006_112592_000010_000006	In fact, they perform most of the work expected from ordinary servants.	In fact, they perform most of the work expected from ordinary servants.
8006_112592_000010_000007	For this they receive food and some small payment, which renders them independent of charity.	For this they receive food and some small payment, which renders them independent of charity.
8006_112592_000011_000000	And the pleasing feature of this arrangement is, that it is not attended with any sense of humiliation or loss of self-respect.	And the pleasing feature of this arrangement is, that it is not attended with any sense of humiliation or loss of self respect.
8006_112592_000011_000001	During study and lecture hours these same young men, having put by aprons and napkins, and donned their ordinary dress, are received and treated on terms of perfect equality by those they have served, who take on no airs, and do not pose as superiors, but mix with them in free and kindly intercourse as fellow-students and comrades.	During study and lecture hours these same young men, having put by aprons and napkins, and donned their ordinary dress, are received and treated on terms of perfect equality by those they have served, who take on no airs, and do not pose as superiors, but mix with them in free and kindly intercourse as fellow students and comrades.
8006_112592_000012_000000	All this was anticipated in Ireland more than a thousand years ago; for a similar custom existed in some of the old Irish colleges.	All this was anticipated in Ireland more than a thousand years ago; for a similar custom existed in some of the old Irish colleges.
8006_112592_000013_000000	The greatest number of the students lived in houses built by themselves, or by hired workmen--some, mere huts, each for a single person; some, large houses, for several: and all around the central college buildings there were whole streets of these houses, often forming a good-sized town.	The greatest number of the students lived in houses built by themselves, or by hired workmen-some, mere huts, each for a single person; some, large houses, for several: and all around the central college buildings there were whole streets of these houses, often forming a good sized town.
8006_112592_000014_000000	Where there were large numbers great care was taken that there should be no confusion or disorder.	Where there were large numbers great care was taken that there should be no confusion or disorder.
8006_112592_000014_000002	The Fer-leginn was always some distinguished man--of course a great scholar.	The Fer leginn was always some distinguished man-of course a great scholar.
8006_112592_000014_000003	He was generally a monk, but sometimes a layman; for those good monks selected the best man they could find, whether priest or layman.	He was generally a monk, but sometimes a layman; for those good monks selected the best man they could find, whether priest or layman.
8006_112592_000015_000000	I suppose those who are accustomed to the grand universities and colleges of the present day, with their palatial buildings, would feel inclined to laugh at the simple, rough-and-ready methods and appliances of the old Irish colleges.	I suppose those who are accustomed to the grand universities and colleges of the present day, with their palatial buildings, would feel inclined to laugh at the simple, rough and ready methods and appliances of the old Irish colleges.
8006_112592_000015_000001	There were no comfortable study rooms, well furnished with desks, seats, and rostrums: no spacious lecture halls.	There were no comfortable study rooms, well furnished with desks, seats, and rostrums: no spacious lecture halls.
8006_112592_000015_000002	The greater part of the work, indeed, was carried on in the open air when the weather at all permitted.	The greater part of the work, indeed, was carried on in the open air when the weather at all permitted.
8006_112592_000015_000003	At study time the students went just where they pleased, and accommodated themselves as best they could.	At study time the students went just where they pleased, and accommodated themselves as best they could.
8006_112592_000016_000000	Then the little handbell tinkled for some particular lecture, and the special students for this hurried to their places, and seated themselves as best they could--on chair, stool, form, stone, or bank, and opened their books.	Then the little handbell tinkled for some particular lecture, and the special students for this hurried to their places, and seated themselves as best they could-on chair, stool, form, stone, or bank, and opened their books.
8006_112592_000016_000001	These same books, too, were a motley collection--some large, some small, some fresh from the scribe, some tattered and brown with age: but all most carefully covered and preserved; for they were very expensive.	These same books, too, were a motley collection-some large, some small, some fresh from the scribe, some tattered and brown with age: but all most carefully covered and preserved; for they were very expensive.
8006_112592_000017_000000	Then the master went over the text, translating and explaining it, and whenever he thought it necessary questioned his pupils, to draw them out. After this he had to stand the cross-fire of the students' questions, who asked him to explain all sorts of difficulties: for this was one of the college regulations.	Then the master went over the text, translating and explaining it, and whenever he thought it necessary questioned his pupils, to draw them out. After this he had to stand the cross fire of the students' questions, who asked him to explain all sorts of difficulties: for this was one of the college regulations.
8006_112592_000017_000001	There were no grammars, no dictionaries, no simple introductory lesson books, such as we have now.	There were no grammars, no dictionaries, no simple introductory lesson books, such as we have now.
8006_112592_000017_000003	And in this rugged and difficult fashion they mastered the language.	And in this rugged and difficult fashion they mastered the language.
8006_112592_000019_000000	The great Irish colleges were, in fact, universities in the full sense of the word, that is to say, schools which taught the whole circle of knowledge: they were, indeed, in a great measure the models on which our present universities were formed.	The great Irish colleges were, in fact, universities in the full sense of the word, that is to say, schools which taught the whole circle of knowledge: they were, indeed, in a great measure the models on which our present universities were formed.
8006_112592_000019_000001	The Latin and Greek languages and literatures were studied and taught with success.	The Latin and Greek languages and literatures were studied and taught with success.
8006_112592_000019_000002	In science the Irish scholars were famous for their knowledge of Geometry, Arithmetic, Astronomy, Music, Geography, and so forth.	In science the Irish scholars were famous for their knowledge of Geometry, Arithmetic, Astronomy, Music, Geography, and so forth.
8006_112592_000019_000003	And they were equally eminent in sacred learning--Theology, Divinity, and the Holy Scriptures.	And they were equally eminent in sacred learning-Theology, Divinity, and the Holy Scriptures.
8006_112592_000020_000000	The schools proved their mettle by the scholars they educated and sent forth: scholars who astonished all Europe in their day.	The schools proved their mettle by the scholars they educated and sent forth: scholars who astonished all Europe in their day.
8006_112592_000020_000002	John Scotus Erigena ('John the Irish-born Scot') of the ninth century taught in Paris; he was the greatest Greek scholar of his time, and was equally eminent in Theology.	john Scotus Erigena ('john the Irish born Scot') of the ninth century taught in Paris; he was the greatest Greek scholar of his time, and was equally eminent in Theology.
8006_112592_000021_000000	These men, and scores of others that we cannot find space for here, spread the fame of their native country everywhere.	These men, and scores of others that we cannot find space for here, spread the fame of their native country everywhere.
8006_112592_000021_000001	It was no wonder that the people of Great Britain and the Continent, when they met such scholars, all from Ireland, came to the conclusion that the schools which educated them were the best to be found anywhere.	It was no wonder that the people of Great Britain and the Continent, when they met such scholars, all from Ireland, came to the conclusion that the schools which educated them were the best to be found anywhere.
8006_112592_000021_000002	Accordingly, students came from all parts of the known world, to place themselves under the masters of these schools.	Accordingly, students came from all parts of the known world, to place themselves under the masters of these schools.
8006_112592_000021_000003	From Germany, France, Italy, Egypt, came priests and laymen, princes, chiefs, and peasant students--all eagerly seeking to drink from the fountain of Irish learning.	From Germany, France, Italy, Egypt, came priests and laymen, princes, chiefs, and peasant students-all eagerly seeking to drink from the fountain of Irish learning.
8006_112592_000021_000005	But even in much greater numbers than these came students from Great Britain.	But even in much greater numbers than these came students from Great Britain.
