204_162375_000000_000000	CHAPTER II	CHAPTER two	false	2.7	27.85	17.91497
204_162375_000013_000000	"Ou, ay" says the man; "there's the laird, to be sure, if it's him you're wanting.	"Ou, ay" says the man; "there's the laird, to be sure, if it's him you're wanting.	false	177.35	183.45	20.48415
204_162375_000013_000001	What'll like be your business, mannie?"	What'll like be your business, mannie?"	false	183.45	185.89	24.06841
204_162375_000014_000000	"I was led to think that I would get a situation," I said, looking as modest as I could.	"I was led to think that I would get a situation," I said, looking as modest as I could.	true	187.01	192.61	19
204_162375_000015_000000	"What?" cries the carter, in so sharp a note that his very horse started; and then, "Well, mannie," he added, "it's nane of my affairs; but ye seem a decent-spoken lad; and if ye'll take a word from me, ye'll keep clear of the Shaws."	"What?" cries the carter, in so sharp a note that his very horse started; and then, "Well, mannie," he added, "it's nane of my affairs; but ye seem a decent spoken lad; and if ye'll take a word from me, ye'll keep clear of the Shaws."	false	193.1	209.38	19.601149
204_162375_000016_000000	The next person I came across was a dapper little man in a beautiful white wig, whom I saw to be a barber on his rounds; and knowing well that barbers were great gossips, I asked him plainly what sort of a man was Mr. Balfour of the Shaws.	The next person I came across was a dapper little man in a beautiful white wig, whom I saw to be a barber on his rounds; and knowing well that barbers were great gossips, I asked him plainly what sort of a man was mr Balfour of the Shaws.	true	210.5	224.71	17
204_162375_000017_000000	"Hoot, hoot, hoot," said the barber, "nae kind of a man, nae kind of a man at all;" and began to ask me very shrewdly what my business was; but I was more than a match for him at that, and he went on to his next customer no wiser than he came.	"Hoot, hoot, hoot," said the barber, "nae kind of a man, nae kind of a man at all;" and began to ask me very shrewdly what my business was; but I was more than a match for him at that, and he went on to his next customer no wiser than he came.	true	225.38	240.97	20.517473
204_162375_000018_000000	I cannot well describe the blow this dealt to my illusions.	I cannot well describe the blow this dealt to my illusions.	true	241.73	245.5	15
204_162375_000018_000001	The more indistinct the accusations were, the less I liked them, for they left the wider field to fancy.	The more indistinct the accusations were, the less I liked them, for they left the wider field to fancy.	true	245.63	252.4	19.363285
204_162375_000018_000002	What kind of a great house was this, that all the parish should start and stare to be asked the way to it? or what sort of a gentleman, that his ill-fame should be thus current on the wayside?	What kind of a great house was this, that all the parish should start and stare to be asked the way to it? or what sort of a gentleman, that his ill fame should be thus current on the wayside?	true	253.37	264.91	20
204_162375_000018_000003	If an hour's walking would have brought me back to Essendean, I had left my adventure then and there, and returned to Mr. Campbell's. But when I had come so far a way already, mere shame would not suffer me to desist till I had put the matter to the touch of proof; I was bound, out of mere self-respect, to carry it through; and little as I liked the sound of what I heard, and slow as I began to travel, I still kept asking my way and still kept advancing.	If an hour's walking would have brought me back to Essendean, I had left my adventure then and there, and returned to mr Campbell's. But when I had come so far a way already, mere shame would not suffer me to desist till I had put the matter to the touch of proof; I was bound, out of mere self respect, to carry it through; and little as I liked the sound of what I heard, and slow as I began to travel, I still kept asking my way and still kept advancing.	false	265.07	293.55	19.890364
204_162375_000019_000000	It was drawing on to sundown when I met a stout, dark, sour-looking woman coming trudging down a hill; and she, when I had put my usual question, turned sharp about, accompanied me back to the summit she had just left, and pointed to a great bulk of building standing very bare upon a green in the bottom of the next valley.	It was drawing on to sundown when I met a stout, dark, sour looking woman coming trudging down a hill; and she, when I had put my usual question, turned sharp about, accompanied me back to the summit she had just left, and pointed to a great bulk of building standing very bare upon a green in the bottom of the next valley.	false	293.55	314.29	20
204_162375_000019_000001	The country was pleasant round about, running in low hills, pleasantly watered and wooded, and the crops, to my eyes, wonderfully good; but the house itself appeared to be a kind of ruin; no road led up to it; no smoke arose from any of the chimneys; nor was there any semblance of a garden.	The country was pleasant round about, running in low hills, pleasantly watered and wooded, and the crops, to my eyes, wonderfully good; but the house itself appeared to be a kind of ruin; no road led up to it; no smoke arose from any of the chimneys; nor was there any semblance of a garden.	false	315.02	333.88	20.020279
204_162375_000019_000002	My heart sank. "That!" I cried.	My heart sank. "That!" I cried.	true	334.37	338.08	23.561201
204_162375_000020_000000	The woman's face lit up with a malignant anger.	The woman's face lit up with a malignant anger.	true	338.96	341.86	18
204_162375_000020_000001	"That is the house of Shaws!" she cried.	"That is the house of Shaws!" she cried.	true	342.2	345.27	20.14142
204_162375_000020_000002	"Blood built it; blood stopped the building of it; blood shall bring it down.	"Blood built it; blood stopped the building of it; blood shall bring it down.	true	345.27	350.17	20.484583
204_162375_000020_000003	See here!" she cried again--"I spit upon the ground, and crack my thumb at it!	See here!" she cried again-"I spit upon the ground, and crack my thumb at it!	true	350.3	355.99	21.27113
204_162375_000020_000004	Black be its fall!	Black be its fall!	true	356.21	357.64	21.374973
204_162375_000020_000005	If ye see the laird, tell him what ye hear; tell him this makes the twelve hunner and nineteen time that Jennet Clouston has called down the curse on him and his house, byre and stable, man, guest, and master, wife, miss, or bairn--black, black be their fall!"	If ye see the laird, tell him what ye hear; tell him this makes the twelve hunner and nineteen time that Jennet Clouston has called down the curse on him and his house, byre and stable, man, guest, and master, wife, miss, or bairn-black, black be their fall!"	false	357.65	374.23	21.595272
204_162375_000021_000000	And the woman, whose voice had risen to a kind of eldritch sing-song, turned with a skip, and was gone.	And the woman, whose voice had risen to a kind of eldritch sing song, turned with a skip, and was gone.	true	375.32	381.87	20.468462
204_162375_000021_000001	I stood where she left me, with my hair on end.	I stood where she left me, with my hair on end.	false	381.87	386.17	18.80816
204_162375_000021_000002	In those days folk still believed in witches and trembled at a curse; and this one, falling so pat, like a wayside omen, to arrest me ere I carried out my purpose, took the pith out of my legs.	In those days folk still believed in witches and trembled at a curse; and this one, falling so pat, like a wayside omen, to arrest me ere I carried out my purpose, took the pith out of my legs.	true	386.45	399.04	21
204_162375_000022_000000	I sat me down and stared at the house of Shaws.	I sat me down and stared at the house of Shaws.	true	400.31	403.45	13
204_162375_000022_000001	The more I looked, the pleasanter that country-side appeared; being all set with hawthorn bushes full of flowers; the fields dotted with sheep; a fine flight of rooks in the sky; and every sign of a kind soil and climate; and yet the barrack in the midst of it went sore against my fancy.	The more I looked, the pleasanter that country side appeared; being all set with hawthorn bushes full of flowers; the fields dotted with sheep; a fine flight of rooks in the sky; and every sign of a kind soil and climate; and yet the barrack in the midst of it went sore against my fancy.	true	403.82	421.51	21
204_162375_000023_000000	Country folk went by from the fields as I sat there on the side of the ditch, but I lacked the spirit to give them a good-e'en.	Country folk went by from the fields as I sat there on the side of the ditch, but I lacked the spirit to give them a good e'en.	true	422.3	429.22	20
204_162375_000023_000001	At last the sun went down, and then, right up against the yellow sky, I saw a scroll of smoke go mounting, not much thicker, as it seemed to me, than the smoke of a candle; but still there it was, and meant a fire, and warmth, and cookery, and some living inhabitant that must have lit it; and this comforted my heart.	At last the sun went down, and then, right up against the yellow sky, I saw a scroll of smoke go mounting, not much thicker, as it seemed to me, than the smoke of a candle; but still there it was, and meant a fire, and warmth, and cookery, and some living inhabitant that must have lit it; and this comforted my heart.	false	429.86	451.36	20.101236
204_162375_000024_000000	So I set forward by a little faint track in the grass that led in my direction.	So I set forward by a little faint track in the grass that led in my direction.	true	452.06	456.25	17
204_162375_000024_000001	It was very faint indeed to be the only way to a place of habitation; yet I saw no other.	It was very faint indeed to be the only way to a place of habitation; yet I saw no other.	true	456.65	462.61	18
204_162375_000024_000002	Presently it brought me to stone uprights, with an unroofed lodge beside them, and coats of arms upon the top.	Presently it brought me to stone uprights, with an unroofed lodge beside them, and coats of arms upon the top.	true	463.22	470.17	21.853188
204_162375_000024_000003	A main entrance it was plainly meant to be, but never finished; instead of gates of wrought iron, a pair of hurdles were tied across with a straw rope; and as there were no park walls, nor any sign of avenue, the track that I was following passed on the right hand of the pillars, and went wandering on toward the house.	A main entrance it was plainly meant to be, but never finished; instead of gates of wrought iron, a pair of hurdles were tied across with a straw rope; and as there were no park walls, nor any sign of avenue, the track that I was following passed on the right hand of the pillars, and went wandering on toward the house.	true	470.42	490	19
204_162375_000025_000000	The nearer I got to that, the drearier it appeared.	The nearer I got to that, the drearier it appeared.	true	491	494.53	19
204_162375_000025_000001	It seemed like the one wing of a house that had never been finished.	It seemed like the one wing of a house that had never been finished.	true	494.75	498.37	17
204_162375_000025_000002	What should have been the inner end stood open on the upper floors, and showed against the sky with steps and stairs of uncompleted masonry.	What should have been the inner end stood open on the upper floors, and showed against the sky with steps and stairs of uncompleted masonry.	true	498.77	506.86	15
204_162375_000025_000003	Many of the windows were unglazed, and bats flew in and out like doves out of a dove-cote.	Many of the windows were unglazed, and bats flew in and out like doves out of a dove cote.	true	507.41	513.01	18.942907
204_162375_000026_000000	The night had begun to fall as I got close; and in three of the lower windows, which were very high up and narrow, and well barred, the changing light of a little fire began to glimmer.	The night had begun to fall as I got close; and in three of the lower windows, which were very high up and narrow, and well barred, the changing light of a little fire began to glimmer.	true	514.34	524.86	15
204_162375_000026_000001	Was this the palace I had been coming to?	Was this the palace I had been coming to?	true	525.53	528.4	14
204_162375_000026_000002	Was it within these walls that I was to seek new friends and begin great fortunes?	Was it within these walls that I was to seek new friends and begin great fortunes?	true	528.8	533.5	15
204_162375_000026_000003	Why, in my father's house on Essen-Waterside, the fire and the bright lights would show a mile away, and the door open to a beggar's knock!	Why, in my father's house on Essen Waterside, the fire and the bright lights would show a mile away, and the door open to a beggar's knock!	true	534.05	542.59	17
204_162375_000027_000000	I came forward cautiously, and giving ear as I came, heard some one rattling with dishes, and a little dry, eager cough that came in fits; but there was no sound of speech, and not a dog barked.	I came forward cautiously, and giving ear as I came, heard some one rattling with dishes, and a little dry, eager cough that came in fits; but there was no sound of speech, and not a dog barked.	false	543.56	556.42	18.235773
204_162375_000028_000000	The door, as well as I could see it in the dim light, was a great piece of wood all studded with nails; and I lifted my hand with a faint heart under my jacket, and knocked once.	The door, as well as I could see it in the dim light, was a great piece of wood all studded with nails; and I lifted my hand with a faint heart under my jacket, and knocked once.	true	557.48	567.9	17
204_162375_000028_000001	Then I stood and waited.	Then I stood and waited.	false	567.9	570.13	16.795404
204_162375_000028_000002	The house had fallen into a dead silence; a whole minute passed away, and nothing stirred but the bats overhead.	The house had fallen into a dead silence; a whole minute passed away, and nothing stirred but the bats overhead.	true	571.25	578.62	18
204_162375_000028_000003	I knocked again, and hearkened again. By this time my ears had grown so accustomed to the quiet, that I could hear the ticking of the clock inside as it slowly counted out the seconds; but whoever was in that house kept deadly still, and must have held his breath.	I knocked again, and hearkened again. By this time my ears had grown so accustomed to the quiet, that I could hear the ticking of the clock inside as it slowly counted out the seconds; but whoever was in that house kept deadly still, and must have held his breath.	true	579.26	595.81	18.681728
204_162375_000029_000000	I was in two minds whether to run away; but anger got the upper hand, and I began instead to rain kicks and buffets on the door, and to shout out aloud for Mr. Balfour.	I was in two minds whether to run away; but anger got the upper hand, and I began instead to rain kicks and buffets on the door, and to shout out aloud for mr Balfour.	false	597.05	607.24	18
204_162375_000029_000001	I was in full career, when I heard the cough right overhead, and jumping back and looking up, beheld a man's head in a tall nightcap, and the bell mouth of a blunderbuss, at one of the first-storey windows.	I was in full career, when I heard the cough right overhead, and jumping back and looking up, beheld a man's head in a tall nightcap, and the bell mouth of a blunderbuss, at one of the first storey windows.	false	607.7	620.59	19.421669
204_162375_000030_000000	"It's loaded," said a voice.	"It's loaded," said a voice.	true	621.23	623.89	18.448875
204_162375_000031_000000	"I have come here with a letter," I said, "to Mr. Ebenezer Balfour of Shaws.	"I have come here with a letter," I said, "to mr Ebenezer Balfour of Shaws.	true	624.56	629.745	20.757036
204_162375_000031_000001	Is he here?"	Is he here?"	true	629.745	630.67	22
204_162375_000032_000000	"From whom is it?" asked the man with the blunderbuss.	"From whom is it?" asked the man with the blunderbuss.	false	631.73	635.47	18.948963
204_162375_000033_000000	"That is neither here nor there," said I, for I was growing very wroth.	"That is neither here nor there," said I, for I was growing very wroth.	false	636.05	641.37	19.016499
204_162375_000034_000000	"Well," was the reply, "ye can put it down upon the doorstep, and be off with ye."	"Well," was the reply, "ye can put it down upon the doorstep, and be off with ye."	false	641.37	647.22	25.106396
204_162375_000035_000000	"I will do no such thing," I cried.	"I will do no such thing," I cried.	true	647.22	649.99	22.233685
204_162375_000035_000001	"I will deliver it into Mr. Balfour's hands, as it was meant I should.	"I will deliver it into mr Balfour's hands, as it was meant I should.	true	650	654.525	18
204_162375_000035_000002	It is a letter of introduction."	It is a letter of introduction."	true	654.525	656.29	18.936481
204_162375_000036_000000	"A what?" cried the voice, sharply.	"A what?" cried the voice, sharply.	true	656.81	660.01	21.123518
204_162375_000037_000000	I repeated what I had said.	I repeated what I had said.	true	660.59	662.56	17
204_162375_000038_000000	"Who are ye, yourself?" was the next question, after a considerable pause.	"Who are ye, yourself?" was the next question, after a considerable pause.	true	663.23	668.11	18.566702
204_162375_000039_000000	"I am not ashamed of my name," said I. "They call me David Balfour."	"I am not ashamed of my name," said i "They call me David Balfour."	true	668.69	673.15	19.458252
204_162375_000040_000000	At that, I made sure the man started, for I heard the blunderbuss rattle on the window-sill; and it was after quite a long pause, and with a curious change of voice, that the next question followed:	At that, I made sure the man started, for I heard the blunderbuss rattle on the window sill; and it was after quite a long pause, and with a curious change of voice, that the next question followed:	true	674.36	686.32	19.166662
204_162375_000041_000000	"Is your father dead?"	"Is your father dead?"	true	687.26	689.38	18.002644
204_162375_000042_000000	I was so much surprised at this, that I could find no voice to answer, but stood staring.	I was so much surprised at this, that I could find no voice to answer, but stood staring.	true	690.47	695.94	18
204_162375_000043_000000	"Ay," the man resumed, "he'll be dead, no doubt; and that'll be what brings ye chapping to my door." Another pause, and then defiantly, "Well, man," he said, "I'll let ye in;" and he disappeared from the window.	"Ay," the man resumed, "he'll be dead, no doubt; and that'll be what brings ye chapping to my door." Another pause, and then defiantly, "Well, man," he said, "I'll let ye in;" and he disappeared from the window.	false	695.94	714.03	20.023472
204_162375_000044_000000	CHAPTER III	CHAPTER three	false	714.03	714.27	-20
204_162375_000045_000000	I MAKE ACQUAINTANCE OF MY UNCLE	I MAKE ACQUAINTANCE OF MY UNCLE	false	714.27	715.08	-20
204_162375_000046_000000	Presently there came a great rattling of chains and bolts, and the door was cautiously opened and shut to again behind me as soon as I had passed.	Presently there came a great rattling of chains and bolts, and the door was cautiously opened and shut to again behind me as soon as I had passed.	false	715.08	720.6	15.785444
