7994_258959_000000_000000	DIVISION B--WEALTH AND RENT	DIVISION B-WEALTH AND RENT
7994_258959_000017_000003	As temperature must be adjusted to man's need, climate satisfies wants directly.	As temperature must be adjusted to man's need, climate satisfies wants directly.
7994_258959_000017_000004	Health, energy, the beauty of noonday woods and of sunlit clouds are conditioned on the favor of nature.	Health, energy, the beauty of noonday woods and of sunlit clouds are conditioned on the favor of nature.
7994_258959_000017_000005	Climate affects, further, the supply of material economic goods.	Climate affects, further, the supply of material economic goods.
7994_258959_000017_000008	So civilization moved northward from Egypt and India to Greece and Rome, to northern Europe and America.	So civilization moved northward from Egypt and India to Greece and Rome, to northern Europe and America.
7994_258959_000019_000000	Soil conditions for vegetable life determine first the amount and kind of animal life.	Soil conditions for vegetable life determine first the amount and kind of animal life.
7994_258959_000019_000001	Animal life from one point of view is a parasite, living on the vegetable; it is only the vegetable that has power to assimilate most inorganic compounds.	Animal life from one point of view is a parasite, living on the vegetable; it is only the vegetable that has power to assimilate most inorganic compounds.
7994_258959_000019_000003	Man, therefore, depends on the resources of the soil directly or indirectly; a fertile soil furnishes him either directly a supply of vegetable food, or indirectly a supply of animal food.	Man, therefore, depends on the resources of the soil directly or indirectly; a fertile soil furnishes him either directly a supply of vegetable food, or indirectly a supply of animal food.
7994_258959_000020_000000	Natural supplies of metals, of coal, and of timber are important consumption goods, but they are also indirectly the condition for a vast variety of other goods.	Natural supplies of metals, of coal, and of timber are important consumption goods, but they are also indirectly the condition for a vast variety of other goods.
7994_258959_000020_000001	The industry that could exist without iron, copper, and coal would be of a very low grade.	The industry that could exist without iron, copper, and coal would be of a very low grade.
7994_258959_000022_000000	The variety of flora and fauna, and their fitness for man's needs, largely condition the possible production.	The variety of flora and fauna, and their fitness for man's needs, largely condition the possible production.
7994_258959_000022_000001	If, in the course of evolution, it had chanced that wheat and corn, the horse and the cow, had been crowded out in the struggle for existence, we should have had a very different civilization.	If, in the course of evolution, it had chanced that wheat and corn, the horse and the cow, had been crowded out in the struggle for existence, we should have had a very different civilization.
7994_258959_000022_000002	The possibilities of civilization in Peru, and those of all the Indians on the American continent, were limited for lack of domestic animals.	The possibilities of civilization in Peru, and those of all the Indians on the American continent, were limited for lack of domestic animals.
7994_258959_000022_000003	Animals that are fit for domestication are a necessary intermediate agent by aid of which man can appropriate and turn to his use the fertile qualities of the soil.	Animals that are fit for domestication are a necessary intermediate agent by aid of which man can appropriate and turn to his use the fertile qualities of the soil.
7994_258959_000023_000000	Not content with the material world about him, even when it is at its best, man alters it in many ways.	Not content with the material world about him, even when it is at its best, man alters it in many ways.
7994_258959_000023_000001	He enriches the soil, improves the varieties of animals, he even in some slight degree affects the climate, and by the use of a multitude of artificial bits of matter called tools, works profound changes in the world in which he lives.	He enriches the soil, improves the varieties of animals, he even in some slight degree affects the climate, and by the use of a multitude of artificial bits of matter called tools, works profound changes in the world in which he lives.
7994_258959_000025_000002	The outer world is to man the sole source of motive forces.	The outer world is to man the sole source of motive forces.
7994_258959_000025_000003	He can bring things together and they produce the result. Further, it may be said that nearly every kind of utility is conditioned on motion.	He can bring things together and they produce the result. Further, it may be said that nearly every kind of utility is conditioned on motion.
7994_258959_000025_000005	To secure this either he must move to get the goods, or he must cause goods to move toward him.	To secure this either he must move to get the goods, or he must cause goods to move toward him.
7994_258959_000026_000000	The law of "conservation of energy" helps to explain economic action; the supply of energy in the universe cannot be increased or diminished, but may take on new forms.	The law of "conservation of energy" helps to explain economic action; the supply of energy in the universe cannot be increased or diminished, but may take on new forms.
7994_258959_000026_000001	So a limited supply in man's control may take on various forms and so have different effects on gratifications.	So a limited supply in man's control may take on various forms and so have different effects on gratifications.
7994_258959_000026_000002	One and the same source of energy may be converted into the different forms of heat, light, motion, electricity, etc.	One and the same source of energy may be converted into the different forms of heat, light, motion, electricity, etc
7994_258959_000026_000003	But there must be some source. Man's desire is directed to getting force at the right place and in the right degree.	But there must be some source. Man's desire is directed to getting force at the right place and in the right degree.
7994_258959_000026_000004	If light or heat is too intense, it causes pain; the glare of the sun blinds instead of giving keener vision.	If light or heat is too intense, it causes pain; the glare of the sun blinds instead of giving keener vision.
7994_258959_000026_000005	A moderate force applied to any of the senses gives the maximum clearness or pleasure. Man is constantly endeavoring to secure forces from the outer world and to adjust motion so that it will directly or indirectly best serve his purposes.	A moderate force applied to any of the senses gives the maximum clearness or pleasure. Man is constantly endeavoring to secure forces from the outer world and to adjust motion so that it will directly or indirectly best serve his purposes.
7994_258959_000028_000000	3.	three.
7994_258959_000028_000002	There must be a source of energy likewise that mental action may go on, and the power of sunbeams, stored for a time in food, is liberated in the processes of thought.	There must be a source of energy likewise that mental action may go on, and the power of sunbeams, stored for a time in food, is liberated in the processes of thought.
7994_258959_000029_000001	Such a mode is "labor," which becomes at times painful and distasteful.	Such a mode is "labor," which becomes at times painful and distasteful.
7994_258959_000029_000002	In the earliest societies known, some sorts of domestic animals are found supplementing man's efforts and acting upon the material world to alter it for man. The dog joining in the chase guards his master's safety, and helps to bear his burdens.	In the earliest societies known, some sorts of domestic animals are found supplementing man's efforts and acting upon the material world to alter it for man. The dog joining in the chase guards his master's safety, and helps to bear his burdens.
7994_258959_000029_000003	The draft-beast in the field turns the heavy soil, and aids in the final harvest.	The draft beast in the field turns the heavy soil, and aids in the final harvest.
7994_258959_000029_000004	The trained elephant does the work of twenty men piling logs, loading ships, or carrying burdens.	The trained elephant does the work of twenty men piling logs, loading ships, or carrying burdens.
7994_258959_000030_000000	Man further increases his control over the material world by making other men do his bidding.	Man further increases his control over the material world by making other men do his bidding.
7994_258959_000030_000001	Domestic slavery, where wife or child serves the father of the family, or chattel slavery, where the vanquished toils for the victor, are all but universal in early communities.	Domestic slavery, where wife or child serves the father of the family, or chattel slavery, where the vanquished toils for the victor, are all but universal in early communities.
7994_258959_000030_000002	Such a method of increasing one's control over the forces of the world requires only superior strength, no special intelligence in mechanics, and is thus one of the first crude devices in a primitive civilization.	Such a method of increasing one's control over the forces of the world requires only superior strength, no special intelligence in mechanics, and is thus one of the first crude devices in a primitive civilization.
7994_258959_000031_000000	Fuel has been, up to the present time, perhaps the most important source of energy.	Fuel has been, up to the present time, perhaps the most important source of energy.
7994_258959_000031_000001	Fire in the hands of savage man gave him dominion over the forests and over the metals.	Fire in the hands of savage man gave him dominion over the forests and over the metals.
7994_258959_000031_000002	In this age of steam the liberation of the energy of the sun, stored up in coal in ages past, is still the indispensable condition of our developed industry.	In this age of steam the liberation of the energy of the sun, stored up in coal in ages past, is still the indispensable condition of our developed industry.
7994_258959_000033_000002	To make use of the wind for sailing a boat, only the simplest arrangements are needed; a windmill fixed at one place requires more ingenuity and machinery.	To make use of the wind for sailing a boat, only the simplest arrangements are needed; a windmill fixed at one place requires more ingenuity and machinery.
7994_258959_000033_000004	If some means can be found for equalizing the flow and for storing the power of the wind, it may yet become a great agency of industry.	If some means can be found for equalizing the flow and for storing the power of the wind, it may yet become a great agency of industry.
7994_258959_000033_000005	The force of falling water, long used in a petty way by the old water-mills, is just beginning to be employed on a large scale at such points as Niagara.	The force of falling water, long used in a petty way by the old water mills, is just beginning to be employed on a large scale at such points as Niagara.
7994_258959_000033_000007	But the constant motion of the tides offers, at some favored points, a source of power that will remain as long as the earth revolves upon its axis.	But the constant motion of the tides offers, at some favored points, a source of power that will remain as long as the earth revolves upon its axis.
7994_258959_000035_000000	5.	five.
7994_258959_000035_000002	As man grows in power of control over nature, he seeks to apply these forces in forms and at places he has selected.	As man grows in power of control over nature, he seeks to apply these forces in forms and at places he has selected.
7994_258959_000035_000004	He ceases to accept passively its conditions, and to live on its grudging gifts; he becomes its fashioner, in a sense its creator.	He ceases to accept passively its conditions, and to live on its grudging gifts; he becomes its fashioner, in a sense its creator.
7994_258959_000035_000005	His intelligence and his wants are most important factors determining what the form of the physical world about him shall be.	His intelligence and his wants are most important factors determining what the form of the physical world about him shall be.
7994_258959_000036_000000	But all the efforts of men in the most developed economy cannot make to disappear the differences in the quality of goods and agents.	But all the efforts of men in the most developed economy cannot make to disappear the differences in the quality of goods and agents.
7994_258959_000036_000001	Desirable goods to consume are limited in quantity, and they vary in quality; hence they have value and some higher than others.	Desirable goods to consume are limited in quantity, and they vary in quality; hence they have value and some higher than others.
7994_258959_000036_000002	Likewise, durable material agents and sources of power are limited in number and vary in convenience of location and efficiency.	Likewise, durable material agents and sources of power are limited in number and vary in convenience of location and efficiency.
7994_258959_000036_000003	As men seek to gratify their desires, they attach importance to these agents of power.	As men seek to gratify their desires, they attach importance to these agents of power.
7994_258959_000036_000004	Each is valued for its service or its series of services.	Each is valued for its service or its series of services.
7994_258959_000036_000005	When anything is seen to contain a series of uses, it becomes a rent-bearer, and the economic problem of rent arises, one step more complex than the problem of valuing simple consumption goods.	When anything is seen to contain a series of uses, it becomes a rent bearer, and the economic problem of rent arises, one step more complex than the problem of valuing simple consumption goods.
