3083_7944_000001_000000	CHAPTER II.	CHAPTER two.
3083_7944_000009_000002	How are you, honey?"	How are you, honey?"
3083_7944_000011_000000	"It's about time you was a comin' over," replied the woman in the doorway; "I was a tellin' the menfolks this mornin' that you hadn't been nigh the whole blessed week.	"It's about time you was a comin' over," replied the woman in the doorway; "I was a tellin' the menfolks this mornin' that you hadn't been nigh the whole blessed week.
3083_7944_000011_000001	Mr. Matthews 'lowed maybe you was sick."	mr Matthews 'lowed maybe you was sick."
3083_7944_000012_000000	The other returned with a gay laugh, "I was never sick a minute in my life that anybody ever heard tell.	The other returned with a gay laugh, "I was never sick a minute in my life that anybody ever heard tell.
3083_7944_000012_000001	I'm powerful hungry, though. You'd better put in another pan of corn bread." She turned her pony's head toward the barn.	I'm powerful hungry, though. You'd better put in another pan of corn bread." She turned her pony's head toward the barn.
3083_7944_000013_000000	"Seems like you are always hungry," laughed the older woman, in return.	"Seems like you are always hungry," laughed the older woman, in return.
3083_7944_000014_000000	Operations at the woodpile suddenly ceased and Young Matt was first at the barn-yard gate.	Operations at the woodpile suddenly ceased and Young Matt was first at the barn yard gate.
3083_7944_000016_000000	But what is the use?	But what is the use?
3083_7944_000016_000001	When all this is written, those who knew Sammy will say, "'Tis but a poor picture, for she is something more than all this." Uncle Ike, the postmaster at the Forks, did it much better when he said to "Preachin' Bill," the night of the "Doin's" at the Cove School, "Ba thundas!	When all this is written, those who knew Sammy will say, "'tis but a poor picture, for she is something more than all this." Uncle Ike, the postmaster at the Forks, did it much better when he said to "Preachin' Bill," the night of the "Doin's" at the Cove School, "Ba thundas!
3083_7944_000016_000003	WHAT!	WHAT!
3083_7944_000016_000005	What!" And the little shrivelled up old hillsman, who keeps the ferry, removed his cob pipe long enough to reply, with all the emphasis possible to his squeaky voice, "She sure do, Ike. She sure do.	What!" And the little shrivelled up old hillsman, who keeps the ferry, removed his cob pipe long enough to reply, with all the emphasis possible to his squeaky voice, "She sure do, Ike. She sure do.
3083_7944_000018_000000	"I've been a lookin' for you over," said Sammy, a teasing light in her eyes.	"I've been a lookin' for you over," said Sammy, a teasing light in her eyes.
3083_7944_000018_000001	"Didn't you know that Mandy was stoppin' with me?	"Didn't you know that Mandy was stoppin' with me?
3083_7944_000019_000001	"Why didn't you tell me before?	"Why didn't you tell me before?
3083_7944_000019_000002	I reckon she'll get over it alright, though," he added with a smile, as he raised his arms to assist the girl to dismount.	I reckon she'll get over it alright, though," he added with a smile, as he raised his arms to assist the girl to dismount.
3083_7944_000020_000000	The teasing light vanished as the young woman placed her hands on the powerful shoulders of the giant, and as she felt the play of the swelling muscles that swung her to the ground so easily, her face flushed with admiration.	The teasing light vanished as the young woman placed her hands on the powerful shoulders of the giant, and as she felt the play of the swelling muscles that swung her to the ground so easily, her face flushed with admiration.
3083_7944_000021_000000	When the girl was gone, the big fellow led the horse away to the stable, where he crossed his arms upon the saddle and hid his face from the light.	When the girl was gone, the big fellow led the horse away to the stable, where he crossed his arms upon the saddle and hid his face from the light.
3083_7944_000021_000001	Mr. Matthews coming quietly to the door a few minutes later saw the boy standing there, and the rugged face of the big mountaineer softened at the sight.	mr Matthews coming quietly to the door a few minutes later saw the boy standing there, and the rugged face of the big mountaineer softened at the sight.
3083_7944_000021_000002	Quietly he withdrew to the other side of the barn, to return later when the saddle and bridle had been removed, and the young man stood stroking the pony, as the little horse munched his generous feed of corn.	Quietly he withdrew to the other side of the barn, to return later when the saddle and bridle had been removed, and the young man stood stroking the pony, as the little horse munched his generous feed of corn.
3083_7944_000022_000000	The elder man laid his hand on the broad shoulder of the lad so like him, and looked full into the clear eyes.	The elder man laid his hand on the broad shoulder of the lad so like him, and looked full into the clear eyes.
3083_7944_000022_000001	"Is it alright, son?" he asked gruffly; and the boy answered, as he returned his father's look, "It's alright, Dad."	"Is it alright, son?" he asked gruffly; and the boy answered, as he returned his father's look, "It's alright, Dad."
3083_7944_000023_000000	"Then let's go to the house; Mother called supper some time ago."	"Then let's go to the house; Mother called supper some time ago."
3083_7944_000024_000000	Just as the little company were seating themselves at the table, the dog in the yard barked loudly.	Just as the little company were seating themselves at the table, the dog in the yard barked loudly.
3083_7944_000024_000001	Young Matt went to the door. The stranger, whom Jed had met on the Old Trail, stood at the gate.	Young Matt went to the door. The stranger, whom Jed had met on the Old Trail, stood at the gate.
3083_7944_000025_000000	CHAPTER III.	CHAPTER three.
3083_7944_000026_000000	THE VOICE FROM OUT THE MISTS.	THE VOICE FROM OUT THE MISTS.
3083_7944_000027_000000	While Young Matt was gone to the corral in the valley to see that the sheep were safely folded for the night, and the two women were busy in the house with their after-supper work, Mr. Matthews and his guest sat on the front porch.	While Young Matt was gone to the corral in the valley to see that the sheep were safely folded for the night, and the two women were busy in the house with their after supper work, mr Matthews and his guest sat on the front porch.
3083_7944_000028_000000	"My name is Howitt, Daniel Howitt," the man said in answer to the host's question.	"My name is Howitt, Daniel Howitt," the man said in answer to the host's question.
3083_7944_000028_000001	But, as he spoke, there was in his manner a touch of embarrassment, and he continued quickly as if to prevent further question, "You have two remarkable children, sir; that boy is the finest specimen of manhood I have ever seen, and the girl is remarkable--remarkable, sir.	But, as he spoke, there was in his manner a touch of embarrassment, and he continued quickly as if to prevent further question, "You have two remarkable children, sir; that boy is the finest specimen of manhood I have ever seen, and the girl is remarkable-remarkable, sir.
3083_7944_000029_000000	The grim face of the elder Matthews showed both pleasure and amusement.	The grim face of the elder Matthews showed both pleasure and amusement.
3083_7944_000029_000002	I doubt if there's a man in the hills can match him to-day; not excepting Wash Gibbs; an' he's a mighty good boy, too.	I doubt if there's a man in the hills can match him to day; not excepting Wash Gibbs; an' he's a mighty good boy, too.
3083_7944_000029_000003	But the girl is a daughter of a neighbor, and no kin at all."	But the girl is a daughter of a neighbor, and no kin at all."
3083_7944_000031_000000	The amused smile left the face of the old mountaineer, as he answered slowly, "There was six boys, sir; this one, Grant, is the youngest.	The amused smile left the face of the old mountaineer, as he answered slowly, "There was six boys, sir; this one, Grant, is the youngest.
3083_7944_000031_000001	The others lie over there." He pointed with his pipe to where a clump of pines, not far from the house, showed dark and tall, against the last red glow in the sky.	The others lie over there." He pointed with his pipe to where a clump of pines, not far from the house, showed dark and tall, against the last red glow in the sky.
3083_7944_000032_000000	The stranger glanced at the big man's face in quick sympathy.	The stranger glanced at the big man's face in quick sympathy.
3083_7944_000032_000003	The boy grew to be a man, and now he has left me." The deep voice faltered.	The boy grew to be a man, and now he has left me." The deep voice faltered.
3083_7944_000033_000000	There is a bond of fellowship in sorrow that knows no conventionalities.	There is a bond of fellowship in sorrow that knows no conventionalities.
3083_7944_000033_000001	As the two men sat in the hush of the coming night, their faces turned toward the somber group of trees, they felt strongly drawn to one another.	As the two men sat in the hush of the coming night, their faces turned toward the somber group of trees, they felt strongly drawn to one another.
3083_7944_000034_000000	The mountaineer's companion spoke again half to himself; "I wish that my dear ones had a resting place like that.	The mountaineer's companion spoke again half to himself; "I wish that my dear ones had a resting place like that.
3083_7944_000035_000000	For some time the stranger sat thus, while his host spoke no word. Then lifting his head, the man looked away over the ridges just touched with the lingering light, and the valley below wrapped in the shadowy mists.	For some time the stranger sat thus, while his host spoke no word. Then lifting his head, the man looked away over the ridges just touched with the lingering light, and the valley below wrapped in the shadowy mists.
3083_7944_000035_000002	"This is good for me; it somehow seems to help me know how big God is.	"This is good for me; it somehow seems to help me know how big God is.
3083_7944_000036_000000	The mountaineer puffed hard at his pipe for a while, then said gruffly, "Seems that way, Mister, to them that don't know.	The mountaineer puffed hard at his pipe for a while, then said gruffly, "Seems that way, Mister, to them that don't know.
3083_7944_000036_000002	I used to feel like you do, but I can't no more.	I used to feel like you do, but I can't no more.
3083_7944_000036_000003	They 'mind me now of him that blackened my life; he used to take on powerful about the beauty of the country and all the time he was a turnin' it into a hell for them that had to stay here after he was gone."	They 'mind me now of him that blackened my life; he used to take on powerful about the beauty of the country and all the time he was a turnin' it into a hell for them that had to stay here after he was gone."
3083_7944_000037_000000	As he spoke, anger and hatred grew dark in the giant's face, and the stranger saw the big hands clench and the huge frame grow tense with passion.	As he spoke, anger and hatred grew dark in the giant's face, and the stranger saw the big hands clench and the huge frame grow tense with passion.
3083_7944_000037_000002	It'll fair up by morning, I reckon.	It'll fair up by morning, I reckon.
3083_7944_000037_000003	You can see a long way from here, of a clear day, Mister."	You can see a long way from here, of a clear day, Mister."
3083_7944_000038_000000	"Yes, indeed," replied Mr. Howitt, in an odd tone.	"Yes, indeed," replied mr Howitt, in an odd tone.
3083_7944_000039_000000	"You live in the city, then, when you are at home?" asked Mr. Matthews, looking curiously at his guest.	"You live in the city, then, when you are at home?" asked mr Matthews, looking curiously at his guest.
3083_7944_000041_000000	Old Matt leaned forward in his chair as if to speak again; then paused; someone was coming up the hill; and soon they distinguished the stalwart form of the son.	Old Matt leaned forward in his chair as if to speak again; then paused; someone was coming up the hill; and soon they distinguished the stalwart form of the son.
3083_7944_000041_000001	Sammy coming from the house with an empty bucket met the young man at the gate, and the two went toward the spring together.	Sammy coming from the house with an empty bucket met the young man at the gate, and the two went toward the spring together.
3083_7944_000042_000001	It was a weird scene, almost supernatural in its beauty.	It was a weird scene, almost supernatural in its beauty.
3083_7944_000043_000001	Howitt, you've got education; it's easy to see that; I've always wanted to ask somebody like you, do you believe in hants?	Howitt, you've got education; it's easy to see that; I've always wanted to ask somebody like you, do you believe in hants?
3083_7944_000043_000002	Do you reckon folks ever come back once they're dead and gone?"	Do you reckon folks ever come back once they're dead and gone?"
3083_7944_000044_000000	The man from the city saw that his big host was terribly in earnest, and answered quietly, "No, I do not believe in such things, Mr. Matthews; but if it should be true, I do not see why we should fear the dead."	The man from the city saw that his big host was terribly in earnest, and answered quietly, "No, I do not believe in such things, mr Matthews; but if it should be true, I do not see why we should fear the dead."
3083_7944_000045_000000	The other shook his head; "I don't know--I don't know, sir; I always said I didn't believe, but some things is mighty queer." He seemed to be shaping his thought for further speech, when again the girl's laugh rang clear along the mountain side.	The other shook his head; "I don't know-I don't know, sir; I always said I didn't believe, but some things is mighty queer." He seemed to be shaping his thought for further speech, when again the girl's laugh rang clear along the mountain side.
3083_7944_000045_000001	The young people were returning from the spring.	The young people were returning from the spring.
3083_7944_000046_000000	The mountaineer relighted his pipe, while Young Matt and Sammy seated themselves on the step, and Mrs. Matthews coming from the house joined the group.	The mountaineer relighted his pipe, while Young Matt and Sammy seated themselves on the step, and mrs Matthews coming from the house joined the group.
3083_7944_000047_000000	"We've just naturally got to find somebody to stay with them sheep, Dad," said the son; "there ain't nobody there to-night, and as near as I can make out there's three ewes and their lambs missing.	"We've just naturally got to find somebody to stay with them sheep, Dad," said the son; "there ain't nobody there to night, and as near as I can make out there's three ewes and their lambs missing.
3083_7944_000047_000001	There ain't a bit of use in us trying to depend on Pete."	There ain't a bit of use in us trying to depend on Pete."
3083_7944_000048_000000	"I'll ride over on Bear Creek to-morrow, and see if I can get that fellow Buck told us about," returned the father.	"I'll ride over on Bear Creek to morrow, and see if I can get that fellow Buck told us about," returned the father.
3083_7944_000049_000000	"You find it hard to get help on the ranch?" inquired the stranger.	"You find it hard to get help on the ranch?" inquired the stranger.
3083_7944_000050_000000	"Yes, sir, we do," answered Old Matt.	"Yes, sir, we do," answered Old Matt.
3083_7944_000050_000002	But with some a stayin' out on the range, an' not comin' in, an' the wolves a gettin' into the corral at night, we'll lose mighty nigh all the profits this year.	But with some a stayin' out on the range, an' not comin' in, an' the wolves a gettin' into the corral at night, we'll lose mighty nigh all the profits this year.
3083_7944_000050_000003	The worst of it is, there ain't much show to get a man; unless that one over on Bear Creek will come.	The worst of it is, there ain't much show to get a man; unless that one over on Bear Creek will come.
3083_7944_000050_000004	I reckon, though, he'll be like the rest." He sat staring gloomily into the night.	I reckon, though, he'll be like the rest." He sat staring gloomily into the night.
3083_7944_000051_000000	"Is the work so difficult?" Mr. Howitt asked.	"Is the work so difficult?" mr Howitt asked.
3083_7944_000052_000000	"Difficult, no; there ain't nothing to do but tendin' to the sheep.	"Difficult, no; there ain't nothing to do but tendin' to the sheep.
3083_7944_000052_000001	The man has to stay at the ranch of nights, though."	The man has to stay at the ranch of nights, though."
3083_7944_000053_000000	Mr. Howitt was wondering what staying at the ranch nights could have to do with the difficulty, when, up from the valley below, from out the darkness and the mists, came a strange sound; a sound as if someone were singing a song without words.	mr Howitt was wondering what staying at the ranch nights could have to do with the difficulty, when, up from the valley below, from out the darkness and the mists, came a strange sound; a sound as if someone were singing a song without words.
3083_7944_000053_000001	So wild and weird was the melody; so passionately sweet the voice, it seemed impossible that the music should come from human lips.	So wild and weird was the melody; so passionately sweet the voice, it seemed impossible that the music should come from human lips.
3083_7944_000053_000002	It was more as though some genie of the forest-clad hills wandered through the mists, singing as he went with the joy of his possessions.	It was more as though some genie of the forest clad hills wandered through the mists, singing as he went with the joy of his possessions.
3083_7944_000054_000001	Young Matt rose to his feet and moved closer to the girl, who was also standing.	Young Matt rose to his feet and moved closer to the girl, who was also standing.
