224_129790_000000_000000	CHAPTER X. DON DIEGO	CHAPTER ten DON DIEGO
224_129790_000031_000001	"But is that necessary?" he asked, without apparent perturbation.	"But is that necessary?" he asked, without apparent perturbation.
224_129790_000032_000000	Captain Blood's blue eyes approved his bearing.	Captain Blood's blue eyes approved his bearing.
224_129790_000034_000000	Captain Blood perched himself on the edge of the long oak table.	Captain Blood perched himself on the edge of the long oak table.
224_129790_000034_000002	You and your ten surviving scoundrels are a menace on this ship. More than that, she is none so well found in water and provisions.	You and your ten surviving scoundrels are a menace on this ship. More than that, she is none so well found in water and provisions.
224_129790_000034_000003	True, we are fortunately a small number, but you and your party inconveniently increase it.	True, we are fortunately a small number, but you and your party inconveniently increase it.
224_129790_000034_000004	So that on every hand, you see, prudence suggests to us that we should deny ourselves the pleasure of your company, and, steeling our soft hearts to the inevitable, invite you to be so obliging as to step over the side."	So that on every hand, you see, prudence suggests to us that we should deny ourselves the pleasure of your company, and, steeling our soft hearts to the inevitable, invite you to be so obliging as to step over the side."
224_129790_000035_000000	"I see," said the Spaniard pensively.	"I see," said the Spaniard pensively.
224_129790_000035_000001	He swung his legs from the couch, and sat now upon the edge of it, his elbows on his knees.	He swung his legs from the couch, and sat now upon the edge of it, his elbows on his knees.
224_129790_000035_000003	"I confess," he admitted, "that there is much force in what you say."	"I confess," he admitted, "that there is much force in what you say."
224_129790_000036_000000	"You take a load from my mind," said Captain Blood.	"You take a load from my mind," said Captain Blood.
224_129790_000037_000000	"But, my friend, I did not agree so much."	"But, my friend, I did not agree so much."
224_129790_000039_000000	Don Diego stroked his pointed black beard.	Don Diego stroked his pointed black beard.
224_129790_000040_000001	My head aches so damnably that I am incapable of thought.	My head aches so damnably that I am incapable of thought.
224_129790_000041_000000	Captain Blood stood up.	Captain Blood stood up.
224_129790_000041_000001	From a shelf he took a half-hour glass, reversed it so that the bulb containing the red sand was uppermost, and stood it on the table.	From a shelf he took a half hour glass, reversed it so that the bulb containing the red sand was uppermost, and stood it on the table.
224_129790_000043_000000	Captain Blood bowed, went out, and locked the door.	Captain Blood bowed, went out, and locked the door.
224_129790_000043_000002	And what time he watched, the lines in his lean brown face grew deeper.	And what time he watched, the lines in his lean brown face grew deeper.
224_129790_000043_000003	Punctually as the last grains ran out, the door reopened.	Punctually as the last grains ran out, the door reopened.
224_129790_000044_000000	The Spaniard sighed, and sat upright to face the returning Captain Blood with the answer for which he came.	The Spaniard sighed, and sat upright to face the returning Captain Blood with the answer for which he came.
224_129790_000045_000000	"I have thought of an alternative, sir captain; but it depends upon your charity.	"I have thought of an alternative, sir captain; but it depends upon your charity.
224_129790_000045_000001	It is that you put us ashore on one of the islands of this pestilent archipelago, and leave us to shift for ourselves."	It is that you put us ashore on one of the islands of this pestilent archipelago, and leave us to shift for ourselves."
224_129790_000046_000000	Captain Blood pursed his lips.	Captain Blood pursed his lips.
224_129790_000046_000001	"It has its difficulties," said he slowly.	"It has its difficulties," said he slowly.
224_129790_000047_000000	"I feared it would be so." Don Diego sighed again, and stood up.	"I feared it would be so." Don Diego sighed again, and stood up.
224_129790_000048_000000	The light-blue eyes played over him like points of steel.	The light blue eyes played over him like points of steel.
224_129790_000051_000000	"The question is offensive, sir."	"The question is offensive, sir."
224_129790_000052_000000	"Then let me put it in another way--perhaps more happily: You do not desire to live?"	"Then let me put it in another way-perhaps more happily: You do not desire to live?"
224_129790_000053_000000	"Ah, that I can answer.	"Ah, that I can answer.
224_129790_000053_000001	I do desire to live; and even more do I desire that my son may live.	I do desire to live; and even more do I desire that my son may live.
224_129790_000053_000002	But the desire shall not make a coward of me for your amusement, master mocker." It was the first sign he had shown of the least heat or resentment.	But the desire shall not make a coward of me for your amusement, master mocker." It was the first sign he had shown of the least heat or resentment.
224_129790_000054_000001	As before he perched himself on the corner of the table.	As before he perched himself on the corner of the table.
224_129790_000056_000000	"To earn it?" said Don Diego, and the watchful blue eyes did not miss the quiver that ran through him.	"To earn it?" said Don Diego, and the watchful blue eyes did not miss the quiver that ran through him.
224_129790_000056_000001	"To earn it, do you say?	"To earn it, do you say?
224_129790_000056_000002	Why, if the service you would propose is one that cannot hurt my honour...."	Why, if the service you would propose is one that cannot hurt my honour...."
224_129790_000057_000000	"Could I be guilty of that?" protested the Captain.	"Could I be guilty of that?" protested the Captain.
224_129790_000057_000001	"I realize that even a pirate has his honour." And forthwith he propounded his offer.	"I realize that even a pirate has his honour." And forthwith he propounded his offer.
224_129790_000057_000004	All day we have been sailing east before the wind with but one intent--to set as great a distance between Barbados and ourselves as possible.	All day we have been sailing east before the wind with but one intent-to set as great a distance between Barbados and ourselves as possible.
224_129790_000057_000009	And so it comes to this: We desire to make for the Dutch settlement of Curacao as straightly as possible.	And so it comes to this: We desire to make for the Dutch settlement of Curacao as straightly as possible.
224_129790_000057_000010	Will you pledge me your honour, if I release you upon parole, that you will navigate us thither?	Will you pledge me your honour, if I release you upon parole, that you will navigate us thither?
224_129790_000058_000000	Don Diego bowed his head upon his breast, and strode away in thought to the stern windows.	Don Diego bowed his head upon his breast, and strode away in thought to the stern windows.
224_129790_000058_000002	That was in one scale; in the other were the lives of sixteen men.	That was in one scale; in the other were the lives of sixteen men.
224_129790_000058_000003	Fourteen of them mattered little to him, but the remaining two were his own and his son's.	Fourteen of them mattered little to him, but the remaining two were his own and his son's.
