3003_14274_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
3003_14274_000023_000007	And I am to learn to shoot pistols and guns, and do all sorts of things.	And I am to learn to shoot pistols and guns, and do all sorts of things.
3003_14274_000024_000000	We are to remain with General and Mrs. Phillips several days, while our own house is being made habitable, and in the meantime our trunks and boxes will come, also the colored cook.	We are to remain with General and mrs Phillips several days, while our own house is being made habitable, and in the meantime our trunks and boxes will come, also the colored cook.
3003_14274_000024_000001	I have not missed my dresses very much--there has been so much else to think about.	I have not missed my dresses very much-there has been so much else to think about.
3003_14274_000024_000002	There is a little store just outside the post that is named "Post Trader's," where many useful things are kept, and we have just been there to purchase some really nice furniture that an officer left to be sold when he was retired last spring.	There is a little store just outside the post that is named "Post Trader's," where many useful things are kept, and we have just been there to purchase some really nice furniture that an officer left to be sold when he was retired last spring.
3003_14274_000024_000003	We got only enough to make ourselves comfortable during the winter, for it seems to be the general belief here that these companies of infantry will be ordered to Camp Supply, Indian Territory, in the spring.	We got only enough to make ourselves comfortable during the winter, for it seems to be the general belief here that these companies of infantry will be ordered to Camp Supply, Indian Territory, in the spring.
3003_14274_000024_000004	It must be a most dreadful place--with old log houses built in the hot sand hills, and surrounded by almost every tribe of hostile Indians.	It must be a most dreadful place-with old log houses built in the hot sand hills, and surrounded by almost every tribe of hostile Indians.
3003_14274_000026_000000	FORT LYON, COLORADO TERRITORY, October, 1871.	FORT LYON, COLORADO TERRITORY, October, eighteen seventy one.
3003_14274_000028_000000	Well, I have seen an Indian--a number of Indians--but they were not Red Jackets, neither were they noble red men.	Well, I have seen an Indian-a number of Indians-but they were not Red Jackets, neither were they noble red men.
3003_14274_000028_000001	They were simply, and only, painted, dirty, and nauseous-smelling savages!	They were simply, and only, painted, dirty, and nauseous smelling savages!
3003_14274_000029_000001	There are several small stores in the half-Mexican village, where curious little things from Mexico can often be found, if one does not mind poking about underneath the trash and dirt that is everywhere.	There are several small stores in the half Mexican village, where curious little things from Mexico can often be found, if one does not mind poking about underneath the trash and dirt that is everywhere.
3003_14274_000029_000003	As they came toward us in their imperious way, never once looking to the right or to the left, they seemed like giants, and to increase in size and numbers with every step.	As they came toward us in their imperious way, never once looking to the right or to the left, they seemed like giants, and to increase in size and numbers with every step.
3003_14274_000030_000000	Their coming was so sudden we did not have a chance to get out of their way, and it so happened that Mrs. Phillips and I were in their line of march, and when the one in the lead got to us, we were pushed aside with such impatient force that we both fell over on the counter.	Their coming was so sudden we did not have a chance to get out of their way, and it so happened that mrs Phillips and I were in their line of march, and when the one in the lead got to us, we were pushed aside with such impatient force that we both fell over on the counter.
3003_14274_000030_000001	The others passed on just the same, however, and if we had fallen to the floor, I presume they would have stepped over us, and otherwise been oblivious to our existence.	The others passed on just the same, however, and if we had fallen to the floor, I presume they would have stepped over us, and otherwise been oblivious to our existence.
3003_14274_000031_000000	As soon as they got to the counter they demanded powder, balls, and percussion caps, and as these things were given them, they were stuffed down their muzzle-loading rifles, and what could not be rammed down the barrels was put in greasy skin bags and hidden under their blankets.	As soon as they got to the counter they demanded powder, balls, and percussion caps, and as these things were given them, they were stuffed down their muzzle loading rifles, and what could not be rammed down the barrels was put in greasy skin bags and hidden under their blankets.
3003_14274_000031_000001	I saw one test the sharp edge of a long, wicked-looking knife, and then it, also, disappeared under his blanket.	I saw one test the sharp edge of a long, wicked looking knife, and then it, also, disappeared under his blanket.
3003_14274_000031_000002	All this time the other Indians were on their ponies in front, watching every move that was being made around them.	All this time the other Indians were on their ponies in front, watching every move that was being made around them.
3003_14274_000033_000000	It was an awful situation to be in, and one to terrify anybody.	It was an awful situation to be in, and one to terrify anybody.
3003_14274_000033_000001	We were actually prisoners--penned in with all those savages, who were evidently in an ugly mood, with quantities of ammunition within their reach, and only two white men to protect us.	We were actually prisoners-penned in with all those savages, who were evidently in an ugly mood, with quantities of ammunition within their reach, and only two white men to protect us.
3003_14274_000033_000002	Even the few small windows had iron bars across.	Even the few small windows had iron bars across.
3003_14274_000033_000003	They could have killed every one of us, and ridden far away before anyone in the sleepy town found it out.	They could have killed every one of us, and ridden far away before anyone in the sleepy town found it out.
3003_14274_000034_000000	Well, when those inside had been given, or had helped themselves to, whatever they wanted, out they all marched again, quickly and silently, just as they had come in.	Well, when those inside had been given, or had helped themselves to, whatever they wanted, out they all marched again, quickly and silently, just as they had come in.
3003_14274_000034_000001	They instantly mounted their ponies, and all rode down the street and out of sight at race speed, some leaning so far over on their little beasts that one could hardly see the Indian at all. The pony that was ridden into the store door was without a bridle, and was guided by a long strip of buffalo skin which was fastened around his lower jaw by a slipknot.	They instantly mounted their ponies, and all rode down the street and out of sight at race speed, some leaning so far over on their little beasts that one could hardly see the Indian at all. The pony that was ridden into the store door was without a bridle, and was guided by a long strip of buffalo skin which was fastened around his lower jaw by a slipknot.
3003_14274_000035_000001	The Utes and Cheyennes are bitter enemies.	The Utes and Cheyennes are bitter enemies.
3003_14274_000035_000002	He said that the Utes were very cross--ready for the blood of Indian or white man--therefore he had permitted them to do about as they pleased while in the store, particularly as we were there, and he saw that we were frightened.	He said that the Utes were very cross-ready for the blood of Indian or white man-therefore he had permitted them to do about as they pleased while in the store, particularly as we were there, and he saw that we were frightened.
3003_14274_000035_000003	That young man did not know that his own swarthy face was a greenish white all the time those Indians were in the store!	That young man did not know that his own swarthy face was a greenish white all the time those Indians were in the store!
3003_14274_000035_000004	Not one penny did they pay for the things they carried off.	Not one penny did they pay for the things they carried off.
3003_14274_000036_000001	There was hatred in their eyes as they approached us in that store, and there was restrained murder in the hand that pushed Mrs. Phillips and me over.	There was hatred in their eyes as they approached us in that store, and there was restrained murder in the hand that pushed mrs Phillips and me over.
3003_14274_000036_000002	They were all hideous--with streaks of red or green paint on their faces that made them look like fiends.	They were all hideous-with streaks of red or green paint on their faces that made them look like fiends.
3003_14274_000036_000004	These were their scalp locks.	These were their scalp locks.
3003_14274_000036_000006	They were not tall, but rather short and stocky.	They were not tall, but rather short and stocky.
3003_14274_000036_000007	The odor of those skins, and of the Indians themselves, in that stuffy little shop, I expect to smell the rest of my life!	The odor of those skins, and of the Indians themselves, in that stuffy little shop, I expect to smell the rest of my life!
3003_14274_000037_000000	We heard this morning that those very savages rode out on the plains in a roundabout way, so as to get in advance of the Cheyennes, and then had hidden themselves on the top of a bluff overlooking the trail they knew the Cheyennes to be following, and had fired upon them as they passed below, killing two and wounding a number of others.	We heard this morning that those very savages rode out on the plains in a roundabout way, so as to get in advance of the Cheyennes, and then had hidden themselves on the top of a bluff overlooking the trail they knew the Cheyennes to be following, and had fired upon them as they passed below, killing two and wounding a number of others.
3003_14274_000037_000001	You can see how treacherous these Indians are, and how very far from noble is their method of warfare!	You can see how treacherous these Indians are, and how very far from noble is their method of warfare!
3003_14274_000037_000002	They are so disappointing, too--so wholly unlike Cooper's red men.	They are so disappointing, too-so wholly unlike Cooper's red men.
3003_14274_000038_000000	We were glad enough to get in the ambulance and start on our way to the post, but alas! our troubles were not over.	We were glad enough to get in the ambulance and start on our way to the post, but alas! our troubles were not over.
3003_14274_000038_000001	The mules must have felt the excitement in the air, for as soon as their heads were turned toward home they proceeded to run away with us.	The mules must have felt the excitement in the air, for as soon as their heads were turned toward home they proceeded to run away with us.
3003_14274_000038_000002	We had the four little mules that are the special pets of the quartermaster, and are known throughout the garrison as the "shaved-tails," because the hair on their tails is kept closely cut down to the very tips, where it is left in a square brush of three or four inches.	We had the four little mules that are the special pets of the quartermaster, and are known throughout the garrison as the "shaved tails," because the hair on their tails is kept closely cut down to the very tips, where it is left in a square brush of three or four inches.
3003_14274_000038_000003	They are perfectly matched--coal-black all over, except their little noses, and are quite small.	They are perfectly matched-coal black all over, except their little noses, and are quite small.
3003_14274_000038_000004	They are full of mischief, and full of wisdom, too, even for government mules, and when one says, "Let's take a sprint," the others always agree--about that there is never the slightest hesitation.	They are full of mischief, and full of wisdom, too, even for government mules, and when one says, "Let's take a sprint," the others always agree-about that there is never the slightest hesitation.
3003_14274_000039_000001	But we got over the narrow bridge without meeting more than one man, who climbed over the railing and seemed less anxious to meet us than we were to meet him. As soon as we got on the road again, those mules, with preliminary kicks and shakes of their big heads, began to demonstrate how fast they could go.	But we got over the narrow bridge without meeting more than one man, who climbed over the railing and seemed less anxious to meet us than we were to meet him. As soon as we got on the road again, those mules, with preliminary kicks and shakes of their big heads, began to demonstrate how fast they could go.
3003_14274_000040_000001	When we reached the post they made a wonderful turn and took us safely to the government corral, where they stopped, just when they got ready.	When we reached the post they made a wonderful turn and took us safely to the government corral, where they stopped, just when they got ready.
3003_14274_000040_000002	One leader looked around at us and commenced to bray, but the driver was in no mood for such insolence, and jerked the poor thing almost down.	One leader looked around at us and commenced to bray, but the driver was in no mood for such insolence, and jerked the poor thing almost down.
3003_14274_000041_000000	Three tired, disheveled women walked from the corral to their homes; and very glad one of them was to get home, too!	Three tired, disheveled women walked from the corral to their homes; and very glad one of them was to get home, too!
3003_14274_000041_000001	Hereafter I shall confine myself to horseback riding--for, even if John is frisky at times, I prefer to take my chances with the one horse, to four little long-eared government mules!	Hereafter I shall confine myself to horseback riding-for, even if john is frisky at times, I prefer to take my chances with the one horse, to four little long eared government mules!
3003_14274_000041_000002	But I have learned to ride very well, and have a secure seat now.	But I have learned to ride very well, and have a secure seat now.
3003_14274_000041_000003	My teachers, Faye and Lieutenant Baldwin, have been most exacting, but that I wanted.	My teachers, Faye and Lieutenant Baldwin, have been most exacting, but that I wanted.
3003_14274_000041_000004	Of course I ride the army way, tight in the saddle, which is more difficult to learn.	Of course I ride the army way, tight in the saddle, which is more difficult to learn.
3003_14274_000041_000005	Any attempt to "rise" when on a trot is ridiculed at once here, and it does look absurd after seeing the splendid and graceful riding of the officers.	Any attempt to "rise" when on a trot is ridiculed at once here, and it does look absurd after seeing the splendid and graceful riding of the officers.
3003_14274_000043_000000	IN many of my letters I have written about learning to ride and to shoot, and have told you, also, of having followed the greyhounds after coyotes and rabbits with Faye and Lieutenant Baldwin.	IN many of my letters I have written about learning to ride and to shoot, and have told you, also, of having followed the greyhounds after coyotes and rabbits with Faye and Lieutenant Baldwin.
3003_14274_000043_000001	These hunts exact the very best of riding and a fast horse, for coyotes are very swift, and so are jack-rabbits, too, and one look at a greyhound will tell anyone that he can run--and about twice as fast as the big-eared foxhounds in the East.	These hunts exact the very best of riding and a fast horse, for coyotes are very swift, and so are jack rabbits, too, and one look at a greyhound will tell anyone that he can run-and about twice as fast as the big eared foxhounds in the East.
3003_14274_000043_000002	But I started to write you about something quite different from all this--to tell you of a really grand hunt I have been on--a splendid chase after buffalo!	But I started to write you about something quite different from all this-to tell you of a really grand hunt I have been on-a splendid chase after buffalo!
3003_14274_000044_000000	A week or so ago it was decided that a party of enlisted men should be sent out to get buffalo meat for Thanksgiving dinner for everybody--officers and enlisted men--and that Lieutenant Baldwin, who is an experienced hunter, should command the detail.	A week or so ago it was decided that a party of enlisted men should be sent out to get buffalo meat for Thanksgiving dinner for everybody-officers and enlisted men-and that Lieutenant Baldwin, who is an experienced hunter, should command the detail.
3003_14274_000044_000001	You can imagine how proud and delighted I was when asked to go with them.	You can imagine how proud and delighted I was when asked to go with them.
3003_14274_000044_000002	Lieutenant Baldwin saying that the hunt would be worth seeing, and well repay one for the fatigue of the hard ride.	Lieutenant Baldwin saying that the hunt would be worth seeing, and well repay one for the fatigue of the hard ride.
3003_14274_000045_000000	So, one morning after an early breakfast, the horses were led up from the stables, each one having on a strong halter, and a coiled picket rope with an iron pin fastened to the saddle.	So, one morning after an early breakfast, the horses were led up from the stables, each one having on a strong halter, and a coiled picket rope with an iron pin fastened to the saddle.
3003_14274_000045_000001	These were carried so that if it should be found necessary to secure the horses on the plains, they could be picketed out.	These were carried so that if it should be found necessary to secure the horses on the plains, they could be picketed out.
3003_14274_000045_000002	The bachelors' set of quarters is next to ours, so we all got ready together, and I must say that the deliberate way in which each girth was examined, bridles fixed, rifles fastened to saddles, and other things done, was most exasperating.	The bachelors' set of quarters is next to ours, so we all got ready together, and I must say that the deliberate way in which each girth was examined, bridles fixed, rifles fastened to saddles, and other things done, was most exasperating.
3003_14274_000045_000003	But we finally started, about seven o'clock, Lieutenant Baldwin and I taking the lead, and Faye and Lieutenant Alden following.	But we finally started, about seven o'clock, Lieutenant Baldwin and I taking the lead, and Faye and Lieutenant Alden following.
3003_14274_000046_000001	Two large army wagons followed us, each drawn by four mules, and carrying several enlisted men.	Two large army wagons followed us, each drawn by four mules, and carrying several enlisted men.
3003_14274_000046_000002	Mounted orderlies led extra horses that officers and men were to ride when they struck the herd.	Mounted orderlies led extra horses that officers and men were to ride when they struck the herd.
3003_14274_000047_000000	Well, we rode twelve miles without seeing one living thing, and then we came to a little adobe ranch where we dismounted to rest a while.	Well, we rode twelve miles without seeing one living thing, and then we came to a little adobe ranch where we dismounted to rest a while.
3003_14274_000047_000001	By this time our feet and hands were almost frozen, and Faye suggested that I should remain at the ranch until they returned; but that I refused to do--to give up the hunt was not to be thought of, particularly as a ranchman had just told us that a small herd of buffalo had been seen that very morning only two miles farther on.	By this time our feet and hands were almost frozen, and Faye suggested that I should remain at the ranch until they returned; but that I refused to do-to give up the hunt was not to be thought of, particularly as a ranchman had just told us that a small herd of buffalo had been seen that very morning only two miles farther on.
3003_14274_000047_000002	So, when the horses were a little rested, we started, and, after riding a mile or more, we came to a small ravine, where we found one poor buffalo, too old and emaciated to keep up with his companions, and who, therefore, had been abandoned by them, to die alone.	So, when the horses were a little rested, we started, and, after riding a mile or more, we came to a small ravine, where we found one poor buffalo, too old and emaciated to keep up with his companions, and who, therefore, had been abandoned by them, to die alone.
3003_14274_000047_000003	He had eaten the grass as far as he could reach, and had turned around and around until the ground looked as though it had been spaded.	He had eaten the grass as far as he could reach, and had turned around and around until the ground looked as though it had been spaded.
3003_14274_000048_000000	He got up on his old legs as we approached him, and tried to show fight by dropping his head and throwing his horns to the front, but a child could have pushed him over.	He got up on his old legs as we approached him, and tried to show fight by dropping his head and throwing his horns to the front, but a child could have pushed him over.
3003_14274_000048_000001	One of the officers tried to persuade me to shoot him, saying it would be a humane act, and at the same time give me the prestige of having killed a buffalo!	One of the officers tried to persuade me to shoot him, saying it would be a humane act, and at the same time give me the prestige of having killed a buffalo!
3003_14274_000048_000002	But the very thought of pointing a pistol at anything so weak and utterly helpless was revolting in the extreme.	But the very thought of pointing a pistol at anything so weak and utterly helpless was revolting in the extreme.
3003_14274_000048_000004	He was very tall, had a fine head, with an uncommonly long beard, and showed every indication of having been a grand specimen of his kind.	He was very tall, had a fine head, with an uncommonly long beard, and showed every indication of having been a grand specimen of his kind.
3003_14274_000049_000000	We left him undisturbed, but only a few minutes later we heard the sharp report of a rifle, and at once suspected, what we learned to be a fact the next day, that one of the men with the wagons had killed him. Possibly this was the most merciful thing to do, but to me that shot meant murder.	We left him undisturbed, but only a few minutes later we heard the sharp report of a rifle, and at once suspected, what we learned to be a fact the next day, that one of the men with the wagons had killed him. Possibly this was the most merciful thing to do, but to me that shot meant murder.
3003_14274_000049_000001	The pitiful bleary eyes of the helpless old beast have haunted me ever since we saw him.	The pitiful bleary eyes of the helpless old beast have haunted me ever since we saw him.
3003_14274_000050_000000	We must have gone at least two miles farther before we saw the herd we were looking for, making fifteen or sixteen miles altogether that we had ridden.	We must have gone at least two miles farther before we saw the herd we were looking for, making fifteen or sixteen miles altogether that we had ridden.
3003_14274_000050_000002	We immediately fell back a short distance and waited for the wagons, and when they came up there was great activity, I assure you.	We immediately fell back a short distance and waited for the wagons, and when they came up there was great activity, I assure you.
3003_14274_000050_000004	Faye would not join in the hunt, but remained with me the entire day.	Faye would not join in the hunt, but remained with me the entire day.
3003_14274_000050_000005	He and I rode over the hill, stopping when we got where we could command a good view of the valley and watch the run.	He and I rode over the hill, stopping when we got where we could command a good view of the valley and watch the run.
3003_14274_000051_000000	It seemed only a few minutes when we saw the buffalo start, going from some of the men, of course, who at once began to chase them.	It seemed only a few minutes when we saw the buffalo start, going from some of the men, of course, who at once began to chase them.
3003_14274_000051_000001	This kept them running straight ahead, and, fortunately, in Lieutenant Baldwin's direction, who apparently was holding his horse in, waiting for them to come.	This kept them running straight ahead, and, fortunately, in Lieutenant Baldwin's direction, who apparently was holding his horse in, waiting for them to come.
3003_14274_000051_000002	We saw through our field glasses that as soon as they got near enough he made a quick dash for the herd, and cutting one out, had turned it so it was headed straight for us.	We saw through our field glasses that as soon as they got near enough he made a quick dash for the herd, and cutting one out, had turned it so it was headed straight for us.
3003_14274_000052_000002	But he would not go back one step, assuring me that my horse was a trained hunter and accustomed to such sights.	But he would not go back one step, assuring me that my horse was a trained hunter and accustomed to such sights.
3003_14274_000053_000000	Lieutenant Baldwin gained steadily on the buffalo, and in a wonderfully short time both passed directly in front of us--within a hundred feet, Faye said.	Lieutenant Baldwin gained steadily on the buffalo, and in a wonderfully short time both passed directly in front of us-within a hundred feet, Faye said.
