1851_148312_000003_000000	There lived in Padua a gentleman named Baptista, who had two fair daughters.	There lived in Padua a gentleman named Baptista, who had two fair daughters.
1851_148312_000020_000001	His servant was dressed in the same shabby way, and the horses they rode were the sport of everyone they passed.	His servant was dressed in the same shabby way, and the horses they rode were the sport of everyone they passed.
1851_148312_000022_000000	And his manner was so violent, and he behaved all through his wedding in so mad and dreadful a manner, that Katharine trembled and went with him. He mounted her on a stumbling, lean, old horse, and they journeyed by rough muddy ways to Petruchio's house, he scolding and snarling all the way.	And his manner was so violent, and he behaved all through his wedding in so mad and dreadful a manner, that Katharine trembled and went with him. He mounted her on a stumbling, lean, old horse, and they journeyed by rough muddy ways to Petruchio's house, he scolding and snarling all the way.
1851_148312_000024_000000	So he welcomed her kindly to his house, but when supper was served he found fault with everything--the meat was burnt, he said, and ill-served, and he loved her far too much to let her eat anything but the best.	So he welcomed her kindly to his house, but when supper was served he found fault with everything-the meat was burnt, he said, and ill served, and he loved her far too much to let her eat anything but the best.
1851_148312_000024_000001	At last Katharine, tired out with her journey, went supperless to bed.	At last Katharine, tired out with her journey, went supperless to bed.
1851_148312_000024_000002	Then her husband, still telling her how he loved her, and how anxious he was that she should sleep well, pulled her bed to pieces, throwing the pillows and bedclothes on the floor, so that she could not go to bed at all, and still kept growling and scolding at the servants so that Kate might see how unbeautiful a thing ill-temper was.	Then her husband, still telling her how he loved her, and how anxious he was that she should sleep well, pulled her bed to pieces, throwing the pillows and bedclothes on the floor, so that she could not go to bed at all, and still kept growling and scolding at the servants so that Kate might see how unbeautiful a thing ill temper was.
1851_148312_000025_000000	The next day, too, Katharine's food was all found fault with, and caught away before she could touch a mouthful, and she was sick and giddy for want of sleep.	The next day, too, Katharine's food was all found fault with, and caught away before she could touch a mouthful, and she was sick and giddy for want of sleep.
1851_148312_000026_000000	"I pray thee go and get me some repast.	"I pray thee go and get me some repast.
1851_148312_000026_000001	I care not what."	I care not what."
1851_148312_000027_000000	"What say you to a neat's foot?" said the servant.	"What say you to a neat's foot?" said the servant.
1851_148312_000028_000001	Would she like tripe?	Would she like tripe?
1851_148312_000030_000000	"I don't think that is good for hasty-tempered people," said the servant.	"I don't think that is good for hasty tempered people," said the servant.
1851_148312_000030_000001	"What do you say to a dish of beef and mustard?"	"What do you say to a dish of beef and mustard?"
1851_148312_000031_000000	"I love it," said Kate.	"I love it," said Kate.
1851_148312_000032_000000	"But mustard is too hot."	"But mustard is too hot."
1851_148312_000033_000000	"Why, then, the beef, and let the mustard go," cried Katharine, who was getting hungrier and hungrier.	"Why, then, the beef, and let the mustard go," cried Katharine, who was getting hungrier and hungrier.
1851_148312_000034_000000	"No," said the servant, "you must have the mustard, or you get no beef from me."	"No," said the servant, "you must have the mustard, or you get no beef from me."
1851_148312_000035_000000	"Then," cried Katharine, losing patience, "let it be both, or one, or anything thou wilt."	"Then," cried Katharine, losing patience, "let it be both, or one, or anything thou wilt."
1851_148312_000037_000000	Then Katharine saw he was making fun of her, and boxed his ears.	Then Katharine saw he was making fun of her, and boxed his ears.
1851_148312_000038_000000	Just then Petruchio brought her some food--but she had scarcely begun to satisfy her hunger, before he called for the tailor to bring her new clothes, and the table was cleared, leaving her still hungry.	Just then Petruchio brought her some food-but she had scarcely begun to satisfy her hunger, before he called for the tailor to bring her new clothes, and the table was cleared, leaving her still hungry.
1851_148312_000038_000001	Katharine was pleased with the pretty new dress and cap that the tailor had made for her, but Petruchio found fault with everything, flung the cap and gown on the floor vowing his dear wife should not wear any such foolish things.	Katharine was pleased with the pretty new dress and cap that the tailor had made for her, but Petruchio found fault with everything, flung the cap and gown on the floor vowing his dear wife should not wear any such foolish things.
1851_148312_000039_000000	"I will have them," cried Katharine.	"I will have them," cried Katharine.
1851_148312_000039_000001	"All gentlewomen wear such caps as these--"	"All gentlewomen wear such caps as these-"
1851_148312_000040_000000	"When you are gentle you shall have one too," he answered, "and not till then." When he had driven away the tailor with angry words--but privately asking his friend to see him paid--Petruchio said--	"When you are gentle you shall have one too," he answered, "and not till then." When he had driven away the tailor with angry words-but privately asking his friend to see him paid-Petruchio said-
1851_148312_000041_000000	"Come, Kate, let's go to your father's, shabby as we are, for as the sun breaks through the darkest clouds, so honor peereth in the meanest habit.	"Come, Kate, let's go to your father's, shabby as we are, for as the sun breaks through the darkest clouds, so honor peereth in the meanest habit.
1851_148312_000041_000001	It is about seven o'clock now.	It is about seven o'clock now.
1851_148312_000042_000000	"It's nearly two," said Kate, but civilly enough, for she had grown to see that she could not bully her husband, as she had done her father and her sister; "it's nearly two, and it will be supper-time before we get there."	"It's nearly two," said Kate, but civilly enough, for she had grown to see that she could not bully her husband, as she had done her father and her sister; "it's nearly two, and it will be supper time before we get there."
1851_148312_000043_000000	"It shall be seven," said Petruchio, obstinately, "before I start.	"It shall be seven," said Petruchio, obstinately, "before I start.
1851_148312_000043_000001	Why, whatever I say or do, or think, you do nothing but contradict.	Why, whatever I say or do, or think, you do nothing but contradict.
1851_148312_000044_000000	At last they started for her father's house.	At last they started for her father's house.
1851_148312_000045_000000	"Look at the moon," said he.	"Look at the moon," said he.
1851_148312_000046_000000	"It's the sun," said Katharine, and indeed it was.	"It's the sun," said Katharine, and indeed it was.
1851_148312_000047_000000	"I say it is the moon.	"I say it is the moon.
1851_148312_000047_000001	Contradicting again!	Contradicting again!
1851_148312_000047_000002	It shall be sun or moon, or whatever I choose, or I won't take you to your father's."	It shall be sun or moon, or whatever I choose, or I won't take you to your father's."
1851_148312_000048_000000	Then Katharine gave in, once and for all.	Then Katharine gave in, once and for all.
1851_148312_000048_000001	"What you will have it named," she said, "it is, and so it shall be so for Katharine." And so it was, for from that moment Katharine felt that she had met her master, and never again showed her naughty tempers to him, or anyone else.	"What you will have it named," she said, "it is, and so it shall be so for Katharine." And so it was, for from that moment Katharine felt that she had met her master, and never again showed her naughty tempers to him, or anyone else.
1851_148312_000049_000000	So they journeyed on to Baptista's house, and arriving there, they found all folks keeping Bianca's wedding feast, and that of another newly married couple, Hortensio and his wife.	So they journeyed on to Baptista's house, and arriving there, they found all folks keeping Bianca's wedding feast, and that of another newly married couple, Hortensio and his wife.
1851_148312_000049_000002	But Katharine answered with such spirit and such moderation, that she turned the laugh against the new bride.	But Katharine answered with such spirit and such moderation, that she turned the laugh against the new bride.
1851_148312_000051_000000	"You are wrong," said Petruchio, "let me prove it to you.	"You are wrong," said Petruchio, "let me prove it to you.
1851_148312_000053_000000	They proposed a wager of twenty crowns.	They proposed a wager of twenty crowns.
1851_148312_000056_000000	"Content," cried the others.	"Content," cried the others.
1851_148312_000057_000000	Then Lucentio sent a message to the fair Bianca bidding her to come to him.	Then Lucentio sent a message to the fair Bianca bidding her to come to him.
1851_148312_000057_000001	And Baptista said he was certain his daughter would come.	And Baptista said he was certain his daughter would come.
1851_148312_000057_000002	But the servant coming back, said--	But the servant coming back, said-
1851_148312_000058_000000	"Sir, my mistress is busy, and she cannot come."'	"Sir, my mistress is busy, and she cannot come."'
1851_148312_000060_000000	"You may think yourself fortunate if your wife does not send you a worse."	"You may think yourself fortunate if your wife does not send you a worse."
1851_148312_000061_000000	"I hope, better," Petruchio answered.	"I hope, better," Petruchio answered.
1851_148312_000061_000001	Then Hortensio said--	Then Hortensio said-
1851_148312_000062_000000	"Go and entreat my wife to come to me at once."	"Go and entreat my wife to come to me at once."
1851_148312_000063_000000	"Oh--if you entreat her," said Petruchio.	"Oh-if you entreat her," said Petruchio.
1851_148312_000066_000000	"She says you are playing some jest, she will not come."	"She says you are playing some jest, she will not come."
1851_148312_000067_000000	"Better and better," cried Petruchio; "now go to your mistress and say I command her to come to me."	"Better and better," cried Petruchio; "now go to your mistress and say I command her to come to me."
1851_148312_000068_000000	They all began to laugh, saying they knew what her answer would be, and that she would not come.	They all began to laugh, saying they knew what her answer would be, and that she would not come.
1851_148312_000069_000000	Then suddenly Baptista cried--	Then suddenly Baptista cried-
1851_148312_000071_000000	"What do you wish, sir?" she asked her husband.	"What do you wish, sir?" she asked her husband.
1851_148312_000072_000000	"Where are your sister and Hortensio's wife?"	"Where are your sister and Hortensio's wife?"
1851_148312_000074_000000	"Fetch them here."	"Fetch them here."
1851_148312_000076_000000	"Here is a wonder!"	"Here is a wonder!"
1851_148312_000077_000000	"I wonder what it means," said Hortensio.	"I wonder what it means," said Hortensio.
1851_148312_000078_000000	"It means peace," said Petruchio, "and love, and quiet life."	"It means peace," said Petruchio, "and love, and quiet life."
1851_148312_000079_000000	"Well," said Baptista, "you have won the wager, and I will add another twenty thousand crowns to her dowry--another dowry for another daughter--for she is as changed as if she were someone else."	"Well," said Baptista, "you have won the wager, and I will add another twenty thousand crowns to her dowry-another dowry for another daughter-for she is as changed as if she were someone else."
1851_148312_000080_000000	So Petruchio won his wager, and had in Katharine always a loving wife and true, and now he had broken her proud and angry spirit he loved her well, and there was nothing ever but love between those two.	So Petruchio won his wager, and had in Katharine always a loving wife and true, and now he had broken her proud and angry spirit he loved her well, and there was nothing ever but love between those two.
