1851_148312_000000_000000	They would have taken Othello back to Venice to try him there, but he escaped them on his sword.	They would have taken Othello back to Venice to try him there, but he escaped them on his sword.	false	0	5.79	20.432932
1851_148312_000006_000000	Petruchio began by asking Baptista's permission to pay court to his gentle daughter Katharine--and Baptista was obliged to own that she was anything but gentle.	Petruchio began by asking Baptista's permission to pay court to his gentle daughter Katharine-and Baptista was obliged to own that she was anything but gentle.	false	85.82	96.4	25.85224
1851_148312_000006_000001	And just then her music master rushed in, complaining that the naughty girl had broken her lute over his head, because he told her she was not playing correctly.	And just then her music master rushed in, complaining that the naughty girl had broken her lute over his head, because he told her she was not playing correctly.	true	96.95	107.08	23.071125
1851_148312_000007_000000	"Never mind," said Petruchio, "I love her better than ever, and long to have some chat with her."	"Never mind," said Petruchio, "I love her better than ever, and long to have some chat with her."	true	107.51	113.29	23.549932
1851_148312_000008_000000	When Katharine came, he said, "Good-morrow, Kate--for that, I hear, is your name."	When Katharine came, he said, "Good morrow, Kate-for that, I hear, is your name."	false	114.17	119.23	24.342136
1851_148312_000009_000000	"You've only heard half," said Katharine, rudely.	"You've only heard half," said Katharine, rudely.	true	119.63	122.61	22.428734
1851_148312_000010_000000	"Oh, no," said Petruchio, "they call you plain Kate, and bonny Kate, and sometimes Kate the shrew, and so, hearing your mildness praised in every town, and your beauty too, I ask you for my wife."	"Oh, no," said Petruchio, "they call you plain Kate, and bonny Kate, and sometimes Kate the shrew, and so, hearing your mildness praised in every town, and your beauty too, I ask you for my wife."	false	122.61	134.86	23.149204
1851_148312_000011_000000	"Your wife!" cried Kate.	"Your wife!" cried Kate.	true	135.17	137.325	24.679049
1851_148312_000011_000001	"Never!" She said some extremely disagreeable things to him, and, I am sorry to say, ended by boxing his ears.	"Never!" She said some extremely disagreeable things to him, and, I am sorry to say, ended by boxing his ears.	true	137.325	145.36	22.61699
1851_148312_000012_000000	"If you do that again, I'll cuff you," he said quietly; and still protested, with many compliments, that he would marry none but her.	"If you do that again, I'll cuff you," he said quietly; and still protested, with many compliments, that he would marry none but her.	true	146.27	153.91	26.963041
1851_148312_000013_000000	When Baptista came back, he asked at once--	When Baptista came back, he asked at once-	true	154.79	157.75	25.537092
1851_148312_000014_000000	"How speed you with my daughter?"	"How speed you with my daughter?"	true	157.76	159.58	22.46953
1851_148312_000015_000000	"How should I speed but well," replied Petruchio--"how, but well?"	"How should I speed but well," replied Petruchio-"how, but well?"	true	160.07	164.38	24.088413
1851_148312_000016_000000	"How now, daughter Katharine?" the father went on.	"How now, daughter Katharine?" the father went on.	true	164.78	167.71	23.749235
1851_148312_000017_000000	"I don't think," said Katharine, angrily, "you are acting a father's part in wishing me to marry this mad-cap ruffian."	"I don't think," said Katharine, angrily, "you are acting a father's part in wishing me to marry this mad cap ruffian."	true	167.99	175.69	26.459497
1851_148312_000018_000000	"Ah!" said Petruchio, "you and all the world would talk amiss of her. You should see how kind she is to me when we are alone.	"Ah!" said Petruchio, "you and all the world would talk amiss of her. You should see how kind she is to me when we are alone.	true	176.6	184.24	20.941025
1851_148312_000018_000001	In short, I will go off to Venice to buy fine things for our wedding--for--kiss me, Kate! we will be married on Sunday."	In short, I will go off to Venice to buy fine things for our wedding-for-kiss me, Kate! we will be married on Sunday."	true	184.25	191.26	24.964891
1851_148312_000019_000000	With that, Katharine flounced out of the room by one door in a violent temper, and he, laughing, went out by the other.	With that, Katharine flounced out of the room by one door in a violent temper, and he, laughing, went out by the other.	true	191.9	199.12	23.478472
1851_148312_000019_000001	But whether she fell in love with Petruchio, or whether she was only glad to meet a man who was not afraid of her, or whether she was flattered that, in spite of her rough words and spiteful usage, he still desired her for his wife--she did indeed marry him on Sunday, as he had sworn she should.	But whether she fell in love with Petruchio, or whether she was only glad to meet a man who was not afraid of her, or whether she was flattered that, in spite of her rough words and spiteful usage, he still desired her for his wife-she did indeed marry him on Sunday, as he had sworn she should.	true	199.67	216.19	21
1851_148312_000020_000000	To vex and humble Katharine's naughty, proud spirit, he was late at the wedding, and when he came, came wearing such shabby clothes that she was ashamed to be seen with him.	To vex and humble Katharine's naughty, proud spirit, he was late at the wedding, and when he came, came wearing such shabby clothes that she was ashamed to be seen with him.	true	217.04	227.02	23.861217
1851_148312_000020_000001	His servant was dressed in the same shabby way, and the horses they rode were the sport of everyone they passed.	His servant was dressed in the same shabby way, and the horses they rode were the sport of everyone they passed.	true	227.12	232.99	20
1851_148312_000021_000000	And, after the marriage, when should have been the wedding breakfast, Petruchio carried his wife away, not allowing her to eat or drink--saying that she was his now, and he could do as he liked with her.	And, after the marriage, when should have been the wedding breakfast, Petruchio carried his wife away, not allowing her to eat or drink-saying that she was his now, and he could do as he liked with her.	false	234.32	245.38	25.31776
1851_148312_000022_000000	And his manner was so violent, and he behaved all through his wedding in so mad and dreadful a manner, that Katharine trembled and went with him. He mounted her on a stumbling, lean, old horse, and they journeyed by rough muddy ways to Petruchio's house, he scolding and snarling all the way.	And his manner was so violent, and he behaved all through his wedding in so mad and dreadful a manner, that Katharine trembled and went with him. He mounted her on a stumbling, lean, old horse, and they journeyed by rough muddy ways to Petruchio's house, he scolding and snarling all the way.	true	245.9	264.43	21.749449
1851_148312_000023_000000	She was terribly tired when she reached her new home, but Petruchio was determined that she should neither eat nor sleep that night, for he had made up his mind to teach his bad-tempered wife a lesson she would never forget.	She was terribly tired when she reached her new home, but Petruchio was determined that she should neither eat nor sleep that night, for he had made up his mind to teach his bad tempered wife a lesson she would never forget.	false	265.25	277.36	24
1851_148312_000024_000000	So he welcomed her kindly to his house, but when supper was served he found fault with everything--the meat was burnt, he said, and ill-served, and he loved her far too much to let her eat anything but the best.	So he welcomed her kindly to his house, but when supper was served he found fault with everything-the meat was burnt, he said, and ill served, and he loved her far too much to let her eat anything but the best.	true	278.45	290.35	24.215307
1851_148312_000024_000001	At last Katharine, tired out with her journey, went supperless to bed.	At last Katharine, tired out with her journey, went supperless to bed.	true	290.81	295.21	22.765072
1851_148312_000024_000002	Then her husband, still telling her how he loved her, and how anxious he was that she should sleep well, pulled her bed to pieces, throwing the pillows and bedclothes on the floor, so that she could not go to bed at all, and still kept growling and scolding at the servants so that Kate might see how unbeautiful a thing ill-temper was.	Then her husband, still telling her how he loved her, and how anxious he was that she should sleep well, pulled her bed to pieces, throwing the pillows and bedclothes on the floor, so that she could not go to bed at all, and still kept growling and scolding at the servants so that Kate might see how unbeautiful a thing ill temper was.	true	295.58	315.28	23.792707
1851_148312_000025_000000	The next day, too, Katharine's food was all found fault with, and caught away before she could touch a mouthful, and she was sick and giddy for want of sleep.	The next day, too, Katharine's food was all found fault with, and caught away before she could touch a mouthful, and she was sick and giddy for want of sleep.	true	316.07	325.45	24.100378
1851_148312_000025_000001	Then she said to one of the servants--	Then she said to one of the servants-	true	325.79	327.585	19.29162
1851_148312_000026_000000	"I pray thee go and get me some repast.	"I pray thee go and get me some repast.	true	327.585	330.15	24
1851_148312_000026_000001	I care not what."	I care not what."	true	330.15	331.51	28
1851_148312_000027_000000	"What say you to a neat's foot?" said the servant.	"What say you to a neat's foot?" said the servant.	true	332.3	335.59	40.260826
1851_148312_000028_000000	Katharine said "Yes," eagerly; but the servant, who was in his master's secret, said he feared it was not good for hasty-tempered people.	Katharine said "Yes," eagerly; but the servant, who was in his master's secret, said he feared it was not good for hasty tempered people.	false	335.75	344.02	23.364552
1851_148312_000028_000001	Would she like tripe?	Would she like tripe?	true	344.18	345.73	25.588291
1851_148312_000029_000000	"Bring it me," said Katharine.	"Bring it me," said Katharine.	false	345.92	348.21	32.559147
1851_148312_000030_000000	"I don't think that is good for hasty-tempered people," said the servant.	"I don't think that is good for hasty tempered people," said the servant.	true	348.21	352.59	25.377432
1851_148312_000030_000001	"What do you say to a dish of beef and mustard?"	"What do you say to a dish of beef and mustard?"	true	352.59	355.12	25.196083
1851_148312_000031_000000	"I love it," said Kate.	"I love it," said Kate.	true	355.19	356.98	28.254503
1851_148312_000032_000000	"But mustard is too hot."	"But mustard is too hot."	true	357.08	358.9	23.49469
1851_148312_000033_000000	"Why, then, the beef, and let the mustard go," cried Katharine, who was getting hungrier and hungrier.	"Why, then, the beef, and let the mustard go," cried Katharine, who was getting hungrier and hungrier.	true	359.18	365.5	26.038286
1851_148312_000034_000000	"No," said the servant, "you must have the mustard, or you get no beef from me."	"No," said the servant, "you must have the mustard, or you get no beef from me."	true	366.65	370.39	22.875898
1851_148312_000035_000000	"Then," cried Katharine, losing patience, "let it be both, or one, or anything thou wilt."	"Then," cried Katharine, losing patience, "let it be both, or one, or anything thou wilt."	true	370.76	376.69	23.04414
1851_148312_000036_000000	"Why, then," said the servant, "the mustard without the beef!"	"Why, then," said the servant, "the mustard without the beef!"	false	376.97	381.52	26.872286
1851_148312_000037_000000	Then Katharine saw he was making fun of her, and boxed his ears.	Then Katharine saw he was making fun of her, and boxed his ears.	true	381.86	386.23	21.776896
1851_148312_000038_000000	Just then Petruchio brought her some food--but she had scarcely begun to satisfy her hunger, before he called for the tailor to bring her new clothes, and the table was cleared, leaving her still hungry.	Just then Petruchio brought her some food-but she had scarcely begun to satisfy her hunger, before he called for the tailor to bring her new clothes, and the table was cleared, leaving her still hungry.	true	386.9	398.98	23.48171
1851_148312_000038_000001	Katharine was pleased with the pretty new dress and cap that the tailor had made for her, but Petruchio found fault with everything, flung the cap and gown on the floor vowing his dear wife should not wear any such foolish things.	Katharine was pleased with the pretty new dress and cap that the tailor had made for her, but Petruchio found fault with everything, flung the cap and gown on the floor vowing his dear wife should not wear any such foolish things.	true	399.17	412.15	23.755241
1851_148312_000039_000000	"I will have them," cried Katharine.	"I will have them," cried Katharine.	true	412.46	415.03	28.233143
1851_148312_000039_000001	"All gentlewomen wear such caps as these--"	"All gentlewomen wear such caps as these-"	true	415.16	418.03	24.515081
1851_148312_000040_000000	"When you are gentle you shall have one too," he answered, "and not till then." When he had driven away the tailor with angry words--but privately asking his friend to see him paid--Petruchio said--	"When you are gentle you shall have one too," he answered, "and not till then." When he had driven away the tailor with angry words-but privately asking his friend to see him paid-Petruchio said-	true	418.52	430.69	24.92671
1851_148312_000041_000000	"Come, Kate, let's go to your father's, shabby as we are, for as the sun breaks through the darkest clouds, so honor peereth in the meanest habit.	"Come, Kate, let's go to your father's, shabby as we are, for as the sun breaks through the darkest clouds, so honor peereth in the meanest habit.	true	430.79	439.27	24.15594
1851_148312_000041_000001	It is about seven o'clock now.	It is about seven o'clock now.	true	439.37	441.06	25
1851_148312_000041_000002	We shall easily get there by dinner-time."	We shall easily get there by dinner time."	true	441.06	443.32	19
1851_148312_000042_000000	"It's nearly two," said Kate, but civilly enough, for she had grown to see that she could not bully her husband, as she had done her father and her sister; "it's nearly two, and it will be supper-time before we get there."	"It's nearly two," said Kate, but civilly enough, for she had grown to see that she could not bully her husband, as she had done her father and her sister; "it's nearly two, and it will be supper time before we get there."	true	444.62	456.61	26.235092
1851_148312_000043_000000	"It shall be seven," said Petruchio, obstinately, "before I start.	"It shall be seven," said Petruchio, obstinately, "before I start.	true	456.98	461.25	23.488678
1851_148312_000043_000001	Why, whatever I say or do, or think, you do nothing but contradict.	Why, whatever I say or do, or think, you do nothing but contradict.	true	461.25	464.91	26.223843
1851_148312_000043_000002	I won't go to-day, and before I do go, it shall be what o'clock I say it is."	I won't go to day, and before I do go, it shall be what o'clock I say it is."	false	464.91	468.73	23
1851_148312_000044_000000	At last they started for her father's house.	At last they started for her father's house.	true	469.46	472.36	21.028503
1851_148312_000045_000000	"Look at the moon," said he.	"Look at the moon," said he.	true	472.37	474.25	24.395428
1851_148312_000046_000000	"It's the sun," said Katharine, and indeed it was.	"It's the sun," said Katharine, and indeed it was.	true	474.38	477.88	20.705582
1851_148312_000047_000000	"I say it is the moon.	"I say it is the moon.	true	478.01	479.685	22.091295
1851_148312_000047_000001	Contradicting again!	Contradicting again!	true	479.685	481.08	23.860153
1851_148312_000047_000002	It shall be sun or moon, or whatever I choose, or I won't take you to your father's."	It shall be sun or moon, or whatever I choose, or I won't take you to your father's."	true	481.08	485.32	21
1851_148312_000048_000000	Then Katharine gave in, once and for all.	Then Katharine gave in, once and for all.	true	486.08	488.92	21.023127
1851_148312_000048_000001	"What you will have it named," she said, "it is, and so it shall be so for Katharine." And so it was, for from that moment Katharine felt that she had met her master, and never again showed her naughty tempers to him, or anyone else.	"What you will have it named," she said, "it is, and so it shall be so for Katharine." And so it was, for from that moment Katharine felt that she had met her master, and never again showed her naughty tempers to him, or anyone else.	true	489.11	504.76	23.347996
1851_148312_000049_000000	So they journeyed on to Baptista's house, and arriving there, they found all folks keeping Bianca's wedding feast, and that of another newly married couple, Hortensio and his wife.	So they journeyed on to Baptista's house, and arriving there, they found all folks keeping Bianca's wedding feast, and that of another newly married couple, Hortensio and his wife.	true	504.95	515.41	24.950249
1851_148312_000049_000001	They were made welcome, and sat down to the feast, and all was merry, save that Hortensio's wife, seeing Katharine subdued to her husband, thought she could safely say many disagreeable things, that in the old days, when Katharine was free and froward, she would not have dared to say.	They were made welcome, and sat down to the feast, and all was merry, save that Hortensio's wife, seeing Katharine subdued to her husband, thought she could safely say many disagreeable things, that in the old days, when Katharine was free and froward, she would not have dared to say.	false	515.45	530.47	23.623983
1851_148312_000049_000002	But Katharine answered with such spirit and such moderation, that she turned the laugh against the new bride.	But Katharine answered with such spirit and such moderation, that she turned the laugh against the new bride.	true	531.08	537.64	23.406437
1851_148312_000050_000000	After dinner, when the ladies had retired, Baptista joined in a laugh against Petruchio, saying "Now in good sadness, son Petruchio, I fear you have got the veriest shrew of all."	After dinner, when the ladies had retired, Baptista joined in a laugh against Petruchio, saying "Now in good sadness, son Petruchio, I fear you have got the veriest shrew of all."	false	538.16	549.73	21.483528
1851_148312_000051_000000	"You are wrong," said Petruchio, "let me prove it to you.	"You are wrong," said Petruchio, "let me prove it to you.	true	550.01	553.42	25.191746
1851_148312_000051_000001	Each of us shall send a message to his wife, desiring her to come to him, and the one whose wife comes most readily shall win a wager which we will agree on."	Each of us shall send a message to his wife, desiring her to come to him, and the one whose wife comes most readily shall win a wager which we will agree on."	false	553.46	562.33	20
1851_148312_000052_000000	The others said yes readily enough, for each thought his own wife the most dutiful, and each thought he was quite sure to win the wager.	The others said yes readily enough, for each thought his own wife the most dutiful, and each thought he was quite sure to win the wager.	false	563.45	571.06	22.894829
1851_148312_000053_000000	They proposed a wager of twenty crowns.	They proposed a wager of twenty crowns.	true	571.34	573.88	26.59369
1851_148312_000054_000000	"Twenty crowns," said Petruchio, "I'll venture so much on my hawk or hound, but twenty times as much upon my wife."	"Twenty crowns," said Petruchio, "I'll venture so much on my hawk or hound, but twenty times as much upon my wife."	false	573.92	581.38	23.97142
1851_148312_000055_000000	"A hundred then," cried Lucentio, Bianca's husband.	"A hundred then," cried Lucentio, Bianca's husband.	true	584.3	588.25	19.840714
1851_148312_000056_000000	"Content," cried the others.	"Content," cried the others.	true	588.38	590.23	27.655468
1851_148312_000057_000000	Then Lucentio sent a message to the fair Bianca bidding her to come to him.	Then Lucentio sent a message to the fair Bianca bidding her to come to him.	true	590.69	595.63	20
1851_148312_000057_000001	And Baptista said he was certain his daughter would come.	And Baptista said he was certain his daughter would come.	true	595.82	599.08	22.290556
1851_148312_000057_000002	But the servant coming back, said--	But the servant coming back, said-	true	599.36	601.32	26.694366
1851_148312_000058_000000	"Sir, my mistress is busy, and she cannot come."'	"Sir, my mistress is busy, and she cannot come."'	true	601.32	604.33	21.946018
1851_148312_000059_000000	"There's an answer for you," said Petruchio.	"There's an answer for you," said Petruchio.	true	604.64	607.42	19.911995
1851_148312_000060_000000	"You may think yourself fortunate if your wife does not send you a worse."	"You may think yourself fortunate if your wife does not send you a worse."	true	607.73	611.47	26.524033
1851_148312_000061_000000	"I hope, better," Petruchio answered.	"I hope, better," Petruchio answered.	true	611.75	614.47	34.105453
1851_148312_000061_000001	Then Hortensio said--	Then Hortensio said-	true	614.6	616.33	23.903328
1851_148312_000062_000000	"Go and entreat my wife to come to me at once."	"Go and entreat my wife to come to me at once."	true	616.4	619.57	20.703064
1851_148312_000063_000000	"Oh--if you entreat her," said Petruchio.	"Oh-if you entreat her," said Petruchio.	true	619.73	623.41	21.61297
1851_148312_000064_000000	"I am afraid," answered Hortensio, sharply, "do what you can, yours will not be entreated."	"I am afraid," answered Hortensio, sharply, "do what you can, yours will not be entreated."	false	623.78	629.53	23.429012
1851_148312_000065_000000	But now the servant came in, and said--	But now the servant came in, and said-	true	629.9	632.47	18.55482
1851_148312_000066_000000	"She says you are playing some jest, she will not come."	"She says you are playing some jest, she will not come."	true	632.48	635.98	20.994379
1851_148312_000067_000000	"Better and better," cried Petruchio; "now go to your mistress and say I command her to come to me."	"Better and better," cried Petruchio; "now go to your mistress and say I command her to come to me."	true	636.95	643.06	25.732088
1851_148312_000068_000000	They all began to laugh, saying they knew what her answer would be, and that she would not come.	They all began to laugh, saying they knew what her answer would be, and that she would not come.	true	643.52	648.01	21
1851_148312_000069_000000	Then suddenly Baptista cried--	Then suddenly Baptista cried-	true	648.17	650.44	21.459953
1851_148312_000070_000000	"Here comes Katharine!" And sure enough--there she was.	"Here comes Katharine!" And sure enough-there she was.	false	650.99	654.52	25.049652
1851_148312_000071_000000	"What do you wish, sir?" she asked her husband.	"What do you wish, sir?" she asked her husband.	true	654.86	657.79	24.205986
1851_148312_000072_000000	"Where are your sister and Hortensio's wife?"	"Where are your sister and Hortensio's wife?"	true	658.01	660.76	21.216358
1851_148312_000073_000000	"Talking by the parlor fire."	"Talking by the parlor fire."	false	661.22	663.19	26.283314
1851_148312_000074_000000	"Fetch them here."	"Fetch them here."	true	663.29	664.45	20.6463
1851_148312_000075_000000	When she was gone to fetch them, Lucentio said--	When she was gone to fetch them, Lucentio said-	true	665.15	668.02	19.96218
1851_148312_000076_000000	"Here is a wonder!"	"Here is a wonder!"	true	668.09	669.55	20.267399
1851_148312_000077_000000	"I wonder what it means," said Hortensio.	"I wonder what it means," said Hortensio.	true	669.8	672.55	23.796803
1851_148312_000078_000000	"It means peace," said Petruchio, "and love, and quiet life."	"It means peace," said Petruchio, "and love, and quiet life."	true	672.83	677.35	22.954157
1851_148312_000079_000000	"Well," said Baptista, "you have won the wager, and I will add another twenty thousand crowns to her dowry--another dowry for another daughter--for she is as changed as if she were someone else."	"Well," said Baptista, "you have won the wager, and I will add another twenty thousand crowns to her dowry-another dowry for another daughter-for she is as changed as if she were someone else."	true	677.66	690.01	20.975008
1851_148312_000080_000000	So Petruchio won his wager, and had in Katharine always a loving wife and true, and now he had broken her proud and angry spirit he loved her well, and there was nothing ever but love between those two.	So Petruchio won his wager, and had in Katharine always a loving wife and true, and now he had broken her proud and angry spirit he loved her well, and there was nothing ever but love between those two.	true	690.8	703.69	24
1851_148312_000080_000001	And so they lived happy ever afterwards.	And so they lived happy ever afterwards.	false	704	717.03	22.07827
