56_1733_000000_000000	Chapter 4	Chapter four	false	1.41	8.04	22.1905
56_1733_000005_000000	"Dolly!" he repeated, with a quiver in his voice.	"Dolly!" he repeated, with a quiver in his voice.	true	166.94	170.44	22.257807
56_1733_000005_000001	"Anna is coming today."	"Anna is coming today."	true	170.81	172.18	25.335022
56_1733_000006_000000	"Well, what is that to me?	"Well, what is that to me?	true	172.94	174.28	28.45363
56_1733_000006_000001	I can't see her!" she cried.	I can't see her!" she cried.	true	174.32	176.35	23.101824
56_1733_000007_000000	"But you must, really, Dolly..."	"But you must, really, Dolly..."	true	176.9	178.69	22.899939
56_1733_000008_000000	"Go away, go away, go away!" she shrieked, not looking at him, as though this shriek were called up by physical pain.	"Go away, go away, go away!" she shrieked, not looking at him, as though this shriek were called up by physical pain.	false	179	185.02	26.984041
56_1733_000009_000000	Stepan Arkadyevitch could be calm when he thought of his wife, he could hope that she would _come round_, as Matvey expressed it, and could quietly go on reading his paper and drinking his coffee; but when he saw her tortured, suffering face, heard the tone of her voice, submissive to fate and full of despair, there was a catch in his breath and a lump in his throat, and his eyes began to shine with tears.	Stepan Arkadyevitch could be calm when he thought of his wife, he could hope that she would underscore come round underscore, as Matvey expressed it, and could quietly go on reading his paper and drinking his coffee; but when he saw her tortured, suffering face, heard the tone of her voice, submissive to fate and full of despair, there was a catch in his breath and a lump in his throat, and his eyes began to shine with tears.	false	185.69	207.82	22.427122
56_1733_000010_000000	"My God! what have I done?	"My God! what have I done?	true	208.49	210.85	21.96348
56_1733_000010_000001	Dolly!	Dolly!	true	210.95	211.44	20.154446
56_1733_000010_000002	For God's sake!....	For God's sake!....	true	211.44	212.34	18
56_1733_000010_000003	You know...." He could not go on; there was a sob in his throat.	You know...." He could not go on; there was a sob in his throat.	true	212.34	216.34	26.55327
56_1733_000011_000000	She shut the bureau with a slam, and glanced at him.	She shut the bureau with a slam, and glanced at him.	true	216.65	219.28	22.955519
56_1733_000012_000000	"Dolly, what can I say?....	"Dolly, what can I say?....	true	219.8	221.29	20.957214
56_1733_000012_000001	One thing: forgive...	One thing: forgive...	true	221.69	223.39	21.281569
56_1733_000012_000002	Remember, cannot nine years of my life atone for an instant...."	Remember, cannot nine years of my life atone for an instant...."	true	223.49	227.83	23.534185
56_1733_000013_000000	She dropped her eyes and listened, expecting what he would say, as it were beseeching him in some way or other to make her believe differently.	She dropped her eyes and listened, expecting what he would say, as it were beseeching him in some way or other to make her believe differently.	true	228.59	236.44	22.506021
56_1733_000014_000000	"--instant of passion?" he said, and would have gone on, but at that word, as at a pang of physical pain, her lips stiffened again, and again the muscles of her right cheek worked.	"--instant of passion?" he said, and would have gone on, but at that word, as at a pang of physical pain, her lips stiffened again, and again the muscles of her right cheek worked.	true	236.99	247.69	24.482332
56_1733_000015_000000	"Go away, go out of the room!" she shrieked still more shrilly, "and don't talk to me of your passion and your loathsomeness."	"Go away, go out of the room!" she shrieked still more shrilly, "and don't talk to me of your passion and your loathsomeness."	true	247.7	254.14	20
56_1733_000016_000000	She tried to go out, but tottered, and clung to the back of a chair to support herself.	She tried to go out, but tottered, and clung to the back of a chair to support herself.	true	254.6	259.33	26.550209
56_1733_000016_000001	His face relaxed, his lips swelled, his eyes were swimming with tears.	His face relaxed, his lips swelled, his eyes were swimming with tears.	true	259.49	264.01	24.224129
56_1733_000017_000000	"Dolly!" he said, sobbing now; "for mercy's sake, think of the children; they are not to blame!	"Dolly!" he said, sobbing now; "for mercy's sake, think of the children; they are not to blame!	true	264.65	270.36	24.328815
56_1733_000017_000001	I am to blame, and punish me, make me expiate my fault.	I am to blame, and punish me, make me expiate my fault.	true	270.36	273.79	21
56_1733_000017_000002	Anything I can do, I am ready to do anything!	Anything I can do, I am ready to do anything!	true	273.89	276.55	21
56_1733_000017_000003	I am to blame, no words can express how much I am to blame!	I am to blame, no words can express how much I am to blame!	true	276.65	279.91	24.518703
56_1733_000017_000004	But, Dolly, forgive me!"	But, Dolly, forgive me!"	true	279.98	281.62	20.366198
56_1733_000018_000000	She sat down.	She sat down.	true	282.2	283.42	24.122337
56_1733_000018_000001	He listened to her hard, heavy breathing, and he was unutterably sorry for her.	He listened to her hard, heavy breathing, and he was unutterably sorry for her.	true	283.88	288.76	20.61727
56_1733_000018_000002	She tried several times to begin to speak, but could not.	She tried several times to begin to speak, but could not.	true	289.16	292.72	22.963362
56_1733_000018_000003	He waited.	He waited.	true	293.12	294.04	19.457975
56_1733_000019_000000	"You remember the children, Stiva, to play with them; but I remember them, and know that this means their ruin," she said--obviously one of the phrases she had more than once repeated to herself in the course of the last few days.	"You remember the children, Stiva, to play with them; but I remember them, and know that this means their ruin," she said-obviously one of the phrases she had more than once repeated to herself in the course of the last few days.	true	295.07	307.54	19.500374
56_1733_000020_000000	She had called him "Stiva," and he glanced at her with gratitude, and moved to take her hand, but she drew back from him with aversion.	She had called him "Stiva," and he glanced at her with gratitude, and moved to take her hand, but she drew back from him with aversion.	true	308.33	315.46	23.173811
56_1733_000021_000000	"I think of the children, and for that reason I would do anything in the world to save them, but I don't myself know how to save them.	"I think of the children, and for that reason I would do anything in the world to save them, but I don't myself know how to save them.	true	315.98	323.65	21.248697
56_1733_000021_000001	By taking them away from their father, or by leaving them with a vicious father--yes, a vicious father....	By taking them away from their father, or by leaving them with a vicious father-yes, a vicious father....	true	324.02	329.65	20.27808
56_1733_000021_000002	Tell me, after what ... has happened, can we live together?	Tell me, after what ... has happened, can we live together?	true	329.69	334.57	23.709946
56_1733_000021_000003	Is that possible?	Is that possible?	true	334.97	336.28	28.571417
56_1733_000021_000004	Tell me, eh, is it possible?" she repeated, raising her voice, "after my husband, the father of my children, enters into a love affair with his own children's governess?"	Tell me, eh, is it possible?" she repeated, raising her voice, "after my husband, the father of my children, enters into a love affair with his own children's governess?"	false	336.56	346.6	21
56_1733_000022_000000	"But what could I do?	"But what could I do?	true	347.3	348.91	21.02508
56_1733_000022_000001	what could I do?" he kept saying in a pitiful voice, not knowing what he was saying, as his head sank lower and lower.	what could I do?" he kept saying in a pitiful voice, not knowing what he was saying, as his head sank lower and lower.	true	349.04	355.72	19
56_1733_000023_000000	"You are loathsome to me, repulsive!" she shrieked, getting more and more heated.	"You are loathsome to me, repulsive!" she shrieked, getting more and more heated.	true	355.94	360.87	21.427464
56_1733_000023_000001	"Your tears mean nothing!	"Your tears mean nothing!	true	360.87	362.34	24.62247
56_1733_000023_000002	You have never loved me; you have neither heart nor honorable feeling!	You have never loved me; you have neither heart nor honorable feeling!	true	362.34	366.135	21.27069
56_1733_000023_000003	You are hateful to me, disgusting, a stranger--yes, a complete stranger!" With pain and wrath she uttered the word so terrible to herself--_stranger_.	You are hateful to me, disgusting, a stranger-yes, a complete stranger!" With pain and wrath she uttered the word so terrible to herself-underscore stranger underscore.	false	366.135	376.62	23.600529
56_1733_000024_000000	He looked at her, and the fury expressed in her face alarmed and amazed him.	He looked at her, and the fury expressed in her face alarmed and amazed him.	true	376.62	381.31	20.835615
56_1733_000024_000001	He did not understand how his pity for her exasperated her.	He did not understand how his pity for her exasperated her.	true	381.71	385.24	20.969566
56_1733_000024_000002	She saw in him sympathy for her, but not love.	She saw in him sympathy for her, but not love.	true	385.61	388.24	17.99326
56_1733_000024_000003	"No, she hates me.	"No, she hates me.	true	388.52	389.715	25
56_1733_000024_000004	She will not forgive me," he thought.	She will not forgive me," he thought.	true	389.715	391.785	19.701391
56_1733_000025_000000	"It is awful!	"It is awful!	true	391.785	392.71	24.874432
56_1733_000025_000001	awful!" he said.	awful!" he said.	true	393.02	394.27	21.681929
56_1733_000026_000000	At that moment in the next room a child began to cry; probably it had fallen down.	At that moment in the next room a child began to cry; probably it had fallen down.	true	394.82	400.12	23.06693
56_1733_000026_000001	Darya Alexandrovna listened, and her face suddenly softened.	Darya Alexandrovna listened, and her face suddenly softened.	true	401.12	404.95	22.2511
56_1733_000027_000000	She seemed to be pulling herself together for a few seconds, as though she did not know where she was, and what she was doing, and getting up rapidly, she moved towards the door.	She seemed to be pulling herself together for a few seconds, as though she did not know where she was, and what she was doing, and getting up rapidly, she moved towards the door.	true	405.5	414.43	22.483091
56_1733_000028_000000	"Well, she loves my child," he thought, noticing the change of her face at the child's cry, "my child: how can she hate me?"	"Well, she loves my child," he thought, noticing the change of her face at the child's cry, "my child: how can she hate me?"	true	414.98	422.47	22.795198
56_1733_000029_000000	"Dolly, one word more," he said, following her.	"Dolly, one word more," he said, following her.	true	423.14	425.74	20.417747
56_1733_000030_000000	"If you come near me, I will call in the servants, the children!	"If you come near me, I will call in the servants, the children!	true	425.93	428.8	22.079731
56_1733_000030_000001	They may all know you are a scoundrel!	They may all know you are a scoundrel!	true	428.81	430.665	20
56_1733_000030_000002	I am going away at once, and you may live here with your mistress!"	I am going away at once, and you may live here with your mistress!"	true	430.665	433.54	21.721777
56_1733_000031_000000	And she went out, slamming the door.	And she went out, slamming the door.	true	434.06	436.12	19.746986
56_1733_000032_000000	Stepan Arkadyevitch sighed, wiped his face, and with a subdued tread walked out of the room.	Stepan Arkadyevitch sighed, wiped his face, and with a subdued tread walked out of the room.	true	437.03	442.57	21.516323
56_1733_000032_000001	"Matvey says she will come round; but how?	"Matvey says she will come round; but how?	true	442.94	445.33	21.685291
56_1733_000032_000002	I don't see the least chance of it.	I don't see the least chance of it.	true	445.49	447.06	21.795773
56_1733_000032_000003	Ah, oh, how horrible it is!	Ah, oh, how horrible it is!	false	447.06	448.99	16.272858
56_1733_000032_000004	And how vulgarly she shouted," he said to himself, remembering her shriek and the words--"scoundrel" and "mistress." "And very likely the maids were listening!	And how vulgarly she shouted," he said to himself, remembering her shriek and the words-"scoundrel" and "mistress." "And very likely the maids were listening!	true	449.03	458.83	20.765158
56_1733_000032_000005	Horribly vulgar!	Horribly vulgar!	true	458.96	460.125	24.247786
56_1733_000032_000006	horrible!" Stepan Arkadyevitch stood a few seconds alone, wiped his face, squared his chest, and walked out of the room.	horrible!" Stepan Arkadyevitch stood a few seconds alone, wiped his face, squared his chest, and walked out of the room.	true	460.125	467.86	23.14337
56_1733_000033_000000	It was Friday, and in the dining room the German watchmaker was winding up the clock.	It was Friday, and in the dining room the German watchmaker was winding up the clock.	true	468.98	473.59	21.487183
56_1733_000033_000001	Stepan Arkadyevitch remembered his joke about this punctual, bald watchmaker, "that the German was wound up for a whole lifetime himself, to wind up watches," and he smiled.	Stepan Arkadyevitch remembered his joke about this punctual, bald watchmaker, "that the German was wound up for a whole lifetime himself, to wind up watches," and he smiled.	true	473.84	483.82	23.381496
56_1733_000033_000002	Stepan Arkadyevitch was fond of a joke: "And maybe she will come round!	Stepan Arkadyevitch was fond of a joke: "And maybe she will come round!	true	483.98	488.38	23.023434
56_1733_000033_000003	That's a good expression, '_come round,_'" he thought.	That's a good expression, 'underscore come round,underscore'" he thought.	false	488.54	491.08	20.883839
56_1733_000033_000004	"I must repeat that."	"I must repeat that."	true	491.09	492.31	22.93935
56_1733_000034_000000	"Matvey!" he shouted.	"Matvey!" he shouted.	true	492.74	494.13	21.585892
56_1733_000034_000001	"Arrange everything with Darya in the sitting room for Anna Arkadyevna," he said to Matvey when he came in.	"Arrange everything with Darya in the sitting room for Anna Arkadyevna," he said to Matvey when he came in.	false	494.13	499.54	20.472105
56_1733_000035_000000	"Yes, sir."	"Yes, sir."	true	499.97	500.74	20.993984
56_1733_000036_000000	Stepan Arkadyevitch put on his fur coat and went out onto the steps.	Stepan Arkadyevitch put on his fur coat and went out onto the steps.	true	501.47	505.42	23
56_1733_000037_000000	"You won't dine at home?" said Matvey, seeing him off.	"You won't dine at home?" said Matvey, seeing him off.	true	505.94	508.63	20.797523
56_1733_000038_000000	"That's as it happens.	"That's as it happens.	true	508.85	510.12	23.727505
56_1733_000038_000001	But here's for the housekeeping," he said, taking ten roubles from his pocketbook.	But here's for the housekeeping," he said, taking ten roubles from his pocketbook.	true	510.12	514.53	24.50566
56_1733_000038_000002	"That'll be enough."	"That'll be enough."	true	514.53	515.59	23.027012
56_1733_000039_000000	"Enough or not enough, we must make it do," said Matvey, slamming the carriage door and stepping back onto the steps.	"Enough or not enough, we must make it do," said Matvey, slamming the carriage door and stepping back onto the steps.	true	516.17	522.1	21.765915
56_1733_000040_000000	Darya Alexandrovna meanwhile having pacified the child, and knowing from the sound of the carriage that he had gone off, went back again to her bedroom.	Darya Alexandrovna meanwhile having pacified the child, and knowing from the sound of the carriage that he had gone off, went back again to her bedroom.	true	522.44	531.04	21.565645
56_1733_000040_000001	It was her solitary refuge from the household cares which crowded upon her directly she went out from it.	It was her solitary refuge from the household cares which crowded upon her directly she went out from it.	false	531.5	537.19	21.494995
56_1733_000040_000002	Even now, in the short time she had been in the nursery, the English governess and Matrona Philimonovna had succeeded in putting several questions to her, which did not admit of delay, and which only she could answer: "What were the children to put on for their walk?	Even now, in the short time she had been in the nursery, the English governess and Matrona Philimonovna had succeeded in putting several questions to her, which did not admit of delay, and which only she could answer: "What were the children to put on for their walk?	true	537.62	552.165	21.341305
56_1733_000040_000003	Should they have any milk?	Should they have any milk?	true	552.165	553.23	20.918869
56_1733_000040_000004	Should not a new cook be sent for?"	Should not a new cook be sent for?"	true	553.23	554.85	18
56_1733_000041_000000	"Ah, let me alone, let me alone!" she said, and going back to her bedroom she sat down in the same place as she had sat when talking to her husband, clasping tightly her thin hands with the rings that slipped down on her bony fingers, and fell to going over in her memory all the conversation.	"Ah, let me alone, let me alone!" she said, and going back to her bedroom she sat down in the same place as she had sat when talking to her husband, clasping tightly her thin hands with the rings that slipped down on her bony fingers, and fell to going over in her memory all the conversation.	false	554.85	570.97	21.814932
56_1733_000041_000001	"He has gone!	"He has gone!	true	571.43	572.47	21.623632
56_1733_000041_000002	But has he broken it off with her?" she thought.	But has he broken it off with her?" she thought.	true	572.63	574.72	22.525227
56_1733_000041_000003	"Can it be he sees her?	"Can it be he sees her?	true	574.82	576.37	20.454231
56_1733_000041_000004	Why didn't I ask him!	Why didn't I ask him!	true	576.47	577.75	21.928984
56_1733_000041_000005	No, no, reconciliation is impossible.	No, no, reconciliation is impossible.	false	577.91	580.03	19.701582
56_1733_000041_000006	Even if we remain in the same house, we are strangers--strangers forever!" She repeated again with special significance the word so dreadful to her.	Even if we remain in the same house, we are strangers-strangers forever!" She repeated again with special significance the word so dreadful to her.	true	580.19	589.33	20.000702
56_1733_000041_000007	"And how I loved him! my God, how I loved him!....	"And how I loved him! my God, how I loved him!....	true	589.61	593.11	20.772089
56_1733_000041_000008	How I loved him!	How I loved him!	true	593.3	594.64	16.783215
56_1733_000041_000009	And now don't I love him?	And now don't I love him?	true	594.68	596.23	23.451557
56_1733_000041_000010	Don't I love him more than before?	Don't I love him more than before?	true	596.27	598	18.343206
56_1733_000041_000011	The most horrible thing is," she began, but did not finish her thought, because Matrona Philimonovna put her head in at the door.	The most horrible thing is," she began, but did not finish her thought, because Matrona Philimonovna put her head in at the door.	false	598.25	605.11	20.743397
56_1733_000042_000000	"Let us send for my brother," she said; "he can get a dinner anyway, or we shall have the children getting nothing to eat till six again, like yesterday."	"Let us send for my brother," she said; "he can get a dinner anyway, or we shall have the children getting nothing to eat till six again, like yesterday."	true	605.6	612.43	22.934141
56_1733_000043_000000	"Very well, I will come directly and see about it.	"Very well, I will come directly and see about it.	true	613.07	615.58	22.796995
56_1733_000043_000001	But did you send for some new milk?"	But did you send for some new milk?"	true	615.74	617.59	17.441553
56_1733_000044_000000	And Darya Alexandrovna plunged into the duties of the day, and drowned her grief in them for a time.	And Darya Alexandrovna plunged into the duties of the day, and drowned her grief in them for a time.	true	618.2	623.97	20.203787
56_1733_000045_000000	Chapter 5	Chapter five	false	623.97	624.18	7
56_1733_000046_000000	Stepan Arkadyevitch had learned easily at school, thanks to his excellent abilities, but he had been idle and mischievous, and therefore was one of the lowest in his class.	Stepan Arkadyevitch had learned easily at school, thanks to his excellent abilities, but he had been idle and mischievous, and therefore was one of the lowest in his class.	false	624.18	626.49	11.962924
56_1733_000046_000001	But in spite of his habitually dissipated mode of life, his inferior grade in the service, and his comparative youth, he occupied the honorable and lucrative position of president of one of the government boards at Moscow.	But in spite of his habitually dissipated mode of life, his inferior grade in the service, and his comparative youth, he occupied the honorable and lucrative position of president of one of the government boards at Moscow.	false	626.49	626.61	25
56_1733_000046_000002	This post he had received through his sister Anna's husband, Alexey Alexandrovitch Karenin, who held one of the most important positions in the ministry to whose department the Moscow office belonged.	This post he had received through his sister Anna's husband, Alexey Alexandrovitch Karenin, who held one of the most important positions in the ministry to whose department the Moscow office belonged.	false	626.61	626.7	4
56_1733_000046_000003	But if Karenin had not got his brother-in-law this berth, then through a hundred other personages--brothers, sisters, cousins, uncles, and aunts--Stiva Oblonsky would have received this post, or some other similar one, together with the salary of six thousand absolutely needful for him, as his affairs, in spite of his wife's considerable property, were in an embarrassed condition.	But if Karenin had not got his brother in law this berth, then through a hundred other personages-brothers, sisters, cousins, uncles, and aunts-Stiva Oblonsky would have received this post, or some other similar one, together with the salary of six thousand absolutely needful for him, as his affairs, in spite of his wife's considerable property, were in an embarrassed condition.	false	626.7	630.78	17.25872
