5333_5097_000000_000000	END OF VOLUME ONE.	END OF VOLUME ONE.	false	1.05	16.305	18.581867
5333_5097_000008_000001	It was not very distinct, and referred for several particulars to Owen, whom I was entreated to meet with as soon as possible at a Scotch town called Glasgow; being informed, moreover, that my old friend was to be heard of at Messrs.	It was not very distinct, and referred for several particulars to Owen, whom I was entreated to meet with as soon as possible at a Scotch town called Glasgow; being informed, moreover, that my old friend was to be heard of at Messrs.	true	95.25	109.71	18.40284
5333_5097_000008_000002	MacVittie, MacFin, and Company, merchants in the Gallowgate of the said town.	MacVittie, MacFin, and Company, merchants in the Gallowgate of the said town.	false	109.71	114.13	18.952728
5333_5097_000008_000003	It likewise alluded to several letters,--which, as it appeared to me, must have miscarried or have been intercepted, and complained of my obdurate silence, in terms which would have, been highly unjust, had my letters reached their purposed destination.	It likewise alluded to several letters,--which, as it appeared to me, must have miscarried or have been intercepted, and complained of my obdurate silence, in terms which would have, been highly unjust, had my letters reached their purposed destination.	true	114.26	129.73	18.68125
5333_5097_000008_000004	I was amazed as I read.	I was amazed as I read.	true	130.19	132.49	15
5333_5097_000008_000005	That the spirit of Rashleigh walked around me, and conjured up these doubts and difficulties by which I was surrounded, I could not doubt for one instant; yet it was frightful to conceive the extent of combined villany and power which he must have employed in the perpetration of his designs.	That the spirit of Rashleigh walked around me, and conjured up these doubts and difficulties by which I was surrounded, I could not doubt for one instant; yet it was frightful to conceive the extent of combined villany and power which he must have employed in the perpetration of his designs.	true	132.95	150.61	18
5333_5097_000008_000006	Let me do myself justice in one respect.	Let me do myself justice in one respect.	true	150.98	153.73	19.638868
5333_5097_000008_000007	The evil of parting from Miss Vernon, however distressing it might in other respects and at another time have appeared to me, sunk into a subordinate consideration when I thought of the dangers impending over my father.	The evil of parting from Miss Vernon, however distressing it might in other respects and at another time have appeared to me, sunk into a subordinate consideration when I thought of the dangers impending over my father.	true	154.22	167.89	16
5333_5097_000008_000008	I did not myself set a high estimation on wealth, and had the affectation of most young men of lively imagination, who suppose that they can better dispense with the possession of money, than resign their time and faculties to the labour necessary to acquire it.	I did not myself set a high estimation on wealth, and had the affectation of most young men of lively imagination, who suppose that they can better dispense with the possession of money, than resign their time and faculties to the labour necessary to acquire it.	true	168.29	183.58	19
5333_5097_000008_000009	But in my father's case, I knew that bankruptcy would be considered as an utter and irretrievable disgrace, to which life would afford no comfort, and death the speediest and sole relief.	But in my father's case, I knew that bankruptcy would be considered as an utter and irretrievable disgrace, to which life would afford no comfort, and death the speediest and sole relief.	true	184.01	197.65	16.915184
5333_5097_000009_000000	My mind, therefore, was bent on averting this catastrophe, with an intensity which the interest could not have produced had it referred to my own fortunes; and the result of my deliberation was a firm resolution to depart from Osbaldistone Hall the next day and wend my way without loss of time to meet Owen at Glasgow.	My mind, therefore, was bent on averting this catastrophe, with an intensity which the interest could not have produced had it referred to my own fortunes; and the result of my deliberation was a firm resolution to depart from Osbaldistone Hall the next day and wend my way without loss of time to meet Owen at Glasgow.	true	197.99	218.62	17.593401
5333_5097_000009_000001	I did not hold it expedient to intimate my departure to my uncle, otherwise than by leaving a letter of thanks for his hospitality, assuring him that sudden and important business prevented my offering them in person.	I did not hold it expedient to intimate my departure to my uncle, otherwise than by leaving a letter of thanks for his hospitality, assuring him that sudden and important business prevented my offering them in person.	true	219.5	232.36	18.181273
5333_5097_000009_000002	I knew the blunt old knight would readily excuse ceremony; and I had such a belief in the extent and decided character of Rashleigh's machinations, that I had some apprehension of his having provided means to intercept a journey which was undertaken with a view to disconcert them, if my departure were publicly announced at Osbaldistone Hall.	I knew the blunt old knight would readily excuse ceremony; and I had such a belief in the extent and decided character of Rashleigh's machinations, that I had some apprehension of his having provided means to intercept a journey which was undertaken with a view to disconcert them, if my departure were publicly announced at Osbaldistone Hall.	true	232.7	253.51	17.822754
5333_5097_000010_000000	I therefore determined to set off on my journey with daylight on the ensuing morning, and to gain the neighbouring kingdom of Scotland before any idea of my departure was entertained at the Hall.	I therefore determined to set off on my journey with daylight on the ensuing morning, and to gain the neighbouring kingdom of Scotland before any idea of my departure was entertained at the Hall.	false	254.48	266.01	17.243553
5333_5097_000010_000001	But one impediment of consequence was likely to prevent that speed which was the soul of my expedition.	But one impediment of consequence was likely to prevent that speed which was the soul of my expedition.	true	266.01	271.87	17
5333_5097_000010_000002	I did not know the shortest, nor indeed any road to Glasgow; and as, in the circumstances in which I stood, despatch was of the greatest consequence, I determined to consult Andrew Fairservice on the subject, as the nearest and most authentic authority within my reach. Late as it was, I set off with the intention of ascertaining this important point, and after a few minutes' walk reached the dwelling of the gardener.	I did not know the shortest, nor indeed any road to Glasgow; and as, in the circumstances in which I stood, despatch was of the greatest consequence, I determined to consult Andrew Fairservice on the subject, as the nearest and most authentic authority within my reach. Late as it was, I set off with the intention of ascertaining this important point, and after a few minutes' walk reached the dwelling of the gardener.	true	272.21	296.47	17.962229
5333_5097_000011_000000	Andrew's dwelling was situated at no great distance from the exterior wall of the garden--a snug comfortable Northumbrian cottage, built of stones roughly dressed with the hammer, and having the windows and doors decorated with huge heavy architraves, or lintels, as they are called, of hewn stone, and its roof covered with broad grey flags, instead of slates, thatch, or tiles.	Andrew's dwelling was situated at no great distance from the exterior wall of the garden-a snug comfortable Northumbrian cottage, built of stones roughly dressed with the hammer, and having the windows and doors decorated with huge heavy architraves, or lintels, as they are called, of hewn stone, and its roof covered with broad grey flags, instead of slates, thatch, or tiles.	true	297.26	320.86	17.609026
5333_5097_000011_000001	A jargonelle pear-tree at one end of the cottage, a rivulet and flower-plot of a rood in extent in front, and a kitchen-garden behind; a paddock for a cow, and a small field, cultivated with several crops of grain, rather for the benefit of the cottager than for sale, announced the warm and cordial comforts which Old England, even at her most northern extremity, extends to her meanest inhabitants.	A jargonelle pear tree at one end of the cottage, a rivulet and flower plot of a rood in extent in front, and a kitchen garden behind; a paddock for a cow, and a small field, cultivated with several crops of grain, rather for the benefit of the cottager than for sale, announced the warm and cordial comforts which Old England, even at her most northern extremity, extends to her meanest inhabitants.	false	321.38	344.89	17.746973
5333_5097_000012_000000	As I approached the mansion of the sapient Andrew, I heard a noise, which, being of a nature peculiarly solemn, nasal, and prolonged, led me to think that Andrew, according to the decent and meritorious custom of his countrymen, had assembled some of his neighbours to join in family exercise, as he called evening devotion.	As I approached the mansion of the sapient Andrew, I heard a noise, which, being of a nature peculiarly solemn, nasal, and prolonged, led me to think that Andrew, according to the decent and meritorious custom of his countrymen, had assembled some of his neighbours to join in family exercise, as he called evening devotion.	true	345.8	364.27	16
5333_5097_000012_000001	Andrew had indeed neither wife, child, nor female inmate in his family.	Andrew had indeed neither wife, child, nor female inmate in his family.	true	364.79	369.61	16
5333_5097_000012_000002	"The first of his trade," he said, "had had eneugh o'thae cattle." But, notwithstanding, he sometimes contrived to form an audience for himself out of the neighbouring Papists and Church-of-Englandmen--brands, as he expressed it, snatched out of the burning, on whom he used to exercise his spiritual gifts, in defiance alike of Father Vaughan, Father Docharty, Rashleigh, and all the world of Catholics around him, who deemed his interference on such occasions an act of heretical interloping.	"The first of his trade," he said, "had had eneugh o'thae cattle." But, notwithstanding, he sometimes contrived to form an audience for himself out of the neighbouring Papists and Church of Englandmen-brands, as he expressed it, snatched out of the burning, on whom he used to exercise his spiritual gifts, in defiance alike of Father Vaughan, Father Docharty, Rashleigh, and all the world of Catholics around him, who deemed his interference on such occasions an act of heretical interloping.	false	369.86	398.62	18.281174
5333_5097_000012_000003	I conceived it likely, therefore, that the well-disposed neighbours might have assembled to hold some chapel of ease of this nature.	I conceived it likely, therefore, that the well disposed neighbours might have assembled to hold some chapel of ease of this nature.	true	399.35	406.87	18
5333_5097_000012_000004	The noise, however, when I listened to it more accurately, seemed to proceed entirely from the lungs of the said Andrew; and when I interrupted it by entering the house, I found Fairservice alone, combating as he best could, with long words and hard names, and reading aloud, for the purpose of his own edification, a volume of controversial divinity.	The noise, however, when I listened to it more accurately, seemed to proceed entirely from the lungs of the said Andrew; and when I interrupted it by entering the house, I found Fairservice alone, combating as he best could, with long words and hard names, and reading aloud, for the purpose of his own edification, a volume of controversial divinity.	false	407.15	427.21	17.286827
5333_5097_000013_000000	"I was just taking a spell," said he, laying aside the huge folio volume as I entered, "of the worthy Doctor Lightfoot."	"I was just taking a spell," said he, laying aside the huge folio volume as I entered, "of the worthy Doctor Lightfoot."	true	427.82	436.03	17.706808
5333_5097_000014_000000	"Lightfoot!" I replied, looking at the ponderous volume with some surprise; "surely your author was unhappily named."	"Lightfoot!" I replied, looking at the ponderous volume with some surprise; "surely your author was unhappily named."	true	436.43	443.68	16.948074
5333_5097_000015_000000	"Lightfoot was his name, sir; a divine he was, and another kind of a divine than they hae now-adays.	"Lightfoot was his name, sir; a divine he was, and another kind of a divine than they hae now adays.	false	444.26	449.77	17.538832
5333_5097_000015_000001	Always, I crave your pardon for keeping ye standing at the door, but having been mistrysted (gude preserve us!) with ae bogle the night already, I was dubious o' opening the yett till I had gaen through the e'ening worship; and I had just finished the fifth chapter of Nehemiah--if that winna gar them keep their distance, I wotna what will."	Always, I crave your pardon for keeping ye standing at the door, but having been mistrysted (gude preserve us!) with ae bogle the night already, I was dubious o' opening the yett till I had gaen through the e'ening worship; and I had just finished the fifth chapter of nehemiah--if that winna gar them keep their distance, I wotna what will."	false	450.08	467.98	18.01841
5333_5097_000016_000000	"Trysted with a bogle!" said I; "what do you mean by that, Andrew?"	"Trysted with a bogle!" said I; "what do you mean by that, Andrew?"	false	469.55	473.52	19.114525
5333_5097_000017_000000	"I said mistrysted," replied Andrew; "that is as muckle as to say, fley'd wi' a ghaist--Gude preserve us, I say again!"	"I said mistrysted," replied Andrew; "that is as muckle as to say, fley'd wi' a ghaist-Gude preserve us, I say again!"	false	473.52	481.81	15.77668
5333_5097_000018_000000	"Flay'd by a ghost, Andrew! how am I to understand that?"	"Flay'd by a ghost, Andrew! how am I to understand that?"	true	482.48	486.555	13
5333_5097_000019_000000	"I did not say flay'd," replied Andrew, "but _fley'd,_--that is, I got a fleg, and was ready to jump out o' my skin, though naebody offered to whirl it aff my body as a man wad bark a tree."	"I did not say flay'd," replied Andrew, "but underscore fley'd,underscore--that is, I got a fleg, and was ready to jump out o' my skin, though naebody offered to whirl it a f f my body as a man wad bark a tree."	false	486.555	500.07	19.667995
5333_5097_000020_000000	"I beg a truce to your terrors in the present case, Andrew, and I wish to know whether you can direct me the nearest way to a town in your country of Scotland, called Glasgow?"	"I beg a truce to your terrors in the present case, Andrew, and I wish to know whether you can direct me the nearest way to a town in your country of Scotland, called Glasgow?"	false	500.07	509.11	15
5333_5097_000021_000000	"A town ca'd Glasgow!" echoed Andrew Fairservice.	"A town ca'd Glasgow!" echoed Andrew Fairservice.	false	510.05	514.21	19.98135
5333_5097_000021_000001	"Glasgow's a ceety, man.--And is't the way to Glasgow ye were speering if I ken'd?--What suld ail me to ken it?--it's no that dooms far frae my ain parish of Dreepdaily, that lies a bittock farther to the west.	"Glasgow's a ceety, man.--And is't the way to Glasgow ye were speering if I ken'd?--What suld ail me to ken it?--it's no that dooms far frae my ain parish of Dreepdaily, that lies a bittock farther to the west.	false	514.4	528.37	18.475025
5333_5097_000021_000002	But what may your honour be gaun to Glasgow for?"	But what may your honour be gaun to Glasgow for?"	false	528.56	530.92	19.738342
5333_5097_000022_000000	"Particular business," replied I.	"Particular business," replied i	true	531.65	534.39	18.240631
5333_5097_000023_000000	"That's as muckle as to say, Speer nae questions, and I'll tell ye nae lees.--To Glasgow?"--he made a short pause--"I am thinking ye wad be the better o' some ane to show you the road."	"That's as muckle as to say, Speer nae questions, and I'll tell ye nae lees.--To Glasgow?"--he made a short pause-"I am thinking ye wad be the better o' some ane to show you the road."	false	534.39	546.07	17.990185
5333_5097_000024_000000	"Certainly, if I could meet with any person going that way."	"Certainly, if I could meet with any person going that way."	true	546.53	549.94	17
5333_5097_000025_000000	"And your honour, doubtless, wad consider the time and trouble?"	"And your honour, doubtless, wad consider the time and trouble?"	false	550.76	553.75	21.006374
5333_5097_000026_000000	"Unquestionably--my business is pressing, and if you can find any guide to accompany me, I'll pay him handsomely."	"Unquestionably-my business is pressing, and if you can find any guide to accompany me, I'll pay him handsomely."	false	554.66	562.92	19.192085
5333_5097_000027_000000	"This is no a day to speak o' carnal matters," said Andrew, casting his eyes upwards; "but if it werena Sabbath at e'en, I wad speer what ye wad be content to gie to ane that wad bear ye pleasant company on the road, and tell ye the names of the gentlemen's and noblemen's seats and castles, and count their kin to ye?"	"This is no a day to speak o' carnal matters," said Andrew, casting his eyes upwards; "but if it werena Sabbath at e'en, I wad speer what ye wad be content to g i e to ane that wad bear ye pleasant company on the road, and tell ye the names of the gentlemen's and noblemen's seats and castles, and count their kin to ye?"	false	562.92	582.25	17.985628
5333_5097_000028_000000	"I tell you, all I want to know is the road I must travel; I will pay the fellow to his satisfaction--I will give him anything in reason."	"I tell you, all I want to know is the road I must travel; I will pay the fellow to his satisfaction-I will give him anything in reason."	true	583.22	591.39	17.92343
5333_5097_000029_000000	"Onything," replied Andrew, "is naething; and this lad that I am speaking o' kens a' the short cuts and queer by-paths through the hills, and"--	"Onything," replied Andrew, "is naething; and this lad that I am speaking o' kens a' the short cuts and queer by paths through the hills, and"--	false	591.39	599.82	19.505838
5333_5097_000030_000000	"I have no time to talk about it, Andrew; do you make the bargain for me your own way."	"I have no time to talk about it, Andrew; do you make the bargain for me your own way."	true	599.82	605.77	19.7354
5333_5097_000031_000000	"Aha! that's speaking to the purpose," answered Andrew.--"I am thinking, since sae be that sae it is, I'll be the lad that will guide you mysell."	"Aha! that's speaking to the purpose," answered Andrew.--"I am thinking, since sae be that sae it is, I'll be the lad that will guide you mysell."	false	606.17	614.98	19.66029
5333_5097_000032_000000	"You, Andrew?--how will you get away from your employment?"	"You, Andrew?--how will you get away from your employment?"	false	615.38	618.97	15
5333_5097_000033_000000	"I tell'd your honour a while syne, that it was lang that I hae been thinking o' flitting, maybe as lang as frae the first year I came to Osbaldistone Hall; and now I am o' the mind to gang in gude earnest--better soon as syne--better a finger aff as aye wagging."	"I tell'd your honour a while syne, that it was lang that I hae been thinking o' flitting, maybe as lang as frae the first year I came to Osbaldistone Hall; and now I am o' the mind to gang in gude earnest-better soon as syne-better a finger a f f as aye wagging."	false	619.01	633.7	18.194693
5333_5097_000034_000000	"You leave your service, then?--but will you not lose your wages?"	"You leave your service, then?--but will you not lose your wages?"	true	634.43	637.95	16.135143
5333_5097_000035_000000	"Nae doubt there will be a certain loss; but then I hae siller o' the laird's in my hands that I took for the apples in the auld orchyard--and a sair bargain the folk had that bought them--a wheen green trash--and yet Sir Hildebrand's as keen to hae the siller (that is, the steward is as pressing about it) as if they had been a' gowden pippins--and then there's the siller for the seeds--I'm thinking the wage will be in a manner decently made up.--But doubtless your honour will consider my risk of loss when we win to Glasgow--and ye'll be for setting out forthwith?"	"Nae doubt there will be a certain loss; but then I hae siller o' the laird's in my hands that I took for the apples in the auld orchyard-and a sair bargain the folk had that bought them-a wheen green trash-and yet Sir Hildebrand's as keen to hae the siller (that is, the steward is as pressing about it) as if they had been a' gowden pippins-and then there's the siller for the seeds-I'm thinking the wage will be in a manner decently made up.--But doubtless your honour will consider my risk of loss when we win to Glasgow-and ye'll be for setting out forthwith?"	false	637.95	668.98	18.633427
5333_5097_000036_000000	"By day-break in the morning," I answered.	"By day break in the morning," I answered.	true	669.68	672.03	17
5333_5097_000037_000000	"That's something o' the suddenest--whare am I to find a naig?--Stay--I ken just the beast that will answer me."	"That's something o' the suddenest-whare am I to find a naig?--Stay-I ken just the beast that will answer me."	false	672.03	679.09	18.054003
5333_5097_000038_000000	"At five in the morning, then, Andrew, you will meet me at the head of the avenue."	"At five in the morning, then, Andrew, you will meet me at the head of the avenue."	true	679.43	684.45	17.316656
5333_5097_000039_000000	"Deil a fear o' me (that I suld say sae) missing my tryste," replied Andrew, very briskly; "and if I might advise, we wad be aff twa hours earlier.	"Deil a fear o' me (that I suld say sae) missing my tryste," replied Andrew, very briskly; "and if I might advise, we wad be a f f t w a hours earlier.	false	684.45	694.725	18.085361
5333_5097_000039_000001	I ken the way, dark or light, as weel as blind Ralph Ronaldson, that's travelled ower every moor in the country-side, and disna ken the colour of a heather-cowe when a's dune."	I ken the way, dark or light, as weel as blind Ralph Ronaldson, that's travelled ower every moor in the country side, and disna ken the colour of a heather cowe when a's dune."	false	694.725	704.79	19.141802
5333_5097_000040_000000	I highly approved of Andrew's amendment on my original proposal, and we agreed to meet at the place appointed at three in the morning.	I highly approved of Andrew's amendment on my original proposal, and we agreed to meet at the place appointed at three in the morning.	true	704.79	712	18.210375
5333_5097_000040_000001	At once, however, a reflection came across the mind of my intended travelling companion.	At once, however, a reflection came across the mind of my intended travelling companion.	true	712.13	716.56	16.758093
5333_5097_000041_000000	"The bogle! the bogle! what if it should come out upon us?--I downa forgather wi' thae things twice in the four-and-twenty hours."	"The bogle! the bogle! what if it should come out upon us?--I downa forgather wi' thae things twice in the four and twenty hours."	false	716.84	724.63	20.276205
5333_5097_000042_000000	"Pooh! pooh!" I exclaimed, breaking away from him, "fear nothing from the next world--the earth contains living fiends, who can act for themselves without assistance, were the whole host that fell with Lucifer to return to aid and abet them."	"Pooh! pooh!" I exclaimed, breaking away from him, "fear nothing from the next world-the earth contains living fiends, who can act for themselves without assistance, were the whole host that fell with Lucifer to return to aid and abet them."	false	724.85	738.82	19.458115
5333_5097_000043_000000	With these words, the import of which was suggested by my own situation, I left Andrew's habitation, and returned to the Hall.	With these words, the import of which was suggested by my own situation, I left Andrew's habitation, and returned to the Hall.	false	739.19	747.03	18.101805
5333_5097_000044_000000	I made the few preparations which were necessary for my proposed journey, examined and loaded my pistols, and then threw myself on my bed, to obtain, if possible, a brief sleep before the fatigue of a long and anxious journey.	I made the few preparations which were necessary for my proposed journey, examined and loaded my pistols, and then threw myself on my bed, to obtain, if possible, a brief sleep before the fatigue of a long and anxious journey.	true	747.03	759.01	18.83098
5333_5097_000044_000001	Nature, exhausted by the tumultuous agitations of the day, was kinder to me than I expected, and I stink into a deep and profound slumber, from which, however, I started as the old clock struck two from a turret adjoining to my bedchamber.	Nature, exhausted by the tumultuous agitations of the day, was kinder to me than I expected, and I stink into a deep and profound slumber, from which, however, I started as the old clock struck two from a turret adjoining to my bedchamber.	false	759.41	773.65	19.031483
5333_5097_000044_000002	I instantly arose, struck a light, wrote the letter I proposed to leave for my uncle, and leaving behind me such articles of dress as were cumbrous in carriage, I deposited the rest of my wardrobe in my valise, glided down stairs, and gained the stable without impediment.	I instantly arose, struck a light, wrote the letter I proposed to leave for my uncle, and leaving behind me such articles of dress as were cumbrous in carriage, I deposited the rest of my wardrobe in my valise, glided down stairs, and gained the stable without impediment.	false	773.93	788.86	18.814531
5333_5097_000044_000003	Without being quite such a groom as any of my cousins, I had learned at Osbaldistone Hall to dress and saddle my own horse, and in a few minutes I was mounted and ready for my sally.	Without being quite such a groom as any of my cousins, I had learned at Osbaldistone Hall to dress and saddle my own horse, and in a few minutes I was mounted and ready for my sally.	false	789.29	800.2	17.68129
5333_5097_000045_000000	As I paced up the old avenue, on which the waning moon threw its light with a pale and whitish tinge, I looked back with a deep and boding sigh towards the walls which contained Diana Vernon, under the despondent impression that we had probably parted to meet no more.	As I paced up the old avenue, on which the waning moon threw its light with a pale and whitish tinge, I looked back with a deep and boding sigh towards the walls which contained Diana Vernon, under the despondent impression that we had probably parted to meet no more.	true	800.69	815.68	18.191427
5333_5097_000045_000001	It was impossible, among the long and irregular lines of Gothic casements, which now looked ghastly white in the moonlight, to distinguish that of the apartment which she inhabited.	It was impossible, among the long and irregular lines of Gothic casements, which now looked ghastly white in the moonlight, to distinguish that of the apartment which she inhabited.	false	816.23	826.42	17.880775
5333_5097_000045_000002	"She is lost to me already," thought I, as my eye wandered over the dim and indistinguishable intricacies of architecture offered by the moonlight view of Osbaldistone Hall--"She is lost to me already, ere I have left the place which she inhabits!	"She is lost to me already," thought I, as my eye wandered over the dim and indistinguishable intricacies of architecture offered by the moonlight view of Osbaldistone Hall-"She is lost to me already, ere I have left the place which she inhabits!	false	826.88	843.13	14
5333_5097_000045_000003	What hope is there of my maintaining any correspondence with her, when leagues shall lie between?"	What hope is there of my maintaining any correspondence with her, when leagues shall lie between?"	true	843.53	849.58	19.315033
5333_5097_000046_000000	While I paused in a reverie of no very pleasing nature, the "iron tongue of time told three upon the drowsy ear of night," and reminded me of the necessity of keeping my appointment with a person of a less interesting description and appearance--Andrew Fairservice.	While I paused in a reverie of no very pleasing nature, the "iron tongue of time told three upon the drowsy ear of night," and reminded me of the necessity of keeping my appointment with a person of a less interesting description and appearance-Andrew Fairservice.	true	850.64	868.06	17.768543
5333_5097_000047_000000	At the gate of the avenue I found a horseman stationed in the shadow of the wall, but it was not until I had coughed twice, and then called "Andrew," that the horticulturist replied, "I'se warrant it's Andrew."	At the gate of the avenue I found a horseman stationed in the shadow of the wall, but it was not until I had coughed twice, and then called "Andrew," that the horticulturist replied, "I'se warrant it's Andrew."	false	868.58	882.78	18.167429
5333_5097_000048_000000	"Lead the way, then," said I, "and be silent if you can, till we are past the hamlet in the valley."	"Lead the way, then," said I, "and be silent if you can, till we are past the hamlet in the valley."	true	882.78	888.55	15
5333_5097_000049_000000	Andrew led the way accordingly, and at a much brisker pace than I would have recommended.--and so well did he obey my injunctions of keeping silence, that he would return no answer to my repeated inquiries into the cause of such unnecessary haste.	Andrew led the way accordingly, and at a much brisker pace than I would have recommended.--and so well did he obey my injunctions of keeping silence, that he would return no answer to my repeated inquiries into the cause of such unnecessary haste.	false	889.79	903.01	18.74852
5333_5097_000049_000001	Extricating ourselves by short cuts, known to Andrew, from the numerous stony lanes and by-paths which intersected each other in the vicinity of the Hall, we reached the open heath and riding swiftly across it, took our course among the barren hills which divide England from Scotland on what are called the Middle Marches.	Extricating ourselves by short cuts, known to Andrew, from the numerous stony lanes and by paths which intersected each other in the vicinity of the Hall, we reached the open heath and riding swiftly across it, took our course among the barren hills which divide England from Scotland on what are called the Middle Marches.	false	903.41	920.77	17
5333_5097_000049_000002	The way, or rather the broken track which we occupied, was a happy interchange of bog and shingles; nevertheless, Andrew relented nothing of his speed, but trotted manfully forward at the rate of eight or ten miles an hour.	The way, or rather the broken track which we occupied, was a happy interchange of bog and shingles; nevertheless, Andrew relented nothing of his speed, but trotted manfully forward at the rate of eight or ten miles an hour.	true	921.2	934.15	17.920956
5333_5097_000049_000003	I was both surprised and provoked at the fellow's obstinate persistence, for we made abrupt ascents and descents over ground of a very break-neck character, and traversed the edge of precipices, where a slip of the horse's feet would have consigned the rider to certain death.	I was both surprised and provoked at the fellow's obstinate persistence, for we made abrupt ascents and descents over ground of a very break neck character, and traversed the edge of precipices, where a slip of the horse's feet would have consigned the rider to certain death.	true	934.67	949.87	19.093792
5333_5097_000049_000004	The moon, at best, afforded a dubious and imperfect light; but in some places we were so much under the shade of the mountain as to be in total darkness, and then I could only trace Andrew by the clatter of his horse's feet, and the fire which they struck from the flints.	The moon, at best, afforded a dubious and imperfect light; but in some places we were so much under the shade of the mountain as to be in total darkness, and then I could only trace Andrew by the clatter of his horse's feet, and the fire which they struck from the flints.	true	950.09	964.48	18
5333_5097_000049_000005	At first, this rapid motion, and the attention which, for the sake of personal safety, I was compelled to give to the conduct of my horse, was of service, by forcibly diverting my thoughts from the various painful reflections which must otherwise have pressed on my mind. But at length, after hallooing repeatedly to Andrew to ride slower, I became seriously incensed at his impudent perseverance in refusing either to obey or to reply to me.	At first, this rapid motion, and the attention which, for the sake of personal safety, I was compelled to give to the conduct of my horse, was of service, by forcibly diverting my thoughts from the various painful reflections which must otherwise have pressed on my mind. But at length, after hallooing repeatedly to Andrew to ride slower, I became seriously incensed at his impudent perseverance in refusing either to obey or to reply to me.	true	964.7	989.65	17
5333_5097_000049_000006	My anger was, however, quite impotent.	My anger was, however, quite impotent.	true	990.44	993.7	19.871826
5333_5097_000049_000007	I attempted once or twice to get up alongside of my self-willed guide, with the purpose of knocking him off his horse with the butt-end of my whip; but Andrew was better mounted than I, and either the spirit of the animal which he bestrode, or more probably some presentiment of my kind intentions towards him, induced him to quicken his pace whenever I attempted to make up to him.	I attempted once or twice to get up alongside of my self willed guide, with the purpose of knocking him off his horse with the butt end of my whip; but Andrew was better mounted than I, and either the spirit of the animal which he bestrode, or more probably some presentiment of my kind intentions towards him, induced him to quicken his pace whenever I attempted to make up to him.	false	994.1	1014.4	18.528486
5333_5097_000049_000008	On the other hand, I was compelled to exert my spurs to keep him in sight, for without his guidance I was too well aware that I should never find my way through the howling wilderness which we now traversed at such an unwonted pace.	On the other hand, I was compelled to exert my spurs to keep him in sight, for without his guidance I was too well aware that I should never find my way through the howling wilderness which we now traversed at such an unwonted pace.	false	1014.71	1026.91	18
5333_5097_000049_000009	I was so angry at length, that I threatened to have recourse to my pistols, and send a bullet after the Hotspur Andrew, which should stop his fiery-footed career, if he did not abate it of his own accord.	I was so angry at length, that I threatened to have recourse to my pistols, and send a bullet after the Hotspur Andrew, which should stop his fiery footed career, if he did not abate it of his own accord.	false	1027.43	1039.27	17.601925
5333_5097_000049_000010	Apparently this threat made some impression on the tympanum of his ear, however deaf to all my milder entreaties; for he relaxed his pace upon hearing it, and, suffering me to close up to him, observed, "There wasna muckle sense in riding at sic a daft-like gate."	Apparently this threat made some impression on the tympanum of his ear, however deaf to all my milder entreaties; for he relaxed his pace upon hearing it, and, suffering me to close up to him, observed, "There wasna muckle sense in riding at sic a daft like gate."	false	1039.7	1056.73	18.155289
