4731_95870_000000_000000	CHAPTER X	CHAPTER ten
4731_95870_000023_000000	If death does not result, the woman who has undergone an abortion is not altogether safe from harm.	If death does not result, the woman who has undergone an abortion is not altogether safe from harm.
4731_95870_000025_000001	Even such drugs as are prescribed by physicians have harmful effects, and nostrums recommended by druggists are often worse still.	Even such drugs as are prescribed by physicians have harmful effects, and nostrums recommended by druggists are often worse still.
4731_95870_000026_000000	Even more drastic may be the effect upon the unborn child, for many women fill their systems with poisonous drugs during the first weeks of their pregnancy, only to decide at last, when drugs have failed, as they usually do, to bring the child to birth.	Even more drastic may be the effect upon the unborn child, for many women fill their systems with poisonous drugs during the first weeks of their pregnancy, only to decide at last, when drugs have failed, as they usually do, to bring the child to birth.
4731_95870_000027_000000	There are no statistics, of course, by which we may compute the amount of suffering to mother and child from the use of such drugs, but we know that the total of physical weakness and disease must be astounding.	There are no statistics, of course, by which we may compute the amount of suffering to mother and child from the use of such drugs, but we know that the total of physical weakness and disease must be astounding.
4731_95870_000027_000001	We know that the woman's own system feels the strain of these drugs and that the embryo is usually poisoned by them.	We know that the woman's own system feels the strain of these drugs and that the embryo is usually poisoned by them.
4731_95870_000028_000001	The suffering and the death of these women is squarely upon the heads of the lawmakers and the puritanical, masculine-minded person who insist upon retaining the abominable legal restrictions.	The suffering and the death of these women is squarely upon the heads of the lawmakers and the puritanical, masculine minded person who insist upon retaining the abominable legal restrictions.
4731_95870_000029_000000	Try as they will they cannot escape the truth, nor hide it under the cloak of stupid hypocrisy.	Try as they will they cannot escape the truth, nor hide it under the cloak of stupid hypocrisy.
4731_95870_000030_000000	"He who would combat abortion," says Dr. Hirsch, "and at the same time combat contraceptive measures may be likened to the person who would fight contagious diseases and forbid disinfection.	"He who would combat abortion," says dr Hirsch, "and at the same time combat contraceptive measures may be likened to the person who would fight contagious diseases and forbid disinfection.
4731_95870_000031_000001	It follows, therefore, that America stands at the head of all nations in the huge number of abortions."	It follows, therefore, that America stands at the head of all nations in the huge number of abortions."
4731_95870_000032_000000	There is the case in a nutshell.	There is the case in a nutshell.
4731_95870_000032_000001	Family limitation will always be practiced as it is now being practiced--either by birth control or by abortion.	Family limitation will always be practiced as it is now being practiced-either by birth control or by abortion.
4731_95870_000032_000002	We know that.	We know that.
4731_95870_000032_000003	The one means health and happiness--a stronger, better race.	The one means health and happiness-a stronger, better race.
4731_95870_000033_000001	These conditions give her the choice between the surgeon's instruments and the sacrificing of what is highest and holiest in her--her aspiration to freedom, her desire to protect the children already hers.	These conditions give her the choice between the surgeon's instruments and the sacrificing of what is highest and holiest in her-her aspiration to freedom, her desire to protect the children already hers.
4731_95870_000033_000002	These conditions--not the woman--outface society with this question:	These conditions-not the woman-outface society with this question:
