4731_95870_000000_000000	CHAPTER X	CHAPTER ten	true	15.885	16.845	21.544785
4731_95870_000008_000000	When society holds up its hands in horror at the "crime" of abortion, it forgets at whose door the first and principal responsibility for this practice rests.	When society holds up its hands in horror at the "crime" of abortion, it forgets at whose door the first and principal responsibility for this practice rests.	true	197.115	205.21	20.868599
4731_95870_000008_000001	Does anyone imagine that a woman would submit to abortion if not denied the knowledge of scientific, effective contraceptives?	Does anyone imagine that a woman would submit to abortion if not denied the knowledge of scientific, effective contraceptives?	true	205.58	212.08	19.71291
4731_95870_000008_000002	Does anyone believe that physicians and midwives who perform abortions go from door to door soliciting patronage?	Does anyone believe that physicians and midwives who perform abortions go from door to door soliciting patronage?	false	212.3	218.47	16
4731_95870_000008_000003	The abortionist could not continue his practice for twenty-four hours if it were not for the fact that women come desperately begging for such operations.	The abortionist could not continue his practice for twenty four hours if it were not for the fact that women come desperately begging for such operations.	true	219.05	226.24	20
4731_95870_000008_000004	He could not stay out of jail a day if women did not so generally approve of his services as to hold his identity an open but seldom-betrayed secret.	He could not stay out of jail a day if women did not so generally approve of his services as to hold his identity an open but seldom betrayed secret.	true	226.49	234.61	18.518667
4731_95870_000009_000000	The question, then, is not whether family limitation should be practiced.	The question, then, is not whether family limitation should be practiced.	false	234.98	238.62	20
4731_95870_000009_000001	It _is_ being practiced; it has been practiced for ages and it will always be practiced.	It underscore is underscore being practiced; it has been practiced for ages and it will always be practiced.	false	238.62	243.96	21.745342
4731_95870_000009_000002	The question that society must answer is this: Shall family limitation be achieved through birth control or abortion?	The question that society must answer is this: Shall family limitation be achieved through birth control or abortion?	true	243.96	250.57	20.944815
4731_95870_000009_000003	Shall normal, safe, effective contraceptives be employed, or shall we continue to force women to the abnormal, often dangerous surgical operation?	Shall normal, safe, effective contraceptives be employed, or shall we continue to force women to the abnormal, often dangerous surgical operation?	true	250.61	258.81	20.42268
4731_95870_000010_000000	This question, too, the church, the state and the moralist must answer.	This question, too, the church, the state and the moralist must answer.	false	258.81	263.23	21.628843
4731_95870_000010_000001	The knowledge of contraceptive methods may yet for a time be denied to the woman of the working class, but those who are responsible for denying it to her, and she herself, should understand clearly the dangers to which she is exposed because of the laws which force her into the hands of the abortionist.	The knowledge of contraceptive methods may yet for a time be denied to the woman of the working class, but those who are responsible for denying it to her, and she herself, should understand clearly the dangers to which she is exposed because of the laws which force her into the hands of the abortionist.	false	263.36	272.58	20.235287
4731_95870_000011_000000	To understand the more clearly the difference between birth control by contraceptives and family limitation through abortion it is necessary to know something of the processes of conception.	To understand the more clearly the difference between birth control by contraceptives and family limitation through abortion it is necessary to know something of the processes of conception.	false	272.58	282.22	20.098446
4731_95870_000011_000001	Knowledge of these processes will also enable us to comprehend more thoroughly the dangers to which woman is exposed by our antiquated laws, and how much better it would be for her to employ such preventive measures as would keep her out of the hands of the abortionist, into which the laws now drive her.	Knowledge of these processes will also enable us to comprehend more thoroughly the dangers to which woman is exposed by our antiquated laws, and how much better it would be for her to employ such preventive measures as would keep her out of the hands of the abortionist, into which the laws now drive her.	true	282.44	298.63	20.227352
4731_95870_000012_000000	In every woman's ovaries are imbedded millions of ovules or eggs.	In every woman's ovaries are imbedded millions of ovules or eggs.	true	299.39	303.58	18
4731_95870_000012_000001	They are in every female at birth, and as the girl develops into womanhood, these ovules develop also.	They are in every female at birth, and as the girl develops into womanhood, these ovules develop also.	true	303.8	309.85	21.969202
4731_95870_000012_000002	At a certain age, varying slightly with the individual, the ripest ovule leaves the nest or ovary and comes down one of the tubes connecting with the womb and passes out of the body. When this takes place, it is said that the girl is at the age of puberty.	At a certain age, varying slightly with the individual, the ripest ovule leaves the nest or ovary and comes down one of the tubes connecting with the womb and passes out of the body. When this takes place, it is said that the girl is at the age of puberty.	false	310.31	324.34	19.359648
4731_95870_000012_000003	When it reaches the womb the ovule is ready for the process of conception--that is, fertilization by the male sperm.	When it reaches the womb the ovule is ready for the process of conception-that is, fertilization by the male sperm.	true	324.44	331.44	19.41691
4731_95870_000013_000000	At the time the ovule is ripening, the womb is preparing to receive it.	At the time the ovule is ripening, the womb is preparing to receive it.	true	331.44	335.23	19.333323
4731_95870_000013_000001	This preparation consists of a reinforced blood supply brought to its lining.	This preparation consists of a reinforced blood supply brought to its lining.	false	335.24	339.34	21.532814
4731_95870_000013_000002	If fertilization takes place, the fertilized ovule or ovum will cling to the lining of the womb and there gather its nourishment. If fertilization does not take place, the ovum passes out of the body and the uterus throws off its surplus blood supply.	If fertilization takes place, the fertilized ovule or ovum will cling to the lining of the womb and there gather its nourishment. If fertilization does not take place, the ovum passes out of the body and the uterus throws off its surplus blood supply.	true	339.65	353.95	21.192865
4731_95870_000013_000003	This is called the menstrual period.	This is called the menstrual period.	true	354.05	355.965	24.148808
4731_95870_000013_000004	It occurs about once a month or every twenty-eight days.	It occurs about once a month or every twenty eight days.	true	355.965	358.96	20
4731_95870_000014_000000	In the male organs there are glands called testes.	In the male organs there are glands called testes.	true	359.57	362.235	18.101027
4731_95870_000014_000001	They secrete a fluid called the semen.	They secrete a fluid called the semen.	true	362.235	364.27	19.208117
4731_95870_000014_000002	In the semen is the life-giving principle called the sperm.	In the semen is the life giving principle called the sperm.	true	364.46	367.66	20.510954
4731_95870_000015_000000	When intercourse takes place, if no preventive is employed, the semen is deposited in the woman's vagina.	When intercourse takes place, if no preventive is employed, the semen is deposited in the woman's vagina.	true	367.97	373.785	21
4731_95870_000015_000001	The ovule is not in the vagina, but is in the womb, farther up, or perhaps in the tube on its way to the womb.	The ovule is not in the vagina, but is in the womb, farther up, or perhaps in the tube on its way to the womb.	false	373.785	380.16	18.755716
4731_95870_000015_000002	As steel is attracted to the magnet, the sperm of the male starts on its way to seek the ovum.	As steel is attracted to the magnet, the sperm of the male starts on its way to seek the ovum.	false	380.16	385.09	20.559216
4731_95870_000015_000003	Several of these sperm cells start, but only one enters the ovum and is absorbed into it.	Several of these sperm cells start, but only one enters the ovum and is absorbed into it.	true	385.4	390.52	19.349506
4731_95870_000015_000004	This process is called fertilization, conception or impregnation.	This process is called fertilization, conception or impregnation.	true	390.71	394.66	21.728966
4731_95870_000016_000000	If no children are desired, the meeting of the male sperm and the ovum must be prevented.	If no children are desired, the meeting of the male sperm and the ovum must be prevented.	true	395.15	399.82	18.450037
4731_95870_000016_000001	When scientific means are employed to prevent this meeting, one is said to practice birth control.	When scientific means are employed to prevent this meeting, one is said to practice birth control.	true	399.98	406	22.278358
4731_95870_000016_000002	The means used is known as a contraceptive.	The means used is known as a contraceptive.	true	406.1	408.52	22.772802
4731_95870_000017_000000	If, however, a contraceptive is not used and the sperm meets the ovule and development begins, any attempt at removing it or stopping its further growth is called abortion.	If, however, a contraceptive is not used and the sperm meets the ovule and development begins, any attempt at removing it or stopping its further growth is called abortion.	false	409.07	418.09	19.603476
4731_95870_000018_000000	There is no doubt that women are apt to look upon abortion as of little consequence and to treat it accordingly.	There is no doubt that women are apt to look upon abortion as of little consequence and to treat it accordingly.	true	418.49	424.06	18.722027
4731_95870_000018_000001	An abortion is as important a matter as a confinement and requires as much attention as the birth of a child at its full term.	An abortion is as important a matter as a confinement and requires as much attention as the birth of a child at its full term.	true	424.28	430.99	20.457178
4731_95870_000019_000000	"The immediate dangers of abortion," says Dr. J. Clifton Edgar, in his book, "_The Practice of Obstetrics_," "are hemorrhage, retention of an adherent placenta, sepsis, tetanus, perforation of the uterus.	"The immediate dangers of abortion," says dr j Clifton Edgar, in his book, "underscore The Practice of Obstetrics underscore," "are hemorrhage, retention of an adherent placenta, sepsis, tetanus, perforation of the uterus.	false	431.69	443.59	20.526714
4731_95870_000019_000001	They also cause sterility, anemia, malignant diseases, displacements, neurosis, and endometritis."	They also cause sterility, anemia, malignant diseases, displacements, neurosis, and endometritis."	true	443.66	449.65	19
4731_95870_000020_000000	In plain, everyday language, in an abortion there is always a very serious risk to the health and often to the life of the patient.	In plain, everyday language, in an abortion there is always a very serious risk to the health and often to the life of the patient.	false	450.47	457.33	19.308014
4731_95870_000021_000000	It is only the women of wealth who can afford the best medical skill, care and treatment both at the time of the operation and afterwards. In this way they escape the usual serious consequences.	It is only the women of wealth who can afford the best medical skill, care and treatment both at the time of the operation and afterwards. In this way they escape the usual serious consequences.	false	457.55	468.28	20.396496
4731_95870_000022_000000	The women whose incomes are limited and who must continue at work before they have recovered from the effects of an abortion are the great army of sufferers.	The women whose incomes are limited and who must continue at work before they have recovered from the effects of an abortion are the great army of sufferers.	false	468.71	476.62	19.834478
4731_95870_000022_000001	It is among such that the deaths due to abortion usually ensue.	It is among such that the deaths due to abortion usually ensue.	true	476.84	480.22	17.978846
4731_95870_000022_000002	It is these, too, who are most often forced to resort to such operations.	It is these, too, who are most often forced to resort to such operations.	true	480.53	484.9	22.921244
4731_95870_000023_000000	If death does not result, the woman who has undergone an abortion is not altogether safe from harm.	If death does not result, the woman who has undergone an abortion is not altogether safe from harm.	true	485.3	490.26	20.11188
4731_95870_000023_000001	The womb may not return to its natural size, but remain large and heavy, tending to fall away from its natural position.	The womb may not return to its natural size, but remain large and heavy, tending to fall away from its natural position.	true	490.26	496.48	19
4731_95870_000023_000002	Abortion often leaves the uterus in a condition to conceive easily again and unless prevention is strictly followed another pregnancy will surely occur.	Abortion often leaves the uterus in a condition to conceive easily again and unless prevention is strictly followed another pregnancy will surely occur.	true	496.82	504.85	19.499174
4731_95870_000023_000003	Frequent abortions tend to cause barrenness and serious, painful pelvic ailments.	Frequent abortions tend to cause barrenness and serious, painful pelvic ailments.	false	505.04	509.65	18.922358
4731_95870_000023_000004	These and other conditions arising from such operations are very likely to ruin a woman's general health.	These and other conditions arising from such operations are very likely to ruin a woman's general health.	true	510.05	515.59	19.242865
4731_95870_000024_000000	While there are cases where even the law recognizes an abortion as justifiable if recommended by a physician, I assert that the hundreds of thousands of abortions performed in America each year are a disgrace to civilization.	While there are cases where even the law recognizes an abortion as justifiable if recommended by a physician, I assert that the hundreds of thousands of abortions performed in America each year are a disgrace to civilization.	false	516.05	528.79	19.654018
4731_95870_000025_000000	The effects of such operations upon a woman, serious as they may be, are nothing as compared to the injury done her general health by drugs taken to produce the same result.	The effects of such operations upon a woman, serious as they may be, are nothing as compared to the injury done her general health by drugs taken to produce the same result.	false	529.4	538.75	19.467758
4731_95870_000025_000001	Even such drugs as are prescribed by physicians have harmful effects, and nostrums recommended by druggists are often worse still.	Even such drugs as are prescribed by physicians have harmful effects, and nostrums recommended by druggists are often worse still.	true	538.94	546.37	20.155943
4731_95870_000026_000000	Even more drastic may be the effect upon the unborn child, for many women fill their systems with poisonous drugs during the first weeks of their pregnancy, only to decide at last, when drugs have failed, as they usually do, to bring the child to birth.	Even more drastic may be the effect upon the unborn child, for many women fill their systems with poisonous drugs during the first weeks of their pregnancy, only to decide at last, when drugs have failed, as they usually do, to bring the child to birth.	true	546.41	559.6	20.463346
4731_95870_000027_000000	There are no statistics, of course, by which we may compute the amount of suffering to mother and child from the use of such drugs, but we know that the total of physical weakness and disease must be astounding.	There are no statistics, of course, by which we may compute the amount of suffering to mother and child from the use of such drugs, but we know that the total of physical weakness and disease must be astounding.	true	559.76	570.4	20.683434
4731_95870_000027_000001	We know that the woman's own system feels the strain of these drugs and that the embryo is usually poisoned by them.	We know that the woman's own system feels the strain of these drugs and that the embryo is usually poisoned by them.	true	570.71	576.4	20.12492
4731_95870_000027_000002	The child is likely to be rickety, have heart trouble, kidney disorder, or to be generally weak in its powers of resistance.	The child is likely to be rickety, have heart trouble, kidney disorder, or to be generally weak in its powers of resistance.	false	576.44	583.81	21.5297
4731_95870_000027_000003	If it does not die before it reaches its first year, it is probable that it will have to struggle against some of these weaknesses until its adolescent period.	If it does not die before it reaches its first year, it is probable that it will have to struggle against some of these weaknesses until its adolescent period.	true	584	591.94	19.41779
4731_95870_000028_000000	It needs no assertion of mine to call attention to the grim fact that the laws prohibiting the imparting of information concerning the preventing of conception are responsible for tens of thousands of deaths each year in this country and an untold amount of sickness and sorrow.	It needs no assertion of mine to call attention to the grim fact that the laws prohibiting the imparting of information concerning the preventing of conception are responsible for tens of thousands of deaths each year in this country and an untold amount of sickness and sorrow.	false	592.55	606.97	21.166914
4731_95870_000028_000001	The suffering and the death of these women is squarely upon the heads of the lawmakers and the puritanical, masculine-minded person who insist upon retaining the abominable legal restrictions.	The suffering and the death of these women is squarely upon the heads of the lawmakers and the puritanical, masculine minded person who insist upon retaining the abominable legal restrictions.	true	607.28	617.71	21.028341
4731_95870_000029_000000	Try as they will they cannot escape the truth, nor hide it under the cloak of stupid hypocrisy.	Try as they will they cannot escape the truth, nor hide it under the cloak of stupid hypocrisy.	true	618.02	623.32	20.792921
4731_95870_000029_000001	If the laws against imparting knowledge of scientific birth control were repealed, nearly all of the 1,000,000 or 2,000,000 women who undergo abortions in the United States each year would escape the agony of the surgeon's instruments and the long trail of disease, suffering and death which so often follows.	If the laws against imparting knowledge of scientific birth control were repealed, nearly all of the one million or two million women who undergo abortions in the United States each year would escape the agony of the surgeon's instruments and the long trail of disease, suffering and death which so often follows.	false	623.48	639.7	20.077505
4731_95870_000030_000000	"He who would combat abortion," says Dr. Hirsch, "and at the same time combat contraceptive measures may be likened to the person who would fight contagious diseases and forbid disinfection.	"He who would combat abortion," says dr Hirsch, "and at the same time combat contraceptive measures may be likened to the person who would fight contagious diseases and forbid disinfection.	true	640.22	650.89	20.42221
4731_95870_000030_000001	For contraceptive measures are important weapons in the fight against abortion.	For contraceptive measures are important weapons in the fight against abortion.	true	651.02	654.97	19.719309
4731_95870_000031_000000	"America has a law since 1873 which prohibits by criminal statute the distribution and regulation of contraceptive measures.	"America has a law since eighteen seventy three which prohibits by criminal statute the distribution and regulation of contraceptive measures.	true	655.34	662.74	19
4731_95870_000031_000001	It follows, therefore, that America stands at the head of all nations in the huge number of abortions."	It follows, therefore, that America stands at the head of all nations in the huge number of abortions."	true	662.75	667.96	20.513266
4731_95870_000032_000000	There is the case in a nutshell.	There is the case in a nutshell.	true	668.75	670.59	23.386242
4731_95870_000032_000001	Family limitation will always be practiced as it is now being practiced--either by birth control or by abortion.	Family limitation will always be practiced as it is now being practiced-either by birth control or by abortion.	true	670.59	676.93	21.75873
4731_95870_000032_000002	We know that.	We know that.	true	677.09	678.135	24.785233
4731_95870_000032_000003	The one means health and happiness--a stronger, better race.	The one means health and happiness-a stronger, better race.	true	678.135	681.37	21.008505
4731_95870_000032_000004	The other means disease, suffering, death.	The other means disease, suffering, death.	false	681.53	683.89	23.073563
4731_95870_000033_000000	The woman who goes to the abortionist's table is not a criminal but a martyr--a martyr to the bitter, unthinkable conditions brought about by the blindness of society at large.	The woman who goes to the abortionist's table is not a criminal but a martyr-a martyr to the bitter, unthinkable conditions brought about by the blindness of society at large.	false	684.38	693.1	20
4731_95870_000033_000001	These conditions give her the choice between the surgeon's instruments and the sacrificing of what is highest and holiest in her--her aspiration to freedom, her desire to protect the children already hers.	These conditions give her the choice between the surgeon's instruments and the sacrificing of what is highest and holiest in her-her aspiration to freedom, her desire to protect the children already hers.	true	693.29	704.2	21.774118
4731_95870_000033_000002	These conditions--not the woman--outface society with this question:	These conditions-not the woman-outface society with this question:	true	704.66	708.79	22.509369
4731_95870_000034_000000	"Contraceptives or Abortion--which shall it be?"	"Contraceptives or Abortion-which shall it be?"	false	709.19	715.38	20.186928
4731_95870_000035_000000	CHAPTER XI	CHAPTER eleven	false	715.38	722.07	15.439334
