925_8157_000000_000000	II.	two.	false	22.44	23.655	33.069828
925_8157_000004_000004	It is to make its burden light.	It is to make its burden light.	true	108.2	110.86	29.905775
925_8157_000004_000005	Attached to the oxen in any other way than by a yoke, the plough would be intolerable.	Attached to the oxen in any other way than by a yoke, the plough would be intolerable.	true	111.56	119.41	23.713028
925_8157_000004_000006	Worked by means of a yoke, it is light.	Worked by means of a yoke, it is light.	true	120.26	124.965	21.26092
925_8157_000004_000007	A yoke is not an instrument of torture; it is	A yoke is not an instrument of torture; it is	true	124.965	128.61	23.24754
925_8157_000005_000000	AN INSTRUMENT OF MERCY.	AN INSTRUMENT OF MERCY.	true	128.61	130.57	18
925_8157_000006_000000	It is not a malicious contrivance for making work hard; it is a gentle device to make hard labor light.	It is not a malicious contrivance for making work hard; it is a gentle device to make hard labor light.	true	131.39	140.32	22.583607
925_8157_000006_000001	It is not meant to give pain, but to save pain.	It is not meant to give pain, but to save pain.	true	140.96	145.3	20.112503
925_8157_000006_000002	And yet men speak of the yoke of Christ as if it were slavery, and look upon those who wear it as objects of compassion.	And yet men speak of the yoke of Christ as if it were slavery, and look upon those who wear it as objects of compassion.	false	145.88	156.52	21.843838
925_8157_000006_000003	For generations we have had homilies on "The Yoke of Christ"--some delighting in portraying its narrow exactions; some seeking in these exactions the marks of its divinity; others apologizing for it, and toning it down; still others assuring us that, although it be very bad, it is not to be compared with the positive blessings of Christianity.	For generations we have had homilies on "The Yoke of Christ"--some delighting in portraying its narrow exactions; some seeking in these exactions the marks of its divinity; others apologizing for it, and toning it down; still others assuring us that, although it be very bad, it is not to be compared with the positive blessings of Christianity.	true	157.49	187.09	21.272266
925_8157_000006_000004	How many, especially among the young, has this one mistaken phrase driven forever away from the kingdom of God?	How many, especially among the young, has this one mistaken phrase driven forever away from the kingdom of God?	true	188.42	198.85	22
925_8157_000006_000005	Instead of making Christ attractive, it makes Him out a taskmaster, narrowing life by petty restrictions, calling for self-denial where none is necessary, making misery a virtue under the plea that it is the yoke of Christ, and happiness criminal because it now and then evades it. According to this conception, Christians are at best the victims of a depressing fate; their life is a penance; and their hope for the next world purchased by a slow martyrdom in this.	Instead of making Christ attractive, it makes Him out a taskmaster, narrowing life by petty restrictions, calling for self denial where none is necessary, making misery a virtue under the plea that it is the yoke of Christ, and happiness criminal because it now and then evades it. According to this conception, Christians are at best the victims of a depressing fate; their life is a penance; and their hope for the next world purchased by a slow martyrdom in this.	false	200.03	241.36	23.021446
925_8157_000007_000000	The mistake has arisen from taking the word "yoke" here in the same sense as in the expressions "under the yoke," or "wear the yoke in his youth." But in Christ's illustration it is not the _jugum_ of the Roman soldier, but the simple "harness" or "ox-collar" of the Eastern peasant.	The mistake has arisen from taking the word "yoke" here in the same sense as in the expressions "under the yoke," or "wear the yoke in his youth." But in Christ's illustration it is not the underscore jugum underscore of the Roman soldier, but the simple "harness" or "ox collar" of the Eastern peasant.	false	242.54	267.07	22.006186
925_8157_000007_000001	It is the literal wooden yoke which He, with His own hands in the carpenter shop, had probably often made.	It is the literal wooden yoke which He, with His own hands in the carpenter shop, had probably often made.	true	267.89	277.18	22.342667
925_8157_000007_000002	He knew the difference between a smooth yoke and a rough one, a bad fit and a good fit; the difference also it made to the patient animal which had to wear it. The rough yoke galled, and the burden was heavy; the smooth yoke caused no pain, and the load was lightly drawn.	He knew the difference between a smooth yoke and a rough one, a bad fit and a good fit; the difference also it made to the patient animal which had to wear it. The rough yoke galled, and the burden was heavy; the smooth yoke caused no pain, and the load was lightly drawn.	true	277.85	301.09	21.95433
925_8157_000007_000003	The badly fitted harness was a misery; the well-fitted collar was "easy."	The badly fitted harness was a misery; the well fitted collar was "easy."	true	301.76	308.14	19.035812
925_8157_000008_000000	And what was the "burden"?	And what was the "burden"?	true	309.35	311.26	27
925_8157_000008_000001	It was not some special burden laid upon the Christian, some unique infliction that they alone must bear.	It was not some special burden laid upon the Christian, some unique infliction that they alone must bear.	false	312.14	320.68	23
925_8157_000008_000002	It was what all men bear.	It was what all men bear.	true	321.32	323.68	25.743526
925_8157_000008_000003	It was simply life, human life itself, the general burden of life which all must carry with them from the cradle to the grave.	It was simply life, human life itself, the general burden of life which all must carry with them from the cradle to the grave.	true	323.99	335.35	20.934843
925_8157_000008_000004	Christ saw that men took life painfully.	Christ saw that men took life painfully.	true	336.26	339.85	20.189194
925_8157_000008_000005	To some it was a weariness, to others a failure, to many a tragedy, to all a struggle and a pain.	To some it was a weariness, to others a failure, to many a tragedy, to all a struggle and a pain.	true	340.34	350.17	19.048666
925_8157_000008_000006	How to carry this burden of life had been the whole world's problem.	How to carry this burden of life had been the whole world's problem.	true	351.23	356.68	20
925_8157_000008_000007	It is still the whole world's problem.	It is still the whole world's problem.	true	357.35	360.46	25
925_8157_000008_000008	And here is Christ's solution: "Carry it as I do.	And here is Christ's solution: "Carry it as I do.	true	361.01	366.7	19.402891
925_8157_000008_000009	Take life as I take it.	Take life as I take it.	true	367.01	369.31	27.891312
925_8157_000008_000010	Look at it from My point of view.	Look at it from My point of view.	true	369.65	372.19	25.346615
925_8157_000008_000011	Interpret it upon My principles.	Interpret it upon My principles.	true	372.47	375.43	26
925_8157_000008_000012	Take My yoke and learn of Me, and you will find it easy.	Take My yoke and learn of Me, and you will find it easy.	true	376.07	382.03	20.500168
925_8157_000008_000013	For My yoke is easy, works easily, sits right upon the shoulders, and _therefore_ My burden is light."	For My yoke is easy, works easily, sits right upon the shoulders, and underscore therefore underscore My burden is light."	false	382.88	393.67	21.065878
925_8157_000009_000000	There is no suggestion here that religion will absolve any man from bearing burdens.	There is no suggestion here that religion will absolve any man from bearing burdens.	true	395	401.68	19
925_8157_000009_000001	That would be to absolve him from living, since it is life itself that is the burden.	That would be to absolve him from living, since it is life itself that is the burden.	true	402.11	408.52	21
925_8157_000009_000002	What Christianity does propose is to make it tolerable.	What Christianity does propose is to make it tolerable.	true	409.4	414.13	24.676407
925_8157_000010_000000	CHRIST'S YOKE	CHRIST'S YOKE	true	414.8	415.935	17.805761
925_8157_000011_000000	is simply His secret for the alleviation of human life, His prescription for the best and happiest method of living.	is simply His secret for the alleviation of human life, His prescription for the best and happiest method of living.	true	415.935	426.55	25.643612
925_8157_000011_000001	Men harness themselves to the work and stress of the world in clumsy and unnatural ways.	Men harness themselves to the work and stress of the world in clumsy and unnatural ways.	true	427.46	434.8	19
925_8157_000011_000002	The harness they put on is antiquated.	The harness they put on is antiquated.	true	435.35	438.85	27.913406
925_8157_000011_000003	A rough, ill-fitted collar at the best, they make its strain and friction past enduring, by placing it where the neck is most sensitive; and by mere continuous irritation this sensitiveness increases until the whole nature is quick and sore.	A rough, ill fitted collar at the best, they make its strain and friction past enduring, by placing it where the neck is most sensitive; and by mere continuous irritation this sensitiveness increases until the whole nature is quick and sore.	true	438.92	460.39	21.973267
925_8157_000012_000000	This is the origin, among other things, of a disease called "touchiness"--a disease which, in spite of its innocent name, is one of the gravest sources of restlessness in the world.	This is the origin, among other things, of a disease called "touchiness"--a disease which, in spite of its innocent name, is one of the gravest sources of restlessness in the world.	true	461.48	477.01	21.727936
925_8157_000012_000001	Touchiness, when it becomes chronic, is a morbid condition of the inward disposition. It is self-love inflamed to the acute point; conceit, _with a hair-trigger_.	Touchiness, when it becomes chronic, is a morbid condition of the inward disposition. It is self love inflamed to the acute point; conceit, underscore with a hair trigger underscore.	false	477.44	492.51	22.229282
925_8157_000012_000002	The cure is to shift the yoke to some other place; to let men and things touch us through some new and perhaps as yet unused part of our nature; to become meek and lowly in heart while the old sensitiveness is becoming numb from want of use.	The cure is to shift the yoke to some other place; to let men and things touch us through some new and perhaps as yet unused part of our nature; to become meek and lowly in heart while the old sensitiveness is becoming numb from want of use.	false	492.51	512.65	21.71533
925_8157_000013_000000	It is the beautiful work of Christianity everywhere to adjust the burden of life to those who bear it, and them to it.	It is the beautiful work of Christianity everywhere to adjust the burden of life to those who bear it, and them to it.	false	514.46	524.59	22.880959
925_8157_000013_000001	It has a perfectly miraculous gift of healing.	It has a perfectly miraculous gift of healing.	true	525.47	529.24	24
925_8157_000013_000002	Without doing any violence to human nature it sets it right with life, harmonizing it with all surrounding things, and restoring those who are jaded with the fatigue and dust of the world to a new grace of living.	Without doing any violence to human nature it sets it right with life, harmonizing it with all surrounding things, and restoring those who are jaded with the fatigue and dust of the world to a new grace of living.	true	529.88	548.95	22.467459
925_8157_000013_000003	In the mere matter of altering the perspective of life and changing the proportions of things, its function in lightening the care of man is altogether its own.	In the mere matter of altering the perspective of life and changing the proportions of things, its function in lightening the care of man is altogether its own.	true	550.49	563.92	22.127354
925_8157_000014_000000	The weight of a load depends upon the attraction of the earth.	The weight of a load depends upon the attraction of the earth.	false	564.83	570.06	25.221832
925_8157_000014_000001	Suppose the attraction of the earth were removed?	Suppose the attraction of the earth were removed?	true	570.06	573.73	24.206917
925_8157_000014_000002	A ton on some other planet, where the attraction of gravity is less, does not weigh half a ton. Now Christianity removes the attraction of the earth; and this is one way in which it diminishes man's burden.	A ton on some other planet, where the attraction of gravity is less, does not weigh half a ton. Now Christianity removes the attraction of the earth; and this is one way in which it diminishes man's burden.	false	574.13	592.45	21.849901
925_8157_000014_000003	It makes them citizens of another world.	It makes them citizens of another world.	true	593.42	596.89	19.774677
925_8157_000014_000004	What was a ton yesterday is not half a ton today.	What was a ton yesterday is not half a ton today.	true	597.29	602.08	23.770502
925_8157_000014_000005	So without changing one's circumstances, merely by offering a wider horizon and a different standard, it alters the whole aspect of the world.	So without changing one's circumstances, merely by offering a wider horizon and a different standard, it alters the whole aspect of the world.	true	602.78	616	20.73148
925_8157_000015_000000	Christianity as Christ taught is the truest philosophy of life ever spoken.	Christianity as Christ taught is the truest philosophy of life ever spoken.	false	617.15	623.92	26.110214
925_8157_000015_000001	But let us be quite sure when we speak of Christianity that we mean Christ's Christianity.	But let us be quite sure when we speak of Christianity that we mean Christ's Christianity.	true	624.53	632.14	23.71967
925_8157_000015_000002	Other versions are either caricatures, or exaggerations, or misunderstandings, or shortsighted and surface readings.	Other versions are either caricatures, or exaggerations, or misunderstandings, or shortsighted and surface readings.	true	632.69	643.84	20.804281
925_8157_000015_000003	For the most part their attainment is hopeless and the results wretched.	For the most part their attainment is hopeless and the results wretched.	true	644.96	650.98	21.484587
925_8157_000015_000004	But I care not who the person is, or through what vale of tears he has passed, or is about to pass, there is a new life for him along this path.	But I care not who the person is, or through what vale of tears he has passed, or is about to pass, there is a new life for him along this path.	false	651.8	665.4	20.861597
925_8157_000016_000000	III. HOW FRUITS GROW.	three. HOW FRUITS GROW.	false	665.4	665.76	5
925_8157_000017_000000	Were Rest my subject, there are other things I should wish to say about it, and other kinds of Rest of which I should like to speak. But that is not my subject.	Were Rest my subject, there are other things I should wish to say about it, and other kinds of Rest of which I should like to speak. But that is not my subject.	false	665.76	667.65	100
925_8157_000017_000001	My theme is that the Christian experiences are not the work of magic, but come under the law of Cause and Effect. I have chosen Rest only as a single illustration of the working of that principle.	My theme is that the Christian experiences are not the work of magic, but come under the law of Cause and Effect. I have chosen Rest only as a single illustration of the working of that principle.	false	667.65	667.83	8
925_8157_000017_000002	If there were time I might next run over all the Christian experiences in turn, and show the same wide law applies to each; but I think it may serve the better purpose if I leave this further exercise to yourselves.	If there were time I might next run over all the Christian experiences in turn, and show the same wide law applies to each; but I think it may serve the better purpose if I leave this further exercise to yourselves.	false	667.83	668.1	12
925_8157_000017_000003	I know no Bible study that you will find more full of fruit, or which will take you nearer to the ways of God, or make the Christian life itself more solid or more sure.	I know no Bible study that you will find more full of fruit, or which will take you nearer to the ways of God, or make the Christian life itself more solid or more sure.	false	668.1	670.62	16.923714
925_8157_000017_000004	I shall add only a single other illustration of what I mean, before I close.	I shall add only a single other illustration of what I mean, before I close.	false	670.62	672.9	11.84437
