3368_170952_000000_000000	I entirely agree, he said, in these principles, and promise to make them my laws.	I entirely agree, he said, in these principles, and promise to make them my laws.	false	2.46	21.06	23.69975
3368_170952_000056_000000	Yes, I replied; but that surely is what ought not to be, as the argument has just proved to us; and by that proof we must abide until it is disproved by a better.	Yes, I replied; but that surely is what ought not to be, as the argument has just proved to us; and by that proof we must abide until it is disproved by a better.	true	383.6	392.95	23.07466
3368_170952_000057_000000	It ought not to be.	It ought not to be.	true	393.77	395.05	24.91844
3368_170952_000058_000000	Neither ought our guardians to be given to laughter.	Neither ought our guardians to be given to laughter.	true	395.36	398.08	22.325317
3368_170952_000058_000001	For a fit of laughter which has been indulged to excess almost always produces a violent reaction.	For a fit of laughter which has been indulged to excess almost always produces a violent reaction.	true	398.27	404.05	23.304703
3368_170952_000059_000000	So I believe.	So I believe.	true	404.27	405.58	26.825663
3368_170952_000060_000000	Then persons of worth, even if only mortal men, must not be represented as overcome by laughter, and still less must such a representation of the gods be allowed.	Then persons of worth, even if only mortal men, must not be represented as overcome by laughter, and still less must such a representation of the gods be allowed.	true	406.1	415.87	22.42522
3368_170952_000061_000000	Still less of the gods, as you say, he replied.	Still less of the gods, as you say, he replied.	true	416.33	419.32	20.791758
3368_170952_000062_000000	Then we shall not suffer such an expression to be used about the gods as that of Homer when he describes how	Then we shall not suffer such an expression to be used about the gods as that of Homer when he describes how	false	419.9	425.26	22.30595
3368_170952_000063_000000	'Inextinguishable laughter arose among the blessed gods, when they saw Hephaestus bustling about the mansion.'	'Inextinguishable laughter arose among the blessed gods, when they saw Hephaestus bustling about the mansion.'	true	425.87	432.19	22.680391
3368_170952_000064_000000	On your views, we must not admit them.	On your views, we must not admit them.	true	432.92	435.79	23.111437
3368_170952_000065_000000	On my views, if you like to father them on me; that we must not admit them is certain.	On my views, if you like to father them on me; that we must not admit them is certain.	true	436.19	441.79	24.033
3368_170952_000066_000000	Again, truth should be highly valued; if, as we were saying, a lie is useless to the gods, and useful only as a medicine to men, then the use of such medicines should be restricted to physicians; private individuals have no business with them.	Again, truth should be highly valued; if, as we were saying, a lie is useless to the gods, and useful only as a medicine to men, then the use of such medicines should be restricted to physicians; private individuals have no business with them.	false	442.64	457	22.465765
3368_170952_000067_000000	Clearly not, he said.	Clearly not, he said.	true	457.22	458.74	27.760868
3368_170952_000068_000000	Then if any one at all is to have the privilege of lying, the rulers of the State should be the persons; and they, in their dealings either with enemies or with their own citizens, may be allowed to lie for the public good.	Then if any one at all is to have the privilege of lying, the rulers of the State should be the persons; and they, in their dealings either with enemies or with their own citizens, may be allowed to lie for the public good.	true	459.5	471.28	22.665768
3368_170952_000068_000001	But nobody else should meddle with anything of the kind; and although the rulers have this privilege, for a private man to lie to them in return is to be deemed a more heinous fault than for the patient or the pupil of a gymnasium not to speak the truth about his own bodily illnesses to the physician or to the trainer, or for a sailor not to tell the captain what is happening about the ship and the rest of the crew, and how things are going with himself or his fellow sailors.	But nobody else should meddle with anything of the kind; and although the rulers have this privilege, for a private man to lie to them in return is to be deemed a more heinous fault than for the patient or the pupil of a gymnasium not to speak the truth about his own bodily illnesses to the physician or to the trainer, or for a sailor not to tell the captain what is happening about the ship and the rest of the crew, and how things are going with himself or his fellow sailors.	false	471.5	495.4	23.189478
3368_170952_000069_000000	Most true, he said.	Most true, he said.	true	495.65	497.02	17.635212
3368_170952_000070_000000	If, then, the ruler catches anybody beside himself lying in the State,	If, then, the ruler catches anybody beside himself lying in the State,	true	497.27	501.91	23.678768
3368_170952_000071_000000	'Any of the craftsmen, whether he be priest or physician or carpenter,'	'Any of the craftsmen, whether he be priest or physician or carpenter,'	true	502.07	506.32	24.282688
3368_170952_000072_000000	he will punish him for introducing a practice which is equally subversive and destructive of ship or State.	he will punish him for introducing a practice which is equally subversive and destructive of ship or State.	true	506.72	512.38	24.451374
3368_170952_000073_000000	Most certainly, he said, if our idea of the State is ever carried out.	Most certainly, he said, if our idea of the State is ever carried out.	true	512.63	516.19	21.010166
3368_170952_000074_000000	In the next place our youth must be temperate?	In the next place our youth must be temperate?	true	517.19	519.87	25.134518
3368_170952_000075_000000	Certainly.	Certainly.	true	519.87	520.72	23.579573
3368_170952_000076_000000	Are not the chief elements of temperance, speaking generally, obedience to commanders and self-control in sensual pleasures?	Are not the chief elements of temperance, speaking generally, obedience to commanders and self control in sensual pleasures?	false	521.24	527.895	24.75104
3368_170952_000077_000000	True.	True.	true	527.895	528.58	27.506239
3368_170952_000078_000000	Then we shall approve such language as that of Diomede in Homer,	Then we shall approve such language as that of Diomede in Homer,	true	529.4	532.69	22.464853
3368_170952_000079_000000	'Friend, sit still and obey my word,'	'Friend, sit still and obey my word,'	true	532.76	535.48	22.13176
3368_170952_000080_000000	and the verses which follow,	and the verses which follow,	true	535.64	537.13	22.777544
3368_170952_000081_000000	'The Greeks marched breathing prowess, ...in silent awe of their leaders,'	'The Greeks marched breathing prowess, ...in silent awe of their leaders,'	true	537.56	542.23	24.67755
3368_170952_000082_000000	and other sentiments of the same kind.	and other sentiments of the same kind.	true	542.93	545.11	19.48227
3368_170952_000083_000000	We shall.	We shall.	true	545.27	546.19	23.751644
3368_170952_000084_000000	What of this line,	What of this line,	true	546.89	548.11	23.01554
3368_170952_000085_000000	'O heavy with wine, who hast the eyes of a dog and the heart of a stag,'	'O heavy with wine, who hast the eyes of a dog and the heart of a stag,'	false	548.12	552.39	21.965088
3368_170952_000086_000000	and of the words which follow?	and of the words which follow?	false	552.39	554.14	24.760391
3368_170952_000086_000001	Would you say that these, or any similar impertinences which private individuals are supposed to address to their rulers, whether in verse or prose, are well or ill spoken?	Would you say that these, or any similar impertinences which private individuals are supposed to address to their rulers, whether in verse or prose, are well or ill spoken?	false	554.42	563.41	22.447886
3368_170952_000087_000000	They are ill spoken.	They are ill spoken.	true	563.51	564.91	25.984428
3368_170952_000088_000000	They may very possibly afford some amusement, but they do not conduce to temperance.	They may very possibly afford some amusement, but they do not conduce to temperance.	true	565.52	570.76	23.215927
3368_170952_000088_000001	And therefore they are likely to do harm to our young men--you would agree with me there?	And therefore they are likely to do harm to our young men-you would agree with me there?	false	571.04	575.98	23.888353
3368_170952_000089_000000	Yes.	Yes.	true	576.02	576.7	26.356636
3368_170952_000090_000000	And then, again, to make the wisest of men say that nothing in his opinion is more glorious than	And then, again, to make the wisest of men say that nothing in his opinion is more glorious than	true	577.19	582.55	22.89031
3368_170952_000091_000000	'When the tables are full of bread and meat, and the cup-bearer carries round wine which he draws from the bowl and pours into the cups,'	'When the tables are full of bread and meat, and the cup bearer carries round wine which he draws from the bowl and pours into the cups,'	true	582.71	589.18	23.545984
3368_170952_000092_000000	is it fit or conducive to temperance for a young man to hear such words? Or the verse	is it fit or conducive to temperance for a young man to hear such words? Or the verse	true	589.7	594.91	23.963205
3368_170952_000093_000000	'The saddest of fates is to die and meet destiny from hunger?'	'The saddest of fates is to die and meet destiny from hunger?'	true	594.92	598.96	23.702429
3368_170952_000094_000000	What would you say again to the tale of Zeus, who, while other gods and men were asleep and he the only person awake, lay devising plans, but forgot them all in a moment through his lust, and was so completely overcome at the sight of Here that he would not even go into the hut, but wanted to lie with her on the ground, declaring that he had never been in such a state of rapture before, even when they first met one another	What would you say again to the tale of Zeus, who, while other gods and men were asleep and he the only person awake, lay devising plans, but forgot them all in a moment through his lust, and was so completely overcome at the sight of Here that he would not even go into the hut, but wanted to lie with her on the ground, declaring that he had never been in such a state of rapture before, even when they first met one another	false	599.87	623.26	22.323278
3368_170952_000095_000000	'Without the knowledge of their parents;'	'Without the knowledge of their parents;'	true	623.51	625.63	27.813995
3368_170952_000096_000000	or that other tale of how Hephaestus, because of similar goings on, cast a chain around Ares and Aphrodite?	or that other tale of how Hephaestus, because of similar goings on, cast a chain around Ares and Aphrodite?	true	626.33	633.13	22.501762
3368_170952_000097_000000	Indeed, he said, I am strongly of opinion that they ought not to hear that sort of thing.	Indeed, he said, I am strongly of opinion that they ought not to hear that sort of thing.	true	633.83	638.5	25.314348
3368_170952_000098_000000	But any deeds of endurance which are done or told by famous men, these they ought to see and hear; as, for example, what is said in the verses,	But any deeds of endurance which are done or told by famous men, these they ought to see and hear; as, for example, what is said in the verses,	false	639.14	647.26	23.011063
3368_170952_000099_000000	'He smote his breast, and thus reproached his heart, Endure, my heart; far worse hast thou endured!'	'He smote his breast, and thus reproached his heart, Endure, my heart; far worse hast thou endured!'	false	647.78	654.315	23.9489
3368_170952_000100_000000	Certainly, he said.	Certainly, he said.	true	654.315	655.75	26.036572
3368_170952_000101_000000	In the next place, we must not let them be receivers of gifts or lovers of money.	In the next place, we must not let them be receivers of gifts or lovers of money.	true	656.21	661.15	21.769785
3368_170952_000102_000000	Certainly not.	Certainly not.	true	661.16	662.26	25.543396
3368_170952_000103_000000	Neither must we sing to them of	Neither must we sing to them of	true	662.75	664.815	23.643768
3368_170952_000104_000000	'Gifts persuading gods, and persuading reverend kings.'	'Gifts persuading gods, and persuading reverend kings.'	true	664.815	668.68	23.768858
3368_170952_000105_000000	Neither is Phoenix, the tutor of Achilles, to be approved or deemed to have given his pupil good counsel when he told him that he should take the gifts of the Greeks and assist them; but that without a gift he should not lay aside his anger.	Neither is Phoenix, the tutor of Achilles, to be approved or deemed to have given his pupil good counsel when he told him that he should take the gifts of the Greeks and assist them; but that without a gift he should not lay aside his anger.	true	669.44	681.94	23.276014
3368_170952_000105_000001	Neither will we believe or acknowledge Achilles himself to have been such a lover of money that he took Agamemnon's gifts, or that when he had received payment he restored the dead body of Hector, but that without payment he was unwilling to do so.	Neither will we believe or acknowledge Achilles himself to have been such a lover of money that he took Agamemnon's gifts, or that when he had received payment he restored the dead body of Hector, but that without payment he was unwilling to do so.	true	682.37	695.44	23.47938
3368_170952_000106_000000	Undoubtedly, he said, these are not sentiments which can be approved.	Undoubtedly, he said, these are not sentiments which can be approved.	true	695.48	699.7	24.373865
3368_170952_000107_000000	Loving Homer as I do, I hardly like to say that in attributing these feelings to Achilles, or in believing that they are truly attributed to him, he is guilty of downright impiety.	Loving Homer as I do, I hardly like to say that in attributing these feelings to Achilles, or in believing that they are truly attributed to him, he is guilty of downright impiety.	true	700.31	710.41	23.98314
3368_170952_000107_000001	As little can I believe the narrative of his insolence to Apollo, where he says,	As little can I believe the narrative of his insolence to Apollo, where he says,	true	710.78	715.03	24.114061
3368_170952_000108_000000	'Thou hast wronged me, O far-darter, most abominable of deities.	'Thou hast wronged me, O far darter, most abominable of deities.	true	715.25	719.8	24.65656
3368_170952_000108_000001	Verily I would be even with thee, if I had only the power;'	Verily I would be even with thee, if I had only the power;'	false	719.93	724	20.319174
3368_170952_000109_000000	or his insubordination to the river-god, on whose divinity he is ready to lay hands; or his offering to the dead Patroclus of his own hair, which had been previously dedicated to the other river-god Spercheius, and that he actually performed this vow; or that he dragged Hector round the tomb of Patroclus, and slaughtered the captives at the pyre; of all this I cannot believe that he was guilty, any more than I can allow our citizens to believe that he, the wise Cheiron's pupil, the son of a goddess and of Peleus who was the gentlest of men and third in descent from Zeus, was so disordered in his wits as to be at one time the slave of two seemingly inconsistent passions, meanness, not untainted by avarice, combined with overweening contempt of gods and men.	or his insubordination to the river god, on whose divinity he is ready to lay hands; or his offering to the dead Patroclus of his own hair, which had been previously dedicated to the other river god Spercheius, and that he actually performed this vow; or that he dragged Hector round the tomb of Patroclus, and slaughtered the captives at the pyre; of all this I cannot believe that he was guilty, any more than I can allow our citizens to believe that he, the wise Cheiron's pupil, the son of a goddess and of Peleus who was the gentlest of men and third in descent from Zeus, was so disordered in his wits as to be at one time the slave of two seemingly inconsistent passions, meanness, not untainted by avarice, combined with overweening contempt of gods and men.	false	724.07	769.8	21.76038
3368_170952_000110_000000	You are quite right, he replied.	You are quite right, he replied.	true	769.8	771.61	25.12549
3368_170952_000111_000000	And let us equally refuse to believe, or allow to be repeated, the tale of Theseus son of Poseidon, or of Peirithous son of Zeus, going forth as they did to perpetrate a horrid rape; or of any other hero or son of a god daring to do such impious and dreadful things as they falsely ascribe to them in our day: and let us further compel the poets to declare either that these acts were not done by them, or that they were not the sons of gods;--both in the same breath they shall not be permitted to affirm.	And let us equally refuse to believe, or allow to be repeated, the tale of Theseus son of Poseidon, or of Peirithous son of Zeus, going forth as they did to perpetrate a horrid rape; or of any other hero or son of a god daring to do such impious and dreadful things as they falsely ascribe to them in our day: and let us further compel the poets to declare either that these acts were not done by them, or that they were not the sons of gods;--both in the same breath they shall not be permitted to affirm.	false	772.22	801.31	22.796034
3368_170952_000111_000001	We will not have them trying to persuade our youth that the gods are the authors of evil, and that heroes are no better than men--sentiments which, as we were saying, are neither pious nor true, for we have already proved that evil cannot come from the gods.	We will not have them trying to persuade our youth that the gods are the authors of evil, and that heroes are no better than men-sentiments which, as we were saying, are neither pious nor true, for we have already proved that evil cannot come from the gods.	false	801.68	815.83	22.637276
3368_170952_000112_000000	Assuredly not.	Assuredly not.	true	816.08	817.36	26.821825
3368_170952_000113_000000	And further they are likely to have a bad effect on those who hear them; for everybody will begin to excuse his own vices when he is convinced that similar wickednesses are always being perpetrated by--	And further they are likely to have a bad effect on those who hear them; for everybody will begin to excuse his own vices when he is convinced that similar wickednesses are always being perpetrated by-	true	818.09	828.24	21.471478
3368_170952_000114_000000	'The kindred of the gods, the relatives of Zeus, whose ancestral altar, the altar of Zeus, is aloft in air on the peak of Ida,'	'The kindred of the gods, the relatives of Zeus, whose ancestral altar, the altar of Zeus, is aloft in air on the peak of Ida,'	false	828.24	836.08	24.878345
3368_170952_000115_000000	and who have	and who have	true	836.27	836.97	21.50699
3368_170952_000116_000000	'the blood of deities yet flowing in their veins.'	'the blood of deities yet flowing in their veins.'	true	836.97	839.71	22.887615
3368_170952_000117_000000	And therefore let us put an end to such tales, lest they engender laxity of morals among the young.	And therefore let us put an end to such tales, lest they engender laxity of morals among the young.	true	840.2	846.37	22.958185
3368_170952_000118_000000	By all means, he replied.	By all means, he replied.	false	846.5	849	20.679287
3368_170952_000119_000000	But now that we are determining what classes of subjects are or are not to be spoken of, let us see whether any have been omitted by us.	But now that we are determining what classes of subjects are or are not to be spoken of, let us see whether any have been omitted by us.	false	849	855.61	21.91735
3368_170952_000119_000001	The manner in which gods and demigods and heroes and the world below should be treated has been already laid down.	The manner in which gods and demigods and heroes and the world below should be treated has been already laid down.	false	855.83	860.98	19.097057
3368_170952_000120_000000	Very true.	Very true.	true	861.26	862.21	25.325838
3368_170952_000121_000000	And what shall we say about men?	And what shall we say about men?	true	862.34	864.01	20.541487
3368_170952_000121_000001	That is clearly the remaining portion of our subject.	That is clearly the remaining portion of our subject.	true	864.2	866.7	25.28886
3368_170952_000122_000000	Clearly so.	Clearly so.	false	866.7	868	23.048119
3368_170952_000123_000000	But we are not in a condition to answer this question at present, my friend.	But we are not in a condition to answer this question at present, my friend.	true	868.34	872.26	21.180801
3368_170952_000124_000000	Why not?	Why not?	true	872.45	873.34	25.012856
3368_170952_000125_000000	Because, if I am not mistaken, we shall have to say that about men poets and story-tellers are guilty of making the gravest misstatements when they tell us that wicked men are often happy, and the good miserable; and that injustice is profitable when undetected, but that justice is a man's own loss and another's gain--these things we shall forbid them to utter, and command them to sing and say the opposite.	Because, if I am not mistaken, we shall have to say that about men poets and story tellers are guilty of making the gravest misstatements when they tell us that wicked men are often happy, and the good miserable; and that injustice is profitable when undetected, but that justice is a man's own loss and another's gain-these things we shall forbid them to utter, and command them to sing and say the opposite.	false	873.65	897.19	22.797646
3368_170952_000126_000000	To be sure we shall, he replied.	To be sure we shall, he replied.	true	897.68	899.74	21.139103
3368_170952_000127_000000	But if you admit that I am right in this, then I shall maintain that you have implied the principle for which we have been all along contending.	But if you admit that I am right in this, then I shall maintain that you have implied the principle for which we have been all along contending.	false	900.26	906.64	22.890135
3368_170952_000128_000000	I grant the truth of your inference.	I grant the truth of your inference.	true	907.4	909.61	22.644083
3368_170952_000129_000000	That such things are or are not to be said about men is a question which we cannot determine until we have discovered what justice is, and how naturally advantageous to the possessor, whether he seem to be just or not.	That such things are or are not to be said about men is a question which we cannot determine until we have discovered what justice is, and how naturally advantageous to the possessor, whether he seem to be just or not.	true	910.01	922.03	21.827868
3368_170952_000130_000000	Most true, he said.	Most true, he said.	true	922.07	923.43	26.581211
3368_170952_000131_000000	Enough of the subjects of poetry: let us now speak of the style; and when this has been considered, both matter and manner will have been completely treated.	Enough of the subjects of poetry: let us now speak of the style; and when this has been considered, both matter and manner will have been completely treated.	false	923.43	928.26	24.051207
3368_170952_000132_000000	I do not understand what you mean, said Adeimantus.	I do not understand what you mean, said Adeimantus.	false	928.26	929.55	25.1945
