2162_185436_000000_000000	THE RELIC	THE RELIC	true	26.22	27.19	34.81597
2162_185436_000006_000003	I asked him if he could speak to me slowly in Latin, as I was speaking to him.	I asked him if he could speak to me slowly in Latin, as I was speaking to him.	true	419.12	424.06	21.477617
2162_185436_000006_000004	He answered me with this word, "_Paucissime_," which I easily understood.	He answered me with this word, "underscore Paucissime underscore," which I easily understood.	false	424.58	431.76	19.594206
2162_185436_000006_000005	I then asked him very carefully, and speaking slowly, whether Benediction were about to be held--an evening rite; but as I did not know the Latin for Benediction, I called it alternately "Benedictio," which is English, and "Salus," which is French.	I then asked him very carefully, and speaking slowly, whether Benediction were about to be held-an evening rite; but as I did not know the Latin for Benediction, I called it alternately "Benedictio," which is English, and "Salus," which is French.	false	431.76	445.39	18.57506
2162_185436_000006_000006	He said twice, "Si, si," which, whether it were Italian or French or local, I understood by the nodding of his head; but at any rate he had not caught my meaning, for when I came behind the high altar where the candles were, and knelt there, I clearly saw that no preparations for Benediction were toward.	He said twice, "Si, si," which, whether it were Italian or French or local, I understood by the nodding of his head; but at any rate he had not caught my meaning, for when I came behind the high altar where the candles were, and knelt there, I clearly saw that no preparations for Benediction were toward.	false	445.91	464.49	20.861782
2162_185436_000006_000007	There was not even an altar.	There was not even an altar.	false	464.49	465.94	27.317852
2162_185436_000006_000008	All there was was a pair of cupboard doors, as it were, of very thickly carved wood, very heavily gilded and very old; indeed, the pattern of the carving was barbaric, and I think it must have dated from that turn of the Dark into the Middle Ages when so much of our Christian work resembled the work of savages: spirals and hideous heads, and serpents and other things.	All there was was a pair of cupboard doors, as it were, of very thickly carved wood, very heavily gilded and very old; indeed, the pattern of the carving was barbaric, and I think it must have dated from that turn of the Dark into the Middle Ages when so much of our Christian work resembled the work of savages: spirals and hideous heads, and serpents and other things.	false	466.4	490.42	19.6916
2162_185436_000007_000000	By this I was already enormously impressed, and by a little group of people around of whom perhaps half were children, when the young priest to whom I had spoken approached and, calling a well-dressed man of the middle class who stood by and who had, I suppose, some local prominence, went up the steps with him towards these wooden doors; he fitted a key into the lock and opened them wide.	By this I was already enormously impressed, and by a little group of people around of whom perhaps half were children, when the young priest to whom I had spoken approached and, calling a well dressed man of the middle class who stood by and who had, I suppose, some local prominence, went up the steps with him towards these wooden doors; he fitted a key into the lock and opened them wide.	false	492.32	514.72	20.346262
2162_185436_000007_000001	The candles shone at once through thick clear glass upon a frame of jewels which flashed wonderfully, and in their midst was the head of a dead man, cut off from the body, leaning somewhat sideways, and changed in a terrible manner from the expression of living men.	The candles shone at once through thick clear glass upon a frame of jewels which flashed wonderfully, and in their midst was the head of a dead man, cut off from the body, leaning somewhat sideways, and changed in a terrible manner from the expression of living men.	false	515.21	531.31	20.11273
2162_185436_000007_000002	It was so changed, not only by incalculable age, but also, as I presume, by the violence of his death.	It was so changed, not only by incalculable age, but also, as I presume, by the violence of his death.	false	532.07	539.74	19.204605
2162_185436_000008_000000	To those inexperienced in the practice of such worship there might be more excuse for the novel impression which this sight suddenly produced upon me.	To those inexperienced in the practice of such worship there might be more excuse for the novel impression which this sight suddenly produced upon me.	true	541.01	549.52	21.617538
2162_185436_000008_000001	Our race from its very beginning, nay, all the races of men, have preserved the fleshly memorials of those to whom sanctity attached, and I have seen such relics in many parts of Europe almost as commonplaces; but for some reason my emotions upon that evening were of a different kind. The length of the way (for I was miles and miles southwards over this desert waste), the ignorance of the language which surrounded me, the inhuman outline hour after hour under the glare of the sun, or in the inhospitable darkness of this hard Iberian land, the sternness of the faces, the violent richness and the magnitude of the architecture about me, and my knowledge of the trials through which the province had passed, put me in this Presence into a mood very different, I think, from that which pilgrimage is calculated to arouse; there was in it much more of awe, and even of terror; there seemed to re-arise in the presence of that distorted face the memories of active pain and of the unconquerable struggle by which this ruined land was recovered.	Our race from its very beginning, nay, all the races of men, have preserved the fleshly memorials of those to whom sanctity attached, and I have seen such relics in many parts of Europe almost as commonplaces; but for some reason my emotions upon that evening were of a different kind. The length of the way (for I was miles and miles southwards over this desert waste), the ignorance of the language which surrounded me, the inhuman outline hour after hour under the glare of the sun, or in the inhospitable darkness of this hard Iberian land, the sternness of the faces, the violent richness and the magnitude of the architecture about me, and my knowledge of the trials through which the province had passed, put me in this Presence into a mood very different, I think, from that which pilgrimage is calculated to arouse; there was in it much more of awe, and even of terror; there seemed to re arise in the presence of that distorted face the memories of active pain and of the unconquerable struggle by which this ruined land was recovered.	false	550.4	622.78	20.024887
2162_185436_000008_000002	I wondered as I looked at that face whether he had fallen in protest against the Mohammedans, or, as have so many, in a Spanish endurance of torture, martyred by Pagans in the Pacific Seas.	I wondered as I looked at that face whether he had fallen in protest against the Mohammedans, or, as have so many, in a Spanish endurance of torture, martyred by Pagans in the Pacific Seas.	true	623.96	636.64	21.5418
2162_185436_000008_000003	But no history of him was given to me, nor do I now know as I write what occasion it was that made this head so great.	But no history of him was given to me, nor do I now know as I write what occasion it was that made this head so great.	false	637.61	645.61	22.659548
2162_185436_000009_000000	They said but a few prayers, all familiar to me, in the Latin tongue; then the "Our Father" and some few others which have always been recited in the vernacular.	They said but a few prayers, all familiar to me, in the Latin tongue; then the "Our Father" and some few others which have always been recited in the vernacular.	true	647.3	657.7	18.752604
2162_185436_000009_000001	They next intoned the Salve Regina.	They next intoned the Salve Regina.	true	658.19	660.76	21.382805
2162_185436_000009_000002	But what an intonation!	But what an intonation!	true	661.04	662.43	20.82472
2162_185436_000010_000000	Had I not heard that chant often enough in my life to catch its meaning? I had never heard it set to such a tune!	Had I not heard that chant often enough in my life to catch its meaning? I had never heard it set to such a tune!	false	662.43	670.18	20.528215
2162_185436_000010_000001	It was harsh, it was full of battle, and the supplication in it throbbed with present and physical agony.	It was harsh, it was full of battle, and the supplication in it throbbed with present and physical agony.	false	670.7	676.72	21.948215
2162_185436_000010_000002	Had I cared less for the human beings about me, so much suffering, so much national tradition of suffering would have revolted, as it did indeed appal, me.	Had I cared less for the human beings about me, so much suffering, so much national tradition of suffering would have revolted, as it did indeed appal, me.	true	679.01	688.93	20.286854
2162_185436_000010_000003	The chant came to an end, and the three gracious epithets in which it closes were full of wailing, and the children's voices were very high.	The chant came to an end, and the three gracious epithets in which it closes were full of wailing, and the children's voices were very high.	true	689.66	698.08	22.542738
2162_185436_000011_000000	Then the priest shut the doors and locked them, and a boy came and blew the candles out one by one, and I went out into the market-place, fuller than ever of Spain.	Then the priest shut the doors and locked them, and a boy came and blew the candles out one by one, and I went out into the market place, fuller than ever of Spain.	true	699.86	711.19	21.358553
2162_185436_000012_000000	THE IRONMONGER	THE IRONMONGER	false	713.69	713.94	100
2162_185436_000013_000000	When I was in the French army we came one day with the guns in July along a straight and dusty road and clattered into the village called Bar-le-Duc. Of the details of such marches I have often written.	When I was in the French army we came one day with the guns in July along a straight and dusty road and clattered into the village called Bar le Duc. Of the details of such marches I have often written.	false	713.94	714.45	8
2162_185436_000013_000001	I wish now to speak of another thing, which, in long accounts of mere rumbling of guns, one might never have time to tell, but which is really the most important of all experiences under arms in France--I mean the older civilians, the fathers.	I wish now to speak of another thing, which, in long accounts of mere rumbling of guns, one might never have time to tell, but which is really the most important of all experiences under arms in France-I mean the older civilians, the fathers.	false	714.45	714.45	
