1668_136280_000000_000000	CHAPTER XVIII	CHAPTER eighteen	true	4.65	5.67	13
1668_136280_000009_000006	But there were also Presbyterians, Lutherans, and Methodist ministers, all with churches of their own in the town, and he may have flirted a little with all of them.	But there were also Presbyterians, Lutherans, and Methodist ministers, all with churches of their own in the town, and he may have flirted a little with all of them.	true	521.93	530.08	21
1668_136280_000009_000007	Then he came for his year of waiting to us, during which he amused himself by teaching the little ones, smoothing the way for my mathematical brother, and fishing.	Then he came for his year of waiting to us, during which he amused himself by teaching the little ones, smoothing the way for my mathematical brother, and fishing.	true	530.75	539.01	24.49998
1668_136280_000009_000008	But the authorities of the church had not got rid of him; they heard not infrequently from him, and it was not pleasant hearing.	But the authorities of the church had not got rid of him; they heard not infrequently from him, and it was not pleasant hearing.	false	539.01	546.13	23.058458
1668_136280_000009_000009	He had come, he told them, a Roman Catholic priest to a Roman Catholic country, and had found himself a stranger in a strange land.	He had come, he told them, a Roman Catholic priest to a Roman Catholic country, and had found himself a stranger in a strange land.	true	546.62	553.48	23.322779
1668_136280_000009_000010	He had waited patiently for months, and had been put off with idle promises or thrust aside, while every greedy pushing priest that arrived from Spain and Italy was received with open arms and a place provided for him.	He had waited patiently for months, and had been put off with idle promises or thrust aside, while every greedy pushing priest that arrived from Spain and Italy was received with open arms and a place provided for him.	true	554.18	565.63	24
1668_136280_000009_000011	Then, when his patience and private means had been exhausted, he had accidently been thrown among those who were not of the Faith, yet had received him with open arms.	Then, when his patience and private means had been exhausted, he had accidently been thrown among those who were not of the Faith, yet had received him with open arms.	true	566.69	575.08	18
1668_136280_000009_000012	He had been humiliated and pained at the disinterested hospitality and Christian charity shown to him by those outside the pale, after the treatment he had received from his fellow-priests.	He had been humiliated and pained at the disinterested hospitality and Christian charity shown to him by those outside the pale, after the treatment he had received from his fellow priests.	true	575.42	584.92	18.130451
1668_136280_000010_000000	Probably he said more than this: for it is a fact that he had been warmly invited to preach in one or two of the Protestant churches in the town.	Probably he said more than this: for it is a fact that he had been warmly invited to preach in one or two of the Protestant churches in the town.	true	586.64	594.37	18
1668_136280_000010_000001	He did not go so far as to accept that offer: he was wise in his generation, and eventually got his reward.	He did not go so far as to accept that offer: he was wise in his generation, and eventually got his reward.	true	594.71	601.42	21.718416
1668_136280_000011_000000	Our schoolmaster gone, we were once more back in the old way; we did just what we liked.	Our schoolmaster gone, we were once more back in the old way; we did just what we liked.	true	603.02	608.29	19.322485
1668_136280_000011_000001	Our parents probably thought that our life would be on the plains, with sheep and cattle-breeding for only vocations, and that should any one of us, like my mathematical-minded brother, take some line of his own, he would find out the way of it for himself: his own sense, the light of nature, would be his guide.	Our parents probably thought that our life would be on the plains, with sheep and cattle breeding for only vocations, and that should any one of us, like my mathematical minded brother, take some line of his own, he would find out the way of it for himself: his own sense, the light of nature, would be his guide.	true	608.93	624.43	16
1668_136280_000011_000002	I had no inclination to do anything with books myself: books were lessons, therefore repellent, and that any one should read a book for pleasure was inconceivable.	I had no inclination to do anything with books myself: books were lessons, therefore repellent, and that any one should read a book for pleasure was inconceivable.	true	625.34	633.91	20.8141
1668_136280_000011_000003	The only attempt to improve our minds at this period came, oddly enough, from my masterful brother who despised our babyish intellects--especially mine.	The only attempt to improve our minds at this period came, oddly enough, from my masterful brother who despised our babyish intellects-especially mine.	true	634.31	642.97	19
1668_136280_000011_000004	However, one day he announced that he had a grand scheme to put before us.	However, one day he announced that he had a grand scheme to put before us.	true	643.76	647.775	20.549515
1668_136280_000011_000005	He had heard or read of a family of boys living just like us in some wild isolated land where there were no schools or teachers and no newspapers, who amused themselves by writing a journal of their own, which was issued once a week.	He had heard or read of a family of boys living just like us in some wild isolated land where there were no schools or teachers and no newspapers, who amused themselves by writing a journal of their own, which was issued once a week.	true	647.775	660.43	16
1668_136280_000011_000006	There was a blue pitcher on a shelf in the house, and into this pitcher every boy dropped his contribution, and one of them--of course the most intelligent one--carefully went through them, selected the best, and copied them all out in one large sheet, and this was their weekly journal called _The Blue Pitcher_, and it was read and enjoyed by the whole house.	There was a blue pitcher on a shelf in the house, and into this pitcher every boy dropped his contribution, and one of them-of course the most intelligent one-carefully went through them, selected the best, and copied them all out in one large sheet, and this was their weekly journal called underscore The Blue Pitcher underscore, and it was read and enjoyed by the whole house.	false	661.31	678.94	17
1668_136280_000011_000007	He proposed that we should do the same; he, of course, would edit the paper and write a large portion of it; it would occupy two or four sheets of quarto paper, all in his beautiful handwriting, which resembled copper-plate, and it would be issued for all of us to read every Saturday.	He proposed that we should do the same; he, of course, would edit the paper and write a large portion of it; it would occupy two or four sheets of quarto paper, all in his beautiful handwriting, which resembled copper plate, and it would be issued for all of us to read every Saturday.	true	679.64	694.12	16
1668_136280_000011_000008	We all agreed joyfully, and as the title had taken our fancy we started hunting for a blue pitcher all over the house, but couldn't find such a thing, and finally had to put up with a tin box with a wooden lid and a lock and key.	We all agreed joyfully, and as the title had taken our fancy we started hunting for a blue pitcher all over the house, but couldn't find such a thing, and finally had to put up with a tin box with a wooden lid and a lock and key.	true	695	707.26	20.12077
1668_136280_000011_000009	The contributions were to be dropped in through a slit in the lid which the carpenter made for us, and my brother took possession of the key. The title of the paper was to be _The Tin Box,_ and we were instructed to write about the happenings of the week and anything in fact which had interested us, and not to be such little asses as to try to deal with subjects we knew nothing about.	The contributions were to be dropped in through a slit in the lid which the carpenter made for us, and my brother took possession of the key. The title of the paper was to be underscore The Tin Box,underscore and we were instructed to write about the happenings of the week and anything in fact which had interested us, and not to be such little asses as to try to deal with subjects we knew nothing about.	false	707.66	728.5	22.713696
1668_136280_000011_000010	I was to say something about birds: there was never a week went by in which I didn't tell them a wonderful story of a strange bird I had seen for the first time: well, I could write about that strange bird and make it just as wonderful as I liked.	I was to say something about birds: there was never a week went by in which I didn't tell them a wonderful story of a strange bird I had seen for the first time: well, I could write about that strange bird and make it just as wonderful as I liked.	true	728.99	742.42	24.960733
1668_136280_000012_000000	We set about our task at once with great enthusiasm, trying for the first time in our lives to put our thoughts into writing.	We set about our task at once with great enthusiasm, trying for the first time in our lives to put our thoughts into writing.	true	744.26	751.3	18
1668_136280_000012_000001	All went well for a few days.	All went well for a few days.	true	751.94	753.91	20.756552
1668_136280_000012_000002	Then our editor called us together to hear an important communication he wished to make.	Then our editor called us together to hear an important communication he wished to make.	true	754.25	759.13	17
1668_136280_000012_000003	First he showed us, but would not allow us to read or handle, a fair copy of the paper, or of the portion he had done, just to enable us to appreciate the care he was taking over it.	First he showed us, but would not allow us to read or handle, a fair copy of the paper, or of the portion he had done, just to enable us to appreciate the care he was taking over it.	true	759.53	769.15	16
1668_136280_000012_000004	He then went on to say that he could not give so much time to the task and pay for stationery as well without a small weekly contribution from us.	He then went on to say that he could not give so much time to the task and pay for stationery as well without a small weekly contribution from us.	true	769.79	777.25	17
1668_136280_000012_000005	This would only be about three-halfpence or twopence from our pocket-money, and would not be much missed.	This would only be about three halfpence or twopence from our pocket money, and would not be much missed.	true	777.8	783.07	17.350258
1668_136280_000012_000006	To this we all agreed at once except my younger brother, aged about seven at that time.	To this we all agreed at once except my younger brother, aged about seven at that time.	true	783.44	788.95	17
1668_136280_000012_000007	Then, he was told, he would not be allowed to contribute to the paper.	Then, he was told, he would not be allowed to contribute to the paper.	true	788.99	792.19	15.793806
1668_136280_000012_000008	Very well, he wouldn't contribute to it, he said.	Very well, he wouldn't contribute to it, he said.	true	792.92	795.58	17.260988
1668_136280_000012_000009	In vain we all tried to coax him out of his stubborn resolve: he would not part with a copper of his money and would have nothing to do with _The Tin Box_.	In vain we all tried to coax him out of his stubborn resolve: he would not part with a copper of his money and would have nothing to do with underscore The Tin Box underscore.	false	796.07	804.39	18.138615
1668_136280_000012_000010	Then the Editor's wrath broke out, and he said he had already written his editorial, but would now, as a concluding article, write a second one in order to show up the person who had tried to wreck the paper, in his true colours.	Then the Editor's wrath broke out, and he said he had already written his editorial, but would now, as a concluding article, write a second one in order to show up the person who had tried to wreck the paper, in his true colours.	true	804.39	815.26	16
1668_136280_000012_000011	He would exhibit him as the meanest, most contemptible insect that ever crawled on the surface of the earth.	He would exhibit him as the meanest, most contemptible insect that ever crawled on the surface of the earth.	true	815.45	821.32	20.02242
1668_136280_000013_000000	In the middle of this furious tirade my poor little brother burst out crying.	In the middle of this furious tirade my poor little brother burst out crying.	true	823.34	827.44	15.254643
1668_136280_000013_000001	"Keep your miserable tears till the paper is out," shouted the other, "as you will have good reason to shed them then.	"Keep your miserable tears till the paper is out," shouted the other, "as you will have good reason to shed them then.	false	827.9	833.47	14
1668_136280_000013_000002	You will be a marked being, every one will then point the finger of scorn at you and wonder how he could ever have thought well of such a pitiful little wretch."	You will be a marked being, every one will then point the finger of scorn at you and wonder how he could ever have thought well of such a pitiful little wretch."	false	834.17	842.14	18.928701
1668_136280_000014_000000	This was more than the little fellow could stand, and he suddenly fled from the room, still crying; then we all laughed, and the angry editor laughed too, proud of the effect his words had produced.	This was more than the little fellow could stand, and he suddenly fled from the room, still crying; then we all laughed, and the angry editor laughed too, proud of the effect his words had produced.	true	843.89	854.56	19.132265
1668_136280_000015_000000	Our little brother did not join us at play that afternoon: he was in hiding somewhere, keeping watch on the movements of his enemy, who was no doubt engaged already in writing that dreadful article which would make him a marked being for the rest of his life.	Our little brother did not join us at play that afternoon: he was in hiding somewhere, keeping watch on the movements of his enemy, who was no doubt engaged already in writing that dreadful article which would make him a marked being for the rest of his life.	true	856.13	869.47	16
1668_136280_000016_000000	In due time the editor, his task finished, came forth, and mounting his horse, galloped off; and the little watcher came out, and stealing into the room where the _Tin Box_ was kept, carried it off to the carpenter's shop.	In due time the editor, his task finished, came forth, and mounting his horse, galloped off; and the little watcher came out, and stealing into the room where the underscore Tin Box underscore was kept, carried it off to the carpenter's shop.	false	871.01	883.42	19.948933
1668_136280_000016_000001	There with chisel and hammer he broke the lid to pieces, and taking out all the papers, set to work to tear them up into the minutest fragments, which were carried out and scattered all over the place.	There with chisel and hammer he broke the lid to pieces, and taking out all the papers, set to work to tear them up into the minutest fragments, which were carried out and scattered all over the place.	true	883.49	894.73	19.905037
1668_136280_000017_000000	When the big brother came home and discovered what had been done he was in a mighty rage, and went off in search of the avaricious little rebel who had dared to destroy his work.	When the big brother came home and discovered what had been done he was in a mighty rage, and went off in search of the avaricious little rebel who had dared to destroy his work.	true	897.23	906.19	17.698317
1668_136280_000017_000001	But the little rebel was not to be caught; at the right moment he fled from the coming tempest to his parents and claimed their protection.	But the little rebel was not to be caught; at the right moment he fled from the coming tempest to his parents and claimed their protection.	true	906.83	913.81	18
1668_136280_000017_000002	Then the whole matter had to be inquired into, and the big boy was told that he was not to thrash his little brother, that he himself was to blame for everything on account of the extravagant language he had used, which the poor little fellow had taken quite seriously.	Then the whole matter had to be inquired into, and the big boy was told that he was not to thrash his little brother, that he himself was to blame for everything on account of the extravagant language he had used, which the poor little fellow had taken quite seriously.	false	915.02	928.21	17
1668_136280_000017_000003	If he actually believed _The Tin Box_ article was going to have that disastrous effect on him, who could blame him for destroying it?	If he actually believed underscore The Tin Box underscore article was going to have that disastrous effect on him, who could blame him for destroying it?	false	928.73	935.95	16
1668_136280_000018_000000	That was the end of _The Tin Box_; not a word about starting it afresh was said, and from that day my elder brother never mentioned it.	That was the end of underscore The Tin Box underscore; not a word about starting it afresh was said, and from that day my elder brother never mentioned it.	false	937.79	946.12	19.719341
1668_136280_000018_000001	But years later I came to think it a great pity that the scheme had miscarried.	But years later I came to think it a great pity that the scheme had miscarried.	true	946.85	950.98	17
1668_136280_000018_000002	I believe, from later experience, that even if it had lasted but a few weeks it would have given me the habit of recording my observations, and that is a habit without which the keenest observation and the most faithful memory are not sufficient for the field naturalist.	I believe, from later experience, that even if it had lasted but a few weeks it would have given me the habit of recording my observations, and that is a habit without which the keenest observation and the most faithful memory are not sufficient for the field naturalist.	true	951.35	965.1	16
1668_136280_000018_000003	Thus, through the destruction of the Tin Box, I believe I lost a great part of the result of six years of life with wild nature, since it was not until six years after my little brother's rebellious act that I discovered the necessity of making a note of every interesting thing I witnessed.	Thus, through the destruction of the Tin Box, I believe I lost a great part of the result of six years of life with wild nature, since it was not until six years after my little brother's rebellious act that I discovered the necessity of making a note of every interesting thing I witnessed.	false	965.1	995.85	17.769419
