1112_128138_000003_000000	Mr. Ian Hamilton's Ballad of Hadji is undeniably clever.	mr Ian Hamilton's Ballad of Hadji is undeniably clever.
1112_128138_000009_000000	Green in the wizard arms Of the foam-bearded Atlantic, An isle of old enchantment, A melancholy isle, Enchanted and dreaming lies; And there, by Shannon's flowing In the moonlight, spectre-thin, The spectre Erin sits.	Green in the wizard arms Of the foam bearded Atlantic, An isle of old enchantment, A melancholy isle, Enchanted and dreaming lies; And there, by Shannon's flowing In the moonlight, spectre thin, The spectre Erin sits.
1112_128138_000011_000000	are the first and last stanzas of Mr. Todhunter's poem The Banshee.	are the first and last stanzas of mr Todhunter's poem The Banshee.
1112_128138_000011_000001	To throw away the natural grace of rhyme from a modern song is, as Mr. Swinburne once remarked, a wilful abdication of half the power and half the charm of verse, and we cannot say that Mr. Todhunter has given us much that consoles us for its loss.	To throw away the natural grace of rhyme from a modern song is, as mr Swinburne once remarked, a wilful abdication of half the power and half the charm of verse, and we cannot say that mr Todhunter has given us much that consoles us for its loss.
1112_128138_000011_000003	It is an interesting specimen of poetic writing but it is not a perfect work of art.	It is an interesting specimen of poetic writing but it is not a perfect work of art.
1112_128138_000013_000000	has, of course, an archaeological interest, but has no artistic value at all.	has, of course, an archaeological interest, but has no artistic value at all.
1112_128138_000013_000001	Indeed, from the point of view of art, the few little poems at the end of the volume are worth all the ambitious pseudo-epics that Mr. Todhunter has tried to construct out of Celtic lore.	Indeed, from the point of view of art, the few little poems at the end of the volume are worth all the ambitious pseudo epics that mr Todhunter has tried to construct out of Celtic lore.
1112_128138_000013_000002	A Bacchic Day is charming, and the sonnet on the open-air performance of The Faithfull Shepherdesse is most gracefully phrased and most happy in conception.	A Bacchic Day is charming, and the sonnet on the open air performance of The Faithfull Shepherdesse is most gracefully phrased and most happy in conception.
1112_128138_000014_000000	Mr. Peacock is an American poet, and Professor Thomas Danleigh Supplee, A.M., Ph.D., F.R.S., who has written a preface to his Poems of the Plains and Songs of the Solitudes, tells us that he is entitled to be called the Laureate of the West.	mr Peacock is an American poet, and Professor Thomas Danleigh Supplee, a m, p h d, f r s, who has written a preface to his Poems of the Plains and Songs of the Solitudes, tells us that he is entitled to be called the Laureate of the West.
1112_128138_000014_000001	Though a staunch Republican, Mr. Peacock, according to the enthusiastic Professor, is not ashamed of his ancestor King William of Holland, nor of his relatives Lord and Lady Peacock who, it seems, are natives of Scotland.	Though a staunch Republican, mr Peacock, according to the enthusiastic Professor, is not ashamed of his ancestor King William of Holland, nor of his relatives Lord and Lady Peacock who, it seems, are natives of Scotland.
1112_128138_000014_000003	His poems seem to be extremely popular, and have been highly praised, the Professor informs us, by Victor Hugo, the Saturday Review and the Commercial Advertiser.	His poems seem to be extremely popular, and have been highly praised, the Professor informs us, by Victor Hugo, the Saturday Review and the Commercial Advertiser.
1112_128138_000014_000004	The preface is the most amusing part of the book, but the poems also are worth studying.	The preface is the most amusing part of the book, but the poems also are worth studying.
1112_128138_000014_000005	The Maniac, The Bandit Chief, and The Outlaw can hardly be called light reading, but we strongly recommend the poem on Chicago:	The Maniac, The Bandit Chief, and The Outlaw can hardly be called light reading, but we strongly recommend the poem on Chicago:
1112_128138_000015_000000	Chicago! great city of the West! All that wealth, all that power invest; Thou sprang like magic from the sand, As touched by the magician's wand.	Chicago! great city of the West! All that wealth, all that power invest; Thou sprang like magic from the sand, As touched by the magician's wand.
1112_128138_000016_000001	The opening lines of The Vendetta also deserve mention:	The opening lines of The Vendetta also deserve mention:
1112_128138_000017_000000	When stars are glowing through day's gloaming glow, Reflecting from ocean's deep, mighty flow, At twilight, when no grim shadows of night, Like ghouls, have stalked in wake of the light.	When stars are glowing through day's gloaming glow, Reflecting from ocean's deep, mighty flow, At twilight, when no grim shadows of night, Like ghouls, have stalked in wake of the light.
1112_128138_000018_000000	The first line is certainly a masterpiece, and, indeed, the whole volume is full of gems of this kind.	The first line is certainly a masterpiece, and, indeed, the whole volume is full of gems of this kind.
1112_128138_000018_000001	The Professor remarks in his elaborate preface that Mr. Peacock 'frequently rises to the sublime,' and the two passages quoted above show how keenly critical is his taste in these matters and how well the poet deserves his panegyric.	The Professor remarks in his elaborate preface that mr Peacock 'frequently rises to the sublime,' and the two passages quoted above show how keenly critical is his taste in these matters and how well the poet deserves his panegyric.
1112_128138_000019_000001	He has a placid, pleasant way of writing, and, indeed, his verses cannot do any harm, though he really should not publish such attempts at metrical versions of the Psalms as the following:	He has a placid, pleasant way of writing, and, indeed, his verses cannot do any harm, though he really should not publish such attempts at metrical versions of the Psalms as the following:
1112_128138_000021_000000	The 'literary culture' that produced these lines is, we fear, not of a very high order.	The 'literary culture' that produced these lines is, we fear, not of a very high order.
1112_128138_000022_000000	'I study Poetry simply as a fine art by which I may exercise my intellect and elevate my taste,' wrote the late Mr. George Morine many years ago to a friend, and the little posthumous volume that now lies before us contains the record of his quiet literary life.	'I study Poetry simply as a fine art by which I may exercise my intellect and elevate my taste,' wrote the late mr George Morine many years ago to a friend, and the little posthumous volume that now lies before us contains the record of his quiet literary life.
1112_128138_000022_000002	They are often distinguished by a grave and chastened beauty of style, and their solemn cadences have something of the 'grand manner' about them.	They are often distinguished by a grave and chastened beauty of style, and their solemn cadences have something of the 'grand manner' about them.
1112_128138_000024_000000	(2) Poems in the Modern Spirit, with The Secret of Content.	(two) Poems in the Modern Spirit, with The Secret of Content.
1112_128138_000027_000000	(5) Holiday Recreations and Other Poems.	(five) Holiday Recreations and Other Poems.
1112_128138_000028_000000	(6) Poems.	(six) Poems.
