5672_75791_000000_000000	When it was the Five Hundred and Sixty-sixth Night,	When it was the Five Hundred and Sixty sixth Night,	true	27.3	30.25	22.482944
5672_75791_000006_000000	Now when Shahrazad had ended her story of the two Sindbads, Dinarzad exclaimed, "O my sister, how pleasant is thy tale and how tasteful!	Now when Shahrazad had ended her story of the two Sindbads, Dinarzad exclaimed, "O my sister, how pleasant is thy tale and how tasteful!	true	937.01	946.21	21.899515
5672_75791_000006_000001	How sweet and how grateful!"	How sweet and how grateful!"	true	946.22	948.31	26.028008
5672_75791_000006_000002	She replied, "And what is this compared with that I could tell thee tomorrow night?" Quoth the King, "What may it be?" And she said:--It is a tale touching	She replied, "And what is this compared with that I could tell thee tomorrow night?" Quoth the King, "What may it be?" And she said:--It is a tale touching	false	948.68	959.56	26.28013
5672_75791_000007_000000	THE CITY OF BRASS.[FN#104]	THE CITY OF BRASS.[f n # one hundred four]	false	960.11	962.73	22.131086
5672_75791_000008_000000	It is related that there was, in tide of yore and in times and years long gone before, at Damascus of Syria, a Caliph known as Abd al-Malik bin Marwan, the fifth of the Ommiade house.	It is related that there was, in tide of yore and in times and years long gone before, at Damascus of Syria, a Caliph known as Abd al Malik bin Marwan, the fifth of the Ommiade house.	false	962.73	976.36	22
5672_75791_000008_000001	As this Commander of the Faithful was seated one day in his palace, conversing with his Sultans and Kings and the Grandees of his empire, the talk turned upon the legends of past peoples and the traditions of our lord Solomon, David's son (on the twain be peace!), and on that which Allah Almighty had bestowed on him of lordship and dominion over men and Jinn and birds and beasts and reptiles and the wind and other created things; and quoth the Caliph, "Of a truth we hear from those who forewent us that the Lord (extolled and exalted be He!) vouchsafed unto none the like of that which He vouchsafed unto our lord Solomon and that he attained unto that whereto never attained other than he, in that he was wont to imprison Jinns and Marids and Satans in cucurbites of copper and to stop them with lead and seal[FN#105] them with his ring."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	As this Commander of the Faithful was seated one day in his palace, conversing with his Sultans and Kings and the Grandees of his empire, the talk turned upon the legends of past peoples and the traditions of our lord Solomon, David's son (on the twain be peace!), and on that which Allah Almighty had bestowed on him of lordship and dominion over men and Jinn and birds and beasts and reptiles and the wind and other created things; and quoth the Caliph, "Of a truth we hear from those who forewent us that the Lord (extolled and exalted be He!) vouchsafed unto none the like of that which He vouchsafed unto our lord Solomon and that he attained unto that whereto never attained other than he, in that he was wont to imprison Jinns and Marids and Satans in cucurbites of copper and to stop them with lead and seal[f n # one hundred five] them with his ring."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	977.48	1034.85	23.951393
5672_75791_000009_000000	When it was the Five Hundred and Sixty-seventh Night,	When it was the Five Hundred and Sixty seventh Night,	false	1034.85	1034.94	23
5672_75791_000010_000000	She said, It hath reached me, O auspicious King, that when the Caliph Abd al-Malik bin Marwan sat conversing with his Grandees concerning our lord Solomon, and these noted what Allah had bestowed upon him of lordship and dominion, quoth the Commander of the Faithful, "Indeed he attained unto that whereto never attained other than he, in that he was wont to imprison Jinns and Marids and Satans in cucurbites of copper and stop them with lead and seal them with his ring." Then said Talib bin Sahl (who was a seeker after treasures and had books that discovered to him hoards and wealth hidden under the earth), "O Commander of the Faithful,--Allah make thy dominion to endure and exalt thy dignity here and hereafter!--my father told me of my grandfather, that he once took ship with a company, intending for the island of Sikiliyah or Sicily, and sailed until there arose against them a contrary wind, which drove them from their course and brought them, after a month, to a great mountain in one of the lands of Allah the Most High, but where that land was they wot not.	She said, It hath reached me, O auspicious King, that when the Caliph Abd al Malik bin Marwan sat conversing with his Grandees concerning our lord Solomon, and these noted what Allah had bestowed upon him of lordship and dominion, quoth the Commander of the Faithful, "Indeed he attained unto that whereto never attained other than he, in that he was wont to imprison Jinns and Marids and Satans in cucurbites of copper and stop them with lead and seal them with his ring." Then said Talib bin Sahl (who was a seeker after treasures and had books that discovered to him hoards and wealth hidden under the earth), "O Commander of the Faithful,--Allah make thy dominion to endure and exalt thy dignity here and hereafter!--my father told me of my grandfather, that he once took ship with a company, intending for the island of Sikiliyah or Sicily, and sailed until there arose against them a contrary wind, which drove them from their course and brought them, after a month, to a great mountain in one of the lands of Allah the Most High, but where that land was they wot not.	false	1034.94	1034.94	
5672_75791_000010_000001	Quoth my grandfather:-- This was in the darkness of the night and as soon as it was day, there came forth to us, from the caves of the mountain, folk black of colour and naked of body, as they were wild beasts, understanding not one word of what was addressed to them; nor was there any of them who knew Arabic, save their King who was of their own kind.	Quoth my grandfather:-- This was in the darkness of the night and as soon as it was day, there came forth to us, from the caves of the mountain, folk black of colour and naked of body, as they were wild beasts, understanding not one word of what was addressed to them; nor was there any of them who knew Arabic, save their King who was of their own kind.	false	1034.94	1036.98	26.531199
5672_75791_000010_000002	When he saw the ship, he came down to it with a company of his followers and saluting us, bade us welcome and questioned us of our case and our faith.	When he saw the ship, he came down to it with a company of his followers and saluting us, bade us welcome and questioned us of our case and our faith.	false	1036.98	1037.1	5
5672_75791_000010_000003	We told him all concerning ourselves and he said, Be of good cheer for no harm shall befal you.' And when we, in turn, asked them of their faith, we found that each was of one of the many creeds prevailing before the preaching of Al-Islam and the mission of Mohammed, whom may Allah bless and keep!	We told him all concerning ourselves and he said, Be of good cheer for no harm shall befal you.' And when we, in turn, asked them of their faith, we found that each was of one of the many creeds prevailing before the preaching of Al Islam and the mission of Mohammed, whom may Allah bless and keep!	false	1037.1	1037.31	9
