7837_109173_000002_000000	Clear running water filled the ditch, but the bottom was dull black, powdery mud.	Clear running water filled the ditch, but the bottom was dull black, powdery mud.
7837_109173_000026_000001	The eel twists, and refuses to be swallowed; so the bird has to reduce its liveliness by rolling up and down in its sharp-edged beak.	The eel twists, and refuses to be swallowed; so the bird has to reduce its liveliness by rolling up and down in its sharp edged beak.
7837_109173_000026_000002	Then it glides down.	Then it glides down.
7837_109173_000027_000000	This time, too, fortune is disposed to favour the young pike.	This time, too, fortune is disposed to favour the young pike.
7837_109173_000027_000001	The heron, coming up behind her, cautiously bends its neck over the drifting piece of reed.	The heron, coming up behind her, cautiously bends its neck over the drifting piece of reed.
7837_109173_000027_000002	It sees there is something suspicious about it, but thinks it is mistaken, and is about to take another step forward. When only half-way, it pauses with its foot in the air; and the next moment the blow falls.	It sees there is something suspicious about it, but thinks it is mistaken, and is about to take another step forward. When only half-way, it pauses with its foot in the air; and the next moment the blow falls.
7837_109173_000028_000000	Grim only once moved her tail.	Grim only once moved her tail.
7837_109173_000028_000001	Then she was seized, something hard and sharp and strong held her fast, and she passed head foremost down into a warm, narrow channel.	Then she was seized, something hard and sharp and strong held her fast, and she passed head foremost down into a warm, narrow channel.
7837_109173_000029_000000	There was a fearful crush of fish in the channel, and much elbowing with fins and twisting of tails.	There was a fearful crush of fish in the channel, and much elbowing with fins and twisting of tails.
7837_109173_000031_000001	Out on the lake lay a boat in which a man sat fishing.	Out on the lake lay a boat in which a man sat fishing.
7837_109173_000031_000002	Experience told the bird it was a fisherman, but here the bird was wrong.	Experience told the bird it was a fisherman, but here the bird was wrong.
7837_109173_000032_000000	Grim was among the fortunate ones.	Grim was among the fortunate ones.
7837_109173_000032_000002	A little later the stream gathered furious pace and carried her with it; she saw light and felt space round her; she was able to move her fins.	A little later the stream gathered furious pace and carried her with it; she saw light and felt space round her; she was able to move her fins.
