512_124549_000000_000000	CHAPTER XXXVI	CHAPTER thirty six
512_124549_000039_000002	I'm damned if I'll agree to all your freak notions, but I will say I've got to depend on you.	I'm damned if I'll agree to all your freak notions, but I will say I've got to depend on you.
512_124549_000039_000003	Never thought of that complication, did you, in this 'off to Bohemia, and express yourself, and free love, and live your own life' stuff!"	Never thought of that complication, did you, in this 'off to Bohemia, and express yourself, and free love, and live your own life' stuff!"
512_124549_000040_000000	"You have a right to me if you can keep me.	"You have a right to me if you can keep me.
512_124549_000040_000001	Can you?"	Can you?"
512_124549_000043_000000	For a month they discussed it.	For a month they discussed it.
512_124549_000043_000003	At most he agreed to a public theory that she was "going to take a short trip and see what the East was like in wartime."	At most he agreed to a public theory that she was "going to take a short trip and see what the East was like in wartime."
512_124549_000048_000000	III	three
512_124549_000050_000000	She had her freedom, and it was empty.	She had her freedom, and it was empty.
512_124549_000050_000001	The moment was not the highest of her life, but the lowest and most desolate, which was altogether excellent, for instead of slipping downward she began to climb.	The moment was not the highest of her life, but the lowest and most desolate, which was altogether excellent, for instead of slipping downward she began to climb.
512_124549_000052_000000	Hugh complained, "Notice me, mummy!"	Hugh complained, "Notice me, mummy!"
512_124549_000052_000002	"I'm tired of playing train.	"I'm tired of playing train.
512_124549_000052_000003	Let's play something else.	Let's play something else.
512_124549_000052_000004	Let's go see Auntie Bogart."	Let's go see Auntie Bogart."
512_124549_000053_000001	Do you really like Mrs. Bogart?"	Do you really like mrs Bogart?"
512_124549_000054_000000	"Yes.	"Yes.
512_124549_000054_000001	She gives me cookies and she tells me about the Dear Lord.	She gives me cookies and she tells me about the Dear Lord.
512_124549_000054_000004	Auntie Bogart says I'm going to be a preacher.	Auntie Bogart says I'm going to be a preacher.
512_124549_000054_000005	Can I be a preacher?	Can I be a preacher?
512_124549_000054_000006	Can I preach about the Dear Lord?"	Can I preach about the Dear Lord?"
512_124549_000056_000000	"What's a generation?"	"What's a generation?"
512_124549_000058_000000	"That's foolish." He was a serious and literal person, and rather humorless.	"That's foolish." He was a serious and literal person, and rather humorless.
512_124549_000058_000001	She kissed his frown, and marveled:	She kissed his frown, and marveled:
512_124549_000059_000002	But the story doesn't go right.	But the story doesn't go right.
512_124549_000061_000000	"What?" flatly.	"What?" flatly.
512_124549_000063_000000	"And cookies?"	"And cookies?"
512_124549_000064_000000	"Cookies?	"Cookies?
512_124549_000064_000003	We'd get sick on too many cookies, but ever so much sicker on no cookies at all."	We'd get sick on too many cookies, but ever so much sicker on no cookies at all."
512_124549_000065_000000	"That's foolish."	"That's foolish."
512_124549_000066_000000	"It is, O male Kennicott!"	"It is, O male Kennicott!"
512_124549_000067_000000	"Huh!" said Kennicott II, and went to sleep on her shoulder.	"Huh!" said Kennicott two, and went to sleep on her shoulder.
