6510_62516_000000_000000	Chapter 9	Chapter nine	true	25.68	27.1	21.23363
6510_62516_000015_000004	With him they could want nothing; with him they would never despair.	With him they could want nothing; with him they would never despair.	true	108.02	112.78	18.944641
6510_62516_000015_000005	If these brave men had been told that a volcanic eruption would destroy the land, that this land would be engulfed in the depths of the Pacific, they would have imperturbably replied,--	If these brave men had been told that a volcanic eruption would destroy the land, that this land would be engulfed in the depths of the Pacific, they would have imperturbably replied,--	true	113.12	124.57	19
6510_62516_000016_000000	"Cyrus is here!"	"Cyrus is here!"	true	124.73	126.34	20.354643
6510_62516_000017_000000	While in the palanquin, however, the engineer had again relapsed into unconsciousness, which the jolting to which he had been subjected during his journey had brought on, so that they could not now appeal to his ingenuity.	While in the palanquin, however, the engineer had again relapsed into unconsciousness, which the jolting to which he had been subjected during his journey had brought on, so that they could not now appeal to his ingenuity.	true	126.89	139.99	19
6510_62516_000017_000001	The supper must necessarily be very meager.	The supper must necessarily be very meager.	true	140.3	143.385	20
6510_62516_000017_000002	In fact, all the grouse flesh had been consumed, and there no longer existed any means of cooking more game.	In fact, all the grouse flesh had been consumed, and there no longer existed any means of cooking more game.	true	143.385	150.25	17
6510_62516_000017_000003	Besides, the couroucous which had been reserved had disappeared.	Besides, the couroucous which had been reserved had disappeared.	true	150.5	154.15	21.929934
6510_62516_000017_000004	They must consider what was to be done.	They must consider what was to be done.	true	154.28	156.91	19
6510_62516_000018_000000	First of all, Cyrus Harding was carried into the central passage.	First of all, Cyrus Harding was carried into the central passage.	true	157.28	160.92	20
6510_62516_000018_000001	There they managed to arrange for him a couch of sea-weed which still remained almost dry.	There they managed to arrange for him a couch of sea weed which still remained almost dry.	true	160.92	166.21	17
6510_62516_000018_000002	The deep sleep which had overpowered him would no doubt be more beneficial to him than any nourishment.	The deep sleep which had overpowered him would no doubt be more beneficial to him than any nourishment.	true	166.43	172.99	18.994692
6510_62516_000019_000000	Night had closed in, and the temperature, which had modified when the wind shifted to the northwest, again became extremely cold.	Night had closed in, and the temperature, which had modified when the wind shifted to the northwest, again became extremely cold.	true	173.39	181.81	20.254047
6510_62516_000019_000001	Also, the sea having destroyed the partitions which Pencroft had put up in certain places in the passages, the Chimneys, on account of the draughts, had become scarcely habitable.	Also, the sea having destroyed the partitions which Pencroft had put up in certain places in the passages, the Chimneys, on account of the draughts, had become scarcely habitable.	true	181.85	193.21	19.529785
6510_62516_000019_000002	The engineer's condition would, therefore, have been bad enough, if his companions had not carefully covered him with their coats and waistcoats.	The engineer's condition would, therefore, have been bad enough, if his companions had not carefully covered him with their coats and waistcoats.	true	193.67	202.54	21
6510_62516_000020_000000	Supper, this evening, was of course composed of the inevitable lithodomes, of which Herbert and Neb picked up a plentiful supply on the beach.	Supper, this evening, was of course composed of the inevitable lithodomes, of which Herbert and Neb picked up a plentiful supply on the beach.	true	203.84	213.49	19.10944
6510_62516_000020_000001	However, to these molluscs, the lad added some edible sea-weed, which he gathered on high rocks, whose sides were only washed by the sea at the time of high tides.	However, to these molluscs, the lad added some edible sea weed, which he gathered on high rocks, whose sides were only washed by the sea at the time of high tides.	false	213.74	225.16	18.322163
6510_62516_000020_000002	This sea-weed, which belongs to the order of Fucacae, of the genus Sargassum, produces, when dry, a gelatinous matter, rich and nutritious.	This sea weed, which belongs to the order of Fucacae, of the genus Sargassum, produces, when dry, a gelatinous matter, rich and nutritious.	false	225.5	235.39	19
6510_62516_000020_000003	The reporter and his companions, after having eaten a quantity of lithodomes, sucked the sargassum, of which the taste was very tolerable.	The reporter and his companions, after having eaten a quantity of lithodomes, sucked the sargassum, of which the taste was very tolerable.	true	235.7	244.54	19.422155
6510_62516_000020_000004	It is used in parts of the East very considerably by the natives.	It is used in parts of the East very considerably by the natives.	true	244.88	248.8	18
6510_62516_000020_000005	"Never mind!" said the sailor, "the captain will help us soon." Meanwhile the cold became very severe, and unhappily they had no means of defending themselves from it.	"Never mind!" said the sailor, "the captain will help us soon." Meanwhile the cold became very severe, and unhappily they had no means of defending themselves from it.	true	249.26	261.1	19.184868
6510_62516_000021_000000	The sailor, extremely vexed, tried in all sorts of ways to procure fire. Neb helped him in this work.	The sailor, extremely vexed, tried in all sorts of ways to procure fire. Neb helped him in this work.	false	261.32	268.89	21.167625
6510_62516_000021_000001	He found some dry moss, and by striking together two pebbles he obtained some sparks, but the moss, not being inflammable enough, did not take fire, for the sparks were really only incandescent, and not at all of the same consistency as those which are emitted from flint when struck in the same manner.	He found some dry moss, and by striking together two pebbles he obtained some sparks, but the moss, not being inflammable enough, did not take fire, for the sparks were really only incandescent, and not at all of the same consistency as those which are emitted from flint when struck in the same manner.	false	268.89	288.49	20.374022
6510_62516_000021_000002	The experiment, therefore, did not succeed.	The experiment, therefore, did not succeed.	true	288.68	291.88	24.333626
6510_62516_000022_000000	Pencroft, although he had no confidence in the proceeding, then tried rubbing two pieces of dry wood together, as savages do.	Pencroft, although he had no confidence in the proceeding, then tried rubbing two pieces of dry wood together, as savages do.	true	292.1	300.19	19
6510_62516_000022_000001	Certainly, the movement which he and Neb exhibited, if it had been transformed into heat, according to the new theory, would have been enough to heat the boiler of a steamer!	Certainly, the movement which he and Neb exhibited, if it had been transformed into heat, according to the new theory, would have been enough to heat the boiler of a steamer!	true	300.41	311.5	19.588354
6510_62516_000022_000002	It came to nothing.	It came to nothing.	true	311.54	312.73	17.65266
6510_62516_000022_000003	The bits of wood became hot, to be sure, but much less so than the operators themselves.	The bits of wood became hot, to be sure, but much less so than the operators themselves.	true	313.1	318.64	19
6510_62516_000023_000000	After working an hour, Pencroft, who was in a complete state of perspiration, threw down the pieces of wood in disgust.	After working an hour, Pencroft, who was in a complete state of perspiration, threw down the pieces of wood in disgust.	true	319.22	327.52	21.503828
6510_62516_000024_000000	"I can never be made to believe that savages light their fires in this way, let them say what they will," he exclaimed.	"I can never be made to believe that savages light their fires in this way, let them say what they will," he exclaimed.	true	327.8	334.81	19
6510_62516_000024_000001	"I could sooner light my arms by rubbing them against each other!"	"I could sooner light my arms by rubbing them against each other!"	true	334.82	338.86	20
6510_62516_000025_000000	The sailor was wrong to despise the proceeding.	The sailor was wrong to despise the proceeding.	true	338.99	341.89	17
6510_62516_000025_000001	Savages often kindle wood by means of rapid rubbing.	Savages often kindle wood by means of rapid rubbing.	true	342.23	345.73	16
6510_62516_000025_000002	But every sort of wood does not answer for the purpose, and besides, there is "the knack," following the usual expression, and it is probable that Pencroft had not "the knack."	But every sort of wood does not answer for the purpose, and besides, there is "the knack," following the usual expression, and it is probable that Pencroft had not "the knack."	false	345.92	358.66	19.534458
6510_62516_000026_000000	Pencroft's ill humor did not last long.	Pencroft's ill humor did not last long.	true	359.3	361.74	15
6510_62516_000026_000001	Herbert had taken the bits of wood which he had turned down, and was exerting himself to rub them. The hardy sailor could not restrain a burst of laughter on seeing the efforts of the lad to succeed where he had failed.	Herbert had taken the bits of wood which he had turned down, and was exerting himself to rub them. The hardy sailor could not restrain a burst of laughter on seeing the efforts of the lad to succeed where he had failed.	true	361.74	374.955	18.682758
6510_62516_000027_000000	"Rub, my boy, rub!" said he.	"Rub, my boy, rub!" said he.	true	374.955	376.86	18.075226
6510_62516_000028_000000	"I am rubbing," replied Herbert, laughing, "but I don't pretend to do anything else but warm myself instead of shivering, and soon I shall be as hot as you are, my good Pencroft!"	"I am rubbing," replied Herbert, laughing, "but I don't pretend to do anything else but warm myself instead of shivering, and soon I shall be as hot as you are, my good Pencroft!"	true	376.86	387.82	19.062754
6510_62516_000029_000000	This soon happened.	This soon happened.	true	388.46	389.89	19.811954
6510_62516_000029_000001	However, they were obliged to give up, for this night at least, the attempt to procure fire.	However, they were obliged to give up, for this night at least, the attempt to procure fire.	true	390.17	395.86	18.685781
6510_62516_000029_000002	Gideon Spilett repeated, for the twentieth time, that Cyrus Harding would not have been troubled for so small a difficulty.	Gideon Spilett repeated, for the twentieth time, that Cyrus Harding would not have been troubled for so small a difficulty.	true	396.08	404.26	19.681114
6510_62516_000029_000003	And, in the meantime, he stretched himself in one of the passages on his bed of sand.	And, in the meantime, he stretched himself in one of the passages on his bed of sand.	true	404.63	410.02	18.70938
6510_62516_000029_000004	Herbert, Neb, and Pencroft did the same, while Top slept at his master's feet.	Herbert, Neb, and Pencroft did the same, while Top slept at his master's feet.	true	410.33	416.35	20.26704
6510_62516_000030_000000	Next day, the 28th of March, when the engineer awoke, about eight in the morning, he saw his companions around him watching his sleep, and, as on the day before, his first words were:--	Next day, the twenty eighth of March, when the engineer awoke, about eight in the morning, he saw his companions around him watching his sleep, and, as on the day before, his first words were:--	false	416.57	428.77	19.143393
6510_62516_000031_000000	"Island or continent?"	"Island or continent?"	true	428.78	430.75	19.784317
6510_62516_000031_000001	This was his uppermost thought.	This was his uppermost thought.	true	431.09	433.27	21.073149
6510_62516_000032_000000	"Well!" replied Pencroft, "we don't know anything about it, captain!"	"Well!" replied Pencroft, "we don't know anything about it, captain!"	true	433.49	437.38	19.618864
6510_62516_000033_000000	"You don't know yet?"	"You don't know yet?"	true	437.72	439.06	22.050755
6510_62516_000034_000000	"But we shall know," rejoined Pencroft, "when you have guided us into the country."	"But we shall know," rejoined Pencroft, "when you have guided us into the country."	true	439.13	444.04	17.410717
6510_62516_000035_000000	"I think I am able to try it," replied the engineer, who, without much effort, rose and stood upright.	"I think I am able to try it," replied the engineer, who, without much effort, rose and stood upright.	true	444.44	450.91	19.673698
6510_62516_000036_000000	"That's capital!" cried the sailor.	"That's capital!" cried the sailor.	true	450.92	453.01	20.23049
6510_62516_000037_000000	"I feel dreadfully weak," replied Harding.	"I feel dreadfully weak," replied Harding.	true	453.23	456.25	20.65958
6510_62516_000037_000001	"Give me something to eat, my friends, and it will soon go off.	"Give me something to eat, my friends, and it will soon go off.	true	456.38	460.24	18.859617
6510_62516_000037_000002	You have fire, haven't you?"	You have fire, haven't you?"	true	460.4	462.19	18
6510_62516_000038_000000	This question was not immediately replied to.	This question was not immediately replied to.	true	462.8	465.72	13
6510_62516_000038_000001	But, in a few seconds--	But, in a few seconds-	true	465.72	467.08	19
6510_62516_000039_000000	"Alas! we have no fire," said Pencroft, "or rather, captain, we have it no longer!"	"Alas! we have no fire," said Pencroft, "or rather, captain, we have it no longer!"	true	467.42	474.64	20.958456
6510_62516_000040_000000	And the sailor recounted all that had passed the day before.	And the sailor recounted all that had passed the day before.	true	474.98	478.14	18
6510_62516_000040_000001	He amused the engineer by the history of the single match, then his abortive attempt to procure fire in the savages' way.	He amused the engineer by the history of the single match, then his abortive attempt to procure fire in the savages' way.	true	478.14	485.68	17
6510_62516_000041_000000	"We shall consider," replied the engineer, "and if we do not find some substance similar to tinder--"	"We shall consider," replied the engineer, "and if we do not find some substance similar to tinder-"	true	486.29	493.06	19
6510_62516_000042_000000	"Well?" asked the sailor.	"Well?" asked the sailor.	true	493.64	495.73	21.829044
6510_62516_000043_000000	"Well, we will make matches.	"Well, we will make matches.	true	495.95	498.28	21.420534
6510_62516_000044_000000	"Chemicals?"	"Chemicals?"	true	498.35	499.33	19.27114
6510_62516_000045_000000	"Chemicals!"	"Chemicals!"	true	499.43	500.38	20.065245
6510_62516_000046_000000	"It is not more difficult than that," cried the reporter, striking the sailor on the shoulder.	"It is not more difficult than that," cried the reporter, striking the sailor on the shoulder.	true	500.72	505.6	17
6510_62516_000047_000000	The latter did not think it so simple, but he did not protest.	The latter did not think it so simple, but he did not protest.	true	505.88	509.74	18.965767
6510_62516_000047_000001	All went out.	All went out.	true	509.87	511.005	22.39907
6510_62516_000047_000002	The weather had become very fine.	The weather had become very fine.	true	511.005	513.37	15
6510_62516_000047_000003	The sun was rising from the sea's horizon, and touched with golden spangles the prismatic rugosities of the huge precipice.	The sun was rising from the sea's horizon, and touched with golden spangles the prismatic rugosities of the huge precipice.	false	513.65	521.86	18
6510_62516_000048_000000	Having thrown a rapid glance around him, the engineer seated himself on a block of stone.	Having thrown a rapid glance around him, the engineer seated himself on a block of stone.	true	522.5	527.83	15
6510_62516_000048_000001	Herbert offered him a few handfuls of shell-fish and sargassum, saying,--	Herbert offered him a few handfuls of shell fish and sargassum, saying,--	false	527.99	533.58	19.845158
6510_62516_000049_000000	"It is all that we have, Captain Harding."	"It is all that we have, Captain Harding."	false	533.58	535.63	18
6510_62516_000050_000000	"Thanks, my boy," replied Harding; "it will do--for this morning at least."	"Thanks, my boy," replied Harding; "it will do-for this morning at least."	true	535.85	540.88	18.47598
6510_62516_000051_000000	He ate the wretched food with appetite, and washed it down with a little fresh water, drawn from the river in an immense shell.	He ate the wretched food with appetite, and washed it down with a little fresh water, drawn from the river in an immense shell.	true	541.55	549.135	18
6510_62516_000052_000000	His companions looked at him without speaking.	His companions looked at him without speaking.	true	549.135	551.55	14
6510_62516_000052_000001	Then, feeling somewhat refreshed, Cyrus Harding crossed his arms, and said,--	Then, feeling somewhat refreshed, Cyrus Harding crossed his arms, and said,--	true	551.55	556.66	19.869122
6510_62516_000053_000000	"So, my friends, you do not know yet whether fate has thrown us on an island, or on a continent?"	"So, my friends, you do not know yet whether fate has thrown us on an island, or on a continent?"	true	557.21	563.53	18
6510_62516_000054_000000	"No, captain," replied the boy.	"No, captain," replied the boy.	true	563.99	566.05	20.912348
6510_62516_000055_000000	"We shall know to-morrow," said the engineer; "till then, there is nothing to be done."	"We shall know to morrow," said the engineer; "till then, there is nothing to be done."	true	566.24	570.85	12
6510_62516_000056_000000	"Yes," replied Pencroft.	"Yes," replied Pencroft.	true	571.04	572.985	21.127232
6510_62516_000057_000000	"What?"	"What?"	true	572.985	573.7	21.739275
6510_62516_000058_000000	"Fire," said the sailor, who, also, had a fixed idea.	"Fire," said the sailor, who, also, had a fixed idea.	true	573.77	577.84	19.896772
6510_62516_000059_000000	"We will make it, Pencroft," replied Harding.	"We will make it, Pencroft," replied Harding.	true	578.03	580.57	21
6510_62516_000060_000000	"While you were carrying me yesterday, did I not see in the west a mountain which commands the country?"	"While you were carrying me yesterday, did I not see in the west a mountain which commands the country?"	true	581.09	586.3	14
6510_62516_000061_000000	"Yes," replied Spilett, "a mountain which must be rather high--"	"Yes," replied Spilett, "a mountain which must be rather high-"	true	586.52	590.74	20.730967
6510_62516_000062_000000	"Well," replied the engineer, "we will climb to the summit to-morrow, and then we shall see if this land is an island or a continent.	"Well," replied the engineer, "we will climb to the summit to morrow, and then we shall see if this land is an island or a continent.	false	590.84	599.8	20.186382
6510_62516_000062_000001	Till then, I repeat, there is nothing to be done."	Till then, I repeat, there is nothing to be done."	true	600.26	604.12	19.15153
6510_62516_000063_000000	"Yes, fire!" said the obstinate sailor again.	"Yes, fire!" said the obstinate sailor again.	true	604.61	608.41	20.155622
6510_62516_000064_000000	"But he will make us a fire!" replied Gideon Spilett, "only have a little patience, Pencroft!"	"But he will make us a fire!" replied Gideon Spilett, "only have a little patience, Pencroft!"	true	608.75	614.41	20
6510_62516_000065_000000	The seaman looked at Spilett in a way which seemed to say, "If it depended upon you to do it, we wouldn't taste roast meat very soon"; but he was silent.	The seaman looked at Spilett in a way which seemed to say, "If it depended upon you to do it, we wouldn't taste roast meat very soon"; but he was silent.	true	614.66	624.19	20.593407
6510_62516_000066_000000	Meanwhile Captain Harding had made no reply.	Meanwhile Captain Harding had made no reply.	true	624.74	627.85	16
6510_62516_000066_000001	He appeared to be very little troubled by the question of fire.	He appeared to be very little troubled by the question of fire.	true	628.19	631.45	18.11487
6510_62516_000066_000002	For a few minutes he remained absorbed in thought; then again speaking,--	For a few minutes he remained absorbed in thought; then again speaking,--	true	631.61	636.85	20.666603
6510_62516_000067_000000	"My friends," said he, "our situation is, perhaps, deplorable; but, at any rate, it is very plain.	"My friends," said he, "our situation is, perhaps, deplorable; but, at any rate, it is very plain.	true	637.25	643.45	19
6510_62516_000067_000001	Either we are on a continent, and then, at the expense of greater or less fatigue, we shall reach some inhabited place, or we are on an island.	Either we are on a continent, and then, at the expense of greater or less fatigue, we shall reach some inhabited place, or we are on an island.	true	643.82	654.49	18.611805
6510_62516_000067_000002	In the latter case, if the island is inhabited, we will try to get out of the scrape with the help of its inhabitants; if it is desert, we will try to get out of the scrape by ourselves."	In the latter case, if the island is inhabited, we will try to get out of the scrape with the help of its inhabitants; if it is desert, we will try to get out of the scrape by ourselves."	false	654.56	666.91	19.873466
6510_62516_000068_000000	"Certainly, nothing could be plainer," replied Pencroft.	"Certainly, nothing could be plainer," replied Pencroft.	true	667.28	671.1	19.241554
6510_62516_000069_000000	"But, whether it is an island or a continent," asked Gideon Spilett, "whereabouts do you think, Cyrus, this storm has thrown us?"	"But, whether it is an island or a continent," asked Gideon Spilett, "whereabouts do you think, Cyrus, this storm has thrown us?"	false	671.1	679.06	20.241985
6510_62516_000070_000000	"I cannot say exactly," replied the engineer, "but I presume it is some land in the Pacific.	"I cannot say exactly," replied the engineer, "but I presume it is some land in the Pacific.	true	679.31	684.51	15
6510_62516_000070_000001	In fact, when we left Richmond, the wind was blowing from the northeast, and its very violence greatly proves that it could not have varied.	In fact, when we left Richmond, the wind was blowing from the northeast, and its very violence greatly proves that it could not have varied.	true	684.51	693.7	19.287477
6510_62516_000070_000002	If the direction has been maintained from the northeast to the southwest, we have traversed the States of North Carolina, of South Carolina, of Georgia, the Gulf of Mexico, Mexico, itself, in its narrow part, then a part of the Pacific Ocean.	If the direction has been maintained from the northeast to the southwest, we have traversed the States of North Carolina, of South Carolina, of Georgia, the Gulf of Mexico, Mexico, itself, in its narrow part, then a part of the Pacific Ocean.	true	694.1	709.6	20.419416
6510_62516_000070_000003	I cannot estimate the distance traversed by the balloon at less than six to seven thousand miles, and, even supposing that the wind had varied half a quarter, it must have brought us either to the archipelago of Mendava, either on the Pomotous, or even, if it had a greater strength than I suppose, to the land of New Zealand.	I cannot estimate the distance traversed by the balloon at less than six to seven thousand miles, and, even supposing that the wind had varied half a quarter, it must have brought us either to the archipelago of Mendava, either on the Pomotous, or even, if it had a greater strength than I suppose, to the land of New Zealand.	false	709.97	733.03	19.433174
6510_62516_000070_000004	If the last hypothesis is correct, it will be easy enough to get home again.	If the last hypothesis is correct, it will be easy enough to get home again.	true	733.58	738.73	20.653072
6510_62516_000070_000005	English or Maoris, we shall always find some one to whom we can speak.	English or Maoris, we shall always find some one to whom we can speak.	false	738.86	743.8	21
6510_62516_000070_000006	If, on the contrary, this is the coast of a desert island in some tiny archipelago, perhaps we shall be able to reconnoiter it from the summit of that peak which overlooks the country, and then we shall see how best to establish ourselves here as if we are never to go away."	If, on the contrary, this is the coast of a desert island in some tiny archipelago, perhaps we shall be able to reconnoiter it from the summit of that peak which overlooks the country, and then we shall see how best to establish ourselves here as if we are never to go away."	true	744.08	761.74	19
6510_62516_000071_000000	"Never?" cried the reporter.	"Never?" cried the reporter.	true	761.93	763.89	23.70211
6510_62516_000071_000001	"You say 'Never,' my dear Cyrus?"	"You say 'Never,' my dear Cyrus?"	true	763.89	766.15	19.440691
6510_62516_000072_000000	"Better to put things at the worst at first," replied the engineer, "and reserve the best for a surprise."	"Better to put things at the worst at first," replied the engineer, "and reserve the best for a surprise."	true	766.73	773.29	21.060932
6510_62516_000073_000000	"Well said," remarked Pencroft.	"Well said," remarked Pencroft.	true	773.63	775.6	18.674273
6510_62516_000073_000001	"It is to be hoped, too, that this island, if it be one, is not situated just out of the course of ships; that would be really unlucky!"	"It is to be hoped, too, that this island, if it be one, is not situated just out of the course of ships; that would be really unlucky!"	true	775.73	785.02	19.482115
6510_62516_000074_000000	"We shall not know what we have to rely on until we have first made the ascent of the mountain," replied the engineer.	"We shall not know what we have to rely on until we have first made the ascent of the mountain," replied the engineer.	true	785.36	792.28	18
6510_62516_000075_000000	"But to-morrow, captain," asked Herbert, "shall you be in a state to bear the fatigue of the ascent?"	"But to morrow, captain," asked Herbert, "shall you be in a state to bear the fatigue of the ascent?"	false	792.59	798.93	20.222754
6510_62516_000076_000000	"I hope so," replied the engineer, "provided you and Pencroft, my boy, show yourselves quick and clever hunters."	"I hope so," replied the engineer, "provided you and Pencroft, my boy, show yourselves quick and clever hunters."	true	798.93	806.13	18
6510_62516_000077_000000	"Captain," said the sailor, "since you are speaking of game, if on my return, I was as certain of roasting it as I am of bringing it back--"	"Captain," said the sailor, "since you are speaking of game, if on my return, I was as certain of roasting it as I am of bringing it back-"	true	806.13	816.01	19.639847
6510_62516_000078_000000	"Bring it back all the same, Pencroft," replied Harding.	"Bring it back all the same, Pencroft," replied Harding.	false	816.32	819.49	20.023792
6510_62516_000079_000000	It was then agreed that the engineer and the reporter were to pass the day at the Chimneys, so as to examine the shore and the upper plateau. Neb, Herbert, and the sailor were to return to the forest, renew their store of wood, and lay violent hands on every creature, feathered or hairy, which might come within their reach.	It was then agreed that the engineer and the reporter were to pass the day at the Chimneys, so as to examine the shore and the upper plateau. Neb, Herbert, and the sailor were to return to the forest, renew their store of wood, and lay violent hands on every creature, feathered or hairy, which might come within their reach.	true	820.01	841.69	19.775932
6510_62516_000080_000000	They set out accordingly about ten o'clock in the morning, Herbert confident, Neb joyous, Pencroft murmuring aside,--	They set out accordingly about ten o'clock in the morning, Herbert confident, Neb joyous, Pencroft murmuring aside,--	true	842.9	850.93	19.532862
6510_62516_000081_000000	"If, on my return, I find a fire at the house, I shall believe that the thunder itself came to light it." All three climbed the bank; and arrived at the angle made by the river, the sailor, stopping, said to his two companions,--	"If, on my return, I find a fire at the house, I shall believe that the thunder itself came to light it." All three climbed the bank; and arrived at the angle made by the river, the sailor, stopping, said to his two companions,--	true	851.12	866.05	20.370722
6510_62516_000082_000000	"Shall we begin by being hunters or wood-men?"	"Shall we begin by being hunters or wood men?"	true	866.42	869.5	16.415384
6510_62516_000083_000000	"Hunters," replied Herbert.	"Hunters," replied Herbert.	true	869.63	871.33	19.227491
6510_62516_000083_000001	"There is Top already in quest."	"There is Top already in quest."	true	871.46	874.03	18.397087
6510_62516_000084_000000	"We will hunt, then," said the sailor, "and afterwards we can come back and collect our wood."	"We will hunt, then," said the sailor, "and afterwards we can come back and collect our wood."	true	874.28	880	19.470722
6510_62516_000085_000000	This agreed to, Herbert, Neb, and Pencroft, after having torn three sticks from the trunk of a young fir, followed Top, who was bounding about among the long grass.	This agreed to, Herbert, Neb, and Pencroft, after having torn three sticks from the trunk of a young fir, followed Top, who was bounding about among the long grass.	false	880.07	890.53	20.42376
6510_62516_000086_000000	This time, the hunters, instead of following the course of the river, plunged straight into the heart of the forest.	This time, the hunters, instead of following the course of the river, plunged straight into the heart of the forest.	true	890.69	897.22	20.65936
6510_62516_000086_000001	There were still the same trees, belonging, for the most part, to the pine family.	There were still the same trees, belonging, for the most part, to the pine family.	true	897.59	903.28	20.20862
6510_62516_000086_000002	In certain places, less crowded, growing in clumps, these pines exhibited considerable dimensions, and appeared to indicate, by their development, that the country was situated in a higher latitude than the engineer had supposed.	In certain places, less crowded, growing in clumps, these pines exhibited considerable dimensions, and appeared to indicate, by their development, that the country was situated in a higher latitude than the engineer had supposed.	true	903.38	917.565	17
6510_62516_000086_000003	Glades, bristling with stumps worn away by time, were covered with dry wood, which formed an inexhaustible store of fuel.	Glades, bristling with stumps worn away by time, were covered with dry wood, which formed an inexhaustible store of fuel.	true	917.565	926.71	19.513247
6510_62516_000086_000004	Then, the glade passed, the underwood thickened again, and became almost impenetrable.	Then, the glade passed, the underwood thickened again, and became almost impenetrable.	true	926.99	932.89	19
6510_62516_000087_000000	It was difficult enough to find the way among the groups of trees, without any beaten track.	It was difficult enough to find the way among the groups of trees, without any beaten track.	true	933.02	938.68	17
6510_62516_000087_000001	So the sailor from time to time broke off branches which might be easily recognized.	So the sailor from time to time broke off branches which might be easily recognized.	true	939.23	944.98	19.520277
6510_62516_000087_000002	But, perhaps, he was wrong not to follow the watercourse, as he and Herbert had done on their first excursion, for after walking an hour not a creature had shown itself. Top, running under the branches, only roused birds which could not be approached.	But, perhaps, he was wrong not to follow the watercourse, as he and Herbert had done on their first excursion, for after walking an hour not a creature had shown itself. Top, running under the branches, only roused birds which could not be approached.	false	945.2	962.04	20.403524
6510_62516_000087_000003	Even the couroucous were invisible, and it was probable that the sailor would be obliged to return to the marshy part of the forest, in which he had so happily performed his grouse fishing.	Even the couroucous were invisible, and it was probable that the sailor would be obliged to return to the marshy part of the forest, in which he had so happily performed his grouse fishing.	true	962.04	974.86	19.397923
6510_62516_000088_000000	"Well, Pencroft," said Neb, in a slightly sarcastic tone, "if this is all the game which you promised to bring back to my master, it won't need a large fire to roast it!"	"Well, Pencroft," said Neb, in a slightly sarcastic tone, "if this is all the game which you promised to bring back to my master, it won't need a large fire to roast it!"	true	974.93	985.39	18.364872
6510_62516_000089_000000	"Have patience," replied the sailor, "it isn't the game which will be wanting on our return."	"Have patience," replied the sailor, "it isn't the game which will be wanting on our return."	true	985.88	991.51	18
6510_62516_000090_000000	"Have you not confidence in Captain Harding?"	"Have you not confidence in Captain Harding?"	true	991.88	994.39	18
6510_62516_000091_000000	"Yes."	"Yes."	true	994.73	995.59	18.595629
