4595_45217_000000_000000	CHAPTER XXI	CHAPTER twenty one	false	0.51	8.94	21.80065
4595_45217_000008_000000	I did not wait for an answer.	I did not wait for an answer.	true	108.08	109.72	24.43834
4595_45217_000008_000001	I was not in a mood for reflection or nice distinctions.	I was not in a mood for reflection or nice distinctions.	true	109.73	113.17	23.22721
4595_45217_000008_000002	The man came in just then with a fresh plate of toast.	The man came in just then with a fresh plate of toast.	true	113.39	116.29	26.28449
4595_45217_000009_000000	“Bates, Mr. Pickering has learned that I was away from the house on the night of the attack, and I’m ordered off for having broken my agreement to stay here. How do you suppose he heard of it so promptly?”	"Bates, mr Pickering has learned that I was away from the house on the night of the attack, and I'm ordered off for having broken my agreement to stay here. How do you suppose he heard of it so promptly?"	true	116.72	126.25	21.637331
4595_45217_000010_000000	“From Morgan, quite possibly.	"From Morgan, quite possibly.	true	127.07	129.12	22.525322
4595_45217_000010_000001	I have a letter from Mr. Pickering myself this morning.	I have a letter from mr Pickering myself this morning.	false	129.12	132.375	26.9834
4595_45217_000010_000002	Just a moment, sir.”	Just a moment, sir."	false	132.375	134.475	21.094357
4595_45217_000011_000000	He placed before me a note bearing the same date as my own.	He placed before me a note bearing the same date as my own.	true	134.475	137.97	22.728386
4595_45217_000011_000001	It was a sharp rebuke of Bates for his failure to report my absence, and he was ordered to prepare to leave on the first of February.	It was a sharp rebuke of Bates for his failure to report my absence, and he was ordered to prepare to leave on the first of February.	true	137.97	144.67	24.542423
4595_45217_000011_000002	“Close your accounts at the shopkeepers’ and I will audit your bills on my arrival.”	"Close your accounts at the shopkeepers' and I will audit your bills on my arrival."	true	145.34	149.95	23.618343
4595_45217_000012_000000	The tone was peremptory and contemptuous.	The tone was peremptory and contemptuous.	true	150.35	152.71	27.068937
4595_45217_000012_000001	Bates had failed to satisfy Pickering and was flung off like a smoked-out cigar.	Bates had failed to satisfy Pickering and was flung off like a smoked out cigar.	true	152.87	157.09	24.85539
4595_45217_000013_000000	“How much had he allowed you for expenses, Bates?”	"How much had he allowed you for expenses, Bates?"	false	157.73	160.12	23.38337
4595_45217_000014_000000	He met my gaze imperturbably.	He met my gaze imperturbably.	true	160.82	162.88	21.77537
4595_45217_000015_000000	“He paid me fifty dollars a month as wages, sir, and I was allowed seventy-five for other expenses.”	"He paid me fifty dollars a month as wages, sir, and I was allowed seventy five for other expenses."	true	163.7	170.11	18.940641
4595_45217_000016_000000	“But you didn’t buy English pheasants and champagne on that allowance!”	"But you didn't buy English pheasants and champagne on that allowance!"	true	170.72	174.07	19.090557
4595_45217_000017_000000	He was carrying away the coffee tray and his eyes wandered to the windows.	He was carrying away the coffee tray and his eyes wandered to the windows.	true	174.77	178.54	21.751822
4595_45217_000018_000000	“Not quite, sir.	"Not quite, sir.	false	179.15	180.6	30.91599
4595_45217_000018_000001	You see—”	You see—"	true	180.6	181.42	22.535276
4595_45217_000019_000000	“But I don’t see!”	"But I don't see!"	true	182.09	183.34	26.436186
4595_45217_000020_000000	“It had occurred to me that as Mr. Pickering’s allowance wasn’t what you might call generous it was better to augment it—Well, sir, I took the liberty of advancing a trifle, as you might say, to the estate.	"It had occurred to me that as mr Pickering's allowance wasn't what you might call generous it was better to augment it—Well, sir, I took the liberty of advancing a trifle, as you might say, to the estate.	false	184.25	196.81	23.970709
4595_45217_000020_000001	Your grandfather would not have had you starve, sir.”	Your grandfather would not have had you starve, sir."	false	197	201.6	19.069914
4595_45217_000021_000000	He left hurriedly, as though to escape from the consequences of his words, and when I came to myself Larry was gloomily invoking his strange Irish gods.	He left hurriedly, as though to escape from the consequences of his words, and when I came to myself Larry was gloomily invoking his strange Irish gods.	true	201.6	209.83	22
4595_45217_000022_000000	“Larry Donovan, I’ve been tempted to kill that fellow a dozen times!	"Larry Donovan, I've been tempted to kill that fellow a dozen times!	true	210.74	214.24	21.228804
4595_45217_000022_000001	This thing is too damned complicated for me.	This thing is too damned complicated for me.	true	214.34	216.49	25.17307
4595_45217_000022_000002	I wish my lamented grandfather had left me something easy.	I wish my lamented grandfather had left me something easy.	true	216.65	219.67	24.79933
4595_45217_000022_000003	To think of it—that fellow, after my treatment of him—my cursing and abusing him since I came here!	To think of it—that fellow, after my treatment of him—my cursing and abusing him since I came here!	true	219.8	224.895	27
4595_45217_000022_000004	Great Scott, man, I’ve been enjoying his bounty, I’ve been living on his money!	Great Scott, man, I've been enjoying his bounty, I've been living on his money!	true	224.895	229.53	21.91354
4595_45217_000022_000005	And all the time he’s been trusting in me, just because of his dog-like devotion to my grandfather’s memory. Lord, I can’t face the fellow again!”	And all the time he's been trusting in me, just because of his dog like devotion to my grandfather's memory. Lord, I can't face the fellow again!"	false	229.53	237.37	22.359997
4595_45217_000023_000000	“As I have said before, you’re rather lacking at times in perspicacity.	"As I have said before, you're rather lacking at times in perspicacity.	true	237.98	241.69	22
4595_45217_000023_000001	Your intelligence is marred by large opaque spots.	Your intelligence is marred by large opaque spots.	true	241.73	244.72	21.764938
4595_45217_000023_000002	Now that there’s a woman in the case you’re less sane than ever.	Now that there's a woman in the case you're less sane than ever.	true	244.85	247.71	15
4595_45217_000023_000003	Bah, these women!	Bah, these women!	false	247.71	249.55	19.095957
4595_45217_000023_000004	And now we’ve got to go to work.”	And now we've got to go to work."	true	249.86	251.56	24.1018
4595_45217_000024_000000	Bah, these women!	Bah, these women!	true	252.17	253.32	26.052027
4595_45217_000024_000001	My own heart caught the words. I was enraged and bitter.	My own heart caught the words. I was enraged and bitter.	true	253.32	256.36	23.765554
4595_45217_000024_000002	No wonder she had been anxious for me to avoid Pickering after daring me to follow her!	No wonder she had been anxious for me to avoid Pickering after daring me to follow her!	true	256.43	260.47	25
4595_45217_000025_000000	We called a council of war for that night that we might view matters in the light of Pickering’s letter. His assuredness in ordering me to leave made prompt and decisive action necessary on my part.	We called a council of war for that night that we might view matters in the light of Pickering's letter. His assuredness in ordering me to leave made prompt and decisive action necessary on my part.	true	261.26	271.39	23.691343
4595_45217_000025_000001	I summoned Stoddard to our conference, feeling confident of his friendliness.	I summoned Stoddard to our conference, feeling confident of his friendliness.	true	271.46	274.99	22.37209
4595_45217_000026_000000	“Of course,” said the broad-shouldered chaplain, “if you could show that your absence was on business of very grave importance, the courts might construe in that you had not really violated the will.”	"Of course," said the broad shouldered chaplain, "if you could show that your absence was on business of very grave importance, the courts might construe in that you had not really violated the will."	true	275.66	286.75	21.956282
4595_45217_000027_000000	Larry looked at the ceiling and blew rings of smoke languidly.	Larry looked at the ceiling and blew rings of smoke languidly.	true	287.51	290.71	22
4595_45217_000027_000001	I had not disclosed to either of them the cause of my absence.	I had not disclosed to either of them the cause of my absence.	true	290.9	294.49	25.329203
4595_45217_000027_000002	On such a matter I knew I should get precious little sympathy from Larry, and I had, moreover, a feeling that I could not discuss Marian Devereux with any one; I even shrank from mentioning her name, though it rang like the call of bugles in my blood.	On such a matter I knew I should get precious little sympathy from Larry, and I had, moreover, a feeling that I could not discuss Marian Devereux with any one; I even shrank from mentioning her name, though it rang like the call of bugles in my blood.	true	294.5	307.27	21.855616
4595_45217_000028_000000	She was always before me,—the charmed spirit of youth, linked to every foot of the earth, every gleam of the sun upon the ice-bound lake, every glory of the winter sunset.	She was always before me,—the charmed spirit of youth, linked to every foot of the earth, every gleam of the sun upon the ice bound lake, every glory of the winter sunset.	true	307.76	317.35	22.694078
4595_45217_000028_000001	All the good impulses I had ever stifled were quickened to life by the thought of her.	All the good impulses I had ever stifled were quickened to life by the thought of her.	true	317.66	321.76	22.754137
4595_45217_000028_000002	Amid the day’s perplexities I started sometimes, thinking I heard her voice, her girlish laughter, or saw her again coming toward me down the stairs, or holding against the light her fan with its golden butterflies.	Amid the day's perplexities I started sometimes, thinking I heard her voice, her girlish laughter, or saw her again coming toward me down the stairs, or holding against the light her fan with its golden butterflies.	true	321.98	333.55	23.091244
4595_45217_000028_000003	I really knew so little of her; I could associate her with no home, only with that last fling of the autumn upon the lake, the snow-driven woodland, that twilight hour at the organ in the chapel, those stolen moments at the Armstrongs’. I resented the pressure of the hour’s affairs, and chafed at the necessity for talking of my perplexities with the good friends who were there to help.	I really knew so little of her; I could associate her with no home, only with that last fling of the autumn upon the lake, the snow driven woodland, that twilight hour at the organ in the chapel, those stolen moments at the Armstrongs'. I resented the pressure of the hour's affairs, and chafed at the necessity for talking of my perplexities with the good friends who were there to help.	false	334.04	355.18	22.578716
4595_45217_000028_000004	I wished to be alone, to yield to the sweet mood that the thought of her brought me.	I wished to be alone, to yield to the sweet mood that the thought of her brought me.	true	355.34	359.5	24.2184
4595_45217_000028_000005	The doubt that crept through my mind as to any possibility of connivance between her and Pickering was as vague and fleeting as the shadow of a swallow’s wing on a sunny meadow.	The doubt that crept through my mind as to any possibility of connivance between her and Pickering was as vague and fleeting as the shadow of a swallow's wing on a sunny meadow.	true	359.78	368.53	22.608496
4595_45217_000029_000000	“You don’t intend fighting the fact of your absence, do you?” demanded Larry, after a long silence.	"You don't intend fighting the fact of your absence, do you?" demanded Larry, after a long silence.	true	369.32	374.47	22.949434
4595_45217_000030_000000	“Of course not!” I replied quietly.	"Of course not!" I replied quietly.	true	374.9	377.38	26.120092
4595_45217_000030_000001	“Pickering was right on my heels, and my absence was known to his men here.	"Pickering was right on my heels, and my absence was known to his men here.	true	377.57	381.34	18.765047
4595_45217_000030_000002	And it would not be square to my grandfather, —who never harmed a flea, may his soul rest in blessed peace!—to lie about it.	And it would not be square to my grandfather, —who never harmed a flea, may his soul rest in blessed peace!—to lie about it.	true	381.47	387.45	23.675787
4595_45217_000030_000003	They might nail me for perjury besides.”	They might nail me for perjury besides."	true	387.45	389.56	20.702936
4595_45217_000031_000000	“Then the quicker we get ready for a siege the better. As I understand your attitude, you don’t propose to move out until you’ve found where the siller’s hidden. Being a gallant gentleman and of a forgiving nature, you want to be sure that the lady who is now entitled to it gets all there is coming to her, and as you don’t trust the executor, any further than a true Irishman trusts a British prime minister’s promise, you’re going to stand by to watch the boodle counted.	"Then the quicker we get ready for a siege the better. As I understand your attitude, you don't propose to move out until you've found where the siller's hidden. Being a gallant gentleman and of a forgiving nature, you want to be sure that the lady who is now entitled to it gets all there is coming to her, and as you don't trust the executor, any further than a true Irishman trusts a British prime minister's promise, you're going to stand by to watch the boodle counted.	true	390.14	412.56	22.982653
4595_45217_000031_000001	Is that a correct analysis of your intentions?”	Is that a correct analysis of your intentions?"	false	412.56	414.88	21.1904
4595_45217_000032_000000	“That’s as near one of my ideas as you’re likely to get, Larry Donovan!”	"That's as near one of my ideas as you're likely to get, Larry Donovan!"	true	415.94	419.56	18.71386
4595_45217_000033_000000	“And if he comes with the authorities,—the sheriff and that sort of thing,—we must prepare for such an emergency,” interposed the chaplain.	"And if he comes with the authorities,—the sheriff and that sort of thing,—we must prepare for such an emergency," interposed the chaplain.	false	420.38	427.42	27.468569
4595_45217_000034_000000	“So much the worse for the sheriff and the rest of them!” I declared.	"So much the worse for the sheriff and the rest of them!" I declared.	true	428.27	431.62	25.723156
4595_45217_000035_000000	“Spoken like a man of spirit.	"Spoken like a man of spirit.	true	432.17	433.89	22.087444
4595_45217_000035_000001	And now we’d better stock up at once, in case we should be shut off from our source of supplies.	And now we'd better stock up at once, in case we should be shut off from our source of supplies.	true	433.89	438.13	20
4595_45217_000035_000002	This is a lonely place here; even the school is a remote neighbor.	This is a lonely place here; even the school is a remote neighbor.	true	438.2	441.34	19
4595_45217_000035_000003	Better let Bates raid the village shops to-morrow.	Better let Bates raid the village shops to morrow.	true	441.59	443.865	20.3264
4595_45217_000035_000004	I’ve tried being hungry, and I don’t care to repeat the experience.”	I've tried being hungry, and I don't care to repeat the experience."	true	443.865	446.74	23.455101
4595_45217_000036_000000	And Larry reached for the tobacco jar.	And Larry reached for the tobacco jar.	true	447.38	449.5	21.187834
4595_45217_000037_000000	“I can’t imagine, I really can’t believe,” began the chaplain, “that Miss Devereux will want to be brought into this estate matter in any way.	"I can't imagine, I really can't believe," began the chaplain, "that Miss Devereux will want to be brought into this estate matter in any way.	true	450.29	458.64	20.046415
4595_45217_000037_000001	In fact, I have heard Sister Theresa say as much.	In fact, I have heard Sister Theresa say as much.	false	458.64	461.08	24.795317
4595_45217_000037_000002	I suppose there’s no way of preventing a man from leaving his property to a young woman, who has no claim on him,—who doesn’t want anything from him.”	I suppose there's no way of preventing a man from leaving his property to a young woman, who has no claim on him,—who doesn't want anything from him."	true	461.18	468.52	23.300539
4595_45217_000038_000000	“Bah, these women!	"Bah, these women!	true	469.37	470.82	24.249992
4595_45217_000038_000001	People don’t throw legacies to the birds these days.	People don't throw legacies to the birds these days.	true	470.82	473.1	13
4595_45217_000038_000002	Of course she’ll take it.”	Of course she'll take it."	true	473.1	474.22	24.2594
4595_45217_000039_000000	Then his eyes widened and met mine in a gaze that reflected the mystification and wonder that struck both of us.	Then his eyes widened and met mine in a gaze that reflected the mystification and wonder that struck both of us.	true	475.04	480.91	20.555475
4595_45217_000039_000001	Stoddard turned from the fire suddenly:	Stoddard turned from the fire suddenly:	true	481.28	483.22	21.273693
4595_45217_000040_000000	“What’s that?	"What's that?	true	483.62	484.42	29.96213
4595_45217_000040_000001	There’s some one up stairs!”	There's some one up stairs!"	true	484.82	486.1	24.54376
4595_45217_000041_000000	Larry was already running toward the hall, and I heard him springing up the steps like a cat, while Stoddard and I followed.	Larry was already running toward the hall, and I heard him springing up the steps like a cat, while Stoddard and I followed.	false	486.92	493.21	23.040863
4595_45217_000042_000000	“Where’s Bates?” demanded the chaplain.	"Where's Bates?" demanded the chaplain.	true	493.7	495.94	26.92033
4595_45217_000043_000000	“I’ll thank you for the answer,”	"I'll thank you for the answer,"	true	496.94	498.405	23.597496
4595_45217_000043_000001	I replied.	I replied.	true	498.405	499.27	23.61268
4595_45217_000044_000000	Larry stood at the top of the staircase, holding a candle at arm’s length in front of him, staring about.	Larry stood at the top of the staircase, holding a candle at arm's length in front of him, staring about.	true	500.33	505.75	25.179632
4595_45217_000045_000000	We could hear quite distinctly some one walking on a stairway; the sounds were unmistakable, just as I had heard them on several previous occasions, without ever being able to trace their source.	We could hear quite distinctly some one walking on a stairway; the sounds were unmistakable, just as I had heard them on several previous occasions, without ever being able to trace their source.	false	506.12	516.1	22.891022
4595_45217_000046_000000	The noise ceased suddenly, leaving us with no hint of its whereabouts.	The noise ceased suddenly, leaving us with no hint of its whereabouts.	true	516.56	520.27	23.968086
4595_45217_000047_000000	I went directly to the rear of the house and found Bates putting the dishes away in the pantry.	I went directly to the rear of the house and found Bates putting the dishes away in the pantry.	true	520.61	525.13	21.028608
4595_45217_000048_000000	“Where have you been?”	"Where have you been?"	true	525.89	526.965	24.732431
4595_45217_000048_000001	I demanded.	I demanded.	true	526.965	527.7	25.593142
4595_45217_000049_000000	“Here, sir; I have been clearing up the dinner things, Mr. Glenarm.	"Here, sir; I have been clearing up the dinner things, mr Glenarm.	false	527.7	532.47	23.39789
4595_45217_000049_000001	Is there anything the matter, sir?”	Is there anything the matter, sir?"	false	532.47	535.11	21.92351
4595_45217_000050_000000	“Nothing.”	"Nothing."	true	535.11	535.9	28.40946
4595_45217_000051_000000	I joined the others in the library.	I joined the others in the library.	true	536.39	538.27	20.486143
4595_45217_000052_000000	“Why didn’t you tell me this feudal imitation was haunted?” asked Larry, in a grieved tone.	"Why didn't you tell me this feudal imitation was haunted?" asked Larry, in a grieved tone.	true	538.82	543.52	21.779219
4595_45217_000052_000001	“All it needed was a cheerful ghost, and now I believe it lacks absolutely nothing.	"All it needed was a cheerful ghost, and now I believe it lacks absolutely nothing.	true	543.68	547.45	20
4595_45217_000052_000002	I’m increasingly glad I came.	I'm increasingly glad I came.	true	547.49	549.25	23.68262
4595_45217_000052_000003	How often does it walk?”	How often does it walk?"	true	549.26	550.57	24.867733
4595_45217_000053_000000	“It’s not on a schedule.	"It's not on a schedule.	true	550.97	552.58	21.48269
4595_45217_000053_000001	Just now it’s the wind in the tower probably; the wind plays queer pranks up there sometimes.”	Just now it's the wind in the tower probably; the wind plays queer pranks up there sometimes."	true	552.62	557.29	25.380514
4595_45217_000054_000000	“You’ll have to do better than that, Glenarm,” said Stoddard.	"You'll have to do better than that, Glenarm," said Stoddard.	true	557.75	560.8	28.332653
4595_45217_000054_000001	“It’s as still outside as a country graveyard.”	"It's as still outside as a country graveyard."	true	560.96	563.53	23.37392
4595_45217_000055_000000	“Only the slaugh sidhe, the people of the faery hills, the cheerfulest ghosts in the world,” said Larry.	"Only the slaugh sidhe, the people of the faery hills, the cheerfulest ghosts in the world," said Larry.	false	564.23	569.56	22.760948
4595_45217_000055_000001	“You literal Saxons can’t grasp the idea, of course.”	"You literal Saxons can't grasp the idea, of course."	false	569.9	573.06	25.661133
4595_45217_000056_000000	But there was substance enough in our dangers without pursuing shadows.	But there was substance enough in our dangers without pursuing shadows.	true	573.06	576.45	19
4595_45217_000056_000001	Certain things were planned that night.	Certain things were planned that night.	true	576.45	578.32	23.691038
4595_45217_000056_000002	We determined to exercise every precaution to prevent a surprise from without, and we resolved upon a new and systematic sounding of walls and floors, taking our clue from the efforts made by Morgan and his ally to find hiding-places by this process.	We determined to exercise every precaution to prevent a surprise from without, and we resolved upon a new and systematic sounding of walls and floors, taking our clue from the efforts made by Morgan and his ally to find hiding places by this process.	true	578.33	591.85	21.152262
4595_45217_000056_000003	Pickering would undoubtedly arrive shortly, and we wished to anticipate his movements as far as possible.	Pickering would undoubtedly arrive shortly, and we wished to anticipate his movements as far as possible.	true	592.07	597.25	22.803015
4595_45217_000057_000000	We resolved, too, upon a day patrol of the grounds and a night guard.	We resolved, too, upon a day patrol of the grounds and a night guard.	true	598.28	601.99	22.390528
4595_45217_000057_000001	The suggestion came, I believe, from Stoddard, whose interest in my affairs was only equaled by the fertility of his suggestions.	The suggestion came, I believe, from Stoddard, whose interest in my affairs was only equaled by the fertility of his suggestions.	true	602	608.59	22.314247
4595_45217_000057_000002	One of us should remain abroad at night, ready to sound the alarm in case of attack.	One of us should remain abroad at night, ready to sound the alarm in case of attack.	true	608.75	612.73	21.533493
4595_45217_000057_000003	Bates should take his turn with the rest—Stoddard insisted on it.	Bates should take his turn with the rest—Stoddard insisted on it.	true	612.95	616.63	25.842691
4595_45217_000058_000000	Within two days we were, as Larry expressed it, on a war footing.	Within two days we were, as Larry expressed it, on a war footing.	true	617.03	620.89	20.41822
4595_45217_000058_000001	We added a couple of shot-guns and several revolvers to my own arsenal, and piled the library table with cartridge boxes.	We added a couple of shot guns and several revolvers to my own arsenal, and piled the library table with cartridge boxes.	true	621.11	627.58	21.870613
4595_45217_000058_000002	Bates, acting as quarter-master, brought a couple of wagon-loads of provisions. Stoddard assembled a remarkable collection of heavy sticks; he had more confidence in them, he said, than in gunpowder, and, moreover, he explained, a priest might not with propriety bear arms.	Bates, acting as quarter master, brought a couple of wagon loads of provisions. Stoddard assembled a remarkable collection of heavy sticks; he had more confidence in them, he said, than in gunpowder, and, moreover, he explained, a priest might not with propriety bear arms.	false	627.89	642.19	24.005157
4595_45217_000059_000000	It was a cheerful company of conspirators that now gathered around the big hearth.	It was a cheerful company of conspirators that now gathered around the big hearth.	true	642.53	646.87	22.424885
4595_45217_000059_000001	Larry, always restless, preferred to stand at one side, an elbow on the mantel-shelf, pipe in mouth; and Stoddard sought the biggest chair,—and filled it.	Larry, always restless, preferred to stand at one side, an elbow on the mantel shelf, pipe in mouth; and Stoddard sought the biggest chair,—and filled it.	true	647.03	655.36	24.373812
4595_45217_000059_000002	He and Larry understood each other at once, and Larry’s stories, ranging in subject from undergraduate experiences at Dublin to adventures in Africa and always including endless conflicts with the Irish constabulary, delighted the big boyish clergyman.	He and Larry understood each other at once, and Larry's stories, ranging in subject from undergraduate experiences at Dublin to adventures in Africa and always including endless conflicts with the Irish constabulary, delighted the big boyish clergyman.	true	655.52	669.31	21.901545
4595_45217_000060_000000	Often, at some one’s suggestion of a new idea, we ran off to explore the house again in search of the key to the Glenarm riddle, and always we came back to the library with that riddle still unsolved.	Often, at some one's suggestion of a new idea, we ran off to explore the house again in search of the key to the Glenarm riddle, and always we came back to the library with that riddle still unsolved.	false	670.73	690.93	20.786478
