7540_101258_000000_000000	(Volksmarchen der Serben.)	(Volksmarchen der Serben.)	false	4.83	6.765	20.565563
7540_101258_000010_000000	After a little more talk the three made themselves ready and crept softly away.	After a little more talk the three made themselves ready and crept softly away.	false	101.51	106.99	20.43913
7540_101258_000011_000000	Anastasia, who had heard every word, ran straight to her father, and told him all.	Anastasia, who had heard every word, ran straight to her father, and told him all.	false	107.51	112.51	19.24695
7540_101258_000012_000000	Mark was very much surprised; he thought, and thought, and in the morning he drove to the next village to try and find out if such a child really had been born.	Mark was very much surprised; he thought, and thought, and in the morning he drove to the next village to try and find out if such a child really had been born.	true	113.57	122.23	19
7540_101258_000012_000001	He went first to the priest, and asked him about the children in his parish.	He went first to the priest, and asked him about the children in his parish.	false	122.57	126.91	18
7540_101258_000013_000000	'Yesterday,' said the priest, 'a boy was born in the poorest house in the village.	'Yesterday,' said the priest, 'a boy was born in the poorest house in the village.	true	127.49	132.61	17.769873
7540_101258_000013_000001	I named the unlucky little thing "Vassili." He is the seventh son, and the eldest is only seven years old, and they hardly have a mouthful amongst them all.	I named the unlucky little thing "Vassili." He is the seventh son, and the eldest is only seven years old, and they hardly have a mouthful amongst them all.	true	133.1	143.08	18.786633
7540_101258_000013_000002	Who can be got to stand godfather to such a little beggar boy?'	Who can be got to stand godfather to such a little beggar boy?'	true	143.69	147.67	21.834429
7540_101258_000014_000000	The merchant's heart beat fast, and his mind was full of bad thoughts about that poor little baby.	The merchant's heart beat fast, and his mind was full of bad thoughts about that poor little baby.	false	147.95	152.89	19
7540_101258_000014_000001	He would be godfather himself, he said, and he ordered a fine christening feast; so the child was brought and christened, and Mark was very friendly to its father.	He would be godfather himself, he said, and he ordered a fine christening feast; so the child was brought and christened, and Mark was very friendly to its father.	true	153.17	162.76	19.870424
7540_101258_000014_000002	After the ceremony was over he took Ivan aside and said:	After the ceremony was over he took Ivan aside and said:	true	163.04	166.39	17.804586
7540_101258_000015_000000	'Look here, my friend, you are a poor man.	'Look here, my friend, you are a poor man.	true	166.49	169.21	22.831453
7540_101258_000015_000001	How can you afford to bring up the boy?	How can you afford to bring up the boy?	true	169.31	171.55	21.300476
7540_101258_000015_000002	Give him to me and I'll make something of him, and I'll give you a present of a thousand crowns.	Give him to me and I'll make something of him, and I'll give you a present of a thousand crowns.	true	171.59	176.89	19.771973
7540_101258_000015_000003	Is that a bargain?'	Is that a bargain?'	true	176.96	177.94	20.49669
7540_101258_000016_000000	Ivan scratched his head, and thought, and thought, and then he agreed. Mark counted out the money, wrapped the baby up in a fox skin, laid it in the sledge beside him, and drove back towards home.	Ivan scratched his head, and thought, and thought, and then he agreed. Mark counted out the money, wrapped the baby up in a fox skin, laid it in the sledge beside him, and drove back towards home.	false	178.07	190.03	18.729027
7540_101258_000016_000001	When he had driven some miles he drew up, carried the child to the edge of a steep precipice and threw it over, muttering, 'There, now try to take my property!'	When he had driven some miles he drew up, carried the child to the edge of a steep precipice and threw it over, muttering, 'There, now try to take my property!'	true	190.52	200.53	20.027515
7540_101258_000017_000000	Very soon after this some foreign merchants travelled along that same road on the way to see Mark and to pay the twelve thousand crowns which they owed him.	Very soon after this some foreign merchants travelled along that same road on the way to see Mark and to pay the twelve thousand crowns which they owed him.	false	200.96	209.02	18.689985
7540_101258_000018_000000	As they were passing near the precipice they heard a sound of crying, and on looking over they saw a little green meadow wedged in between two great heaps of snow, and on the meadow lay a baby amongst the flowers.	As they were passing near the precipice they heard a sound of crying, and on looking over they saw a little green meadow wedged in between two great heaps of snow, and on the meadow lay a baby amongst the flowers.	true	209.36	222.22	21.42813
7540_101258_000019_000000	The merchants picked up the child, wrapped it up carefully, and drove on.	The merchants picked up the child, wrapped it up carefully, and drove on.	true	222.95	227.32	21.019499
7540_101258_000019_000001	When they saw Mark they told him what a strange thing they had found.	When they saw Mark they told him what a strange thing they had found.	true	227.81	231.37	19.042181
7540_101258_000019_000002	Mark guessed at once that the child must be his godson, asked to see him, and said:	Mark guessed at once that the child must be his godson, asked to see him, and said:	true	231.59	236.53	20.673067
7540_101258_000020_000000	'That's a nice little fellow; I should like to keep him.	'That's a nice little fellow; I should like to keep him.	true	236.66	239.44	19.830206
7540_101258_000020_000001	If you will make him over to me, I will let you off your debt.'	If you will make him over to me, I will let you off your debt.'	true	239.66	242.71	20.315144
7540_101258_000021_000000	The merchants were very pleased to make so good a bargain, left the child with Mark, and drove off.	The merchants were very pleased to make so good a bargain, left the child with Mark, and drove off.	false	243.17	248.59	17.69733
7540_101258_000022_000000	At night Mark took the child, put it in a barrel, fastened the lid tight down, and threw it into the sea.	At night Mark took the child, put it in a barrel, fastened the lid tight down, and threw it into the sea.	true	249.14	256.06	21.196741
7540_101258_000022_000001	The barrel floated away to a great distance, and at last it floated close up to a monastery.	The barrel floated away to a great distance, and at last it floated close up to a monastery.	true	256.58	262.78	20.332573
7540_101258_000022_000002	The monks were just spreading out their nets to dry on the shore, when they heard the sound of crying.	The monks were just spreading out their nets to dry on the shore, when they heard the sound of crying.	true	263.21	268.27	20.5629
7540_101258_000022_000003	It seemed to come from the barrel which was bobbing about near the water's edge.	It seemed to come from the barrel which was bobbing about near the water's edge.	true	268.46	272.59	21
7540_101258_000022_000004	They drew it to land and opened it, and there was a little child!	They drew it to land and opened it, and there was a little child!	false	272.9	277.3	19.806952
7540_101258_000022_000005	When the abbot heard the news, he decided to bring up the boy, and named him 'Vassili.'	When the abbot heard the news, he decided to bring up the boy, and named him 'Vassili.'	false	277.52	284.13	17.451262
7540_101258_000023_000000	The boy lived on with the monks, and grew up to be a clever, gentle, and handsome young man.	The boy lived on with the monks, and grew up to be a clever, gentle, and handsome young man.	true	284.13	289.48	20.368052
7540_101258_000023_000001	No one could read, write, or sing better than he, and he did everything so well that the abbot made him wardrobe keeper.	No one could read, write, or sing better than he, and he did everything so well that the abbot made him wardrobe keeper.	true	290.21	298.03	19.346004
7540_101258_000024_000000	Now, it happened about this time that the merchant, Mark, came to the monastery in the course of a journey.	Now, it happened about this time that the merchant, Mark, came to the monastery in the course of a journey.	true	298.67	305.08	20.402254
7540_101258_000024_000001	The monks were very polite to him and showed him their house and church and all they had.	The monks were very polite to him and showed him their house and church and all they had.	false	305.48	310.18	19
7540_101258_000024_000002	When he went into the church the choir was singing, and one voice was so clear and beautiful, that he asked who it belonged to.	When he went into the church the choir was singing, and one voice was so clear and beautiful, that he asked who it belonged to.	true	310.64	318.19	21.073343
7540_101258_000024_000003	Then the abbot told him of the wonderful way in which Vassili had come to them, and Mark saw clearly that this must be his godson whom he had twice tried to kill.	Then the abbot told him of the wonderful way in which Vassili had come to them, and Mark saw clearly that this must be his godson whom he had twice tried to kill.	false	318.8	329.47	22.079731
7540_101258_000025_000000	He said to the abbot: 'I can't tell you how much I enjoy that young man's singing.	He said to the abbot: 'I can't tell you how much I enjoy that young man's singing.	false	330.14	334.93	21.514053
7540_101258_000025_000001	If he could only come to me I would make him overseer of all my business.	If he could only come to me I would make him overseer of all my business.	true	335.36	340	20
7540_101258_000025_000002	As you say, he is so good and clever.	As you say, he is so good and clever.	true	340.88	343.87	20.917519
7540_101258_000025_000003	Do spare him to me.	Do spare him to me.	true	344	345.25	21.793043
7540_101258_000025_000004	I will make his fortune, and will present your monastery with twenty thousand crowns.'	I will make his fortune, and will present your monastery with twenty thousand crowns.'	true	345.38	350.89	20.867355
7540_101258_000026_000000	The abbot hesitated a good deal, but he consulted all the other monks, and at last they decided that they ought not to stand in the way of Vassili's good fortune.	The abbot hesitated a good deal, but he consulted all the other monks, and at last they decided that they ought not to stand in the way of Vassili's good fortune.	true	351.65	361.63	20.741846
7540_101258_000027_000000	Then Mark wrote a letter to his wife and gave it to Vassili to take to her, and this was what was in the letter: 'When the bearer of this arrives, take him into the soap factory, and when you pass near the great boiler, push him in.	Then Mark wrote a letter to his wife and gave it to Vassili to take to her, and this was what was in the letter: 'When the bearer of this arrives, take him into the soap factory, and when you pass near the great boiler, push him in.	false	361.91	375.36	20.212856
7540_101258_000027_000001	If you don't obey my orders I shall be very angry, for this young man is a bad fellow who is sure to ruin us all if he lives.'	If you don't obey my orders I shall be very angry, for this young man is a bad fellow who is sure to ruin us all if he lives.'	false	375.36	383.47	19.261312
7540_101258_000028_000000	Vassili had a good voyage, and on landing set off on foot for Mark's home.	Vassili had a good voyage, and on landing set off on foot for Mark's home.	true	383.87	388.81	19.687288
7540_101258_000028_000001	On the way he met three beggars, who asked him: 'Where are you going, Vassili?'	On the way he met three beggars, who asked him: 'Where are you going, Vassili?'	true	389	393.46	20.536894
7540_101258_000029_000000	'I am going to the house of Mark the Merchant, and have a letter for his wife,' replied Vassili.	'I am going to the house of Mark the Merchant, and have a letter for his wife,' replied Vassili.	true	394.07	399.19	21.175661
7540_101258_000030_000000	'Show us the letter.'	'Show us the letter.'	true	399.35	400.75	17.950146
7540_101258_000031_000000	Vassili handed them the letter.	Vassili handed them the letter.	true	401.21	403.03	18.234303
7540_101258_000031_000001	They blew on it and gave it back to him, saying: 'Now go and give the letter to Mark's wife.	They blew on it and gave it back to him, saying: 'Now go and give the letter to Mark's wife.	true	403.19	408.135	20.588394
7540_101258_000031_000002	You will not be forsaken.'	You will not be forsaken.'	true	408.135	409.81	22
7540_101258_000032_000000	Vassili reached the house and gave the letter.	Vassili reached the house and gave the letter.	true	410.42	413.08	23.72084
7540_101258_000032_000001	When the mistress read it she could hardly believe her eyes and called for her daughter.	When the mistress read it she could hardly believe her eyes and called for her daughter.	true	413.24	417.66	20.91885
7540_101258_000032_000002	In the letter was written, quite plainly: 'When you receive this letter, get ready for a wedding, and let the bearer be married next day to my daughter, Anastasia.	In the letter was written, quite plainly: 'When you receive this letter, get ready for a wedding, and let the bearer be married next day to my daughter, Anastasia.	false	417.66	428.2	20.016485
7540_101258_000032_000003	If you don't obey my orders I shall be very angry.'	If you don't obey my orders I shall be very angry.'	true	428.39	431.83	21.564936
7540_101258_000033_000000	Anastasia saw the bearer of the letter and he pleased her very much. They dressed Vassili in fine clothes and next day he was married to Anastasia.	Anastasia saw the bearer of the letter and he pleased her very much. They dressed Vassili in fine clothes and next day he was married to Anastasia.	true	432.29	442.72	19.360954
7540_101258_000034_000000	In due time, Mark returned from his travels.	In due time, Mark returned from his travels.	true	443.03	445.81	21.107056
7540_101258_000034_000001	His wife, daughter, and son-in-law all went out to meet him.	His wife, daughter, and son in law all went out to meet him.	true	445.91	450.16	21.891897
7540_101258_000034_000002	When Mark saw Vassili he flew into a terrible rage with his wife.	When Mark saw Vassili he flew into a terrible rage with his wife.	true	450.56	454.54	18.3793
7540_101258_000034_000003	'How dared you marry my daughter without my consent?' he asked.	'How dared you marry my daughter without my consent?' he asked.	true	454.58	458.29	19.296427
7540_101258_000035_000000	'I only carried out your orders,' said she.	'I only carried out your orders,' said she.	true	458.72	461.74	18.507427
7540_101258_000035_000001	'Here is your letter.'	'Here is your letter.'	true	462.05	463.24	18.503689
7540_101258_000036_000000	Mark read it.	Mark read it.	true	463.82	464.835	22
7540_101258_000036_000001	It certainly was his handwriting, but by no means his wishes.	It certainly was his handwriting, but by no means his wishes.	true	464.835	469.03	20.215815
7540_101258_000037_000000	'Well,' thought he, 'you've escaped me three times, but I think I shall get the better of you now.' And he waited a month and was very kind and pleasant to his daughter and her husband.	'Well,' thought he, 'you've escaped me three times, but I think I shall get the better of you now.' And he waited a month and was very kind and pleasant to his daughter and her husband.	false	469.49	480.61	18.912346
7540_101258_000038_000000	At the end of that time he said to Vassili one day, 'I want you to go for me to my friend the Serpent King, in his beautiful country at the world's end.	At the end of that time he said to Vassili one day, 'I want you to go for me to my friend the Serpent King, in his beautiful country at the world's end.	true	480.92	490.03	19.456753
7540_101258_000038_000001	Twelve years ago he built a castle on some land of mine.	Twelve years ago he built a castle on some land of mine.	true	490.67	493.69	20.454258
7540_101258_000038_000002	I want you to ask for the rent for those twelve years and also to find out from him what has become of my twelve ships which sailed for his country three years ago.'	I want you to ask for the rent for those twelve years and also to find out from him what has become of my twelve ships which sailed for his country three years ago.'	false	494.3	503.23	18
7540_101258_000039_000000	Vassili dared not disobey.	Vassili dared not disobey.	false	503.96	506.23	19.761898
7540_101258_000039_000001	He said good-bye to his young wife, who cried bitterly at parting, hung a bag of biscuits over his shoulders, and set out.	He said good bye to his young wife, who cried bitterly at parting, hung a bag of biscuits over his shoulders, and set out.	true	506.39	513.73	18.95145
7540_101258_000040_000000	I really cannot tell you whether the journey was long or short.	I really cannot tell you whether the journey was long or short.	true	514.1	517.75	19.430052
7540_101258_000040_000001	As he tramped along he suddenly heard a voice saying: 'Vassili! where are you going?'	As he tramped along he suddenly heard a voice saying: 'Vassili! where are you going?'	true	518.06	523.27	20.542667
7540_101258_000041_000000	Vassili looked about him, and, seeing no one, called out: 'Who spoke to me?'	Vassili looked about him, and, seeing no one, called out: 'Who spoke to me?'	true	523.7	528.46	19.54915
7540_101258_000042_000000	'I did; this old wide-spreading oak.	'I did; this old wide spreading oak.	true	529.01	532.27	22.78947
7540_101258_000042_000001	Tell me where you are going.'	Tell me where you are going.'	false	532.43	534.31	21.12031
7540_101258_000043_000000	'I am going to the Serpent King to receive twelve years' rent from him.'	'I am going to the Serpent King to receive twelve years' rent from him.'	true	534.77	538.93	23.449839
7540_101258_000044_000000	'When the time comes, remember me and ask the king: "Rotten to the roots, half dead but still green, stands the old oak.	'When the time comes, remember me and ask the king: "Rotten to the roots, half dead but still green, stands the old oak.	true	539.6	547.15	22.15084
7540_101258_000044_000001	Is it to stand much longer on the earth?"'	Is it to stand much longer on the earth?"'	true	547.28	549.55	20.7871
7540_101258_000045_000000	Vassili went on further.	Vassili went on further.	true	549.95	551.56	19.725842
7540_101258_000045_000001	He came to a river and got into the ferryboat. The old ferryman asked: 'Are you going far, my friend?'	He came to a river and got into the ferryboat. The old ferryman asked: 'Are you going far, my friend?'	true	551.63	557.8	18.296827
7540_101258_000046_000000	'I am going to the Serpent King.'	'I am going to the Serpent King.'	true	558.17	559.96	19.574158
7540_101258_000047_000000	'Then think of me and say to the king: "For thirty years the ferryman has rowed to and fro.	'Then think of me and say to the king: "For thirty years the ferryman has rowed to and fro.	false	560.27	565.69	20.164309
7540_101258_000047_000001	Will the tired old man have to row much longer?"'	Will the tired old man have to row much longer?"'	true	565.79	568.84	14
7540_101258_000048_000000	'Very well,' said Vassili; 'I'll ask him.'	'Very well,' said Vassili; 'I'll ask him.'	true	569.33	572.08	21.294886
7540_101258_000049_000000	And he walked on.	And he walked on.	true	572.69	574.06	29.53455
7540_101258_000049_000001	In time he came to a narrow strait of the sea and across it lay a great whale over whose back people walked and drove as if it had been a bridge or a road.	In time he came to a narrow strait of the sea and across it lay a great whale over whose back people walked and drove as if it had been a bridge or a road.	false	574.34	584.5	19.184675
7540_101258_000049_000002	As he stepped on it the whale said, 'Do tell me where you are going.'	As he stepped on it the whale said, 'Do tell me where you are going.'	true	584.57	588.64	24.884956
7540_101258_000050_000000	'I am going to the Serpent King.'	'I am going to the Serpent King.'	true	588.92	590.89	22.871851
7540_101258_000051_000000	And the whale begged: 'Think of me and say to the king: "The poor whale has been lying three years across the strait, and men and horses have nearly trampled his back into his ribs.	And the whale begged: 'Think of me and say to the king: "The poor whale has been lying three years across the strait, and men and horses have nearly trampled his back into his ribs.	false	591.23	601.87	21.017433
7540_101258_000051_000001	Is he to lie there much longer?"'	Is he to lie there much longer?"'	true	602.09	604.15	18.134007
7540_101258_000052_000000	'I will remember,' said Vassili, and he went on.	'I will remember,' said Vassili, and he went on.	true	604.82	607.99	20.106045
7540_101258_000053_000000	He walked, and walked, and walked, till he came to a great green meadow. In the meadow stood a large and splendid castle.	He walked, and walked, and walked, till he came to a great green meadow. In the meadow stood a large and splendid castle.	false	608.54	615.22	22.650162
7540_101258_000053_000001	Its white marble walls sparkled in the light, the roof was covered with mother o' pearl, which shone like a rainbow, and the sun glowed like fire on the crystal windows.	Its white marble walls sparkled in the light, the roof was covered with mother o' pearl, which shone like a rainbow, and the sun glowed like fire on the crystal windows.	true	615.59	625.72	17.672188
7540_101258_000053_000002	Vassili walked in, and went from one room to another astonished at all the splendour he saw.	Vassili walked in, and went from one room to another astonished at all the splendour he saw.	true	626.15	632.26	24.830477
7540_101258_000054_000000	When he reached the last room of all, he found a beautiful girl sitting on a bed.	When he reached the last room of all, he found a beautiful girl sitting on a bed.	true	632.84	637.45	19.695127
7540_101258_000055_000000	As soon as she saw him she said: 'Oh, Vassili, what brings you to this accursed place?'	As soon as she saw him she said: 'Oh, Vassili, what brings you to this accursed place?'	true	637.97	643.18	21.670052
7540_101258_000056_000000	Vassili told her why he had come, and all he had seen and heard on the way.	Vassili told her why he had come, and all he had seen and heard on the way.	false	643.76	648.73	20.130589
7540_101258_000057_000000	The girl said: 'You have not been sent here to collect rents, but for your own destruction, and that the serpent may devour you.'	The girl said: 'You have not been sent here to collect rents, but for your own destruction, and that the serpent may devour you.'	true	649.4	657.22	22.320189
7540_101258_000058_000000	She had not time to say more, when the whole castle shook, and a rustling, hissing, groaning sound was heard.	She had not time to say more, when the whole castle shook, and a rustling, hissing, groaning sound was heard.	true	657.86	665.08	19.50803
7540_101258_000058_000001	The girl quickly pushed Vassili into a chest under the bed, locked it and whispered: 'Listen to what the serpent and I talk about.'	The girl quickly pushed Vassili into a chest under the bed, locked it and whispered: 'Listen to what the serpent and I talk about.'	true	665.57	672.67	19.284384
7540_101258_000059_000000	Then she rose up to receive the Serpent King.	Then she rose up to receive the Serpent King.	true	673.28	676.12	20.525396
7540_101258_000060_000000	The monster rushed into the room, and threw itself panting on the bed, crying: 'I've flown half over the world.	The monster rushed into the room, and threw itself panting on the bed, crying: 'I've flown half over the world.	true	676.55	683.025	20.573982
7540_101258_000060_000001	I'm tired, VERY tired, and want to sleep--scratch my head.'	I'm tired, VERY tired, and want to sleep-scratch my head.'	true	683.025	687.52	20.930223
7540_101258_000061_000000	The beautiful girl sat down near him, stroking his hideous head, and said in a sweet coaxing voice: 'You know everything in the world.	The beautiful girl sat down near him, stroking his hideous head, and said in a sweet coaxing voice: 'You know everything in the world.	true	688.01	696.34	19.461304
7540_101258_000061_000001	After you left, I had such a wonderful dream.	After you left, I had such a wonderful dream.	true	696.38	699.165	25.17029
7540_101258_000061_000002	Will you tell me what it means?'	Will you tell me what it means?'	true	699.165	700.84	17
7540_101258_000062_000000	'Out with it then, quick!	'Out with it then, quick!	true	701.24	703.12	21.30482
7540_101258_000062_000001	What was it?'	What was it?'	false	703.13	704.05	23.962002
7540_101258_000063_000000	'I dreamt I was walking on a wide road, and an oak tree said to me: "Ask the king this: Rotten at the roots, half dead, and yet green stands the old oak.	'I dreamt I was walking on a wide road, and an oak tree said to me: "Ask the king this: Rotten at the roots, half dead, and yet green stands the old oak.	true	704.21	714.045	22.380608
7540_101258_000063_000001	Is it to stand much longer on the earth?"'	Is it to stand much longer on the earth?"'	true	714.045	716.17	19.787828
7540_101258_000064_000000	'It must stand till some one comes and pushes it down with his foot. Then it will fall, and under its roots will be found more gold and silver than even Mark the Rich has got.'	'It must stand till some one comes and pushes it down with his foot. Then it will fall, and under its roots will be found more gold and silver than even Mark the Rich has got.'	true	716.36	725.98	20.946127
7540_101258_000065_000000	'Then I dreamt I came to a river, and the old ferryman said to me: "For thirty year's the ferryman has rowed to and fro.	'Then I dreamt I came to a river, and the old ferryman said to me: "For thirty year's the ferryman has rowed to and fro.	false	726.68	733.9	19.28883
7540_101258_000065_000001	Will the tired old man have to row much longer?"'	Will the tired old man have to row much longer?"'	true	734.06	736.9	17
7540_101258_000066_000000	'That depends on himself.	'That depends on himself.	true	737.42	739.03	20.552813
7540_101258_000066_000001	If some one gets into the boat to be ferried across, the old man has only to push the boat off, and go his way without looking back.	If some one gets into the boat to be ferried across, the old man has only to push the boat off, and go his way without looking back.	true	739.25	747.1	19.878786
7540_101258_000066_000002	The man in the boat will then have to take his place.'	The man in the boat will then have to take his place.'	false	747.17	750.25	20.138193
7540_101258_000067_000000	'And at last I dreamt that I was walking over a bridge made of a whale's back, and the living bridge spoke to me and said: "Here have I been stretched out these three years, and men and horses have trampled my back down into my ribs.	'And at last I dreamt that I was walking over a bridge made of a whale's back, and the living bridge spoke to me and said: "Here have I been stretched out these three years, and men and horses have trampled my back down into my ribs.	true	751.04	764.62	20.967476
7540_101258_000067_000001	Must I lie here much longer?"'	Must I lie here much longer?"'	true	764.72	766.6	22.158674
7540_101258_000068_000000	'He will have to lie there till he has thrown up the twelve ships of Mark the Rich which he swallowed.	'He will have to lie there till he has thrown up the twelve ships of Mark the Rich which he swallowed.	false	767.06	772.71	19
7540_101258_000068_000001	Then he may plunge back into the sea and heal his back.'	Then he may plunge back into the sea and heal his back.'	true	772.71	776.17	20.018991
7540_101258_000069_000000	And the Serpent King closed his eyes, turned round on his other side, and began to snore so loud that the windows rattled.	And the Serpent King closed his eyes, turned round on his other side, and began to snore so loud that the windows rattled.	true	776.33	783.64	19.359587
7540_101258_000070_000000	In all haste the lovely girl helped Vassili out of the chest, and showed him part of his way back.	In all haste the lovely girl helped Vassili out of the chest, and showed him part of his way back.	true	784.25	789.07	19
7540_101258_000070_000001	He thanked her very politely, and hurried off.	He thanked her very politely, and hurried off.	true	789.14	792.04	19.245527
7540_101258_000071_000000	When he reached the strait the whale asked: 'Have you thought of me?'	When he reached the strait the whale asked: 'Have you thought of me?'	true	792.35	795.85	24.038933
7540_101258_000072_000000	'Yes, as soon as I am on the other side I will tell you what you want to know.'	'Yes, as soon as I am on the other side I will tell you what you want to know.'	true	796.13	800.17	19.023798
7540_101258_000073_000000	When he was on the other side Vassili said to the whale: 'Throw up those twelve ships of Mark's which you swallowed three years ago.'	When he was on the other side Vassili said to the whale: 'Throw up those twelve ships of Mark's which you swallowed three years ago.'	false	800.69	807.76	20.122047
7540_101258_000074_000000	The great fish heaved itself up and threw up all the twelve ships and their crews.	The great fish heaved itself up and threw up all the twelve ships and their crews.	true	808.01	813.7	20.440691
7540_101258_000074_000001	Then he shook himself for joy, and plunged into the sea.	Then he shook himself for joy, and plunged into the sea.	true	814.22	817.81	19.314486
7540_101258_000075_000000	Vassili went on further till he reached the ferry, where the old man asked: 'Did you think of me?'	Vassili went on further till he reached the ferry, where the old man asked: 'Did you think of me?'	true	818.21	823.81	18.778435
7540_101258_000076_000000	'Yes, and as soon as you have ferried me across I will tell you what you want to know.'	'Yes, and as soon as you have ferried me across I will tell you what you want to know.'	false	824.3	828.7	20.033693
7540_101258_000077_000000	When they had crossed over, Vassili said: 'Let the next man who comes stay in the boat, but do you step on shore, push the boat off, and you will be free, and the other man must take your place.	When they had crossed over, Vassili said: 'Let the next man who comes stay in the boat, but do you step on shore, push the boat off, and you will be free, and the other man must take your place.	true	829.1	840.43	19.983513
7540_101258_000078_000000	Then Vassili went on further still, and soon came to the old oak tree, pushed it with his foot, and it fell over.	Then Vassili went on further still, and soon came to the old oak tree, pushed it with his foot, and it fell over.	true	840.95	847.66	19.644499
7540_101258_000078_000001	There, at the roots, was more gold and silver than even Mark the Rich had.	There, at the roots, was more gold and silver than even Mark the Rich had.	true	847.85	852.28	21.513147
7540_101258_000079_000000	And now the twelve ships which the whale had thrown up came sailing along and anchored close by.	And now the twelve ships which the whale had thrown up came sailing along and anchored close by.	true	852.98	858.25	19.626688
7540_101258_000079_000001	On the deck of the first ship stood the three beggars whom Vassili had met formerly, and they said: 'Heaven has blessed you, Vassili.' Then they vanished away and he never saw them again.	On the deck of the first ship stood the three beggars whom Vassili had met formerly, and they said: 'Heaven has blessed you, Vassili.' Then they vanished away and he never saw them again.	true	858.68	868.96	18.932535
7540_101258_000080_000000	The sailors carried all the gold and silver into the ship, and then they set sail for home with Vassili on board.	The sailors carried all the gold and silver into the ship, and then they set sail for home with Vassili on board.	true	869.45	876.4	20.66297
7540_101258_000081_000000	Mark was more furious than ever.	Mark was more furious than ever.	true	876.83	879.31	22.50752
7540_101258_000081_000001	He had his horses harnessed and drove off himself to see the Serpent King and to complain of the way in which he had been betrayed.	He had his horses harnessed and drove off himself to see the Serpent King and to complain of the way in which he had been betrayed.	true	879.68	886.81	20.136673
7540_101258_000081_000002	When he reached the river he sprang into the ferryboat.	When he reached the river he sprang into the ferryboat.	false	887.03	889.87	19.729721
7540_101258_000081_000003	The ferryman, however, did not get in but pushed the boat off....	The ferryman, however, did not get in but pushed the boat off....	true	889.94	894.43	18.794287
7540_101258_000082_000000	Vassili led a good and happy life with his dear wife, and his kind mother-in-law lived with them.	Vassili led a good and happy life with his dear wife, and his kind mother in law lived with them.	true	895.01	901.33	21.676867
7540_101258_000082_000001	He helped the poor and fed and clothed the hungry and naked and all Mark's riches became his.	He helped the poor and fed and clothed the hungry and naked and all Mark's riches became his.	true	901.88	907.06	18.912832
7540_101258_000083_000000	For many years Mark has been ferrying people across the river.	For many years Mark has been ferrying people across the river.	true	907.28	910.9	18.293966
7540_101258_000083_000001	His face is wrinkled, his hair and beard are snow white, and his eyes are dim; but still he rows on.	His face is wrinkled, his hair and beard are snow white, and his eyes are dim; but still he rows on.	true	911	918.25	21.308084
7540_101258_000084_000000	(From the Serbian.)	(From the Serbian.)	true	919.4	920.97	19.756872
7540_101258_000085_000000	SCHIPPEITARO	s c h i p p e i t a r o	false	920.97	921.24	2
