7540_101258_000004_000000	'Dear daddy, let the poor old men sleep here to-night, do--to please me.'	'Dear daddy, let the poor old men sleep here to night, do-to please me.'
7540_101258_000055_000000	As soon as she saw him she said: 'Oh, Vassili, what brings you to this accursed place?'	As soon as she saw him she said: 'Oh, Vassili, what brings you to this accursed place?'
7540_101258_000057_000000	The girl said: 'You have not been sent here to collect rents, but for your own destruction, and that the serpent may devour you.'	The girl said: 'You have not been sent here to collect rents, but for your own destruction, and that the serpent may devour you.'
7540_101258_000059_000000	Then she rose up to receive the Serpent King.	Then she rose up to receive the Serpent King.
7540_101258_000060_000000	The monster rushed into the room, and threw itself panting on the bed, crying: 'I've flown half over the world.	The monster rushed into the room, and threw itself panting on the bed, crying: 'I've flown half over the world.
7540_101258_000060_000001	I'm tired, VERY tired, and want to sleep--scratch my head.'	I'm tired, VERY tired, and want to sleep-scratch my head.'
7540_101258_000061_000001	After you left, I had such a wonderful dream.	After you left, I had such a wonderful dream.
7540_101258_000062_000000	'Out with it then, quick!	'Out with it then, quick!
7540_101258_000063_000000	'I dreamt I was walking on a wide road, and an oak tree said to me: "Ask the king this: Rotten at the roots, half dead, and yet green stands the old oak.	'I dreamt I was walking on a wide road, and an oak tree said to me: "Ask the king this: Rotten at the roots, half dead, and yet green stands the old oak.
7540_101258_000064_000000	'It must stand till some one comes and pushes it down with his foot. Then it will fall, and under its roots will be found more gold and silver than even Mark the Rich has got.'	'It must stand till some one comes and pushes it down with his foot. Then it will fall, and under its roots will be found more gold and silver than even Mark the Rich has got.'
7540_101258_000066_000000	'That depends on himself.	'That depends on himself.
7540_101258_000067_000000	'And at last I dreamt that I was walking over a bridge made of a whale's back, and the living bridge spoke to me and said: "Here have I been stretched out these three years, and men and horses have trampled my back down into my ribs.	'And at last I dreamt that I was walking over a bridge made of a whale's back, and the living bridge spoke to me and said: "Here have I been stretched out these three years, and men and horses have trampled my back down into my ribs.
7540_101258_000067_000001	Must I lie here much longer?"'	Must I lie here much longer?"'
7540_101258_000068_000001	Then he may plunge back into the sea and heal his back.'	Then he may plunge back into the sea and heal his back.'
7540_101258_000071_000000	When he reached the strait the whale asked: 'Have you thought of me?'	When he reached the strait the whale asked: 'Have you thought of me?'
7540_101258_000074_000000	The great fish heaved itself up and threw up all the twelve ships and their crews.	The great fish heaved itself up and threw up all the twelve ships and their crews.
7540_101258_000078_000001	There, at the roots, was more gold and silver than even Mark the Rich had.	There, at the roots, was more gold and silver than even Mark the Rich had.
7540_101258_000080_000000	The sailors carried all the gold and silver into the ship, and then they set sail for home with Vassili on board.	The sailors carried all the gold and silver into the ship, and then they set sail for home with Vassili on board.
7540_101258_000081_000000	Mark was more furious than ever.	Mark was more furious than ever.
7540_101258_000081_000001	He had his horses harnessed and drove off himself to see the Serpent King and to complain of the way in which he had been betrayed.	He had his horses harnessed and drove off himself to see the Serpent King and to complain of the way in which he had been betrayed.
7540_101258_000082_000000	Vassili led a good and happy life with his dear wife, and his kind mother-in-law lived with them.	Vassili led a good and happy life with his dear wife, and his kind mother in law lived with them.
7540_101258_000083_000001	His face is wrinkled, his hair and beard are snow white, and his eyes are dim; but still he rows on.	His face is wrinkled, his hair and beard are snow white, and his eyes are dim; but still he rows on.
