8527_281132_000001_000000	In the month of January, the daily routine of their lives was rather unpleasantly disturbed.	In the month of January, the daily routine of their lives was rather unpleasantly disturbed.
8527_281132_000002_000001	This instance affords a fair example how the minority could easily rule the majority when the minority held to the side of danger.	This instance affords a fair example how the minority could easily rule the majority when the minority held to the side of danger.
8527_281132_000002_000002	The whole band were now unanimous in favor of the attack.	The whole band were now unanimous in favor of the attack.
8527_281132_000003_000000	Kit Carson, who had from the first acted as captain, ordered three men to take the recovered animals back to where they had secured their saddle horses.	Kit Carson, who had from the first acted as captain, ordered three men to take the recovered animals back to where they had secured their saddle horses.
8527_281132_000003_000001	Then, with his comrades, he marched directly for the Indian camp.	Then, with his comrades, he marched directly for the Indian camp.
8527_281132_000003_000003	As soon as the occupants of the fort heard the noise they sprang to their feet, and thus became fair marks for the unerring rifles of the trappers.	As soon as the occupants of the fort heard the noise they sprang to their feet, and thus became fair marks for the unerring rifles of the trappers.
8527_281132_000003_000004	The whites did not throw away a single shot; every ball struck a warrior in some vital spot.	The whites did not throw away a single shot; every ball struck a warrior in some vital spot.
8527_281132_000003_000005	Those who survived retreated to the fort occupied by their friends, and, as soon as possible, commenced returning the fire; but without execution, as the trappers, on discharging their first volley, had well concealed themselves behind trees, from whence they were shooting only when sure of an object.	Those who survived retreated to the fort occupied by their friends, and, as soon as possible, commenced returning the fire; but without execution, as the trappers, on discharging their first volley, had well concealed themselves behind trees, from whence they were shooting only when sure of an object.
8527_281132_000003_000006	It was now nearly daybreak; and as the savages discovered the weakness of the attacking party, they resolved to charge, feeling sure of success.	It was now nearly daybreak; and as the savages discovered the weakness of the attacking party, they resolved to charge, feeling sure of success.
8527_281132_000003_000009	The remainder immediately retreated into the fort.	The remainder immediately retreated into the fort.
8527_281132_000004_000000	After considerable deliberation, the Indians decided once more to make a sortie.	After considerable deliberation, the Indians decided once more to make a sortie.
8527_281132_000004_000001	On they came, and this time with such determination that the trappers could not withstand the assault, but were compelled to retreat.	On they came, and this time with such determination that the trappers could not withstand the assault, but were compelled to retreat.
8527_281132_000004_000002	They disputed, however, every inch of ground over which they trod, as they fell back from one tree to another, continually making their bullets tell with terrible effect on their foes.	They disputed, however, every inch of ground over which they trod, as they fell back from one tree to another, continually making their bullets tell with terrible effect on their foes.
8527_281132_000004_000004	They had heard the incessant firing and had become convinced that the fight was hotly contested and that their services were required.	They had heard the incessant firing and had become convinced that the fight was hotly contested and that their services were required.
8527_281132_000004_000005	On their joining, the whole party resolved to make one more stand, and as soon as the Indians saw this, they wavered and finally drew off.	On their joining, the whole party resolved to make one more stand, and as soon as the Indians saw this, they wavered and finally drew off.
8527_281132_000004_000006	Both sides had now, seemingly, had enough of fighting, and hostilities soon after entirely ceased, the savages marching back and leaving the whites masters of the field. Several of the trappers were slightly, but none dangerously, wounded. The Indians had paid dearly, in numbers killed, for their rascality. Finding the coast clear, Carson and his men set out and soon rejoined their comrades on the Arkansas River.	Both sides had now, seemingly, had enough of fighting, and hostilities soon after entirely ceased, the savages marching back and leaving the whites masters of the field. Several of the trappers were slightly, but none dangerously, wounded. The Indians had paid dearly, in numbers killed, for their rascality. Finding the coast clear, Carson and his men set out and soon rejoined their comrades on the Arkansas River.
8527_281132_000005_000000	While on the south fork of the Platte, two of the party deserted, taking with them three of their best animals.	While on the south fork of the Platte, two of the party deserted, taking with them three of their best animals.
8527_281132_000005_000001	Suspecting their design, Gaunt sent Kit Carson and another man in pursuit of the fugitives, who had one day the start.	Suspecting their design, Gaunt sent Kit Carson and another man in pursuit of the fugitives, who had one day the start.
8527_281132_000005_000002	As was suspected, the two deserters had gone to the camp where the beaver fur was concealed and buried.	As was suspected, the two deserters had gone to the camp where the beaver fur was concealed and buried.
8527_281132_000005_000003	They had succeeded in digging it up and stealing about three hundred pounds of this valuable property, belonging to the company in general, share and share alike.	They had succeeded in digging it up and stealing about three hundred pounds of this valuable property, belonging to the company in general, share and share alike.
8527_281132_000005_000004	Carson and his companion failed entirely in their efforts to find the two men.	Carson and his companion failed entirely in their efforts to find the two men.
8527_281132_000005_000006	It is probable that they were killed by Indians, a fate which they, at least, richly merited.	It is probable that they were killed by Indians, a fate which they, at least, richly merited.
8527_281132_000006_000000	This old camp, the reader will please bear in mind, was on the Arkansas River.	This old camp, the reader will please bear in mind, was on the Arkansas River.
8527_281132_000006_000002	As has also been seen, they were unsuccessful.	As has also been seen, they were unsuccessful.
8527_281132_000006_000003	It now remained for them to determine their future course.	It now remained for them to determine their future course.
8527_281132_000006_000004	The country was so infested with hostile Indians that it made their position, thus alone, very precarious.	The country was so infested with hostile Indians that it made their position, thus alone, very precarious.
8527_281132_000006_000005	To regain their commander's company was almost impracticable; at least, without a more important object to make the risk necessary, it was a foolhardy attempt.	To regain their commander's company was almost impracticable; at least, without a more important object to make the risk necessary, it was a foolhardy attempt.
8527_281132_000006_000006	Time in learning the loss was of no great importance either to their leader or their party. Sooner or later this, as a matter of course, would be fully shown.	Time in learning the loss was of no great importance either to their leader or their party. Sooner or later this, as a matter of course, would be fully shown.
8527_281132_000006_000007	Kit and his comrade, therefore, determined to remain where they were, in the old camp; and, to this end, immediately arranged everything so that they could make a successful defence in case they should be attacked by the savages.	Kit and his comrade, therefore, determined to remain where they were, in the old camp; and, to this end, immediately arranged everything so that they could make a successful defence in case they should be attacked by the savages.
8527_281132_000006_000008	They did not dare to venture out far from their fortifications; but, this was no great trial to them, as game existed in great plenty and came very near their fortifications.	They did not dare to venture out far from their fortifications; but, this was no great trial to them, as game existed in great plenty and came very near their fortifications.
8527_281132_000006_000009	While one slept, the other stood on guard.	While one slept, the other stood on guard.
8527_281132_000006_000010	It was their intention to await the return of their party; but, at the expiration of one month, they were quite happily relieved from their perilous position.	It was their intention to await the return of their party; but, at the expiration of one month, they were quite happily relieved from their perilous position.
8527_281132_000006_000011	Mr. Blackwell, Mr. Gaunt's partner, arrived from the United States.	mr Blackwell, mr Gaunt's partner, arrived from the United States.
8527_281132_000006_000012	He was accompanied by fifteen men, and brought with him a complete outfit for the entire band.	He was accompanied by fifteen men, and brought with him a complete outfit for the entire band.
8527_281132_000006_000013	Kit and his comrade had been expecting and were anxiously looking for this party.	Kit and his comrade had been expecting and were anxiously looking for this party.
8527_281132_000006_000014	They were also made quite happy in obtaining the articles of outfit which would render their wild life more agreeable and easy.	They were also made quite happy in obtaining the articles of outfit which would render their wild life more agreeable and easy.
8527_281132_000006_000015	Shortly after this arrival, four men from the trapping party came into camp and brought the news as to the whereabouts of Gaunt and his men.	Shortly after this arrival, four men from the trapping party came into camp and brought the news as to the whereabouts of Gaunt and his men.
8527_281132_000008_000000	These Springs form the head waters of the south fork of the River Platte.	These Springs form the head waters of the south fork of the River Platte.
8527_281132_000008_000001	When four days' journey had been accomplished, and while they were partaking of their breakfast in camp, an alarm of Indians was given by one of the men.	When four days' journey had been accomplished, and while they were partaking of their breakfast in camp, an alarm of Indians was given by one of the men.
8527_281132_000008_000002	He had accidentally discovered the red skin rascals as they were prowling about the camp.	He had accidentally discovered the red skin rascals as they were prowling about the camp.
8527_281132_000008_000003	A rush was instantly made by the trappers, with rifles in hand, to save their horses. Shots were fired and one Indian fell.	A rush was instantly made by the trappers, with rifles in hand, to save their horses. Shots were fired and one Indian fell.
8527_281132_000008_000004	The rest of the band made off as empty-handed as they came, with one exception.	The rest of the band made off as empty handed as they came, with one exception.
8527_281132_000008_000005	One brave had succeeded in capturing and mounting a horse before the white men could reach him.	One brave had succeeded in capturing and mounting a horse before the white men could reach him.
8527_281132_000008_000007	On the contrary, he galloped off; seemingly, quite proud of his trophy.	On the contrary, he galloped off; seemingly, quite proud of his trophy.
8527_281132_000009_000000	[Footnote 4: These stampedes are a source of great profit to the Indians of the Plains.	[Footnote four: These stampedes are a source of great profit to the Indians of the Plains.
8527_281132_000009_000002	The Camanches are particularly expert and daring in this kind of robbery.	The Camanches are particularly expert and daring in this kind of robbery.
8527_281132_000009_000004	When a camp is made which is nearly in range they turn their trained animals loose, who at once fly across the plain, penetrating and passing through the camp of their victims.	When a camp is made which is nearly in range they turn their trained animals loose, who at once fly across the plain, penetrating and passing through the camp of their victims.
8527_281132_000009_000005	All of the picketed animals will endeavor to follow, and usually succeed in following, the trained horses.	All of the picketed animals will endeavor to follow, and usually succeed in following, the trained horses.
8527_281132_000009_000006	Such are invariably led into the haunts of the thieves, who easily secure them. Young horses and mules are easily frightened; and, in the havoc which generally ensues, oftentimes great injury is done to the runaways themselves.	Such are invariably led into the haunts of the thieves, who easily secure them. Young horses and mules are easily frightened; and, in the havoc which generally ensues, oftentimes great injury is done to the runaways themselves.
8527_281132_000009_000007	The sight of a stampede on a grand scale requires steady nerves to witness without tremor; and, woe to the footman who cannot get out of the way when the frightened animals come along.	The sight of a stampede on a grand scale requires steady nerves to witness without tremor; and, woe to the footman who cannot get out of the way when the frightened animals come along.
8527_281132_000009_000009	Such, most frequently, is the fate of stampeded horses which have been bred in the States, not being trained by a prairie-life experience to take care of themselves.	Such, most frequently, is the fate of stampeded horses which have been bred in the States, not being trained by a prairie life experience to take care of themselves.
8527_281132_000009_000010	Instead of bravely stopping and fighting off the wolves, they run.	Instead of bravely stopping and fighting off the wolves, they run.
8527_281132_000009_000011	The whole pack are sure to leave the bolder animals and make for the runaways, which they seldom fail to overtake and dispatch.	The whole pack are sure to leave the bolder animals and make for the runaways, which they seldom fail to overtake and dispatch.
8527_281132_000010_000001	This animal seldom fails to frighten the remainder, when away they all go with long ropes and picket pins dangling after them.	This animal seldom fails to frighten the remainder, when away they all go with long ropes and picket pins dangling after them.
8527_281132_000010_000003	At other times, the limbs of the running horses get entangled in the ropes, when they are suddenly thrown.	At other times, the limbs of the running horses get entangled in the ropes, when they are suddenly thrown.
8527_281132_000010_000004	Such seldom escape without broken legs or severe contusions, which are often incurable.	Such seldom escape without broken legs or severe contusions, which are often incurable.
8527_281132_000011_000001	The experience of the day, however, had admonished them to be on their guard against surprise.	The experience of the day, however, had admonished them to be on their guard against surprise.
8527_281132_000011_000002	To make things sure as to their animals, they fastened them to stakes driven in the earth, sufficient rope being given them for grazing.	To make things sure as to their animals, they fastened them to stakes driven in the earth, sufficient rope being given them for grazing.
8527_281132_000011_000004	There are many of these charming little brooks which, emptying into, form this river. To the general traveler, however, they present one great drawback as eligible camping sites.	There are many of these charming little brooks which, emptying into, form this river. To the general traveler, however, they present one great drawback as eligible camping sites.
8527_281132_000011_000005	Their banks are usually pretty thickly lined with rattlesnakes.	Their banks are usually pretty thickly lined with rattlesnakes.
8527_281132_000011_000007	Not so however with the mere visitor of, or casual traveller over, the Western Territories.	Not so however with the mere visitor of, or casual traveller over, the Western Territories.
8527_281132_000011_000008	To them his rattlesnake-ship is a formidable personage.	To them his rattlesnake ship is a formidable personage.
8527_281132_000012_000000	The rattlesnake rarely moves after sunset.	The rattlesnake rarely moves after sunset.
8527_281132_000012_000001	The night air is generally too chilling for him.	The night air is generally too chilling for him.
8527_281132_000012_000002	In the day time they are a noble enemy, always warning their antagonist of their hostile intentions by springing their rattles, thus giving a person warning of his danger.	In the day time they are a noble enemy, always warning their antagonist of their hostile intentions by springing their rattles, thus giving a person warning of his danger.
8527_281132_000012_000003	By these two wise provisions of the Creator the power of this otherwise terrible reptile, is so limited or restrained, that the trapper rarely gives him a thought unless he comes in direct contact.	By these two wise provisions of the Creator the power of this otherwise terrible reptile, is so limited or restrained, that the trapper rarely gives him a thought unless he comes in direct contact.
8527_281132_000012_000004	Although they are so numerous, it very seldom happens that either the Indian or the trapper is bitten by them.	Although they are so numerous, it very seldom happens that either the Indian or the trapper is bitten by them.
8527_281132_000013_000000	The party had not been long at rest before their suspicions were aroused that hostile Indians were near them.	The party had not been long at rest before their suspicions were aroused that hostile Indians were near them.
8527_281132_000013_000001	A faithful dog belonging to the camp kept up a furious barking, much more lustily than when wolves annoyed him.	A faithful dog belonging to the camp kept up a furious barking, much more lustily than when wolves annoyed him.
8527_281132_000013_000002	An extra guard was therefore immediately posted, when the remainder of the party lay down; but, not for sleep.	An extra guard was therefore immediately posted, when the remainder of the party lay down; but, not for sleep.
8527_281132_000013_000003	They expected at every moment that their services would be needed to defend the camp.	They expected at every moment that their services would be needed to defend the camp.
8527_281132_000013_000004	Everything however passed as usual during the night; and, with the morning, all suspicion was laid aside.	Everything however passed as usual during the night; and, with the morning, all suspicion was laid aside.
8527_281132_000013_000005	Kit Carson, with three companions, proposed a visit to a fork of a river close by, to look for signs of beaver.	Kit Carson, with three companions, proposed a visit to a fork of a river close by, to look for signs of beaver.
8527_281132_000013_000006	They had been informed that these animals were numerous in this particular stream.	They had been informed that these animals were numerous in this particular stream.
8527_281132_000013_000008	The rascals succeeded in running off all of their loose animals.	The rascals succeeded in running off all of their loose animals.
8527_281132_000014_000002	A sharp skirmish ensued in which one of the warriors was killed, when the remainder fled, leaving the property once more in the hands of its rightful owners. The men however did not come off entirely safe.	A sharp skirmish ensued in which one of the warriors was killed, when the remainder fled, leaving the property once more in the hands of its rightful owners. The men however did not come off entirely safe.
8527_281132_000014_000003	One of them received a very severe wound; which, eventually, gave him considerable difficulty; but from the effects of which he finally recovered.	One of them received a very severe wound; which, eventually, gave him considerable difficulty; but from the effects of which he finally recovered.
8527_281132_000015_000000	Kit and his companions in the mean time, in order to reach their destination, found it necessary, unless they should take a long and circuitous route, to cross one of those lofty peaks for which the Rocky Mountains are so famous.	Kit and his companions in the mean time, in order to reach their destination, found it necessary, unless they should take a long and circuitous route, to cross one of those lofty peaks for which the Rocky Mountains are so famous.
8527_281132_000015_000001	The ascent was however commenced and successfully accomplished; but, not without labor and an occasional resting-place being sought for breathing their animals.	The ascent was however commenced and successfully accomplished; but, not without labor and an occasional resting place being sought for breathing their animals.
8527_281132_000015_000002	In due time, they reached the desired stream; but, the beaver signs did not appear. Finding their errand had proved entirely useless, they started to return into camp.	In due time, they reached the desired stream; but, the beaver signs did not appear. Finding their errand had proved entirely useless, they started to return into camp.
8527_281132_000015_000003	Experience had taught them that the longest way round was, in this case, the quickest way home.	Experience had taught them that the longest way round was, in this case, the quickest way home.
8527_281132_000015_000004	Taking therefore a circuitous route, they avoided recrossing the lofty mountain peak already alluded to.	Taking therefore a circuitous route, they avoided recrossing the lofty mountain peak already alluded to.
8527_281132_000015_000005	As they were riding carelessly homeward, beguiling the time with anecdote and remark upon their future prospects, the scenery around them, with an occasional sight at some kind of game, what should appear ahead of them but four Indian warriors, remarkably well mounted, painted and decked with feathers, showing, conclusively, that they were out upon the war-path.	As they were riding carelessly homeward, beguiling the time with anecdote and remark upon their future prospects, the scenery around them, with an occasional sight at some kind of game, what should appear ahead of them but four Indian warriors, remarkably well mounted, painted and decked with feathers, showing, conclusively, that they were out upon the war path.
8527_281132_000016_000001	The bullets from the rifles of the Indians flew about their ears thick and fast, for a heavy fire was opened upon them, as they passed, and incessantly kept up until they were out of their reach.	The bullets from the rifles of the Indians flew about their ears thick and fast, for a heavy fire was opened upon them, as they passed, and incessantly kept up until they were out of their reach.
8527_281132_000016_000002	The trappers did not return a shot.	The trappers did not return a shot.
8527_281132_000016_000003	It would not have been according to their custom.	It would not have been according to their custom.
8527_281132_000016_000005	There is nothing they so much dread as being left on foot with an empty gun and no time to load, when perhaps a single shot might change defeat into victory; sure captivity into freedom, or a dead companion into a laughing, jolly and lovable help-mate, ready for setting a trap or to engage in the next bloody skirmish.	There is nothing they so much dread as being left on foot with an empty gun and no time to load, when perhaps a single shot might change defeat into victory; sure captivity into freedom, or a dead companion into a laughing, jolly and lovable help mate, ready for setting a trap or to engage in the next bloody skirmish.
8527_281132_000016_000006	This must inevitably happen if, after the rider has fired, among the score or so of passing bullets, one of them, perchance, took a peculiar fancy for a vital organ of his horse.	This must inevitably happen if, after the rider has fired, among the score or so of passing bullets, one of them, perchance, took a peculiar fancy for a vital organ of his horse.
8527_281132_000016_000009	For some unaccountable reason the savages did not give chase.	For some unaccountable reason the savages did not give chase.
8527_281132_000017_000000	As soon as Carson and his comrades had got out of the reach of the Indians they began to recall the suspicions concerning signs of Indians which their faithful dog had aroused.	As soon as Carson and his comrades had got out of the reach of the Indians they began to recall the suspicions concerning signs of Indians which their faithful dog had aroused.
8527_281132_000017_000001	Fears for the safety of their companions arose accordingly.	Fears for the safety of their companions arose accordingly.
8527_281132_000017_000002	Therefore, giving spurs to their horses they pushed on with vigor to know the worst.	Therefore, giving spurs to their horses they pushed on with vigor to know the worst.
8527_281132_000017_000004	They had already surmised the reason why the Indians had thus set a trap for them.	They had already surmised the reason why the Indians had thus set a trap for them.
8527_281132_000017_000005	Having been watching the camp during the night and finding the white men fully on the alert and carefully guarding against any surprise, they had quietly waited until suspicion of their proximity had been entirely laid aside.	Having been watching the camp during the night and finding the white men fully on the alert and carefully guarding against any surprise, they had quietly waited until suspicion of their proximity had been entirely laid aside.
8527_281132_000017_000006	The departure of Carson and his companions from camp was doubtless seen by the savages and afforded them a clear proof that the white men had forgotten their fears.	The departure of Carson and his companions from camp was doubtless seen by the savages and afforded them a clear proof that the white men had forgotten their fears.
8527_281132_000017_000007	As Kit's departure with the men weakened the camp party the Indians had gathered together sufficient courage to make a bold charge for the coveted plunder.	As Kit's departure with the men weakened the camp party the Indians had gathered together sufficient courage to make a bold charge for the coveted plunder.
8527_281132_000017_000009	The attack was skillfully planned and would undoubtedly have succeeded, but for the unexpected daring and promptitude displayed by Kit and his comrades.	The attack was skillfully planned and would undoubtedly have succeeded, but for the unexpected daring and promptitude displayed by Kit and his comrades.
8527_281132_000017_000011	Had such a skirmish taken place, nothing beyond an absolute miracle, or change of the laws of nature, could have saved the little band.	Had such a skirmish taken place, nothing beyond an absolute miracle, or change of the laws of nature, could have saved the little band.
8527_281132_000017_000012	Kit and his friends had reason, therefore, to be very thankful for their safety.	Kit and his friends had reason, therefore, to be very thankful for their safety.
8527_281132_000017_000013	They all felt that they had retained their scalps by a very close shave.	They all felt that they had retained their scalps by a very close shave.
8527_281132_000018_000001	In consequence, the whole party was obliged to halt and again go into camp, having accomplished but a very short remove from their savage foes.	In consequence, the whole party was obliged to halt and again go into camp, having accomplished but a very short remove from their savage foes.
8527_281132_000018_000003	However, they succeeded in passing the night without further molestation.	However, they succeeded in passing the night without further molestation.
8527_281132_000019_000004	If the poles are long they will act as springs, especially when the wood used is of a kind which has considerable elasticity.	If the poles are long they will act as springs, especially when the wood used is of a kind which has considerable elasticity.
8527_281132_000020_000002	It speaks more than would volumes of mere praise, concerning their character for true manhood.	It speaks more than would volumes of mere praise, concerning their character for true manhood.
8527_281132_000021_000000	When the wounded men had so far recovered that they could safely proceed, the whole party, now quite strong in its numerical power, as well as skill and mountaineer experience, departed for, and, in due time, arrived at the Old Park.	When the wounded men had so far recovered that they could safely proceed, the whole party, now quite strong in its numerical power, as well as skill and mountaineer experience, departed for, and, in due time, arrived at the Old Park.
