1806_2536_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
1806_2536_000014_000002	The grave of this unfortunate man was the first place of human interment that the author ever beheld, as the smoke-house was the first ruin!	The grave of this unfortunate man was the first place of human interment that the author ever beheld, as the smoke house was the first ruin!
1806_2536_000014_000003	The swivel alluded to in this work was buried and abandoned by the troops on this occasion, and it was subsequently found in digging the cellars of the authors paternal residence.	The swivel alluded to in this work was buried and abandoned by the troops on this occasion, and it was subsequently found in digging the cellars of the authors paternal residence.
1806_2536_000015_000000	Soon after the close of the war, Washington, accompanied by many distinguished men, visited the scene of this tale, it is said with a view to examine the facilities for opening a communication by water with other points of the country.	Soon after the close of the war, Washington, accompanied by many distinguished men, visited the scene of this tale, it is said with a view to examine the facilities for opening a communication by water with other points of the country.
1806_2536_000015_000001	He stayed but a few hours.	He stayed but a few hours.
1806_2536_000016_000000	In 1785 the author's father, who had an interest in extensive tracts of land in this wilderness, arrived with a party of surveyors.	In seventeen eighty five the author's father, who had an interest in extensive tracts of land in this wilderness, arrived with a party of surveyors.
1806_2536_000016_000001	The manner in which the scene met his eye is described by Judge Temple.	The manner in which the scene met his eye is described by Judge Temple.
1806_2536_000016_000002	At the commencement of the following year the settlement began; and from that time to this the country has continued to flourish.	At the commencement of the following year the settlement began; and from that time to this the country has continued to flourish.
1806_2536_000017_000000	Although the settlement of this part of Otsego a little preceded the birth of the author, it was not sufficiently advanced to render it desirable that an event so important to himself should take place in the wilderness.	Although the settlement of this part of Otsego a little preceded the birth of the author, it was not sufficiently advanced to render it desirable that an event so important to himself should take place in the wilderness.
1806_2536_000017_000001	Perhaps his mother had a reasonable distrust of the practice of Dr Todd, who must then have been in the novitiate of his experimental acquirements.	Perhaps his mother had a reasonable distrust of the practice of Dr Todd, who must then have been in the novitiate of his experimental acquirements.
1806_2536_000017_000002	Be that as it may, the author was brought an infant into this valley, and all his first impressions were here obtained.	Be that as it may, the author was brought an infant into this valley, and all his first impressions were here obtained.
1806_2536_000017_000003	He has inhabited it ever since, at intervals; and he thinks he can answer for the faithfulness of the picture he has drawn.	He has inhabited it ever since, at intervals; and he thinks he can answer for the faithfulness of the picture he has drawn.
1806_2536_000017_000005	It sends forth its emigrants like any other old region, and it is pregnant with industry and enterprise.	It sends forth its emigrants like any other old region, and it is pregnant with industry and enterprise.
1806_2536_000017_000006	Its manufacturers are prosperous, and it is worthy of remark that one of the most ingenious machines known in European art is derived from the keen ingenuity which is exercised in this remote region.	Its manufacturers are prosperous, and it is worthy of remark that one of the most ingenious machines known in European art is derived from the keen ingenuity which is exercised in this remote region.
1806_2536_000018_000000	In order to prevent mistake, it may be well to say that the incidents of this tale are purely a fiction.	In order to prevent mistake, it may be well to say that the incidents of this tale are purely a fiction.
1806_2536_000018_000001	The literal facts are chiefly connected with the natural and artificial objects and the customs of the inhabitants.	The literal facts are chiefly connected with the natural and artificial objects and the customs of the inhabitants.
1806_2536_000018_000003	They have all, long since, given place to other buildings of a more pretending character.	They have all, long since, given place to other buildings of a more pretending character.
1806_2536_000018_000004	There is also some liberty taken with the truth in the description of the principal dwelling; the real building had no "firstly" and "lastly." It was of bricks, and not of stone; and its roof exhibited none of the peculiar beauties of the "composite order." It was erected in an age too primitive for that ambitious school of architecture.	There is also some liberty taken with the truth in the description of the principal dwelling; the real building had no "firstly" and "lastly." It was of bricks, and not of stone; and its roof exhibited none of the peculiar beauties of the "composite order." It was erected in an age too primitive for that ambitious school of architecture.
1806_2536_000020_000000	The author has elsewhere said that the character of Leather-Stocking is a creation, rendered probable by such auxiliaries as were necessary to produce that effect.	The author has elsewhere said that the character of Leather Stocking is a creation, rendered probable by such auxiliaries as were necessary to produce that effect.
1806_2536_000020_000001	Had he drawn still more upon fancy, the lovers of fiction would not have so much cause for their objections to his work. Still, the picture would not have been in the least true without some substitutes for most of the other personages.	Had he drawn still more upon fancy, the lovers of fiction would not have so much cause for their objections to his work. Still, the picture would not have been in the least true without some substitutes for most of the other personages.
1806_2536_000021_000000	It may be well to say here, a little more explicitly, that there was no real intention to describe with particular accuracy any real characters in this book.	It may be well to say here, a little more explicitly, that there was no real intention to describe with particular accuracy any real characters in this book.
1806_2536_000021_000001	It has been often said, and in published statements, that the heroine of this book was drawn after the sister of the writer, who was killed by a fall from a horse now near half a century since.	It has been often said, and in published statements, that the heroine of this book was drawn after the sister of the writer, who was killed by a fall from a horse now near half a century since.
1806_2536_000021_000002	So ingenious is conjecture that a personal resemblance has been discovered between the fictitious character and the deceased relative!	So ingenious is conjecture that a personal resemblance has been discovered between the fictitious character and the deceased relative!
1806_2536_000022_000000	Circumstances rendered this sister singularly dear to the author.	Circumstances rendered this sister singularly dear to the author.
1806_2536_000023_000000	From circumstances which, after this Introduction, will be obvious to all, the author has had more pleasure in writing "The Pioneers" than the book will probably ever give any of its readers.	From circumstances which, after this Introduction, will be obvious to all, the author has had more pleasure in writing "The Pioneers" than the book will probably ever give any of its readers.
