5063_32451_000000_000000	HAMILTON WRIGHT MABIE	HAMILTON WRIGHT MABIE	false	9.72	21.03	20.14202
5063_32451_000024_000000	"Let thou and I the battell trye, And set our men aside." "Accurst bee he," Erle Percy sayd, "By whome this is denyed."	"Let thou and I the battell trye, And set our men aside." "Accurst bee he," Erle Percy sayd, "By whome this is denyed."	false	244.4	254.89	17.404118
5063_32451_000025_000000	Then stept a gallant squier forth, Witherington was his name, Who said, "I wold not have it told To Henry our king for shame,	Then stept a gallant squier forth, Witherington was his name, Who said, "I wold not have it told To Henry our king for shame,	false	255.2	265.87	20.550287
5063_32451_000026_000000	"That ere my captaine fought on foote, And I stood looking on: You bee two erles," sayd Witherington, "And I a squier alone.	"That ere my captaine fought on foote, And I stood looking on: You bee two erles," sayd Witherington, "And I a squier alone.	false	266.21	276.3	19
5063_32451_000027_000000	"Ile doe the best that doe I may, While I have power to stand; While I have power to weeld my sword, Ile fight with hart and hand."	"Ile doe the best that doe I may, While I have power to stand; While I have power to weeld my sword, Ile fight with hart and hand."	false	276.3	286.6	20
5063_32451_000028_000000	Our English archers bent their bowes, Their harts were good and trew; Att the first flight of arrowes sent, Full four-score Scots they slew.	Our English archers bent their bowes, Their harts were good and trew; Att the first flight of arrowes sent, Full four score Scots they slew.	false	286.76	297.67	19.183886
5063_32451_000029_000000	[Yet bides Earl Douglas on the bent, As Chieftain stout and good, As valiant Captain, all unmov'd The shock he firmly stood.	[Yet bides Earl Douglas on the bent, As Chieftain stout and good, As valiant Captain, all unmov'd The shock he firmly stood.	true	297.8	307.99	20.902891
5063_32451_000030_000000	His host he parted had in three, As Leader ware and try'd, And soon his spearmen on their foes Bare down on every side.	His host he parted had in three, As Leader ware and try'd, And soon his spearmen on their foes Bare down on every side.	false	308.03	319.24	19.46211
5063_32451_000031_000000	Throughout the English archery They dealt full many a wound; But still our valiant Englishmen All firmly kept their ground.	Throughout the English archery They dealt full many a wound; But still our valiant Englishmen All firmly kept their ground.	true	319.37	328.93	19.397429
5063_32451_000032_000000	And throwing strait their bows away, They grasp'd their swords so bright: And now sharp blows, a heavy shower, On shields and helmets light.]	And throwing strait their bows away, They grasp'd their swords so bright: And now sharp blows, a heavy shower, On shields and helmets light.]	true	329.21	340.21	20.24936
5063_32451_000033_000000	They clos'd full fast on everye side, Noe slacknes there was found; And many a gallant gentleman Lay gasping on the ground.	They clos'd full fast on everye side, Noe slacknes there was found; And many a gallant gentleman Lay gasping on the ground.	true	340.37	350.8	18.818754
5063_32451_000034_000000	O Christ! it was a griefe to see, And likewise for to heare, The cries of men lying in their gore, And scattered here and there.	O Christ! it was a griefe to see, And likewise for to heare, The cries of men lying in their gore, And scattered here and there.	false	351.05	361.72	20.137716
5063_32451_000035_000000	At last these two stout erles did meet, Like captaines of great might; Like lyons wood they layd on lode, And made a cruell fight.	At last these two stout erles did meet, Like captaines of great might; Like lyons wood they layd on lode, And made a cruell fight.	false	361.94	372.88	18
5063_32451_000036_000000	They fought, untill they both did sweat, With swords of tempered steele; Until the blood, like drops of rain, They trickling downe did feele.	They fought, untill they both did sweat, With swords of tempered steele; Until the blood, like drops of rain, They trickling downe did feele.	true	373.07	383.68	19.234777
5063_32451_000037_000000	"Yeeld thee, Lord Percy," Douglas sayd "In faith I will thee bringe, Where thou shalt high advanced bee By James our Scottish king.	"Yeeld thee, Lord Percy," Douglas sayd "In faith I will thee bringe, Where thou shalt high advanced bee By james our Scottish king.	false	383.99	394.47	15
5063_32451_000038_000000	"Thy ransom I will freely give, And thus report of thee, Thou art the most couragious knight That ever I did see."	"Thy ransom I will freely give, And thus report of thee, Thou art the most couragious knight That ever I did see."	false	394.47	404.2	19.932922
5063_32451_000039_000000	"Noe, Douglas," quoth Erle Percy then, "Thy proffer I doe scorne I will not yeelde to any Scott, That ever yett was borne."	"Noe, Douglas," quoth Erle Percy then, "Thy proffer I doe scorne I will not yeelde to any Scott, That ever yett was borne."	false	404.42	415.21	18.760103
5063_32451_000040_000000	With that, there came an arrow keene Out of an English bow, Which struck Erle Douglas to the heart, A deepe and deadlye blow:	With that, there came an arrow keene Out of an English bow, Which struck Erle Douglas to the heart, A deepe and deadlye blow:	true	415.46	425.38	18.608768
5063_32451_000041_000000	Who never spake more words than these, "Fight on, my merry men all; For why, my life is at an end: Lord Percy sees my fall."	Who never spake more words than these, "Fight on, my merry men all; For why, my life is at an end: Lord Percy sees my fall."	true	425.75	437.5	19
5063_32451_000042_000000	Then leaving liffe, Erle Percy tooke The dead man by the hand; And said, "Erle Douglas, for thy life Wold I had lost my land!	Then leaving liffe, Erle Percy tooke The dead man by the hand; And said, "Erle Douglas, for thy life Wold I had lost my land!	false	437.84	447.88	18.29773
5063_32451_000043_000000	"O Christ! my verry hart doth bleed With sorrow for thy sake; For sure, a more renowned knight Mischance cold never take."	"O Christ! my verry hart doth bleed With sorrow for thy sake; For sure, a more renowned knight Mischance cold never take."	false	448.04	458.49	19.130016
5063_32451_000044_000000	A knight amongst the Scotts there was, Which saw Erle Douglas dye, Who streight in wrath did vow revenge Upon the Lord Percye;	A knight amongst the Scotts there was, Which saw Erle Douglas dye, Who streight in wrath did vow revenge Upon the Lord Percye;	false	458.49	469.23	19.033106
5063_32451_000045_000000	Sir Hugh Mountgomerye was he call'd, Who, with a spere most bright, Well-mounted on a gallant steed, Ran fiercely through the fight;	Sir Hugh Mountgomerye was he call'd, Who, with a spere most bright, Well mounted on a gallant steed, Ran fiercely through the fight;	false	469.23	479.35	19.955465
5063_32451_000046_000000	And past the English archers all, Without all dread or feare, And through Earl Percyes body then He thrust his hatefull spere	And past the English archers all, Without all dread or feare, And through Earl Percyes body then He thrust his hatefull spere	false	479.57	490.08	18.943531
5063_32451_000047_000000	With such a vehement force and might He did his body gore, The speare ran through the other side A large cloth-yard, and more.	With such a vehement force and might He did his body gore, The speare ran through the other side A large cloth yard, and more.	false	490.08	500.14	16
5063_32451_000048_000000	So thus did both these nobles dye, Whose courage none could staine; An English archer then perceiv'd The noble erle was slaine.	So thus did both these nobles dye, Whose courage none could staine; An English archer then perceiv'd The noble erle was slaine.	true	500.45	510.85	20.590836
5063_32451_000049_000000	He had a bow bent in his hand, Made of a trusty tree; An arrow of a cloth-yard long Up to the head drew hee.	He had a bow bent in his hand, Made of a trusty tree; An arrow of a cloth yard long Up to the head drew hee.	false	511.1	520.54	17
5063_32451_000050_000000	Against Sir Hugh Mountgomerye, So right the shaft he sett, The grey goose-wing that was thereon In his harts bloode was wett.	Against Sir Hugh Mountgomerye, So right the shaft he sett, The grey goose wing that was thereon In his harts bloode was wett.	false	520.82	531.07	20.218346
5063_32451_000051_000000	This fight did last from breake of day Till setting of the sun; For when they rung the evening bell, The battel scarce was done.	This fight did last from breake of day Till setting of the sun; For when they rung the evening bell, The battel scarce was done.	true	531.26	541.42	20.053091
5063_32451_000052_000000	With stout Erle Percy, there was slaine, Sir John of Egerton, Sir Robert Ratcliff, and Sir John, Sir James, that bold Bar n.	With stout Erle Percy, there was slaine, Sir john of Egerton, Sir Robert Ratcliff, and Sir john, Sir james, that bold Bar n.	false	541.79	552.48	18.711056
5063_32451_000053_000000	And with Sir George and stout Sir James, Both knights of good account, Good Sir Ralph Rabby there was slaine, Whose prowesse did surmount.	And with Sir George and stout Sir james, Both knights of good account, Good Sir Ralph Rabby there was slaine, Whose prowesse did surmount.	true	552.48	562.74	20
5063_32451_000054_000000	For Witherington needs must I wayle, As one in doleful dumpes; For when his legs were smitten off, He fought upon his stumpes.	For Witherington needs must I wayle, As one in doleful dumpes; For when his legs were smitten off, He fought upon his stumpes.	true	562.74	573.1	18.675756
5063_32451_000055_000000	And with Erle Douglas, there was slaine Sir Hugh Mountgomerye, Sir Charles Murray, that from the feeld One foote wold never flee.	And with Erle Douglas, there was slaine Sir Hugh Mountgomerye, Sir Charles Murray, that from the feeld One foote wold never flee.	false	573.44	582.88	19
5063_32451_000056_000000	Sir Charles Murray of Ratcliff, too, His sisters sonne was hee; Sir David Lamb, so well esteem'd, Yet saved cold not bee.	Sir Charles Murray of Ratcliff, too, His sisters sonne was hee; Sir David Lamb, so well esteem'd, Yet saved cold not bee.	false	583.28	592.9	17.120106
5063_32451_000057_000000	And the Lord Maxwell in like case Did with Erle Douglas dye; Of twenty hundred Scottish speres, Scarce fifty-five did flye.	And the Lord Maxwell in like case Did with Erle Douglas dye; Of twenty hundred Scottish speres, Scarce fifty five did flye.	true	593.15	603.81	21.06357
5063_32451_000058_000000	Of fifteen hundred Englishmen, Went home but fifty-three; The rest were slaine in Chevy-Chace, Under the greene wood tree.	Of fifteen hundred Englishmen, Went home but fifty three; The rest were slaine in Chevy Chace, Under the greene wood tree.	false	603.81	613.57	19.71098
5063_32451_000059_000000	Next day did many widowes come, Their husbands to bewayle; They washt their wounds in brinish teares, But all wold not prevayle.	Next day did many widowes come, Their husbands to bewayle; They washt their wounds in brinish teares, But all wold not prevayle.	false	613.76	624.03	18.909382
5063_32451_000060_000000	Theyr bodyes, bathed in purple blood, They bore with them away: They kist them dead a thousand times, Ere they were cladd in clay.	Theyr bodyes, bathed in purple blood, They bore with them away: They kist them dead a thousand times, Ere they were cladd in clay.	false	624.03	635.05	20.518066
5063_32451_000061_000000	This newes was brought to Eddenborrow, Where Scotlands king did raigne, That brave Erle Douglas suddenlye Was with an arrow slaine.	This newes was brought to Eddenborrow, Where Scotlands king did raigne, That brave Erle Douglas suddenlye Was with an arrow slaine.	true	635.18	645.12	20.99994
5063_32451_000062_000000	"O heavy newes," King James did say; "Scottland can witnesse bee, I have not any captaine more Of such account as hee."	"O heavy newes," King james did say; "Scottland can witnesse bee, I have not any captaine more Of such account as hee."	true	645.12	655.69	20.020212
5063_32451_000063_000000	Like tydings to King Henry came, Within as short a space, That Percy of Northumberland Was slaine in Chevy-Chace.	Like tydings to King Henry came, Within as short a space, That Percy of Northumberland Was slaine in Chevy Chace.	true	655.73	666.04	19.025158
5063_32451_000064_000000	"Now God be with him," said our king, "Sith it will noe better bee; I trust I have, within my realme, Five hundred as good as hee.	"Now God be with him," said our king, "Sith it will noe better bee; I trust I have, within my realme, Five hundred as good as hee.	true	666.26	676.84	20
5063_32451_000065_000000	"Yett shall not Scotts nor Scotland say, But I will vengeance take, I'll be revenged on them all, For brave Erle Percyes sake."	"Yett shall not Scotts nor Scotland say, But I will vengeance take, I'll be revenged on them all, For brave Erle Percyes sake."	false	676.94	687.855	19.78673
5063_32451_000066_000000	This vow full well the king perform'd After, at Humbledowne; In one day, fifty knights were slayne, With lordes of great renowne.	This vow full well the king perform'd After, at Humbledowne; In one day, fifty knights were slayne, With lordes of great renowne.	true	687.855	698.86	22.251862
5063_32451_000067_000000	And of the rest, of small account, Did many thousands dye: Thus endeth the hunting in Chevy-Chace, Made by the Erle Percy.	And of the rest, of small account, Did many thousands dye: Thus endeth the hunting in Chevy Chace, Made by the Erle Percy.	false	699.08	709.35	21.764833
5063_32451_000068_000000	God save our king, and bless this land In plentye, joy, and peace; And grant henceforth, that foule debate 'Twixt noblemen may cease!	God save our king, and bless this land In plentye, joy, and peace; And grant henceforth, that foule debate 'Twixt noblemen may cease!	true	709.35	721.29	20.054987
5063_32451_000069_000000	King Cophetua and the Beggar-Maid	King Cophetua and the Beggar Maid	false	721.29	721.5	-20
5063_32451_000070_000000	I read that once in Affrica A princely wight did raine, Who had to name Cophetua, As poets they did faine. From natures lawes he did decline, For sure he was not of my minde, He cared not for women-kind But did them all disdaine. But marke what hapned on a day; As he out of his window lay, He saw a beggar all in gray. The which did cause his paine.	I read that once in Affrica A princely wight did raine, Who had to name Cophetua, As poets they did faine. From natures lawes he did decline, For sure he was not of my minde, He cared not for women kind But did them all disdaine. But marke what hapned on a day; As he out of his window lay, He saw a beggar all in gray. The which did cause his paine.	false	721.5	728.76	18.201576
