2787_157400_000000_000000	"I cannot tell," John answered.	"I cannot tell," john answered.	false	2.55	4.41	21.592997
2787_157400_000005_000001	The ravages of drink would not be perceptible so soon, after all.	The ravages of drink would not be perceptible so soon, after all.	true	172.73	176.95	18
2787_157400_000005_000002	He changed his tie for one of a darker hue, ate sparingly of a beefsteak, and went back to bid Joe a last farewell.	He changed his tie for one of a darker hue, ate sparingly of a beefsteak, and went back to bid Joe a last farewell.	true	177.44	185.65	22.050339
2787_157400_000006_000000	Sybil Brandon and Miss Schenectady were elements in the solemn leave-taking which Ronald had not anticipated.	Sybil Brandon and Miss Schenectady were elements in the solemn leave taking which Ronald had not anticipated.	true	186.02	192.255	21.377853
2787_157400_000006_000001	Sybil, moreover, made a great effort, for she was anxious to help Joe as much as possible in her difficulties.	Sybil, moreover, made a great effort, for she was anxious to help Joe as much as possible in her difficulties.	true	192.255	199.45	23.382118
2787_157400_000006_000002	She talked to Ronald with a vivacity that was unusual, and Joe herself was astonished at the brilliance of her conversation.	She talked to Ronald with a vivacity that was unusual, and Joe herself was astonished at the brilliance of her conversation.	true	199.46	206.89	21.974691
2787_157400_000006_000003	She had always thought Sybil very reserved, if not somewhat shy.	She had always thought Sybil very reserved, if not somewhat shy.	true	207.38	212.17	25.593128
2787_157400_000007_000000	Perhaps Sybil pitied Ronald a little.	Perhaps Sybil pitied Ronald a little.	true	212.36	214.62	22.00743
2787_157400_000007_000001	He was very quiet in his manner, though after the first few minutes he found himself talking much as usual. True, he often looked at Joe, and then was silent; but then again he looked at Sybil, and his tongue was unloosed.	He was very quiet in his manner, though after the first few minutes he found himself talking much as usual. True, he often looked at Joe, and then was silent; but then again he looked at Sybil, and his tongue was unloosed.	false	214.62	229	24.45088
2787_157400_000007_000002	He was grateful after a time, and he was also flattered.	He was grateful after a time, and he was also flattered.	true	229.58	233.47	21.665976
2787_157400_000007_000003	Besides, he could not help noticing that his new acquaintance was extremely beautiful.	Besides, he could not help noticing that his new acquaintance was extremely beautiful.	true	233.54	238.21	21
2787_157400_000007_000004	His conscience smote him as he realized that he was thinking of her appearance, and he immediately quieted the qualm by saying that it was but natural admiration for an artistic object.	His conscience smote him as he realized that he was thinking of her appearance, and he immediately quieted the qualm by saying that it was but natural admiration for an artistic object.	true	238.52	248.505	21.027718
2787_157400_000007_000005	Ronald did not know much about artists and that sort of people, but the expression formed itself conveniently in his mind.	Ronald did not know much about artists and that sort of people, but the expression formed itself conveniently in his mind.	true	248.505	255.555	22
2787_157400_000008_000000	The consequence was that he accepted an invitation to drive with the two girls after luncheon, and when they left him at his hotel, a proceeding against which he vehemently protested on the score of propriety, he reluctantly acknowledged to himself that he had enjoyed the afternoon very much.	The consequence was that he accepted an invitation to drive with the two girls after luncheon, and when they left him at his hotel, a proceeding against which he vehemently protested on the score of propriety, he reluctantly acknowledged to himself that he had enjoyed the afternoon very much.	true	255.555	272.74	24.321232
2787_157400_000009_000000	"Come and see us after five o'clock," said Sybil.	"Come and see us after five o'clock," said Sybil.	true	273.14	275.62	21
2787_157400_000009_000001	"I will present you to Mrs. Wyndham.	"I will present you to mrs Wyndham.	true	275.72	277.785	18.829315
2787_157400_000009_000002	Nine hundred and thirty-six, Beacon Street," she added, laughing.	Nine hundred and thirty six, Beacon Street," she added, laughing.	true	277.785	281.625	25.270578
2787_157400_000010_000000	"With great pleasure--thanks," said Ronald.	"With great pleasure-thanks," said Ronald.	true	281.625	284.31	23.58366
2787_157400_000011_000000	"Good-by, Ronald dear," said Joe pleasantly.	"Good by, Ronald dear," said Joe pleasantly.	true	284.31	287.025	21.683191
2787_157400_000012_000000	"Good-by," he answered in a doubtful tone of voice, as he raised his hat; and the two girls drove away.	"Good by," he answered in a doubtful tone of voice, as he raised his hat; and the two girls drove away.	true	287.025	293.65	22.7434
2787_157400_000013_000000	Sybil was apparently in very good spirits.	Sybil was apparently in very good spirits.	true	293.84	296.68	19.687696
2787_157400_000014_000000	"Do not be frightened, Joe dearest," she said.	"Do not be frightened, Joe dearest," she said.	true	296.81	299.62	24.683605
2787_157400_000014_000001	"We will manage it very well.	"We will manage it very well.	true	300.02	301.59	17.259756
2787_157400_000014_000002	He is not hurt in the least."	He is not hurt in the least."	false	301.59	303.58	29.263592
2787_157400_000015_000000	"Really, I do not believe he is--so very much, you know," Joe answered. But she was thoughtful, and did not speak again for some time.	"Really, I do not believe he is-so very much, you know," Joe answered. But she was thoughtful, and did not speak again for some time.	true	303.86	313.24	22.413153
2787_157400_000016_000000	It was on the morning after this that Joe read the article on John's speech, and met him by the Common.	It was on the morning after this that Joe read the article on John's speech, and met him by the Common.	true	313.31	319.425	21.908485
2787_157400_000016_000001	Ronald did not call during the day, and in the evening Joe went to her party as she had intended; but neither Sybil nor John Harrington were there.	Ronald did not call during the day, and in the evening Joe went to her party as she had intended; but neither Sybil nor john Harrington were there.	true	319.425	328.78	18
2787_157400_000016_000002	Sybil did not go to parties, and John probably had too much to do.	Sybil did not go to parties, and john probably had too much to do.	true	328.79	332.95	20
2787_157400_000016_000003	But at supper Joe chanced to be standing near Mrs. Sam Wyndham.	But at supper Joe chanced to be standing near mrs Sam Wyndham.	true	333.11	337.35	22.996315
2787_157400_000017_000000	"Oh, I so much wanted to see you, Miss Thorn," said the latter.	"Oh, I so much wanted to see you, Miss Thorn," said the latter.	true	337.35	341.07	22
2787_157400_000017_000001	"I wanted to tell you how much we like your cousin, Mr. Surbiton.	"I wanted to tell you how much we like your cousin, mr Surbiton.	true	341.07	344.49	16
2787_157400_000017_000002	He came today, and I have asked him to dinner to-morrow."	He came today, and I have asked him to dinner to morrow."	true	344.49	348.93	24.259975
2787_157400_000018_000000	"Yes?" said Joe, turning a shade paler.	"Yes?" said Joe, turning a shade paler.	true	348.93	352.095	26.408968
2787_157400_000018_000001	"I am so glad you like him.	"I am so glad you like him.	true	352.095	353.73	19.11553
2787_157400_000018_000002	He is a very nice boy."	He is a very nice boy."	true	353.73	355.245	21.69731
2787_157400_000019_000000	"He is perfectly lovely," said Mrs. Sam, enthusiastically.	"He is perfectly lovely," said mrs Sam, enthusiastically.	true	355.245	359.1	24.383179
2787_157400_000019_000001	"And he is so natural, you would not know he was English at all."	"And he is so natural, you would not know he was English at all."	true	359.1	362.325	19
2787_157400_000020_000000	"Really?" said Joe, raising her eyebrows a little, but laughing at the same time.	"Really?" said Joe, raising her eyebrows a little, but laughing at the same time.	true	362.325	366.81	17.338219
2787_157400_000021_000000	"Oh my dear," said Mrs. Wyndham, "I always forget you are not one of us. Besides, you are, you see."	"Oh my dear," said mrs Wyndham, "I always forget you are not one of us. Besides, you are, you see."	true	366.81	373.32	20.776936
2787_157400_000022_000000	Mrs. Wyndham rarely said a tactless thing, but this evening she was in such good spirits that she said what came uppermost in her thoughts.	mrs Wyndham rarely said a tactless thing, but this evening she was in such good spirits that she said what came uppermost in her thoughts.	true	373.32	380.85	21
2787_157400_000022_000001	Joe was not offended; she was only bored.	Joe was not offended; she was only bored.	true	380.85	383.745	22.230364
2787_157400_000023_000000	"Will you not come and dine too, to-morrow night?" asked Mrs. Wyndham, who was anxious to atone.	"Will you not come and dine too, to morrow night?" asked mrs Wyndham, who was anxious to atone.	true	383.745	389.925	23.611715
2787_157400_000024_000000	"Thanks, awfully," said Joe, "but I have to dine with the Aitchisons."	"Thanks, awfully," said Joe, "but I have to dine with the Aitchisons."	false	389.925	393.69	21
2787_157400_000025_000000	Pocock Vancouver, pale and exquisite as ever, came up to the two ladies.	Pocock Vancouver, pale and exquisite as ever, came up to the two ladies.	true	393.69	398.34	23.65398
2787_157400_000026_000000	"Can I get you anything, Mrs. Wyndham?" he inquired, after a double bow.	"Can I get you anything, mrs Wyndham?" he inquired, after a double bow.	true	398.34	402.39	23.618483
2787_157400_000027_000000	"No, thank you.	"No, thank you.	true	402.39	403.36	27.528952
2787_157400_000027_000001	Johnny Hannibal is taking care of me," answered Mrs. Sam, coldly.	Johnny Hannibal is taking care of me," answered mrs Sam, coldly.	true	403.52	407.32	22.951227
2787_157400_000028_000000	"Miss Thorn, what can I get you?" he asked, turning to Joe.	"Miss Thorn, what can I get you?" he asked, turning to Joe.	true	407.54	411.225	21.442097
2787_157400_000029_000000	"Nothing, thanks," said Joe, "Mr.	"Nothing, thanks," said Joe, "mr	true	411.225	413.64	27.536777
2787_157400_000029_000001	Biggielow is getting me something." She did not look at Vancouver as she answered, and the angry color began to rise to her temples.	Biggielow is getting me something." She did not look at Vancouver as she answered, and the angry color began to rise to her temples.	true	413.64	420.24	20
2787_157400_000029_000002	Vancouver, who was not used to repulses such as these, and was too old a soldier to give up a situation so easily, stood a moment playing with his coat tails.	Vancouver, who was not used to repulses such as these, and was too old a soldier to give up a situation so easily, stood a moment playing with his coat tails.	true	420.24	429.64	22.910088
2787_157400_000029_000003	A sudden thought passed through Joe's mind.	A sudden thought passed through Joe's mind.	true	429.65	431.895	23.929756
2787_157400_000029_000004	It struck her that, considering the situation of affairs, it would be unwise to break off her acquaintance with Vancouver at the present time.	It struck her that, considering the situation of affairs, it would be unwise to break off her acquaintance with Vancouver at the present time.	true	431.895	439.48	20
2787_157400_000029_000005	Her first honest impulse was to cut him and never speak to him again.	Her first honest impulse was to cut him and never speak to him again.	true	439.49	443.44	19
2787_157400_000029_000006	But it was better to act with more deliberation.	But it was better to act with more deliberation.	true	443.72	446.26	16
2787_157400_000029_000007	In the first place, there might be more to be learnt which might be of service to John; secondly, people would talk about it if she cut him, and would invent some story to the effect that he had proposed to marry her, or that she had proposed to marry him.	In the first place, there might be more to be learnt which might be of service to john; secondly, people would talk about it if she cut him, and would invent some story to the effect that he had proposed to marry her, or that she had proposed to marry him.	true	446.33	459.64	24.451324
2787_157400_000029_000008	It was contrary to her nature to pretend anything she did not feel, but it would nevertheless be a mistake to quarrel openly with Vancouver.	It was contrary to her nature to pretend anything she did not feel, but it would nevertheless be a mistake to quarrel openly with Vancouver.	true	459.95	467.53	23
2787_157400_000030_000000	"On second thoughts--if you would get me a glass of water"--she said, speaking to him.	"On second thoughts-if you would get me a glass of water"--she said, speaking to him.	true	467.87	472.635	21.055824
2787_157400_000030_000001	He instantly disappeared; but even in the moment before he departed to execute her command he had time to express by his look a sense of injury forgiven, which did not escape Joe.	He instantly disappeared; but even in the moment before he departed to execute her command he had time to express by his look a sense of injury forgiven, which did not escape Joe.	true	472.635	483.45	22
2787_157400_000031_000000	"What a hypocrite the man is!" she thought.	"What a hypocrite the man is!" she thought.	true	483.45	486.555	22.977142
2787_157400_000032_000000	Vancouver on his part could form no conception of the cause of the coldness the two ladies had shown him.	Vancouver on his part could form no conception of the cause of the coldness the two ladies had shown him.	true	486.555	492.13	20
2787_157400_000032_000001	He could not know that Joe had discovered in him the writer of the article, still less could he have guessed that Joe had told John, and that John had told Mrs. Sam.	He could not know that Joe had discovered in him the writer of the article, still less could he have guessed that Joe had told john, and that john had told mrs Sam.	true	492.14	501.85	21.218227
2787_157400_000032_000002	He could only suppose that the two had been talking of something, and were annoyed at being interrupted.	He could only suppose that the two had been talking of something, and were annoyed at being interrupted.	true	501.92	507.46	22.541803
2787_157400_000033_000000	When he came back with the glass of water Mr. Biggielow had just brought Joe some salad.	When he came back with the glass of water mr Biggielow had just brought Joe some salad.	true	508.19	512.62	19
2787_157400_000033_000001	The usual struggle began between the two men.	The usual struggle began between the two men.	true	512.78	515.38	16
2787_157400_000033_000002	Mr. Bonamy Biggielow was a little poet.	mr Bonamy Biggielow was a little poet.	true	515.57	518.17	22.31958
2787_157400_000034_000000	"I ought to thank you, Miss Thorn, instead of you thanking me," said Vancouver, in a seductive voice, on one side of Joe.	"I ought to thank you, Miss Thorn, instead of you thanking me," said Vancouver, in a seductive voice, on one side of Joe.	true	518.51	527.325	22.680792
2787_157400_000035_000000	"Is it not the most crowded supper you ever saw?" remarked Mr. Biggielow on the other side.	"Is it not the most crowded supper you ever saw?" remarked mr Biggielow on the other side.	true	527.325	532.335	16
2787_157400_000036_000000	"Why?" said Joe, eating her salad and looking straight before her.	"Why?" said Joe, eating her salad and looking straight before her.	true	532.335	536.175	20.246193
2787_157400_000037_000000	"I thought you were going to send me away.	"I thought you were going to send me away.	true	536.175	538.305	15.108508
2787_157400_000037_000001	I was so glad when you condescended to make use of me," answered Vancouver.	I was so glad when you condescended to make use of me," answered Vancouver.	true	538.305	542.47	16
2787_157400_000038_000000	Mr. Biggielow also answered Joe's interrogation.	mr Biggielow also answered Joe's interrogation.	true	542.48	545.355	20.382647
2787_157400_000039_000000	"Well," he said, "I mean it is thronged with people.	"Well," he said, "I mean it is thronged with people.	true	545.355	549.31	23.41271
2787_157400_000039_000001	There is a decided 'sound of revelry by night'."	There is a decided 'sound of revelry by night'."	true	549.53	552.49	16
2787_157400_000040_000000	"Youth and beauty?	"Youth and beauty?	true	552.62	554.23	23.1451
2787_157400_000040_000001	That sort of thing?" said Joe to Biggielow.	That sort of thing?" said Joe to Biggielow.	true	554.6	557.5	23.717232
2787_157400_000040_000002	Then turning to Vancouver, she added, "Why should I send you away?"	Then turning to Vancouver, she added, "Why should I send you away?"	true	557.51	561.76	23.118402
2787_157400_000041_000000	"I hope there is no reason," he said gravely.	"I hope there is no reason," he said gravely.	true	562.1	564.9	22.741602
2787_157400_000041_000001	"In fact, I am sure there is none, except that you would of course always do exactly as you pleased about that and everything else."	"In fact, I am sure there is none, except that you would of course always do exactly as you pleased about that and everything else."	true	564.9	572.865	23.380087
2787_157400_000042_000000	"Yes, indeed," Joe answered, and her lip curled a little proudly, "you are quite right about that.	"Yes, indeed," Joe answered, and her lip curled a little proudly, "you are quite right about that.	true	572.865	579.255	24.768068
2787_157400_000042_000001	But then, you know, I did not send you away."	But then, you know, I did not send you away."	true	579.255	582.67	28.54841
2787_157400_000043_000000	"Thanks, again," said Vancouver.	"Thanks, again," said Vancouver.	true	582.86	585.43	21.705498
2787_157400_000044_000000	"Do let me get you something more, Miss Thorn," suggested Mr. Biggielow. "No?	"Do let me get you something more, Miss Thorn," suggested mr Biggielow. "No?	true	585.56	590.62	24
2787_157400_000044_000001	There is any amount of _pates_.	There is any amount of underscore pates underscore.	false	590.93	593.37	29.123383
2787_157400_000044_000002	You always like"--	You always like"--	true	593.37	594.615	23
2787_157400_000045_000000	"Of course you have heard about Harrington?" said Vancouver in a low voice close to Josephine's ear.	"Of course you have heard about Harrington?" said Vancouver in a low voice close to Josephine's ear.	true	594.615	600.42	23.630802
2787_157400_000046_000000	"No, really," she answered.	"No, really," she answered.	true	600.42	603.075	18.122192
2787_157400_000046_000001	"Will you take my plate?	"Will you take my plate?	true	603.075	604.39	25.003912
2787_157400_000046_000002	And the glass--thanks." Mr. Bonamy Biggielow was obliged to retire.	And the glass-thanks." mr Bonamy Biggielow was obliged to retire.	false	604.55	609.13	20.26567
2787_157400_000046_000003	"You mean about the senatorship?" asked Joe.	"You mean about the senatorship?" asked Joe.	true	609.29	612.18	25.674086
2787_157400_000047_000000	"Yes.	"Yes.	true	612.18	612.85	21.202364
2787_157400_000047_000001	The senator died this morning.	The senator died this morning.	true	612.92	614.7	17.786884
2787_157400_000047_000002	Harrington will make a fight for it. He has many friends."	Harrington will make a fight for it. He has many friends."	true	614.7	618.07	19.658716
2787_157400_000048_000000	"Among whom you count yourself, doubtless," remarked Joe.	"Among whom you count yourself, doubtless," remarked Joe.	true	618.11	621.91	27.781744
2787_157400_000049_000000	"Not politically, of course.	"Not politically, of course.	true	622.58	624.135	27.043642
2787_157400_000049_000001	I take no active part"--	I take no active part"--	true	624.135	625.81	26.90251
2787_157400_000050_000000	"Yes, I know." Joe knew the remainder of the sentence by heart.	"Yes, I know." Joe knew the remainder of the sentence by heart.	true	626.42	630.58	20.468664
2787_157400_000050_000001	"Then you will have a glorious opportunity for maintaining an armed neutrality."	"Then you will have a glorious opportunity for maintaining an armed neutrality."	false	631.1	635.895	17
2787_157400_000051_000000	"Oh, if it comes to that," said Vancouver mildly, "I would rather see Harrington senator than some of our own men.	"Oh, if it comes to that," said Vancouver mildly, "I would rather see Harrington senator than some of our own men.	true	635.895	644.02	23.72024
2787_157400_000051_000001	At all events, he is honest."	At all events, he is honest."	true	644.3	646.93	21.59179
2787_157400_000052_000000	"At all events!" Joe repeated.	"At all events!" Joe repeated.	true	647.54	650.05	24.084284
2787_157400_000052_000001	"You think, perhaps, that some man of your own party may be elected who will not turn out to be honest?"	"You think, perhaps, that some man of your own party may be elected who will not turn out to be honest?"	true	650.36	656.83	23
2787_157400_000053_000000	"Well, the thing is possible.	"Well, the thing is possible.	true	656.96	659.35	25.516378
2787_157400_000053_000001	You see, politics are such a dirty business--all kinds of men get in."	You see, politics are such a dirty business-all kinds of men get in."	true	659.66	664.84	20.641363
2787_157400_000054_000000	Joe laughed in a way that made Vancouver nervous.	Joe laughed in a way that made Vancouver nervous.	true	664.94	667.87	16
2787_157400_000054_000001	He was beginning to know her, and he could tell when some sharp thrust was coming by the way she laughed.	He was beginning to know her, and he could tell when some sharp thrust was coming by the way she laughed.	true	668.33	673.75	19.608633
2787_157400_000054_000002	Nevertheless, he was fascinated by her.	Nevertheless, he was fascinated by her.	true	673.88	676.875	21.630781
2787_157400_000055_000000	"It is not long since you told me that Mr. Harrington's very mild remark about extinguishing bribery and corruption was a piece of gross exaggeration," said Joe.	"It is not long since you told me that mr Harrington's very mild remark about extinguishing bribery and corruption was a piece of gross exaggeration," said Joe.	true	676.875	687.07	21.448639
2787_157400_000055_000001	"Why do you say politics are dirty work?"	"Why do you say politics are dirty work?"	true	687.29	689.61	21.410198
2787_157400_000056_000000	"There is a great difference," answered Vancouver.	"There is a great difference," answered Vancouver.	true	689.61	692.89	23.077791
2787_157400_000057_000000	"What difference?	"What difference?	true	693.05	694.23	22.513285
2787_157400_000057_000001	Between what?"	Between what?"	true	694.23	695.35	24.060959
2787_157400_000058_000000	"Between saying that the business of politics is not clean, and saying that all public officers are liars, like the Cretans."	"Between saying that the business of politics is not clean, and saying that all public officers are liars, like the Cretans."	true	695.57	702.85	20.412067
2787_157400_000059_000000	"Who is exaggerating now?" asked Joe scornfully.	"Who is exaggerating now?" asked Joe scornfully.	true	703.01	707.14	20.358248
2787_157400_000060_000000	"Of course it is I," answered Vancouver, submissively.	"Of course it is I," answered Vancouver, submissively.	true	707.42	711.94	25.529781
2787_157400_000060_000001	"If it is not a rude question, did not that dress come from Egypt?"	"If it is not a rude question, did not that dress come from Egypt?"	true	712.37	717.09	26.371187
2787_157400_000061_000000	"Yes." The garment in question was made of a kind of soft white, fluted material over a rose-colored silk ground.	"Yes." The garment in question was made of a kind of soft white, fluted material over a rose colored silk ground.	false	717.09	724.29	22.566973
2787_157400_000061_000001	The raised flutings followed the exquisite lines of Joe's figure, and had the double merit of accentuating its symmetry, and of so leading the eye as to make her height seem greater than it really was.	The raised flutings followed the exquisite lines of Joe's figure, and had the double merit of accentuating its symmetry, and of so leading the eye as to make her height seem greater than it really was.	false	724.29	736.17	20
2787_157400_000061_000002	Cut square at the neck, it showed her dazzling throat at its best advantage, and a knot of pink lilies at the waist harmonized delicately with the color of the whole.	Cut square at the neck, it showed her dazzling throat at its best advantage, and a knot of pink lilies at the waist harmonized delicately with the color of the whole.	true	736.17	746.71	23.518559
2787_157400_000062_000000	"It is just like you," said Vancouver, "to have something different from everybody else.	"It is just like you," said Vancouver, "to have something different from everybody else.	true	747.02	752.38	22.907772
2787_157400_000062_000001	I admire Eastern things so much, and one gets so tired of the everlasting round of French dresses."	I admire Eastern things so much, and one gets so tired of the everlasting round of French dresses."	false	752.48	759.13	23.029705
2787_157400_000063_000000	"I am glad you like it," said Joe, indifferently.	"I am glad you like it," said Joe, indifferently.	true	759.29	762.04	26.302845
2787_157400_000064_000000	"I am so anxious to meet your cousin, Miss Thorn," said Vancouver, trying a new subject.	"I am so anxious to meet your cousin, Miss Thorn," said Vancouver, trying a new subject.	true	762.59	767.98	25.007011
2787_157400_000064_000001	"I hear there is to be a dinner for him to-morrow night at Mrs. Sam Wyndham's.	"I hear there is to be a dinner for him to morrow night at mrs Sam Wyndham's.	true	768.23	772.3	20.835161
2787_157400_000064_000002	But of course I am not asked."	But of course I am not asked."	true	772.46	774.915	23.589716
2787_157400_000065_000000	"Why 'of course'?" inquired Joe quickly.	"Why 'of course'?" inquired Joe quickly.	true	774.915	777.31	23.633718
2787_157400_000066_000000	"I believe Mrs. Wyndham thinks I dislike Englishmen," said Vancouver at random.	"I believe mrs Wyndham thinks I dislike Englishmen," said Vancouver at random.	true	777.35	781.995	22.361362
2787_157400_000066_000001	"But she is really very much mistaken."	"But she is really very much mistaken."	true	781.995	784.36	15
2787_157400_000067_000000	"Really?"	"Really?"	true	784.79	785.68	32.193077
2787_157400_000068_000000	"Yes--I should be willing to like any number of Englishmen for the sake of being liked by one Englishwoman." He looked at Joe expressively as he spoke.	"Yes-I should be willing to like any number of Englishmen for the sake of being liked by one Englishwoman." He looked at Joe expressively as he spoke.	true	785.84	795.46	22.182379
2787_157400_000069_000000	"Really?"	"Really?"	true	795.59	796.54	31.51008
2787_157400_000070_000000	"Indeed, yes.	"Indeed, yes.	true	796.94	798.1	19.393785
2787_157400_000070_000001	Do you not believe me?"	Do you not believe me?"	false	798.2	799.39	28.735037
2787_157400_000071_000000	"Oh, yes," said Joe.	"Oh, yes," said Joe.	true	800	802.48	22.548485
2787_157400_000071_000001	"Why should I not believe you?" Her voice was calm, but that same angry flush that had of late so often shown itself began to rise slowly at her temples.	"Why should I not believe you?" Her voice was calm, but that same angry flush that had of late so often shown itself began to rise slowly at her temples.	true	802.85	811.87	22
2787_157400_000071_000002	Vancouver saw it, and thought she was blushing at what he said.	Vancouver saw it, and thought she was blushing at what he said.	true	812.03	815.38	23.435312
2787_157400_000072_000000	"I trust you will," said Vancouver.	"I trust you will," said Vancouver.	true	816.05	818.47	22.6205
2787_157400_000072_000001	"I trust that some day you will let me tell you who that Englishwoman is."	"I trust that some day you will let me tell you who that Englishwoman is."	true	818.57	822.52	21
2787_157400_000073_000000	It was horrible; he was making love to her, this wretch, whom she despised.	It was horrible; he was making love to her, this wretch, whom she despised.	true	822.56	827.98	22.15568
2787_157400_000073_000001	She turned her head away to hide the angry look in her eyes.	She turned her head away to hide the angry look in her eyes.	false	828.02	831.01	20
2787_157400_000074_000000	"Thanks--no, if you do not mind," said she.	"Thanks-no, if you do not mind," said she.	true	831.38	835.12	24.616356
2787_157400_000074_000001	"I do not care to receive confidences,--I always forget to forget them." It was not in order that Pocock Vancouver might make love to her that she had sent away Bonamy Biggielow, the harmless little poet.	"I do not care to receive confidences,--I always forget to forget them." It was not in order that Pocock Vancouver might make love to her that she had sent away Bonamy Biggielow, the harmless little poet.	true	835.22	847.66	24.117275
2787_157400_000074_000002	She wished him back again, but he was embarked in an enterprise to dispute with Johnny Hannibal a place near Miss St. Joseph.	She wished him back again, but he was embarked in an enterprise to dispute with Johnny Hannibal a place near Miss saint Joseph.	true	848	855.36	21.622505
2787_157400_000074_000003	Mrs. Wyndham had long since disappeared.	mrs Wyndham had long since disappeared.	true	855.36	857.715	24.636408
