6098_57836_000000_000000	PERSHING	PERSHING
6098_57836_000019_000000	"John Pershing was a clean, straight, well-behaved young fellow.	"john Pershing was a clean, straight, well behaved young fellow.
6098_57836_000019_000003	He attended strictly to his own business.	He attended strictly to his own business.
6098_57836_000019_000005	He was not a big talker.	He was not a big talker.
6098_57836_000019_000006	He said a lot in a few words, and didn't try to cut any swell. He was a hard student.	He said a lot in a few words, and didn't try to cut any swell. He was a hard student.
6098_57836_000019_000007	He was not brilliant, but firm, solid, and would hang on to the very last.	He was not brilliant, but firm, solid, and would hang on to the very last.
6098_57836_000019_000009	About nine-thirty or ten o'clock, I'd say:	About nine thirty or ten o'clock, I'd say:
6098_57836_000020_000000	"'John, how are you coming?'	"'john, how are you coming?'
6098_57836_000021_000000	"'Pretty stubborn.'	"'Pretty stubborn.'
6098_57836_000022_000000	"'Better go to bed, hadn't we?'	"'Better go to bed, hadn't we?'
6098_57836_000023_000000	"'No, Charley, I'm going to work this out.'"	"'No, Charley, I'm going to work this out.'"
6098_57836_000024_000000	Another schoolmate gives us a more human picture:	Another schoolmate gives us a more human picture:
6098_57836_000025_000001	He knew, too, where the coolest and deepest swimming pools in the Locust, Muddy, or Turkey creeks were. Many a time we went swimming together in Pratt's Pond."	He knew, too, where the coolest and deepest swimming pools in the Locust, Muddy, or Turkey creeks were. Many a time we went swimming together in Pratt's Pond."
6098_57836_000026_000000	About this time Pershing's father added to his other ventures the purchase of a farm near Laclede, and the family moved out there.	About this time Pershing's father added to his other ventures the purchase of a farm near Laclede, and the family moved out there.
6098_57836_000026_000002	The chores often began before sun-up, and lasted till after dark; and the children were lucky to find time for schooling during the late Fall and Winter months.	The chores often began before sun up, and lasted till after dark; and the children were lucky to find time for schooling during the late Fall and Winter months.
6098_57836_000026_000003	John, however, kept doggedly at it, and managed to get a fair, common-school education.	john, however, kept doggedly at it, and managed to get a fair, common school education.
6098_57836_000027_000002	John was sober and studious, and besides was so well grown for his age that they banked on his ability to "lick" any negro boy that got obstreperous.	john was sober and studious, and besides was so well grown for his age that they banked on his ability to "lick" any negro boy that got obstreperous.
6098_57836_000028_000000	He succeeded sufficiently in this venture, to cause him to take up teaching regularly, in white schools, with a view to paying for his education.	He succeeded sufficiently in this venture, to cause him to take up teaching regularly, in white schools, with a view to paying for his education.
6098_57836_000028_000001	He wanted to study law, and his parents encouraged the idea.	He wanted to study law, and his parents encouraged the idea.
6098_57836_000028_000003	A former pupil of his writes:	A former pupil of his writes:
6098_57836_000029_000000	"Though he never sought a quarrel, young Pershing was known as 'a game fighter,' who never acknowledged defeat.	"Though he never sought a quarrel, young Pershing was known as 'a game fighter,' who never acknowledged defeat.
6098_57836_000029_000001	One day, at Prairie Mound, at the noon hour a big farmer with red sideburns rode up to the schoolhouse with a revolver in his hand.	One day, at Prairie Mound, at the noon hour a big farmer with red sideburns rode up to the schoolhouse with a revolver in his hand.
6098_57836_000029_000002	Pershing had whipped one of the farmer's children, and the enraged parent intended to give the young schoolmaster a flogging.	Pershing had whipped one of the farmer's children, and the enraged parent intended to give the young schoolmaster a flogging.
6098_57836_000030_000001	We peeked over the edge, though, and heard Pershing tell the farmer to put up his gun, get down off his horse, and fight like a man.	We peeked over the edge, though, and heard Pershing tell the farmer to put up his gun, get down off his horse, and fight like a man.
6098_57836_000031_000000	"The farmer got down and John stripped off his coat.	"The farmer got down and john stripped off his coat.
6098_57836_000031_000002	And I have hated red sideburns ever since."	And I have hated red sideburns ever since."
6098_57836_000032_000001	One of his sisters went with him.	One of his sisters went with him.
6098_57836_000032_000002	He remained there for two terms, doing his usual good steady work, but was still dissatisfied.	He remained there for two terms, doing his usual good steady work, but was still dissatisfied.
6098_57836_000032_000003	He wanted to get a better education.	He wanted to get a better education.
6098_57836_000033_000001	The soldiering side did not appeal to him, but the school side did.	The soldiering side did not appeal to him, but the school side did.
6098_57836_000034_000002	If there isn't, I'll study law, but I want an education, and now I see how I can get it."	If there isn't, I'll study law, but I want an education, and now I see how I can get it."
6098_57836_000035_000001	If she could have looked ahead to his future career, and final part in the greatest war the world has ever known--one wonders what her emotions would have been!	If she could have looked ahead to his future career, and final part in the greatest war the world has ever known-one wonders what her emotions would have been!
6098_57836_000037_000001	He found the soldier life awakening in him, along with his desire for a good education.	He found the soldier life awakening in him, along with his desire for a good education.
6098_57836_000037_000002	Four happy years were spent there--and while he didn't shine, being number thirty in a class of seventy-seven, his all-around qualities made him many friends among both faculty and students.	Four happy years were spent there-and while he didn't shine, being number thirty in a class of seventy seven, his all around qualities made him many friends among both faculty and students.
6098_57836_000039_000000	"This brings up a period of West Point life whose vivid impressions will be the last to fade.	"This brings up a period of West Point life whose vivid impressions will be the last to fade.
6098_57836_000040_000000	"No one can ever forget his first guard tour with all its preparation and perspiration.	"No one can ever forget his first guard tour with all its preparation and perspiration.
6098_57836_000040_000001	I got along all right during the day, but at night on the color line my troubles began.	I got along all right during the day, but at night on the color line my troubles began.
6098_57836_000040_000002	Of course, I was scared beyond the point of properly applying any of my orders.	Of course, I was scared beyond the point of properly applying any of my orders.
6098_57836_000040_000003	A few minutes after taps, ghosts of all sorts began to appear from all directions.	A few minutes after taps, ghosts of all sorts began to appear from all directions.
6098_57836_000040_000005	When I promptly said: 'Halt, who sits there?' . . .	When I promptly said: 'Halt, who sits there?' . . .
6098_57836_000041_000001	From the very day we entered, the class as a unit has always stood for the very best traditions of West Point."	From the very day we entered, the class as a unit has always stood for the very best traditions of West Point."
