6098_57836_000000_000000	PERSHING	PERSHING	true	25.14	25.845	21.244465
6098_57836_000007_000002	His was a task of tremendous difficulties, and a single slip on his part would have brought shame upon his country, no less than upon himself.	His was a task of tremendous difficulties, and a single slip on his part would have brought shame upon his country, no less than upon himself.	true	156.53	165.37	21.476625
6098_57836_000007_000003	That he was to succeed, and to win the official thanks of Congress are now matters of history.	That he was to succeed, and to win the official thanks of Congress are now matters of history.	true	165.95	171.01	19.662687
6098_57836_000007_000004	The story of his wonderful campaign against the best that Germany could send against him is also an oft-told story. But the rise of the man himself to such commanding position is a tale not so familiar, yet none the less interesting.	The story of his wonderful campaign against the best that Germany could send against him is also an oft told story. But the rise of the man himself to such commanding position is a tale not so familiar, yet none the less interesting.	true	171.26	185.38	19.567215
6098_57836_000008_000000	The great-grandfather of General Pershing was an emigrant from Alsace--fleeing as a boy from the military service of the Teutons.	The great grandfather of General Pershing was an emigrant from Alsace-fleeing as a boy from the military service of the Teutons.	true	186.41	194.59	19.784903
6098_57836_000008_000001	He worked his way across to Baltimore, and not long thereafter volunteered to fight in the American Revolution.	He worked his way across to Baltimore, and not long thereafter volunteered to fight in the American Revolution.	false	195.2	201.7	22.18725
6098_57836_000008_000002	His was the spirit of freedom. He fled to escape a service that was hateful, because it represented tyranny; but was glad to serve in the cause of liberty.	His was the spirit of freedom. He fled to escape a service that was hateful, because it represented tyranny; but was glad to serve in the cause of liberty.	false	201.95	211.06	20.73374
6098_57836_000009_000000	The original family name was Pfirsching, but was soon shortened to its present form.	The original family name was Pfirsching, but was soon shortened to its present form.	true	211.76	218.32	21.59552
6098_57836_000009_000001	The Pershings got land grants in Pennsylvania, and began to prosper.	The Pershings got land grants in Pennsylvania, and began to prosper.	true	218.51	222.91	19.561926
6098_57836_000009_000002	As the clan multiplied the sons and grandsons began to scatter.	As the clan multiplied the sons and grandsons began to scatter.	true	223.37	227.11	21.681585
6098_57836_000009_000003	They had the pioneer spirit of their ancestors.	They had the pioneer spirit of their ancestors.	true	227.51	230.26	21.489258
6098_57836_000010_000000	At length, John F. Pershing, a grandson of Daniel, the first immigrant, went to the Middle West, to work on building railroads.	At length, john f Pershing, a grandson of Daniel, the first immigrant, went to the Middle West, to work on building railroads.	true	230.93	238.72	20.529356
6098_57836_000010_000001	These were the days, just before the Civil War, when railroads were being thrown forward everywhere.	These were the days, just before the Civil War, when railroads were being thrown forward everywhere.	true	239.18	244.84	20.783558
6098_57836_000010_000002	Young Pershing had early caught the fever, and had worked with construction gangs in Kentucky and Tennessee.	Young Pershing had early caught the fever, and had worked with construction gangs in Kentucky and Tennessee.	true	245.33	251.29	20.315525
6098_57836_000010_000003	Now as the railroads pushed still further West, he went with them as section foreman--after first persuading an attractive Nashville girl, Ann Thompson, to go with him as his wife.	Now as the railroads pushed still further West, he went with them as section foreman-after first persuading an attractive Nashville girl, Ann Thompson, to go with him as his wife.	true	251.78	262.87	20.561913
6098_57836_000011_000000	Their honeymoon was spent among the hardships of a construction camp in Missouri; and here at Laclede, in a very primitive house, John Joseph Pershing was born, September 13, 1860.	Their honeymoon was spent among the hardships of a construction camp in Missouri; and here at Laclede, in a very primitive house, john Joseph Pershing was born, september thirteenth eighteen sixty.	false	263.39	276.25	21.006084
6098_57836_000012_000000	The boy inherited a sturdy frame and a love of freedom from both sides of the family.	The boy inherited a sturdy frame and a love of freedom from both sides of the family.	false	277.4	281.83	19.187748
6098_57836_000012_000001	His mother had come of a race quite as good as that of his father.	His mother had come of a race quite as good as that of his father.	true	282.5	285.73	21.438622
6098_57836_000012_000002	They were honest, law-abiding, God-fearing people, who saw to it that John and the other eight children who followed were reared soberly and strictly.	They were honest, law abiding, God fearing people, who saw to it that john and the other eight children who followed were reared soberly and strictly.	false	285.89	294.52	21.282911
6098_57836_000012_000003	The Bible lay on the center table and the willow switch hung conveniently behind the door.	The Bible lay on the center table and the willow switch hung conveniently behind the door.	true	295.64	300.34	19.950459
6098_57836_000013_000000	After the line of railroad was completed upon which the father had worked, he came to Laclede and invested his savings in a small general store.	After the line of railroad was completed upon which the father had worked, he came to Laclede and invested his savings in a small general store.	true	301.19	310.18	21.188524
6098_57836_000013_000001	It proved a profitable venture.	It proved a profitable venture.	false	310.34	312.31	20.689465
6098_57836_000013_000002	It was the only one in town, and Pershing's reputation for square-dealing brought him many customers.	It was the only one in town, and Pershing's reputation for square dealing brought him many customers.	true	312.5	318.19	19.787767
6098_57836_000013_000003	A neighbor pays him this tribute:	A neighbor pays him this tribute:	true	318.44	320.5	20.283035
6098_57836_000014_000000	"John F. Pershing was a man of commanding presence.	"john f Pershing was a man of commanding presence.	true	321.26	324.43	20.820833
6098_57836_000014_000001	He was a great family man and loved his family devotedly.	He was a great family man and loved his family devotedly.	true	324.74	328.18	19.787054
6098_57836_000014_000002	He was not lax, and ruled his family well.	He was not lax, and ruled his family well.	false	328.43	331.21	20.265116
6098_57836_000015_000000	"The Pershing family were zealous church people.	"The Pershing family were zealous church people.	true	331.94	334.54	20.398184
6098_57836_000015_000001	John F. Pershing was the Sunday School superintendent of the Methodist Church all the years he lived here.	john f Pershing was the Sunday School superintendent of the Methodist Church all the years he lived here.	true	334.79	340.33	21.030933
6098_57836_000015_000002	Every Sunday you could see him making his way to church with John on one side and Jim on the other, Mrs. Pershing and the girls following along."	Every Sunday you could see him making his way to church with john on one side and Jim on the other, mrs Pershing and the girls following along."	false	341.12	349.06	19.2225
6098_57836_000016_000000	John F. Pershing was a strong Union man, and although local feeling ran high between the North and the South, he retained the esteem of his neighbors.	john f Pershing was a strong Union man, and although local feeling ran high between the North and the South, he retained the esteem of his neighbors.	true	350.15	358.63	18.74275
6098_57836_000016_000001	He had one or two close calls from the "bushwhackers," as roving rangers were called, but his family escaped harm.	He had one or two close calls from the "bushwhackers," as roving rangers were called, but his family escaped harm.	true	358.91	365.44	20.987179
6098_57836_000017_000000	At times during the War, he was entrusted with funds by various other families, and acted as a sort of local bank.	At times during the War, he was entrusted with funds by various other families, and acted as a sort of local bank.	true	365.99	372.85	21.265362
6098_57836_000017_000001	After the War he was postmaster.	After the War he was postmaster.	true	373.13	375.25	21.666899
6098_57836_000018_000000	The close of the War found the younger John a stocky boy of five.	The close of the War found the younger john a stocky boy of five.	true	375.98	379.75	20.235048
6098_57836_000018_000001	He began to attend the village school and take an active part in the boyish sports of a small town.	He began to attend the village school and take an active part in the boyish sports of a small town.	false	380.03	385.87	22.379232
6098_57836_000018_000002	There was always plenty to do, whether of work or play.	There was always plenty to do, whether of work or play.	true	386.6	389.8	21.221075
6098_57836_000018_000003	One of his boyhood chums writes:	One of his boyhood chums writes:	true	390.05	392.08	21.93416
6098_57836_000019_000000	"John Pershing was a clean, straight, well-behaved young fellow.	"john Pershing was a clean, straight, well behaved young fellow.	true	392.45	396.55	22.136675
6098_57836_000019_000001	He never was permitted to loaf around on the streets.	He never was permitted to loaf around on the streets.	false	396.77	399.49	20.06999
6098_57836_000019_000002	Nobody jumped on him, and he didn't jump on anybody.	Nobody jumped on him, and he didn't jump on anybody.	true	399.83	402.94	19.808977
6098_57836_000019_000003	He attended strictly to his own business.	He attended strictly to his own business.	true	403.16	405.52	20.467981
6098_57836_000019_000004	He had his lessons when he went to class.	He had his lessons when he went to class.	true	406.76	409.09	19.103865
6098_57836_000019_000005	He was not a big talker.	He was not a big talker.	true	409.76	411.31	21.600988
6098_57836_000019_000006	He said a lot in a few words, and didn't try to cut any swell. He was a hard student.	He said a lot in a few words, and didn't try to cut any swell. He was a hard student.	true	411.41	417.04	21.042255
6098_57836_000019_000007	He was not brilliant, but firm, solid, and would hang on to the very last.	He was not brilliant, but firm, solid, and would hang on to the very last.	true	417.08	421.72	20.905325
6098_57836_000019_000008	We used to study our lessons together evenings.	We used to study our lessons together evenings.	true	422.24	424.84	18.556711
6098_57836_000019_000009	About nine-thirty or ten o'clock, I'd say:	About nine thirty or ten o'clock, I'd say:	true	425	427.54	23.151346
6098_57836_000020_000000	"'John, how are you coming?'	"'john, how are you coming?'	true	428.09	429.55	22.655209
6098_57836_000021_000000	"'Pretty stubborn.'	"'Pretty stubborn.'	true	430.07	431.38	20.990759
6098_57836_000022_000000	"'Better go to bed, hadn't we?'	"'Better go to bed, hadn't we?'	true	431.9	433.48	20.65725
6098_57836_000023_000000	"'No, Charley, I'm going to work this out.'"	"'No, Charley, I'm going to work this out.'"	true	433.94	436.27	22.731852
6098_57836_000024_000000	Another schoolmate gives us a more human picture:	Another schoolmate gives us a more human picture:	true	437.75	440.35	21.492468
6098_57836_000025_000000	"As a boy, Pershing was not unlike thousands of other boys of his age, enjoying the same pleasures and games as his other boyhood companions. He knew the best places to shoot squirrels or quail, and knew where to find the hazel or hickory nuts.	"As a boy, Pershing was not unlike thousands of other boys of his age, enjoying the same pleasures and games as his other boyhood companions. He knew the best places to shoot squirrels or quail, and knew where to find the hazel or hickory nuts.	false	441.26	454.78	20.454586
6098_57836_000025_000001	He knew, too, where the coolest and deepest swimming pools in the Locust, Muddy, or Turkey creeks were. Many a time we went swimming together in Pratt's Pond."	He knew, too, where the coolest and deepest swimming pools in the Locust, Muddy, or Turkey creeks were. Many a time we went swimming together in Pratt's Pond."	true	455.06	464.11	20.562475
6098_57836_000026_000000	About this time Pershing's father added to his other ventures the purchase of a farm near Laclede, and the family moved out there.	About this time Pershing's father added to his other ventures the purchase of a farm near Laclede, and the family moved out there.	true	465.26	472.45	21.149334
6098_57836_000026_000001	Then there was indeed plenty of work to do.	Then there was indeed plenty of work to do.	true	472.94	475.48	17.068707
6098_57836_000026_000002	The chores often began before sun-up, and lasted till after dark; and the children were lucky to find time for schooling during the late Fall and Winter months.	The chores often began before sun up, and lasted till after dark; and the children were lucky to find time for schooling during the late Fall and Winter months.	true	475.91	484.48	20.135712
6098_57836_000026_000003	John, however, kept doggedly at it, and managed to get a fair, common-school education.	john, however, kept doggedly at it, and managed to get a fair, common school education.	true	484.94	490.93	21.4185
6098_57836_000027_000000	When he was barely in his 'teens, his first set task was given him--to teach in a negro school.	When he was barely in his 'teens, his first set task was given him-to teach in a negro school.	false	491.78	497.65	21.978537
6098_57836_000027_000001	This school had been established after the War ended, but the teacher had gone, and no one else seemed available for the job.	This school had been established after the War ended, but the teacher had gone, and no one else seemed available for the job.	true	498.08	504.22	19.34691
6098_57836_000027_000002	John was sober and studious, and besides was so well grown for his age that they banked on his ability to "lick" any negro boy that got obstreperous.	john was sober and studious, and besides was so well grown for his age that they banked on his ability to "lick" any negro boy that got obstreperous.	true	504.68	514.39	21.385298
6098_57836_000028_000000	He succeeded sufficiently in this venture, to cause him to take up teaching regularly, in white schools, with a view to paying for his education.	He succeeded sufficiently in this venture, to cause him to take up teaching regularly, in white schools, with a view to paying for his education.	true	515.3	523	20.27518
6098_57836_000028_000001	He wanted to study law, and his parents encouraged the idea.	He wanted to study law, and his parents encouraged the idea.	true	523.04	526.75	20.148804
6098_57836_000028_000002	His work in these country schools was invaluable to him in teaching him how to govern others.	His work in these country schools was invaluable to him in teaching him how to govern others.	false	526.91	532.24	20.127737
6098_57836_000028_000003	A former pupil of his writes:	A former pupil of his writes:	true	532.61	534.49	22.804796
6098_57836_000029_000000	"Though he never sought a quarrel, young Pershing was known as 'a game fighter,' who never acknowledged defeat.	"Though he never sought a quarrel, young Pershing was known as 'a game fighter,' who never acknowledged defeat.	true	535.13	540.91	20.779509
6098_57836_000029_000001	One day, at Prairie Mound, at the noon hour a big farmer with red sideburns rode up to the schoolhouse with a revolver in his hand.	One day, at Prairie Mound, at the noon hour a big farmer with red sideburns rode up to the schoolhouse with a revolver in his hand.	true	541.1	548.32	21.10711
6098_57836_000029_000002	Pershing had whipped one of the farmer's children, and the enraged parent intended to give the young schoolmaster a flogging.	Pershing had whipped one of the farmer's children, and the enraged parent intended to give the young schoolmaster a flogging.	true	548.72	554.74	20.515615
6098_57836_000030_000000	"I remember how he rode up cursing before all the children in the schoolyard, and how another boy and I ran down a gully because we were afraid.	"I remember how he rode up cursing before all the children in the schoolyard, and how another boy and I ran down a gully because we were afraid.	true	555.2	562.39	18.479042
6098_57836_000030_000001	We peeked over the edge, though, and heard Pershing tell the farmer to put up his gun, get down off his horse, and fight like a man.	We peeked over the edge, though, and heard Pershing tell the farmer to put up his gun, get down off his horse, and fight like a man.	true	562.49	568.84	21.119778
6098_57836_000031_000000	"The farmer got down and John stripped off his coat.	"The farmer got down and john stripped off his coat.	true	569.6	572.205	22.19396
6098_57836_000031_000001	He was only a boy of seventeen or eighteen and slender, but he thrashed the old farmer soundly.	He was only a boy of seventeen or eighteen and slender, but he thrashed the old farmer soundly.	true	572.205	577.27	19.432142
6098_57836_000031_000002	And I have hated red sideburns ever since."	And I have hated red sideburns ever since."	true	577.7	580.42	20.517128
6098_57836_000032_000000	After several terms of country school teaching, young Pershing saved up enough money to enter the State Normal School, at Kirksville, Mo.	After several terms of country school teaching, young Pershing saved up enough money to enter the State Normal School, at Kirksville, Mo.	false	582.29	590.37	20.943098
6098_57836_000032_000001	One of his sisters went with him.	One of his sisters went with him.	true	590.37	592.18	20.238552
6098_57836_000032_000002	He remained there for two terms, doing his usual good steady work, but was still dissatisfied.	He remained there for two terms, doing his usual good steady work, but was still dissatisfied.	true	592.22	597.81	20.552126
6098_57836_000032_000003	He wanted to get a better education.	He wanted to get a better education.	true	597.81	599.98	20.413181
6098_57836_000033_000000	About this time he happened to notice an announcement of a competitive examination in his district for an entrance to West Point.	About this time he happened to notice an announcement of a competitive examination in his district for an entrance to West Point.	false	600.26	606.82	18.93663
6098_57836_000033_000001	The soldiering side did not appeal to him, but the school side did.	The soldiering side did not appeal to him, but the school side did.	true	607.1	612.16	21.288124
6098_57836_000034_000000	"I wouldn't stay in the army," he remarked to a friend.	"I wouldn't stay in the army," he remarked to a friend.	true	612.77	615.49	18.689083
6098_57836_000034_000001	"There won't be a gun fired in the world for a hundred years, I guess.	"There won't be a gun fired in the world for a hundred years, I guess.	true	615.86	619.06	18.624382
6098_57836_000034_000002	If there isn't, I'll study law, but I want an education, and now I see how I can get it."	If there isn't, I'll study law, but I want an education, and now I see how I can get it."	true	619.1	624.43	20.286142
6098_57836_000035_000000	His mother was by no means "sold" on the idea of his becoming a soldier either, and it was only when he assured her that there wouldn't be a gun fired in a hundred years, that she finally consented.	His mother was by no means "sold" on the idea of his becoming a soldier either, and it was only when he assured her that there wouldn't be a gun fired in a hundred years, that she finally consented.	true	625.25	635.71	19.434542
6098_57836_000035_000001	If she could have looked ahead to his future career, and final part in the greatest war the world has ever known--one wonders what her emotions would have been!	If she could have looked ahead to his future career, and final part in the greatest war the world has ever known-one wonders what her emotions would have been!	true	636.14	644.41	20.551876
6098_57836_000036_000000	Pershing passed his entrance examination by a narrow margin, and then entered a training school at Highland Falls, N. Y., for tutoring in certain deficient branches.	Pershing passed his entrance examination by a narrow margin, and then entered a training school at Highland Falls, n y, for tutoring in certain deficient branches.	false	645.68	654.61	18
6098_57836_000036_000001	At last in June, 1882, when he was just rounding his twenty-second year, he became a freshman in the great Academy on the Hudson.	At last in June, eighteen eighty two, when he was just rounding his twenty second year, he became a freshman in the great Academy on the Hudson.	false	655.4	664.44	19.880795
6098_57836_000037_000000	The young plebe from the West speedily fell in love with the institution and all that it represented.	The young plebe from the West speedily fell in love with the institution and all that it represented.	true	664.44	669.76	19.767904
6098_57836_000037_000001	He found the soldier life awakening in him, along with his desire for a good education.	He found the soldier life awakening in him, along with his desire for a good education.	true	669.95	674.92	20.258047
6098_57836_000037_000002	Four happy years were spent there--and while he didn't shine, being number thirty in a class of seventy-seven, his all-around qualities made him many friends among both faculty and students.	Four happy years were spent there-and while he didn't shine, being number thirty in a class of seventy seven, his all around qualities made him many friends among both faculty and students.	true	675.65	687.7	20.948614
6098_57836_000037_000003	He was made ranking cadet captain in his senior year, and chosen class president.	He was made ranking cadet captain in his senior year, and chosen class president.	false	688.16	693.01	20.915094
6098_57836_000038_000000	Twenty-five years later, writing from clear around the world, at Manila, to his class, at a reunion, he gives a long, breezy account of his experience there, from which we have space to quote only a few sentences:	Twenty five years later, writing from clear around the world, at Manila, to his class, at a reunion, he gives a long, breezy account of his experience there, from which we have space to quote only a few sentences:	false	693.59	705.25	20.059387
6098_57836_000039_000000	"This brings up a period of West Point life whose vivid impressions will be the last to fade.	"This brings up a period of West Point life whose vivid impressions will be the last to fade.	true	706.4	711.43	21.57832
6098_57836_000039_000001	Marching into camp, piling bedding, policing company streets for logs or wood carelessly dropped by upper classmen, pillow fights at tattoo with Marcus Miller, sabre drawn, marching up and down superintending the plebe class, policing up feathers from the general parade; light artillery drills, double-timing around old Fort Clinton at morning squad drill; Wiley Bean and the sad fate of his seersucker coat; midnight dragging, and the whole summer full of events can only be mentioned in passing.	Marching into camp, piling bedding, policing company streets for logs or wood carelessly dropped by upper classmen, pillow fights at tattoo with Marcus Miller, sabre drawn, marching up and down superintending the plebe class, policing up feathers from the general parade; light artillery drills, double timing around old Fort Clinton at morning squad drill; Wiley Bean and the sad fate of his seersucker coat; midnight dragging, and the whole summer full of events can only be mentioned in passing.	false	712.07	742.84	20.114546
6098_57836_000040_000000	"No one can ever forget his first guard tour with all its preparation and perspiration.	"No one can ever forget his first guard tour with all its preparation and perspiration.	true	744.23	749.11	21.84662
6098_57836_000040_000001	I got along all right during the day, but at night on the color line my troubles began.	I got along all right during the day, but at night on the color line my troubles began.	true	749.51	754.57	20.783285
6098_57836_000040_000002	Of course, I was scared beyond the point of properly applying any of my orders.	Of course, I was scared beyond the point of properly applying any of my orders.	true	754.88	759.04	20.713758
6098_57836_000040_000003	A few minutes after taps, ghosts of all sorts began to appear from all directions.	A few minutes after taps, ghosts of all sorts began to appear from all directions.	true	759.47	764.62	21.859774
6098_57836_000040_000004	I selected a particularly bold one and challenged according to orders: 'Halt, who comes there?' At that the ghost stood still in its tracks. I then said: 'Halt, who stands there?' Whereupon the ghost, who was carrying a chair, sat down.	I selected a particularly bold one and challenged according to orders: 'Halt, who comes there?' At that the ghost stood still in its tracks. I then said: 'Halt, who stands there?' Whereupon the ghost, who was carrying a chair, sat down.	false	764.87	780.31	22.290167
6098_57836_000040_000005	When I promptly said: 'Halt, who sits there?' . . .	When I promptly said: 'Halt, who sits there?' . . .	true	781.07	784.21	22.642298
6098_57836_000041_000000	"The career of '86 at West Point was in many respects remarkable. There were no cliques, no dissensions, and personal prejudices or selfishness, if any existed, never came to the surface.	"The career of 'eighty six at West Point was in many respects remarkable. There were no cliques, no dissensions, and personal prejudices or selfishness, if any existed, never came to the surface.	false	786.23	798.01	19.648872
6098_57836_000041_000001	From the very day we entered, the class as a unit has always stood for the very best traditions of West Point."	From the very day we entered, the class as a unit has always stood for the very best traditions of West Point."	true	798.38	804.69	20.523651
6098_57836_000042_000000	While Pershing was still in West Point, the Indian chief Geronimo was making trouble in the Southwest.	While Pershing was still in West Point, the Indian chief Geronimo was making trouble in the Southwest.	false	804.69	805.92	-20
6098_57836_000042_000001	For several years he led a band of outlaw braves, who terrorized the Southern border.	For several years he led a band of outlaw braves, who terrorized the Southern border.	false	805.92	807.75	22.145664
6098_57836_000042_000002	General Crook was sent in pursuit of him, and afterwards General Miles took up the chase. Finally in August, 1886, the chief and his followers were rounded up.	General Crook was sent in pursuit of him, and afterwards General Miles took up the chase. Finally in August, eighteen eighty six, the chief and his followers were rounded up.	false	807.75	812.64	18.619482
