5054_18527_000000_000000	XXVI	twenty six	false	2.4	24.96	18.492542
5054_18527_000019_000000	"Yes, and the Bois de Boulogne to drive in, that's elegant.	"Yes, and the Bois de Boulogne to drive in, that's elegant.	true	212.27	216.28	20.850426
5054_18527_000019_000001	Only Mademoiselle won't take us there very often.	Only Mademoiselle won't take us there very often.	true	216.44	219.16	17
5054_18527_000019_000002	I wish I was rich, and I'd have a span of long-tailed, grey horses, and drive up and down there every day."	I wish I was rich, and I'd have a span of long tailed, grey horses, and drive up and down there every day."	false	219.44	226.48	20.26716
5054_18527_000020_000000	Polly laughed.	Polly laughed.	true	226.82	228.04	19.446177
5054_18527_000020_000001	"Well, I should like the tram-ways and the stages," said Polly.	"Well, I should like the tram ways and the stages," said Polly.	false	228.14	232.18	21.825941
5054_18527_000021_000000	"Oh, those don't go into the Bois de Boulogne," cried Adela, in a tone of horror.	"Oh, those don't go into the Bois de Boulogne," cried Adela, in a tone of horror.	true	232.97	238.39	22.833673
5054_18527_000021_000001	"Why, Polly Pepper, what are you thinking of?" she exclaimed.	"Why, Polly Pepper, what are you thinking of?" she exclaimed.	true	238.64	242.71	18.743876
5054_18527_000022_000000	This nettled Tom.	This nettled Tom.	true	243.08	244.57	21.312899
5054_18527_000022_000001	"Of something besides clothes and bonnets," he broke out.	"Of something besides clothes and bonnets," he broke out.	true	245	248.56	21.217468
5054_18527_000022_000002	Then he was sorry he had spoken.	Then he was sorry he had spoken.	true	249.05	251.14	18
5054_18527_000023_000000	"Well, there's the Louvre," said Polly, after an uncomfortable little pause.	"Well, there's the Louvre," said Polly, after an uncomfortable little pause.	true	251.84	257.29	22.213642
5054_18527_000024_000000	"Yes," said Adela, "that's best of all, and it doesn't cost anything; so Mademoiselle takes us there very often."	"Yes," said Adela, "that's best of all, and it doesn't cost anything; so Mademoiselle takes us there very often."	true	257.48	264.64	22.70375
5054_18527_000025_000000	"I should think it would be," cried Polly, beaming at her, and answering the first part of Adela's sentence.	"I should think it would be," cried Polly, beaming at her, and answering the first part of Adela's sentence.	true	265.25	271.6	23.388897
5054_18527_000025_000001	"Oh, Adela, I do so long to see it."	"Oh, Adela, I do so long to see it."	true	271.91	275.11	20.53571
5054_18527_000026_000000	"And you can't go there too often, Polly," said Jasper.	"And you can't go there too often, Polly," said Jasper.	true	275.54	279.07	21.31334
5054_18527_000027_000000	"It's the only decent thing in Paris," said Tom, "that I like, I mean; that, and to sail up and down on the Seine."	"It's the only decent thing in Paris," said Tom, "that I like, I mean; that, and to sail up and down on the Seine."	false	279.65	288.72	20.647482
5054_18527_000028_000000	"We'll go there the first day, Polly," said Jasper, "the Louvre, I mean.	"We'll go there the first day, Polly," said Jasper, "the Louvre, I mean.	true	288.72	293.38	20.921764
5054_18527_000028_000001	Well, here we are in Paris!" And then it was all confusion, for the guards were throwing open the doors to the compartments, and streams of people were meeting on the platform, in what seemed to be inextricable confusion amid a babel of sounds.	Well, here we are in Paris!" And then it was all confusion, for the guards were throwing open the doors to the compartments, and streams of people were meeting on the platform, in what seemed to be inextricable confusion amid a babel of sounds.	true	293.78	309.91	20.586388
5054_18527_000028_000002	And it wasn't until Polly was driving up in the big cab with her part of Mr. King's "family," as he called it, through the broad avenues and boulevards, interspersed with occasional squares and gardens, and the beautiful bridges here and there across the Seine, gleaming in the sunshine, that she could realise that they were actually in Paris.	And it wasn't until Polly was driving up in the big cab with her part of mr King's "family," as he called it, through the broad avenues and boulevards, interspersed with occasional squares and gardens, and the beautiful bridges here and there across the Seine, gleaming in the sunshine, that she could realise that they were actually in Paris.	true	309.95	331.6	20.378506
5054_18527_000029_000000	And the next day they did go to the Louvre.	And the next day they did go to the Louvre.	true	332.18	334.99	23.94048
5054_18527_000029_000001	And Adela, who was to stay a day or two at the hotel with them before going back into her school, was very important, indeed.	And Adela, who was to stay a day or two at the hotel with them before going back into her school, was very important, indeed.	true	335.24	342.64	21.932043
5054_18527_000029_000002	And she piloted them about, the parson and Mrs. Henderson joining their group; the others, with the exception of the little Widow Gray, who stayed at home to look over Adela's clothes, and take any last stitches, going off by themselves.	And she piloted them about, the parson and mrs Henderson joining their group; the others, with the exception of the little Widow Gray, who stayed at home to look over Adela's clothes, and take any last stitches, going off by themselves.	true	342.95	357.61	19.405224
5054_18527_000030_000000	"I do want to see the Venus de Milo," said Polly, quite gone with impatience.	"I do want to see the Venus de Milo," said Polly, quite gone with impatience.	true	358.73	363.76	20.425442
5054_18527_000030_000001	"Oh, Adela, these paintings will wait."	"Oh, Adela, these paintings will wait."	false	364.07	366.73	22.783161
5054_18527_000031_000000	"Well, that old statue will wait, too," cried Adela, pulling her off into another gallery.	"Well, that old statue will wait, too," cried Adela, pulling her off into another gallery.	true	367.01	372.82	22.899096
5054_18527_000031_000001	"Now, Polly, Mademoiselle says, in point of art, the pictures in here are quite important."	"Now, Polly, Mademoiselle says, in point of art, the pictures in here are quite important."	true	373.1	378.85	20
5054_18527_000032_000000	"Are they?" said poor Polly, listlessly.	"Are they?" said poor Polly, listlessly.	true	379.34	382.33	20.148203
5054_18527_000033_000000	"Yes, they are," said Adela, twitching her sleeve, "and Mademoiselle brings us in this room every single time we come to the Louvre."	"Yes, they are," said Adela, twitching her sleeve, "and Mademoiselle brings us in this room every single time we come to the Louvre."	true	382.43	390.58	22.37811
5054_18527_000034_000000	"It's the early French school, you know," she brought up glibly.	"It's the early French school, you know," she brought up glibly.	true	390.62	394.03	20.770039
5054_18527_000035_000000	"Well, it's too early for us to take it in," said Tom.	"Well, it's too early for us to take it in," said Tom.	false	394.61	399.33	24.65739
5054_18527_000035_000001	"Come, I'm for the Venus de Milo.	"Come, I'm for the Venus de Milo.	true	399.33	401.68	21.468525
5054_18527_000035_000002	It's this way;" and Adela was forced to follow, which she did in a discontented fashion.	It's this way;" and Adela was forced to follow, which she did in a discontented fashion.	true	401.69	407.59	19.365665
5054_18527_000036_000000	"Oh!" cried Polly, catching her breath, and standing quite still as she caught sight of the wonderful marble, instinct with life, at the end of the long corridor below stairs.	"Oh!" cried Polly, catching her breath, and standing quite still as she caught sight of the wonderful marble, instinct with life, at the end of the long corridor below stairs.	true	408.05	419.2	18.75003
5054_18527_000036_000001	"Why, she's smiling at us," as the afternoon sunshine streamed across the lovely face, to lose itself in the folds of the crimson curtain in the background.	"Why, she's smiling at us," as the afternoon sunshine streamed across the lovely face, to lose itself in the folds of the crimson curtain in the background.	true	419.57	429.52	21.639137
5054_18527_000037_000000	The parson folded his arms and drew in long breaths of delight.	The parson folded his arms and drew in long breaths of delight.	true	430.55	434.62	20.468746
5054_18527_000037_000001	"It's worth fifty journeys over the ocean to once see that, Sarah," he said.	"It's worth fifty journeys over the ocean to once see that, Sarah," he said.	true	435.08	439.78	17.602755
5054_18527_000038_000000	"Do come back and look at the pictures," begged Adela, pulling Polly's arm again after a minute or two.	"Do come back and look at the pictures," begged Adela, pulling Polly's arm again after a minute or two.	true	440.6	446.89	18.455288
5054_18527_000039_000000	"Oh, don't!" exclaimed Polly, under her breath.	"Oh, don't!" exclaimed Polly, under her breath.	true	447.47	451.36	17.793583
5054_18527_000039_000001	"Oh, she's _so_ beautiful, Adela!"	"Oh, she's underscore so underscore beautiful, Adela!"	false	451.91	455.17	21.658667
5054_18527_000040_000000	"Well, it's much better to see the pictures," said Adela.	"Well, it's much better to see the pictures," said Adela.	true	455.6	459.4	20.050146
5054_18527_000040_000001	"And then we can come here again to-morrow."	"And then we can come here again to morrow."	true	459.56	461.86	21
5054_18527_000041_000000	"Oh, I haven't seen this half enough," began Polly, "and I've wanted to for so long." Then she glanced at Adela's face.	"Oh, I haven't seen this half enough," began Polly, "and I've wanted to for so long." Then she glanced at Adela's face.	true	462.29	471.31	19.236532
5054_18527_000041_000001	"Well, all right," she said, and turned off, to come directly into the path of Grandpapa, with Phronsie clinging to his hand, and the rest of his part of the "family" standing in silent admiration.	"Well, all right," she said, and turned off, to come directly into the path of Grandpapa, with Phronsie clinging to his hand, and the rest of his part of the "family" standing in silent admiration.	true	472.01	485.86	20.842134
5054_18527_000042_000000	"We thought we'd come here first," said old Mr. King.	"We thought we'd come here first," said old mr King.	true	486.53	489.79	20.87919
5054_18527_000042_000001	"I don't mean to see anything else to-day.	"I don't mean to see anything else to day.	true	490.25	492.52	20
5054_18527_000042_000002	The Venus de Milo is quite enough for me. To-morrow, now, we'll drop in again, and look at some of the pictures."	The Venus de Milo is quite enough for me. To morrow, now, we'll drop in again, and look at some of the pictures."	true	492.83	500.38	21.19887
5054_18527_000043_000000	"There is beauty enough in that statue," said a lady, who just passed them, to the gentleman with her, "to satisfy any one; but living beauty after all is most appealing.	"There is beauty enough in that statue," said a lady, who just passed them, to the gentleman with her, "to satisfy any one; but living beauty after all is most appealing.	true	501.71	513.91	19.965706
5054_18527_000043_000001	Just look at that child's face, Edward."	Just look at that child's face, Edward."	true	514.43	516.73	20
5054_18527_000044_000000	They were guilty of standing in a niche at a little remove, and studying Phronsie with keen, critical eyes.	They were guilty of standing in a niche at a little remove, and studying Phronsie with keen, critical eyes.	true	517.7	525.16	19.476334
5054_18527_000045_000000	"It's a wonderful type of beauty," said Edward; "yellow hair and brown eyes,--and such features."	"It's a wonderful type of beauty," said Edward; "yellow hair and brown eyes,--and such features."	false	526.07	533.08	17.475033
5054_18527_000046_000000	"I don't care about the features," said the lady, "it's the expression; the child hasn't a thought of herself, and that's wonderful to begin with."	"I don't care about the features," said the lady, "it's the expression; the child hasn't a thought of herself, and that's wonderful to begin with."	true	533.84	543.01	20.357851
5054_18527_000047_000000	"That's about it," replied Edward, "and I suppose that's largely where the beauty lies, Evelyn."	"That's about it," replied Edward, "and I suppose that's largely where the beauty lies, Evelyn."	true	543.92	550.03	19.265448
5054_18527_000048_000000	"Let us walk slowly down the corridor again," said Evelyn, "and then come up; otherwise we shall attract attention to be standing here and gazing at them."	"Let us walk slowly down the corridor again," said Evelyn, "and then come up; otherwise we shall attract attention to be standing here and gazing at them."	true	550.88	561.1	20.801249
5054_18527_000049_000000	"And I'd like to see that little beauty again," remarked Edward, "I'll confess, Evelyn."	"And I'd like to see that little beauty again," remarked Edward, "I'll confess, Evelyn."	true	561.74	567.07	20.41411
5054_18527_000050_000000	So Evelyn and Edward continued to gaze at intervals at the living beauty, and Mr. King and his party were absorbed in the marble beauty; and Adela was running over in her mind how she meant to have Polly Pepper all to herself at the visit to the Louvre the next afternoon, when she would show her the pictures she specially liked.	So Evelyn and Edward continued to gaze at intervals at the living beauty, and mr King and his party were absorbed in the marble beauty; and Adela was running over in her mind how she meant to have Polly Pepper all to herself at the visit to the Louvre the next afternoon, when she would show her the pictures she specially liked.	false	568.34	587.68	19
5054_18527_000051_000000	But they didn't any of them go to the Louvre that next day, as it happened.	But they didn't any of them go to the Louvre that next day, as it happened.	true	588.38	592.39	19.649137
5054_18527_000051_000001	It was so beautifully bright and sunshiny, that Grandpapa said it would be wicked to pass the day indoors; so they had all the morning in a walk, and a sail on the Seine,--and that pleased Tom,--and all the afternoon, or nearly all, sitting up in state in carriages, driving up and down the Bois de Boulogne.	It was so beautifully bright and sunshiny, that Grandpapa said it would be wicked to pass the day indoors; so they had all the morning in a walk, and a sail on the Seine,--and that pleased Tom,--and all the afternoon, or nearly all, sitting up in state in carriages, driving up and down the Bois de Boulogne.	false	592.88	613.39	20.025517
5054_18527_000051_000002	And _that_ pleased Adela.	And underscore that underscore pleased Adela.	false	613.79	615.52	22.075684
5054_18527_000052_000000	And when they tired of driving, old Mr. King gave orders for the drivers to rest their horses.	And when they tired of driving, old mr King gave orders for the drivers to rest their horses.	true	616.13	621.55	20.265646
5054_18527_000052_000001	And then they all got out of the carriages, and walked about among the beautiful trees, and on the winding, sheltered paths.	And then they all got out of the carriages, and walked about among the beautiful trees, and on the winding, sheltered paths.	true	621.98	630.13	22.723366
5054_18527_000053_000000	"It's perfectly lovely off there," said Polly, "and almost like the country," with a longing glance off into the green, cool shade beyond. So they strolled off there, separating into little groups; Polly and Jasper in front, and wishing for nothing so much as a race.	"It's perfectly lovely off there," said Polly, "and almost like the country," with a longing glance off into the green, cool shade beyond. So they strolled off there, separating into little groups; Polly and Jasper in front, and wishing for nothing so much as a race.	true	631.04	649.42	21.030382
5054_18527_000054_000000	"I should think we might try it," said Jasper; "there is no one near to see.	"I should think we might try it," said Jasper; "there is no one near to see.	true	649.79	654.25	19.919706
5054_18527_000054_000001	Come on, Polly, do."	Come on, Polly, do."	true	654.53	656.02	19.500065
5054_18527_000055_000000	"I suppose we ought not to," said Polly, with a sigh, as Adela overtook them.	"I suppose we ought not to," said Polly, with a sigh, as Adela overtook them.	true	656.66	662.08	19.076107
5054_18527_000056_000000	"Ought not to what?" she asked eagerly.	"Ought not to what?" she asked eagerly.	false	662.6	665.79	23.377968
5054_18527_000057_000000	"Jasper and I were wanting to run a race," said Polly.	"Jasper and I were wanting to run a race," said Polly.	false	665.79	669.57	18.481167
5054_18527_000058_000000	"Why, Polly Pepper!	"Why, Polly Pepper!	true	669.57	670.81	16
5054_18527_000058_000001	You are in Paris!" exclaimed Adela, quite shocked.	You are in Paris!" exclaimed Adela, quite shocked.	true	670.85	674.59	19.556816
5054_18527_000059_000000	"I know it," said Polly, "and I wish we weren't.	"I know it," said Polly, "and I wish we weren't.	true	675.17	678.51	19.412947
5054_18527_000059_000001	O dear!	O dear!	false	678.51	679.84	18.896687
5054_18527_000059_000002	this seems just like the country, and--"	this seems just like the country, and-"	true	680.03	681.97	18
5054_18527_000060_000000	Just then a child screamed.	Just then a child screamed.	true	682.43	685.06	22.651789
5054_18527_000060_000001	"That's Phronsie!" exclaimed Polly, her cheek turning quite white.	"That's Phronsie!" exclaimed Polly, her cheek turning quite white.	true	685.16	689.74	19.10087
5054_18527_000060_000002	And she sped back over the path.	And she sped back over the path.	true	690.02	692.23	18
5054_18527_000061_000000	"Oh, no, Polly," Jasper tried to reassure her, as he ran after her. They were having their race, after all, but in a different way from what they had planned.	"Oh, no, Polly," Jasper tried to reassure her, as he ran after her. They were having their race, after all, but in a different way from what they had planned.	true	692.36	702.28	21.06906
5054_18527_000062_000000	"Dear me! you are running!" said Adela, who hadn't got it into her head what for, as she didn't connect the scream with any of their party.	"Dear me! you are running!" said Adela, who hadn't got it into her head what for, as she didn't connect the scream with any of their party.	false	702.53	711.73	19.997248
5054_18527_000062_000001	And she walked just as fast as she could to catch up with them.	And she walked just as fast as she could to catch up with them.	false	712.07	715.48	21
5054_18527_000062_000002	As that was impossible, she gave a hasty glance around the shrubbery, and seeing no one to notice her, she broke out into a lively run.	As that was impossible, she gave a hasty glance around the shrubbery, and seeing no one to notice her, she broke out into a lively run.	true	715.88	724.6	20.904919
5054_18527_000063_000000	"Yes, Phronsie," Grandpapa was saying, as the young people had left them, and the others had wandered off to enjoy the quiet, shady paths, "this place was the old Foret de Rouvray.	"Yes, Phronsie," Grandpapa was saying, as the young people had left them, and the others had wandered off to enjoy the quiet, shady paths, "this place was the old Foret de Rouvray.	true	725.06	736.87	20.348646
5054_18527_000063_000001	It wasn't a very pretty place to come to in those days, what with the robbers and other bad people who infested it.	It wasn't a very pretty place to come to in those days, what with the robbers and other bad people who infested it.	true	737.15	743.86	20.539694
5054_18527_000063_000002	And now let us go and find a seat, child, and I'll show you one or two little pictures I picked up in the shop this morning; and you can send them in your next letter, to Joel and David, if you like."	And now let us go and find a seat, child, and I'll show you one or two little pictures I picked up in the shop this morning; and you can send them in your next letter, to joel and David, if you like."	true	744.32	755.59	21.22706
5054_18527_000064_000000	Old Mr. King took out his pocket-book, and had just opened it, when a man darted out from the thick shrubbery behind him, cast a long, searching glance around, and quick as lightning, threw himself against the stately old gentleman, and seized the pocket-book.	Old mr King took out his pocket book, and had just opened it, when a man darted out from the thick shrubbery behind him, cast a long, searching glance around, and quick as lightning, threw himself against the stately old gentleman, and seized the pocket book.	false	755.69	771.82	22.147884
5054_18527_000065_000000	It was then that Phronsie screamed long and loud.	It was then that Phronsie screamed long and loud.	true	772.4	775.96	18.650507
5054_18527_000066_000000	"What ho!" exclaimed Mr. King, starting around to do battle; but the man was just disappearing around the clump of shrubbery.	"What ho!" exclaimed mr King, starting around to do battle; but the man was just disappearing around the clump of shrubbery.	true	776.15	784.84	19.403513
5054_18527_000067_000000	"Which way?" Tom Selwyn dashed up.	"Which way?" Tom Selwyn dashed up.	false	785.36	788.49	17.87045
5054_18527_000067_000001	It didn't seem as if Phronsie's cry had died on her lips.	It didn't seem as if Phronsie's cry had died on her lips.	true	788.49	791.53	14
5054_18527_000068_000000	Old Mr. King pointed without a word.	Old mr King pointed without a word.	true	792.14	794.44	19.247864
5054_18527_000068_000001	And Polly and Jasper were close at hand.	And Polly and Jasper were close at hand.	false	794.78	797.58	19.953161
5054_18527_000068_000002	Polly flew to Phronsie, who was clinging to Grandpapa's hand, and wailing bitterly.	Polly flew to Phronsie, who was clinging to Grandpapa's hand, and wailing bitterly.	true	797.58	802.81	20.537167
5054_18527_000068_000003	"What is it?	"What is it?	true	802.91	803.85	21.764101
5054_18527_000068_000004	Oh! what is it?" cried Polly.	Oh! what is it?" cried Polly.	true	803.85	805.9	18.975298
5054_18527_000069_000000	"My pocket-book," said Grandpapa; "some fellow has seized it, and frightened this poor child almost to death." He seemed to care a great deal more about that than any loss of the money.	"My pocket book," said Grandpapa; "some fellow has seized it, and frightened this poor child almost to death." He seemed to care a great deal more about that than any loss of the money.	true	806.15	817.63	20.162455
5054_18527_000070_000000	"Which way?" cried Jasper, in his turn, and was off like a shot on getting his answer.	"Which way?" cried Jasper, in his turn, and was off like a shot on getting his answer.	true	818.12	824.14	19.953295
5054_18527_000071_000000	Tom saw the fellow slink with the manner of one who knew the ins and outs of the place well,--now gliding, and ducking low in the sparser growth, now making a bold run around some exposed curve, now dashing into a dense part of the wood.	Tom saw the fellow slink with the manner of one who knew the ins and outs of the place well,--now gliding, and ducking low in the sparser growth, now making a bold run around some exposed curve, now dashing into a dense part of the wood.	true	824.99	839.74	20.764755
5054_18527_000072_000000	"I'll have you yet!" said Tom, through set teeth; "I haven't trained at school for nothing!"	"I'll have you yet!" said Tom, through set teeth; "I haven't trained at school for nothing!"	true	839.87	846.88	20.14954
5054_18527_000073_000000	A thud of fast-flying feet in his rear didn't divert him an instant from his game, although it might be a rescue party for the thief, in the shape of a partner,--who could tell?	A thud of fast flying feet in his rear didn't divert him an instant from his game, although it might be a rescue party for the thief, in the shape of a partner,--who could tell?	true	847.58	858.55	21.242533
5054_18527_000073_000001	And realising, if he caught the man at all, he must do one of his sprints, he covered the ground by a series of flying leaps,--dashed in where he saw his prey rush; one more leap with all his might, and--"I have you!" cried Tom.	And realising, if he caught the man at all, he must do one of his sprints, he covered the ground by a series of flying leaps,--dashed in where he saw his prey rush; one more leap with all his might, and-"I have you!" cried Tom.	true	858.98	874.81	20.803589
5054_18527_000074_000000	The man under him, thrown to the ground by the suddenness of Tom's leap on him, was wriggling and squirming with all the desperation of a trapped creature, when the individual with the flying footsteps hove in sight.	The man under him, thrown to the ground by the suddenness of Tom's leap on him, was wriggling and squirming with all the desperation of a trapped creature, when the individual with the flying footsteps hove in sight.	true	875.24	888.13	20.363754
5054_18527_000074_000001	It was Jasper.	It was Jasper.	true	888.29	889.57	18.151827
5054_18527_000074_000002	And they had just persuaded the robber that it would be useless to struggle longer against his fate, when the parson, running as he hadn't run for years, appeared to their view.	And they had just persuaded the robber that it would be useless to struggle longer against his fate, when the parson, running as he hadn't run for years, appeared to their view.	true	889.82	899.95	20.68546
5054_18527_000074_000003	And after him, at such a gait that would have been his fortune, in a professional way, was the little doctor.	And after him, at such a gait that would have been his fortune, in a professional way, was the little doctor.	true	900.29	907.18	22.415829
5054_18527_000074_000004	His hat was gone, and his toes scarcely seemed to touch the ground.	His hat was gone, and his toes scarcely seemed to touch the ground.	true	907.46	911.38	22.387499
5054_18527_000074_000005	He was last at the scene, simply because the news had only just reached him as he sauntered leisurely up to meet Mr. King in his promenade.	He was last at the scene, simply because the news had only just reached him as he sauntered leisurely up to meet mr King in his promenade.	true	911.78	919.72	18
5054_18527_000075_000000	When the thief saw him, he looked to see if any more were coming, and resigned himself at once and closed his eyes instinctively.	When the thief saw him, he looked to see if any more were coming, and resigned himself at once and closed his eyes instinctively.	true	919.88	927.73	20.730724
5054_18527_000076_000000	He was a miserable-looking man--tall, thin, and stoop shouldered--they saw, when they got him on his feet.	He was a miserable looking man-tall, thin, and stoop shouldered-they saw, when they got him on his feet.	false	928.16	935.44	21.983448
5054_18527_000076_000001	Unkempt and unwashed, his long, black hair hung around a face sallow in the extreme.	Unkempt and unwashed, his long, black hair hung around a face sallow in the extreme.	true	935.81	941.8	21
5054_18527_000076_000002	And he shook so, as Tom and Jasper marched him back, escorted by the body-guard of the parson and the little doctor, that the two boys put their hands under his arms to help him along.	And he shook so, as Tom and Jasper marched him back, escorted by the body guard of the parson and the little doctor, that the two boys put their hands under his arms to help him along.	false	942.17	953.56	21.432737
5054_18527_000077_000000	"Well--well--well!" ejaculated Mr. King, as he saw this array.	"Well-well-well!" ejaculated mr King, as he saw this array.	true	954.29	959.86	17.397978
5054_18527_000077_000001	Polly gathered Phronsie's other hand in hers, while she clung closer than ever to Grandpapa.	Polly gathered Phronsie's other hand in hers, while she clung closer than ever to Grandpapa.	true	960.26	965.62	18
5054_18527_000078_000000	"Here's your pocket-book," said Tom, handing the article over; "he hasn't spent much."	"Here's your pocket book," said Tom, handing the article over; "he hasn't spent much."	true	966.08	972.22	19.079414
5054_18527_000079_000000	"Don't, Tom," said Jasper, "joke about it."	"Don't, Tom," said Jasper, "joke about it."	true	972.8	976.09	22.102596
5054_18527_000080_000000	"Can't help it," said Tom.	"Can't help it," said Tom.	true	976.52	978.58	23.909925
