7314_93277_000001_000000	Chapter 8	Chapter eight
7314_93277_000012_000001	Tom's father was very willing to get out, but Ned would have remained in, only for the desire of his friend.	Tom's father was very willing to get out, but Ned would have remained in, only for the desire of his friend.
7314_93277_000013_000000	With the two propellers whirring at a tremendous speed, and all the gas out of the aluminum container, the Red Cloud shot forward, running over the level ground of the meadow, where a starting course had been laid out.	With the two propellers whirring at a tremendous speed, and all the gas out of the aluminum container, the Red Cloud shot forward, running over the level ground of the meadow, where a starting course had been laid out.
7314_93277_000014_000000	"Clear the track!" cried Mr. Sharp, as he saw the crowd closing up in front of him.	"Clear the track!" cried mr Sharp, as he saw the crowd closing up in front of him.
7314_93277_000014_000002	Through this shot the craft, and then, when sufficient momentum had been obtained, Tom, at a command from the aeronaut, pulled the lever of the elevation rudder.	Through this shot the craft, and then, when sufficient momentum had been obtained, Tom, at a command from the aeronaut, pulled the lever of the elevation rudder.
7314_93277_000014_000003	Up into the air shot the nose of the Red Cloud as the wind struck the slanting surface of the planes, and, a moment later it was sailing high above the heads of the throng.	Up into the air shot the nose of the Red Cloud as the wind struck the slanting surface of the planes, and, a moment later it was sailing high above the heads of the throng.
7314_93277_000015_000000	"That's the stuff!" cried Mr. Sharp.	"That's the stuff!" cried mr Sharp.
7314_93277_000016_000000	Higher and higher it went, and then, coming to a level keel, the craft was sent here and there, darting about like a bird, and going about in huge circles.	Higher and higher it went, and then, coming to a level keel, the craft was sent here and there, darting about like a bird, and going about in huge circles.
7314_93277_000017_000000	"Start the gas machine, and we'll come to rest in the air," said the balloonist, and Tom did so.	"Start the gas machine, and we'll come to rest in the air," said the balloonist, and Tom did so.
7314_93277_000017_000002	The propellers were stopped, and the Red Cloud floated two thousand feet in the air, only a little distance below some fleecy, white masses from which she took her name.	The propellers were stopped, and the Red Cloud floated two thousand feet in the air, only a little distance below some fleecy, white masses from which she took her name.
7314_93277_000017_000003	The demonstration was a great success.	The demonstration was a great success.
7314_93277_000017_000004	The gas was again allowed to escape, the propellers set in motion, and purely as an aeroplane, the ship was again sent forward.	The gas was again allowed to escape, the propellers set in motion, and purely as an aeroplane, the ship was again sent forward.
7314_93277_000017_000005	By means of the planes and rudders a perfect landing was made in the meadow, a short distance from where the start had been made.	By means of the planes and rudders a perfect landing was made in the meadow, a short distance from where the start had been made.
7314_93277_000017_000006	The crowd cheered the plucky youth and Mr. Sharp.	The crowd cheered the plucky youth and mr Sharp.
7314_93277_000018_000000	"Now I'm ready to go on a long trip any time you are, Tom," said the aeronaut that night.	"Now I'm ready to go on a long trip any time you are, Tom," said the aeronaut that night.
7314_93277_000019_000000	"We'll fit up the car and get ready," agreed the 'youth.	"We'll fit up the car and get ready," agreed the 'youth.
7314_93277_000020_000000	"Me?	"Me?
7314_93277_000020_000001	Oh, well--er--that is, you see; well, I'll think about it," and Mr. Swift went to his own room, carrying with him a package of papers, containing intricate calculations.	Oh, well-er-that is, you see; well, I'll think about it," and mr Swift went to his own room, carrying with him a package of papers, containing intricate calculations.
7314_93277_000021_000000	Tom shook his head, but said nothing.	Tom shook his head, but said nothing.
7314_93277_000021_000001	He could not understand his father's conduct.	He could not understand his father's conduct.
7314_93277_000022_000000	Work was started the next day on fitting up the car, or cabin, of the airship, so that several persons could live, eat and sleep in it for two weeks, if necessary.	Work was started the next day on fitting up the car, or cabin, of the airship, so that several persons could live, eat and sleep in it for two weeks, if necessary.
7314_93277_000022_000001	The third day after this task had been commenced the mail brought an unusual communication to Tom and Mr. Sharp.	The third day after this task had been commenced the mail brought an unusual communication to Tom and mr Sharp.
7314_93277_000022_000002	It was from an aero club of Blakeville, a city distant about a hundred miles, and stated that a competition for aeroplanes and dirigible balloons was to be held in the course of two weeks.	It was from an aero club of Blakeville, a city distant about a hundred miles, and stated that a competition for aeroplanes and dirigible balloons was to be held in the course of two weeks.
7314_93277_000022_000003	The affair was designed to further interest in the sport, and also to demonstrate what progress had been made in the art of conquering the air.	The affair was designed to further interest in the sport, and also to demonstrate what progress had been made in the art of conquering the air.
7314_93277_000022_000004	Prizes were to be given, and the inventors of the Red Cloud, the achievements of which the committee of arrangements had heard, were invited to compete.	Prizes were to be given, and the inventors of the Red Cloud, the achievements of which the committee of arrangements had heard, were invited to compete.
7314_93277_000024_000000	"I'm willing if you are."	"I'm willing if you are."
7314_93277_000025_000000	"Then let's do it.	"Then let's do it.
7314_93277_000025_000001	We'll see how our craft shows up alongside of others.	We'll see how our craft shows up alongside of others.
7314_93277_000025_000002	I know something of this club.	I know something of this club.
7314_93277_000025_000004	Once I gave a balloon exhibition for them.	Once I gave a balloon exhibition for them.
7314_93277_000025_000006	Well, we'll have a try at it. Won't do us any harm to win a prize.	Well, we'll have a try at it. Won't do us any harm to win a prize.
7314_93277_000025_000007	Then for a long trip!"	Then for a long trip!"
7314_93277_000026_000000	As it was not necessary to have the car, or cabin, completely fitted up in order to compete for the prize, work in that direction was suspended for the time being, and more attention was paid to the engine, the planes and rudders.	As it was not necessary to have the car, or cabin, completely fitted up in order to compete for the prize, work in that direction was suspended for the time being, and more attention was paid to the engine, the planes and rudders.
7314_93277_000026_000001	Some changes were made and, a week later the Red Cloud departed for Blakeville.	Some changes were made and, a week later the Red Cloud departed for Blakeville.
7314_93277_000026_000002	As the rules of the contest required three passengers, Ned Newton was taken along, Mr. Swift having arranged with the bank president so that the lad could have a few days off.	As the rules of the contest required three passengers, Ned Newton was taken along, mr Swift having arranged with the bank president so that the lad could have a few days off.
7314_93277_000027_000001	As the three navigators approached, they saw a small machine flying around the grounds.	As the three navigators approached, they saw a small machine flying around the grounds.
7314_93277_000028_000000	"Look!" cried Ned excitedly.	"Look!" cried Ned excitedly.
7314_93277_000028_000001	"What a small airship."	"What a small airship."
7314_93277_000029_000000	"That's a monoplane," declared Tom, who was getting to be quite an expert.	"That's a monoplane," declared Tom, who was getting to be quite an expert.
7314_93277_000030_000000	"Yes, the same kind that was used to cross the English Channel," interjected Mr. Sharp.	"Yes, the same kind that was used to cross the English Channel," interjected mr Sharp.
7314_93277_000030_000001	"They're too uncertain for my purposes, though; they are all right under certain conditions."	"They're too uncertain for my purposes, though; they are all right under certain conditions."
7314_93277_000031_000000	Hardly had he spoken than a puff of wind caused the daring manipulator of the monoplane to swerve to one side.	Hardly had he spoken than a puff of wind caused the daring manipulator of the monoplane to swerve to one side.
7314_93277_000031_000001	He had to make a quick descent--so rapid was it, in fact, that the tips of one of his planes was smashed.	He had to make a quick descent-so rapid was it, in fact, that the tips of one of his planes was smashed.
7314_93277_000032_000000	"It'll take him a day to repair that," commented the aeronaut dryly.	"It'll take him a day to repair that," commented the aeronaut dryly.
7314_93277_000033_000000	The Red Cloud created a sensation as she slowly settled down in front of the big tent assigned to her.	The Red Cloud created a sensation as she slowly settled down in front of the big tent assigned to her.
7314_93277_000033_000001	Tom's craft was easily the best one at the carnival, so far, though the managers said other machines were on the way.	Tom's craft was easily the best one at the carnival, so far, though the managers said other machines were on the way.
7314_93277_000034_000000	The exhibition opened the next day, but no flights were to be attempted until the day following.	The exhibition opened the next day, but no flights were to be attempted until the day following.
7314_93277_000034_000001	Two more crafts arrived, a large triplane, and a dirigible balloon.	Two more crafts arrived, a large triplane, and a dirigible balloon.
7314_93277_000034_000002	There were many visitors to the ground, and Tom, Ned and Mr. Sharp were kept busy answering questions put by those who crowded into their tent.	There were many visitors to the ground, and Tom, Ned and mr Sharp were kept busy answering questions put by those who crowded into their tent.
7314_93277_000034_000003	Toward the close of the day a fussy little Frenchman entered, and, making his way to where Tom stood, asked:	Toward the close of the day a fussy little Frenchman entered, and, making his way to where Tom stood, asked:
7314_93277_000036_000000	"One of them," replied the lad.	"One of them," replied the lad.
7314_93277_000037_000000	"Ha! Sacre!	"Ha! Sacre!
7314_93277_000037_000001	Zen I challenge you to a race.	Zen I challenge you to a race.
7314_93277_000037_000002	I have a monoplane zat is ze swiftest evaire!	I have a monoplane zat is ze swiftest evaire!
7314_93277_000038_000000	"Shall we take him up, Mr. Sharp?" asked Tom.	"Shall we take him up, mr Sharp?" asked Tom.
7314_93277_000039_000000	"We'll race with him, after we get through with the club entries," decided the aeronaut.	"We'll race with him, after we get through with the club entries," decided the aeronaut.
7314_93277_000039_000001	"But not for money.	"But not for money.
7314_93277_000039_000002	It's against my principles, and I don't believe your father would like it.	It's against my principles, and I don't believe your father would like it.
7314_93277_000039_000003	Racing for prizes is a different thing."	Racing for prizes is a different thing."
7314_93277_000041_000000	That night was spent in getting the Red Cloud in shape for the contests of the next day.	That night was spent in getting the Red Cloud in shape for the contests of the next day.
7314_93277_000041_000001	She was "groomed" until every wire was taut and every cog, lever and valve working perfectly.	She was "groomed" until every wire was taut and every cog, lever and valve working perfectly.
7314_93277_000041_000002	Ned Newton helped all he could. So much has appeared in the newspapers of the races at Blakeville that I will not devote much space here to them.	Ned Newton helped all he could. So much has appeared in the newspapers of the races at Blakeville that I will not devote much space here to them.
7314_93277_000041_000004	It was a closer contest with the large triplane, but Tom's airship won, and was given the prize, a fine silver cup.	It was a closer contest with the large triplane, but Tom's airship won, and was given the prize, a fine silver cup.
7314_93277_000042_000000	As the carnival was a small one, no other craft in a class with the Red Cloud had been entered, so Tom and Mr. Sharp had to be content with the one race they won.	As the carnival was a small one, no other craft in a class with the Red Cloud had been entered, so Tom and mr Sharp had to be content with the one race they won.
7314_93277_000042_000001	There were other contests among monoplanes and biplanes, and the little Frenchman won two races.	There were other contests among monoplanes and biplanes, and the little Frenchman won two races.
7314_93277_000043_000001	"I will in circles go around you, up and down, zis side zen ze ozzer, and presto!	"I will in circles go around you, up and down, zis side zen ze ozzer, and presto!
7314_93277_000044_000000	"All right, wait and see," said Tom, easily.	"All right, wait and see," said Tom, easily.
7314_93277_000044_000001	But, though he showed much confidence he asked Mr. Sharp in private, just before the impromptu contest: "Do you think we can beat him?"	But, though he showed much confidence he asked mr Sharp in private, just before the impromptu contest: "Do you think we can beat him?"
7314_93277_000045_000000	"Well," said the aeronaut, shrugging his shoulders, "you can't tell much about the air.	"Well," said the aeronaut, shrugging his shoulders, "you can't tell much about the air.
7314_93277_000045_000001	His machine certainly goes very fast, but too much wind will be the undoing of him, while it will only help us.	His machine certainly goes very fast, but too much wind will be the undoing of him, while it will only help us.
7314_93277_000045_000002	And I think," he added, "that we're going to get a breeze."	And I think," he added, "that we're going to get a breeze."
7314_93277_000046_000000	It was arranged that the Red Cloud would start from the ground, without the use of the gas, so as to make the machines more even.	It was arranged that the Red Cloud would start from the ground, without the use of the gas, so as to make the machines more even.
7314_93277_000046_000001	At the signal off they started, the motors making a great racket.	At the signal off they started, the motors making a great racket.
7314_93277_000046_000002	The monoplane with the little Frenchman in the seat got up first.	The monoplane with the little Frenchman in the seat got up first.
7314_93277_000047_000000	"Ah, ha!" he cried gaily, "I leave you in ze rear!	"Ah, ha!" he cried gaily, "I leave you in ze rear!
7314_93277_000047_000001	Catch me if you can!"	Catch me if you can!"
7314_93277_000048_000000	"Don't let him beat us," implored Ned.	"Don't let him beat us," implored Ned.
7314_93277_000049_000000	"Can't you speed her up any more?" inquired Tom of Mr. Sharp.	"Can't you speed her up any more?" inquired Tom of mr Sharp.
7314_93277_000050_000001	Like a flash the Red Cloud darted forward. But the Frenchman also increased his speed and did, actually, at first, circle around the bigger machine, for his affair was much lighter.	Like a flash the Red Cloud darted forward. But the Frenchman also increased his speed and did, actually, at first, circle around the bigger machine, for his affair was much lighter.
7314_93277_000051_000000	"That's the stuff!	"That's the stuff!
7314_93277_000051_000001	We're winning!" yelled Tom, Ned joining in the shout.	We're winning!" yelled Tom, Ned joining in the shout.
7314_93277_000052_000000	Then came a puff of wind.	Then came a puff of wind.
7314_93277_000052_000001	The monoplane had to descend, for it was in danger of turning turtle.	The monoplane had to descend, for it was in danger of turning turtle.
7314_93277_000052_000002	Still the navigator was not going to give up. He flew along at a lower level.	Still the navigator was not going to give up. He flew along at a lower level.
7314_93277_000052_000003	Then Mr. Sharp opened up the Red Cloud's engine at full speed, and it was the big machine which now sailed around the other.	Then mr Sharp opened up the Red Cloud's engine at full speed, and it was the big machine which now sailed around the other.
7314_93277_000053_000000	"I protest!	"I protest!
7314_93277_000053_000001	I protest!" cried the Frenchman, above the explosions of his motor.	I protest!" cried the Frenchman, above the explosions of his motor.
7314_93277_000053_000002	"Ze wind is too strong for me!"	"Ze wind is too strong for me!"
7314_93277_000054_000000	Mr. Sharp said nothing, but, with a queer smile on his face he sent the airship down toward the earth.	mr Sharp said nothing, but, with a queer smile on his face he sent the airship down toward the earth.
7314_93277_000054_000001	A moment later he was directly under the monoplane.	A moment later he was directly under the monoplane.
7314_93277_000054_000002	Then, quickly rising, he fairly caught the Frenchman's machine on top of a square platform of the gas container, the bicycle wheels of the monoplane resting on the flat surface.	Then, quickly rising, he fairly caught the Frenchman's machine on top of a square platform of the gas container, the bicycle wheels of the monoplane resting on the flat surface.
7314_93277_000054_000003	And, so swiftly did the Red Cloud fly along that it carried the monoplane with it, to the chagrin of the French navigator.	And, so swiftly did the Red Cloud fly along that it carried the monoplane with it, to the chagrin of the French navigator.
7314_93277_000055_000000	"A trick!	"A trick!
7314_93277_000055_000001	A trick!" he cried.	A trick!" he cried.
7314_93277_000056_000000	Then, dropping down, Mr. Sharp allowed the monoplane to proceed under its own power, while he raced on to the finish mark, winning, of course, by a large margin.	Then, dropping down, mr Sharp allowed the monoplane to proceed under its own power, while he raced on to the finish mark, winning, of course, by a large margin.
7314_93277_000057_000000	"Ha!	"Ha!
7314_93277_000057_000001	A trick!	A trick!
7314_93277_000058_000000	"No, thanks," answered Tom.	"No, thanks," answered Tom.
7314_93277_000058_000001	"We've had enough.	"We've had enough.
7314_93277_000058_000002	I guess charity will be satisfied."	I guess charity will be satisfied."
7314_93277_000059_000000	The little Frenchman was a good loser, and paid over the money, which was given to the Blakeville Hospital, the institution receiving it gladly.	The little Frenchman was a good loser, and paid over the money, which was given to the Blakeville Hospital, the institution receiving it gladly.
7314_93277_000060_000000	At the request of the carnival committee, Mr. Sharp and Tom gave an exhibition of high and long flights the next day, and created no little astonishment by their daring feats.	At the request of the carnival committee, mr Sharp and Tom gave an exhibition of high and long flights the next day, and created no little astonishment by their daring feats.
7314_93277_000061_000001	"We won the first contest we were ever in, and beat that speedy monoplane, which was no small thing to do, as they are very fast."	"We won the first contest we were ever in, and beat that speedy monoplane, which was no small thing to do, as they are very fast."
7314_93277_000062_000000	"But wait until we go on our trip," added Tom, as he looked at the cup they had won.	"But wait until we go on our trip," added Tom, as he looked at the cup they had won.
