3105_163726_000002_000000	CHAPTER LXIX	CHAPTER sixty nine
3105_163726_000011_000003	Yet before the land itself has acknowledged touch of man, upon one in a hundred acres; and before one mile in ten thousand of the exhaustless ocean has ever felt the plunge of hook, or combing of the haul-nets; lo, we crawl, in flocks together upon the hot ground that stings us, even as the black grubs crowd upon the harried nettle!	Yet before the land itself has acknowledged touch of man, upon one in a hundred acres; and before one mile in ten thousand of the exhaustless ocean has ever felt the plunge of hook, or combing of the haul nets; lo, we crawl, in flocks together upon the hot ground that stings us, even as the black grubs crowd upon the harried nettle!
3105_163726_000011_000004	Surely we are too much given to follow the tracks of each other.	Surely we are too much given to follow the tracks of each other.
3105_163726_000012_000001	Such a man must be very wretched in this pure dearth of morality; like a fisherman where no fish be; and most of us have enough to do to attend to our own morals.	Such a man must be very wretched in this pure dearth of morality; like a fisherman where no fish be; and most of us have enough to do to attend to our own morals.
3105_163726_000012_000002	Enough that I resolved to go; and as Lorna could not come with me, it was even worse than stopping.	Enough that I resolved to go; and as Lorna could not come with me, it was even worse than stopping.
3105_163726_000012_000003	Nearly everybody vowed that I was a great fool indeed, to neglect so rudely--which was the proper word, they said--the pushing of my fortunes.	Nearly everybody vowed that I was a great fool indeed, to neglect so rudely-which was the proper word, they said-the pushing of my fortunes.
3105_163726_000012_000004	But I answered that to push was rude, and I left it to people who had no room; and thought that my fortune must be heavy, if it would not move without pushing.	But I answered that to push was rude, and I left it to people who had no room; and thought that my fortune must be heavy, if it would not move without pushing.
3105_163726_000015_000001	They shook hands with me; and said that they could not deny but that there was reason in my view of the matter.	They shook hands with me; and said that they could not deny but that there was reason in my view of the matter.
3105_163726_000015_000002	And although they themselves must be the losers--which was a handsome thing to say--they would wait until I was a little older and more aware of my own value.	And although they themselves must be the losers-which was a handsome thing to say-they would wait until I was a little older and more aware of my own value.
3105_163726_000016_000001	I have seen at times, a little, both of one and of the other, and making more than due allowance for the difficulties of language, and the difference of training, upon the whole, the balance is in favour of our people.	I have seen at times, a little, both of one and of the other, and making more than due allowance for the difficulties of language, and the difference of training, upon the whole, the balance is in favour of our people.
3105_163726_000017_000000	Yet some people may be surprised that men with any love of justice, whether inborn or otherwise, could continue to abide the arrogance, and rapacity, and tyranny of the Doones.	Yet some people may be surprised that men with any love of justice, whether inborn or otherwise, could continue to abide the arrogance, and rapacity, and tyranny of the Doones.
3105_163726_000018_000001	Twenty sheep a week, and one fat ox, and two stout red deer (for wholesome change of diet), as well as threescore bushels of flour, and two hogsheads and a half of cider, and a hundredweight of candles, not to mention other things of almost every variety which they got by insisting upon it--surely these might have sufficed to keep the people in their place, with no outburst of wantonness.	Twenty sheep a week, and one fat ox, and two stout red deer (for wholesome change of diet), as well as threescore bushels of flour, and two hogsheads and a half of cider, and a hundredweight of candles, not to mention other things of almost every variety which they got by insisting upon it-surely these might have sufficed to keep the people in their place, with no outburst of wantonness.
3105_163726_000019_000000	Now these two maidens were known, because they had served the beer at an ale-house; and many men who had looked at them, over a pint or quart vessel (especially as they were comely girls), thought that it was very hard for them to go in that way, and perhaps themselves unwilling.	Now these two maidens were known, because they had served the beer at an ale house; and many men who had looked at them, over a pint or quart vessel (especially as they were comely girls), thought that it was very hard for them to go in that way, and perhaps themselves unwilling.
3105_163726_000019_000001	And their mother (although she had taken some money, which the Doones were always full of) declared that it was a robbery; and though it increased for a while the custom, that must soon fall off again.	And their mother (although she had taken some money, which the Doones were always full of) declared that it was a robbery; and though it increased for a while the custom, that must soon fall off again.
3105_163726_000019_000002	And who would have her two girls now, clever as they were and good?	And who would have her two girls now, clever as they were and good?
3105_163726_000020_000000	Before we had finished meditating upon this loose outrage--for so I at least would call it, though people accustomed to the law may take a different view of it--we had news of a thing far worse, which turned the hearts of our women sick.	Before we had finished meditating upon this loose outrage-for so I at least would call it, though people accustomed to the law may take a different view of it-we had news of a thing far worse, which turned the hearts of our women sick.
3105_163726_000020_000001	This I will tell in most careful language, so as to give offence to none, if skill of words may help it.	This I will tell in most careful language, so as to give offence to none, if skill of words may help it.
3105_163726_000022_000000	Mistress Margery Badcock, a healthy and upright young woman, with a good rich colour, and one of the finest hen-roosts anywhere round our neighbourhood, was nursing her child about six of the clock, and looking out for her husband.	Mistress Margery Badcock, a healthy and upright young woman, with a good rich colour, and one of the finest hen roosts anywhere round our neighbourhood, was nursing her child about six of the clock, and looking out for her husband.
3105_163726_000022_000001	Now this child was too old to be nursed, as everybody told her; for he could run, say two yards alone, and perhaps four or five, by holding to handles.	Now this child was too old to be nursed, as everybody told her; for he could run, say two yards alone, and perhaps four or five, by holding to handles.
3105_163726_000022_000002	And he had a way of looking round, and spreading his legs, and laughing, with his brave little body well fetched up, after a desperate journey to the end of the table, which his mother said nothing could equal.	And he had a way of looking round, and spreading his legs, and laughing, with his brave little body well fetched up, after a desperate journey to the end of the table, which his mother said nothing could equal.
3105_163726_000023_000000	Christopher Badcock was a tenant farmer, in the parish of Martinhoe, renting some fifty acres of land, with a right of common attached to them; and at this particular time, being now the month of February, and fine open weather, he was hard at work ploughing and preparing for spring corn.	Christopher Badcock was a tenant farmer, in the parish of Martinhoe, renting some fifty acres of land, with a right of common attached to them; and at this particular time, being now the month of February, and fine open weather, he was hard at work ploughing and preparing for spring corn.
3105_163726_000023_000001	Therefore his wife was not surprised although the dusk was falling, that farmer Christopher should be at work in 'blind man's holiday,' as we call it.	Therefore his wife was not surprised although the dusk was falling, that farmer Christopher should be at work in 'blind man's holiday,' as we call it.
3105_163726_000024_000000	But she was surprised, nay astonished, when by the light of the kitchen fire (brightened up for her husband), she saw six or seven great armed men burst into the room upon her; and she screamed so that the maid in the back kitchen heard her, but was afraid to come to help.	But she was surprised, nay astonished, when by the light of the kitchen fire (brightened up for her husband), she saw six or seven great armed men burst into the room upon her; and she screamed so that the maid in the back kitchen heard her, but was afraid to come to help.
3105_163726_000024_000002	In spite of tears, and shrieks, and struggles, they tore the babe from the mother's arms, and cast it on the lime ash floor; then they bore her away to their horses (for by this time she was senseless), and telling the others to sack the house, rode off with their prize to the valley.	In spite of tears, and shrieks, and struggles, they tore the babe from the mother's arms, and cast it on the lime ash floor; then they bore her away to their horses (for by this time she was senseless), and telling the others to sack the house, rode off with their prize to the valley.
3105_163726_000024_000003	And from the description of one of those two, who carried off the poor woman, I knew beyond all doubt that it was Carver Doone himself.	And from the description of one of those two, who carried off the poor woman, I knew beyond all doubt that it was Carver Doone himself.
3105_163726_000025_000000	The other Doones being left behind, and grieved perhaps in some respects, set to with a will to scour the house, and to bring away all that was good to eat.	The other Doones being left behind, and grieved perhaps in some respects, set to with a will to scour the house, and to bring away all that was good to eat.
3105_163726_000025_000001	And being a little vexed herein (for the Badcocks were not a rich couple) and finding no more than bacon, and eggs, and cheese, and little items, and nothing to drink but water; in a word, their taste being offended, they came back, to the kitchen, and stamped; and there was the baby lying.	And being a little vexed herein (for the Badcocks were not a rich couple) and finding no more than bacon, and eggs, and cheese, and little items, and nothing to drink but water; in a word, their taste being offended, they came back, to the kitchen, and stamped; and there was the baby lying.
3105_163726_000026_000000	By evil luck, this child began to squeal about his mother, having been petted hitherto, and wont to get all he wanted, by raising his voice but a little.	By evil luck, this child began to squeal about his mother, having been petted hitherto, and wont to get all he wanted, by raising his voice but a little.
3105_163726_000026_000001	Now the mark of the floor was upon his head, as the maid (who had stolen to look at him, when the rough men were swearing upstairs) gave evidence.	Now the mark of the floor was upon his head, as the maid (who had stolen to look at him, when the rough men were swearing upstairs) gave evidence.
3105_163726_000026_000002	And she put a dish-cloth under his head, and kissed him, and ran away again.	And she put a dish cloth under his head, and kissed him, and ran away again.
3105_163726_000026_000004	If it had been her own baby, instinct rather than reason might have had the day with her; but the child being born of her mistress, she wished him good luck, and left him, as the fierce men came downstairs.	If it had been her own baby, instinct rather than reason might have had the day with her; but the child being born of her mistress, she wished him good luck, and left him, as the fierce men came downstairs.
3105_163726_000026_000005	And being alarmed by their power of language (because they had found no silver), she crept away in a breathless hurry, and afraid how her breath might come back to her.	And being alarmed by their power of language (because they had found no silver), she crept away in a breathless hurry, and afraid how her breath might come back to her.
3105_163726_000027_000000	While this good maid was in the oven, by side of back-kitchen fireplace, with a faggot of wood drawn over her, and lying so that her own heart beat worse than if she were baking; the men (as I said before) came downstairs, and stamped around the baby.	While this good maid was in the oven, by side of back kitchen fireplace, with a faggot of wood drawn over her, and lying so that her own heart beat worse than if she were baking; the men (as I said before) came downstairs, and stamped around the baby.
3105_163726_000028_000001	Fetch down the staves of the rack, my boy.	Fetch down the staves of the rack, my boy.
3105_163726_000028_000002	What was farmer to have for supper?'	What was farmer to have for supper?'
3105_163726_000030_000000	'No game!	'No game!
3105_163726_000030_000001	Then let us have a game of loriot with the baby!	Then let us have a game of loriot with the baby!
3105_163726_000030_000002	It will be the best thing that could befall a lusty infant heretic.	It will be the best thing that could befall a lusty infant heretic.
3105_163726_000031_000000	The cruelty of this man is a thing it makes me sick to speak of; enough that when the poor baby fell (without attempt at cry or scream, thinking it part of his usual play, when they tossed him up, to come down again), the maid in the oven of the back-kitchen, not being any door between, heard them say as follows,--	The cruelty of this man is a thing it makes me sick to speak of; enough that when the poor baby fell (without attempt at cry or scream, thinking it part of his usual play, when they tossed him up, to come down again), the maid in the oven of the back kitchen, not being any door between, heard them say as follows,--
