7139_75362_000000_000000	In a refined nature these sensuous premonitions of sympathy are seldom misleading.	In a refined nature these sensuous premonitions of sympathy are seldom misleading.	false	0	1.41	25.502497
7139_75362_000014_000000	The symbol, however, is ambiguous in hero-worship, being in one sense ideal, the representation of an inner demand, and in another sense a sensible experience, the representative of an external reality. Accordingly the symbol, when highly prized and long contemplated, may easily become an idol; that in it which is not ideal nor representative of the worshipper's demand may be imported confusedly into the total adored, and may thus receive a senseless worship.	The symbol, however, is ambiguous in hero worship, being in one sense ideal, the representation of an inner demand, and in another sense a sensible experience, the representative of an external reality. Accordingly the symbol, when highly prized and long contemplated, may easily become an idol; that in it which is not ideal nor representative of the worshipper's demand may be imported confusedly into the total adored, and may thus receive a senseless worship.	true	614.69	650.92	22.709003
7139_75362_000014_000001	The devotion which was, in its origin, an ideal tendency grown conscious and expressed in fancy may thus become a mechanical force vitiating that ideal.	The devotion which was, in its origin, an ideal tendency grown conscious and expressed in fancy may thus become a mechanical force vitiating that ideal.	true	651.77	664.69	22.977312
7139_75362_000014_000002	For this reason it is very important that the first objects to fix the soul's admiration should be really admirable, for otherwise their accidental blemishes will corrupt the mind to which they appear _sub specie boni_.	For this reason it is very important that the first objects to fix the soul's admiration should be really admirable, for otherwise their accidental blemishes will corrupt the mind to which they appear underscore sub specie boni underscore.	false	665.42	681.36	24.092527
7139_75362_000015_000000	[Sidenote: Conflict between ideal and natural allegiance.]	[Sidenote: Conflict between ideal and natural allegiance.]	false	681.36	682.44	4
7139_75362_000016_000000	Discipleship and hero-worship are not stable relations.	Discipleship and hero worship are not stable relations.	true	682.44	686.41	21.614584
7139_75362_000016_000001	Since the meaning they embody is ideal and radiates from within outward, and since the image to which that meaning is attributed is controlled by a real external object, meaning and image, as time goes on, will necessarily fall apart.	Since the meaning they embody is ideal and radiates from within outward, and since the image to which that meaning is attributed is controlled by a real external object, meaning and image, as time goes on, will necessarily fall apart.	true	686.96	704.5	23.090487
7139_75362_000016_000002	The idol will be discredited.	The idol will be discredited.	true	705.71	707.67	18.112585
7139_75362_000016_000003	An ideal, ideally conceived and known to be an ideal, a spirit worshipped in spirit and in truth, will take the place of the pleasing phenomenon; and in regard to every actual being, however noble, discipleship will yield to emulation, and worship to an admiration more or less selective and critical.	An ideal, ideally conceived and known to be an ideal, a spirit worshipped in spirit and in truth, will take the place of the pleasing phenomenon; and in regard to every actual being, however noble, discipleship will yield to emulation, and worship to an admiration more or less selective and critical.	false	707.67	731.35	24.430227
7139_75362_000017_000000	[Sidenote: Automatic idealisation of heroes.]	[Sidenote: Automatic idealisation of heroes.]	true	732.68	736.63	21.594612
7139_75362_000018_000000	A disembodied ideal, however, is unmanageable and vague; it cannot exercise the natural and material suasion proper to a model we are expected to imitate.	A disembodied ideal, however, is unmanageable and vague; it cannot exercise the natural and material suasion proper to a model we are expected to imitate.	true	738.14	749.68	22.187523
7139_75362_000018_000001	The more fruitful procedure is accordingly to idealise some historical figure or natural force, to ignore or minimise in it what does not seem acceptable, and to retain at the same time all the unobjectionable personal colour and all the graphic traits that can help to give that model a persuasive vitality.	The more fruitful procedure is accordingly to idealise some historical figure or natural force, to ignore or minimise in it what does not seem acceptable, and to retain at the same time all the unobjectionable personal colour and all the graphic traits that can help to give that model a persuasive vitality.	true	750.38	773.62	25.757784
7139_75362_000018_000002	This poetic process is all the more successful for being automatic.	This poetic process is all the more successful for being automatic.	true	774.53	779.5	24.34712
7139_75362_000018_000003	It is in this way that heroes and gods have been created.	It is in this way that heroes and gods have been created.	true	780.08	783.52	22.766642
7139_75362_000018_000004	A legend or fable lying in the mind and continually repeated gained insensibly at each recurrence some new eloquence, some fresh congruity with the emotion it had already awakened, and was destined to awake again.	A legend or fable lying in the mind and continually repeated gained insensibly at each recurrence some new eloquence, some fresh congruity with the emotion it had already awakened, and was destined to awake again.	true	784.22	799.21	23.298164
7139_75362_000018_000005	To measure the importance of this truth the reader need only conceive the distance traversed from the Achilles that may have existed to the hero in Homer, or from Jesus as he might have been in real life, or even as he is in the gospels, to Christ in the Church.	To measure the importance of this truth the reader need only conceive the distance traversed from the Achilles that may have existed to the hero in Homer, or from Jesus as he might have been in real life, or even as he is in the gospels, to Christ in the Church.	false	800.03	826.02	23.316208
