7139_75362_000001_000000	[Sidenote: The refracting human medium for ideas.]	[Sidenote: The refracting human medium for ideas.]
7139_75362_000013_000003	Hero-worship is an imaginative passion in which latent ideals assume picturesque shapes and take actual persons for their symbols.	Hero worship is an imaginative passion in which latent ideals assume picturesque shapes and take actual persons for their symbols.
7139_75362_000013_000004	Such companionship, perhaps wholly imaginary, is a very clear and simple example of ideal society. The unconscious hero, to be sure, happens to exist, but his existence is irrelevant to his function, provided only he be present to the idealising mind.	Such companionship, perhaps wholly imaginary, is a very clear and simple example of ideal society. The unconscious hero, to be sure, happens to exist, but his existence is irrelevant to his function, provided only he be present to the idealising mind.
7139_75362_000013_000006	Certain capacities and tendencies in the worshipper are brought to a focus by the hero's image, who is thereby first discovered and deputed to be a hero.	Certain capacities and tendencies in the worshipper are brought to a focus by the hero's image, who is thereby first discovered and deputed to be a hero.
7139_75362_000013_000007	He is an unmoved mover, like Aristotle's God and like every ideal to which thought or action is directed.	He is an unmoved mover, like Aristotle's God and like every ideal to which thought or action is directed.
7139_75362_000014_000001	The devotion which was, in its origin, an ideal tendency grown conscious and expressed in fancy may thus become a mechanical force vitiating that ideal.	The devotion which was, in its origin, an ideal tendency grown conscious and expressed in fancy may thus become a mechanical force vitiating that ideal.
7139_75362_000016_000000	Discipleship and hero-worship are not stable relations.	Discipleship and hero worship are not stable relations.
7139_75362_000016_000001	Since the meaning they embody is ideal and radiates from within outward, and since the image to which that meaning is attributed is controlled by a real external object, meaning and image, as time goes on, will necessarily fall apart.	Since the meaning they embody is ideal and radiates from within outward, and since the image to which that meaning is attributed is controlled by a real external object, meaning and image, as time goes on, will necessarily fall apart.
7139_75362_000017_000000	[Sidenote: Automatic idealisation of heroes.]	[Sidenote: Automatic idealisation of heroes.]
7139_75362_000018_000000	A disembodied ideal, however, is unmanageable and vague; it cannot exercise the natural and material suasion proper to a model we are expected to imitate.	A disembodied ideal, however, is unmanageable and vague; it cannot exercise the natural and material suasion proper to a model we are expected to imitate.
7139_75362_000018_000001	The more fruitful procedure is accordingly to idealise some historical figure or natural force, to ignore or minimise in it what does not seem acceptable, and to retain at the same time all the unobjectionable personal colour and all the graphic traits that can help to give that model a persuasive vitality.	The more fruitful procedure is accordingly to idealise some historical figure or natural force, to ignore or minimise in it what does not seem acceptable, and to retain at the same time all the unobjectionable personal colour and all the graphic traits that can help to give that model a persuasive vitality.
7139_75362_000018_000002	This poetic process is all the more successful for being automatic.	This poetic process is all the more successful for being automatic.
7139_75362_000018_000003	It is in this way that heroes and gods have been created.	It is in this way that heroes and gods have been created.
7139_75362_000018_000004	A legend or fable lying in the mind and continually repeated gained insensibly at each recurrence some new eloquence, some fresh congruity with the emotion it had already awakened, and was destined to awake again.	A legend or fable lying in the mind and continually repeated gained insensibly at each recurrence some new eloquence, some fresh congruity with the emotion it had already awakened, and was destined to awake again.
