2751_142362_000004_000000	Chapter XXIII	Chapter twenty three
2751_142362_000017_000000	"I know what to do, never fear," said Bartle, moving on.	"I know what to do, never fear," said Bartle, moving on.
2751_142362_000017_000001	"The news will be good sauce to my dinner.	"The news will be good sauce to my dinner.
2751_142362_000017_000002	Aye, aye, my boy, you'll get on.	Aye, aye, my boy, you'll get on.
2751_142362_000018_000000	When they got upstairs, the question which Arthur had left unsettled, as to who was to be president, and who vice, was still under discussion, so that Adam's entrance passed without remark.	When they got upstairs, the question which Arthur had left unsettled, as to who was to be president, and who vice, was still under discussion, so that Adam's entrance passed without remark.
2751_142362_000019_000001	I wasn't butler fifteen year without learning the rights and the wrongs about dinner."	I wasn't butler fifteen year without learning the rights and the wrongs about dinner."
2751_142362_000024_000000	"Why, the broadest man," said Bartle; "and then he won't take up other folks' room; and the next broadest must sit at bottom."	"Why, the broadest man," said Bartle; "and then he won't take up other folks' room; and the next broadest must sit at bottom."
2751_142362_000025_000000	This happy mode of settling the dispute produced much laughter--a smaller joke would have sufficed for that Mr. Casson, however, did not feel it compatible with his dignity and superior knowledge to join in the laugh, until it turned out that he was fixed on as the second broadest man.	This happy mode of settling the dispute produced much laughter-a smaller joke would have sufficed for that mr Casson, however, did not feel it compatible with his dignity and superior knowledge to join in the laugh, until it turned out that he was fixed on as the second broadest man.
2751_142362_000025_000001	Martin Poyser the younger, as the broadest, was to be president, and Mr. Casson, as next broadest, was to be vice.	Martin Poyser the younger, as the broadest, was to be president, and mr Casson, as next broadest, was to be vice.
2751_142362_000026_000000	Owing to this arrangement, Adam, being, of course, at the bottom of the table, fell under the immediate observation of Mr. Casson, who, too much occupied with the question of precedence, had not hitherto noticed his entrance.	Owing to this arrangement, Adam, being, of course, at the bottom of the table, fell under the immediate observation of mr Casson, who, too much occupied with the question of precedence, had not hitherto noticed his entrance.
2751_142362_000026_000001	Mr. Casson, we have seen, considered Adam "rather lifted up and peppery-like": he thought the gentry made more fuss about this young carpenter than was necessary; they made no fuss about Mr. Casson, although he had been an excellent butler for fifteen years.	mr Casson, we have seen, considered Adam "rather lifted up and peppery like": he thought the gentry made more fuss about this young carpenter than was necessary; they made no fuss about mr Casson, although he had been an excellent butler for fifteen years.
2751_142362_000028_000000	"No, Mr. Casson," said Adam, in his strong voice, that could be heard along the table; "I've never dined here before, but I come by Captain Donnithorne's wish, and I hope it's not disagreeable to anybody here."	"No, mr Casson," said Adam, in his strong voice, that could be heard along the table; "I've never dined here before, but I come by Captain Donnithorne's wish, and I hope it's not disagreeable to anybody here."
2751_142362_000029_000000	"Nay, nay," said several voices at once, "we're glad ye're come.	"Nay, nay," said several voices at once, "we're glad ye're come.
2751_142362_000030_000001	"That's a song I'm uncommon fond on."	"That's a song I'm uncommon fond on."
2751_142362_000031_000001	I've never cared about singing myself; I've had something better to do.	I've never cared about singing myself; I've had something better to do.
2751_142362_000031_000003	But a second cousin o' mine, a drovier, was a rare hand at remembering the Scotch tunes.	But a second cousin o' mine, a drovier, was a rare hand at remembering the Scotch tunes.
2751_142362_000031_000004	He'd got nothing else to think on."	He'd got nothing else to think on."
2751_142362_000032_000001	They're fit for nothing but to frighten the birds with--that's to say, the English birds, for the Scotch birds may sing Scotch for what I know.	They're fit for nothing but to frighten the birds with-that's to say, the English birds, for the Scotch birds may sing Scotch for what I know.
2751_142362_000034_000000	"Why, the Scotch tunes are just like a scolding, nagging woman," Bartle went on, without deigning to notice Mr. Craig's remark.	"Why, the Scotch tunes are just like a scolding, nagging woman," Bartle went on, without deigning to notice mr Craig's remark.
2751_142362_000035_000000	Adam minded the less about sitting by Mr. Casson, because this position enabled him to see Hetty, who was not far off him at the next table. Hetty, however, had not even noticed his presence yet, for she was giving angry attention to Totty, who insisted on drawing up her feet on to the bench in antique fashion, and thereby threatened to make dusty marks on Hetty's pink-and-white frock.	Adam minded the less about sitting by mr Casson, because this position enabled him to see Hetty, who was not far off him at the next table. Hetty, however, had not even noticed his presence yet, for she was giving angry attention to Totty, who insisted on drawing up her feet on to the bench in antique fashion, and thereby threatened to make dusty marks on Hetty's pink and white frock.
2751_142362_000035_000001	No sooner were the little fat legs pushed down than up they came again, for Totty's eyes were too busy in staring at the large dishes to see where the plum pudding was for her to retain any consciousness of her legs.	No sooner were the little fat legs pushed down than up they came again, for Totty's eyes were too busy in staring at the large dishes to see where the plum pudding was for her to retain any consciousness of her legs.
2751_142362_000035_000002	Hetty got quite out of patience, and at last, with a frown and pout, and gathering tears, she said, "Oh dear, Aunt, I wish you'd speak to Totty; she keeps putting her legs up so, and messing my frock."	Hetty got quite out of patience, and at last, with a frown and pout, and gathering tears, she said, "Oh dear, Aunt, I wish you'd speak to Totty; she keeps putting her legs up so, and messing my frock."
2751_142362_000037_000000	Adam was looking at Hetty, and saw the frown, and pout, and the dark eyes seeming to grow larger with pettish half-gathered tears.	Adam was looking at Hetty, and saw the frown, and pout, and the dark eyes seeming to grow larger with pettish half gathered tears.
2751_142362_000037_000002	And it was quite true that if Hetty had been plain, she would have looked very ugly and unamiable at that moment, and no one's moral judgment upon her would have been in the least beguiled.	And it was quite true that if Hetty had been plain, she would have looked very ugly and unamiable at that moment, and no one's moral judgment upon her would have been in the least beguiled.
2751_142362_000037_000003	But really there was something quite charming in her pettishness: it looked so much more like innocent distress than ill humour; and the severe Adam felt no movement of disapprobation; he only felt a sort of amused pity, as if he had seen a kitten setting up its back, or a little bird with its feathers ruffled.	But really there was something quite charming in her pettishness: it looked so much more like innocent distress than ill humour; and the severe Adam felt no movement of disapprobation; he only felt a sort of amused pity, as if he had seen a kitten setting up its back, or a little bird with its feathers ruffled.
2751_142362_000037_000004	He could not gather what was vexing her, but it was impossible to him to feel otherwise than that she was the prettiest thing in the world, and that if he could have his way, nothing should ever vex her any more.	He could not gather what was vexing her, but it was impossible to him to feel otherwise than that she was the prettiest thing in the world, and that if he could have his way, nothing should ever vex her any more.
2751_142362_000037_000005	And presently, when Totty was gone, she caught his eye, and her face broke into one of its brightest smiles, as she nodded to him.	And presently, when Totty was gone, she caught his eye, and her face broke into one of its brightest smiles, as she nodded to him.
2751_142362_000037_000006	It was a bit of flirtation--she knew Mary Burge was looking at them.	It was a bit of flirtation-she knew Mary Burge was looking at them.
