8474_281188_000000_000000	This speech and plan were approved of by all, and they were soon ready.	This speech and plan were approved of by all, and they were soon ready.	false	0	3.45	22.689552
8474_281188_000013_000000	Morgiana, remembering Ali Baba's orders, got his bathing linen ready, and ordered Abdalla to set on the pot for the broth; but while she was preparing it the lamp went out, and there was no more oil in the house, nor any candles.	Morgiana, remembering Ali Baba's orders, got his bathing linen ready, and ordered Abdalla to set on the pot for the broth; but while she was preparing it the lamp went out, and there was no more oil in the house, nor any candles.	false	378.44	391.78	23.003664
8474_281188_000013_000001	What to do she did not know, for the broth must be made.	What to do she did not know, for the broth must be made.	true	392.54	395.98	24.81593
8474_281188_000013_000002	Abdalla, seeing her very uneasy, said, "Do not fret and tease yourself, but go into the yard, and take some oil out of one of the jars."	Abdalla, seeing her very uneasy, said, "Do not fret and tease yourself, but go into the yard, and take some oil out of one of the jars."	true	396.44	404.77	21.552061
8474_281188_000014_000000	Morgiana thanked Abdalla for his advice, took the oil-pot, and went into the yard; when, as she came nigh the first jar, the robber within said softly, "Is it time?"	Morgiana thanked Abdalla for his advice, took the oil pot, and went into the yard; when, as she came nigh the first jar, the robber within said softly, "Is it time?"	true	405.53	416.11	23.00583
8474_281188_000015_000000	Though naturally much surprised at finding a man in the jar instead of the oil she wanted, she immediately felt the importance of keeping silence, as Ali Baba, his family, and herself were in great danger; and, collecting herself, without showing the least emotion, she answered, "Not yet, but presently." She went quietly in this manner to all the jars, giving the same answer, till she came to the jar of oil.	Though naturally much surprised at finding a man in the jar instead of the oil she wanted, she immediately felt the importance of keeping silence, as Ali Baba, his family, and herself were in great danger; and, collecting herself, without showing the least emotion, she answered, "Not yet, but presently." She went quietly in this manner to all the jars, giving the same answer, till she came to the jar of oil.	true	417.26	441.61	22.092545
8474_281188_000016_000000	By this means Morgiana found that her master Ali Baba had admitted thirty-eight robbers into his house, and that this pretended oil merchant was their captain.	By this means Morgiana found that her master Ali Baba had admitted thirty eight robbers into his house, and that this pretended oil merchant was their captain.	true	442.94	451.39	21.82526
8474_281188_000016_000001	She made what haste she could to fill her oil-pot, and returned into the kitchen, where, as soon as she had lighted her lamp, she took a great kettle, went again to the oil-jar, filled the kettle, set it on a large wood fire, and as soon as it boiled, went and poured enough into every jar to stifle and destroy the robber within.	She made what haste she could to fill her oil pot, and returned into the kitchen, where, as soon as she had lighted her lamp, she took a great kettle, went again to the oil jar, filled the kettle, set it on a large wood fire, and as soon as it boiled, went and poured enough into every jar to stifle and destroy the robber within.	false	451.76	470.92	23.234299
8474_281188_000017_000000	When this action, worthy of the courage of Morgiana, was executed without any noise, as she had projected, she returned into the kitchen with the empty kettle; and having put out the great fire, she had made to boil the oil, and leaving just enough to make the broth, put out the lamp also, and remained silent, resolving not to go to rest till she had observed what might follow through a window of the kitchen, which opened into the yard.	When this action, worthy of the courage of Morgiana, was executed without any noise, as she had projected, she returned into the kitchen with the empty kettle; and having put out the great fire, she had made to boil the oil, and leaving just enough to make the broth, put out the lamp also, and remained silent, resolving not to go to rest till she had observed what might follow through a window of the kitchen, which opened into the yard.	false	471.98	497.08	23.354485
8474_281188_000018_000000	She had not waited long before the captain of the robbers got up, opened the window, and finding no light, and hearing no noise, or any one stirring in the house, gave the appointed signal by throwing little stones, several of which hit the jars, as he doubted not by the sound they gave.	She had not waited long before the captain of the robbers got up, opened the window, and finding no light, and hearing no noise, or any one stirring in the house, gave the appointed signal by throwing little stones, several of which hit the jars, as he doubted not by the sound they gave.	true	498.41	515.44	22.513271
8474_281188_000018_000001	He then listened, but not hearing or perceiving anything whereby he could judge that his companions stirred, he began to grow very uneasy, threw stones a second and also a third time, and could not comprehend the reason that none of them should answer his signal.	He then listened, but not hearing or perceiving anything whereby he could judge that his companions stirred, he began to grow very uneasy, threw stones a second and also a third time, and could not comprehend the reason that none of them should answer his signal.	true	516.5	531.67	21.297756
8474_281188_000018_000002	Much alarmed, he went softly down into the yard, and going to the first jar, while asking the robber, whom he thought alive, if he was in readiness, smelled the hot boiled oil, which sent forth a steam out of the jar.	Much alarmed, he went softly down into the yard, and going to the first jar, while asking the robber, whom he thought alive, if he was in readiness, smelled the hot boiled oil, which sent forth a steam out of the jar.	true	532.28	546.25	21.31366
8474_281188_000018_000003	Hence he suspected that his plot to murder Ali Baba, and plunder his house, was discovered.	Hence he suspected that his plot to murder Ali Baba, and plunder his house, was discovered.	true	547.37	553.27	24.13055
8474_281188_000018_000004	Examining all the jars, one after another, he found that all his gang were dead; and, enraged to despair at having failed in his design, he forced the lock of a door that led from the yard to the garden, and, climbing over the walls, made his escape.	Examining all the jars, one after another, he found that all his gang were dead; and, enraged to despair at having failed in his design, he forced the lock of a door that led from the yard to the garden, and, climbing over the walls, made his escape.	true	554.42	570.16	21.280485
8474_281188_000019_000000	When Morgiana saw him depart, she went to bed, satisfied and pleased to have succeeded so well in saving her master and family.	When Morgiana saw him depart, she went to bed, satisfied and pleased to have succeeded so well in saving her master and family.	true	571.13	578.56	22.300678
8474_281188_000020_000000	Ali Baba rose before day, and, followed by his slave, went to the baths, entirely ignorant of the important event which had happened at home.	Ali Baba rose before day, and, followed by his slave, went to the baths, entirely ignorant of the important event which had happened at home.	true	579.77	587.98	22.372118
8474_281188_000021_000000	When he returned from the baths, he was very much surprised to see the oil jars, and that the merchant was not gone with the mules. He asked Morgiana, who opened the door, the reason of it.	When he returned from the baths, he was very much surprised to see the oil jars, and that the merchant was not gone with the mules. He asked Morgiana, who opened the door, the reason of it.	true	589.19	599.92	22.163656
8474_281188_000021_000001	"My good master," answered she, "God preserve you and all your family.	"My good master," answered she, "God preserve you and all your family.	true	600.59	605.05	22.143105
8474_281188_000021_000002	You will be better informed of what you wish to know when you have seen what I have to show you, if you will follow me."	You will be better informed of what you wish to know when you have seen what I have to show you, if you will follow me."	true	605.12	610.63	21.53863
8474_281188_000022_000000	As soon as Morgiana had shut the door, Ali Baba followed her, when she requested him to look into the first jar, and see if there was any oil.	As soon as Morgiana had shut the door, Ali Baba followed her, when she requested him to look into the first jar, and see if there was any oil.	true	611.9	620.14	22.923477
8474_281188_000022_000001	Ali Baba did so, and seeing a man, started back in alarm, and cried out.	Ali Baba did so, and seeing a man, started back in alarm, and cried out.	true	620.93	626.2	22.697927
8474_281188_000022_000002	"Do not be afraid," said Morgiana, "the man you see there can neither do you nor anybody else any harm.	"Do not be afraid," said Morgiana, "the man you see there can neither do you nor anybody else any harm.	true	626.45	633.16	21.872864
8474_281188_000022_000003	He is dead." "Ah, Morgiana," said Ali Baba, "what is it you show me?	He is dead." "Ah, Morgiana," said Ali Baba, "what is it you show me?	false	633.2	639.3	22.996449
8474_281188_000022_000004	Explain yourself."	Explain yourself."	true	639.3	640.72	20.996878
8474_281188_000022_000005	"I will," replied Morgiana.	"I will," replied Morgiana.	true	641.12	643.23	24.048777
8474_281188_000022_000006	"Moderate your astonishment, and do not excite the curiosity of your neighbors; for it is of great importance to keep this affair secret.	"Moderate your astonishment, and do not excite the curiosity of your neighbors; for it is of great importance to keep this affair secret.	true	643.23	650.56	26.726204
8474_281188_000022_000007	Look into all the other jars."	Look into all the other jars."	true	650.69	652.48	24.820198
8474_281188_000023_000000	Ali Baba examined all the other jars, one after another; and when he came to that which had the oil in, found it prodigiously sunk, and stood for some time motionless, sometimes looking at the jars, and sometimes at Morgiana, without saying a word, so great was his surprise.	Ali Baba examined all the other jars, one after another; and when he came to that which had the oil in, found it prodigiously sunk, and stood for some time motionless, sometimes looking at the jars, and sometimes at Morgiana, without saying a word, so great was his surprise.	true	653.12	670.12	23.295212
8474_281188_000024_000000	At last, when he had recovered himself, he said, "And what is become of the merchant?"	At last, when he had recovered himself, he said, "And what is become of the merchant?"	true	671.36	676.48	22.933514
8474_281188_000025_000000	"Merchant!" answered she; "he is as much one as I am.	"Merchant!" answered she; "he is as much one as I am.	true	676.67	680.62	23.015203
8474_281188_000025_000001	I will tell you who he is, and what is become of him; but you had better hear the story in your own chamber; for it is time for your health that you had your broth after your bathing."	I will tell you who he is, and what is become of him; but you had better hear the story in your own chamber; for it is time for your health that you had your broth after your bathing."	false	680.72	689.89	19
8474_281188_000026_000000	Morgiana then told him all she had done, from the first observing the mark upon the house, to the destruction of the robbers, and the flight of their captain.	Morgiana then told him all she had done, from the first observing the mark upon the house, to the destruction of the robbers, and the flight of their captain.	false	691.07	699.52	21.160347
8474_281188_000027_000000	On hearing of these brave deeds from the lips of Morgiana, Ali Baba said to her, "God, by your means, has delivered me from the snares these robbers laid for my destruction.	On hearing of these brave deeds from the lips of Morgiana, Ali Baba said to her, "God, by your means, has delivered me from the snares these robbers laid for my destruction.	true	700.25	710.65	24.203041
8474_281188_000027_000001	I owe, therefore, my life to you; and, for the first token of my acknowledgment, give you your liberty from this moment, till I can complete your recompense, as I intend."	I owe, therefore, my life to you; and, for the first token of my acknowledgment, give you your liberty from this moment, till I can complete your recompense, as I intend."	true	710.99	721.84	21.51474
8474_281188_000028_000000	Ali Baba's garden was very long, and shaded at the further end by a great number of large trees.	Ali Baba's garden was very long, and shaded at the further end by a great number of large trees.	true	722.69	728.68	23.052227
8474_281188_000028_000001	Near these he and the slave Abdalla dug a trench, long and wide enough to hold the bodies of the robbers; and as the earth was light, they were not long in doing it.	Near these he and the slave Abdalla dug a trench, long and wide enough to hold the bodies of the robbers; and as the earth was light, they were not long in doing it.	true	728.96	739.15	22.555239
8474_281188_000028_000002	When this was done, Ali Baba hid the jars and weapons; and as he had no occasion for the mules, he sent them at different times to be sold in the market by his slave.	When this was done, Ali Baba hid the jars and weapons; and as he had no occasion for the mules, he sent them at different times to be sold in the market by his slave.	true	739.49	749.92	22.748964
8474_281188_000029_000000	While Ali Baba took these measures, the captain of the forty robbers returned to the forest with inconceivable mortification. He did not stay long: the loneliness of the gloomy cavern became frightful to him.	While Ali Baba took these measures, the captain of the forty robbers returned to the forest with inconceivable mortification. He did not stay long: the loneliness of the gloomy cavern became frightful to him.	true	750.14	762.19	21.861921
8474_281188_000029_000001	He determined, however, to avenge the fate of his companions, and to accomplish the death of Ali Baba.	He determined, however, to avenge the fate of his companions, and to accomplish the death of Ali Baba.	true	762.8	768.19	22
8474_281188_000029_000002	For this purpose he returned to the town and took a lodging in a khan, and disguised himself as a merchant in silks.	For this purpose he returned to the town and took a lodging in a khan, and disguised himself as a merchant in silks.	true	768.68	775.45	23.464071
8474_281188_000029_000003	Under this assumed character, he gradually conveyed a great many sorts of rich stuffs and fine linen to his lodging from the cavern, but with all the necessary precautions to conceal the place whence he brought them. In order to dispose of the merchandise, when he had thus amassed them together, he took a warehouse, which happened to be opposite to Cassim's, which Ali Baba's son had occupied since the death of his uncle.	Under this assumed character, he gradually conveyed a great many sorts of rich stuffs and fine linen to his lodging from the cavern, but with all the necessary precautions to conceal the place whence he brought them. In order to dispose of the merchandise, when he had thus amassed them together, he took a warehouse, which happened to be opposite to Cassim's, which Ali Baba's son had occupied since the death of his uncle.	true	775.88	799.72	22.19558
8474_281188_000030_000000	He took the name of Cogia Houssain, and, as a newcomer, was, according to custom, extremely civil and complaisant to all the merchants his neighbors.	He took the name of Cogia Houssain, and, as a newcomer, was, according to custom, extremely civil and complaisant to all the merchants his neighbors.	false	800.39	809.59	22.954487
8474_281188_000030_000001	Ali Baba's son was, from his vicinity, one of the first to converse with Cogia Houssain, who strove to cultivate his friendship more particularly.	Ali Baba's son was, from his vicinity, one of the first to converse with Cogia Houssain, who strove to cultivate his friendship more particularly.	false	810.02	818.41	21.389671
8474_281188_000030_000002	Two or three days after he was settled, Ali Baba came to see his son, and the captain of the robbers recognized him at once, and soon learned from his son who he was.	Two or three days after he was settled, Ali Baba came to see his son, and the captain of the robbers recognized him at once, and soon learned from his son who he was.	true	819.05	828.94	22.074308
8474_281188_000030_000003	After this he increased his assiduities, caressed him in the most engaging manner, made him some small presents, and often asked him to dine and sup with him, when he treated him very handsomely.	After this he increased his assiduities, caressed him in the most engaging manner, made him some small presents, and often asked him to dine and sup with him, when he treated him very handsomely.	true	829.7	840.85	21.274553
8474_281188_000031_000000	Ali Baba's son did not choose to lie under such obligation to Cogia Houssain; but was so much straitened for want of room in his house that he could not entertain him.	Ali Baba's son did not choose to lie under such obligation to Cogia Houssain; but was so much straitened for want of room in his house that he could not entertain him.	false	841.88	851.23	21.928066
8474_281188_000031_000001	He therefore acquainted his father, Ali Baba, with his wish to invite him in return.	He therefore acquainted his father, Ali Baba, with his wish to invite him in return.	true	851.78	856.75	22.824059
8474_281188_000032_000000	Ali Baba with great pleasure took the treat upon himself.	Ali Baba with great pleasure took the treat upon himself.	true	857.9	861.25	24.298555
8474_281188_000032_000001	"Son," said he, "to-morrow being Friday, which is a day that the shops of such great merchants as Cogia Houssain and yourself are shut, get him to accompany you, and as you pass by my door, call in.	"Son," said he, "to morrow being Friday, which is a day that the shops of such great merchants as Cogia Houssain and yourself are shut, get him to accompany you, and as you pass by my door, call in.	false	861.62	873.46	21.764727
8474_281188_000032_000002	I will go and order Morgiana to provide a supper."	I will go and order Morgiana to provide a supper."	false	873.74	876.58	24.895916
8474_281188_000033_000000	The next day Ali Baba's son and Cogia Houssain met by appointment, took their walk, and as they returned, Ali Baba's son led Cogia Houssain through the street where his father lived, and when they came to the house, stopped and knocked at the door.	The next day Ali Baba's son and Cogia Houssain met by appointment, took their walk, and as they returned, Ali Baba's son led Cogia Houssain through the street where his father lived, and when they came to the house, stopped and knocked at the door.	false	877.55	891.73	22.919601
8474_281188_000033_000001	"This, sir," said he, "is my father's house, who, from the account I have given him of your friendship, charged me to procure him the honor of your acquaintance; and I desire you to add this pleasure to those for which I am already indebted to you."	"This, sir," said he, "is my father's house, who, from the account I have given him of your friendship, charged me to procure him the honor of your acquaintance; and I desire you to add this pleasure to those for which I am already indebted to you."	true	892.43	905.68	22.309456
8474_281188_000034_000000	Though it was the sole aim of Cogia Houssain to introduce himself into Ali Baba's house that he might kill him, without hazarding his own life or making any noise, yet he excused himself and offered to take his leave; but a slave having opened the door, Ali Baba's son took him obligingly by the hand, and, in a manner, forced him in.	Though it was the sole aim of Cogia Houssain to introduce himself into Ali Baba's house that he might kill him, without hazarding his own life or making any noise, yet he excused himself and offered to take his leave; but a slave having opened the door, Ali Baba's son took him obligingly by the hand, and, in a manner, forced him in.	false	906.77	925.84	21.669909
8474_281188_000035_000000	Ali Baba received Cogia Houssain with a smiling countenance, and in the most obliging manner he could wish.	Ali Baba received Cogia Houssain with a smiling countenance, and in the most obliging manner he could wish.	false	927.38	933.52	22
8474_281188_000035_000001	He thanked him for all the favors he had done his son; adding withal, the obligation was the greater as he was a young man, not much acquainted with the world, and that he might contribute to his information.	He thanked him for all the favors he had done his son; adding withal, the obligation was the greater as he was a young man, not much acquainted with the world, and that he might contribute to his information.	false	933.89	945.22	21.65136
8474_281188_000036_000000	Cogia Houssain returned the compliment by assuring Ali Baba that though his son might not have acquired the experience of older men, he had good sense equal to the experience of many others. After a little more conversation on different subjects, he offered again to take his leave, when Ali Baba, stopping him, said, "Where are you going, sir, in so much haste?	Cogia Houssain returned the compliment by assuring Ali Baba that though his son might not have acquired the experience of older men, he had good sense equal to the experience of many others. After a little more conversation on different subjects, he offered again to take his leave, when Ali Baba, stopping him, said, "Where are you going, sir, in so much haste?	false	946.13	966.49	21.99359
8474_281188_000036_000001	I beg you would do me the honor to sup with me, though my entertainment may not be worthy of your acceptance; such as it is, I heartily offer it." "Sir," replied Cogia Houssain, "I am thoroughly persuaded of your good- will; but the truth is, I can eat no victuals that have any salt in them; therefore judge how I should feel at your table." "If that is the only reason," said Ali Baba, "it ought not to deprive me of the honor of your company; for, in the first place, there is no salt ever put into my bread, and as to the meat we shall have to-night, I promise you there shall be none in that. Therefore you must do me the favor to stay.	I beg you would do me the honor to sup with me, though my entertainment may not be worthy of your acceptance; such as it is, I heartily offer it." "Sir," replied Cogia Houssain, "I am thoroughly persuaded of your good will; but the truth is, I can eat no victuals that have any salt in them; therefore judge how I should feel at your table." "If that is the only reason," said Ali Baba, "it ought not to deprive me of the honor of your company; for, in the first place, there is no salt ever put into my bread, and as to the meat we shall have to night, I promise you there shall be none in that. Therefore you must do me the favor to stay.	false	966.56	1002.7	22.173502
8474_281188_000036_000002	I will return immediately."	I will return immediately."	true	1002.83	1004.44	22.910862
8474_281188_000037_000000	Ali Baba went into the kitchen, and ordered Morgiana to put no salt in the meat that was to be dressed that night; and to make quickly two or three ragouts besides what he had ordered, but be sure to put no salt in them.	Ali Baba went into the kitchen, and ordered Morgiana to put no salt in the meat that was to be dressed that night; and to make quickly two or three ragouts besides what he had ordered, but be sure to put no salt in them.	false	1006.16	1018.36	23.093401
8474_281188_000038_000000	Morgiana, who was always ready to obey her master, could not help being surprised at his strange order.	Morgiana, who was always ready to obey her master, could not help being surprised at his strange order.	true	1019.27	1024.99	21.334324
8474_281188_000038_000001	"Who is this strange man," said she, "who eats no salt with his meat?	"Who is this strange man," said she, "who eats no salt with his meat?	true	1025.48	1029.94	21.856993
8474_281188_000038_000002	Your supper will be spoiled if I keep it back so long." "Do not be angry, Morgiana," replied Ali Baba; "he is an honest man, therefore do as I bid you."	Your supper will be spoiled if I keep it back so long." "Do not be angry, Morgiana," replied Ali Baba; "he is an honest man, therefore do as I bid you."	true	1029.95	1039.06	23.244724
8474_281188_000039_000000	Morgiana obeyed, though with no little reluctance, and had a curiosity to see this man who ate no salt.	Morgiana obeyed, though with no little reluctance, and had a curiosity to see this man who ate no salt.	true	1039.67	1045.84	21.995983
8474_281188_000039_000001	To this end, when she had finished what she had to do in the kitchen, she helped Abdalla to carry up the dishes; and looking at Cogia Houssain, knew him at first sight, notwithstanding his disguise, to be the captain of the robbers, and examining him very carefully, perceived that he had a dagger under his garment.	To this end, when she had finished what she had to do in the kitchen, she helped Abdalla to carry up the dishes; and looking at Cogia Houssain, knew him at first sight, notwithstanding his disguise, to be the captain of the robbers, and examining him very carefully, perceived that he had a dagger under his garment.	false	1046.06	1063.42	22.527353
