1734_142311_000000_000000	'No,' said he.	'No,' said he.	false	0	0.99	21.227058
1734_142311_000006_000003	Margaret tried to make acquaintances with one or two of them, while her father strove to raise the widow's thoughts into some higher channel than that of mere helpless querulousness.	Margaret tried to make acquaintances with one or two of them, while her father strove to raise the widow's thoughts into some higher channel than that of mere helpless querulousness.	true	91.19	99.97	10
1734_142311_000006_000004	She found that the children were truer and simpler mourners than the widow. Daddy had been a kind daddy to them; each could tell, in their eager stammering way, of some tenderness shown some indulgence granted by the lost father.	She found that the children were truer and simpler mourners than the widow. Daddy had been a kind daddy to them; each could tell, in their eager stammering way, of some tenderness shown some indulgence granted by the lost father.	false	100.7	115.08	15
1734_142311_000007_000000	'Is yon thing upstairs really him?	'Is yon thing upstairs really him?	false	115.08	118.02	19
1734_142311_000007_000001	it doesna look like him.	it doesna look like him.	false	118.02	119.7	23.039417
1734_142311_000007_000002	I'm feared on it, and I never was feared o' daddy.'	I'm feared on it, and I never was feared o' daddy.'	false	119.7	122.56	10
1734_142311_000008_000000	Margaret's heart bled to hear that the mother, in her selfish requirement of sympathy, had taken her children upstairs to see their disfigured father.	Margaret's heart bled to hear that the mother, in her selfish requirement of sympathy, had taken her children upstairs to see their disfigured father.	true	123.11	131.02	12
1734_142311_000008_000001	It was intermingling the coarseness of horror with the profoundness of natural grief.	It was intermingling the coarseness of horror with the profoundness of natural grief.	false	131.33	136.27	17
1734_142311_000008_000002	She tried to turn their thoughts in some other direction; on what they could do for mother; on what--for this was a more efficacious way of putting it--what father would have wished them to do.	She tried to turn their thoughts in some other direction; on what they could do for mother; on what-for this was a more efficacious way of putting it-what father would have wished them to do.	false	136.43	146.44	16
1734_142311_000008_000003	Margaret was more successful than Mr. Hale in her efforts.	Margaret was more successful than mr Hale in her efforts.	true	147.32	150.43	12
1734_142311_000008_000004	The children seeing their little duties lie in action close around them, began to try each one to do something that she suggested towards redding up the slatternly room.	The children seeing their little duties lie in action close around them, began to try each one to do something that she suggested towards redding up the slatternly room.	true	150.71	160.87	12
1734_142311_000008_000005	But her father set too high a standard, and too abstract a view, before the indolent invalid.	But her father set too high a standard, and too abstract a view, before the indolent invalid.	false	161.24	166.09	13
1734_142311_000008_000006	She could not rouse her torpid mind into any vivid imagination of what her husband's misery might have been before he had resorted to the last terrible step; she could only look upon it as it affected herself; she could not enter into the enduring mercy of the God who had not specially interposed to prevent the water from drowning her prostrate husband; and although she was secretly blaming her husband for having fallen into such drear despair, and denying that he had any excuse for his last rash act, she was inveterate in her abuse of all who could by any possibility be supposed to have driven him to such desperation.	She could not rouse her torpid mind into any vivid imagination of what her husband's misery might have been before he had resorted to the last terrible step; she could only look upon it as it affected herself; she could not enter into the enduring mercy of the God who had not specially interposed to prevent the water from drowning her prostrate husband; and although she was secretly blaming her husband for having fallen into such drear despair, and denying that he had any excuse for his last rash act, she was inveterate in her abuse of all who could by any possibility be supposed to have driven him to such desperation.	false	166.88	203.23	13
1734_142311_000008_000007	The masters--Mr. Thornton in particular, whose mill had been attacked by Boucher, and who, after the warrant had been issued for his apprehension on the charge of rioting, had caused it to be withdrawn,--the Union, of which Higgins was the representative to the poor woman,--the children so numerous, so hungry, and so noisy--all made up one great army of personal enemies, whose fault it was that she was now a helpless widow.	The masters-mr Thornton in particular, whose mill had been attacked by Boucher, and who, after the warrant had been issued for his apprehension on the charge of rioting, had caused it to be withdrawn,--the Union, of which Higgins was the representative to the poor woman,--the children so numerous, so hungry, and so noisy-all made up one great army of personal enemies, whose fault it was that she was now a helpless widow.	false	203.72	230.56	16
1734_142311_000009_000000	Margaret heard enough of this unreasonableness to dishearten her; and when they came away she found it impossible to cheer her father.	Margaret heard enough of this unreasonableness to dishearten her; and when they came away she found it impossible to cheer her father.	true	231.11	238.39	15
1734_142311_000010_000000	'It is the town life,' said she.	'It is the town life,' said she.	true	239.03	241.06	14
1734_142311_000010_000001	'Their nerves are quickened by the haste and bustle and speed of everything around them, to say nothing of the confinement in these pent-up houses, which of itself is enough to induce depression and worry of spirits.	'Their nerves are quickened by the haste and bustle and speed of everything around them, to say nothing of the confinement in these pent up houses, which of itself is enough to induce depression and worry of spirits.	true	241.28	253.69	15
1734_142311_000010_000002	Now in the country, people live so much more out of doors, even children, and even in the winter.'	Now in the country, people live so much more out of doors, even children, and even in the winter.'	true	254.09	259.24	12
1734_142311_000011_000000	'But people must live in towns.	'But people must live in towns.	true	259.61	261.64	15
1734_142311_000011_000001	And in the country some get such stagnant habits of mind that they are almost fatalists.'	And in the country some get such stagnant habits of mind that they are almost fatalists.'	true	261.77	266.38	10
1734_142311_000012_000000	'Yes; I acknowledge that.	'Yes; I acknowledge that.	true	266.96	268.575	12
1734_142311_000012_000001	I suppose each mode of life produces its own trials and its own temptations.	I suppose each mode of life produces its own trials and its own temptations.	true	268.575	273.4	11
1734_142311_000012_000002	The dweller in towns must find it as difficult to be patient and calm, as the country-bred man must find it to be active, and equal to unwonted emergencies.	The dweller in towns must find it as difficult to be patient and calm, as the country bred man must find it to be active, and equal to unwonted emergencies.	true	273.56	282.82	13
1734_142311_000012_000003	Both must find it hard to realise a future of any kind; the one because the present is so living and hurrying and close around him; the other because his life tempts him to revel in the mere sense of animal existence, not knowing of, and consequently not caring for any pungency of pleasure for the attainment of which he can plan, and deny himself and look forward.'	Both must find it hard to realise a future of any kind; the one because the present is so living and hurrying and close around him; the other because his life tempts him to revel in the mere sense of animal existence, not knowing of, and consequently not caring for any pungency of pleasure for the attainment of which he can plan, and deny himself and look forward.'	true	283.34	306.1	14
1734_142311_000013_000000	'And thus both the necessity for engrossment, and the stupid content in the present, produce the same effects.	'And thus both the necessity for engrossment, and the stupid content in the present, produce the same effects.	false	306.32	313	16
1734_142311_000013_000001	But this poor Mrs. Boucher!	But this poor mrs Boucher!	false	313.88	315.72	19.232471
1734_142311_000013_000002	how little we can do for her.'	how little we can do for her.'	true	315.72	317.68	10
1734_142311_000014_000000	'And yet we dare not leave her without our efforts, although they may seem so useless.	'And yet we dare not leave her without our efforts, although they may seem so useless.	true	318.68	323.16	10
1734_142311_000014_000001	Oh papa!	Oh papa!	false	323.16	325.14	18.097736
1734_142311_000014_000002	it's a hard world to live in!'	it's a hard world to live in!'	false	325.14	327.07	9
1734_142311_000015_000000	'So it is, my child.	'So it is, my child.	true	327.59	329.175	16
1734_142311_000015_000001	We feel it so just now, at any rate; but we have been very happy, even in the midst of our sorrow.	We feel it so just now, at any rate; but we have been very happy, even in the midst of our sorrow.	false	329.175	334.69	13
1734_142311_000015_000002	What a pleasure Frederick's visit was!'	What a pleasure Frederick's visit was!'	true	334.97	337.21	17
1734_142311_000016_000000	'Yes, that it was,' said Margaret; brightly.	'Yes, that it was,' said Margaret; brightly.	true	338	340.24	13
1734_142311_000016_000001	'It was such a charming, snatched, forbidden thing.' But she suddenly stopped speaking.	'It was such a charming, snatched, forbidden thing.' But she suddenly stopped speaking.	true	340.61	346.38	17.439926
1734_142311_000016_000002	She had spoiled the remembrance of Frederick's visit to herself by her own cowardice.	She had spoiled the remembrance of Frederick's visit to herself by her own cowardice.	true	346.38	350.83	11
1734_142311_000016_000003	Of all faults the one she most despised in others was the want of bravery; the meanness of heart which leads to untruth.	Of all faults the one she most despised in others was the want of bravery; the meanness of heart which leads to untruth.	true	351.38	358.63	17
1734_142311_000016_000004	And here had she been guilty of it!	And here had she been guilty of it!	false	359.18	361.39	15.882713
1734_142311_000016_000005	Then came the thought of Mr. Thornton's cognisance of her falsehood.	Then came the thought of mr Thornton's cognisance of her falsehood.	true	361.88	365.8	13
1734_142311_000016_000006	She wondered if she should have minded detection half so much from any one else.	She wondered if she should have minded detection half so much from any one else.	false	366.26	370.72	9
1734_142311_000016_000007	She tried herself in imagination with her Aunt Shaw and Edith; with her father; with Captain and Mr. Lennox; with Frederick.	She tried herself in imagination with her Aunt Shaw and Edith; with her father; with Captain and mr Lennox; with Frederick.	true	371.51	379.84	19.270823
1734_142311_000016_000008	The thought of the last knowing what she had done, even in his own behalf, was the most painful, for the brother and sister were in the first flush of their mutual regard and love; but even any fall in Frederick's opinion was as nothing to the shame, the shrinking shame she felt at the thought of meeting Mr. Thornton again. And yet she longed to see him, to get it over; to understand where she stood in his opinion.	The thought of the last knowing what she had done, even in his own behalf, was the most painful, for the brother and sister were in the first flush of their mutual regard and love; but even any fall in Frederick's opinion was as nothing to the shame, the shrinking shame she felt at the thought of meeting mr Thornton again. And yet she longed to see him, to get it over; to understand where she stood in his opinion.	false	380.45	404.47	14
1734_142311_000016_000009	Her cheeks burnt as she recollected how proudly she had implied an objection to trade (in the early days of their acquaintance), because it too often led to the deceit of passing off inferior for superior goods, in the one branch; of assuming credit for wealth and resources not possessed, in the other.	Her cheeks burnt as she recollected how proudly she had implied an objection to trade (in the early days of their acquaintance), because it too often led to the deceit of passing off inferior for superior goods, in the one branch; of assuming credit for wealth and resources not possessed, in the other.	true	404.57	421.84	14
1734_142311_000016_000010	She remembered Mr. Thornton's look of calm disdain, as in few words he gave her to understand that, in the great scheme of commerce, all dishonourable ways of acting were sure to prove injurious in the long run, and that, testing such actions simply according to the poor standard of success, there was folly and not wisdom in all such, and every kind of deceit in trade, as well as in other things.	She remembered mr Thornton's look of calm disdain, as in few words he gave her to understand that, in the great scheme of commerce, all dishonourable ways of acting were sure to prove injurious in the long run, and that, testing such actions simply according to the poor standard of success, there was folly and not wisdom in all such, and every kind of deceit in trade, as well as in other things.	false	422.39	445.99	13
1734_142311_000016_000011	She remembered--she, then strong in her own untempted truth--asking him, if he did not think that buying in the cheapest and selling in the dearest market proved some want of the transparent justice which is so intimately connected with the idea of truth: and she had used the word chivalric--and her father had corrected her with the higher word, Christian; and so drawn the argument upon himself, while she sate silent by with a slight feeling of contempt.	She remembered-she, then strong in her own untempted truth-asking him, if he did not think that buying in the cheapest and selling in the dearest market proved some want of the transparent justice which is so intimately connected with the idea of truth: and she had used the word chivalric-and her father had corrected her with the higher word, Christian; and so drawn the argument upon himself, while she sate silent by with a slight feeling of contempt.	true	446.72	475.72	18
1734_142311_000017_000000	No more contempt for her!--no more talk about the chivalric! Henceforward she must feel humiliated and disgraced in his sight.	No more contempt for her!--no more talk about the chivalric! Henceforward she must feel humiliated and disgraced in his sight.	true	477.2	485.65	18
1734_142311_000017_000001	But when should she see him?	But when should she see him?	true	486.44	488.14	16
1734_142311_000017_000002	Her heart leaped up in apprehension at every ring of the door-bell; and yet when it fell down to calmness, she felt strangely saddened and sick at heart at each disappointment.	Her heart leaped up in apprehension at every ring of the door bell; and yet when it fell down to calmness, she felt strangely saddened and sick at heart at each disappointment.	true	488.72	498.42	14
1734_142311_000017_000003	It was very evident that her father expected to see him, and was surprised that he did not come.	It was very evident that her father expected to see him, and was surprised that he did not come.	false	498.42	504.37	18.666248
1734_142311_000017_000004	The truth was, that there were points in their conversation the other night on which they had no time then to enlarge; but it had been understood that if possible on the succeeding evening--if not then, at least the very first evening that Mr. Thornton could command,--they should meet for further discussion.	The truth was, that there were points in their conversation the other night on which they had no time then to enlarge; but it had been understood that if possible on the succeeding evening-if not then, at least the very first evening that mr Thornton could command,--they should meet for further discussion.	false	505.49	522.49	14
1734_142311_000017_000005	Mr. Hale had looked forward to this meeting ever since they had parted.	mr Hale had looked forward to this meeting ever since they had parted.	true	523.55	526.99	14
1734_142311_000017_000006	He had not yet resumed the instruction to his pupils, which he had relinquished at the commencement of his wife's more serious illness, so he had fewer occupations than usual; and the great interest of the last day or so (Boucher's suicide) had driven him back with more eagerness than ever upon his speculations.	He had not yet resumed the instruction to his pupils, which he had relinquished at the commencement of his wife's more serious illness, so he had fewer occupations than usual; and the great interest of the last day or so (Boucher's suicide) had driven him back with more eagerness than ever upon his speculations.	true	527.18	545.47	14
1734_142311_000017_000007	He was restless all evening.	He was restless all evening.	true	545.63	547.395	10
1734_142311_000017_000008	He kept saying, 'I quite expected to have seen Mr. Thornton.	He kept saying, 'I quite expected to have seen mr Thornton.	true	547.395	551.58	20
1734_142311_000017_000009	I think the messenger who brought the book last night must have had some note, and forgot to deliver it.	I think the messenger who brought the book last night must have had some note, and forgot to deliver it.	true	551.58	556.48	14
1734_142311_000017_000010	Do you think there has been any message left to-day?'	Do you think there has been any message left to day?'	true	556.79	559.3	15
1734_142311_000018_000000	'I will go and inquire, papa,' said Margaret, after the changes on these sentences had been rung once or twice.	'I will go and inquire, papa,' said Margaret, after the changes on these sentences had been rung once or twice.	true	560.42	566.62	10
1734_142311_000018_000001	'Stay, there's a ring!' She sate down instantly, and bent her head attentively over her work.	'Stay, there's a ring!' She sate down instantly, and bent her head attentively over her work.	true	566.72	572.35	17
1734_142311_000018_000002	She heard a step on the stairs, but it was only one, and she knew it was Dixon's. She lifted up her head and sighed, and believed she felt glad.	She heard a step on the stairs, but it was only one, and she knew it was Dixon's. She lifted up her head and sighed, and believed she felt glad.	false	572.87	582.28	15
1734_142311_000019_000000	'It's that Higgins, sir.	'It's that Higgins, sir.	true	583.52	584.85	6.301137
1734_142311_000019_000001	He wants to see you, or else Miss Hale.	He wants to see you, or else Miss Hale.	true	584.85	586.92	10
1734_142311_000019_000002	Or it might be Miss Hale first, and then you, sir; for he's in a strange kind of way.	Or it might be Miss Hale first, and then you, sir; for he's in a strange kind of way.	false	586.92	591.67	16
1734_142311_000020_000000	'He had better come up here, Dixon; and then he can see us both, and choose which he likes for his listener.'	'He had better come up here, Dixon; and then he can see us both, and choose which he likes for his listener.'	false	593.09	598.05	11
1734_142311_000021_000000	'Oh! very well, sir.	'Oh! very well, sir.	false	598.05	599.74	15.876154
1734_142311_000021_000001	I've no wish to hear what he's got to say, I'm sure; only, if you could see his shoes, I'm sure you'd say the kitchen was the fitter place.	I've no wish to hear what he's got to say, I'm sure; only, if you could see his shoes, I'm sure you'd say the kitchen was the fitter place.	true	599.96	606.82	14
1734_142311_000022_000000	'He can wipe them, I suppose, said Mr. Hale.	'He can wipe them, I suppose, said mr Hale.	true	607.43	610.39	15
1734_142311_000022_000001	So Dixon flung off, to bid him walk up-stairs.	So Dixon flung off, to bid him walk up stairs.	true	610.67	613.75	15
1734_142311_000022_000002	She was a little mollified, however, when he looked at his feet with a hesitating air; and then, sitting down on the bottom stair, he took off the offending shoes, and without a word walked up-stairs.	She was a little mollified, however, when he looked at his feet with a hesitating air; and then, sitting down on the bottom stair, he took off the offending shoes, and without a word walked up stairs.	true	614.09	624.31	13
1734_142311_000023_000000	'Sarvant, sir!' said he, slicking his hair down when he came into the room.	'Sarvant, sir!' said he, slicking his hair down when he came into the room.	true	625.34	629.79	14.278362
1734_142311_000023_000001	'If hoo'l excuse me (looking at Margaret) for being i' my stockings; I'se been tramping a' day, and streets is none o' th' cleanest.'	'If hoo'l excuse me (looking at Margaret) for being i' my stockings; I'se been tramping a' day, and streets is none o' t h' cleanest.'	false	629.79	638.08	19.41932
1734_142311_000024_000000	Margaret thought that fatigue might account for the change in his manner, for he was unusually quiet and subdued; and he had evidently some difficulty in saying what he came to say.	Margaret thought that fatigue might account for the change in his manner, for he was unusually quiet and subdued; and he had evidently some difficulty in saying what he came to say.	false	638.6	648.13	12
1734_142311_000025_000000	Mr. Hale's ever-ready sympathy with anything of shyness or hesitation, or want of self-possession, made him come to his aid.	mr Hale's ever ready sympathy with anything of shyness or hesitation, or want of self possession, made him come to his aid.	true	649.16	656.67	15
1734_142311_000026_000000	'We shall have tea up directly, and then you'll take a cup with us, Mr. Higgins.	'We shall have tea up directly, and then you'll take a cup with us, mr Higgins.	false	656.67	661.86	19.232769
1734_142311_000026_000001	I am sure you are tired, if you've been out much this wet relaxing day.	I am sure you are tired, if you've been out much this wet relaxing day.	false	661.86	666.01	12
1734_142311_000026_000002	Margaret, my dear, can't you hasten tea?'	Margaret, my dear, can't you hasten tea?'	true	666.23	668.86	18.763344
1734_142311_000027_000000	Margaret could only hasten tea by taking the preparation of it into her own hands, and so offending Dixon, who was emerging out of her sorrow for her late mistress into a very touchy, irritable state.	Margaret could only hasten tea by taking the preparation of it into her own hands, and so offending Dixon, who was emerging out of her sorrow for her late mistress into a very touchy, irritable state.	true	669.56	680.35	12
1734_142311_000027_000001	But Martha, like all who came in contact with Margaret--even Dixon herself, in the long run--felt it a pleasure and an honour to forward any of her wishes; and her readiness, and Margaret's sweet forbearance, soon made Dixon ashamed of herself.	But Martha, like all who came in contact with Margaret-even Dixon herself, in the long run-felt it a pleasure and an honour to forward any of her wishes; and her readiness, and Margaret's sweet forbearance, soon made Dixon ashamed of herself.	true	680.72	693.82	15
1734_142311_000028_000000	'Why master and you must always be asking the lower classes up-stairs, since we came to Milton, I cannot understand.	'Why master and you must always be asking the lower classes up stairs, since we came to Milton, I cannot understand.	false	694.01	700.54	14
1734_142311_000028_000001	Folk at Helstone were never brought higher than the kitchen; and I've let one or two of them know before now that they might think it an honour to be even there.'	Folk at Helstone were never brought higher than the kitchen; and I've let one or two of them know before now that they might think it an honour to be even there.'	false	700.61	709.08	17
1734_142311_000029_000000	Higgins found it easier to unburden himself to one than to two.	Higgins found it easier to unburden himself to one than to two.	false	709.08	713.17	13
1734_142311_000029_000001	After Margaret left the room, he went to the door and assured himself that it was shut.	After Margaret left the room, he went to the door and assured himself that it was shut.	true	713.33	717.075	11
1734_142311_000029_000002	Then he came and stood close to Mr. Hale.	Then he came and stood close to mr Hale.	true	717.075	719.5	14
1734_142311_000030_000000	'Master,' said he, 'yo'd not guess easy what I've been tramping after to-day.	'Master,' said he, 'yo'd not guess easy what I've been tramping after to day.	false	721.07	725.68	18
1734_142311_000030_000001	Special if yo' remember my manner o' talk yesterday.	Special if yo' remember my manner o' talk yesterday.	false	725.96	728.83	14
1734_142311_000030_000002	I've been a seeking work.	I've been a seeking work.	false	729.32	730.59	18
1734_142311_000030_000003	I have' said he.	I have' said he.	false	730.59	731.95	11
1734_142311_000030_000004	'I said to mysel', I'd keep a civil tongue in my head, let who would say what 'em would.	'I said to mysel', I'd keep a civil tongue in my head, let who would say what 'em would.	false	732.47	737.5	15
1734_142311_000030_000005	I'd set my teeth into my tongue sooner nor speak i' haste.	I'd set my teeth into my tongue sooner nor speak i' haste.	false	737.57	741.07	16
1734_142311_000030_000006	For that man's sake--yo' understand,' jerking his thumb back in some unknown direction.	For that man's sake-yo' understand,' jerking his thumb back in some unknown direction.	true	741.26	745.93	14
1734_142311_000031_000000	'No, I don't,' said Mr. Hale, seeing he waited for some kind of assent, and completely bewildered as to who 'that man' could be.	'No, I don't,' said mr Hale, seeing he waited for some kind of assent, and completely bewildered as to who 'that man' could be.	true	746.66	754.93	11
1734_142311_000032_000000	'That chap as lies theer,' said he, with another jerk.	'That chap as lies theer,' said he, with another jerk.	false	755.54	758.835	16
1734_142311_000032_000001	'Him as went and drownded himself, poor chap!	'Him as went and drownded himself, poor chap!	true	758.835	761.38	13
1734_142311_000032_000002	I did na' think he'd got it in him to lie still and let th' water creep o'er him till he died.	I did na' think he'd got it in him to lie still and let t h' water creep o'er him till he died.	false	761.96	767.2	11
1734_142311_000032_000003	Boucher, yo' know.'	Boucher, yo' know.'	false	767.24	768.34	16
1734_142311_000033_000000	'Yes, I know now,' said Mr. Hale. 'Go back to what you were saying: you'd not speak in haste---- '	'Yes, I know now,' said mr Hale. 'Go back to what you were saying: you'd not speak in haste---- '	true	769.58	775.72	15
1734_142311_000034_000000	'For his sake.	'For his sake.	false	776.27	777.27	19.534124
1734_142311_000034_000001	Yet not for his sake; for where'er he is, and whate'er, he'll ne'er know other clemming or cold again; but for the wife's sake, and the bits o' childer.'	Yet not for his sake; for where'er he is, and whate'er, he'll ne'er know other clemming or cold again; but for the wife's sake, and the bits o' childer.'	false	777.27	787.66	19
1734_142311_000035_000000	'God bless you!' said Mr. Hale, starting up; then, calming down, he said breathlessly, 'What do you mean?	'God bless you!' said mr Hale, starting up; then, calming down, he said breathlessly, 'What do you mean?	true	788.81	795.165	18
1734_142311_000035_000001	Tell me out.'	Tell me out.'	true	795.165	796.12	18.303778
1734_142311_000036_000000	'I have telled yo',' said Higgins, a little surprised at Mr. Hale's agitation.	'I have telled yo',' said Higgins, a little surprised at mr Hale's agitation.	false	796.67	801.13	16
1734_142311_000036_000001	'I would na ask for work for mysel'; but them's left as a charge on me.	'I would na ask for work for mysel'; but them's left as a charge on me.	false	801.2	805.65	17
1734_142311_000036_000002	I reckon, I would ha guided Boucher to a better end; but I set him off o' th' road, and so I mun answer for him.'	I reckon, I would ha guided Boucher to a better end; but I set him off o' t h' road, and so I mun answer for him.'	false	805.65	812.32	13
1734_142311_000037_000000	Mr. Hale got hold of Higgins's hand and shook it heartily, without speaking.	mr Hale got hold of Higgins's hand and shook it heartily, without speaking.	true	813.23	817.15	12
1734_142311_000037_000001	Higgins looked awkward and ashamed.	Higgins looked awkward and ashamed.	true	817.73	819.72	18
1734_142311_000038_000000	'Theer, theer, master!	'Theer, theer, master!	false	819.72	821.4	18.920439
1734_142311_000038_000001	Theer's ne'er a man, to call a man, amongst us, but what would do th' same; ay, and better too; for, belie' me, I'se ne'er got a stroke o' work, nor yet a sight of any.	Theer's ne'er a man, to call a man, amongst us, but what would do t h' same; ay, and better too; for, belie' me, I'se ne'er got a stroke o' work, nor yet a sight of any.	false	821.4	831.34	12
1734_142311_000038_000002	For all I telled Hamper that, let alone his pledge--which I would not sign--no, I could na, not e'en for this--he'd ne'er ha' such a worker on his mill as I would be--he'd ha' none o' me--no more would none o' th' others.	For all I telled Hamper that, let alone his pledge-which I would not sign-no, I could na, not e'en for this-he'd ne'er ha' such a worker on his mill as I would be-he'd ha' none o' me-no more would none o' t h' others.	false	831.5	844.54	13
1734_142311_000038_000003	I'm a poor black feckless sheep--childer may clem for aught I can do, unless, parson, yo'd help me?'	I'm a poor black feckless sheep-childer may clem for aught I can do, unless, parson, yo'd help me?'	true	844.82	852.28	20
1734_142311_000039_000000	'Help you!	'Help you!	true	853.04	853.8	19
1734_142311_000039_000001	How?	How?	false	853.8	854.58	16
1734_142311_000039_000002	I would do anything,--but what can I do?'	I would do anything,--but what can I do?'	true	854.58	856.66	12
1734_142311_000040_000000	'Miss there'--for Margaret had re-entered the room, and stood silent, listening--'has often talked grand o' the South, and the ways down there.	'Miss there'--for Margaret had re-entered the room, and stood silent, listening-'has often talked grand o' the South, and the ways down there.	false	857.24	864.96	15
1734_142311_000040_000001	Now I dunnot know how far off it is, but I've been thinking if I could get 'em down theer, where food is cheap and wages good, and all the folk, rich and poor, master and man, friendly like; yo' could, may be, help me to work.	Now I dunnot know how far off it is, but I've been thinking if I could get 'em down theer, where food is cheap and wages good, and all the folk, rich and poor, master and man, friendly like; yo' could, may be, help me to work.	false	864.96	879.55	18
1734_142311_000040_000002	I'm not forty-five, and I've a deal o' strength in me, measter.'	I'm not forty five, and I've a deal o' strength in me, measter.'	false	880.01	884.56	18.496584
1734_142311_000041_000000	'But what kind of work could you do, my man?'	'But what kind of work could you do, my man?'	true	886.01	888.37	10
1734_142311_000042_000000	'Well, I reckon I could spade a bit---- '	'Well, I reckon I could spade a bit---- '	true	889.49	892.12	15
1734_142311_000043_000000	'And for that,' said Margaret, stepping forwards, 'for anything you could do, Higgins, with the best will in the world, you would, may be, get nine shillings a week; maybe ten, at the outside.	'And for that,' said Margaret, stepping forwards, 'for anything you could do, Higgins, with the best will in the world, you would, may be, get nine shillings a week; maybe ten, at the outside.	true	893.09	904.39	12
1734_142311_000043_000001	Food is much the same as here, except that you might have a little garden---- '	Food is much the same as here, except that you might have a little garden---- '	true	904.76	908.28	11
1734_142311_000044_000000	'The childer could work at that,' said he.	'The childer could work at that,' said he.	false	908.28	910.78	20.206623
1734_142311_000044_000001	'I'm sick o' Milton anyways, and Milton is sick o' me.'	'I'm sick o' Milton anyways, and Milton is sick o' me.'	false	910.82	914.32	11
1734_142311_000045_000000	'You must not go to the South,' said Margaret, 'for all that.	'You must not go to the South,' said Margaret, 'for all that.	true	915.32	918.99	14
1734_142311_000045_000001	You could not stand it.	You could not stand it.	true	918.99	920.62	12
1734_142311_000045_000002	You would have to be out all weathers.	You would have to be out all weathers.	false	920.78	923.17	13
1734_142311_000045_000003	It would kill you with rheumatism.	It would kill you with rheumatism.	true	923.75	925.78	17
1734_142311_000045_000004	The mere bodily work at your time of life would break you down.	The mere bodily work at your time of life would break you down.	true	925.94	929.38	14
1734_142311_000045_000005	The fare is far different to what you have been accustomed to.'	The fare is far different to what you have been accustomed to.'	true	929.72	932.76	14
1734_142311_000046_000000	'I'se nought particular about my meat,' said he, as if offended.	'I'se nought particular about my meat,' said he, as if offended.	false	932.76	937.54	17.23461
1734_142311_000047_000000	'But you've reckoned on having butcher's meat once a day, if you're in work; pay for that out of your ten shillings, and keep those poor children if you can.	'But you've reckoned on having butcher's meat once a day, if you're in work; pay for that out of your ten shillings, and keep those poor children if you can.	true	938	946.18	14
1734_142311_000047_000001	I owe it to you--since it's my way of talking that has set you off on this idea--to put it all clear before you.	I owe it to you-since it's my way of talking that has set you off on this idea-to put it all clear before you.	true	946.94	953.95	16
1734_142311_000047_000002	You would not bear the dulness of the life; you don't know what it is; it would eat you away like rust.	You would not bear the dulness of the life; you don't know what it is; it would eat you away like rust.	false	954.56	960.67	12
