1779_142733_000001_000000	BOOK III	BOOK three
1779_142733_000011_000000	Before beginning our critical statement, let us recall some of the results of our previous analyses which here intrude themselves, to use the ambitious language of Kant, as the prolegomena to every future solution which claims the title of science.	Before beginning our critical statement, let us recall some of the results of our previous analyses which here intrude themselves, to use the ambitious language of Kant, as the prolegomena to every future solution which claims the title of science.
1779_142733_000011_000002	We have had to acknowledge the exactness of certain facts, and we are bound to admit their consequences.	We have had to acknowledge the exactness of certain facts, and we are bound to admit their consequences.
1779_142733_000011_000003	Notably, the definition of psychical phenomena at which we arrived, not without some trouble, will henceforth play a rather large part in our discussion.	Notably, the definition of psychical phenomena at which we arrived, not without some trouble, will henceforth play a rather large part in our discussion.
1779_142733_000011_000004	It will force us to question a great metaphysical principle which, up till now, has been almost universally considered as governing the problem of the union of the mind with the body.	It will force us to question a great metaphysical principle which, up till now, has been almost universally considered as governing the problem of the union of the mind with the body.
1779_142733_000012_000001	No philosopher has more clearly formulated it, and more logically deduced its consequences, than Flournoy.	No philosopher has more clearly formulated it, and more logically deduced its consequences, than Flournoy.
1779_142733_000013_000000	Let us not hesitate to denounce as false this proposition which is presented to us as an axiom.	Let us not hesitate to denounce as false this proposition which is presented to us as an axiom.
1779_142733_000013_000001	On looking closely into it, we shall perceive that the principle of heterogeneity does not contain the consequences it is sought to ascribe to it.	On looking closely into it, we shall perceive that the principle of heterogeneity does not contain the consequences it is sought to ascribe to it.
1779_142733_000013_000002	It seems to me it should be split up into two propositions of very unequal value: 1, the mind and body are heterogeneous; 2, by virtue of this heterogeneity it is not possible to understand any direct relation between the two.	It seems to me it should be split up into two propositions of very unequal value: one, the mind and body are heterogeneous; two, by virtue of this heterogeneity it is not possible to understand any direct relation between the two.
1779_142733_000014_000001	The consciousness is not sufficient for itself; as we have said, it cannot exist by itself.	The consciousness is not sufficient for itself; as we have said, it cannot exist by itself.
1779_142733_000014_000003	Mind and matter brought down to the essential, to the consciousness and its object, form a natural whole, and the difficulty does not consist in uniting but in separating them.	Mind and matter brought down to the essential, to the consciousness and its object, form a natural whole, and the difficulty does not consist in uniting but in separating them.
1779_142733_000014_000004	Consider the following fact: "I experience a sensation, and I have consciousness of it."	Consider the following fact: "I experience a sensation, and I have consciousness of it."
1779_142733_000014_000005	This is the coupling of two things--a sensation and a cognition.	This is the coupling of two things-a sensation and a cognition.
1779_142733_000015_000001	They can only be separated by analysis, and a scrupulous mind might even ask whether one has the right to separate them.	They can only be separated by analysis, and a scrupulous mind might even ask whether one has the right to separate them.
1779_142733_000015_000002	I have a sensation, and I have consciousness of it.	I have a sensation, and I have consciousness of it.
1779_142733_000015_000003	If not two facts, they are one and the same.	If not two facts, they are one and the same.
1779_142733_000015_000004	Now, sensation is matter and my consciousness is mind.	Now, sensation is matter and my consciousness is mind.
1779_142733_000015_000005	If I am judging an assortment of stuffs, this assortment, or the sensation I have of them, is a particle of matter, a material state, and my judgment on this sensation is the psychical phenomenon.	If I am judging an assortment of stuffs, this assortment, or the sensation I have of them, is a particle of matter, a material state, and my judgment on this sensation is the psychical phenomenon.
1779_142733_000015_000006	We can neither believe, nor desire, nor do any act of our intelligence without realising this welding together of mind and matter.	We can neither believe, nor desire, nor do any act of our intelligence without realising this welding together of mind and matter.
1779_142733_000015_000007	They are as inseparable as motion and the object that moves; and this comparison, though far-fetched, is really very convenient.	They are as inseparable as motion and the object that moves; and this comparison, though far fetched, is really very convenient.
1779_142733_000015_000008	Motion cannot exist without a mobile object; and an object, on the other hand, can exist without movement.	Motion cannot exist without a mobile object; and an object, on the other hand, can exist without movement.
1779_142733_000015_000009	In the same way, sensation may exist without the consciousness; but the converse proposition, consciousness without sensation, without an object, an empty consciousness or a "pure thought," cannot be understood.	In the same way, sensation may exist without the consciousness; but the converse proposition, consciousness without sensation, without an object, an empty consciousness or a "pure thought," cannot be understood.
1779_142733_000016_000001	We describe it after nature.	We describe it after nature.
1779_142733_000016_000002	It is observation which reveals to us the union and the fusion of the two terms into one.	It is observation which reveals to us the union and the fusion of the two terms into one.
1779_142733_000016_000003	Or, rather, we do not even perceive their union until the moment when, by a process of analysis, we succeed in convincing ourselves that that which we at first considered single is really double, or, if you like, can be made into two by the reason, without being so in reality.	Or, rather, we do not even perceive their union until the moment when, by a process of analysis, we succeed in convincing ourselves that that which we at first considered single is really double, or, if you like, can be made into two by the reason, without being so in reality.
1779_142733_000016_000004	Thus it happens that we bring this big problem in metaphysics on to the field of observation.	Thus it happens that we bring this big problem in metaphysics on to the field of observation.
1779_142733_000017_000001	There are many authors who maintain that the soul can act directly on the body and modify it, and this is what is called inter-actionism.	There are many authors who maintain that the soul can act directly on the body and modify it, and this is what is called inter actionism.
1779_142733_000017_000002	Thereby is understood, if I mistake not, an action from cause to effect, produced between two terms which enjoy a certain independence with regard to each other.	Thereby is understood, if I mistake not, an action from cause to effect, produced between two terms which enjoy a certain independence with regard to each other.
1779_142733_000017_000003	This interpretation is indubitably close to ours, though not to be confused with it.	This interpretation is indubitably close to ours, though not to be confused with it.
1779_142733_000017_000004	My personal interpretation sets aside the idea of all independence of the mind, since it attributes to the mind an incomplete and, as it were, a virtual existence.	My personal interpretation sets aside the idea of all independence of the mind, since it attributes to the mind an incomplete and, as it were, a virtual existence.
1779_142733_000018_000000	If we had to seek paternity for ideas I would much rather turn to Aristotle.	If we had to seek paternity for ideas I would much rather turn to Aristotle.
1779_142733_000018_000001	It was not without some surprise that I was able to convince myself that the above theory of the relations between the soul and the body is to be found almost in its entirety in the great philosopher.	It was not without some surprise that I was able to convince myself that the above theory of the relations between the soul and the body is to be found almost in its entirety in the great philosopher.
1779_142733_000018_000002	It is true that it is mixed up with many accessory ideas which are out of date and which we now reject; but the essential of the theory is there very clearly formulated, and that is the important point.	It is true that it is mixed up with many accessory ideas which are out of date and which we now reject; but the essential of the theory is there very clearly formulated, and that is the important point.
1779_142733_000018_000003	A few details on this subject will not be out of place.	A few details on this subject will not be out of place.
1779_142733_000018_000004	I give them, not from the original source, which I am not erudite enough to consult direct, but from the learned treatise which Bain has published on the psychology of Aristotle, as an appendix to his work on the Senses and the Intelligence.	I give them, not from the original source, which I am not erudite enough to consult direct, but from the learned treatise which Bain has published on the psychology of Aristotle, as an appendix to his work on the Senses and the Intelligence.
1779_142733_000019_000000	The whole metaphysics of Aristotle is dominated by the distinction between form and matter.	The whole metaphysics of Aristotle is dominated by the distinction between form and matter.
1779_142733_000019_000002	We may name a substance without troubling ourselves as to the form it possesses, and we may name the form without regard to the substance that it clothes.	We may name a substance without troubling ourselves as to the form it possesses, and we may name the form without regard to the substance that it clothes.
1779_142733_000020_000000	Aristotle recognises between these two logical correlatives a difference in rank.	Aristotle recognises between these two logical correlatives a difference in rank.
1779_142733_000020_000003	This difference in rank is so strongly marked, that these two correlations are likewise conceived in a different form--that of the potential and the actual.	This difference in rank is so strongly marked, that these two correlations are likewise conceived in a different form-that of the potential and the actual.
1779_142733_000020_000004	Matter is the potential, imperfect, roughly outlined element which is not yet actual, and may perhaps never become so.	Matter is the potential, imperfect, roughly outlined element which is not yet actual, and may perhaps never become so.
1779_142733_000020_000005	Form is the actual, the energy, the entelechy which actualises the potential and determines the final compound.	Form is the actual, the energy, the entelechy which actualises the potential and determines the final compound.
1779_142733_000021_000000	These few definitions will make clear the singularly ingenious idea of Aristotle on the nature of the body, the soul, and of their union.	These few definitions will make clear the singularly ingenious idea of Aristotle on the nature of the body, the soul, and of their union.
1779_142733_000021_000002	The soul is form, the actual. By uniting with the body it constitutes the living subject.	The soul is form, the actual. By uniting with the body it constitutes the living subject.
1779_142733_000021_000005	Each has its formal side which concerns the soul, and its material side which concerns the body.	Each has its formal side which concerns the soul, and its material side which concerns the body.
1779_142733_000022_000002	The soul actualises the body, and becomes, as he said, its entelechy.	The soul actualises the body, and becomes, as he said, its entelechy.
1779_142733_000023_000000	These views are too close to those I have myself just set forth for it to be necessary to dwell on their resemblance.	These views are too close to those I have myself just set forth for it to be necessary to dwell on their resemblance.
1779_142733_000023_000001	The latter would become still stronger if we separated from the thought of Aristotle a few developments which are not essential, though he allowed them great importance: I refer to the continual comparison he makes with the form and matter of corporeal objects.	The latter would become still stronger if we separated from the thought of Aristotle a few developments which are not essential, though he allowed them great importance: I refer to the continual comparison he makes with the form and matter of corporeal objects.
1779_142733_000024_000000	Let me add another point of comparison.	Let me add another point of comparison.
1779_142733_000024_000002	The form of thought, or the category, is nothing without the matter of cognition, and the latter is nothing without the application of form. "Thoughts without content given by sensation are empty; intuitions without concept furnished by the understanding are blind." There is nothing astonishing in finding here the same illustration, since there is throughout a question of describing the same phenomenon,--the relation of mind to matter.	The form of thought, or the category, is nothing without the matter of cognition, and the latter is nothing without the application of form. "Thoughts without content given by sensation are empty; intuitions without concept furnished by the understanding are blind." There is nothing astonishing in finding here the same illustration, since there is throughout a question of describing the same phenomenon,--the relation of mind to matter.
1779_142733_000025_000000	There remains to us to review the principal types of metaphysical systems.	There remains to us to review the principal types of metaphysical systems.
