3289_171107_000009_000000	From The Taking Of Jerusalem By Antiochus Epiphanes, To The Death Of Herod The Great.	From The Taking Of Jerusalem By Antiochus Epiphanes, To The Death Of Herod The Great.
3289_171107_000017_000001	Now, after the king was departed, Judas was not idle; for as many of his own nation came to him, so did he gather those that had escaped out of the battle together, and gave battle again to Antiochus's generals at a village called Adasa; and being too hard for his enemies in the battle, and killing a great number of them, he was at last himself slain also.	Now, after the king was departed, Judas was not idle; for as many of his own nation came to him, so did he gather those that had escaped out of the battle together, and gave battle again to Antiochus's generals at a village called Adasa; and being too hard for his enemies in the battle, and killing a great number of them, he was at last himself slain also.
3289_171107_000017_000002	Nor was it many days afterward that his brother John had a plot laid against him by Antiochus's party, and was slain by them.	Nor was it many days afterward that his brother john had a plot laid against him by Antiochus's party, and was slain by them.
3289_171107_000018_000000	CHAPTER 2.	CHAPTER two.
3289_171107_000020_000000	1.	one.
3289_171107_000020_000001	When Jonathan, who was Judas's brother, succeeded him, he behaved himself with great circumspection in other respects, with relation to his own people; and he corroborated his authority by preserving his friendship with the Romans.	When Jonathan, who was Judas's brother, succeeded him, he behaved himself with great circumspection in other respects, with relation to his own people; and he corroborated his authority by preserving his friendship with the romans.
3289_171107_000020_000002	He also made a league with Antiochus the son.	He also made a league with Antiochus the son.
3289_171107_000021_000000	2.	two.
3289_171107_000021_000001	However, Simon managed the public affairs after a courageous manner, and took Gazara, and Joppa, and Jamnia, which were cities in his neighborhood.	However, Simon managed the public affairs after a courageous manner, and took Gazara, and Joppa, and Jamnia, which were cities in his neighborhood.
3289_171107_000021_000002	He also got the garrison under, and demolished the citadel.	He also got the garrison under, and demolished the citadel.
3289_171107_000021_000004	He also sent his sons with a band of strong men against Antiochus, while he took part of the army himself with him, and fell upon him from another quarter.	He also sent his sons with a band of strong men against Antiochus, while he took part of the army himself with him, and fell upon him from another quarter.
3289_171107_000021_000005	He also laid a great many men in ambush in many places of the mountains, and was superior in all his attacks upon them; and when he had been conqueror after so glorious a manner, he was made high priest, and also freed the Jews from the dominion of the Macedonians, after one hundred and seventy years of the empire [of Seleucus].	He also laid a great many men in ambush in many places of the mountains, and was superior in all his attacks upon them; and when he had been conqueror after so glorious a manner, he was made high priest, and also freed the Jews from the dominion of the Macedonians, after one hundred and seventy years of the empire [of Seleucus].
3289_171107_000022_000000	3.	three.
3289_171107_000023_000000	4.	four.
3289_171107_000023_000003	Now John's case was this: When he considered the courage of his mother, and heard her entreaty, he set about his attacks; but when he saw her beaten, and torn to pieces with the stripes, he grew feeble, and was entirely overcome by his affections.	Now John's case was this: When he considered the courage of his mother, and heard her entreaty, he set about his attacks; but when he saw her beaten, and torn to pieces with the stripes, he grew feeble, and was entirely overcome by his affections.
3289_171107_000024_000000	5.	five.
3289_171107_000024_000002	Moreover, he was the first of the Jews that had money enough, and began to hire foreign auxiliaries also.	Moreover, he was the first of the Jews that had money enough, and began to hire foreign auxiliaries also.
3289_171107_000025_000000	6.	six.
3289_171107_000025_000003	He also proceeded as far as Samaria, where is now the city Sebaste, which was built by Herod the king, and encompassed it all round with a wall, and set his sons, Aristobulus and Antigonus, over the siege; who pushed it on so hard, that a famine so far prevailed within the city, that they were forced to eat what never was esteemed food.	He also proceeded as far as Samaria, where is now the city Sebaste, which was built by Herod the king, and encompassed it all round with a wall, and set his sons, Aristobulus and Antigonus, over the siege; who pushed it on so hard, that a famine so far prevailed within the city, that they were forced to eat what never was esteemed food.
3289_171107_000025_000005	So they returned back to Samaria, and shut the multitude again within the wall; and when they had taken the city, they demolished it, and made slaves of its inhabitants.	So they returned back to Samaria, and shut the multitude again within the wall; and when they had taken the city, they demolished it, and made slaves of its inhabitants.
3289_171107_000025_000006	And as they had still great success in their undertakings, they did not suffer their zeal to cool, but marched with an army as far as Scythopolis, and made an incursion upon it, and laid waste all the country that lay within Mount Carmel.	And as they had still great success in their undertakings, they did not suffer their zeal to cool, but marched with an army as far as Scythopolis, and made an incursion upon it, and laid waste all the country that lay within Mount Carmel.
3289_171107_000026_000000	8.	eight.
3289_171107_000026_000001	But then these successes of John and of his sons made them be envied, and occasioned a sedition in the country; and many there were who got together, and would not be at rest till they brake out into open war, in which war they were beaten.	But then these successes of john and of his sons made them be envied, and occasioned a sedition in the country; and many there were who got together, and would not be at rest till they brake out into open war, in which war they were beaten.
3289_171107_000026_000002	So John lived the rest of his life very happily, and administered the government after a most extraordinary manner, and this for thirty-three entire years together.	So john lived the rest of his life very happily, and administered the government after a most extraordinary manner, and this for thirty three entire years together.
3289_171107_000026_000003	He died, leaving five sons behind him.	He died, leaving five sons behind him.
3289_171107_000026_000004	He was certainly a very happy man, and afforded no occasion to have any complaint made of fortune on his account.	He was certainly a very happy man, and afforded no occasion to have any complaint made of fortune on his account.
3289_171107_000026_000005	He it was who alone had three of the most desirable things in the world,--the government of his nation, and the high priesthood, and the gift of prophecy.	He it was who alone had three of the most desirable things in the world,--the government of his nation, and the high priesthood, and the gift of prophecy.
