1066_103481_000000_000000	H.A.	h a	false	2.52	8.22	17.285458
1066_103481_000011_000000	A sudden grind of metal scarred the hush; A marsh-hen threshed the water with her wings, And, for a breath, the marsh life woke and throbbed. Then, down beneath our feet, we caught the gleam Of folded water flaring left and right, While, with a noiseless rush, A shadow darker than the rest Drew from its fellows swarming round the quay, Took an oncoming breaker, Shook its shoulders free, And faced the sea.	A sudden grind of metal scarred the hush; A marsh hen threshed the water with her wings, And, for a breath, the marsh life woke and throbbed. Then, down beneath our feet, we caught the gleam Of folded water flaring left and right, While, with a noiseless rush, A shadow darker than the rest Drew from its fellows swarming round the quay, Took an oncoming breaker, Shook its shoulders free, And faced the sea.	false	238.55	266.35	20.903625
1066_103481_000012_000000	Then came an interval that seemed to be Part of eternity. Years might have passed, or seconds; No one knew! Close in the dark we huddled, each to each, Too stirred for speech. Our senses, sharpened to an agony, Drew out across the water till the ache Was more than we could bear; Till eyes could almost see, Ears almost hear. And waiting there, I seemed to feel the beach Slip from my reach, While all the stars went blank. The smell of oil and death enveloped me, And I could feel The crouching figures straining at a crank, Knees under chins, and heads drawn sharply down, The heave and sag of shoulders, Sting of sweat; An eighth braced figure stooping to a wheel, Body to body in the stifling gloom, The sob and gasp of breath against an air Empty and damp and fetid as a tomb. With them I seemed to reel Beneath the spin and heel When combers took them fair, Bruising their bodies, Lifting black water where Their feet clutched desperate at the floor.	Then came an interval that seemed to be Part of eternity. Years might have passed, or seconds; No one knew! Close in the dark we huddled, each to each, Too stirred for speech. Our senses, sharpened to an agony, Drew out across the water till the ache Was more than we could bear; Till eyes could almost see, Ears almost hear. And waiting there, I seemed to feel the beach Slip from my reach, While all the stars went blank. The smell of oil and death enveloped me, And I could feel The crouching figures straining at a crank, Knees under chins, and heads drawn sharply down, The heave and sag of shoulders, Sting of sweat; An eighth braced figure stooping to a wheel, Body to body in the stifling gloom, The sob and gasp of breath against an air Empty and damp and fetid as a tomb. With them I seemed to reel Beneath the spin and heel When combers took them fair, Bruising their bodies, Lifting black water where Their feet clutched desperate at the floor.	true	267.65	334.66	19.981133
1066_103481_000013_000000	And as each body spent out of its ebbing store Of strength and hope, I felt the forward thrust, At first so sure, Fail in its rhythm, Falter slow, And slower-- Hang an endless moment-- Till in a rush came fear-- Fear of the sea, that it might win again, Gathering one crew more, Making them pay in vain.	And as each body spent out of its ebbing store Of strength and hope, I felt the forward thrust, At first so sure, Fail in its rhythm, Falter slow, And slower- Hang an endless moment- Till in a rush came fear- Fear of the sea, that it might win again, Gathering one crew more, Making them pay in vain.	true	335.33	358.6	20.332708
1066_103481_000014_000000	Then through the horror of it, like a clear Sweet wind among the stars, I felt the lift And drive of heart and will Working their miracles until Spent muscles tensed again to offer all In one transcendent gift.	Then through the horror of it, like a clear Sweet wind among the stars, I felt the lift And drive of heart and will Working their miracles until Spent muscles tensed again to offer all In one transcendent gift.	true	359.78	373.54	20.735859
1066_103481_000015_000000	III	three	true	375.65	376.39	20.290148
1066_103481_000016_000000	A sudden flood of moonlight drenched the sea, Pointing the scene in sharp, strong black and white. Sumter came shouldering through the night, Battered and grim. The curve of ships shook off their dim Vague outlines of a dream; And stood, patient as death, So certain in their pride, So satisfied To wait The slow inevitableness of Fate.	A sudden flood of moonlight drenched the sea, Pointing the scene in sharp, strong black and white. Sumter came shouldering through the night, Battered and grim. The curve of ships shook off their dim Vague outlines of a dream; And stood, patient as death, So certain in their pride, So satisfied To wait The slow inevitableness of Fate.	false	376.88	398.98	19.86129
1066_103481_000017_000000	Close, where the channel Narrowed to the bay, The _Housatonic_ lay Black on the moonlit tide, Her wide High sweep of spars Flaunting their arrogance among the stars.	Close, where the channel Narrowed to the bay, The underscore Housatonic underscore lay Black on the moonlit tide, Her wide High sweep of spars Flaunting their arrogance among the stars.	false	399.62	410.65	20
1066_103481_000018_000000	Darkness again, Swift-winged and absolute, Gulping the stars, Folding the ships and sea, Holding us waiting, mute. Then, slowly in the void, There grew a certainty That silenced fear. The very air Was stirring to the march of Destiny.	Darkness again, Swift winged and absolute, Gulping the stars, Folding the ships and sea, Holding us waiting, mute. Then, slowly in the void, There grew a certainty That silenced fear. The very air Was stirring to the march of Destiny.	true	411.68	430.87	18.845459
1066_103481_000019_000000	One blinding second out of endless time Fell, sundering the night. I saw the _Housatonic_ hurled, A ship of light, Out of a molten sea, Hang an unending pulse-beat, Glowing, stark; While the hot clouds flung back a sullen roar. Then all her pride, so confident and sure, Went reeling down the dark.	One blinding second out of endless time Fell, sundering the night. I saw the underscore Housatonic underscore hurled, A ship of light, Out of a molten sea, Hang an unending pulse beat, Glowing, stark; While the hot clouds flung back a sullen roar. Then all her pride, so confident and sure, Went reeling down the dark.	false	432.23	454.99	20.140013
1066_103481_000020_000000	Out of the blackness wave on livid wave Leapt into being--thundered to our feet; Counting the moments for us, beat by beat, Until the last and smallest dwindled past, Trailing its pallor like a winding-sheet Over the last crew and its chosen grave.	Out of the blackness wave on livid wave Leapt into being-thundered to our feet; Counting the moments for us, beat by beat, Until the last and smallest dwindled past, Trailing its pallor like a winding sheet Over the last crew and its chosen grave.	true	456.35	474.27	20.236671
1066_103481_000021_000000	IV	i v	false	474.27	477.78	15.562334
1066_103481_000022_000000	Morning swirled in from the sea, And down by the low river-wall, In a long unforgettable row, Man faces tremulous, old; Terrible faces of youth, Broken and seared by the war, Where swift fire kindled and blazed From embers hot under the years, While hands gripped a cane or a crutch; Patient dumb faces of women, Mothers, sisters, and wives: And the vessel hull-down in the sea, Where the waters, just stirring from sleep, Lifted bright hands to the sun, Hiding their lusty young dead, Holding them jealously close Down to the cold harbor floor.	Morning swirled in from the sea, And down by the low river wall, In a long unforgettable row, Man faces tremulous, old; Terrible faces of youth, Broken and seared by the war, Where swift fire kindled and blazed From embers hot under the years, While hands gripped a cane or a crutch; Patient dumb faces of women, Mothers, sisters, and wives: And the vessel hull down in the sea, Where the waters, just stirring from sleep, Lifted bright hands to the sun, Hiding their lusty young dead, Holding them jealously close Down to the cold harbor floor.	true	477.78	515.26	18.99845
1066_103481_000023_000000	There would be eight of them. Here in the gathering light Were waiting eight women or more Who were destined forever to pay, Who never again would laugh back Into the eyes of life In the old glad, confident way. Each huddled dumbly to each; But eyes could not lift from the sea, Only hands touched in the dawn.	There would be eight of them. Here in the gathering light Were waiting eight women or more Who were destined forever to pay, Who never again would laugh back Into the eyes of life In the old glad, confident way. Each huddled dumbly to each; But eyes could not lift from the sea, Only hands touched in the dawn.	true	516.77	536.91	20.432524
1066_103481_000024_000000	_"He would have gone, my man;_ _He was like that.	underscore"He would have gone, my man;underscore underscore He was like that.	false	536.91	541.3	14.888768
1066_103481_000024_000001	In the night_ _When I awoke with a start,_ _And brought his voice up from my dream:_ _That was goodbye and godspeed._ _I know he is there with the rest."_	In the night underscore underscore When I awoke with a start,underscore underscore And brought his voice up from my dream:underscore underscore That was goodbye and godspeed.underscore underscore I know he is there with the rest."underscore	false	541.64	552.63	19.60045
1066_103481_000025_000000	Brave, but with quivering lips, Each alone in the press of the crowd, Was saying it over and over.	Brave, but with quivering lips, Each alone in the press of the crowd, Was saying it over and over.	true	552.63	558.37	21.964754
1066_103481_000026_000000	The day flooded all of the sky; And the ships of the sullen blockade Weighed anchor and drew down the wind, Leaving their wreck to the waves. Hour heaved slowly on hour, Yet how could the city rejoice With the women out there by the wall! Night grew under the wharves, And crept through the listening streets, Until only the red of the tiles Seemed warm from the breath of the day; And the faces that waited and watched Blurred into a wavering line, Like foam on the curve of the dark, Down there by the reticent sea.	The day flooded all of the sky; And the ships of the sullen blockade Weighed anchor and drew down the wind, Leaving their wreck to the waves. Hour heaved slowly on hour, Yet how could the city rejoice With the women out there by the wall! Night grew under the wharves, And crept through the listening streets, Until only the red of the tiles Seemed warm from the breath of the day; And the faces that waited and watched Blurred into a wavering line, Like foam on the curve of the dark, Down there by the reticent sea.	false	558.98	591.64	20.553421
1066_103481_000027_000000	What if the darkness should bring The lean blockade-runners across With food for the hungry and spent.... Who could joy in the sudden release While the faces, still-smiling, but wan, Turned slowly to hallow the town?	What if the darkness should bring The lean blockade runners across With food for the hungry and spent.... Who could joy in the sudden release While the faces, still smiling, but wan, Turned slowly to hallow the town?	false	593.39	607.36	20.25742
1066_103481_000028_000000	D.H.	d h	true	608.96	612.6	17.90807
1066_103481_000029_000000	[6] See the note at the back of the book.	[six] See the note at the back of the book.	false	612.6	616.74	21.76588
1066_103481_000030_000000	LANDBOUND	l a n d b o u n d	false	616.74	622.2	14
1066_103481_000031_000000	Bring me one breath from the deep salt sea, Ye vagrant upland airs! Over your forest and field and lea, From the windy deeps that have mothered me, To the heart of one who cares.	Bring me one breath from the deep salt sea, Ye vagrant upland airs! Over your forest and field and lea, From the windy deeps that have mothered me, To the heart of one who cares.	false	622.2	636.18	19.735104
1066_103481_000032_000000	Clear to the peace of the sunlit park, You bring with your evening lull The vesper song of the meadow lark; But my soul is sick for the seething dark, And the scream of a wind-blown gull.	Clear to the peace of the sunlit park, You bring with your evening lull The vesper song of the meadow lark; But my soul is sick for the seething dark, And the scream of a wind blown gull.	false	636.18	648.78	18.545118
1066_103481_000033_000000	And bring to me from the ocean's breast No crooning lullaby; But the shout of a bleak storm-riven crest As it shoulders up in the sodden West And hurtles down the sky.	And bring to me from the ocean's breast No crooning lullaby; But the shout of a bleak storm riven crest As it shoulders up in the sodden West And hurtles down the sky.	false	648.78	655.86	19.192635
1066_103481_000034_000000	That, breathing deep, I may feel the sweep Of the wind and the driving rain. For so I know that my heart will leap To meet the call of the strident deep, And will thrill to life again.	That, breathing deep, I may feel the sweep Of the wind and the driving rain. For so I know that my heart will leap To meet the call of the strident deep, And will thrill to life again.	false	655.86	666.42	18.675957
1066_103481_000035_000000	D.H.	d h	false	666.42	667.05	21.716856
1066_103481_000036_000000	TWO PAGES	TWO PAGES	false	667.05	667.71	28.462074
1066_103481_000037_000000	FROM THE BOOK OF THE SEA ISLANDS	FROM THE BOOK OF THE SEA ISLANDS	false	667.71	670.92	17
1066_103481_000038_000000	PAGE ONE	PAGE ONE	false	670.92	671.82	15.415605
1066_103481_000039_000000	SHADOWS	SHADOWS	false	671.82	672.27	18.613388
1066_103481_000040_000000	There is deliberateness in all sea-island ways, As alien to our days as stone wheels are. The Islands cannot see the use of life Which only lives for change. There days are flat, And all things must move slowly; Even the seasons are conservative-- No sudden flaunting of wild colors in the fall, Only a gradual fading of the green, As if the earth turned slowly, Or looked with one still face upon the sun As Venus does-- Until the trees, the fields, the marshes, All turn dun, dull Quaker-brown, And a mild winter settles down, And mosses are more gray.	There is deliberateness in all sea island ways, As alien to our days as stone wheels are. The Islands cannot see the use of life Which only lives for change. There days are flat, And all things must move slowly; Even the seasons are conservative- No sudden flaunting of wild colors in the fall, Only a gradual fading of the green, As if the earth turned slowly, Or looked with one still face upon the sun As Venus does- Until the trees, the fields, the marshes, All turn dun, dull Quaker brown, And a mild winter settles down, And mosses are more gray.	false	672.27	696.54	20.218946
1066_103481_000041_000000	All human souls are glasses which reflect The aspects of the outer world; See what terrible gods the huge Himalayas bred! And the fierce Jewish Jaywah came From the hot Syrian deserts With his inhibitory decalogue. The gods of little hills are always tame; Here God is dull, where all things stay the same.	All human souls are glasses which reflect The aspects of the outer world; See what terrible gods the huge Himalayas bred! And the fierce Jewish Jaywah came From the hot Syrian deserts With his inhibitory decalogue. The gods of little hills are always tame; Here God is dull, where all things stay the same.	false	696.54	720.57	20.348413
