7276_92427_000000_000000	THE IRISH CHARACTER.	THE IRISH CHARACTER.	false	6.21	23.8	23.987251
7276_92427_000011_000000	This we admit at the outset: First, You must be prepared for a religious and patient treatment of these people, not merely _un_educated, but _ill_-educated; a treatment far more religious and patient than is demanded by your own children, if they were born and bred under circumstances at all favorable.	This we admit at the outset: First, You must be prepared for a religious and patient treatment of these people, not merely underscore un underscore educated, but underscore ill underscore-educated; a treatment far more religious and patient than is demanded by your own children, if they were born and bred under circumstances at all favorable.	false	351.78	370.78	23.791502
7276_92427_000012_000000	Second, Dismiss from your minds all thought of gratitude.	Second, Dismiss from your minds all thought of gratitude.	true	370.88	374.07	27.835968
7276_92427_000012_000001	Do what you do for them for God's sake, and as a debt to humanity--interest to the common creditor upon principal left in your care.	Do what you do for them for God's sake, and as a debt to humanity-interest to the common creditor upon principal left in your care.	true	374.07	381.78	25.68747
7276_92427_000012_000002	Then insensibility, forgetfulness, or relapse, will not discourage you, and you will welcome proofs of genuine attachment to yourself chiefly as tokens that your charge has risen into a higher state of thought and feeling, so as to be enabled to value the benefits conferred through you.	Then insensibility, forgetfulness, or relapse, will not discourage you, and you will welcome proofs of genuine attachment to yourself chiefly as tokens that your charge has risen into a higher state of thought and feeling, so as to be enabled to value the benefits conferred through you.	false	381.78	398.655	22.646803
7276_92427_000012_000003	Could we begin so, there would be hope of our really becoming the instructors and guardians of this swarm of souls which come from their regions of torment to us, hoping, at least, the benefits of purgatory.	Could we begin so, there would be hope of our really becoming the instructors and guardians of this swarm of souls which come from their regions of torment to us, hoping, at least, the benefits of purgatory.	false	398.655	413.17	22.973824
7276_92427_000013_000000	The influence of the Catholic priesthood must continue very great till there is a complete transfusion of character in the minds of their charge.	The influence of the Catholic priesthood must continue very great till there is a complete transfusion of character in the minds of their charge.	false	413.21	420.825	21
7276_92427_000013_000001	But as the Irishman, or any other foreigner, becomes Americanized, he will demand a new form of religion to suit his new wants.	But as the Irishman, or any other foreigner, becomes Americanized, he will demand a new form of religion to suit his new wants.	false	420.825	428.7	23
7276_92427_000013_000002	The priest, too, will have to learn the duties of an American citizen; he will live less and less for the church, and more for the people, till at last, if there be Catholicism still, it will be under Protestant influences, as begins to be the case in Germany.	The priest, too, will have to learn the duties of an American citizen; he will live less and less for the church, and more for the people, till at last, if there be Catholicism still, it will be under Protestant influences, as begins to be the case in Germany.	true	428.7	445.11	22.153032
7276_92427_000013_000003	It will be, not Roman, but American Catholicism; a form of worship which relies much, perhaps, on external means and the authority of the clergy,--for such will always be the case with religion while there are crowds of men still living an external life, and who have not learned to make full use of their own faculties,--but where a belief in the benefits of confession and the power of the church, as church, to bind and loose, atone for or decide upon sin, with similar corruptions, must vanish in the free and searching air of a new era.	It will be, not Roman, but American Catholicism; a form of worship which relies much, perhaps, on external means and the authority of the clergy,--for such will always be the case with religion while there are crowds of men still living an external life, and who have not learned to make full use of their own faculties,--but where a belief in the benefits of confession and the power of the church, as church, to bind and loose, atone for or decide upon sin, with similar corruptions, must vanish in the free and searching air of a new era.	false	445.11	479.76	23.694466
7276_92427_000014_000000	Between employer and employed there is not sufficient pains taken on the part of the former to establish a mutual understanding.	Between employer and employed there is not sufficient pains taken on the part of the former to establish a mutual understanding.	true	479.76	487.23	22.01136
7276_92427_000014_000001	People meet, in the relations of master and servant, who have lived in two different worlds.	People meet, in the relations of master and servant, who have lived in two different worlds.	true	487.23	491.865	20.26141
7276_92427_000014_000002	In this respect we are much worse situated than the same parties have been in Europe.	In this respect we are much worse situated than the same parties have been in Europe.	true	491.865	498.195	20.874603
7276_92427_000014_000003	There is less previous acquaintance between the upper and lower classes. (We must, though unwillingly, use these terms to designate the state of things as at present existing.) Meals are taken separately; work is seldom shared; there is very little to bring the parties together, except sometimes the farmer works with his hired Irish laborer in the fields, or the mother keeps the nurse-maid of her baby in the room with her.	There is less previous acquaintance between the upper and lower classes. (We must, though unwillingly, use these terms to designate the state of things as at present existing.) Meals are taken separately; work is seldom shared; there is very little to bring the parties together, except sometimes the farmer works with his hired Irish laborer in the fields, or the mother keeps the nurse maid of her baby in the room with her.	false	498.195	522.975	23.28584
7276_92427_000015_000000	In this state of things the chances for instruction, which come every day of themselves where parties share a common life instead of its results merely, do not occur.	In this state of things the chances for instruction, which come every day of themselves where parties share a common life instead of its results merely, do not occur.	false	522.975	532.54	23
7276_92427_000015_000001	Neither is there opportunity to administer instruction in the best manner, nor to understand when and where it is needed.	Neither is there opportunity to administer instruction in the best manner, nor to understand when and where it is needed.	true	532.82	539.415	16
7276_92427_000016_000000	The farmer who works with his men in the field, the farmer's wife who attends with her women to the churn and the oven, may, with ease, be true father and mother to all who are in their employ, and enjoy health of conscience in the relation, secure that, if they find cause for blame, it is not from faults induced by their own negligence.	The farmer who works with his men in the field, the farmer's wife who attends with her women to the churn and the oven, may, with ease, be true father and mother to all who are in their employ, and enjoy health of conscience in the relation, secure that, if they find cause for blame, it is not from faults induced by their own negligence.	false	539.415	558.165	21
7276_92427_000016_000001	The merchant who is from home all day, the lady receiving visitors or working slippers in her nicely-furnished parlor, cannot be quite so sure that their demands, or the duties involved in them, are clearly understood, nor estimate the temptations to prevarication.	The merchant who is from home all day, the lady receiving visitors or working slippers in her nicely furnished parlor, cannot be quite so sure that their demands, or the duties involved in them, are clearly understood, nor estimate the temptations to prevarication.	false	558.165	573.465	20
7276_92427_000017_000000	It is shocking to think to what falsehoods human beings like ourselves will resort, to excuse a love of amusement, to hide ill-health, while they see us indulging freely in the one, yielding lightly to the other; and yet we have, or ought to have, far more resources in either temptation than they.	It is shocking to think to what falsehoods human beings like ourselves will resort, to excuse a love of amusement, to hide ill health, while they see us indulging freely in the one, yielding lightly to the other; and yet we have, or ought to have, far more resources in either temptation than they.	true	573.465	592.21	21.796524
7276_92427_000017_000001	For us it is hard to resist, to give up going to the places where we should meet our most interesting companions, or do our work with an aching brow.	For us it is hard to resist, to give up going to the places where we should meet our most interesting companions, or do our work with an aching brow.	false	592.25	600.945	22.714989
7276_92427_000017_000002	But we have not people over us whose careless, hasty anger drives us to seek excuses for our failures; if so, perhaps,--perhaps; who knows?--we, the better-educated, rigidly, immaculately true as we are at present, _might_ tell falsehoods. Perhaps we might, if things were given us to do which we had never seen done, if we were surrounded by new arrangements in the nature of which no one instructed us.	But we have not people over us whose careless, hasty anger drives us to seek excuses for our failures; if so, perhaps,--perhaps; who knows?--we, the better educated, rigidly, immaculately true as we are at present, underscore might underscore tell falsehoods. Perhaps we might, if things were given us to do which we had never seen done, if we were surrounded by new arrangements in the nature of which no one instructed us.	false	600.945	627.795	22
7276_92427_000017_000003	All this we must think of before we can be of much use.	All this we must think of before we can be of much use.	false	627.795	632.055	22.497505
7276_92427_000018_000000	We have spoken of the nursery-maid as _the_ hired domestic with whom her mistress, or even the master, is likely to become acquainted. But, only a day or two since, we saw, what we see so often, a nursery-maid with the family to which she belonged, in a public conveyance.	We have spoken of the nursery maid as underscore the underscore hired domestic with whom her mistress, or even the master, is likely to become acquainted. But, only a day or two since, we saw, what we see so often, a nursery maid with the family to which she belonged, in a public conveyance.	false	632.055	647.71	23.204897
7276_92427_000018_000001	They were having a pleasant time; but in it she had no part, except to hold a hot, heavy baby, and receive frequent admonitions to keep _it_ comfortable.	They were having a pleasant time; but in it she had no part, except to hold a hot, heavy baby, and receive frequent admonitions to keep underscore it underscore comfortable.	false	648.02	656.56	24
7276_92427_000018_000002	No inquiry was made as to _her_ comfort; no entertaining remark, no information of interest as to the places we passed, was addressed to her.	No inquiry was made as to underscore her underscore comfort; no entertaining remark, no information of interest as to the places we passed, was addressed to her.	false	656.6	665.475	22.144354
7276_92427_000018_000003	Had she been in that way with that family ten years she might have known _them_ well enough, for their characters lay only too bare to a careless scrutiny; but her joys, her sorrows, her few thoughts, her almost buried capacities, would have been as unknown to them, and they as little likely to benefit her, as the Emperor of China.	Had she been in that way with that family ten years she might have known underscore them underscore well enough, for their characters lay only too bare to a careless scrutiny; but her joys, her sorrows, her few thoughts, her almost buried capacities, would have been as unknown to them, and they as little likely to benefit her, as the Emperor of China.	false	665.475	685.635	22.562902
7276_92427_000019_000000	Let the employer place the employed first in good physical circumstances, so as to promote the formation of different habits from those of the Irish hovel, or illicit still-house.	Let the employer place the employed first in good physical circumstances, so as to promote the formation of different habits from those of the Irish hovel, or illicit still house.	false	685.635	696.16	24.228142
7276_92427_000019_000001	Having thus induced feelings of self-respect, he has opened the door for a new set of notions.	Having thus induced feelings of self respect, he has opened the door for a new set of notions.	false	696.32	702.555	22
7276_92427_000019_000002	Then let him become acquainted with the family circumstances and history of his new pupil.	Then let him become acquainted with the family circumstances and history of his new pupil.	false	702.555	707.385	19.87971
7276_92427_000019_000003	He has now got some ground on which to stand for intercourse.	He has now got some ground on which to stand for intercourse.	true	707.385	711.045	23.789507
7276_92427_000019_000004	Let instruction follow for the mind, not merely by having the youngest daughter set, now and then, copies in the writing-book, or by hearing read aloud a few verses in the Bible, but by putting good books in their way, if able to read, and by intelligent conversation when there is a chance,--the master with the man who is driving him, the lady with the woman who is making her bed. Explain to them the relations of objects around them; teach them to compare the old with the new life.	Let instruction follow for the mind, not merely by having the youngest daughter set, now and then, copies in the writing book, or by hearing read aloud a few verses in the Bible, but by putting good books in their way, if able to read, and by intelligent conversation when there is a chance,--the master with the man who is driving him, the lady with the woman who is making her bed. Explain to them the relations of objects around them; teach them to compare the old with the new life.	false	711.045	737.38	20.267475
7276_92427_000019_000005	If you show a better way than theirs of doing work, teach them, too, _why_ it is better.	If you show a better way than theirs of doing work, teach them, too, underscore why underscore it is better.	false	737.75	743.19	21.065619
7276_92427_000019_000006	Thus will the mind be prepared by development for a moral reformation; there will be some soil fitted to receive the seed.	Thus will the mind be prepared by development for a moral reformation; there will be some soil fitted to receive the seed.	false	743.19	750.82	19
7276_92427_000020_000000	When the time is come,--and will you think a poor, uneducated person, in whose mind the sense of right and wrong is confused, the sense of honor blunted, easier of access than one refined and thoughtful? Surely you will not, if you yourself are refined and thoughtful, but rather that the case requires far more care in the choice of a favorable opportunity,--when, then, the good time is come, perhaps it will be best to do what you do in a way that will make a permanent impression.	When the time is come,--and will you think a poor, uneducated person, in whose mind the sense of right and wrong is confused, the sense of honor blunted, easier of access than one refined and thoughtful? Surely you will not, if you yourself are refined and thoughtful, but rather that the case requires far more care in the choice of a favorable opportunity,--when, then, the good time is come, perhaps it will be best to do what you do in a way that will make a permanent impression.	false	751.49	778.845	20
7276_92427_000020_000001	Show the Irishman that a vice not indigenous to his nation--for the rich and noble who are not so tempted are chivalrous to an uncommon degree in their openness, bold sincerity, and adherence to their word--has crept over and become deeply rooted in the poorer people from the long oppressions they have undergone.	Show the Irishman that a vice not indigenous to his nation-for the rich and noble who are not so tempted are chivalrous to an uncommon degree in their openness, bold sincerity, and adherence to their word-has crept over and become deeply rooted in the poorer people from the long oppressions they have undergone.	false	778.845	799.78	22.99845
7276_92427_000020_000002	Show them what efforts and care will be needed to wash out the taint.	Show them what efforts and care will be needed to wash out the taint.	false	800.03	803.535	21.902538
7276_92427_000020_000003	Offer your aid, as a faithful friend, to watch their lapses, and refine their sense of truth.	Offer your aid, as a faithful friend, to watch their lapses, and refine their sense of truth.	true	803.535	809.565	25.733133
7276_92427_000020_000004	You will not speak in vain.	You will not speak in vain.	true	809.565	811.065	23
7276_92427_000020_000005	If they never mend, if habit is too powerful, still, their nobler nature will not have been addressed in vain.	If they never mend, if habit is too powerful, still, their nobler nature will not have been addressed in vain.	false	811.065	817.72	21
7276_92427_000020_000006	They will not forget the counsels they have not strength to follow, and the benefits will be seen in their children or children's children.	They will not forget the counsels they have not strength to follow, and the benefits will be seen in their children or children's children.	false	818	826.26	22.744875
7276_92427_000021_000000	Many say, "Well, suppose we do all this; what then?	Many say, "Well, suppose we do all this; what then?	false	826.26	829.72	23.22628
7276_92427_000021_000001	They are so fond of change, they will leave us." What then?	They are so fond of change, they will leave us." What then?	true	829.76	833.49	23.329184
7276_92427_000021_000002	Why, let them go and carry the good seed elsewhere.	Why, let them go and carry the good seed elsewhere.	true	833.49	837.315	23.18529
7276_92427_000021_000003	Will you be as selfish and short-sighted as those who never plant trees to shade a hired house, lest some one else should be blest by their shade?	Will you be as selfish and short sighted as those who never plant trees to shade a hired house, lest some one else should be blest by their shade?	false	837.315	845.82	17
7276_92427_000022_000000	It is a simple duty we ask you to engage in; it is, also, a great patriotic work.	It is a simple duty we ask you to engage in; it is, also, a great patriotic work.	true	845.82	851.19	22.423676
7276_92427_000022_000001	You are asked to engage in the great work of mutual education, which must be for this country the system of mutual insurance.	You are asked to engage in the great work of mutual education, which must be for this country the system of mutual insurance.	false	851.19	859.545	22.862394
7276_92427_000023_000000	We have some hints upon this subject, drawn from the experience of the wise and good, some encouragement to offer from that experience, that the fruits of a wise planting sometimes ripen sooner than we could dare to expect.	We have some hints upon this subject, drawn from the experience of the wise and good, some encouragement to offer from that experience, that the fruits of a wise planting sometimes ripen sooner than we could dare to expect.	false	859.545	873.375	22.7431
7276_92427_000023_000001	But this must be for another day.	But this must be for another day.	true	873.375	875.19	23.427223
7276_92427_000024_000000	One word as to this love of change.	One word as to this love of change.	true	875.19	877.665	18
7276_92427_000024_000001	We hear people blaming it in their servants, who can and do go to Niagara, to the South, to the Springs, to Europe, to the seaside; in short, who are always on the move whenever they feel the need of variety to reanimate mind, health, or spirits.	We hear people blaming it in their servants, who can and do go to Niagara, to the South, to the Springs, to Europe, to the seaside; in short, who are always on the move whenever they feel the need of variety to reanimate mind, health, or spirits.	true	877.665	892.875	21
7276_92427_000024_000002	Change of place, as to family employment, is the only way domestics have of "seeing life"--the only way immigrants have of getting thoroughly acquainted with the new society into which they have entered.	Change of place, as to family employment, is the only way domestics have of "seeing life"--the only way immigrants have of getting thoroughly acquainted with the new society into which they have entered.	false	892.875	904.575	20
7276_92427_000024_000003	How natural that they should incline to it!	How natural that they should incline to it!	true	904.575	907.63	23.35448
7276_92427_000024_000004	Once more; put yourself in their places, and then judge them gently from your own, if you would be just to them, if you would be of any use.	Once more; put yourself in their places, and then judge them gently from your own, if you would be just to them, if you would be of any use.	true	907.67	918	21.421492
7276_92427_000025_000000	EDUCATE MEN AND WOMEN AS SOULS.	EDUCATE MEN AND WOMEN AS SOULS.	false	918	918.63	-20
7276_92427_000026_000000	Had Christendom but been true to its standard, while accommodating its modes of operation to the calls of successive times, Woman would now have not only equal _power_ with Man,--for of that omnipotent nature will never suffer her to be defrauded,--but a _chartered_ power, too fully recognized to be abused.	Had Christendom but been true to its standard, while accommodating its modes of operation to the calls of successive times, Woman would now have not only equal underscore power underscore with Man,--for of that omnipotent nature will never suffer her to be defrauded,--but a underscore chartered underscore power, too fully recognized to be abused.	false	918.63	921.45	20.728662
7276_92427_000026_000001	Indeed, all that is wanting is, that Man should prove his own freedom by making her free.	Indeed, all that is wanting is, that Man should prove his own freedom by making her free.	false	921.45	922.08	40.930832
7276_92427_000026_000002	Let him abandon conventional restriction, as a vestige of that Oriental barbarity which confined Woman to a seraglio.	Let him abandon conventional restriction, as a vestige of that Oriental barbarity which confined Woman to a seraglio.	false	922.08	922.08	
7276_92427_000026_000003	Let him trust her entirely, and give her every privilege already acquired for himself,--elective franchise, tenure of property, liberty to speak in public assemblies, &c.	Let him trust her entirely, and give her every privilege already acquired for himself,--elective franchise, tenure of property, liberty to speak in public assemblies, and c.	false	922.08	924.3	31.625795
