56_1732_000003_000000	He read the letters.	He read the letters.
56_1732_000006_000010	With his characteristic quickwittedness he caught the drift of each innuendo, divined whence it came, at whom and on what ground it was aimed, and that afforded him, as it always did, a certain satisfaction.	With his characteristic quickwittedness he caught the drift of each innuendo, divined whence it came, at whom and on what ground it was aimed, and that afforded him, as it always did, a certain satisfaction.
56_1732_000006_000011	But today that satisfaction was embittered by Matrona Philimonovna's advice and the unsatisfactory state of the household.	But today that satisfaction was embittered by Matrona Philimonovna's advice and the unsatisfactory state of the household.
56_1732_000006_000012	He read, too, that Count Beist was rumored to have left for Wiesbaden, and that one need have no more gray hair, and of the sale of a light carriage, and of a young person seeking a situation; but these items of information did not give him, as usual, a quiet, ironical gratification.	He read, too, that Count Beist was rumored to have left for Wiesbaden, and that one need have no more gray hair, and of the sale of a light carriage, and of a young person seeking a situation; but these items of information did not give him, as usual, a quiet, ironical gratification.
56_1732_000006_000013	Having finished the paper, a second cup of coffee and a roll and butter, he got up, shaking the crumbs of the roll off his waistcoat; and, squaring his broad chest, he smiled joyously: not because there was anything particularly agreeable in his mind--the joyous smile was evoked by a good digestion.	Having finished the paper, a second cup of coffee and a roll and butter, he got up, shaking the crumbs of the roll off his waistcoat; and, squaring his broad chest, he smiled joyously: not because there was anything particularly agreeable in his mind-the joyous smile was evoked by a good digestion.
56_1732_000007_000000	But this joyous smile at once recalled everything to him, and he grew thoughtful.	But this joyous smile at once recalled everything to him, and he grew thoughtful.
56_1732_000008_000000	Two childish voices (Stepan Arkadyevitch recognized the voices of Grisha, his youngest boy, and Tanya, his eldest girl) were heard outside the door.	Two childish voices (Stepan Arkadyevitch recognized the voices of Grisha, his youngest boy, and Tanya, his eldest girl) were heard outside the door.
56_1732_000008_000001	They were carrying something, and dropped it.	They were carrying something, and dropped it.
56_1732_000009_000000	"I told you not to sit passengers on the roof," said the little girl in English; "there, pick them up!"	"I told you not to sit passengers on the roof," said the little girl in English; "there, pick them up!"
56_1732_000010_000000	"Everything's in confusion," thought Stepan Arkadyevitch; "there are the children running about by themselves." And going to the door, he called them.	"Everything's in confusion," thought Stepan Arkadyevitch; "there are the children running about by themselves." And going to the door, he called them.
56_1732_000010_000001	They threw down the box, that represented a train, and came in to their father.	They threw down the box, that represented a train, and came in to their father.
56_1732_000011_000000	The little girl, her father's favorite, ran up boldly, embraced him, and hung laughingly on his neck, enjoying as she always did the smell of scent that came from his whiskers.	The little girl, her father's favorite, ran up boldly, embraced him, and hung laughingly on his neck, enjoying as she always did the smell of scent that came from his whiskers.
56_1732_000011_000001	At last the little girl kissed his face, which was flushed from his stooping posture and beaming with tenderness, loosed her hands, and was about to run away again; but her father held her back.	At last the little girl kissed his face, which was flushed from his stooping posture and beaming with tenderness, loosed her hands, and was about to run away again; but her father held her back.
56_1732_000012_000001	"Good morning," he said, smiling to the boy, who had come up to greet him.	"Good morning," he said, smiling to the boy, who had come up to greet him.
56_1732_000012_000002	He was conscious that he loved the boy less, and always tried to be fair; but the boy felt it, and did not respond with a smile to his father's chilly smile.	He was conscious that he loved the boy less, and always tried to be fair; but the boy felt it, and did not respond with a smile to his father's chilly smile.
56_1732_000013_000000	"Mamma?	"Mamma?
56_1732_000014_000000	Stepan Arkadyevitch sighed.	Stepan Arkadyevitch sighed.
56_1732_000015_000000	"Well, is she cheerful?"	"Well, is she cheerful?"
56_1732_000016_000000	The little girl knew that there was a quarrel between her father and mother, and that her mother could not be cheerful, and that her father must be aware of this, and that he was pretending when he asked about it so lightly.	The little girl knew that there was a quarrel between her father and mother, and that her mother could not be cheerful, and that her father must be aware of this, and that he was pretending when he asked about it so lightly.
56_1732_000016_000001	And she blushed for her father.	And she blushed for her father.
56_1732_000017_000000	"I don't know," she said.	"I don't know," she said.
56_1732_000017_000001	"She did not say we must do our lessons, but she said we were to go for a walk with Miss Hoole to grandmamma's."	"She did not say we must do our lessons, but she said we were to go for a walk with Miss Hoole to grandmamma's."
56_1732_000018_000000	"Well, go, Tanya, my darling.	"Well, go, Tanya, my darling.
56_1732_000019_000000	He took off the mantelpiece, where he had put it yesterday, a little box of sweets, and gave her two, picking out her favorites, a chocolate and a fondant.	He took off the mantelpiece, where he had put it yesterday, a little box of sweets, and gave her two, picking out her favorites, a chocolate and a fondant.
56_1732_000020_000000	"For Grisha?" said the little girl, pointing to the chocolate.	"For Grisha?" said the little girl, pointing to the chocolate.
56_1732_000021_000000	"Yes, yes." And still stroking her little shoulder, he kissed her on the roots of her hair and neck, and let her go.	"Yes, yes." And still stroking her little shoulder, he kissed her on the roots of her hair and neck, and let her go.
56_1732_000023_000000	"Been here long?" asked Stepan Arkadyevitch.	"Been here long?" asked Stepan Arkadyevitch.
56_1732_000024_000000	"Half an hour."	"Half an hour."
56_1732_000025_000000	"How many times have I told you to tell me at once?"	"How many times have I told you to tell me at once?"
56_1732_000026_000000	"One must let you drink your coffee in peace, at least," said Matvey, in the affectionately gruff tone with which it was impossible to be angry.	"One must let you drink your coffee in peace, at least," said Matvey, in the affectionately gruff tone with which it was impossible to be angry.
56_1732_000027_000000	"Well, show the person up at once," said Oblonsky, frowning with vexation.	"Well, show the person up at once," said Oblonsky, frowning with vexation.
56_1732_000028_000001	Having got rid of the staff captain's widow, Stepan Arkadyevitch took his hat and stopped to recollect whether he had forgotten anything.	Having got rid of the staff captain's widow, Stepan Arkadyevitch took his hat and stopped to recollect whether he had forgotten anything.
56_1732_000028_000002	It appeared that he had forgotten nothing except what he wanted to forget--his wife.	It appeared that he had forgotten nothing except what he wanted to forget-his wife.
56_1732_000029_000002	Except deceit and lying nothing could come of it now; and deceit and lying were opposed to his nature.	Except deceit and lying nothing could come of it now; and deceit and lying were opposed to his nature.
56_1732_000030_000000	"It must be some time, though: it can't go on like this," he said, trying to give himself courage.	"It must be some time, though: it can't go on like this," he said, trying to give himself courage.
56_1732_000030_000001	He squared his chest, took out a cigarette, took two whiffs at it, flung it into a mother-of-pearl ashtray, and with rapid steps walked through the drawing room, and opened the other door into his wife's bedroom.	He squared his chest, took out a cigarette, took two whiffs at it, flung it into a mother of pearl ashtray, and with rapid steps walked through the drawing room, and opened the other door into his wife's bedroom.
