4719_25766_000000_000000	CHAPTER II.	CHAPTER two.	false	0.27	16.275	22.572058
4719_25766_000034_000000	"A fine rubber and a good woollen blanket," remarked the Sergeant.	"A fine rubber and a good woollen blanket," remarked the Sergeant.	true	449.12	452.5	23
4719_25766_000034_000001	"Looks mighty like those goods once belonged to our good Uncle Samuel.	"Looks mighty like those goods once belonged to our good Uncle Samuel.	true	452.66	455.745	18
4719_25766_000034_000002	Bet your life, they are a part of the plunder from Shiloh.	Bet your life, they are a part of the plunder from Shiloh.	true	455.745	458.58	21.13268
4719_25766_000034_000003	Ah! here is a bundle of letters."	Ah! here is a bundle of letters."	true	458.58	460.45	18.489113
4719_25766_000035_000000	"Give them to me," said the Lieutenant.	"Give them to me," said the Lieutenant.	true	460.46	462.22	28.092154
4719_25766_000036_000000	The Sergeant handed them over, and the officer hastily glanced over them, reading the superscriptions.	The Sergeant handed them over, and the officer hastily glanced over them, reading the superscriptions.	true	462.41	467.23	15
4719_25766_000037_000000	"Why," he exclaimed, in surprise, "these letters are all addressed to persons in Kentucky.	"Why," he exclaimed, in surprise, "these letters are all addressed to persons in Kentucky.	true	467.45	471.96	19
4719_25766_000037_000001	What could that fellow be doing with letters going to Kentucky?	What could that fellow be doing with letters going to Kentucky?	false	471.96	475.27	21.209978
4719_25766_000037_000002	We will see." He tore open one of the letters.	We will see." He tore open one of the letters.	true	475.31	477.91	22.573858
4719_25766_000038_000000	He had read but a few lines when he exclaimed, with a strong expletive, "Boys, I would give a month's pay if we had captured that fellow!"	He had read but a few lines when he exclaimed, with a strong expletive, "Boys, I would give a month's pay if we had captured that fellow!"	true	478.07	485.28	20.346882
4719_25766_000039_000000	"Who was he?	"Who was he?	true	485.28	485.88	42
4719_25766_000039_000001	Who was he?" cried several soldiers in unison.	Who was he?" cried several soldiers in unison.	true	485.88	488.26	14
4719_25766_000040_000000	"He was--let me see--" and the Lieutenant tore open several more of the letters, and rapidly scanned them--"yes, these letters make it plain.	"He was-let me see-" and the Lieutenant tore open several more of the letters, and rapidly scanned them-"yes, these letters make it plain.	false	488.51	495.615	22.060158
4719_25766_000040_000001	He was a Lieutenant Calhoun Pennington, and he was from the Rebel army at Corinth.	He was a Lieutenant Calhoun Pennington, and he was from the Rebel army at Corinth.	true	495.615	499.965	20
4719_25766_000040_000002	I take it he was on his way back to Kentucky to recruit for the command of a Captain John H. Morgan.	I take it he was on his way back to Kentucky to recruit for the command of a Captain john h Morgan.	false	499.965	505.03	18
4719_25766_000040_000003	Morgan--Morgan, I have heard of that fellow before.	Morgan-Morgan, I have heard of that fellow before.	true	505.16	508.78	20.419216
4719_25766_000040_000004	He played the deuce with us in Kentucky last winter: burned the railroad bridge over Bacon Creek, captured trains, tore up the railroad, and played smash generally.	He played the deuce with us in Kentucky last winter: burned the railroad bridge over Bacon Creek, captured trains, tore up the railroad, and played smash generally.	true	508.88	517.54	21.46664
4719_25766_000040_000005	These letters all seem to be private ones written by the soldiers in Morgan's command to their relatives and friends back in Kentucky.	These letters all seem to be private ones written by the soldiers in Morgan's command to their relatives and friends back in Kentucky.	true	517.73	523.815	14
4719_25766_000040_000006	But he may have carried important dispatches on his person.	But he may have carried important dispatches on his person.	true	523.815	526.6	23.983335
4719_25766_000040_000007	We let a rare prize slip through our fingers."	We let a rare prize slip through our fingers."	true	526.7	529.15	23.250687
4719_25766_000041_000000	"Can't be helped now," dryly remarked Sergeant Latham.	"Can't be helped now," dryly remarked Sergeant Latham.	true	529.19	532.06	22
4719_25766_000041_000001	"If you had captured him it might have put one bar, if not two, on your shoulder-strap."	"If you had captured him it might have put one bar, if not two, on your shoulder strap."	true	532.16	537.07	21.450039
4719_25766_000042_000000	The Lieutenant scowled, but did not reply.	The Lieutenant scowled, but did not reply.	true	537.11	539.26	23
4719_25766_000042_000001	All the letters were read and passed around.	All the letters were read and passed around.	true	539.36	541.44	28
4719_25766_000042_000002	Three or four of them occasioned much merriment, for they were written by love-lorn swains whom the cruel hand of war had torn from their sweethearts.	Three or four of them occasioned much merriment, for they were written by love lorn swains whom the cruel hand of war had torn from their sweethearts.	true	541.44	548.23	18.220964
4719_25766_000043_000000	"Golly!	"Golly!	true	548.48	549.06	34
4719_25766_000043_000001	it's a wonder them letters hadn't melted from the sweetness they contained," remarked Sergeant Latham.	it's a wonder them letters hadn't melted from the sweetness they contained," remarked Sergeant Latham.	true	549.06	553.33	14
4719_25766_000044_000000	"Or took fire from their warmth," put in a boyish looking soldier.	"Or took fire from their warmth," put in a boyish looking soldier.	true	553.52	556.75	21.040226
4719_25766_000045_000000	"Not half as warm as the letter I caught you writing to Polly Jones the other day," laughed a comrade.	"Not half as warm as the letter I caught you writing to Polly Jones the other day," laughed a comrade.	false	556.85	561.16	15
4719_25766_000045_000001	"Boys, I looked over his shoulder and read some of it.	"Boys, I looked over his shoulder and read some of it.	true	561.38	563.685	16
4719_25766_000045_000002	I tell you it was hot stuff.	I tell you it was hot stuff.	true	563.685	565.545	24.45916
4719_25766_000045_000003	'My dearest Polly!' it commenced, 'I----' "	'My dearest Polly!' it commenced, 'I----' "	true	565.545	568.09	20.880959
4719_25766_000046_000000	But he never finished the sentence, for the young soldier sprang and struck him a blow which rolled him in the dust.	But he never finished the sentence, for the young soldier sprang and struck him a blow which rolled him in the dust.	false	568.19	573.045	16
4719_25766_000047_000000	"A fight! a fight!" shouted the men, and crowded around to see the fun.	"A fight! a fight!" shouted the men, and crowded around to see the fun.	true	573.045	576.555	20.154213
4719_25766_000048_000000	"Stop that!" roared the Lieutenant, "or I will have you both bucked and gagged when we get to camp.	"Stop that!" roared the Lieutenant, "or I will have you both bucked and gagged when we get to camp.	true	576.555	580.96	22.120674
4719_25766_000048_000001	Sergeant Latham, see that both of those men are put on extra duty to-night."	Sergeant Latham, see that both of those men are put on extra duty to night."	true	581.06	585.01	22.34693
4719_25766_000049_000000	When things had quieted down, others of the letters were read; but some of them occasioned no merriment.	When things had quieted down, others of the letters were read; but some of them occasioned no merriment.	true	585.26	590.805	17.766539
4719_25766_000049_000001	Instead, one could see a rough blouse sleeve drawn across the eyes, and a gulping down as if something choked the wearer.	Instead, one could see a rough blouse sleeve drawn across the eyes, and a gulping down as if something choked the wearer.	false	590.805	596.88	19
4719_25766_000049_000002	These were letters written to the wives and mothers who were watching and waiting for their loved ones to return.	These were letters written to the wives and mothers who were watching and waiting for their loved ones to return.	false	596.88	602.23	16
4719_25766_000049_000003	These letters reminded them of their own wives and mothers in the Northland, waiting and praying for them.	These letters reminded them of their own wives and mothers in the Northland, waiting and praying for them.	true	602.45	607.905	17.833931
4719_25766_000050_000000	Suddenly the Lieutenant spoke up: "Boys, we have been wasting time over those letters.	Suddenly the Lieutenant spoke up: "Boys, we have been wasting time over those letters.	true	607.905	612.01	19.691126
4719_25766_000050_000001	That fellow was making his way back to Kentucky.	That fellow was making his way back to Kentucky.	true	612.05	614.385	19
4719_25766_000050_000002	He has no horse.	He has no horse.	true	614.385	615.54	19.893887
4719_25766_000050_000003	What more natural than that he would try and obtain one at the first opportunity?	What more natural than that he would try and obtain one at the first opportunity?	false	615.54	619.12	20
4719_25766_000050_000004	That old Rebel Osborne lives not more than a mile ahead.	That old Rebel Osborne lives not more than a mile ahead.	false	619.34	622.2	16.522459
4719_25766_000050_000005	You remember we visited him last week, and threatened to arrest him if the railroad was tampered with any more.	You remember we visited him last week, and threatened to arrest him if the railroad was tampered with any more.	false	622.2	626.98	12
4719_25766_000050_000006	It was thought he sheltered these wandering bands of Confederates who make it dangerous to step outside the camp.	It was thought he sheltered these wandering bands of Confederates who make it dangerous to step outside the camp.	true	627.08	632.83	21
4719_25766_000050_000007	If we push on, we may catch our bird at Osborne's."	If we push on, we may catch our bird at Osborne's."	false	632.84	635.83	22
4719_25766_000051_000000	"If not, it will at least give you a chance to see the pretty daughter," remarked the Sergeant.	"If not, it will at least give you a chance to see the pretty daughter," remarked the Sergeant.	false	636.02	639.88	20.506609
4719_25766_000052_000000	"Shut up, or I will have you reduced to the ranks," growled the Lieutenant.	"Shut up, or I will have you reduced to the ranks," growled the Lieutenant.	true	640.01	644.11	20.01208
4719_25766_000053_000000	The subject was rather a painful one to the Lieutenant, for during his visit to the Osbornes the week before, when he tried to make himself agreeable to the daughter, the lady told him in very plain words what she thought of Yankees.	The subject was rather a painful one to the Lieutenant, for during his visit to the Osbornes the week before, when he tried to make himself agreeable to the daughter, the lady told him in very plain words what she thought of Yankees.	true	644.51	655.96	20.264626
4719_25766_000054_000000	"It's nearly noon, too," continued the Lieutenant, after the interruption, "and that spring near the house is a splendid place to rest our horses and eat our dinners; so fall in." The Lieutenant slowly mounted Calhoun's horse, for his fall had made him sore, and in none the best of humor, he gave the command, "Forward!"	"It's nearly noon, too," continued the Lieutenant, after the interruption, "and that spring near the house is a splendid place to rest our horses and eat our dinners; so fall in." The Lieutenant slowly mounted Calhoun's horse, for his fall had made him sore, and in none the best of humor, he gave the command, "Forward!"	true	656.42	673.27	19.570047
4719_25766_000055_000000	The plantation of Mr. Osborne was soon reached.	The plantation of mr Osborne was soon reached.	true	673.76	676.05	17
4719_25766_000055_000001	It was a beautiful place. The country had not yet been devastated by the cruel hand of war, and the landscape, rich with the growing crops, lay glowing under the bright April sky.	It was a beautiful place. The country had not yet been devastated by the cruel hand of war, and the landscape, rich with the growing crops, lay glowing under the bright April sky.	true	676.05	685.09	21.708261
4719_25766_000055_000002	The mansion house stood back from the road in a grove of noble native trees, and the whole surroundings betokened a home of wealth and refinement.	The mansion house stood back from the road in a grove of noble native trees, and the whole surroundings betokened a home of wealth and refinement.	true	685.22	691.99	15
4719_25766_000056_000000	From underneath a rock near the house gushed forth a spring, whose waters, clear as crystal, ran away in a rippling stream.	From underneath a rock near the house gushed forth a spring, whose waters, clear as crystal, ran away in a rippling stream.	true	692.09	698.325	21
4719_25766_000056_000001	It was near this spring that Lieutenant Haines, for that was the officer's name, halted his troops.	It was near this spring that Lieutenant Haines, for that was the officer's name, halted his troops.	true	698.325	703.36	22.08777
4719_25766_000057_000000	"Better throw a guard around the house," he said to Sergeant Latham, "for if that Rebel has found his way here, he may make a sneak out the back way.	"Better throw a guard around the house," he said to Sergeant Latham, "for if that Rebel has found his way here, he may make a sneak out the back way.	false	703.4	710.95	20.249039
4719_25766_000057_000001	After you get the guard posted, we will search the house."	After you get the guard posted, we will search the house."	true	711.17	713.95	21
4719_25766_000058_000000	As the Sergeant was executing his orders, Mr. Osborne came out of the house, and approaching the troop, to Lieutenant Haines's surprise, gave him a cordial greeting.	As the Sergeant was executing his orders, mr Osborne came out of the house, and approaching the troop, to Lieutenant Haines's surprise, gave him a cordial greeting.	false	713.96	722.11	20
4719_25766_000059_000000	"I cannot say I am rejoiced to see you again," he exclaimed, with a smile, "except you come in peace.	"I cannot say I am rejoiced to see you again," he exclaimed, with a smile, "except you come in peace.	true	722.33	727.48	18.966879
4719_25766_000059_000001	I trust that the telegraph wire has not been cut, or the railroad torn up again."	I trust that the telegraph wire has not been cut, or the railroad torn up again."	true	727.73	731.445	20
4719_25766_000060_000000	"Nothing of the kind has happened," answered the Lieutenant.	"Nothing of the kind has happened," answered the Lieutenant.	true	731.445	733.92	17
4719_25766_000061_000000	"Then I reckon I am in no danger of arrest, and I trust you will take dinner with us.	"Then I reckon I am in no danger of arrest, and I trust you will take dinner with us.	false	733.92	738.06	20.992754
4719_25766_000061_000001	It is nearly ready."	It is nearly ready."	true	738.06	739.39	17.603111
4719_25766_000062_000000	The invitation nearly took away the Lieutenant's breath, but he accepted it gladly.	The invitation nearly took away the Lieutenant's breath, but he accepted it gladly.	true	739.43	743.44	25.416277
