497_125118_000000_000000	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	false	0	3.42	6
497_125118_000015_000001	On a certain day, some wretched infant having purchased the damp gingerbread-horse (fearfully out of condition), and the adhesive bird-cage, which had been exposed for the day's sale, he had taken a tin box from under his stool to produce a relay of those dreadful specimens, and was going to look in at the lid, when he said to himself, pausing: 'Oh!	On a certain day, some wretched infant having purchased the damp gingerbread horse (fearfully out of condition), and the adhesive bird cage, which had been exposed for the day's sale, he had taken a tin box from under his stool to produce a relay of those dreadful specimens, and was going to look in at the lid, when he said to himself, pausing: 'Oh!	true	444.32	466.18	16
497_125118_000015_000002	Here you are again!'	Here you are again!'	true	466.67	470.25	15.056907
497_125118_000016_000000	The words referred to a broad, round-shouldered, one-sided old fellow in mourning, coming comically ambling towards the corner, dressed in a pea over-coat, and carrying a large stick.	The words referred to a broad, round shouldered, one sided old fellow in mourning, coming comically ambling towards the corner, dressed in a pea over coat, and carrying a large stick.	false	470.25	480.88	14
497_125118_000016_000001	He wore thick shoes, and thick leather gaiters, and thick gloves like a hedger's.	He wore thick shoes, and thick leather gaiters, and thick gloves like a hedger's.	true	481.16	486.07	16
497_125118_000016_000002	Both as to his dress and to himself, he was of an overlapping rhinoceros build, with folds in his cheeks, and his forehead, and his eyelids, and his lips, and his ears; but with bright, eager, childishly-inquiring, grey eyes, under his ragged eyebrows, and broad-brimmed hat.	Both as to his dress and to himself, he was of an overlapping rhinoceros build, with folds in his cheeks, and his forehead, and his eyelids, and his lips, and his ears; but with bright, eager, childishly inquiring, grey eyes, under his ragged eyebrows, and broad brimmed hat.	true	486.86	506.44	16
497_125118_000016_000003	A very odd-looking old fellow altogether.	A very odd looking old fellow altogether.	false	507.2	510.6	15
497_125118_000017_000000	'Here you are again,' repeated Mr Wegg, musing.	'Here you are again,' repeated Mr Wegg, musing.	true	510.6	514.21	19
497_125118_000017_000001	'And what are you now? Are you in the Funns, or where are you?	'And what are you now? Are you in the Funns, or where are you?	true	514.43	519.67	15.902476
497_125118_000017_000002	Have you lately come to settle in this neighbourhood, or do you own to another neighbourhood?	Have you lately come to settle in this neighbourhood, or do you own to another neighbourhood?	true	520.43	525.76	15.961299
497_125118_000017_000003	Are you in independent circumstances, or is it wasting the motions of a bow on you?	Are you in independent circumstances, or is it wasting the motions of a bow on you?	true	526.4	532.51	16
497_125118_000017_000004	Come!	Come!	true	532.85	533.535	15
497_125118_000017_000005	I'll speculate!	I'll speculate!	true	533.535	534.75	12
497_125118_000017_000006	I'll invest a bow in you.'	I'll invest a bow in you.'	true	534.75	536.29	16
497_125118_000018_000000	Which Mr Wegg, having replaced his tin box, accordingly did, as he rose to bait his gingerbread-trap for some other devoted infant.	Which Mr Wegg, having replaced his tin box, accordingly did, as he rose to bait his gingerbread trap for some other devoted infant.	true	536.87	545.77	14
497_125118_000018_000001	The salute was acknowledged with:	The salute was acknowledged with:	true	546.23	548.05	17
497_125118_000019_000000	'Morning, sir!	'Morning, sir!	true	548.66	549.52	21.470942
497_125118_000019_000001	Morning!	Morning!	true	549.71	550.245	20.357822
497_125118_000019_000002	Morning!'	Morning!'	true	550.245	550.84	22
497_125118_000020_000000	('Calls me Sir!' said Mr Wegg, to himself; 'HE won't answer.	('Calls me Sir!' said Mr Wegg, to himself; 'HE won't answer.	true	551.48	556.12	16
497_125118_000020_000001	A bow gone!')	A bow gone!')	true	556.37	557.44	17
497_125118_000021_000000	'Morning, morning, morning!'	'Morning, morning, morning!'	true	558.29	559.99	17.343931
497_125118_000022_000000	'Appears to be rather a 'arty old cock, too,' said Mr Wegg, as before; 'Good morning to YOU, sir.'	'Appears to be rather a 'arty old cock, too,' said Mr Wegg, as before; 'Good morning to YOU, sir.'	true	561.35	571.785	16.106915
497_125118_000023_000000	'Do you remember me, then?' asked his new acquaintance, stopping in his amble, one-sided, before the stall, and speaking in a pounding way, though with great good-humour.	'Do you remember me, then?' asked his new acquaintance, stopping in his amble, one sided, before the stall, and speaking in a pounding way, though with great good humour.	true	571.785	581.92	18
497_125118_000024_000000	'I have noticed you go past our house, sir, several times in the course of the last week or so.'	'I have noticed you go past our house, sir, several times in the course of the last week or so.'	false	582.89	588.7	15
497_125118_000025_000000	'Our house,' repeated the other.	'Our house,' repeated the other.	true	589.34	591.22	18.288843
497_125118_000025_000001	'Meaning--?'	'Meaning-?'	true	591.26	592.12	18.138401
497_125118_000026_000000	'Yes,' said Mr Wegg, nodding, as the other pointed the clumsy forefinger of his right glove at the corner house.	'Yes,' said Mr Wegg, nodding, as the other pointed the clumsy forefinger of his right glove at the corner house.	true	593.3	600.58	14
497_125118_000027_000000	'Oh!	'Oh!	true	601.22	601.875	17.8082
497_125118_000027_000001	Now, what,' pursued the old fellow, in an inquisitive manner, carrying his knotted stick in his left arm as if it were a baby, 'what do they allow you now?'	Now, what,' pursued the old fellow, in an inquisitive manner, carrying his knotted stick in his left arm as if it were a baby, 'what do they allow you now?'	true	601.875	611.32	16.811693
497_125118_000028_000000	'It's job work that I do for our house,' returned Silas, drily, and with reticence; 'it's not yet brought to an exact allowance.'	'It's job work that I do for our house,' returned Silas, drily, and with reticence; 'it's not yet brought to an exact allowance.'	true	612.8	622.21	17
497_125118_000029_000000	'Oh!	'Oh!	true	622.28	623.115	20.223164
497_125118_000029_000001	It's not yet brought to an exact allowance?	It's not yet brought to an exact allowance?	true	623.115	625.27	18
497_125118_000029_000002	No!	No!	true	625.31	625.99	20.406992
497_125118_000029_000003	It's not yet brought to an exact allowance.	It's not yet brought to an exact allowance.	true	626.09	628.305	16
497_125118_000029_000004	Oh!--Morning, morning, morning!'	Oh!--Morning, morning, morning!'	true	628.305	630.82	19.791033
497_125118_000030_000000	'Appears to be rather a cracked old cock,' thought Silas, qualifying his former good opinion, as the other ambled off.	'Appears to be rather a cracked old cock,' thought Silas, qualifying his former good opinion, as the other ambled off.	false	632.69	641.11	14
497_125118_000030_000001	But, in a moment he was back again with the question:	But, in a moment he was back again with the question:	true	641.72	645.4	15
497_125118_000031_000000	'How did you get your wooden leg?'	'How did you get your wooden leg?'	true	647.24	651.135	17.529186
497_125118_000032_000000	Mr Wegg replied, (tartly to this personal inquiry), 'In an accident.'	Mr Wegg replied, (tartly to this personal inquiry), 'In an accident.'	true	651.135	656.62	15
497_125118_000033_000000	'Do you like it?'	'Do you like it?'	true	657.62	658.54	18.962948
497_125118_000034_000000	'Well!	'Well!	true	660.8	661.54	13
497_125118_000034_000001	I haven't got to keep it warm,' Mr Wegg made answer, in a sort of desperation occasioned by the singularity of the question.	I haven't got to keep it warm,' Mr Wegg made answer, in a sort of desperation occasioned by the singularity of the question.	true	662	670.51	17
497_125118_000035_000000	'He hasn't,' repeated the other to his knotted stick, as he gave it a hug; 'he hasn't got--ha!--ha!--to keep it warm!	'He hasn't,' repeated the other to his knotted stick, as he gave it a hug; 'he hasn't got-ha!--ha!--to keep it warm!	true	671.3	678.43	20.082653
497_125118_000035_000001	Did you ever hear of the name of Boffin?'	Did you ever hear of the name of Boffin?'	false	678.89	680.62	18
497_125118_000036_000000	'No,' said Mr Wegg, who was growing restive under this examination.	'No,' said Mr Wegg, who was growing restive under this examination.	false	683	687.49	16
497_125118_000036_000001	'I never did hear of the name of Boffin.'	'I never did hear of the name of Boffin.'	true	687.71	690.16	12
497_125118_000037_000000	'Do you like it?'	'Do you like it?'	true	691.1	691.96	24.245222
497_125118_000038_000000	'Why, no,' retorted Mr Wegg, again approaching desperation; 'I can't say I do.'	'Why, no,' retorted Mr Wegg, again approaching desperation; 'I can't say I do.'	true	692.57	698.73	18
497_125118_000039_000000	'Why don't you like it?'	'Why don't you like it?'	false	698.73	701.65	17.366488
497_125118_000040_000000	'I don't know why I don't,' retorted Mr Wegg, approaching frenzy, 'but I don't at all.'	'I don't know why I don't,' retorted Mr Wegg, approaching frenzy, 'but I don't at all.'	true	703.31	708.7	15
497_125118_000041_000000	'Now, I'll tell you something that'll make you sorry for that,' said the stranger, smiling.	'Now, I'll tell you something that'll make you sorry for that,' said the stranger, smiling.	true	710.03	715.12	18.954222
497_125118_000041_000001	'My name's Boffin.'	'My name's Boffin.'	true	715.61	716.92	18.187107
497_125118_000042_000000	'I can't help it!' returned Mr Wegg.	'I can't help it!' returned Mr Wegg.	true	718.37	720.885	18.966084
497_125118_000042_000001	Implying in his manner the offensive addition, 'and if I could, I wouldn't.'	Implying in his manner the offensive addition, 'and if I could, I wouldn't.'	false	720.885	725.92	13
497_125118_000043_000000	'But there's another chance for you,' said Mr Boffin, smiling still, 'Do you like the name of Nicodemus?	'But there's another chance for you,' said Mr Boffin, smiling still, 'Do you like the name of Nicodemus?	true	726.74	733.09	19.298122
497_125118_000043_000001	Think it over.	Think it over.	true	733.22	733.965	21.175592
497_125118_000043_000002	Nick, or Noddy.'	Nick, or Noddy.'	true	733.965	735.34	20.394058
497_125118_000044_000000	'It is not, sir,' Mr Wegg rejoined, as he sat down on his stool, with an air of gentle resignation, combined with melancholy candour; 'it is not a name as I could wish any one that I had a respect for, to call ME by; but there may be persons that would not view it with the same objections.--I don't know why,' Mr Wegg added, anticipating another question.	'It is not, sir,' Mr Wegg rejoined, as he sat down on his stool, with an air of gentle resignation, combined with melancholy candour; 'it is not a name as I could wish any one that I had a respect for, to call m e by; but there may be persons that would not view it with the same objections.--I don't know why,' Mr Wegg added, anticipating another question.	false	737.3	765.31	16.842054
497_125118_000045_000000	'Noddy Boffin,' said that gentleman.	'Noddy Boffin,' said that gentleman.	true	766.82	769.47	18.127739
497_125118_000045_000001	'Noddy.	'Noddy.	true	769.47	770.025	22.427881
497_125118_000045_000002	That's my name.	That's my name.	true	770.025	770.805	25.120895
497_125118_000045_000003	Noddy--or Nick--Boffin.	Noddy-or Nick-Boffin.	true	770.805	772.45	21.312817
497_125118_000045_000004	What's your name?'	What's your name?'	true	773.27	774.37	20.174768
497_125118_000046_000000	'Silas Wegg.--I don't,' said Mr Wegg, bestirring himself to take the same precaution as before, 'I don't know why Silas, and I don't know why Wegg.'	'Silas Wegg.--I don't,' said Mr Wegg, bestirring himself to take the same precaution as before, 'I don't know why Silas, and I don't know why Wegg.'	true	776.33	788.68	17.124176
497_125118_000047_000000	'Now, Wegg,' said Mr Boffin, hugging his stick closer, 'I want to make a sort of offer to you.	'Now, Wegg,' said Mr Boffin, hugging his stick closer, 'I want to make a sort of offer to you.	true	790.16	796.33	19.953829
497_125118_000047_000001	Do you remember when you first see me?'	Do you remember when you first see me?'	true	797.72	799.42	14
497_125118_000048_000000	The wooden Wegg looked at him with a meditative eye, and also with a softened air as descrying possibility of profit.	The wooden Wegg looked at him with a meditative eye, and also with a softened air as descrying possibility of profit.	true	800.9	808.06	13
497_125118_000048_000001	'Let me think.	'Let me think.	true	809.15	810.67	13
497_125118_000048_000002	I ain't quite sure, and yet I generally take a powerful sight of notice, too. Was it on a Monday morning, when the butcher-boy had been to our house for orders, and bought a ballad of me, which, being unacquainted with the tune, I run it over to him?'	I ain't quite sure, and yet I generally take a powerful sight of notice, too. Was it on a Monday morning, when the butcher boy had been to our house for orders, and bought a ballad of me, which, being unacquainted with the tune, I run it over to him?'	true	811.04	825.97	14
497_125118_000049_000000	'Right, Wegg, right!	'Right, Wegg, right!	true	827.33	828.79	22.411753
497_125118_000049_000001	But he bought more than one.'	But he bought more than one.'	true	829.61	830.98	16
497_125118_000050_000000	'Yes, to be sure, sir; he bought several; and wishing to lay out his money to the best, he took my opinion to guide his choice, and we went over the collection together.	'Yes, to be sure, sir; he bought several; and wishing to lay out his money to the best, he took my opinion to guide his choice, and we went over the collection together.	false	831.92	842.01	13
497_125118_000050_000001	To be sure we did.	To be sure we did.	true	842.01	843.19	14
497_125118_000050_000002	Here was him as it might be, and here was myself as it might be, and there was you, Mr Boffin, as you identically are, with your self-same stick under your very same arm, and your very same back towards us.	Here was him as it might be, and here was myself as it might be, and there was you, Mr Boffin, as you identically are, with your self same stick under your very same arm, and your very same back towards us.	true	843.47	856.57	14
497_125118_000050_000003	To--be--sure!' added Mr Wegg, looking a little round Mr Boffin, to take him in the rear, and identify this last extraordinary coincidence, 'your wery self-same back!'	To-be-sure!' added Mr Wegg, looking a little round Mr Boffin, to take him in the rear, and identify this last extraordinary coincidence, 'your wery self same back!'	false	857.27	869.94	13
497_125118_000051_000000	'What do you think I was doing, Wegg?'	'What do you think I was doing, Wegg?'	true	869.94	871.54	14
497_125118_000052_000000	'I should judge, sir, that you might be glancing your eye down the street.'	'I should judge, sir, that you might be glancing your eye down the street.'	true	873.02	878.26	14
497_125118_000053_000000	'No, Wegg.	'No, Wegg.	true	879.05	879.97	18.31081
497_125118_000053_000001	I was a listening.'	I was a listening.'	false	880.31	881.35	17.302826
497_125118_000054_000000	'Was you, indeed?' said Mr Wegg, dubiously.	'Was you, indeed?' said Mr Wegg, dubiously.	true	882.14	885.97	12
497_125118_000055_000000	'Not in a dishonourable way, Wegg, because you was singing to the butcher; and you wouldn't sing secrets to a butcher in the street, you know.'	'Not in a dishonourable way, Wegg, because you was singing to the butcher; and you wouldn't sing secrets to a butcher in the street, you know.'	true	887.42	894.34	16
497_125118_000056_000000	'It never happened that I did so yet, to the best of my remembrance,' said Mr Wegg, cautiously.	'It never happened that I did so yet, to the best of my remembrance,' said Mr Wegg, cautiously.	true	896.81	902.98	13
497_125118_000056_000001	'But I might do it.	'But I might do it.	true	903.8	905.23	17
497_125118_000056_000002	A man can't say what he might wish to do some day or another.' (This, not to release any little advantage he might derive from Mr Boffin's avowal.)	A man can't say what he might wish to do some day or another.' (This, not to release any little advantage he might derive from Mr Boffin's avowal.)	false	905.24	915.69	13
497_125118_000057_000000	'Well,' repeated Boffin, 'I was a listening to you and to him.	'Well,' repeated Boffin, 'I was a listening to you and to him.	true	915.69	919.3	16.962933
497_125118_000057_000001	And what do you--you haven't got another stool, have you?	And what do you-you haven't got another stool, have you?	false	920.33	923.68	18
497_125118_000057_000002	I'm rather thick in my breath.'	I'm rather thick in my breath.'	true	924.08	925.75	14
497_125118_000058_000000	'I haven't got another, but you're welcome to this,' said Wegg, resigning it.	'I haven't got another, but you're welcome to this,' said Wegg, resigning it.	false	927.2	932.77	18
497_125118_000058_000001	'It's a treat to me to stand.'	'It's a treat to me to stand.'	true	932.93	935.35	13.453139
497_125118_000059_000000	'Lard!' exclaimed Mr Boffin, in a tone of great enjoyment, as he settled himself down, still nursing his stick like a baby, 'it's a pleasant place, this!	'Lard!' exclaimed Mr Boffin, in a tone of great enjoyment, as he settled himself down, still nursing his stick like a baby, 'it's a pleasant place, this!	true	936.2	946.06	17.175266
497_125118_000059_000001	And then to be shut in on each side, with these ballads, like so many book-leaf blinkers!	And then to be shut in on each side, with these ballads, like so many book leaf blinkers!	true	947.18	952.45	19
497_125118_000059_000002	Why, its delightful!'	Why, its delightful!'	true	953	954.25	23.922432
497_125118_000060_000000	'If I am not mistaken, sir,' Mr Wegg delicately hinted, resting a hand on his stall, and bending over the discursive Boffin, 'you alluded to some offer or another that was in your mind?'	'If I am not mistaken, sir,' Mr Wegg delicately hinted, resting a hand on his stall, and bending over the discursive Boffin, 'you alluded to some offer or another that was in your mind?'	true	954.77	967.36	14
497_125118_000061_000000	'I'm coming to it!	'I'm coming to it!	true	968	969.105	15
497_125118_000061_000001	All right.	All right.	true	969.105	969.82	14
497_125118_000061_000002	I'm coming to it!	I'm coming to it!	true	969.89	971.02	21
497_125118_000061_000003	I was going to say that when I listened that morning, I listened with hadmiration amounting to haw.	I was going to say that when I listened that morning, I listened with hadmiration amounting to haw.	false	971.6	979.38	17.612823
497_125118_000061_000004	I thought to myself, "Here's a man with a wooden leg--a literary man with--"'	I thought to myself, "Here's a man with a wooden leg-a literary man with-"'	true	979.38	984.6	16.572695
497_125118_000062_000000	'N--not exactly so, sir,' said Mr Wegg.	'n--not exactly so, sir,' said Mr Wegg.	false	984.6	988.9	17.676168
497_125118_000063_000000	'Why, you know every one of these songs by name and by tune, and if you want to read or to sing any one on 'em off straight, you've only to whip on your spectacles and do it!' cried Mr Boffin.	'Why, you know every one of these songs by name and by tune, and if you want to read or to sing any one on 'em off straight, you've only to whip on your spectacles and do it!' cried Mr Boffin.	false	990.11	1001.05	17.967012
497_125118_000063_000001	'I see you at it!'	'I see you at it!'	false	1001.05	1004.52	17.095617
497_125118_000064_000000	'Well, sir,' returned Mr Wegg, with a conscious inclination of the head; 'we'll say literary, then.'	'Well, sir,' returned Mr Wegg, with a conscious inclination of the head; 'we'll say literary, then.'	false	1004.52	1011.82	16
