3551_7887_000001_000000	CHAPTER VI	CHAPTER six
3551_7887_000047_000006	She'd rebuke you publicly, and betray herself and you in a flash, sooner than submit to a loss of dignity."	She'd rebuke you publicly, and betray herself and you in a flash, sooner than submit to a loss of dignity."
3551_7887_000049_000000	"Ah! there's the trouble, friend.	"Ah! there's the trouble, friend.
3551_7887_000049_000002	We are still twenty strong, and heart and soul in sympathy with your mad schemes.	We are still twenty strong, and heart and soul in sympathy with your mad schemes.
3551_7887_000049_000003	The poor, poor Queen!	The poor, poor Queen!
3551_7887_000049_000004	But you are bound to fail, and then who will help you all, if we too are put out of the way?"	But you are bound to fail, and then who will help you all, if we too are put out of the way?"
3551_7887_000053_000001	He unlocked it and drew forth a bundle of papers.	He unlocked it and drew forth a bundle of papers.
3551_7887_000054_000000	"Will you look through these?" he asked, handing them to Sir Percy Blakeney.	"Will you look through these?" he asked, handing them to Sir Percy Blakeney.
3551_7887_000055_000000	"What are they?"	"What are they?"
3551_7887_000057_000000	"Burn them, my friend," said Blakeney laconically.	"Burn them, my friend," said Blakeney laconically.
3551_7887_000058_000000	"I can't burn these.	"I can't burn these.
3551_7887_000059_000000	"Better that than papers in these times, my friend: these papers, if found, would send you, untried, to the guillotine."	"Better that than papers in these times, my friend: these papers, if found, would send you, untried, to the guillotine."
3551_7887_000060_000000	"I am careful, and, at present, quite beyond suspicion.	"I am careful, and, at present, quite beyond suspicion.
3551_7887_000061_000000	He suddenly paused.	He suddenly paused.
3551_7887_000062_000000	He turned, and there in the doorway, holding back the heavy portiere, stood Juliette, graceful, smiling, a little pale, this no doubt owing to the flickering light of the unsnuffed candles.	He turned, and there in the doorway, holding back the heavy portiere, stood Juliette, graceful, smiling, a little pale, this no doubt owing to the flickering light of the unsnuffed candles.
3551_7887_000066_000000	"In a moment, mademoiselle," he replied lightly, "my friend and I have just finished our talk.	"In a moment, mademoiselle," he replied lightly, "my friend and I have just finished our talk.
