576_129623_000000_000000	"I will, thank you.	"I will, thank you.	false	0	0.3	3
576_129623_000007_000001	The conditions of her life were in no way changed, but her whole existence was dulled, like a faded garment which seems to be no longer worth wearing.	The conditions of her life were in no way changed, but her whole existence was dulled, like a faded garment which seems to be no longer worth wearing.	true	66.41	75.46	20.88855
576_129623_000007_000002	She sought him everywhere--in others whom she induced to talk about him.	She sought him everywhere-in others whom she induced to talk about him.	false	75.74	81.01	21.947222
576_129623_000007_000003	She went up in the mornings to Madame Lebrun's room, braving the clatter of the old sewing-machine.	She went up in the mornings to Madame Lebrun's room, braving the clatter of the old sewing machine.	false	81.08	88.32	22.937956
576_129623_000007_000004	She sat there and chatted at intervals as Robert had done.	She sat there and chatted at intervals as Robert had done.	false	88.32	91.875	22
576_129623_000007_000005	She gazed around the room at the pictures and photographs hanging upon the wall, and discovered in some corner an old family album, which she examined with the keenest interest, appealing to Madame Lebrun for enlightenment concerning the many figures and faces which she discovered between its pages.	She gazed around the room at the pictures and photographs hanging upon the wall, and discovered in some corner an old family album, which she examined with the keenest interest, appealing to Madame Lebrun for enlightenment concerning the many figures and faces which she discovered between its pages.	false	91.875	110.08	20
576_129623_000008_000000	There was a picture of Madame Lebrun with Robert as a baby, seated in her lap, a round-faced infant with a fist in his mouth.	There was a picture of Madame Lebrun with Robert as a baby, seated in her lap, a round faced infant with a fist in his mouth.	false	110.51	119.655	22.362486
576_129623_000008_000001	The eyes alone in the baby suggested the man.	The eyes alone in the baby suggested the man.	true	119.655	122.47	13
576_129623_000008_000002	And that was he also in kilts, at the age of five, wearing long curls and holding a whip in his hand.	And that was he also in kilts, at the age of five, wearing long curls and holding a whip in his hand.	true	122.93	129.19	16
576_129623_000008_000003	It made Edna laugh, and she laughed, too, at the portrait in his first long trousers; while another interested her, taken when he left for college, looking thin, long-faced, with eyes full of fire, ambition and great intentions. But there was no recent picture, none which suggested the Robert who had gone away five days ago, leaving a void and wilderness behind him.	It made Edna laugh, and she laughed, too, at the portrait in his first long trousers; while another interested her, taken when he left for college, looking thin, long faced, with eyes full of fire, ambition and great intentions. But there was no recent picture, none which suggested the Robert who had gone away five days ago, leaving a void and wilderness behind him.	false	129.29	153.88	21.72558
576_129623_000009_000000	"Oh, Robert stopped having his pictures taken when he had to pay for them himself!	"Oh, Robert stopped having his pictures taken when he had to pay for them himself!	false	154.4	158.98	23
576_129623_000009_000001	He found wiser use for his money, he says," explained Madame Lebrun.	He found wiser use for his money, he says," explained Madame Lebrun.	false	159.26	164.61	21.53511
576_129623_000009_000002	She had a letter from him, written before he left New Orleans.	She had a letter from him, written before he left New Orleans.	true	164.61	168.13	18
576_129623_000009_000003	Edna wished to see the letter, and Madame Lebrun told her to look for it either on the table or the dresser, or perhaps it was on the mantelpiece.	Edna wished to see the letter, and Madame Lebrun told her to look for it either on the table or the dresser, or perhaps it was on the mantelpiece.	false	169.43	178.36	22.027306
576_129623_000010_000000	The letter was on the bookshelf.	The letter was on the bookshelf.	true	178.79	180.855	21
576_129623_000010_000001	It possessed the greatest interest and attraction for Edna; the envelope, its size and shape, the post-mark, the handwriting.	It possessed the greatest interest and attraction for Edna; the envelope, its size and shape, the post mark, the handwriting.	false	180.855	189.34	24.89096
576_129623_000010_000002	She examined every detail of the outside before opening it.	She examined every detail of the outside before opening it.	true	189.47	193.39	22
576_129623_000010_000003	There were only a few lines, setting forth that he would leave the city that afternoon, that he had packed his trunk in good shape, that he was well, and sent her his love and begged to be affectionately remembered to all.	There were only a few lines, setting forth that he would leave the city that afternoon, that he had packed his trunk in good shape, that he was well, and sent her his love and begged to be affectionately remembered to all.	false	193.76	206.95	23.463396
576_129623_000010_000004	There was no special message to Edna except a postscript saying that if Mrs. Pontellier desired to finish the book which he had been reading to her, his mother would find it in his room, among other books there on the table.	There was no special message to Edna except a postscript saying that if mrs Pontellier desired to finish the book which he had been reading to her, his mother would find it in his room, among other books there on the table.	false	207.35	220.21	26.08743
576_129623_000010_000005	Edna experienced a pang of jealousy because he had written to his mother rather than to her.	Edna experienced a pang of jealousy because he had written to his mother rather than to her.	true	220.7	225.67	22.024961
576_129623_000011_000000	Every one seemed to take for granted that she missed him.	Every one seemed to take for granted that she missed him.	true	226.1	229.035	26
576_129623_000011_000001	Even her husband, when he came down the Saturday following Robert's departure, expressed regret that he had gone.	Even her husband, when he came down the Saturday following Robert's departure, expressed regret that he had gone.	false	229.035	235.3	22
576_129623_000012_000000	"How do you get on without him, Edna?" he asked.	"How do you get on without him, Edna?" he asked.	false	235.58	238.8	21.710598
576_129623_000013_000000	"It's very dull without him," she admitted.	"It's very dull without him," she admitted.	false	238.8	241.59	20.214298
576_129623_000013_000001	Mr. Pontellier had seen Robert in the city, and Edna asked him a dozen questions or more.	mr Pontellier had seen Robert in the city, and Edna asked him a dozen questions or more.	false	241.59	247.24	20
576_129623_000013_000002	Where had they met?	Where had they met?	true	248.18	249.465	22.702892
576_129623_000013_000003	On Carondelet Street, in the morning.	On Carondelet Street, in the morning.	true	249.465	251.89	20
576_129623_000013_000004	They had gone "in" and had a drink and a cigar together.	They had gone "in" and had a drink and a cigar together.	false	251.9	255.28	22.625957
576_129623_000013_000005	What had they talked about? Chiefly about his prospects in Mexico, which Mr. Pontellier thought were promising.	What had they talked about? Chiefly about his prospects in Mexico, which mr Pontellier thought were promising.	true	255.38	261.43	24.337738
576_129623_000013_000006	How did he look?	How did he look?	true	261.53	262.75	22.820862
576_129623_000013_000007	How did he seem--grave, or gay, or how? Quite cheerful, and wholly taken up with the idea of his trip, which Mr. Pontellier found altogether natural in a young fellow about to seek fortune and adventure in a strange, queer country.	How did he seem-grave, or gay, or how? Quite cheerful, and wholly taken up with the idea of his trip, which mr Pontellier found altogether natural in a young fellow about to seek fortune and adventure in a strange, queer country.	false	262.88	276.84	19.734266
576_129623_000014_000000	Edna tapped her foot impatiently, and wondered why the children persisted in playing in the sun when they might be under the trees.	Edna tapped her foot impatiently, and wondered why the children persisted in playing in the sun when they might be under the trees.	false	276.84	283.54	17
576_129623_000014_000001	She went down and led them out of the sun, scolding the quadroon for not being more attentive.	She went down and led them out of the sun, scolding the quadroon for not being more attentive.	true	284	289.47	20
576_129623_000015_000000	It did not strike her as in the least grotesque that she should be making of Robert the object of conversation and leading her husband to speak of him.	It did not strike her as in the least grotesque that she should be making of Robert the object of conversation and leading her husband to speak of him.	false	289.47	297.34	20
576_129623_000015_000001	The sentiment which she entertained for Robert in no way resembled that which she felt for her husband, or had ever felt, or ever expected to feel.	The sentiment which she entertained for Robert in no way resembled that which she felt for her husband, or had ever felt, or ever expected to feel.	false	297.5	306.55	22.730944
576_129623_000015_000002	She had all her life long been accustomed to harbor thoughts and emotions which never voiced themselves.	She had all her life long been accustomed to harbor thoughts and emotions which never voiced themselves.	false	306.71	313	22.920872
576_129623_000015_000003	They had never taken the form of struggles.	They had never taken the form of struggles.	true	313.16	315.49	23.79754
576_129623_000015_000004	They belonged to her and were her own, and she entertained the conviction that she had a right to them and that they concerned no one but herself.	They belonged to her and were her own, and she entertained the conviction that she had a right to them and that they concerned no one but herself.	false	315.5	323.89	23.077497
576_129623_000015_000005	Edna had once told Madame Ratignolle that she would never sacrifice herself for her children, or for any one. Then had followed a rather heated argument; the two women did not appear to understand each other or to be talking the same language.	Edna had once told Madame Ratignolle that she would never sacrifice herself for her children, or for any one. Then had followed a rather heated argument; the two women did not appear to understand each other or to be talking the same language.	false	324.11	339.09	22.293758
576_129623_000015_000006	Edna tried to appease her friend, to explain.	Edna tried to appease her friend, to explain.	false	339.09	342.13	24.279247
576_129623_000016_000000	"I would give up the unessential; I would give my money, I would give my life for my children; but I wouldn't give myself.	"I would give up the unessential; I would give my money, I would give my life for my children; but I wouldn't give myself.	true	342.47	349.84	21.032888
576_129623_000016_000001	I can't make it more clear; it's only something which I am beginning to comprehend, which is revealing itself to me."	I can't make it more clear; it's only something which I am beginning to comprehend, which is revealing itself to me."	true	349.85	356.47	22
576_129623_000017_000000	"I don't know what you would call the essential, or what you mean by the unessential," said Madame Ratignolle, cheerfully; "but a woman who would give her life for her children could do no more than that--your Bible tells you so.	"I don't know what you would call the essential, or what you mean by the unessential," said Madame Ratignolle, cheerfully; "but a woman who would give her life for her children could do no more than that-your Bible tells you so.	true	356.93	368.41	18
576_129623_000017_000001	I'm sure I couldn't do more than that."	I'm sure I couldn't do more than that."	true	368.48	370.81	22
576_129623_000018_000000	"Oh, yes you could!" laughed Edna.	"Oh, yes you could!" laughed Edna.	true	370.82	372.64	22.94833
576_129623_000019_000000	She was not surprised at Mademoiselle Reisz's question the morning that lady, following her to the beach, tapped her on the shoulder and asked if she did not greatly miss her young friend.	She was not surprised at Mademoiselle Reisz's question the morning that lady, following her to the beach, tapped her on the shoulder and asked if she did not greatly miss her young friend.	false	373.49	382.72	20
576_129623_000020_000000	"Oh, good morning, Mademoiselle; is it you?	"Oh, good morning, Mademoiselle; is it you?	true	383.3	385.72	25.741877
576_129623_000020_000001	Why, of course I miss Robert.	Why, of course I miss Robert.	false	385.76	387.99	23.52055
576_129623_000020_000002	Are you going down to bathe?"	Are you going down to bathe?"	true	387.99	389.74	19
576_129623_000021_000000	"Why should I go down to bathe at the very end of the season when I haven't been in the surf all summer," replied the woman, disagreeably.	"Why should I go down to bathe at the very end of the season when I haven't been in the surf all summer," replied the woman, disagreeably.	false	390.32	397.33	18
576_129623_000022_000000	"I beg your pardon," offered Edna, in some embarrassment, for she should have remembered that Mademoiselle Reisz's avoidance of the water had furnished a theme for much pleasantry.	"I beg your pardon," offered Edna, in some embarrassment, for she should have remembered that Mademoiselle Reisz's avoidance of the water had furnished a theme for much pleasantry.	false	397.67	406.87	17
576_129623_000022_000001	Some among them thought it was on account of her false hair, or the dread of getting the violets wet, while others attributed it to the natural aversion for water sometimes believed to accompany the artistic temperament.	Some among them thought it was on account of her false hair, or the dread of getting the violets wet, while others attributed it to the natural aversion for water sometimes believed to accompany the artistic temperament.	false	407.3	419.65	20
576_129623_000022_000002	Mademoiselle offered Edna some chocolates in a paper bag, which she took from her pocket, by way of showing that she bore no ill feeling.	Mademoiselle offered Edna some chocolates in a paper bag, which she took from her pocket, by way of showing that she bore no ill feeling.	true	419.81	427.39	19.038511
576_129623_000022_000003	She habitually ate chocolates for their sustaining quality; they contained much nutriment in small compass, she said.	She habitually ate chocolates for their sustaining quality; they contained much nutriment in small compass, she said.	false	428.09	434.71	20.879414
576_129623_000022_000004	They saved her from starvation, as Madame Lebrun's table was utterly impossible; and no one save so impertinent a woman as Madame Lebrun could think of offering such food to people and requiring them to pay for it.	They saved her from starvation, as Madame Lebrun's table was utterly impossible; and no one save so impertinent a woman as Madame Lebrun could think of offering such food to people and requiring them to pay for it.	false	434.93	447.79	20
576_129623_000023_000000	"She must feel very lonely without her son," said Edna, desiring to change the subject.	"She must feel very lonely without her son," said Edna, desiring to change the subject.	true	448.13	453.33	20.63219
576_129623_000023_000001	"Her favorite son, too.	"Her favorite son, too.	true	453.33	454.96	22.8156
576_129623_000023_000002	It must have been quite hard to let him go."	It must have been quite hard to let him go."	true	455.09	457.41	20.98148
576_129623_000024_000000	Mademoiselle laughed maliciously.	Mademoiselle laughed maliciously.	false	457.41	460.29	19.75234
576_129623_000025_000000	"Her favorite son!	"Her favorite son!	true	460.29	461.415	20.931435
576_129623_000025_000001	Oh, dear!	Oh, dear!	true	461.415	462.34	24.43098
576_129623_000025_000002	Who could have been imposing such a tale upon you?	Who could have been imposing such a tale upon you?	true	462.59	465.12	19
576_129623_000025_000003	Aline Lebrun lives for Victor, and for Victor alone.	Aline Lebrun lives for Victor, and for Victor alone.	false	465.12	468.88	19.530472
576_129623_000025_000004	She has spoiled him into the worthless creature he is.	She has spoiled him into the worthless creature he is.	false	468.95	472.48	23
576_129623_000025_000005	She worships him and the ground he walks on.	She worships him and the ground he walks on.	false	472.7	475.44	19
576_129623_000025_000006	Robert is very well in a way, to give up all the money he can earn to the family, and keep the barest pittance for himself.	Robert is very well in a way, to give up all the money he can earn to the family, and keep the barest pittance for himself.	false	475.44	483.045	22.451202
576_129623_000025_000007	Favorite son, indeed!	Favorite son, indeed!	true	483.045	484.66	20.912283
576_129623_000025_000008	I miss the poor fellow myself, my dear.	I miss the poor fellow myself, my dear.	true	484.7	487.45	23.146887
576_129623_000025_000009	I liked to see him and to hear him about the place the only Lebrun who is worth a pinch of salt.	I liked to see him and to hear him about the place the only Lebrun who is worth a pinch of salt.	false	487.61	493.005	22.991673
576_129623_000025_000010	He comes to see me often in the city.	He comes to see me often in the city.	true	493.005	495.19	19.216053
576_129623_000025_000011	I like to play to him.	I like to play to him.	false	495.23	496.6	22.724247
576_129623_000025_000012	That Victor! hanging would be too good for him.	That Victor! hanging would be too good for him.	true	496.61	499.87	20.002111
576_129623_000025_000013	It's a wonder Robert hasn't beaten him to death long ago."	It's a wonder Robert hasn't beaten him to death long ago."	false	500.03	504.63	18.67442
576_129623_000026_000000	"I thought he had great patience with his brother," offered Edna, glad to be talking about Robert, no matter what was said.	"I thought he had great patience with his brother," offered Edna, glad to be talking about Robert, no matter what was said.	false	504.63	510.7	20
576_129623_000027_000000	"Oh! he thrashed him well enough a year or two ago," said Mademoiselle. "It was about a Spanish girl, whom Victor considered that he had some sort of claim upon.	"Oh! he thrashed him well enough a year or two ago," said Mademoiselle. "It was about a Spanish girl, whom Victor considered that he had some sort of claim upon.	false	510.89	520.96	22.186525
576_129623_000027_000001	He met Robert one day talking to the girl, or walking with her, or bathing with her, or carrying her basket--I don't remember what;--and he became so insulting and abusive that Robert gave him a thrashing on the spot that has kept him comparatively in order for a good while.	He met Robert one day talking to the girl, or walking with her, or bathing with her, or carrying her basket-I don't remember what;--and he became so insulting and abusive that Robert gave him a thrashing on the spot that has kept him comparatively in order for a good while.	false	521.12	535.09	21
576_129623_000027_000002	It's about time he was getting another."	It's about time he was getting another."	true	535.25	537.31	25.234661
576_129623_000028_000000	"Was her name Mariequita?" asked Edna.	"Was her name Mariequita?" asked Edna.	true	537.59	540.3	22.323029
576_129623_000029_000000	"Mariequita--yes, that was it; Mariequita.	"Mariequita-yes, that was it; Mariequita.	false	540.3	543.39	23.09987
576_129623_000029_000001	I had forgotten.	I had forgotten.	false	543.39	544.59	22.091343
576_129623_000029_000002	Oh, she's a sly one, and a bad one, that Mariequita!"	Oh, she's a sly one, and a bad one, that Mariequita!"	false	544.59	547.5	23
576_129623_000030_000000	Edna looked down at Mademoiselle Reisz and wondered how she could have listened to her venom so long.	Edna looked down at Mademoiselle Reisz and wondered how she could have listened to her venom so long.	false	547.5	553.63	20.402056
576_129623_000030_000001	For some reason she felt depressed, almost unhappy.	For some reason she felt depressed, almost unhappy.	true	554.57	557.685	18.77334
576_129623_000030_000002	She had not intended to go into the water; but she donned her bathing suit, and left Mademoiselle alone, seated under the shade of the children's tent.	She had not intended to go into the water; but she donned her bathing suit, and left Mademoiselle alone, seated under the shade of the children's tent.	true	557.685	565.36	21
576_129623_000030_000003	The water was growing cooler as the season advanced.	The water was growing cooler as the season advanced.	true	565.85	568.87	21
576_129623_000030_000004	Edna plunged and swam about with an abandon that thrilled and invigorated her.	Edna plunged and swam about with an abandon that thrilled and invigorated her.	false	569.03	573.52	18
576_129623_000030_000005	She remained a long time in the water, half hoping that Mademoiselle Reisz would not wait for her.	She remained a long time in the water, half hoping that Mademoiselle Reisz would not wait for her.	false	573.8	578.92	18
576_129623_000031_000000	But Mademoiselle waited.	But Mademoiselle waited.	true	579.11	581.05	20.995865
576_129623_000031_000001	She was very amiable during the walk back, and raved much over Edna's appearance in her bathing suit.	She was very amiable during the walk back, and raved much over Edna's appearance in her bathing suit.	false	581.06	586.84	19
576_129623_000031_000002	She talked about music.	She talked about music.	true	586.91	588.555	29
576_129623_000031_000003	She hoped that Edna would go to see her in the city, and wrote her address with the stub of a pencil on a piece of card which she found in her pocket.	She hoped that Edna would go to see her in the city, and wrote her address with the stub of a pencil on a piece of card which she found in her pocket.	true	588.555	595.51	22
576_129623_000032_000000	"When do you leave?" asked Edna.	"When do you leave?" asked Edna.	true	595.82	597.52	22.924358
576_129623_000033_000000	"Next Monday; and you?"	"Next Monday; and you?"	true	597.56	598.9	20.957628
576_129623_000034_000000	"The following week," answered Edna, adding, "It has been a pleasant summer, hasn't it, Mademoiselle?"	"The following week," answered Edna, adding, "It has been a pleasant summer, hasn't it, Mademoiselle?"	false	599.24	604.51	20.200727
576_129623_000035_000000	"Well," agreed Mademoiselle Reisz, with a shrug, "rather pleasant, if it hadn't been for the mosquitoes and the Farival twins."	"Well," agreed Mademoiselle Reisz, with a shrug, "rather pleasant, if it hadn't been for the mosquitoes and the Farival twins."	false	604.97	614.07	22.226784
576_129623_000036_000000	XVII	seventeen	true	614.07	615.1	23.134254
576_129623_000037_000000	The Pontelliers possessed a very charming home on Esplanade Street in New Orleans.	The Pontelliers possessed a very charming home on Esplanade Street in New Orleans.	false	615.98	621.4	23
576_129623_000037_000001	It was a large, double cottage, with a broad front veranda, whose round, fluted columns supported the sloping roof.	It was a large, double cottage, with a broad front veranda, whose round, fluted columns supported the sloping roof.	true	621.68	628.93	21.766676
576_129623_000037_000002	The house was painted a dazzling white; the outside shutters, or jalousies, were green.	The house was painted a dazzling white; the outside shutters, or jalousies, were green.	true	629.06	634.96	22.827366
576_129623_000037_000003	In the yard, which was kept scrupulously neat, were flowers and plants of every description which flourishes in South Louisiana.	In the yard, which was kept scrupulously neat, were flowers and plants of every description which flourishes in South Louisiana.	true	635.27	642.97	24
576_129623_000037_000004	Within doors the appointments were perfect after the conventional type.	Within doors the appointments were perfect after the conventional type.	true	643.34	647.71	25.390596
576_129623_000037_000005	The softest carpets and rugs covered the floors; rich and tasteful draperies hung at doors and windows.	The softest carpets and rugs covered the floors; rich and tasteful draperies hung at doors and windows.	true	647.72	654.285	22.735493
576_129623_000037_000006	There were paintings, selected with judgment and discrimination, upon the walls.	There were paintings, selected with judgment and discrimination, upon the walls.	true	654.285	658.12	21
576_129623_000037_000007	The cut glass, the silver, the heavy damask which daily appeared upon the table were the envy of many women whose husbands were less generous than Mr. Pontellier.	The cut glass, the silver, the heavy damask which daily appeared upon the table were the envy of many women whose husbands were less generous than mr Pontellier.	false	658.34	668.43	20.30143
576_129623_000038_000000	Mr. Pontellier was very fond of walking about his house examining its various appointments and details, to see that nothing was amiss.	mr Pontellier was very fond of walking about his house examining its various appointments and details, to see that nothing was amiss.	false	668.43	676.42	21
576_129623_000038_000001	He greatly valued his possessions, chiefly because they were his, and derived genuine pleasure from contemplating a painting, a statuette, a rare lace curtain--no matter what--after he had bought it and placed it among his household gods.	He greatly valued his possessions, chiefly because they were his, and derived genuine pleasure from contemplating a painting, a statuette, a rare lace curtain-no matter what-after he had bought it and placed it among his household gods.	false	676.85	690.22	21
576_129623_000039_000000	On Tuesday afternoons--Tuesday being Mrs. Pontellier's reception day--there was a constant stream of callers--women who came in carriages or in the street cars, or walked when the air was soft and distance permitted.	On Tuesday afternoons-Tuesday being mrs Pontellier's reception day-there was a constant stream of callers-women who came in carriages or in the street cars, or walked when the air was soft and distance permitted.	false	690.59	704.32	23
576_129623_000039_000001	A light-colored mulatto boy, in dress coat and bearing a diminutive silver tray for the reception of cards, admitted them.	A light colored mulatto boy, in dress coat and bearing a diminutive silver tray for the reception of cards, admitted them.	false	704.57	711.76	20
576_129623_000039_000002	A maid, in white fluted cap, offered the callers liqueur, coffee, or chocolate, as they might desire.	A maid, in white fluted cap, offered the callers liqueur, coffee, or chocolate, as they might desire.	true	712.25	719.29	23.434284
576_129623_000039_000003	Mrs. Pontellier, attired in a handsome reception gown, remained in the drawing-room the entire afternoon receiving her visitors.	mrs Pontellier, attired in a handsome reception gown, remained in the drawing room the entire afternoon receiving her visitors.	false	719.45	726.55	20
576_129623_000039_000004	Men sometimes called in the evening with their wives.	Men sometimes called in the evening with their wives.	false	726.98	730.12	18.01666
576_129623_000040_000000	This had been the programme which Mrs. Pontellier had religiously followed since her marriage, six years before.	This had been the programme which mrs Pontellier had religiously followed since her marriage, six years before.	false	730.55	736.84	21
576_129623_000040_000001	Certain evenings during the week she and her husband attended the opera or sometimes the play.	Certain evenings during the week she and her husband attended the opera or sometimes the play.	false	737	742.68	22.52049
576_129623_000041_000000	Mr. Pontellier left his home in the mornings between nine and ten o'clock, and rarely returned before half-past six or seven in the evening--dinner being served at half-past seven.	mr Pontellier left his home in the mornings between nine and ten o'clock, and rarely returned before half past six or seven in the evening-dinner being served at half past seven.	false	742.68	752.8	22
576_129623_000042_000000	He and his wife seated themselves at table one Tuesday evening, a few weeks after their return from Grand Isle.	He and his wife seated themselves at table one Tuesday evening, a few weeks after their return from Grand Isle.	false	753.32	759.87	21.961027
576_129623_000042_000001	They were alone together. The boys were being put to bed; the patter of their bare, escaping feet could be heard occasionally, as well as the pursuing voice of the quadroon, lifted in mild protest and entreaty.	They were alone together. The boys were being put to bed; the patter of their bare, escaping feet could be heard occasionally, as well as the pursuing voice of the quadroon, lifted in mild protest and entreaty.	false	759.87	772.03	23.723158
576_129623_000042_000002	Mrs. Pontellier did not wear her usual Tuesday reception gown; she was in ordinary house dress. Mr. Pontellier, who was observant about such things, noticed it, as he served the soup and handed it to the boy in waiting.	mrs Pontellier did not wear her usual Tuesday reception gown; she was in ordinary house dress. mr Pontellier, who was observant about such things, noticed it, as he served the soup and handed it to the boy in waiting.	false	772.4	785.32	24
576_129623_000043_000000	"Tired out, Edna?	"Tired out, Edna?	true	785.93	787.12	23.385412
576_129623_000043_000001	Whom did you have?	Whom did you have?	true	787.28	788.535	24.866825
576_129623_000043_000002	Many callers?" he asked.	Many callers?" he asked.	true	788.535	790.03	26.463848
576_129623_000043_000003	He tasted his soup and began to season it with pepper, salt, vinegar, mustard--everything within reach.	He tasted his soup and began to season it with pepper, salt, vinegar, mustard-everything within reach.	false	790.25	794.94	21.958124
576_129623_000044_000000	"There were a good many," replied Edna, who was eating her soup with evident satisfaction.	"There were a good many," replied Edna, who was eating her soup with evident satisfaction.	false	794.94	799.99	23
576_129623_000044_000001	"I found their cards when I got home; I was out."	"I found their cards when I got home; I was out."	true	800.09	803.05	23.894897
576_129623_000045_000000	"Out!" exclaimed her husband, with something like genuine consternation in his voice as he laid down the vinegar cruet and looked at her through his glasses.	"Out!" exclaimed her husband, with something like genuine consternation in his voice as he laid down the vinegar cruet and looked at her through his glasses.	false	803.45	813.31	24.246367
576_129623_000045_000001	"Why, what could have taken you out on Tuesday?	"Why, what could have taken you out on Tuesday?	true	813.98	817.63	26.97305
576_129623_000045_000002	What did you have to do?"	What did you have to do?"	true	817.94	819.31	26.661606
576_129623_000046_000000	"Nothing.	"Nothing.	true	819.83	820.515	26.56646
576_129623_000046_000001	I simply felt like going out, and I went out."	I simply felt like going out, and I went out."	true	820.515	822.88	24.755566
576_129623_000047_000000	"Well, I hope you left some suitable excuse," said her husband, somewhat appeased, as he added a dash of cayenne pepper to the soup.	"Well, I hope you left some suitable excuse," said her husband, somewhat appeased, as he added a dash of cayenne pepper to the soup.	false	823.28	830.59	22.155632
576_129623_000048_000000	"No, I left no excuse.	"No, I left no excuse.	true	830.78	832.335	28.299839
576_129623_000048_000001	I told Joe to say I was out, that was all."	I told Joe to say I was out, that was all."	true	832.335	834.58	26
576_129623_000049_000000	"Why, my dear, I should think you'd understand by this time that people don't do such things; we've got to observe les convenances if we ever expect to get on and keep up with the procession.	"Why, my dear, I should think you'd understand by this time that people don't do such things; we've got to observe les convenances if we ever expect to get on and keep up with the procession.	false	835.31	847	23.892567
576_129623_000049_000001	If you felt that you had to leave home this afternoon, you should have left some suitable explanation for your absence.	If you felt that you had to leave home this afternoon, you should have left some suitable explanation for your absence.	true	847.28	852.97	16
576_129623_000050_000000	"This soup is really impossible; it's strange that woman hasn't learned yet to make a decent soup.	"This soup is really impossible; it's strange that woman hasn't learned yet to make a decent soup.	true	853.73	858.46	19
576_129623_000050_000001	Any free-lunch stand in town serves a better one.	Any free lunch stand in town serves a better one.	false	858.86	861.81	21
576_129623_000050_000002	Was Mrs. Belthrop here?"	Was mrs Belthrop here?"	true	861.81	863.65	22.816376
