576_129623_000005_000000	XVI	sixteen
576_129623_000089_000000	"Your talent is immense, dear!"	"Your talent is immense, dear!"
576_129623_000090_000000	"Nonsense!" protested Edna, well pleased.	"Nonsense!" protested Edna, well pleased.
576_129623_000091_000003	One might almost be tempted to reach out a hand and take one."	One might almost be tempted to reach out a hand and take one."
576_129623_000093_000001	His cheerfulness was unbounded, and it was matched by his goodness of heart, his broad charity, and common sense.	His cheerfulness was unbounded, and it was matched by his goodness of heart, his broad charity, and common sense.
576_129623_000095_000003	His wife was keenly interested in everything he said, laying down her fork the better to listen, chiming in, taking the words out of his mouth.	His wife was keenly interested in everything he said, laying down her fork the better to listen, chiming in, taking the words out of his mouth.
576_129623_000096_000002	It was not a condition of life which fitted her, and she could see in it but an appalling and hopeless ennui.	It was not a condition of life which fitted her, and she could see in it but an appalling and hopeless ennui.
576_129623_000098_000003	She completely abandoned her Tuesdays at home, and did not return the visits of those who had called upon her.	She completely abandoned her Tuesdays at home, and did not return the visits of those who had called upon her.
576_129623_000099_000002	It shocked him.	It shocked him.
576_129623_000099_000003	Then her absolute disregard for her duties as a wife angered him.	Then her absolute disregard for her duties as a wife angered him.
576_129623_000099_000005	She had resolved never to take another step backward.	She had resolved never to take another step backward.
576_129623_000102_000001	And she's more of a musician than you are a painter."	And she's more of a musician than you are a painter."
576_129623_000104_000000	"On account of what, then?"	"On account of what, then?"
576_129623_000105_000001	I don't know.	I don't know.
576_129623_000106_000001	He could see plainly that she was not herself.	He could see plainly that she was not herself.
576_129623_000106_000002	That is, he could not see that she was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world.	That is, he could not see that she was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world.
576_129623_000107_000004	The quadroon sat for hours before Edna's palette, patient as a savage, while the house-maid took charge of the children, and the drawing-room went undusted.	The quadroon sat for hours before Edna's palette, patient as a savage, while the house maid took charge of the children, and the drawing room went undusted.
576_129623_000107_000006	While Edna worked she sometimes sang low the little air, "Ah! si tu savais!"	While Edna worked she sometimes sang low the little air, "Ah! si tu savais!"
576_129623_000108_000000	It moved her with recollections.	It moved her with recollections.
576_129623_000109_000001	She was happy to be alive and breathing, when her whole being seemed to be one with the sunlight, the color, the odors, the luxuriant warmth of some perfect Southern day.	She was happy to be alive and breathing, when her whole being seemed to be one with the sunlight, the color, the odors, the luxuriant warmth of some perfect Southern day.
576_129623_000109_000003	She discovered many a sunny, sleepy corner, fashioned to dream in.	She discovered many a sunny, sleepy corner, fashioned to dream in.
576_129623_000116_000003	A gate or door opening upon the street was locked.	A gate or door opening upon the street was locked.
576_129623_000117_000000	It was Victor who opened the gate for her.	It was Victor who opened the gate for her.
576_129623_000117_000001	A black woman, wiping her hands upon her apron, was close at his heels.	A black woman, wiping her hands upon her apron, was close at his heels.
576_129623_000117_000002	Before she saw them Edna could hear them in altercation, the woman--plainly an anomaly--claiming the right to be allowed to perform her duties, one of which was to answer the bell.	Before she saw them Edna could hear them in altercation, the woman-plainly an anomaly-claiming the right to be allowed to perform her duties, one of which was to answer the bell.
576_129623_000118_000000	Victor was surprised and delighted to see Mrs. Pontellier, and he made no attempt to conceal either his astonishment or his delight.	Victor was surprised and delighted to see mrs Pontellier, and he made no attempt to conceal either his astonishment or his delight.
576_129623_000118_000005	Whatever it was, the rebuke was convincing, for the woman dropped her hoe and went mumbling into the house.	Whatever it was, the rebuke was convincing, for the woman dropped her hoe and went mumbling into the house.
576_129623_000119_000001	It was very pleasant there on the side porch, where there were chairs, a wicker lounge, and a small table.	It was very pleasant there on the side porch, where there were chairs, a wicker lounge, and a small table.
576_129623_000119_000002	She seated herself, for she was tired from her long tramp; and she began to rock gently and smooth out the folds of her silk parasol.	She seated herself, for she was tired from her long tramp; and she began to rock gently and smooth out the folds of her silk parasol.
576_129623_000119_000003	Victor drew up his chair beside her.	Victor drew up his chair beside her.
576_129623_000120_000001	He wouldn't want his mother to know, and he began to talk in a whisper.	He wouldn't want his mother to know, and he began to talk in a whisper.
576_129623_000120_000002	He was scintillant with recollections.	He was scintillant with recollections.
576_129623_000120_000003	Of course, he couldn't think of telling Mrs. Pontellier all about it, she being a woman and not comprehending such things.	Of course, he couldn't think of telling mrs Pontellier all about it, she being a woman and not comprehending such things.
576_129623_000120_000005	Oh! but she was a beauty!	Oh! but she was a beauty!
576_129623_000120_000006	Certainly he smiled back, and went up and talked to her.	Certainly he smiled back, and went up and talked to her.
576_129623_000120_000007	Mrs. Pontellier did not know him if she supposed he was one to let an opportunity like that escape him.	mrs Pontellier did not know him if she supposed he was one to let an opportunity like that escape him.
576_129623_000120_000009	She must have betrayed in her look some degree of interest or entertainment.	She must have betrayed in her look some degree of interest or entertainment.
576_129623_000121_000001	Her eyes beamed an effusive welcome.	Her eyes beamed an effusive welcome.
