5723_49750_000001_000000	VII	seven
5723_49750_000008_000007	Such virtue had this medicine, directly it were drunken.	Such virtue had this medicine, directly it were drunken.
5723_49750_000009_000001	He repaired straightway to the Court, and, seeking out the King, required of him his fair daughter in marriage, promising, for his part, that were she given him, he would bear her in his arms to the summit of the mount.	He repaired straightway to the Court, and, seeking out the King, required of him his fair daughter in marriage, promising, for his part, that were she given him, he would bear her in his arms to the summit of the mount.
5723_49750_000009_000002	The King was no wise wrath at his presumption.	The King was no wise wrath at his presumption.
5723_49750_000009_000003	He smiled rather at his folly, for how should one so young and slender succeed in a business wherein so many mighty men had failed.	He smiled rather at his folly, for how should one so young and slender succeed in a business wherein so many mighty men had failed.
5723_49750_000009_000004	Therefore he appointed a certain day for this judgment.	Therefore he appointed a certain day for this judgment.
5723_49750_000009_000005	Moreover he caused letters to be written to his vassals and his friends--passing none by--bidding them to see the end of this adventure.	Moreover he caused letters to be written to his vassals and his friends-passing none by-bidding them to see the end of this adventure.
5723_49750_000009_000007	And from every region round about men came to learn the issue of this thing.	And from every region round about men came to learn the issue of this thing.
5723_49750_000009_000008	But for her part the fair maiden did all that she was able to bring her love to a good end.	But for her part the fair maiden did all that she was able to bring her love to a good end.
5723_49750_000009_000009	Ever was it fast day and fleshless day with her, so that by any means she might lighten the burthen that her friend must carry in his arms.	Ever was it fast day and fleshless day with her, so that by any means she might lighten the burthen that her friend must carry in his arms.
5723_49750_000010_000000	Now on the appointed day this young dansellon came very early to the appointed place, bringing the flacket with him.	Now on the appointed day this young dansellon came very early to the appointed place, bringing the flacket with him.
5723_49750_000010_000001	When the great company were fully met together, the King led forth his daughter before them; and all might see that she was arrayed in nothing but her smock.	When the great company were fully met together, the King led forth his daughter before them; and all might see that she was arrayed in nothing but her smock.
5723_49750_000010_000002	The varlet took the maiden in his arms, but first he gave her the flask with the precious brewage to carry, since for pride he might not endure to drink therefrom, save at utmost peril.	The varlet took the maiden in his arms, but first he gave her the flask with the precious brewage to carry, since for pride he might not endure to drink therefrom, save at utmost peril.
5723_49750_000010_000003	The squire set forth at a great pace, and climbed briskly till he was halfway up the mount. Because of the joy he had in clasping his burthen, he gave no thought to the potion.	The squire set forth at a great pace, and climbed briskly till he was halfway up the mount. Because of the joy he had in clasping his burthen, he gave no thought to the potion.
5723_49750_000014_000000	But when two thirds of the course was won, the grasshopper would have tripped him off his feet.	But when two thirds of the course was won, the grasshopper would have tripped him off his feet.
5723_49750_000016_000000	But he would neither hear, nor give credence to her words.	But he would neither hear, nor give credence to her words.
5723_49750_000016_000001	A mighty anguish filled his bosom.	A mighty anguish filled his bosom.
5723_49750_000016_000002	He climbed upon the summit of the mountain, and pained himself grievously to bring his journey to an end.	He climbed upon the summit of the mountain, and pained himself grievously to bring his journey to an end.
5723_49750_000016_000003	This he might not do.	This he might not do.
5723_49750_000016_000004	He reeled and fell, nor could he rise again, for the heart had burst within his breast.	He reeled and fell, nor could he rise again, for the heart had burst within his breast.
5723_49750_000017_000000	When the maiden saw her lover's piteous plight, she deemed that he had swooned by reason of his pain.	When the maiden saw her lover's piteous plight, she deemed that he had swooned by reason of his pain.
5723_49750_000017_000001	She kneeled hastily at his side, and put the enchanted brewage to his lips, but he could neither drink nor speak, for he was dead, as I have told you.	She kneeled hastily at his side, and put the enchanted brewage to his lips, but he could neither drink nor speak, for he was dead, as I have told you.
5723_49750_000017_000002	She bewailed his evil lot, with many shrill cries, and flung the useless flacket far away.	She bewailed his evil lot, with many shrill cries, and flung the useless flacket far away.
5723_49750_000017_000004	For many saving herbs have been found there since that day by the simple folk of that country, which from the magic philtre derived all their virtue.	For many saving herbs have been found there since that day by the simple folk of that country, which from the magic philtre derived all their virtue.
5723_49750_000018_000001	She kissed his eyes and mouth, and falling upon his body, took him in her arms, and pressed him closely to her breast.	She kissed his eyes and mouth, and falling upon his body, took him in her arms, and pressed him closely to her breast.
5723_49750_000019_000002	After his speech had returned to him, he was passing heavy, and lamented their doleful case, and thus did all his people with him.	After his speech had returned to him, he was passing heavy, and lamented their doleful case, and thus did all his people with him.
5723_49750_000020_000000	Three days they kept the bodies of these two fair children from earth, with uncovered face.	Three days they kept the bodies of these two fair children from earth, with uncovered face.
5723_49750_000020_000001	On the third day they sealed them fast in a goodly coffin of marble, and by the counsel of all men, laid them softly to rest on that mountain where they died.	On the third day they sealed them fast in a goodly coffin of marble, and by the counsel of all men, laid them softly to rest on that mountain where they died.
5723_49750_000020_000002	Then they departed from them, and left them together, alone.	Then they departed from them, and left them together, alone.
5723_49750_000021_000000	Since this adventure of the Two Children this hill is known as the Mountain of the Two Lovers, and their story being bruited abroad, the Breton folk have made a Lay thereof, even as I have rehearsed before you.	Since this adventure of the Two Children this hill is known as the Mountain of the Two Lovers, and their story being bruited abroad, the Breton folk have made a Lay thereof, even as I have rehearsed before you.
