7416_103126_000002_000000	CORNY'S CATAMOUNT	CORNY'S CATAMOUNT
7416_103126_000014_000000	"Come now, stop joking and lend a hand, and I'll do anything I can for you.	"Come now, stop joking and lend a hand, and I'll do anything I can for you.
7416_103126_000014_000002	Mother won't let me go off far enough, so of course I don't do it, and then you all jeer at me.	Mother won't let me go off far enough, so of course I don't do it, and then you all jeer at me.
7416_103126_000014_000003	To-morrow we are going up the mountain, and I'm set on trying again, for Abner says the big woods are the place to find the 'varmint'.	To morrow we are going up the mountain, and I'm set on trying again, for Abner says the big woods are the place to find the 'varmint'.
7416_103126_000014_000004	Now you hold your tongue, and let me slip away when I think we've hit the right spot.	Now you hold your tongue, and let me slip away when I think we've hit the right spot.
7416_103126_000014_000005	I'm not a bit afraid, and while the rest go poking to the top, I'll plunge into the woods and see what I can do."	I'm not a bit afraid, and while the rest go poking to the top, I'll plunge into the woods and see what I can do."
7416_103126_000015_000000	"All right.	"All right.
7416_103126_000015_000001	Better take old Buff; he'll bring you home when you get lost, and keep puss from clawing you.	Better take old Buff; he'll bring you home when you get lost, and keep puss from clawing you.
7416_103126_000015_000002	You won't like that part of the fun as much as you expect to, maybe," said Chris, with a sly twinkle of the eye, as he glanced at Corny and then away to the vast forest that stretched far up the mighty mountain's side.	You won't like that part of the fun as much as you expect to, maybe," said Chris, with a sly twinkle of the eye, as he glanced at Corny and then away to the vast forest that stretched far up the mighty mountain's side.
7416_103126_000016_000001	I shall take some lunch and plenty of shot, and have a glorious time, even if I don't meet that confounded beast.	I shall take some lunch and plenty of shot, and have a glorious time, even if I don't meet that confounded beast.
7416_103126_000016_000002	I will keep dashing in and out of the woods as we go; then no one will miss me for a while, and when they do you just say, 'Oh, he's all right; he'll be along directly,' and go ahead, and let me alone."	I will keep dashing in and out of the woods as we go; then no one will miss me for a while, and when they do you just say, 'Oh, he's all right; he'll be along directly,' and go ahead, and let me alone."
7416_103126_000017_000000	Corny spoke so confidently, and looked so pleased with his plan, that honest Chris could not bear to tell him how much danger he would run in that pathless forest, where older hunters than he had been lost.	Corny spoke so confidently, and looked so pleased with his plan, that honest Chris could not bear to tell him how much danger he would run in that pathless forest, where older hunters than he had been lost.
7416_103126_000019_000000	"No fear of that; I've tramped round all summer, and know my way like an Indian.	"No fear of that; I've tramped round all summer, and know my way like an Indian.
7416_103126_000019_000001	Keep the girls quiet, and let me have a good lark.	Keep the girls quiet, and let me have a good lark.
7416_103126_000019_000002	I'll turn up all right by sundown; so don't worry.	I'll turn up all right by sundown; so don't worry.
7416_103126_000019_000003	Not a word to mother, mind, or she won't let me go.	Not a word to mother, mind, or she won't let me go.
7416_103126_000019_000004	I'll make things straight with her after the fun is over."	I'll make things straight with her after the fun is over."
7416_103126_000020_000000	"That ain't just square; but it's not my funeral, so I won't meddle. Hope you'll have first rate sport, and bag a brace of cats.	"That ain't just square; but it's not my funeral, so I won't meddle. Hope you'll have first rate sport, and bag a brace of cats.
7416_103126_000020_000001	One thing you mind, don't get too nigh before you fire; and keep out of sight of the critters as much as you can."	One thing you mind, don't get too nigh before you fire; and keep out of sight of the critters as much as you can."
7416_103126_000021_000001	If he had seen Chris dart behind the barn, and there roll upon the grass in convulsions of laughter, he would have been both surprised and hurt.	If he had seen Chris dart behind the barn, and there roll upon the grass in convulsions of laughter, he would have been both surprised and hurt.
7416_103126_000022_000000	No deacon could have been more sober, however, than Chris when they met next morning, while the party of summer boarders at the old farm-house were in a pleasant bustle of preparation for the long expected day on the mountain.	No deacon could have been more sober, however, than Chris when they met next morning, while the party of summer boarders at the old farm house were in a pleasant bustle of preparation for the long expected day on the mountain.
7416_103126_000022_000001	Three merry girls, a pair of small boys, two amiable mammas, Chris and Corny, made up the party, with Abner to drive the big wagon drawn by Milk and Molasses, the yellow span.	Three merry girls, a pair of small boys, two amiable mammas, Chris and Corny, made up the party, with Abner to drive the big wagon drawn by Milk and Molasses, the yellow span.
7416_103126_000023_000000	"All aboard!" shouted our young Nimrod, in a hurry to be off, as the lunch-basket was handed up, and the small boys packed in the most uncomfortable corners, regardless of their arms and legs.	"All aboard!" shouted our young Nimrod, in a hurry to be off, as the lunch basket was handed up, and the small boys packed in the most uncomfortable corners, regardless of their arms and legs.
7416_103126_000024_000000	Away they rattled with a parting cheer, and peace fell upon the farm-house for a few hours, to the great contentment of the good people left behind.	Away they rattled with a parting cheer, and peace fell upon the farm house for a few hours, to the great contentment of the good people left behind.
7416_103126_000024_000001	Corny's mother was one of them, and her last words were,--"A pleasant day, dear.	Corny's mother was one of them, and her last words were,--"A pleasant day, dear.
7416_103126_000024_000002	I wish you'd leave that gun at home; I'm so afraid you'll get hurt with it.'	I wish you'd leave that gun at home; I'm so afraid you'll get hurt with it.'
7416_103126_000025_000000	"No fun without it.	"No fun without it.
7416_103126_000025_000001	Don't worry, mammy; I'm old enough to take care of myself."	Don't worry, mammy; I'm old enough to take care of myself."
7416_103126_000027_000000	"We are going to walk up, and leave the horses to rest; so I can choose my time.	"We are going to walk up, and leave the horses to rest; so I can choose my time.
7416_103126_000027_000001	See, I've got a bottle of cold tea in this pocket, and a lot of grub in the other.	See, I've got a bottle of cold tea in this pocket, and a lot of grub in the other.
7416_103126_000027_000002	No danger of my starving, is there?" whispered Corny, as he leaned over to Chris, who sat, apparently, on nothing, with his long legs dangling into space.	No danger of my starving, is there?" whispered Corny, as he leaned over to Chris, who sat, apparently, on nothing, with his long legs dangling into space.
7416_103126_000028_000001	Hunting is mighty hard work on a hot day, and this is going to be a blazer," answered Chris, pulling his big straw hat lower over his eyes.	Hunting is mighty hard work on a hot day, and this is going to be a blazer," answered Chris, pulling his big straw hat lower over his eyes.
7416_103126_000030_000001	The ladies went more slowly, enjoying the grand beauty of the scene, while Chris carried the lunch-basket, and Corny lingered in the rear, waiting for a good chance to "plunge."	The ladies went more slowly, enjoying the grand beauty of the scene, while Chris carried the lunch basket, and Corny lingered in the rear, waiting for a good chance to "plunge."
7416_103126_000032_000000	"The very next path I see, I'll dive in and run; Chris can't leave the rest to follow, and if I once get a good start, they won't catch me in a hurry," thought the boy, longing to be free and alone in the wild woods that tempted him on either hand.	"The very next path I see, I'll dive in and run; Chris can't leave the rest to follow, and if I once get a good start, they won't catch me in a hurry," thought the boy, longing to be free and alone in the wild woods that tempted him on either hand.
7416_103126_000035_000000	"Certainly ma'am," answered Corny, obeying at once, and inwardly resolving to deposit his fair burden on the first fallen log they came to, and make his escape.	"Certainly ma'am," answered Corny, obeying at once, and inwardly resolving to deposit his fair burden on the first fallen log they came to, and make his escape.
7416_103126_000036_000000	But Mrs. Barker got on bravely, with the support of his strong arm, and chatted away so delightfully that Corny would really have enjoyed the walk, if his soul had not been yearning for catamounts.	But mrs Barker got on bravely, with the support of his strong arm, and chatted away so delightfully that Corny would really have enjoyed the walk, if his soul had not been yearning for catamounts.
7416_103126_000036_000001	He did his best, but when they passed opening after opening into the green recesses of the wood, and the granite boulders grew more and more plentiful, his patience gave out, and he began to plan what he could say to excuse himself.	He did his best, but when they passed opening after opening into the green recesses of the wood, and the granite boulders grew more and more plentiful, his patience gave out, and he began to plan what he could say to excuse himself.
7416_103126_000037_000000	"The hardest part is coming now, and we'd better rest a moment.	"The hardest part is coming now, and we'd better rest a moment.
7416_103126_000037_000001	Here's a nice rock, and the last spring we are likely to see till we get to the top.	Here's a nice rock, and the last spring we are likely to see till we get to the top.
7416_103126_000037_000002	Come on, Chris, and give us the dipper.	Come on, Chris, and give us the dipper.
7416_103126_000037_000003	Mrs. Barker wants a drink, and so do I," called the young hunter, driven to despair at last.	mrs Barker wants a drink, and so do I," called the young hunter, driven to despair at last.
7416_103126_000041_000000	"I'll rest a bit, and then go along down, keeping a look out for puss by the way," thought Corny, feeling safe and free, and very happy, for he had his own way, at last, and a whole day to lead the life he loved.	"I'll rest a bit, and then go along down, keeping a look out for puss by the way," thought Corny, feeling safe and free, and very happy, for he had his own way, at last, and a whole day to lead the life he loved.
7416_103126_000042_000000	So he bathed his hot face, took a cool drink, and lay on the moss, staring up into the green gloom of the pines, blissfully dreaming of the joys of a hunter's life,--till a peculiar cry startled him to his feet, and sent him creeping warily toward the sound.	So he bathed his hot face, took a cool drink, and lay on the moss, staring up into the green gloom of the pines, blissfully dreaming of the joys of a hunter's life,--till a peculiar cry startled him to his feet, and sent him creeping warily toward the sound.
7416_103126_000042_000002	Abner said they purred and snarled and gave a mewing sort of cry; but which it was now he could not tell, having unfortunately been half asleep.	Abner said they purred and snarled and gave a mewing sort of cry; but which it was now he could not tell, having unfortunately been half asleep.
7416_103126_000043_000000	On he went, looking up into the trees for a furry bunch, behind every log, and in every rocky hole, longing and hoping to discover his heart's desire.	On he went, looking up into the trees for a furry bunch, behind every log, and in every rocky hole, longing and hoping to discover his heart's desire.
7416_103126_000043_000001	But a hawk was all he saw above, an ugly snake was the only living thing he found among the logs, and a fat woodchuck's hind legs vanished down the most attractive hole.	But a hawk was all he saw above, an ugly snake was the only living thing he found among the logs, and a fat woodchuck's hind legs vanished down the most attractive hole.
7416_103126_000043_000002	He shot at all three and missed them, so pushed on, pretending that he did not care for such small game.	He shot at all three and missed them, so pushed on, pretending that he did not care for such small game.
7416_103126_000044_000001	He sunk up to his knees, and with great difficulty got out by clinging to the tussocks that grew near.	He sunk up to his knees, and with great difficulty got out by clinging to the tussocks that grew near.
7416_103126_000044_000002	In his struggles the lunch was lost, for the bottle broke and the pocket where the sandwiches were stored was full of mud.	In his struggles the lunch was lost, for the bottle broke and the pocket where the sandwiches were stored was full of mud.
7416_103126_000045_000000	"Here's a mess!" thought poor Corny, surveying himself with great disgust and feeling very helpless, as well as tired, hungry, and mad. "Luckily, my powder is dry and my gun safe; so my fun isn't spoiled, though I do look like a wallowing pig.	"Here's a mess!" thought poor Corny, surveying himself with great disgust and feeling very helpless, as well as tired, hungry, and mad. "Luckily, my powder is dry and my gun safe; so my fun isn't spoiled, though I do look like a wallowing pig.
7416_103126_000046_000000	So he washed as well as he could, hoping the sun would dry him, picked out a few bits of bread unspoiled by the general wreck, and trudged on with less ardor, though by no means discouraged yet.	So he washed as well as he could, hoping the sun would dry him, picked out a few bits of bread unspoiled by the general wreck, and trudged on with less ardor, though by no means discouraged yet.
7416_103126_000047_000000	"I'm too high for any game but birds, and those I don't want.	"I'm too high for any game but birds, and those I don't want.
7416_103126_000047_000001	I'll go slap down, and come out in the valley.	I'll go slap down, and come out in the valley.
7416_103126_000047_000002	Abner said any brook would show the way, and this rascal that led me into a scrape shall lead me out," he said, as he followed the little stream that went tumbling over the stones, that increased as the ground sloped toward the deep ravine, where a waterfall shone like silver in the sun.	Abner said any brook would show the way, and this rascal that led me into a scrape shall lead me out," he said, as he followed the little stream that went tumbling over the stones, that increased as the ground sloped toward the deep ravine, where a waterfall shone like silver in the sun
7416_103126_000048_000001	My hands smart like fury, and I guess the mosquitoes have about eaten my face up.	My hands smart like fury, and I guess the mosquitoes have about eaten my face up.
7416_103126_000048_000002	Never saw such clouds of stingers before," said Corny, looking at his scratched hands, and rubbing his hot face in great discomfort,--for it was the gnat that drove the lion mad, you remember.	Never saw such clouds of stingers before," said Corny, looking at his scratched hands, and rubbing his hot face in great discomfort,--for it was the gnat that drove the lion mad, you remember.
7416_103126_000049_000000	It was easy to say, "I'll follow the brook," but not so easy to do it; for the frolicsome stream went headlong over rocks, crept under fallen logs, and now and then hid itself so cleverly that one had to look and listen carefully to recover the trail.	It was easy to say, "I'll follow the brook," but not so easy to do it; for the frolicsome stream went headlong over rocks, crept under fallen logs, and now and then hid itself so cleverly that one had to look and listen carefully to recover the trail.
7416_103126_000049_000001	It was long past noon when Corny came out near the waterfall, so tired and hungry that he heartily wished himself back among the party, who had lunched well and were now probably driving gayly homeward to a good supper.	It was long past noon when Corny came out near the waterfall, so tired and hungry that he heartily wished himself back among the party, who had lunched well and were now probably driving gayly homeward to a good supper.
7416_103126_000050_000000	No chance for a bath appeared, so he washed his burning face and took a rest, enjoying the splendid view far over valley and intervale through the gap in the mountain range.	No chance for a bath appeared, so he washed his burning face and took a rest, enjoying the splendid view far over valley and intervale through the gap in the mountain range.
7416_103126_000050_000001	He was desperately tired with these hours of rough travel, and very hungry; but would not own it, and sat considering what to do next, for he saw by the sun that the afternoon was half over.	He was desperately tired with these hours of rough travel, and very hungry; but would not own it, and sat considering what to do next, for he saw by the sun that the afternoon was half over.
7416_103126_000050_000002	There was time to go back the way he had come, and by following the path down the hill he could reach the hotel and get supper and a bed, or be driven home.	There was time to go back the way he had come, and by following the path down the hill he could reach the hotel and get supper and a bed, or be driven home.
7416_103126_000050_000003	That was the wise thing to do, but his pride rebelled against returning empty-handed after all his plans and boasts of great exploits.	That was the wise thing to do, but his pride rebelled against returning empty handed after all his plans and boasts of great exploits.
7416_103126_000051_000000	"I won't go home, to be laughed at by Chris and Abner.	"I won't go home, to be laughed at by Chris and Abner.
7416_103126_000051_000001	I'll shoot something, if I stay all night.	I'll shoot something, if I stay all night.
7416_103126_000051_000002	Who cares for hunger and mosquito bites? Not I. Hunters can bear more than that, I guess.	Who cares for hunger and mosquito bites? Not i Hunters can bear more than that, I guess.
7416_103126_000051_000003	The next live thing I see I'll shoot it, and make a fire and have a jolly supper.	The next live thing I see I'll shoot it, and make a fire and have a jolly supper.
7416_103126_000051_000004	Now which way will I go,--up or down?	Now which way will I go,--up or down?
7416_103126_000051_000005	A pretty hard prospect, either way."	A pretty hard prospect, either way."
7416_103126_000052_000000	The sight of an eagle soaring above him seemed to answer his question, and fill him with new strength and ardor.	The sight of an eagle soaring above him seemed to answer his question, and fill him with new strength and ardor.
7416_103126_000052_000001	To shoot the king of birds and take him home in triumph would cover the hunter with glory.	To shoot the king of birds and take him home in triumph would cover the hunter with glory.
7416_103126_000052_000002	It should be done!	It should be done!
7416_103126_000052_000003	And away he went, climbing, tumbling, leaping from rock to rock, toward the place where the eagle had alighted.	And away he went, climbing, tumbling, leaping from rock to rock, toward the place where the eagle had alighted.
7416_103126_000052_000004	More cuts and bruises, more vain shots, and all the reward of his eager struggles was a single feather that floated down as the great bird soared serenely away, leaving the boy exhausted and disappointed in a wilderness of granite boulders, with no sign of a path to show the way out.	More cuts and bruises, more vain shots, and all the reward of his eager struggles was a single feather that floated down as the great bird soared serenely away, leaving the boy exhausted and disappointed in a wilderness of granite boulders, with no sign of a path to show the way out.
7416_103126_000053_000001	Here he was, alone, without a guide, in this wild region where there was neither food nor shelter, and night coming on.	Here he was, alone, without a guide, in this wild region where there was neither food nor shelter, and night coming on.
7416_103126_000053_000002	Utterly used up, he could not get home now if he had known the way; and suddenly all the tales he had ever heard of men lost in the mountains came into his head.	Utterly used up, he could not get home now if he had known the way; and suddenly all the tales he had ever heard of men lost in the mountains came into his head.
7416_103126_000054_000000	"The only thing to do now is to get down to the valley, if I can, before dark.	"The only thing to do now is to get down to the valley, if I can, before dark.
7416_103126_000054_000001	Abner said there was an old cabin, where the hunters used to sleep, somewhere round that way.	Abner said there was an old cabin, where the hunters used to sleep, somewhere round that way.
7416_103126_000054_000002	I can try for it, and perhaps shoot something on the way.	I can try for it, and perhaps shoot something on the way.
7416_103126_000054_000003	May break my bones, but I can't sit and starve up here, and I was a fool to come.	May break my bones, but I can't sit and starve up here, and I was a fool to come.
7416_103126_000054_000004	I'll keep the feather anyway, to prove that I really saw an eagle; that's better than nothing."	I'll keep the feather anyway, to prove that I really saw an eagle; that's better than nothing."
7416_103126_000055_000001	Coming to the ravine, he found the only road was down its precipitous side to the valley, that looked so safe and pleasant now.	Coming to the ravine, he found the only road was down its precipitous side to the valley, that looked so safe and pleasant now.
7416_103126_000055_000002	Stunted pines grew in the fissures of the rocks, and their strong roots helped the clinging hands and feet as the boy painfully climbed, slipped, and swung along, fearing every minute to come to some impassable barrier in the dangerous path.	Stunted pines grew in the fissures of the rocks, and their strong roots helped the clinging hands and feet as the boy painfully climbed, slipped, and swung along, fearing every minute to come to some impassable barrier in the dangerous path.
7416_103126_000056_000000	But he got on wonderfully well, and was feeling much encouraged, when his foot slipped, the root he held gave way, and down he went, rolling and bumping to his death on the rocks below, he thought, as a crash came, and he knew no more.	But he got on wonderfully well, and was feeling much encouraged, when his foot slipped, the root he held gave way, and down he went, rolling and bumping to his death on the rocks below, he thought, as a crash came, and he knew no more.
7416_103126_000058_000000	He seemed floating in the air, for he swayed to and fro on a soft bed, a pleasant murmur reached his ear, and when he looked down he saw what looked like clouds, misty and white, below him.	He seemed floating in the air, for he swayed to and fro on a soft bed, a pleasant murmur reached his ear, and when he looked down he saw what looked like clouds, misty and white, below him.
7416_103126_000058_000001	He lay a few minutes drowsily musing, for the fall had stunned him; then, as he moved his hand something pricked it, and he felt pine-needles in the fingers that closed over them.	He lay a few minutes drowsily musing, for the fall had stunned him; then, as he moved his hand something pricked it, and he felt pine needles in the fingers that closed over them.
7416_103126_000059_000000	"Caught in a tree, by Jupiter!" and all visions of heaven vanished in a breath, as he sat up and stared about him, wide awake now, and conscious of many aching bones.	"Caught in a tree, by Jupiter!" and all visions of heaven vanished in a breath, as he sat up and stared about him, wide awake now, and conscious of many aching bones.
7416_103126_000060_000000	Yes, there he lay among the branches of one of the sturdy pines, into which he had fallen on his way down the precipice.	Yes, there he lay among the branches of one of the sturdy pines, into which he had fallen on his way down the precipice.
7416_103126_000060_000001	Blessed little tree! set there to save a life, and teach a lesson to a wilful young heart that never forgot that hour.	Blessed little tree! set there to save a life, and teach a lesson to a wilful young heart that never forgot that hour.
7416_103126_000061_000000	Holding fast, lest a rash motion should set him bounding further down, like a living ball, Corny took an observation as rapidly as possible, for the red light was fading, and the mist rising from the valley.	Holding fast, lest a rash motion should set him bounding further down, like a living ball, Corny took an observation as rapidly as possible, for the red light was fading, and the mist rising from the valley.
7416_103126_000061_000001	All he could see was a narrow ledge where the tree stood, and anxious to reach a safer bed for the night, he climbed cautiously down to drop on the rock, so full of gratitude for safety that he could only lie quite still for a little while, thinking of mother, and trying not to cry.	All he could see was a narrow ledge where the tree stood, and anxious to reach a safer bed for the night, he climbed cautiously down to drop on the rock, so full of gratitude for safety that he could only lie quite still for a little while, thinking of mother, and trying not to cry.
7416_103126_000062_000000	He was much shaken by the fall, his flesh bruised, his clothes torn, and his spirit cowed; for hunger, weariness, pain, and danger, showed him what a very feeble creature he was, after all.	He was much shaken by the fall, his flesh bruised, his clothes torn, and his spirit cowed; for hunger, weariness, pain, and danger, showed him what a very feeble creature he was, after all.
7416_103126_000062_000001	He could do no more till morning, and resigned himself to a night on the mountain side, glad to be there alive, though doubtful what daylight would show him.	He could do no more till morning, and resigned himself to a night on the mountain side, glad to be there alive, though doubtful what daylight would show him.
7416_103126_000062_000002	Too tired to move, he lay watching the western sky, where the sun set gloriously behind the purple hills.	Too tired to move, he lay watching the western sky, where the sun set gloriously behind the purple hills.
7416_103126_000062_000003	All below was wrapped in mist, and not a sound reached him but the sigh of the pine, and the murmur of the waterfall.	All below was wrapped in mist, and not a sound reached him but the sigh of the pine, and the murmur of the waterfall.
7416_103126_000063_000000	"This is a first-class scrape.	"This is a first-class scrape.
7416_103126_000063_000002	Gun smashed in that confounded fall, so I can't even fire a shot to call help.	Gun smashed in that confounded fall, so I can't even fire a shot to call help.
7416_103126_000063_000003	Nothing to eat or drink, and very likely a day or so to spend here till I'm found, if I ever am. Chris said, 'Yell, if you want us.' Much good that would do now!	Nothing to eat or drink, and very likely a day or so to spend here till I'm found, if I ever am. Chris said, 'Yell, if you want us.' Much good that would do now!
7416_103126_000063_000004	I'll try, though." And getting up on his weary legs, Corny shouted till he was hoarse; but echo alone answered him, and after a few efforts he gave it up, trying to accept the situation like a man.	I'll try, though." And getting up on his weary legs, Corny shouted till he was hoarse; but echo alone answered him, and after a few efforts he gave it up, trying to accept the situation like a man.
7416_103126_000064_000000	"The fellows we read about always come to grief in a place where they can shoot a bird, catch a fish, or knock over some handy beast for supper," he said, talking to himself for company.	"The fellows we read about always come to grief in a place where they can shoot a bird, catch a fish, or knock over some handy beast for supper," he said, talking to himself for company.
7416_103126_000064_000001	"Even the old chap lost in the bush in Australia had a savage with him who dug a hole in a tree, and pulled out a nice fat worm to eat.	"Even the old chap lost in the bush in Australia had a savage with him who dug a hole in a tree, and pulled out a nice fat worm to eat.
7416_103126_000064_000002	I'm not lucky enough even to find a sassafras bush to chew, or a bird's egg to suck.	I'm not lucky enough even to find a sassafras bush to chew, or a bird's egg to suck.
7416_103126_000064_000004	Oh, well!	Oh, well!
7416_103126_000064_000005	I'll pull through, I guess, and when it's all over, it will be a jolly good story to tell."	I'll pull through, I guess, and when it's all over, it will be a jolly good story to tell."
7416_103126_000065_000000	Then, hoping to forget his woes in sleep, he nestled under the low-growing branches of the pine, and lay blinking drowsily at the twilight world outside.	Then, hoping to forget his woes in sleep, he nestled under the low growing branches of the pine, and lay blinking drowsily at the twilight world outside.
7416_103126_000065_000001	A dream came, and he saw the old farm-house in sad confusion, caused by his absence,--the women crying, the men sober, all anxious, and all making ready to come and look for him.	A dream came, and he saw the old farm house in sad confusion, caused by his absence,--the women crying, the men sober, all anxious, and all making ready to come and look for him.
7416_103126_000065_000002	So vivid was it that he woke himself by crying out, "Here I am!" and nearly went over the ledge, stretching out his arms to Abner.	So vivid was it that he woke himself by crying out, "Here I am!" and nearly went over the ledge, stretching out his arms to Abner.
7416_103126_000066_000000	The start and the scare made it hard to go to sleep again, and he sat looking at the solemn sky, full of stars that seemed watching over him alone there, like a poor, lost child on the great mountain's stony breast.	The start and the scare made it hard to go to sleep again, and he sat looking at the solemn sky, full of stars that seemed watching over him alone there, like a poor, lost child on the great mountain's stony breast.
7416_103126_000068_000001	But the splash of the waterfall, and the rush of the night wind deadened the sounds to his ear, and drowned his own reply.	But the splash of the waterfall, and the rush of the night wind deadened the sounds to his ear, and drowned his own reply.
7416_103126_000069_000001	I can't make them hear, and must wait till morning.	I can't make them hear, and must wait till morning.
7416_103126_000069_000002	Poor Chris will get an awful scolding for letting me go.	Poor Chris will get an awful scolding for letting me go.
7416_103126_000069_000003	Don't believe he told a word till he had to.	Don't believe he told a word till he had to.
7416_103126_000069_000004	I'll make it up to him.	I'll make it up to him.
7416_103126_000069_000005	Chris is a capital fellow, and I just wish I had him here to make things jolly," thought the lonely lad.	Chris is a capital fellow, and I just wish I had him here to make things jolly," thought the lonely lad.
7416_103126_000070_000001	Corny kept awake as long as he could, fearing to dream and fall; but by-and-by he dropped off, and slept soundly till the chill of dawn waked him.	Corny kept awake as long as he could, fearing to dream and fall; but by and by he dropped off, and slept soundly till the chill of dawn waked him.
7416_103126_000072_000001	He was stiff, and full of pain, but daylight and the hope of escape cheered him up, and gave him coolness and courage to see how best he could accomplish his end.	He was stiff, and full of pain, but daylight and the hope of escape cheered him up, and gave him coolness and courage to see how best he could accomplish his end.
7416_103126_000073_000001	To reach it he must leap, at risk of his bones, or find some means to swing down ten or twelve feet.	To reach it he must leap, at risk of his bones, or find some means to swing down ten or twelve feet.
7416_103126_000073_000002	Once there, it was pretty certain that by following the rough road he would come into the valley, from whence he could easily find his way home.	Once there, it was pretty certain that by following the rough road he would come into the valley, from whence he could easily find his way home.
7416_103126_000073_000004	This he fastened firmly round the trunk of the pine, and finished his preparations by tying his handkerchief to one of the branches, that it might serve as a guide for him, a signal for others, and a trophy of his grand fall.	This he fastened firmly round the trunk of the pine, and finished his preparations by tying his handkerchief to one of the branches, that it might serve as a guide for him, a signal for others, and a trophy of his grand fall.
7416_103126_000074_000000	Then putting a little sprig of the evergreen tree in his jacket, with a grateful thought of all it had done for him, he swung himself off and landed safely below, not minding a few extra bumps after his late exploits at tumbling.	Then putting a little sprig of the evergreen tree in his jacket, with a grateful thought of all it had done for him, he swung himself off and landed safely below, not minding a few extra bumps after his late exploits at tumbling.
7416_103126_000075_000000	Feeling like a prisoner set free, he hurried as fast as bare feet and stiff legs would carry him along the bed of the stream, coming at last into the welcome shelter of the woods, which seemed more beautiful than ever, after the bleak region of granite in which he had been all night.	Feeling like a prisoner set free, he hurried as fast as bare feet and stiff legs would carry him along the bed of the stream, coming at last into the welcome shelter of the woods, which seemed more beautiful than ever, after the bleak region of granite in which he had been all night.
7416_103126_000076_000000	Anxious to report himself alive, and relieve his mother's anxiety, he pressed on till he struck the path, and soon saw, not far away, the old cabin Abner had spoken of.	Anxious to report himself alive, and relieve his mother's anxiety, he pressed on till he struck the path, and soon saw, not far away, the old cabin Abner had spoken of.
7416_103126_000076_000001	Just before this happy moment he had heard a shot fired somewhere in the forest, and as he hurried toward the sound he saw an animal dart into the hut, as if for shelter.	Just before this happy moment he had heard a shot fired somewhere in the forest, and as he hurried toward the sound he saw an animal dart into the hut, as if for shelter.
7416_103126_000077_000000	Whether it was a rabbit, woodchuck or dog, he had not seen, as a turn in the path prevented a clear view; and hoping it was old Buff looking for him, he ran in, to find himself face to face with a catamount at last.	Whether it was a rabbit, woodchuck or dog, he had not seen, as a turn in the path prevented a clear view; and hoping it was old Buff looking for him, he ran in, to find himself face to face with a catamount at last.
7416_103126_000078_000000	There she was, the big, fierce cat, crouched in a corner, with fiery eyes, growling and spitting at sight of an enemy, but too badly wounded to fight, as the blood that dripped from her neck, and the tremble of her limbs plainly showed.	There she was, the big, fierce cat, crouched in a corner, with fiery eyes, growling and spitting at sight of an enemy, but too badly wounded to fight, as the blood that dripped from her neck, and the tremble of her limbs plainly showed.
7416_103126_000079_000000	"Now's my chance!	"Now's my chance!
