1335_27593_000000_000000	ENTREES	ENTREES	true	11.775	12.75	20
1335_27593_000010_000002	Then extract the bones and cut the meat in pieces, return it to the saucepan without the brains, adding two ounces of butter, two dozen stoned olives, one dozen cloves, salt, pepper, cayenne, and a cup of white wine.	Then extract the bones and cut the meat in pieces, return it to the saucepan without the brains, adding two ounces of butter, two dozen stoned olives, one dozen cloves, salt, pepper, cayenne, and a cup of white wine.	true	209.69	229.21	23.413637
1335_27593_000010_000003	Cook for one hour, then add the brains cut in bits, the shaved peel and piece of one lemon and three hard-boiled eggs sliced. Cook thirty minutes.	Cook for one hour, then add the brains cut in bits, the shaved peel and piece of one lemon and three hard boiled eggs sliced. Cook thirty minutes.	true	230.51	244	24.533426
1335_27593_000010_000004	Thicken the sauce with flour rubbed into butter and serve with the calves' head.	Thicken the sauce with flour rubbed into butter and serve with the calves' head.	true	244.94	250.12	23.191677
1335_27593_000011_000000	Chops a la Reine	Chops a la Reine	true	251.57	254.26	16.603535
1335_27593_000012_000000	Trim twelve lamb chops very closely and fry lightly in six ounces of butter.	Trim twelve lamb chops very closely and fry lightly in six ounces of butter.	true	254.75	260.59	25.849815
1335_27593_000012_000001	Remove them and in the same butter place two onions, sliced, four green peppers minced, one can of mushrooms minced, and two stalks of celery chopped; salt, pepper, cayenne, and the juice of a lime. Cook until these ingredients are soft.	Remove them and in the same butter place two onions, sliced, four green peppers minced, one can of mushrooms minced, and two stalks of celery chopped; salt, pepper, cayenne, and the juice of a lime. Cook until these ingredients are soft.	true	261.74	284.62	22.537483
1335_27593_000012_000002	Stir in six ounces of flour. Then add two cups of milk and cook until the mixture is thick and smooth.	Stir in six ounces of flour. Then add two cups of milk and cook until the mixture is thick and smooth.	true	285.35	294.19	24.483469
1335_27593_000012_000003	Dust a plate with cracker crumbs and on this place a spoonful of the fried mixture.	Dust a plate with cracker crumbs and on this place a spoonful of the fried mixture.	true	295.22	301.42	24.334053
1335_27593_000012_000004	Place a chop on top of this, cover it with another spoonful of the mixture and dust with cracker crumbs.	Place a chop on top of this, cover it with another spoonful of the mixture and dust with cracker crumbs.	true	302.21	310.24	25.145796
1335_27593_000012_000005	Repeat with each chop, and when cold roll each in beaten egg and cracker crumbs, and fry a light brown.	Repeat with each chop, and when cold roll each in beaten egg and cracker crumbs, and fry a light brown.	true	311.33	320.23	26.029306
1335_27593_000013_000000	Calves' Feet a la Marechale	Calves' Feet a la Marechale	false	321.8	325.875	20.980375
1335_27593_000014_000000	Boil four calves' feet until tender.	Boil four calves' feet until tender.	true	325.875	328.42	24.179422
1335_27593_000014_000001	Cut into inch pieces and fry in four ounces of butter, with two onions, a little garlic, two green peppers and some mushrooms, chopped fine, seasoning all with salt, pepper, cayenne, and a little mace.	Cut into inch pieces and fry in four ounces of butter, with two onions, a little garlic, two green peppers and some mushrooms, chopped fine, seasoning all with salt, pepper, cayenne, and a little mace.	false	329.24	346.36	23.6008
1335_27593_000014_000002	Stir in four ounces of flour and add boiling milk, enough to make the mixture as thick as rich cream. Put in the calves' feet and mix all well together.	Stir in four ounces of flour and add boiling milk, enough to make the mixture as thick as rich cream. Put in the calves' feet and mix all well together.	false	347.54	360.34	24.101202
1335_27593_000014_000003	Then remove from the fire and beat in the yolks of two eggs which have been mixed with the juice of a lime and a tablespoonful of water.	Then remove from the fire and beat in the yolks of two eggs which have been mixed with the juice of a lime and a tablespoonful of water.	true	360.92	369.66	24.675825
1335_27593_000014_000004	Pour the whole into a buttered pan and set aside to cool.	Pour the whole into a buttered pan and set aside to cool.	false	369.66	375.52	23.559414
1335_27593_000014_000005	When cold cut into slices, brush with egg and bread crumbs and fry in butter until a light brown.	When cold cut into slices, brush with egg and bread crumbs and fry in butter until a light brown.	true	376.37	384.52	22.91171
1335_27593_000015_000000	Puree of Chestnuts with Chops	Puree of Chestnuts with Chops	true	386.09	388.9	30.703432
1335_27593_000016_000000	Boil chestnuts in salted water for twenty minutes.	Boil chestnuts in salted water for twenty minutes.	true	390.14	393.52	29.838346
1335_27593_000016_000001	Shell them, season with salt and pepper, add a piece of butter and wet with milk.	Shell them, season with salt and pepper, add a piece of butter and wet with milk.	true	394.22	401.26	24.535215
1335_27593_000016_000002	Mash through a colander and heap lightly on a platter, arranging broiled chops around the puree.	Mash through a colander and heap lightly on a platter, arranging broiled chops around the puree.	true	401.54	408.58	25.520515
1335_27593_000017_000000	Lamb Chops a la Nesselrode	Lamb Chops a la Nesselrode	true	410.12	412.54	23.960703
1335_27593_000018_000000	Trim carefully one dozen young lamb chops.	Trim carefully one dozen young lamb chops.	true	413.87	416.89	20.524166
1335_27593_000018_000001	Fry in butter three tablespoonfuls of marrow, some chopped mushrooms and eschalots.	Fry in butter three tablespoonfuls of marrow, some chopped mushrooms and eschalots.	false	417.5	423.78	22.944664
1335_27593_000018_000002	Then add a glass of sherry and stir it well before adding also a cup of rice, four cups of stock, several sweet Chili peppers chopped and some salt.	Then add a glass of sherry and stir it well before adding also a cup of rice, four cups of stock, several sweet Chili peppers chopped and some salt.	true	423.78	436.09	25.610825
1335_27593_000018_000003	Cook for half an hour or until pasty.	Cook for half an hour or until pasty.	true	437.21	440.02	25.48566
1335_27593_000018_000004	Pour it out in a pan to the thickness of half an inch and let cool.	Pour it out in a pan to the thickness of half an inch and let cool.	false	441.14	446.5	24.270224
1335_27593_000018_000005	Then with a biscuit cutter, cut it into rounds about the size of a chop.	Then with a biscuit cutter, cut it into rounds about the size of a chop.	true	447.44	452.35	24.241764
1335_27593_000018_000006	On each one of these rounds place a chop and cover the top with Bechamel sauce.	On each one of these rounds place a chop and cover the top with Bechamel sauce.	true	453.05	458.53	25.904749
1335_27593_000018_000007	When cold dip in egg and bread crumbs and fry a light brown.	When cold dip in egg and bread crumbs and fry a light brown.	true	459.68	464.68	26.674694
1335_27593_000019_000000	A good recipe for the Bechamel sauce is the following: One ounce of butter browned with one ounce of flour.	A good recipe for the Bechamel sauce is the following: One ounce of butter browned with one ounce of flour.	true	466.13	474.52	22.796936
1335_27593_000019_000001	To this add half a glass of sherry, some finely chopped truffles, one cup and a half of stock, salt and pepper, and cook for ten minutes.	To this add half a glass of sherry, some finely chopped truffles, one cup and a half of stock, salt and pepper, and cook for ten minutes.	true	475.25	486.55	24.998285
1335_27593_000019_000002	Add the juice of a lime, take from the fire and stir in the well-beaten yolks of two eggs.	Add the juice of a lime, take from the fire and stir in the well beaten yolks of two eggs.	true	487.25	494.29	26.459244
1335_27593_000020_000000	Devil Chops	Devil Chops	true	495.5	496.84	29.379385
1335_27593_000021_000000	Make a dressing of the following ingredients mixed together: One ounce of butter, one teaspoonful of made mustard, one-half teaspoonful of French mustard, one teaspoonful of grated horseradish, one teaspoonful of chutney, a little Chili vinegar, the juice of one lime, salt, pepper and cayenne.	Make a dressing of the following ingredients mixed together: One ounce of butter, one teaspoonful of made mustard, one half teaspoonful of French mustard, one teaspoonful of grated horseradish, one teaspoonful of chutney, a little Chili vinegar, the juice of one lime, salt, pepper and cayenne.	true	498.08	521.29	24.125189
1335_27593_000021_000001	Rub this on the chops and broil rare.	Rub this on the chops and broil rare.	true	522.14	524.92	22.74605
1335_27593_000021_000002	Serve the remaining sauce over them in a very hot dish.	Serve the remaining sauce over them in a very hot dish.	true	525.65	529.54	23.719374
1335_27593_000022_000000	Lamb Cutlets Duchesse	Lamb Cutlets Duchesse	false	530.87	534.21	24.025204
1335_27593_000023_000000	Fry one dozen lamb chops in butter and set aside to cool.	Fry one dozen lamb chops in butter and set aside to cool.	true	534.21	538.54	22.843803
1335_27593_000023_000001	Put in a stew pan two ounces of butter with half a can of mushrooms, one small onion and a teaspoonful of parsley, all minced fine; salt, pepper, cayenne and a little mace.	Put in a stew pan two ounces of butter with half a can of mushrooms, one small onion and a teaspoonful of parsley, all minced fine; salt, pepper, cayenne and a little mace.	true	539.48	554.86	24.420376
1335_27593_000023_000002	Cook this gently for ten minutes and add a cup of milk thickened with flour and butter, the juice of a lemon and one teaspoonful of sugar.	Cook this gently for ten minutes and add a cup of milk thickened with flour and butter, the juice of a lemon and one teaspoonful of sugar.	true	556.04	565.39	24.60783
1335_27593_000023_000003	Cook a few minutes.	Cook a few minutes.	true	566.36	568	25.519966
1335_27593_000023_000004	Take from the fire and add the yolks of four eggs well beaten.	Take from the fire and add the yolks of four eggs well beaten.	true	568.94	573.01	26
1335_27593_000023_000005	Cover the chops with this and set aside to cool.	Cover the chops with this and set aside to cool.	true	574.16	577.51	26.283012
1335_27593_000023_000006	Brush them with the well-beaten yolk of an egg, sprinkle with fine bread crumbs, and fry in butter to a light brown. Serve with green peas in the center of the dish.	Brush them with the well beaten yolk of an egg, sprinkle with fine bread crumbs, and fry in butter to a light brown. Serve with green peas in the center of the dish.	true	578.69	591.16	25.23491
1335_27593_000024_000000	Lamb Cutlets a la Condi	Lamb Cutlets a la Condi	true	592.46	594.73	26.385746
1335_27593_000025_000000	Lard lamb cutlets with strips of truffle, anchovy and gherkin.	Lard lamb cutlets with strips of truffle, anchovy and gherkin.	true	596.18	601	26.293251
1335_27593_000025_000001	Make a dressing of bread crumbs, mushrooms, capers, chives, a little shallot all chopped very fine, pepper, salt and butter.	Make a dressing of bread crumbs, mushrooms, capers, chives, a little shallot all chopped very fine, pepper, salt and butter.	false	601.88	612.49	24.185852
1335_27593_000025_000002	Put this on each side of the cutlets and cover with crepinette.	Put this on each side of the cutlets and cover with crepinette.	true	613.52	617.28	27.705664
1335_27593_000025_000003	Broil or fry to a light brown and dust over with very fine browned bread crumbs.	Broil or fry to a light brown and dust over with very fine browned bread crumbs.	false	617.28	625.51	22.079643
1335_27593_000025_000004	Serve with a browned veal gravy and sliced lemon.	Serve with a browned veal gravy and sliced lemon.	true	626.42	630.22	24.370705
1335_27593_000026_000000	Eggs with Tomatoes	Eggs with Tomatoes	true	631.73	633.31	23.789492
1335_27593_000027_000000	Fry in two ounces of butter two small dry onions and two green peppers, chopped.	Fry in two ounces of butter two small dry onions and two green peppers, chopped.	true	634.43	640.78	23.266033
1335_27593_000027_000001	Add half a dozen tomatoes peeled and cut up, salt and pepper.	Add half a dozen tomatoes peeled and cut up, salt and pepper.	true	641.3	646	24.234285
1335_27593_000027_000002	Simmer fifteen minutes.	Simmer fifteen minutes.	true	647.03	648.91	26.44561
1335_27593_000027_000003	Add the corn cut from half a dozen ears, and cook fifteen minutes longer.	Add the corn cut from half a dozen ears, and cook fifteen minutes longer.	true	650.09	655.39	23.470049
1335_27593_000027_000004	Pour the mixture into a baking dish, and break over it six eggs.	Pour the mixture into a baking dish, and break over it six eggs.	true	656.75	661.48	24.385101
1335_27593_000027_000005	Place in the oven until set.	Place in the oven until set.	true	662.66	664.84	27.744118
1335_27593_000028_000000	Macaroni a la Rossini	Macaroni a la Rossini	true	666.2	668.38	26.876715
1335_27593_000029_000000	Cook a pint or less of macaroni in well salted water; drain and put into a stew pan, with a little good gravy.	Cook a pint or less of macaroni in well salted water; drain and put into a stew pan, with a little good gravy.	true	669.89	679.87	24.631386
1335_27593_000029_000001	Simmer very slowly until the gravy is all absorbed, shaking the pan occasionally.	Simmer very slowly until the gravy is all absorbed, shaking the pan occasionally.	true	681.23	687.16	20.000378
1335_27593_000029_000002	Put a layer of the macaroni in a baking dish, sprinkle with grated Parmesan cheese and sliced truffles mixed with a little good sauce espagnole.	Put a layer of the macaroni in a baking dish, sprinkle with grated Parmesan cheese and sliced truffles mixed with a little good sauce espagnole.	true	688.52	699.13	23.271212
1335_27593_000029_000003	Fill the dish and on the top layer put truffles.	Fill the dish and on the top layer put truffles.	true	700.67	704.14	27.125538
1335_27593_000029_000004	Place in the oven a few minutes and serve with grated Parmesan cheese on a separate dish.	Place in the oven a few minutes and serve with grated Parmesan cheese on a separate dish.	true	705.02	711.01	23.69243
1335_27593_000030_000000	Timbale of Macaroni for Twelve Persons	Timbale of Macaroni for Twelve Persons	true	712.37	715.72	23.365509
1335_27593_000031_000000	Boil one-half pound of macaroni in water for five minutes.	Boil one half pound of macaroni in water for five minutes.	true	717.11	721.15	20.929163
1335_27593_000031_000001	Cut in inch length pieces and simmer for twenty minutes in one quart of milk, being careful that it does not boil.	Cut in inch length pieces and simmer for twenty minutes in one quart of milk, being careful that it does not boil.	true	722.45	730.21	25.854986
1335_27593_000031_000002	Season with salt, pepper, mace and cayenne.	Season with salt, pepper, mace and cayenne.	true	731.51	735.19	24.810474
1335_27593_000031_000003	Add one cup of cream, stir until very smooth, add the beaten yolks of eight eggs and one can of mushrooms sliced.	Add one cup of cream, stir until very smooth, add the beaten yolks of eight eggs and one can of mushrooms sliced.	true	736.52	745.45	21.996878
1335_27593_000031_000004	Stir well and then add the macaroni with one pound of sweetbreads, cut in small pieces and two dozen Eastern oysters.	Stir well and then add the macaroni with one pound of sweetbreads, cut in small pieces and two dozen Eastern oysters.	true	746.27	754.69	22.54747
1335_27593_000031_000005	Let this cool, then cover with pastry and bake in the oven until brown.	Let this cool, then cover with pastry and bake in the oven until brown.	false	755.93	765.18	25.361
