1335_27593_000000_000000	ENTREES	ENTREES
1335_27593_000010_000004	Thicken the sauce with flour rubbed into butter and serve with the calves' head.	Thicken the sauce with flour rubbed into butter and serve with the calves' head.
1335_27593_000012_000000	Trim twelve lamb chops very closely and fry lightly in six ounces of butter.	Trim twelve lamb chops very closely and fry lightly in six ounces of butter.
1335_27593_000012_000001	Remove them and in the same butter place two onions, sliced, four green peppers minced, one can of mushrooms minced, and two stalks of celery chopped; salt, pepper, cayenne, and the juice of a lime. Cook until these ingredients are soft.	Remove them and in the same butter place two onions, sliced, four green peppers minced, one can of mushrooms minced, and two stalks of celery chopped; salt, pepper, cayenne, and the juice of a lime. Cook until these ingredients are soft.
1335_27593_000012_000002	Stir in six ounces of flour. Then add two cups of milk and cook until the mixture is thick and smooth.	Stir in six ounces of flour. Then add two cups of milk and cook until the mixture is thick and smooth.
1335_27593_000012_000003	Dust a plate with cracker crumbs and on this place a spoonful of the fried mixture.	Dust a plate with cracker crumbs and on this place a spoonful of the fried mixture.
1335_27593_000012_000004	Place a chop on top of this, cover it with another spoonful of the mixture and dust with cracker crumbs.	Place a chop on top of this, cover it with another spoonful of the mixture and dust with cracker crumbs.
1335_27593_000012_000005	Repeat with each chop, and when cold roll each in beaten egg and cracker crumbs, and fry a light brown.	Repeat with each chop, and when cold roll each in beaten egg and cracker crumbs, and fry a light brown.
1335_27593_000014_000000	Boil four calves' feet until tender.	Boil four calves' feet until tender.
1335_27593_000014_000003	Then remove from the fire and beat in the yolks of two eggs which have been mixed with the juice of a lime and a tablespoonful of water.	Then remove from the fire and beat in the yolks of two eggs which have been mixed with the juice of a lime and a tablespoonful of water.
1335_27593_000014_000005	When cold cut into slices, brush with egg and bread crumbs and fry in butter until a light brown.	When cold cut into slices, brush with egg and bread crumbs and fry in butter until a light brown.
1335_27593_000015_000000	Puree of Chestnuts with Chops	Puree of Chestnuts with Chops
1335_27593_000016_000000	Boil chestnuts in salted water for twenty minutes.	Boil chestnuts in salted water for twenty minutes.
1335_27593_000016_000001	Shell them, season with salt and pepper, add a piece of butter and wet with milk.	Shell them, season with salt and pepper, add a piece of butter and wet with milk.
1335_27593_000016_000002	Mash through a colander and heap lightly on a platter, arranging broiled chops around the puree.	Mash through a colander and heap lightly on a platter, arranging broiled chops around the puree.
1335_27593_000017_000000	Lamb Chops a la Nesselrode	Lamb Chops a la Nesselrode
1335_27593_000018_000000	Trim carefully one dozen young lamb chops.	Trim carefully one dozen young lamb chops.
1335_27593_000018_000002	Then add a glass of sherry and stir it well before adding also a cup of rice, four cups of stock, several sweet Chili peppers chopped and some salt.	Then add a glass of sherry and stir it well before adding also a cup of rice, four cups of stock, several sweet Chili peppers chopped and some salt.
1335_27593_000018_000003	Cook for half an hour or until pasty.	Cook for half an hour or until pasty.
1335_27593_000018_000005	Then with a biscuit cutter, cut it into rounds about the size of a chop.	Then with a biscuit cutter, cut it into rounds about the size of a chop.
1335_27593_000018_000006	On each one of these rounds place a chop and cover the top with Bechamel sauce.	On each one of these rounds place a chop and cover the top with Bechamel sauce.
1335_27593_000018_000007	When cold dip in egg and bread crumbs and fry a light brown.	When cold dip in egg and bread crumbs and fry a light brown.
1335_27593_000019_000000	A good recipe for the Bechamel sauce is the following: One ounce of butter browned with one ounce of flour.	A good recipe for the Bechamel sauce is the following: One ounce of butter browned with one ounce of flour.
1335_27593_000019_000001	To this add half a glass of sherry, some finely chopped truffles, one cup and a half of stock, salt and pepper, and cook for ten minutes.	To this add half a glass of sherry, some finely chopped truffles, one cup and a half of stock, salt and pepper, and cook for ten minutes.
1335_27593_000019_000002	Add the juice of a lime, take from the fire and stir in the well-beaten yolks of two eggs.	Add the juice of a lime, take from the fire and stir in the well beaten yolks of two eggs.
1335_27593_000020_000000	Devil Chops	Devil Chops
1335_27593_000021_000000	Make a dressing of the following ingredients mixed together: One ounce of butter, one teaspoonful of made mustard, one-half teaspoonful of French mustard, one teaspoonful of grated horseradish, one teaspoonful of chutney, a little Chili vinegar, the juice of one lime, salt, pepper and cayenne.	Make a dressing of the following ingredients mixed together: One ounce of butter, one teaspoonful of made mustard, one half teaspoonful of French mustard, one teaspoonful of grated horseradish, one teaspoonful of chutney, a little Chili vinegar, the juice of one lime, salt, pepper and cayenne.
1335_27593_000021_000001	Rub this on the chops and broil rare.	Rub this on the chops and broil rare.
1335_27593_000021_000002	Serve the remaining sauce over them in a very hot dish.	Serve the remaining sauce over them in a very hot dish.
1335_27593_000023_000000	Fry one dozen lamb chops in butter and set aside to cool.	Fry one dozen lamb chops in butter and set aside to cool.
1335_27593_000023_000001	Put in a stew pan two ounces of butter with half a can of mushrooms, one small onion and a teaspoonful of parsley, all minced fine; salt, pepper, cayenne and a little mace.	Put in a stew pan two ounces of butter with half a can of mushrooms, one small onion and a teaspoonful of parsley, all minced fine; salt, pepper, cayenne and a little mace.
1335_27593_000023_000002	Cook this gently for ten minutes and add a cup of milk thickened with flour and butter, the juice of a lemon and one teaspoonful of sugar.	Cook this gently for ten minutes and add a cup of milk thickened with flour and butter, the juice of a lemon and one teaspoonful of sugar.
1335_27593_000023_000003	Cook a few minutes.	Cook a few minutes.
1335_27593_000023_000004	Take from the fire and add the yolks of four eggs well beaten.	Take from the fire and add the yolks of four eggs well beaten.
1335_27593_000023_000005	Cover the chops with this and set aside to cool.	Cover the chops with this and set aside to cool.
1335_27593_000023_000006	Brush them with the well-beaten yolk of an egg, sprinkle with fine bread crumbs, and fry in butter to a light brown. Serve with green peas in the center of the dish.	Brush them with the well beaten yolk of an egg, sprinkle with fine bread crumbs, and fry in butter to a light brown. Serve with green peas in the center of the dish.
1335_27593_000024_000000	Lamb Cutlets a la Condi	Lamb Cutlets a la Condi
1335_27593_000025_000000	Lard lamb cutlets with strips of truffle, anchovy and gherkin.	Lard lamb cutlets with strips of truffle, anchovy and gherkin.
1335_27593_000025_000002	Put this on each side of the cutlets and cover with crepinette.	Put this on each side of the cutlets and cover with crepinette.
1335_27593_000025_000004	Serve with a browned veal gravy and sliced lemon.	Serve with a browned veal gravy and sliced lemon.
1335_27593_000026_000000	Eggs with Tomatoes	Eggs with Tomatoes
1335_27593_000027_000000	Fry in two ounces of butter two small dry onions and two green peppers, chopped.	Fry in two ounces of butter two small dry onions and two green peppers, chopped.
1335_27593_000027_000001	Add half a dozen tomatoes peeled and cut up, salt and pepper.	Add half a dozen tomatoes peeled and cut up, salt and pepper.
1335_27593_000027_000002	Simmer fifteen minutes.	Simmer fifteen minutes.
1335_27593_000027_000003	Add the corn cut from half a dozen ears, and cook fifteen minutes longer.	Add the corn cut from half a dozen ears, and cook fifteen minutes longer.
1335_27593_000027_000004	Pour the mixture into a baking dish, and break over it six eggs.	Pour the mixture into a baking dish, and break over it six eggs.
1335_27593_000027_000005	Place in the oven until set.	Place in the oven until set.
1335_27593_000028_000000	Macaroni a la Rossini	Macaroni a la Rossini
1335_27593_000029_000000	Cook a pint or less of macaroni in well salted water; drain and put into a stew pan, with a little good gravy.	Cook a pint or less of macaroni in well salted water; drain and put into a stew pan, with a little good gravy.
1335_27593_000029_000001	Simmer very slowly until the gravy is all absorbed, shaking the pan occasionally.	Simmer very slowly until the gravy is all absorbed, shaking the pan occasionally.
1335_27593_000029_000002	Put a layer of the macaroni in a baking dish, sprinkle with grated Parmesan cheese and sliced truffles mixed with a little good sauce espagnole.	Put a layer of the macaroni in a baking dish, sprinkle with grated Parmesan cheese and sliced truffles mixed with a little good sauce espagnole.
1335_27593_000029_000003	Fill the dish and on the top layer put truffles.	Fill the dish and on the top layer put truffles.
1335_27593_000029_000004	Place in the oven a few minutes and serve with grated Parmesan cheese on a separate dish.	Place in the oven a few minutes and serve with grated Parmesan cheese on a separate dish.
1335_27593_000030_000000	Timbale of Macaroni for Twelve Persons	Timbale of Macaroni for Twelve Persons
1335_27593_000031_000000	Boil one-half pound of macaroni in water for five minutes.	Boil one half pound of macaroni in water for five minutes.
1335_27593_000031_000001	Cut in inch length pieces and simmer for twenty minutes in one quart of milk, being careful that it does not boil.	Cut in inch length pieces and simmer for twenty minutes in one quart of milk, being careful that it does not boil.
1335_27593_000031_000002	Season with salt, pepper, mace and cayenne.	Season with salt, pepper, mace and cayenne.
1335_27593_000031_000003	Add one cup of cream, stir until very smooth, add the beaten yolks of eight eggs and one can of mushrooms sliced.	Add one cup of cream, stir until very smooth, add the beaten yolks of eight eggs and one can of mushrooms sliced.
1335_27593_000031_000004	Stir well and then add the macaroni with one pound of sweetbreads, cut in small pieces and two dozen Eastern oysters.	Stir well and then add the macaroni with one pound of sweetbreads, cut in small pieces and two dozen Eastern oysters.
