688_46588_000000_000000	XIX.	nineteen.	false	1.05	9.465	24.594343
688_46588_000013_000000	In one of the trees we came to an enormous nest made of the unusual materials that are sometimes chosen by that strange bird, the road-runner.	In one of the trees we came to an enormous nest made of the unusual materials that are sometimes chosen by that strange bird, the road runner.	true	379.52	386.8	21.747433
688_46588_000013_000001	It was an exciting discovery, for that was before the road-runner had come to the ranch-house, and I had been pursuing phantom runners over the hills in the vain attempt to learn something about them; while here, it seemed, one had been living under my very vine and fig-tree!	It was an exciting discovery, for that was before the road runner had come to the ranch house, and I had been pursuing phantom runners over the hills in the vain attempt to learn something about them; while here, it seemed, one had been living under my very vine and fig tree!	false	386.96	401.59	21.80829
688_46588_000013_000002	To make sure about the nest, I spoke to my neighbor ranchman, and he told me that when he had been milking during the spring he had often seen the birds come out of the blue gums, and had also seen them perching there on the trees.	To make sure about the nest, I spoke to my neighbor ranchman, and he told me that when he had been milking during the spring he had often seen the birds come out of the blue gums, and had also seen them perching there on the trees.	true	402.05	413.77	23.372282
688_46588_000013_000003	How exasperating!	How exasperating!	true	414.17	415.5	23.314829
688_46588_000013_000004	If I had only come earlier!	If I had only come earlier!	true	415.5	417.43	21.697744
688_46588_000013_000005	Now they had gone, and my chance of a nest study was lost.	Now they had gone, and my chance of a nest study was lost.	true	417.5	420.94	22.057894
688_46588_000014_000000	But my doll was not stuffed with sawdust, for all of that.	But my doll was not stuffed with sawdust, for all of that.	true	421.55	424.63	22.889168
688_46588_000014_000001	There was still much to enjoy, for a mourning dove flew from her nest of twigs almost over Billy's head, and it made me quite happy to know that the gentle bird was brooding her eggs in my woods.	There was still much to enjoy, for a mourning dove flew from her nest of twigs almost over Billy's head, and it made me quite happy to know that the gentle bird was brooding her eggs in my woods.	true	424.94	434.86	21
688_46588_000014_000002	Then it was delightful to see a lazuli bunting on her nest down another aisle.	Then it was delightful to see a lazuli bunting on her nest down another aisle.	true	435.2	439.57	20.762688
688_46588_000014_000003	It seemed odd, for there was her little cousin nesting out in the weeds in the bright sun, while she was raising her brood in the shady forest.	It seemed odd, for there was her little cousin nesting out in the weeds in the bright sun, while she was raising her brood in the shady forest.	true	439.76	447.01	20.79091
688_46588_000014_000004	The two nests were as unlike as the sites.	The two nests were as unlike as the sites.	true	447.35	449.65	22.983534
688_46588_000014_000005	The bird outside had used dull green weeds, while this one used beautiful shining oak stems.	The bird outside had used dull green weeds, while this one used beautiful shining oak stems.	true	449.75	455.05	22.807673
688_46588_000014_000006	I thought the pretty bird would surely be safe here, but one day when I called, expecting to see a growing family, I was shocked to find a pathetic little skeleton in the nest.	I thought the pretty bird would surely be safe here, but one day when I called, expecting to see a growing family, I was shocked to find a pathetic little skeleton in the nest.	true	455.39	464.68	22.830156
688_46588_000015_000000	One afternoon in riding down the rows, I came face to face with two mites of hummingbirds seated on a branch.	One afternoon in riding down the rows, I came face to face with two mites of hummingbirds seated on a branch.	true	465.41	471.85	20.471786
688_46588_000015_000001	Their grayish green suits toned in with the color of the blue gums.	Their grayish green suits toned in with the color of the blue gums.	true	472.22	475.75	23.930094
688_46588_000015_000002	It was a surprise when one of them turned to the other and fed it--the mother hummer was small enough to be taken for a nestling!	It was a surprise when one of them turned to the other and fed it-the mother hummer was small enough to be taken for a nestling!	true	476.03	482.71	21.33993
688_46588_000015_000003	She sat beside her son and fed him in the conventional way, by plunging her bill down his open mouth.	She sat beside her son and fed him in the conventional way, by plunging her bill down his open mouth.	true	483.05	488.95	22.001698
688_46588_000015_000004	When she had flown off, he stretched his wings, whirred them as if for practice, and then moved his bill as if still tasting the dainty he had had for supper.	When she had flown off, he stretched his wings, whirred them as if for practice, and then moved his bill as if still tasting the dainty he had had for supper.	true	489.02	497.26	21.383924
688_46588_000015_000005	He sat very unconcernedly on a low branch right out in the middle of the road, but Billy did not run over him.	He sat very unconcernedly on a low branch right out in the middle of the road, but Billy did not run over him.	true	497.39	503.71	23.771978
688_46588_000016_000000	I found two hummers' nests in the eucalyptus during the summer.	I found two hummers' nests in the eucalyptus during the summer.	false	504.17	507.345	20.35814
688_46588_000016_000001	One builder was the one the photographer was fortunate enough to catch brooding; her nest, the one so charmingly placed on a light blue branch between two straight spreading leaves, like the knot between two bows of stiff ribbon.	One builder was the one the photographer was fortunate enough to catch brooding; her nest, the one so charmingly placed on a light blue branch between two straight spreading leaves, like the knot between two bows of stiff ribbon.	true	507.345	519.43	22.440115
688_46588_000017_000000	The second nest was on a drooping branch, and, to make it stand level, was deepened on the down side of the limb, making it the highest hummingbird's nest I had ever seen.	The second nest was on a drooping branch, and, to make it stand level, was deepened on the down side of the limb, making it the highest hummingbird's nest I had ever seen.	true	520.04	529	21.23005
688_46588_000017_000001	It was attached to a red leaf--to mark the spot, perhaps--one often wonders how a bird can come back twice to the same leaf in a forest.	It was attached to a red leaf-to mark the spot, perhaps-one often wonders how a bird can come back twice to the same leaf in a forest.	false	529.13	536.86	21.897163
688_46588_000017_000002	How one little home does make a place habitable!	How one little home does make a place habitable!	true	537.14	539.8	23.018864
688_46588_000017_000003	From a bare silent woods it becomes a dwelling-place. Everything seemed to centre around this little nest, then the only one in the grove; the tiny pinch of down became the most important thing in the woods.	From a bare silent woods it becomes a dwelling place. Everything seemed to centre around this little nest, then the only one in the grove; the tiny pinch of down became the most important thing in the woods.	true	540.11	551.43	21.007689
688_46588_000017_000004	It was the castle which the trees surrounded.	It was the castle which the trees surrounded.	true	551.43	554.29	23.405128
688_46588_000018_000000	When I first found the nest it held two white warm eggs about as large as peas, and I became much interested in watching their progress, often riding down to see how they were getting on.	When I first found the nest it held two white warm eggs about as large as peas, and I became much interested in watching their progress, often riding down to see how they were getting on.	false	554.72	564.88	22.788342
688_46588_000018_000001	The hummer did not return my interest.	The hummer did not return my interest.	true	565.07	567.15	21.218264
688_46588_000018_000002	She was nervous, darting off when Billy shook himself or when the shadow of a soaring turkey buzzard fell over the nest; but in spite of that we made ourselves quite at home before her door.	She was nervous, darting off when Billy shook himself or when the shadow of a soaring turkey buzzard fell over the nest; but in spite of that we made ourselves quite at home before her door.	false	567.15	577.39	20.320091
688_46588_000018_000003	I would dismount and sit on the ground, leaning against a blue gum, while Billy stood by, in a bower of green leaves, with ears pricked forward thoughtfully, and a dreamy look of satisfaction in his eyes. Hummingbirds are such dainty things.	I would dismount and sit on the ground, leaning against a blue gum, while Billy stood by, in a bower of green leaves, with ears pricked forward thoughtfully, and a dreamy look of satisfaction in his eyes. Hummingbirds are such dainty things.	true	577.64	591.1	22.94881
688_46588_000018_000004	Once when this one alighted on the rim of her nest she whirred herself right down inside.	Once when this one alighted on the rim of her nest she whirred herself right down inside.	true	591.14	596.05	21.416182
688_46588_000018_000005	Soon she began to act so strangely for a brooding bird that, when she flew, I went to feel in the nest.	Soon she began to act so strangely for a brooding bird that, when she flew, I went to feel in the nest.	true	596.39	602.38	23.197197
688_46588_000018_000006	The tips of my fingers touched what felt like round balls, but, not satisfied, I pulled down the bough and found one round ball and one mite of a gray back with microscopic yellow hairs on each side of the spine.	The tips of my fingers touched what felt like round balls, but, not satisfied, I pulled down the bough and found one round ball and one mite of a gray back with microscopic yellow hairs on each side of the spine.	true	602.72	614.56	24.259642
688_46588_000018_000007	The whole tiny body seemed to throb with its heart beats.	The whole tiny body seemed to throb with its heart beats.	true	614.66	617.77	22.084515
688_46588_000018_000008	I wondered how such a midget could ever be fed, but found, as in the case of the hummer under the little lover's tree, that the mother gave its food most gently, reserving her violent pumping for a more suitable age; though one would as soon think of poking a needle down a baby's throat as that bill.	I wondered how such a midget could ever be fed, but found, as in the case of the hummer under the little lover's tree, that the mother gave its food most gently, reserving her violent pumping for a more suitable age; though one would as soon think of poking a needle down a baby's throat as that bill.	false	617.84	634.48	22.403664
688_46588_000019_000000	Often, while watching the nest, my thoughts wandered away to the grove itself.	Often, while watching the nest, my thoughts wandered away to the grove itself.	true	635	638.92	24.360523
688_46588_000019_000001	The brown earth between the rows was barred by alternate lines of sunlight and shadow, and the vista of each avenue ended in blue sky. Sometimes cool ocean breezes would penetrate the forest.	The brown earth between the rows was barred by alternate lines of sunlight and shadow, and the vista of each avenue ended in blue sky. Sometimes cool ocean breezes would penetrate the forest.	true	639.2	650.29	21.958862
688_46588_000019_000002	The rows of trees, with their gently swaying, interlacing branches, cast moving shadows over the sun-touched leafy floor, giving a white light to the grove; for the undersides of the young eucalyptus leaves are like snow. From the stiff, sickle-shaped upper leaves the sun glanced, dazzling the eyes.	The rows of trees, with their gently swaying, interlacing branches, cast moving shadows over the sun touched leafy floor, giving a white light to the grove; for the undersides of the young eucalyptus leaves are like snow. From the stiff, sickle shaped upper leaves the sun glanced, dazzling the eyes.	false	650.57	668.62	22.087248
688_46588_000019_000003	Mourning doves cooed, and the sweet notes of yellow-birds filled the sunny grove with suggestions of happiness.	Mourning doves cooed, and the sweet notes of yellow birds filled the sunny grove with suggestions of happiness.	true	668.87	674.62	21.874014
688_46588_000019_000004	A yellow butterfly wandered down the blue aisles.	A yellow butterfly wandered down the blue aisles.	true	674.69	677.32	20.551931
688_46588_000019_000005	Such a secure retreat!	Such a secure retreat!	true	677.6	679.29	25.408648
688_46588_000019_000006	I returned to it again and again, coming in out of the hot yellow world and closing behind me the doors of my 'rest-house,' for the little wood had come to seem like a cool wayside chapel, a place of peace.	I returned to it again and again, coming in out of the hot yellow world and closing behind me the doors of my 'rest house,' for the little wood had come to seem like a cool wayside chapel, a place of peace.	true	679.29	691.9	22.039288
688_46588_000020_000000	And when I finally left California, deserting Mountain Billy to return to the East, of all my haunts the one left the most unwillingly was the little blue gum grove, the peaceful wayside rest-house, in whose whitened shade we had spent so many quiet hours together.	And when I finally left California, deserting Mountain Billy to return to the East, of all my haunts the one left the most unwillingly was the little blue gum grove, the peaceful wayside rest house, in whose whitened shade we had spent so many quiet hours together.	false	692.39	715.26	23.196499
