3923_174992_000000_000000	"Well; we shall see.	"Well; we shall see.	false	0	1.59	20.249468
3923_174992_000027_000000	"And so the great Mr. Fothergill falls from power, and goes down into obscurity," said Madame Goesler.	"And so the great mr Fothergill falls from power, and goes down into obscurity," said Madame Goesler.	true	614.33	620.35	22.84852
3923_174992_000028_000000	"He was an impudent old man, and that's the truth," said the Duchess;--"and he has always been my thorough detestation.	"He was an impudent old man, and that's the truth," said the Duchess;--"and he has always been my thorough detestation.	true	620.9	627.22	21.805008
3923_174992_000028_000001	But if you only knew what I have gone through to get rid of him,--and all on account of Trumpeton Wood,--you'd send me every brush taken in the Brake country during the next season."	But if you only knew what I have gone through to get rid of him,--and all on account of Trumpeton Wood,--you'd send me every brush taken in the Brake country during the next season."	true	627.44	635.65	21.304281
3923_174992_000029_000000	"Your Grace shall at any rate have one of them," said Lord Chiltern.	"Your Grace shall at any rate have one of them," said Lord Chiltern.	true	636.2	639.58	22.247324
3923_174992_000030_000000	On the next day Lord and Lady Chiltern went back to Harrington Hall. When the end of August comes, a Master of Hounds,--who is really a master,--is wanted at home.	On the next day Lord and Lady Chiltern went back to Harrington Hall. When the end of August comes, a Master of Hounds,--who is really a master,--is wanted at home.	true	640.7	650.35	22.559385
3923_174992_000030_000001	Nothing short of an embassy on behalf of the great coverts of his country would have kept this master away at present; and now, his diplomacy having succeeded, he hurried back to make the most of its results.	Nothing short of an embassy on behalf of the great coverts of his country would have kept this master away at present; and now, his diplomacy having succeeded, he hurried back to make the most of its results.	true	650.72	660.97	21.219336
3923_174992_000030_000002	Lady Chiltern, before she went, made a little speech to Phineas Finn.	Lady Chiltern, before she went, made a little speech to Phineas Finn.	true	661.22	664.6	21.501942
3923_174992_000031_000000	"You'll come to us in the winter, Mr. Finn?"	"You'll come to us in the winter, mr Finn?"	true	665.15	667	25.374998
3923_174992_000032_000000	"I should like."	"I should like."	true	667.34	668.38	26.084755
3923_174992_000033_000000	"You must.	"You must.	true	668.57	669.435	21.98267
3923_174992_000033_000001	No one was truer to you than we were, you know.	No one was truer to you than we were, you know.	true	669.435	671.65	20.55762
3923_174992_000033_000002	Indeed, regarding you as we do, how should we not have been true?	Indeed, regarding you as we do, how should we not have been true?	true	671.87	675.345	19.358095
3923_174992_000033_000003	It was impossible to me that my old friend should have been--"	It was impossible to me that my old friend should have been-"	true	675.345	678.06	18.73338
3923_174992_000034_000000	"Oh, Lady Chiltern!"	"Oh, Lady Chiltern!"	true	678.06	679.54	23.434464
3923_174992_000035_000000	"Of course you'll come.	"Of course you'll come.	true	680.12	681.195	29.66483
3923_174992_000035_000001	You owe it to us to come.	You owe it to us to come.	true	681.195	682.63	26.354183
3923_174992_000035_000002	And may I say this? If there be anybody to come with you, that will make it only so much the better.	And may I say this? If there be anybody to come with you, that will make it only so much the better.	true	682.67	687.76	21.63626
3923_174992_000035_000003	If it should be so, of course there will be letters written?" To this question, however, Phineas Finn made no answer.	If it should be so, of course there will be letters written?" To this question, however, Phineas Finn made no answer.	false	687.86	695.97	19.978764
3923_174992_000036_000000	CHAPTER LXXVI.	CHAPTER seventy six.	false	695.97	707.13	20.295551
